[00:00:02.941 --> 00:00:04.141]  It's Sunday, March 28th.
[00:02:16.129 --> 00:02:19.170]  And so China's already done it, we'll follow what they do.
[00:02:19.851 --> 00:02:21.551]  Total dystopia from the beginning.
[00:02:21.832 --> 00:02:26.754]  Notice they said, oh, get your vaccine, you can travel, not wear a mask, not social distance.
[00:02:26.794 --> 00:02:29.676]  Now they say, oh, sorry, you still do.
[00:02:30.216 --> 00:02:35.699]  Not until there's a global standard ID system tied to a social credit score.
[00:02:36.599 --> 00:02:37.800]  Can anybody have any freedom?
[00:02:37.840 --> 00:02:42.563]  And then of course, next phase in the next year or two, you'll start hearing, we're already seeing it.
[00:02:43.163 --> 00:02:50.408]  Oh, if you haven't been vaccinated, if you haven't been vaccinated, you're the reason everybody isn't free to travel still.
[00:02:50.788 --> 00:02:58.873]  Once they've all had the inoculations, once they're all being tracked, once they've all submitted, they're going to point to 20, 30, 40% of people that haven't and said, it's them.
[00:02:59.394 --> 00:03:02.296]  They didn't give us herd immunity, even though they're now admitting.
[00:03:03.530 --> 00:03:05.212]  The vaccine will never protect you.
[00:03:05.292 --> 00:03:06.973]  There's constant new mutations.
[00:03:07.053 --> 00:03:11.177]  They picked a cold virus because they could never make a vaccine for it because there's too many mutations.
[00:03:11.197 --> 00:03:14.099]  They picked a problem they can never fix.
[00:03:14.620 --> 00:03:18.323]  And it's also based on the PCR test, which they're standardizing.
[00:03:18.343 --> 00:03:18.903]  That's a fraud.
[00:03:19.304 --> 00:03:26.090]  So that when they don't want you to be able to travel, they simply say, sorry, the PCR test says you have a new variant or a new virus.
[00:03:26.390 --> 00:03:38.684]   So it doesn't matter if you've had 10, Gene therapy inoculations a year remember it was gonna be two then five I told you'd be ten a year at least this is a dystopia Submitting only makes it worse.
[00:03:39.345 --> 00:03:51.259]   We must get our governor's we must get our Congress Educated on this and to have them stop going along with it because if they don't it's game over senator Paul Attach Fauci and says, well, these people have had vaccines.
[00:03:51.279 --> 00:03:52.280]  We don't need to wear masks.
[00:03:52.340 --> 00:03:53.301]  We need to be rewarded.
[00:03:53.341 --> 00:03:54.722]  We need to be given our passports.
[00:03:54.922 --> 00:03:55.143]  No!
[00:03:55.883 --> 00:04:01.208]  Of course, Fauci says, sorry, you never get to anyways, because it's a bear trap.
[00:04:02.129 --> 00:04:02.949]  You never get out of it.
[00:04:03.250 --> 00:04:07.874]  You don't play along and argue each new point of their fraud with them and show how they lied over and over again.
[00:04:08.633 --> 00:04:14.552]   You have to counter them with the fact that it's all a great reset, globalist takeover with the UN and communist
[00:04:14.552 --> 00:04:18.533]   China as the model in their own admissions to lower carbon footprint
[00:04:18.533 --> 00:04:24.552]   and that they're now all admitting in the New York Times, Wall Street Journal, London Guardian that it's a global
[00:04:24.552 --> 00:04:27.832]  reset for carbon and we need carbon lockdowns.
[00:04:27.832 --> 00:04:33.033]   That's what this control grid and digital system is, is the global lockdown control system.
[00:04:33.150 --> 00:04:40.974]  They admit it is, there's no debate, it's all here, it's biblical, it's dystopic, and the churches are all scrambling to implement it so they can, quote, reopen.
[00:04:41.314 --> 00:04:43.896]  Then next comes the chips and the Neuralink.
[00:04:44.476 --> 00:04:46.697]  Not with a bang, but with a whimper.
[00:04:47.297 --> 00:04:55.302]  The people of the world submitted to United Nations directives on their health, on their right to travel, on how to raise their children.
[00:04:56.220 --> 00:04:56.720]  And the U.N.
[00:04:56.760 --> 00:04:58.241]  told us that the family was bad.
[00:04:58.821 --> 00:04:59.281]  And the U.N.
[00:04:59.301 --> 00:05:00.742]  told us that capitalism was bad.
[00:05:01.382 --> 00:05:01.923]  And the U.N.
[00:05:01.963 --> 00:05:04.444]  told us that they were good and would direct us.
[00:05:05.164 --> 00:05:07.985]  There was no discussion or question about who created the U.N.
[00:05:08.005 --> 00:05:10.927]  and who was behind it and how did it have so much power.
[00:05:11.567 --> 00:05:16.169]  Sure, it had been in the back of the newspaper that the virus came out of the Wuhan lab, but that was okay.
[00:05:16.189 --> 00:05:21.812]  It didn't matter that Fauci had been involved with Bill Gates actually funding the very virus that was released.
[00:05:22.677 --> 00:05:24.039]  Because now they're our saviors.
[00:05:24.740 --> 00:05:27.865]  And here's the Zero Hedge headline up on InfoWars.com.
[00:05:28.366 --> 00:05:30.810]  Here come the global vaccine passports.
[00:05:31.837 --> 00:05:37.422]  For businesses who rely on tourism, the passport is seen as a route to salvation, close quote.
[00:05:38.143 --> 00:05:38.603]  That's right.
[00:05:38.623 --> 00:05:42.166]  You see, it's not the lockdown that caused them to go bankrupt.
[00:05:42.246 --> 00:05:44.949]  It's not the fraud of the virus and the global hoax that caused that.
[00:05:45.629 --> 00:05:46.170]  No, no, no.
[00:05:46.590 --> 00:05:51.535]  If they just submit and take the vaccine and have the passport, then they'll be allowed to travel.
[00:05:51.935 --> 00:05:53.036]  Then they'll be allowed to trade.
[00:05:54.057 --> 00:05:54.777]  But that's not true.
[00:05:55.785 --> 00:05:58.007]  It's the global digital passport that's actually the trap.
[00:05:58.087 --> 00:06:00.249]  Once it's in place, the restrictions will only intensify.
[00:06:00.309 --> 00:06:03.612]  Klaus Schwab, the Davos Group, the UN have all said they want less travel.
[00:06:03.812 --> 00:06:05.313]  They want to lower our carbon footprints.
[00:06:05.333 --> 00:06:10.097]  They want yearly and bi-yearly global lockdowns to lower our carbon footprint.
[00:06:10.938 --> 00:06:15.282]  That's the sick part is they brag about it all, but here's the business owners of the article in Greece.
[00:06:15.582 --> 00:06:19.566]  We're putting our hopes on the vaccines and the COVID pass, said the hotel manager.
[00:06:21.178 --> 00:06:40.246]  Instead of saying, this is a fraud, this is a lie, they counted all the other deaths of other things, this is not very contagious, this is just like the flu, they're teaching us to have phobias of normal activities so that we run into our houses and never leave again, we're all being trained to live on house arrest and be prisoners, all the big tech companies doubled or tripled their profits, China made more billionaires in one year than all billionaires in the rest of the world combined.
[00:06:41.287 --> 00:06:48.030]  No, there's no discussion of the takeover, no discussion of how it's an economic war, using fear, using psychological systems, no.
[00:06:49.249 --> 00:06:53.911]  It's all just, the way forward is submit with your Global ID and your Global Passport.
[00:06:54.932 --> 00:06:57.793]  And here's another microcosm example, also on Infowars.com.
[00:06:58.113 --> 00:07:05.837]  Belt and Road, China reportedly doubled freight shipping to Europe via Russia and Central Asia before the Suez Jam up.
[00:07:05.957 --> 00:07:13.161]  So globalists shipped all our jobs to China, but suppose the America could buy the goods back and then sell them to others, but now that's all over.
[00:07:13.861 --> 00:07:26.886]   And since the Suez Canal got jammed up with thousands of ships blocked, They're now reporting that China isn't just going to double, not just quadruple, but quintuple their trade, and that people will then be basically addicted to doing that.
[00:07:27.266 --> 00:07:31.327]  There's also a magical shortage in shipping containers.
[00:07:31.887 --> 00:07:34.268]  And so as you can see, those boxcars are perfect.
[00:07:34.548 --> 00:07:41.670]  And so now their Belt and Road Initiative is taking over the planet, where JPMorgan Chase, Goldman Sachs, and all the globalists have been investing.
[00:07:41.950 --> 00:07:43.551]  Because business is over in Europe.
[00:07:43.891 --> 00:07:45.271]  Business is over in Australia.
[00:07:45.571 --> 00:07:47.672]  Business is over in the US and Canada.
[00:07:48.212 --> 00:07:51.934]  And they're going to do everything they can in economic warfare to block us.
[00:07:52.435 --> 00:08:00.159]  Isn't it funny that every accident, every disaster, every problem helps China, where the globalists put all their eggs, because they're the authoritarian model of the future.
[00:08:00.179 --> 00:08:15.798]   I get the articles from Sputnik, it's on Infowars.com, Belt and Road, China reportedly doubled freight shipping to Europe via Russia and Central Asia before Suez jam up, and then a Japanese ship Just magically wedges itself in there and there's just no
[00:08:15.798 --> 00:08:16.418]  way to fix it.
[00:08:16.418 --> 00:08:18.177]  Look forward to take weeks or months.
[00:08:18.177 --> 00:08:19.536]  This is just the new way of life.
[00:08:19.536 --> 00:08:26.097]   And that'll further put the U.S. into depression, which Joe Biden is working around the clock to do.
[00:08:26.097 --> 00:08:30.257]   You know, we have more than 10 supplement manufacturers that are all the highest grade
[00:08:30.257 --> 00:08:33.138]   in the U.S. and four of them we can't even get products from anymore.
[00:08:33.138 --> 00:08:36.737]   They've just shut down because of COVID and gone bankrupt basically permanently.
[00:08:36.737 --> 00:08:39.937]   And that's just an example of the economic warfare America is under.
[00:08:39.937 --> 00:08:43.617]   And that's why I tell listeners you need to get storable food now at
[00:08:43.617 --> 00:08:46.737]  preparewithalex.com at the highest quality to lowest prices.
[00:08:46.737 --> 00:08:51.298]   That's why you need to get the supplements and things now so that you're stocked up
[00:08:51.298 --> 00:08:53.778]  and so that we're also funded somewhat into the future.
[00:08:53.778 --> 00:08:58.018]  Because this is the beginning of the collapse.
[00:08:57.925 --> 00:09:02.325]   not the end of the collapse. The globalists have us in their trap, and the more we submit,
[00:09:02.325 --> 00:09:07.764]   and the stupider our lawyer politicians are, not realizing what's happening, the worse it's all
[00:09:07.764 --> 00:09:13.444]   going to be. We end the big sale this Wednesday evening of free shipping on all Emirates essentials,
[00:09:13.444 --> 00:09:17.845]   all the iodine products like X2 and X3, and a whole bunch of other things like
[00:09:17.845 --> 00:09:20.885]  Brain Force Plus, 50% off and free shipping.
[00:09:21.093 --> 00:09:22.355]  So please support us.
[00:09:22.375 --> 00:09:23.616]  Support yourself by doing that.
[00:09:23.677 --> 00:09:26.681]  Get great products at the same time at infowarestore.com.
[00:09:26.921 --> 00:09:29.706]  Remember, only way this transmission gets out is you share it.
[00:09:29.926 --> 00:09:30.487]  You're doing that.
[00:09:30.486 --> 00:09:31.846]  So I salute you and thank you.
[00:09:31.846 --> 00:09:35.307]  [MUSIC PLAYING]
[00:09:35.307 --> 00:09:48.766]  InfoWars.
[00:09:48.400 --> 00:09:50.061]  Tomorrow's news today.
[00:09:52.243 --> 00:09:55.705]  The general public has finally figured out why I'm upset.
[00:09:56.286 --> 00:09:59.228]  They figured out that the globalists are literally trying to kill us.
[00:09:59.248 --> 00:10:01.770]  They're trying to take over civilization and society.
[00:10:01.910 --> 00:10:04.492]  And they depend on the public being ignorant.
[00:10:04.892 --> 00:10:08.155]  That's why Jesus said, my people perish for lack of knowledge.
[00:10:08.515 --> 00:10:10.817]  Knowledge is power, like our bodies.
[00:10:11.457 --> 00:10:17.299]  are made up of all these tissues and all these systems that die without essential vitamins and minerals.
[00:10:17.699 --> 00:10:23.621]  And that's why they don't want you to know about essential vitamins and minerals, because it's so simple, because you won't be under their control anymore.
[00:10:23.961 --> 00:10:32.664]  Well, the Vitamin Mineral Fusion, the highest quality Vitamin Mineral Fusion system out there in a liquid vitamin form, is now back in stock at InfoWarsTore.com.
[00:10:32.824 --> 00:10:37.965]  And it's not just an incredible formula at a great price, it funds the InfoWar at the same time.
[00:10:38.285 --> 00:10:40.166]  No other product you can buy does that.
[00:10:40.586 --> 00:10:42.209]  So again, InfoWareStore.com.
[00:10:42.490 --> 00:10:44.233]  It's back in stock, 50% off.
[00:10:44.574 --> 00:10:45.616]  Vitamin Mineral Fusion.
[00:10:45.636 --> 00:10:47.801]  I'm going to keep it at that until it sells out.
[00:10:48.061 --> 00:10:50.827]  So take action today and give it to your friends and family as a gift.
