[00:00:00.000 --> 00:00:20.480]  [Outro]
[00:05:11.665 --> 00:05:15.708]  So never forget that a collapse here means total death in the third world.
[00:05:16.989 --> 00:05:28.226]   And then, of course, those giant masses of people are then organized by the UN into refugee camps and then brought into the first world as a new political permanent underclass they control, but I digress.
[00:05:29.127 --> 00:05:40.553]  The big takeaway here is that they're going to bring the lockdown back this fall and they're going to extend it through the winter, blaming the unvaccinated, even though none of the facts show that.
[00:05:41.033 --> 00:05:41.794]  I'll cover that in a moment.
[00:05:43.220 --> 00:05:50.588]  They will then quasi-remove the controls for people that accept internet passports, medical passports, tracker systems on their phones.
[00:05:51.229 --> 00:06:02.441]  People that accept to be enrolled in a face scan hand print program that quote has more security will be given the highest rating in the new social credit score rollout that is already taking place.
[00:06:04.056 --> 00:06:05.057]  Now, why is all this being done?
[00:06:05.077 --> 00:06:05.817]  Well, there's a lot of reasons.
[00:06:05.837 --> 00:06:16.904]  Consolidate power, more control, put the UN in charge, set up the censorship bureaus to block anybody telling the truth about what's happening or anybody pointing out the dangers and deaths and illnesses caused by the vaccines.
[00:06:17.384 --> 00:06:20.566]  This is all just the first phases of going operational.
[00:06:20.586 --> 00:06:24.388]  So they went from beta to operational, but this is operational beta.
[00:06:24.889 --> 00:06:31.733]  They went from pure beta into the first operational phase, where they're just gauging and testing different systems of control around the world.
[00:06:31.773 --> 00:06:38.492]   They admit this with top think tanks, behavioral psychology brigades, literally of the military.
[00:06:38.492 --> 00:06:41.573]   All the major militaries are involved other than the Russians.
[00:06:41.573 --> 00:06:49.492]   And they are just moving against us with this PSYOP and then always tweaking it and fine
[00:06:49.492 --> 00:06:50.533]  tuning it.
[00:06:50.533 --> 00:06:56.573]   But again, this is all in the United States being done and every other authoritarian regime
[00:06:56.573 --> 00:06:58.933]  likes it as well because it gives them power.
[00:06:58.933 --> 00:07:04.773]   So that as the midterms approach in only 15 months, they will have the pretext yet again
[00:07:04.773 --> 00:07:07.052]  to have the fake millions of mail-in ballots.
[00:07:08.036 --> 00:07:16.623]  And Biden, who's declared the climate emergency, and Biden, who's declared this COVID emergency, will be able to circumvent federal and state laws.
[00:07:18.004 --> 00:07:23.889]  They believe, and stop the giant populist Republican landslide that every metric shows is about to happen.
[00:07:24.684 --> 00:07:28.047]  That's why the New York Times is saying, what's wrong with illegal aliens voting?
[00:07:28.487 --> 00:07:30.228]  Whoever said only citizens can vote?
[00:07:30.769 --> 00:07:33.351]  That was the cover page two days ago.
[00:07:33.431 --> 00:07:35.132]  So this is their move.
[00:07:35.473 --> 00:07:39.796]  And then if you read in the two month old now new official U.S.
[00:07:39.816 --> 00:07:50.745]  government policy on terrorism by Biden, it says questioning elections, questioning lockdowns is white supremism and white supremism equals terrorism.
[00:07:51.076 --> 00:07:56.036]   and the full weight of the US military, the Pentagon, the CIA, and the other 15 intelligence agencies
[00:07:56.036 --> 00:08:02.197]   can, will, and is being used against you. So we're not approaching martial law. We're under a
[00:08:02.197 --> 00:08:08.677]   medical tyranny, medical dictatorship via the corporations of the UN. The United States
[00:08:08.677 --> 00:08:13.317]   is now a subsidiary of that, officially taking orders from the United Nations.
[00:08:13.547 --> 00:08:15.028]  Our medical policy is set by them.
[00:08:15.588 --> 00:08:21.231]  Who can speak, who can talk, who can be online, whether the head of a university or a major scientist is up to them.
[00:08:22.551 --> 00:08:24.472]  The point is, is this is not all approaching.
[00:08:25.912 --> 00:08:27.353]  This is, this is here now.
[00:08:28.393 --> 00:08:33.535]  And so Republicans need to understand that this is all about the final takedown of this country.
[00:08:34.116 --> 00:08:39.338]  And this really is America and the world's last shot to fix this peacefully.
[00:08:40.017 --> 00:08:45.460]  Because they're already coming aggressively with these dangerous, unapproved genetic engineering drugs is what they are.
[00:08:46.841 --> 00:08:47.881]  They're already surveilling everybody.
[00:08:47.901 --> 00:08:48.942]  They're already censoring everybody.
[00:08:48.962 --> 00:08:55.866]  They're already setting up their contact tracing groups and their new medical inquisition army.
[00:08:56.787 --> 00:09:00.168]  And so on a scale of 1 to 100, medical tyranny wise, this is a 100.
[00:09:01.533 --> 00:09:17.724]  I mean, when they're on every channel saying, if you don't take these shots, you can't have a job, you can't keep your children, you can't go to the store and buy food, whether it's MSNBC, ABC, CNN, or the British leaders, or the French leaders, it's all the same.
[00:09:19.506 --> 00:09:27.651]  This is the corrupt ruling class's pretext, their move to take control of all of society, and it's happening now.
[00:09:27.671 --> 00:09:31.074]  And if people don't wake up to the full horror, there again is no hope of defeating it.
[00:09:32.247 --> 00:09:34.828]  The psychology is very, very simple.
[00:09:35.848 --> 00:09:45.932]  Give up your rights, take the injections, let us track everything you do, let us control your life, and the emergency will blow over like a bad storm, like a bad nightmare.
[00:09:47.192 --> 00:09:52.914]  Oh, sorry, enough people didn't do what we said, and so now we've got to bring the control back.
[00:09:52.974 --> 00:09:55.815]  Gee, we hate all this power and control we're getting.
[00:09:56.115 --> 00:09:59.794]   We hate how the big tech companies have doubled and tripled profits and how Walmart and Target
[00:09:59.794 --> 00:10:04.514]   have doubled profits, while you all learn to be non-essential.
[00:10:04.514 --> 00:10:07.553]  It's out in the open.
[00:10:07.553 --> 00:10:13.235]   But what's so frustrating is they had articles in CNN, The Wall Street Journal, The New York
[00:10:13.235 --> 00:10:20.674]   Times, The Times of London, everywhere, a year and a half ago, saying, this is really to get rid of the carbon
[00:10:20.674 --> 00:10:24.953]   and to teach people to not be so wasteful and to teach people that they just can't have vacations
[00:10:24.953 --> 00:10:26.313]  fly on airplanes or have cars.
[00:10:26.314 --> 00:10:29.716]  And the symbol of it is permanently wearing a mask.
[00:10:30.357 --> 00:10:34.800]  And just like seatbelts became ubiquitous, you will submit and mask will never come off.
[00:10:35.580 --> 00:10:38.122]  And I'm like, hey, look, they're admitting that's the plan.
[00:10:38.162 --> 00:10:39.563]  They're admitting it's for carbon taxes.
[00:10:41.184 --> 00:10:43.666]  Once they get the world ID, it's the Extinction Rebellion movement.
[00:10:43.686 --> 00:10:48.329]  You know, that once the trains and the cars all have to stop, that's their brown shirts, their foot shoulders.
[00:10:49.171 --> 00:10:53.571]   Earth First, a former head, is now being put in as the head of BLM.
[00:10:53.571 --> 00:10:57.171]   She believes in a post-human world. She believes humans are parasites.
[00:10:57.171 --> 00:11:03.171]   This is a cult that has this attitude as their excuse to rule over people.
[00:11:03.171 --> 00:11:08.100]   And we have to stop putting them up there like they're the moral authority lecturing us on how they're guardians of
[00:11:08.100 --> 00:11:08.571]  the earth.
[00:11:08.640 --> 00:11:09.860]  It has nothing to do with guarding the earth.
[00:11:09.881 --> 00:11:27.005]  It has everything to do with total, absolute power and control over every calorie, over every ounce of energy that all of us use, and the excuse and pretext to surveil what we do and what we use, and the capability to massively ration that.
[00:11:28.125 --> 00:11:32.884]   This is a political, cultural, economic, spiritual revolution
[00:11:32.884 --> 00:11:37.845]   where the environmental groups run by the Davos group and the UN are the high priest, they're the temples,
[00:11:37.845 --> 00:11:41.724]  and all of us that fight back against them are the heretics.
[00:11:41.724 --> 00:11:46.163]   All of those that go along with it are the faithful, and they'll be rewarded on their smartphones
[00:11:46.163 --> 00:11:48.884]  with universal basic income if they submit.
[00:11:48.884 --> 00:11:57.884]   But for that reward of absolution, for that act of pittance that they're supposedly
[00:11:57.884 --> 00:12:00.563]  and have to indulge this new church.
[00:12:00.931 --> 00:12:07.655]  They will, of course, have to give over their culture, their mind, their bodies to the GMO big pharma cartels.
[00:12:08.615 --> 00:12:17.561]  This is a permanent emergency that the planet is being put into, whereby increment we are taught to go under its control.
[00:12:18.581 --> 00:12:26.287]   And it's interesting to notice whether it's the UK or Australia or the US, it's Communist Party members Who are pushing this and supporting it.
[00:12:27.067 --> 00:12:32.528]  This is not a communist conspiracy, but the globalists are using communist networks of authoritarianism to bring this in.
[00:12:32.868 --> 00:12:34.789]  And they understand it's about social control.
[00:12:35.989 --> 00:12:44.630]  And that just like the Bolsheviks took 10 years to get control of Russia starting in 1917, they are getting control of us the same way.
[00:12:45.410 --> 00:12:50.451]  Just as Mao did as well, taking 20 years to get the farmers off the land so he controlled them.
[00:12:51.592 --> 00:12:53.692]  This is unrestricted total warfare.
[00:12:54.673 --> 00:12:58.755]  And again, the post-industrial world is not to just get control of everybody.
[00:12:58.895 --> 00:13:05.877]  It is then to set up a world where it's impossible, via this controlled collapse, to have a family, to have children, and to have a meaningful life.
[00:13:06.498 --> 00:13:12.980]  And that will force people more and more into compact cities and the whole VR, AI system of false reality.
[00:13:13.200 --> 00:13:14.581]  And this is their plan.
[00:13:15.021 --> 00:13:19.603]  That's how I know each step of what's going to happen, because it's all been stated by them, and that's what's so frustrating.
[00:13:20.757 --> 00:13:39.126]  So we see the domesticated population like lambs to the slaughter, really believing that the social contract is still in place and that the system really cares about them and they're all just working together because we've been taught for generations that that's supposedly what's happening, but that's, that's not what's happening.
[00:13:40.267 --> 00:13:44.709]  And we are now facing the globalist main move right now.
[00:13:47.045 --> 00:14:03.839]  That's why it's up to all of us to raise the alarm about how criminal this system is and continue, like our lives depend on it, because they do, to expose how every facet and every face of this COVID-19 hysteria takeover has been a lie and a fraud from the very beginning.
[00:14:04.820 --> 00:14:06.902]  Have you sat back and thought about how you were lied to?
[00:14:07.883 --> 00:14:11.546]  Have you sat back and chronicled it, written it down, and then showed it to others?
[00:14:12.796 --> 00:14:14.837]  Because these people have to be discredited.
[00:14:15.357 --> 00:14:18.278]  And these people have to be sued and indicted and opposed.
[00:14:18.298 --> 00:14:21.720]  And we're going to have to engage in civil disobedience that you already see around the world.
[00:14:22.760 --> 00:14:25.881]  To bring this to a stop and shut down globalist events.
[00:14:26.522 --> 00:14:29.443]  Because they've never paid the price for anything they've done to us.
[00:14:29.723 --> 00:14:30.543]  They shut us down.
[00:14:31.004 --> 00:14:32.084]  They declare us non-essential.
[00:14:32.444 --> 00:14:34.445]  They wage war and siege upon us.
[00:14:35.946 --> 00:14:38.447]  And then tell us, oh, the football games are over, the Olympics are over.
[00:14:39.266 --> 00:14:46.729]  So we beg for those very events when it's those events that they own and control that we should boycott and shun and protest and block the highways to.
[00:14:46.749 --> 00:14:50.210]  We have to realize their psychology.
[00:14:50.250 --> 00:14:51.931]  We have to protest at their homes.
[00:14:51.951 --> 00:14:52.911]  We have to protest their buildings.
[00:14:52.931 --> 00:14:54.492]  We have to boycott their companies.
[00:14:56.292 --> 00:14:59.193]  When we see a globalist, we have to get in their face, legally and lawfully.
[00:14:59.954 --> 00:15:06.356]  Because these people are getting in our faces with poisonous injections they're trying to force us, in violation of the Nuremberg Code, to accept.
[00:15:08.271 --> 00:15:15.834]  Think about how they run these headlines, cherry-picking on CNN and everywhere else, the Hill, every day, saying, oh, this man didn't believe in the shots, so he died of COVID.
[00:15:16.694 --> 00:15:29.279]  And almost every time you check the local news, it has a different story that the man had underlying cancer, or the little boy already had heart problems, or the fact that they just said it was a COVID test, but it wasn't a COVID test.
[00:15:29.759 --> 00:15:30.719]  We know all of that.
[00:15:31.460 --> 00:15:35.381]  But then they suppress and they hide the VAERS reporting system they've now taken offline.
[00:15:35.781 --> 00:15:43.606]   And they suppress people that Post a video of the funeral of their 25-year-old daughter who was in total health and a nurse and took the second shot and died.
[00:15:44.947 --> 00:15:54.895]  So never forget that, that they're suppressing treatments for normal viral infections and engaging in mass murder and telling people to have pneumonia, stay home till they die, then calling it COVID.
[00:15:55.355 --> 00:15:59.498]  And refusing people medical treatment that have heart attacks and cancer in the last year and a half.
[00:15:59.999 --> 00:16:04.142]  And all the hundreds of billions of dollars extra the insurance companies made by not rendering aid.
[00:16:05.660 --> 00:16:20.566]  And now the new numbers out of Israel, out of all these other places, like Iceland, like Singapore, like Gibraltar, where they have up to 98% vaccination rates.
[00:16:21.126 --> 00:16:24.108]  The countries I just listed, between 80 and 98, the countries vary.
[00:16:25.448 --> 00:16:30.390]  Israel's 80, Singapore's 80, Gibraltar's 98, Iceland's over 90.
[00:16:31.050 --> 00:16:34.352]  They all have the highest rates of death and illness in people with COVID.
[00:16:35.475 --> 00:16:38.417]  Because it's not COVID, it's the spike protein, and that's all coming out of studies.
[00:16:39.857 --> 00:16:49.642]  As they suppress what Texas doctors have discovered, that just aerosolized inhaled steroids has a 100% rate of recovery with COVID, if you get it early.
[00:16:50.423 --> 00:16:54.285]  But again, most doctors are told you can't even prescribe that, because the UN said so.
[00:16:56.274 --> 00:17:00.035]  This is a full attack against civilization, a full attack against knowledge.
[00:17:00.575 --> 00:17:06.157]  This is a new dark age being imposed, where if you challenge the orthodoxy, you literally get put in an electronic gulag.
[00:17:06.437 --> 00:17:13.700]  And now they have attorney generals put in power by Soros across the country, trying to arrest people that expose the COVID-19 fallacies and lies.
[00:17:14.020 --> 00:17:15.521]  In Australia, they're passing laws.
[00:17:15.561 --> 00:17:22.223]  In Europe, they're passing laws to put people in jail that even organize and protest or speak out against the lockdowns.
[00:17:23.780 --> 00:17:30.303]  And that takes us full circle to Biden, two months ago issuing the new National Terrorism Directive, saying people that question lockdowns are terrorists.
[00:17:31.103 --> 00:17:33.984]  Well, of course we knew new lockdowns were coming when they did that.
[00:17:34.565 --> 00:17:35.585]  It had always been their plan.
[00:17:35.605 --> 00:17:36.946]  They said it's a permanent emergency.
[00:17:37.826 --> 00:17:40.127]  They tighten it down, loosen it up, tighten it down, loosen it up.
[00:17:40.167 --> 00:17:42.468]  But each time they retighten, it just gets tighter.
[00:17:42.868 --> 00:17:45.770]  And each time they loosen, it doesn't get as loose as it did the time before.
[00:17:46.410 --> 00:17:47.831]  Successive approximation.
[00:17:49.431 --> 00:17:52.893]  And of course, it's coming out in places like Massachusetts that the vast majority of people sick.
[00:17:53.666 --> 00:17:54.367]  Are they vaccinated?
[00:17:55.187 --> 00:17:56.549]  It's coming out everywhere.
[00:17:56.649 --> 00:17:57.690]  So many stories a day.
[00:17:58.070 --> 00:17:58.691]  And then the big one.
[00:17:59.411 --> 00:18:04.656]  On a Don Salazar article about an FDA PowerPoint presentation they were giving to a state government.
[00:18:06.457 --> 00:18:09.040]  And they had erased some slides they didn't want seen by the public.
[00:18:10.365 --> 00:18:12.967]  But a digital copy got put in and they flash it on screen.
[00:18:13.848 --> 00:18:19.834]  This is a year ago about what they knew the vaccine would do because they'd already pre-tested vaccines under other names for coronaviruses.
[00:18:20.534 --> 00:18:21.175]  And there it was.
[00:18:21.275 --> 00:18:29.042]  Heart attacks, blood clots, strokes, Guillain-Barre, narcolepsy, epilepsy, cancer, death.
[00:18:29.122 --> 00:18:29.602]  It's all there.
[00:18:30.383 --> 00:18:32.405]  Think about that long and hard.
[00:18:33.610 --> 00:18:38.951]  And realize the premeditated evil of how these agencies knew this and did this.
[00:18:38.971 --> 00:18:40.912]  And they said, my God, we're not going to give approval to this.
[00:18:41.172 --> 00:18:41.932]  We're going to get the blame.
[00:18:42.312 --> 00:18:44.333]  So instead, they said it has emergency approval.
[00:18:44.813 --> 00:18:45.953]  And they tricked President Trump.
[00:18:46.073 --> 00:18:49.434]  They were holding the economy hostage on to do warp speed.
[00:18:50.234 --> 00:18:51.694]  And Trump has now committed himself to it.
[00:18:52.494 --> 00:18:53.535]  And it's just a terrible thing.
[00:18:54.255 --> 00:18:57.236]  And I hold Trump and I hold others responsible.
[00:18:57.256 --> 00:18:59.916]  But I know that Trump did not consciously do this.
[00:19:00.576 --> 00:19:02.957]  And now he's coming out saying you shouldn't be made to take the vaccine.
[00:19:04.420 --> 00:19:05.080]  So that's a good thing.
[00:19:05.100 --> 00:19:05.921]  He needs to be more vocal.
[00:19:05.981 --> 00:19:20.466]  But with the globalists, it was all premeditated, all known, University of Texas, major government initiative, 2012, studying coronaviruses with the protein and the fact that it killed the rats with the blood clots just the same way.
[00:19:21.146 --> 00:19:23.567]  It's killing humans and there it is in the FDA slideshow.
[00:19:24.568 --> 00:19:24.948]  You understand?
[00:19:26.167 --> 00:19:27.128]  So, it's up to you.
[00:19:27.429 --> 00:19:28.049]  You can resist.
[00:19:28.089 --> 00:19:28.730]  You can speak out.
[00:19:28.750 --> 00:19:29.411]  You can say no.
[00:19:29.871 --> 00:19:30.732]  You can go speak at your church.
[00:19:30.772 --> 00:19:31.954]  You can call in to talk radio.
[00:19:32.795 --> 00:19:35.918]  You can support InfoWars and Folks Who Are Telling the Truth.
[00:19:36.419 --> 00:19:39.334]   But whatever you do, Redouble your effort.
[00:19:39.854 --> 00:19:46.918]  I want to commend all the listeners that are taking my show and taking these special reports and edit them however you want.
[00:19:46.938 --> 00:19:47.599]  I don't care.
[00:19:47.639 --> 00:19:49.820]  Just get them out to everybody.
[00:19:49.880 --> 00:19:55.204]  Keep sharing them on Instagram, on Twitter, on Facebook, on YouTube, and show them to your school.
[00:19:55.264 --> 00:19:56.144]  Show them to your employees.
[00:19:57.025 --> 00:19:57.765]  Show them to your church.
[00:19:59.226 --> 00:20:00.427]  Do it now, ladies and gentlemen.
[00:20:00.507 --> 00:20:02.808]  You have to be the leaders in the world.
[00:20:02.868 --> 00:20:05.010]  You have to be the change you want to see in the world, to quote Gandhi.
[00:20:06.152 --> 00:20:09.257]  And you have to understand that things only get worse by submitting.
[00:20:10.419 --> 00:20:12.341]  They're only going to get better.
[00:20:13.641 --> 00:20:22.943]  By resisting and the message to the Republicans who are patriots of some of them, not all of them who are fighting back against this tyranny is to get even more hardcore, come out with the truth.
[00:20:23.323 --> 00:20:35.346]  People are ready for the truth and understand that Biden is planning to have another lockdown that they ease up next summer that they bring back in in the winter and the fall to steal the election again and say, Hey, we did this last year too.
[00:20:35.766 --> 00:20:39.667]  So we're not just doing this for the midterms in 2022.
[00:20:40.207 --> 00:20:40.527]  We did 2021.
[00:20:41.268 --> 00:20:43.048]  That's why they've got to bring the lockdown back.
[00:20:44.224 --> 00:20:44.684]  You understand?
[00:20:45.564 --> 00:20:50.426]  And also they're trying to cover up the fact that it's the vaccines making people sick, so they have to just continue pushing this thing.
[00:20:50.526 --> 00:20:54.247]  Once you trigger something like this, they can only push harder or they're all gonna go to prison.
[00:20:54.287 --> 00:20:54.887]  They're committed.
[00:20:55.867 --> 00:20:56.987]  And so we better get committed.
[00:20:57.027 --> 00:20:57.747]  So what's the big point?
[00:20:59.248 --> 00:20:59.848]  What's the big thing?
[00:21:00.908 --> 00:21:02.849]  What do we gotta get out to the Republicans?
[00:21:04.249 --> 00:21:08.150]  That they're gonna have another lockdown to set the precedent to do it again next year.
[00:21:09.390 --> 00:21:13.920]   And be able to say, hey, we didn't just do this for the election, We've done it the last two years in a row.
[00:21:14.740 --> 00:21:21.344]  And to then demonize the unvaccinated and say we've got to basically be arrested or put in emergency centers, which is already happening other parts of the world.
[00:21:22.005 --> 00:21:23.065]  And which is the UN directive.
[00:21:24.146 --> 00:21:25.187]  So this is very disturbing.
[00:21:25.207 --> 00:21:25.827]  This is very dark.
[00:21:25.847 --> 00:21:26.608]  This is very dangerous.
[00:21:27.408 --> 00:21:28.749]  Until we wake up and say no to it.
[00:21:28.829 --> 00:21:29.770]  Okay, God bless you all.
[00:21:30.550 --> 00:21:32.291]  I'll be back Sunday, Lord willing.
[00:21:32.311 --> 00:21:32.952]  Please pray for us.
[00:21:32.972 --> 00:21:34.052]  4 to 6 p.m.
[00:21:34.072 --> 00:21:34.893]  with a regular Sunday show.
[00:21:34.933 --> 00:21:35.233]  Thank you.
[00:21:35.413 --> 00:21:35.913]  God bless.
[00:21:35.933 --> 00:21:36.594]  Now please take action.
[00:21:38.442 --> 00:21:44.008]  Hello, I'm Mike Lindell, and I'm coming to you with the most important commercial that I've ever done.
[00:21:44.489 --> 00:21:51.156]  All of you know what my pillow and myself have gone through in the last five months in my efforts to bring the truth forward.
[00:21:52.017 --> 00:21:53.578]  Well, it's all come down to this.
[00:21:54.319 --> 00:21:57.823]  I'm having a cyber symposium on August 10th, 11th, and 12th.
[00:21:59.813 --> 00:22:07.597]  This historical event will be live streamed 72 hours straight on my new platform, FrankSpeech.com.
[00:22:07.998 --> 00:22:13.060]  You can help by getting everybody you know to go to FrankSpeech.com now.
[00:22:13.881 --> 00:22:24.387]  To help support this cyber symposium event, I am offering some of the best prices ever on my pillow products, but they're only offered at FrankSpeech.com.
[00:22:24.907 --> 00:22:34.881]  Go to FrankSpeech.com now and use the promo code on your screen or call the 1-800 number below to receive these exclusive MyPillow offers.
[00:22:35.381 --> 00:22:36.583]  Thank you and God bless.
