[00:00:00.229 --> 00:00:02.531]  Humanity is being held hostage.
[00:08:54.463 --> 00:08:57.946]  I'm saying what all the real scientists and experts and Nobel Prize winners are saying.
[00:08:58.386 --> 00:08:58.766]  All of them.
[00:08:58.806 --> 00:08:59.287]  It's crazy.
[00:08:59.607 --> 00:09:01.168]  I'm actually proud of the scientific community.
[00:09:01.906 --> 00:09:11.813]  But you have the globalists, the big corporations that have hijacked that community and are now taking over with a medical dictatorship the world economy and where we can go and what we can do and locking us in our homes.
[00:09:12.634 --> 00:09:18.639]  If a foreign enemy came and took over the United States and then ordered us to stay in our homes at night, we wouldn't put up with that.
[00:09:19.219 --> 00:09:23.602]  But when the UN and the big corporations do it, in the name of this virus they cooked up, we do do it.
[00:09:24.363 --> 00:09:27.825]  You never get out of this type of control by bowing down.
[00:09:28.266 --> 00:09:31.168]  You only get out of it by saying no and rebuking it and exposing it.
[00:09:32.486 --> 00:09:41.095]  We either expose and prosecute the ringleaders of this, Bill Gates, Fauci, and others, or they're going to continue to expand this program.
[00:09:41.255 --> 00:09:43.097]  And that's the most important thing I'm going to say here today.
[00:09:43.838 --> 00:09:47.261]  Just like Domino's, we know what's coming next in their plan.
[00:09:48.643 --> 00:09:52.467]  And that's going to be new, even more hardcore viruses they're going to release.
[00:09:53.956 --> 00:09:56.017]  Just see if we'll stay in our homes and quietly die.
[00:09:56.037 --> 00:10:07.385]  It's going to be the third world collapsing because of the ongoing lockdowns that are now in place and the UN organizing hundreds of millions of people, which they say they're going to bring here to flood the United States and Europe as a political tool to bring us to our knees.
[00:10:08.348 --> 00:10:19.632]  It's going to mean contact tracers coming to your house, demanding to come in your home with armed police, and then taking you away to emergency COVID centers, even if you've tested negative on their fraudulent machines.
[00:10:20.352 --> 00:10:24.333]  And yes, it means COVID camps for people who refuse the inoculation.
[00:10:24.593 --> 00:10:25.794]  It's being announced in the UK.
[00:10:25.954 --> 00:10:26.954]  It's being announced in Israel.
[00:10:27.154 --> 00:10:28.195]  It's being announced in Australia.
[00:10:28.395 --> 00:10:31.636]  And they're now even beginning to do it in places of Northern Europe.
[00:10:32.036 --> 00:10:33.956]  We shot a big report on that with witnesses yesterday.
[00:10:34.357 --> 00:10:35.197]  That's at Bandot Video.
[00:10:36.149 --> 00:10:39.151]  So this thing just gets worse and worse and worse the more we submit.
[00:10:39.732 --> 00:10:42.494]  And each new stage of the program is completely obvious.
[00:10:42.954 --> 00:10:46.356]  Just like we told you they're going to blame the unvaccinated when the vaccine doesn't work.
[00:10:46.917 --> 00:10:48.358]  How did we say that over a year ago?
[00:10:48.698 --> 00:10:51.180]  Because we know the enemy plan.
[00:10:51.940 --> 00:11:01.367]  I'm going to shoot another report this afternoon that's going to detail what the world will look like in two years if we don't start turning the tide back now and saying no.
[00:11:02.116 --> 00:11:09.102]  So to all the legislatures and all the corporate owners who aren't globalist and everybody out there who thinks you're safe on the fence, you're not safe on the fence.
[00:11:09.422 --> 00:11:10.743]  You got to get off the fence now.
[00:11:10.823 --> 00:11:16.708]  This is a very cancerous, hardcore, authoritarian world government takeover plan that has been well thought out.
[00:11:16.789 --> 00:11:26.035]   But if you were awake to the plan, And awake to how it operates, it's very easy to defeat if people simply, again, awaken and start resisting it in nonviolent ways.
[00:11:26.495 --> 00:11:29.157]  The problem is they're assaulting us physically with these deadly shots.
[00:11:29.797 --> 00:11:31.738]  They're violating our rights, trying to coerce us to take them.
[00:11:32.379 --> 00:11:34.240]  And so we do have a right to defend ourselves.
[00:11:34.780 --> 00:11:36.301]  And I'm not calling for violence right now.
[00:11:36.421 --> 00:11:41.384]  I'm just simply saying that we are entering a wheelhouse where the gloves are off.
[00:11:42.505 --> 00:11:45.947]  I don't want any violence because they're probably going to stage false flags against themselves.
[00:11:46.417 --> 00:11:49.058]  To make the whole medical tyranny group look like victims.
[00:11:50.779 --> 00:11:55.942]  That's why they've got a new Homeland Security report put out two months ago by Biden, that anyone that's against lockdowns is a terrorist.
[00:11:56.422 --> 00:12:07.108]  They're already branding us as terrorists as they kill us, as they poison us, as they lock us up, as they say we're not essential, as they rob us, as they implode us, as they impoverish us through economic and cultural warfare.
[00:12:07.688 --> 00:12:14.050]  So we have to be like Gandhi and Jesus Christ and Martin Luther King and point that out to the public and be peaceful.
[00:12:14.510 --> 00:12:21.193]  But also point out that once we take the government back, there will be trials just like Nuremberg for the individuals that did this and they will pay.
[00:12:21.473 --> 00:12:23.534]  It's very important for the globalists to be uncomfortable.
[00:12:24.214 --> 00:12:26.555]  It's very important for them to know that they will be held accountable.
[00:12:26.875 --> 00:12:29.796]  It's very important for them to know that we're aware of their plan.
[00:12:30.356 --> 00:12:32.617]  The only way we can counter this evil is if you take action.
[00:12:33.035 --> 00:12:34.236]  You weren't just part of the equation.
[00:12:34.256 --> 00:12:35.577]  You were basically the entire equation.
[00:12:35.597 --> 00:12:39.761]  You know the old saying, if a tree falls in the forest and nobody's there to hear it, did it make a sound?
[00:12:40.241 --> 00:12:42.403]  It's up to you to take this report and get it out.
[00:12:42.423 --> 00:12:44.585]  This is a life and death situation.
[00:12:44.926 --> 00:12:46.507]  Things are deteriorating very, very fast.
[00:12:47.168 --> 00:12:50.671]  We've now confirmed that this is their most vicious takeover plan that they've launched.
[00:12:51.351 --> 00:12:54.294]  And all I can say is you better get right with God as well and take action while you still can.
[00:12:54.994 --> 00:13:02.467]  They have never guessed the right flu virus for the mutation of what the main flu is the next year, and it's always a whole bunch of flus, dozens and dozens of them.
[00:13:03.108 --> 00:13:07.756]  And that it does nothing to protect you from the next flu if it's not the exact flu!
[00:13:09.875 --> 00:13:12.636]  That's why they never ask why they don't have a vaccine for the common cold.
[00:13:12.956 --> 00:13:14.077]  Because it's too varied.
[00:13:14.397 --> 00:13:15.558]  Because there's thousands of them.
[00:13:15.858 --> 00:13:17.839]  And because you have to get it exactly right.
[00:13:18.119 --> 00:13:19.559]  And viruses are always mutating.
[00:13:19.719 --> 00:13:21.560]  But you notice they're telling you they've got a vaccine.
[00:13:21.900 --> 00:13:25.202]  They want you willingly to go take whatever it is that's gonna be in there.
[00:13:25.702 --> 00:13:36.087]  Now Fauci has come out, if you just joined us, we're gonna play the clip again, first here in a moment, and said, hey, we're gonna surveil people, we're gonna cycle into other seasons, next year you won't be able to go out either.
[00:13:37.372 --> 00:13:44.676]  So they'll run into the middle of summer, and then let you have a month or two, and then clamp it back down, but there'll be special apps they're announcing, you'll be tracked, China was the model.
[00:13:45.737 --> 00:13:48.378]  They're gonna roll it out like they just got these ideas, but it's all pre-planned.
[00:13:49.359 --> 00:13:57.663]  By the Rockefeller Foundation, Bill and Melinda Gates, the tabletop exercises, predicting COVID-19 in November when it was already launched in China.
[00:13:57.924 --> 00:14:09.919]   I think all of you already instinctively know this is the big one, and if we fail this test, we're gonna be ruled by the threat of unending invisible bio weapons.
[00:14:10.399 --> 00:14:20.482]  They're gonna tighten down the restrictions, loosen them by the summer, and then release new strains immediately that aren't even as bad as the current strain.
[00:14:20.502 --> 00:14:25.044]  They'll say they're worse, fear monger, and then clamp down even stronger.
[00:14:25.864 --> 00:14:26.964]  That's what they've done in Italy.
[00:14:27.044 --> 00:14:32.246]  It's what they've done in other areas where they've been beta testing, like Spain, and now moving towards Australia.
[00:14:32.266 --> 00:14:33.426]  So this is all formulaic.
[00:14:33.285 --> 00:14:45.204]  It's all heavily scripted and we know they're playing.
[00:14:45.348 --> 00:14:46.129]  Tomorrow's news.
[00:14:46.328 --> 00:15:13.128]  today.
[00:15:13.379 --> 00:15:15.760]  And you've got dog beds, cat beds now.
[00:15:15.800 --> 00:15:19.520]  You've got incredible human beds that are revolutionary at a very low price.
[00:15:20.060 --> 00:15:24.581]  You've got your towels that are the big, that my wife loves, already had them before this.
[00:15:25.021 --> 00:15:28.902]  The pillows, obviously, and the Giza sheets and all of it.
[00:15:29.242 --> 00:15:37.487]   If people go to MyPillow.com and at checkout, put in Alex, you get up to 66% Off and hey, a lot of you did it.
[00:15:37.607 --> 00:15:40.452]  It got some great support into InfoWars to keep us on air.
[00:15:40.472 --> 00:15:41.994]  MyPillow.com promo code Alex.
[00:15:42.335 --> 00:15:43.817]  MyPillow.com promo code Alex.
