[00:00:00.069 --> 00:00:04.234]  Bill Gates said yesterday that he made a mistake when he met with sex trafficker Jeffrey Epstein.
[00:02:46.814 --> 00:02:50.415]   I know my husband is not vaccinating people and putting a microchip in her arm
[00:02:50.415 --> 00:02:52.295]  because that technology doesn't even exist.
[00:02:52.295 --> 00:02:56.696]   And he's never uttered the words out of his mouth. So (laughs)
[00:02:57.156 --> 00:03:09.399]  Even though we have Rice, we have MIT, we have all these groups saying for many years Bill Gates has come to them with her foundation, Bill and Melinda Gates Foundation, and said they want exactly that.
[00:03:09.439 --> 00:03:15.181]  Even CBS News is now reporting that they want the military to take implantable chips to track their medical system.
[00:03:15.521 --> 00:03:25.084]  Now CBS is also reporting that, oh, the new booster shots are going to be a patch that has little micro needles that go into your skin so we can just scan it and tell you've been given the vaccine.
[00:03:26.678 --> 00:03:35.607]  I know she's embarrassed, and the family's embarrassed, and their daughter says, the young medical student says, that they've gone through a very, very rough time right now.
[00:03:36.047 --> 00:03:47.362]   So undoubtedly having the most vilified, most hated dad in the world, or husband in the world, must be terrible, but Bill Gates has been a villain For his whole adult life.
[00:03:47.902 --> 00:03:48.762]  The man is a liar.
[00:03:48.822 --> 00:03:49.603]  The man is a fraud.
[00:03:49.623 --> 00:03:51.063]  The man stole software.
[00:03:51.103 --> 00:03:56.746]  The man was found to be in violation of antitrust rules with a monopoly killing competitors in America.
[00:03:57.886 --> 00:04:03.149]  The man runs systems like NewsGuard that goes around censoring people and saying they're fake news when it's true news.
[00:04:03.489 --> 00:04:09.112]  His own NewsGuard said that I lied that India had said no to the Pfizer shot when that was a fact.
[00:04:09.912 --> 00:04:14.034]  They lied and said that China hadn't said no to their vaccine, but they did.
[00:04:15.336 --> 00:04:19.559]  They lied and said that I was making it up that 21 countries in Europe have banned AstraZeneca.
[00:04:19.699 --> 00:04:20.279]  They have!
[00:04:20.839 --> 00:04:22.480]  These people are liars.
[00:04:22.921 --> 00:04:23.721]  These people are criminals.
[00:04:23.761 --> 00:04:40.791]   And I know Bill Gates is, because I've seen his actions, his father's actions, his mother's actions, who are all devout eugenicists, to the point that Thomas Watson, who got the highest award in Nazi Germany, above Hitler's award, For running the IBM machines that put the tattoos on the Jews and others that ran the death camps.
[00:04:41.211 --> 00:04:46.033]  And so I know who this family is and maybe Melinda Gates has finally figured it all out.
[00:04:46.133 --> 00:04:54.156]  Maybe now she's become decompartmentalized and that's why she's doing this except she says the work of the foundation will continue.
[00:04:54.576 --> 00:04:57.377]  And what the developing world does not need is more children.
[00:04:58.737 --> 00:05:09.710]   And I think that was the biggest So maybe she's just tired of being a beard, not for any weird sexual stuff, but to simply make Bill look more human because he's got a wife, kind of like the pink sweater that he and Oprah always wear.
[00:05:09.530 --> 00:05:13.730]   these children will women just keep overpopulating the world and thank
[00:05:13.730 --> 00:05:18.170]   goodness the converse is absolutely true. So maybe she's just tired of being a
[00:05:18.170 --> 00:05:25.330]   beard not for any weird sexual stuff but to simply make Bill look more human
[00:05:25.330 --> 00:05:28.290]   because he's got a wife kind of like the pink sweater that he and Oprah always
[00:05:28.290 --> 00:05:34.090]   wear so here it is the daughter says it's been a challenging stretch of time
[00:05:32.717 --> 00:05:38.100]  Bill Gates has hired 97-year-old billionaire lawyer friend Charlie T. Munger to represent him in the divorce.
[00:05:39.120 --> 00:05:39.320]  She's 56.
[00:05:39.740 --> 00:05:44.062]  She described a relationship in the court filing and the divorce is irrevocably broken.
[00:05:44.082 --> 00:05:47.684]  It continues to have $130 million outside their foundation.
[00:05:47.704 --> 00:05:52.144]   It's got almost $200 billion in it with Warren Buffett and others.
[00:05:52.144 --> 00:05:56.504]   Lawyers are shocked that there was no prenup given Bill had already made his first billion
[00:05:56.504 --> 00:05:59.584]  dollars at age 31 in 1987.
[00:05:59.584 --> 00:06:02.382]   But all of it's tied up in tax-exempt stuff so she can't get it.
[00:06:02.382 --> 00:06:05.903]   I mean, don't worry, she'll have tens of billions of dollars to do whatever she wants.
[00:06:05.903 --> 00:06:08.864]  And it just goes on and on from there.
[00:06:08.864 --> 00:06:12.864]  The full report, again, is up on InfoWars.com and NewsWars.com.
[00:06:12.864 --> 00:06:14.742]  Here is the divorce filing.
[00:06:14.742 --> 00:06:16.984]  But those are some of the details.
[00:06:16.984 --> 00:06:20.502]  This is a real split.
[00:06:20.502 --> 00:06:24.783]   Their youngest child is 18 and the word is that Bill has not really been with her for
[00:06:24.783 --> 00:06:28.864]  over a decade and is somewhat of a playboy.
[00:06:28.864 --> 00:06:33.264]   We've never gotten any pedophile information on him, though he hangs out with famous pedophiles
[00:06:33.264 --> 00:06:34.903]  and pimps like Jeffrey Epstein.
[00:06:34.879 --> 00:06:38.041]  He's more of a guy using this to control people.
[00:06:38.081 --> 00:06:43.825]  He's more of a super villain, in-charge type, not the person getting blackmailed.
[00:06:44.005 --> 00:06:47.168]  And the evidence is overwhelming because he gave him hundreds of millions of dollars.
[00:06:47.208 --> 00:06:51.691]  They've tried to suppress that news, but now it's coming out to Epstein to run these operations.
[00:06:51.731 --> 00:07:02.696]   And it looks like at Zorro Ranch, They were doing some type of weird genetic experiments, and it looks like human clone implantation, and that's now coming out as well, but the system is really trying to suppress it.
[00:07:02.756 --> 00:07:08.439]  So, I first told people 20 plus years ago that Bill Gates is the center of the web, or very close to it.
[00:07:08.459 --> 00:07:11.660]  People laughed at me, a big part of my film Endgame is about Bill Gates.
[00:07:12.541 --> 00:07:16.803]  Listen, now you see he's in charge, and Klaus Schwab is under him.
[00:07:17.623 --> 00:07:27.469]  Klaus Schwab is a direct protégé, of course, of Dr. Henry Kissinger, also from Harvard, and that's really the brainchild of this Anglo-American globalist system.
[00:07:27.689 --> 00:07:29.470]  When I say Anglo, it has nothing to do with white people.
[00:07:30.250 --> 00:07:38.235]  It's called the Anglo-American establishment, meaning an alliance with the old British Empire and the United States, forming their own new corporate world government, a plan of Cecil Rhodes.
[00:07:38.755 --> 00:07:41.877]  So this is the type of critical historical analysis I didn't tell you about anywhere else.
[00:07:42.217 --> 00:07:43.238]  Thanks for keeping us on the air.
[00:07:43.258 --> 00:07:48.441]  You'll find this report and so many others at Ban.Video, BanThis.TV, and InfoWars.com.
[00:07:50.463 --> 00:07:57.463]   From the front lines of the information war, it's Alex Jones.
[00:07:57.463 --> 00:07:59.463]  InfoWars!
[00:07:59.463 --> 00:08:09.463]   The mainstream corporate media, the mouthpieces of Big Pharma and Big Tech, and the Chai-coms in Hollywood are so angry
[00:08:09.463 --> 00:08:16.463]   that InfoWars and Tucker Carlson and Joe Rogan and others are calling out the elephant in the room.
[00:08:16.635 --> 00:08:18.617]  And that's what we've been lied to from day one.
[00:08:18.817 --> 00:08:20.879]  We're told, take the vaccine, it's safe and effective.
[00:08:21.280 --> 00:08:23.001]  You can take your mask off, go back to normal.
[00:08:23.141 --> 00:08:24.022]  That was always a lie.
[00:08:24.042 --> 00:08:26.825]  I told you a year ago they were going to pull that because it was in their own white papers.
[00:08:27.846 --> 00:08:32.321]   Then they tell you, oh, Those that have taken the vaccine, they're not really protected.
[00:08:32.461 --> 00:08:35.542]  And those of you that haven't taken it, you're going to make them in danger.
[00:08:36.162 --> 00:08:37.663]  All of that is a lie as well.
[00:08:37.843 --> 00:08:40.364]  All of this is simple common sense.
[00:08:40.424 --> 00:08:51.188]  And then the studies are legion that young people don't die from COVID, but they can die from an autoimmune response or an allergic reaction from the COVID-19 vaccines that are getting paralyzed, are dying.
[00:08:51.288 --> 00:08:54.169]  UFC fighters are having to drop out of fights, getting deathly ill.
[00:08:54.609 --> 00:08:58.351]  This is an epidemic of vaccine damage, just like with the autism.
[00:08:58.931 --> 00:09:02.474]  And it's all a giant test to see what the system can get away with.
[00:09:03.015 --> 00:09:04.176]  And so Joe Rogan is right.
[00:09:04.936 --> 00:09:11.442]  Nobody needs these vaccines, ladies and gentlemen, because they're now admitting that it doesn't even protect you from COVID-19.
[00:09:11.703 --> 00:09:24.074]  But I had medical doctors and scientists on, a virologist, a year ago saying, you cannot make a vaccine for the common cold, that's what COVID's based on, because it's so common, the protein, that it's in your body.
[00:09:24.614 --> 00:09:29.358]  It's in your lymph nodes, it's in women's uteruses, it's in everything, and it's going to cause serious problems.
[00:09:29.378 --> 00:09:31.479]  It's going to make your body attack itself.
[00:09:32.140 --> 00:09:41.507]  And now we just see this continued escalation of everybody having huge autoimmune responses, having incredible allergies, and the media is trying to normalize it and gaslight it.
[00:09:41.747 --> 00:09:44.690]   We're all supposed to sit here And just accept this.
[00:09:45.291 --> 00:09:46.672]  We are in an information war.
[00:09:47.213 --> 00:09:51.497]  And they want to normalize maiming us and making us sick for life to go through their medical system.
[00:09:51.798 --> 00:10:01.808]  They have gone from 15 vaccines they wanted you to take 30 years ago to hundreds and hundreds and hundreds after they got vaccine liability protection in 1986, a terrible thing Reagan did.
[00:10:02.389 --> 00:10:06.874]  And so here we are, literally held captive by this UN-run big pharma system.
[00:10:07.194 --> 00:10:09.196]  And the only way to stop it is information warfare.
[00:10:09.476 --> 00:10:19.806]  That's why you've got to go to Bandai Video, to the Most Banned section with all the doctors and the scientists and the researchers there, laying out what I'm saying with scientific expertise.
[00:10:19.866 --> 00:10:21.108]  And it is coffin nails.
[00:10:21.408 --> 00:10:23.310]  It is kryptonite to this globalist fraud.
[00:10:23.350 --> 00:10:35.436]   At the same time, Tell folks about our local aminathem stations, support those local stations, and please go to InfoWarsStore.com in the face of these globalists and get all the great supplements that God has given us through nature.
[00:10:35.676 --> 00:10:45.781]  All of the essential vitamins and minerals and amino acids that our bodies have to have in great products like Vitamin Mineral Fusion, Winter Sun, Body's Ultimate Turmeric Formula, back in stock.
[00:10:46.341 --> 00:10:49.744]  Of course, Vazobeats, Prostagard, the list goes on and on.
[00:10:50.024 --> 00:10:52.565]  And while you're at it, clean water is also essential.
[00:10:52.786 --> 00:10:59.530]  They put fluoride and horrible chemicals in the water that on record give you cancer and lower IQ and cloud up your pineal gland.
[00:10:59.810 --> 00:11:06.114]  We have the highest rated gravity-fed filter systems from three great companies at Infowarsstore.com.
[00:11:06.455 --> 00:11:13.579]  And again, that then funds our operation and keeps us on the air in the face of the globalists working around the clock to silence us.
[00:11:13.619 --> 00:11:35.405]   Because if they cannot silence us, They are going to end up not just being defeated, but going to prison because they're violating the Nuremberg Code, they're violating the Geneva Convention, they are beyond Joseph Mengele, beyond the Tuskegee Experiment, beyond the secret radiation studies on our kids that killed them, and the same mad scientist crazy guild is now trying to dominate and take over the entire world.
[00:11:35.685 --> 00:11:37.245]  So please, keep us on air.
[00:11:37.725 --> 00:11:42.066]  Go to InfoWarsTore.com right now and get products that are essential for you and your family.
[00:11:42.326 --> 00:11:43.787]  InfoWarsTore.com.
[00:11:43.987 --> 00:11:44.967]  Please take action now.
[00:11:49.081 --> 00:11:51.604]  We will defend ourselves!
