# Transcription model: CohereLabs/cohere-transcribe-03-2026, WAV2VEC2_ASR_BASE_960H, sat-12l-sm, script v26.04.01, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: b3cf1c2e6cecea0f66360df349d3e5ab
[00:01:41.281 --> 00:01:42.332]  him off this time.
[00:05:20.745 --> 00:05:36.367]  And we're starting with one of my favorites, and probably the person I most associate with InfoWars, not actually a part of InfoWars, but like family, like maybe not immediate family, but first cousins at the most distant.
[00:05:36.427 --> 00:05:39.388]  It is, of course, Mike Adams, the Health Ranger.
[00:05:40.687 --> 00:05:43.187]  You know, absolute champion of the InfoWar world.
[00:05:43.908 --> 00:05:47.829]  And Mike, you know, the thing about InfoWars, of course, it's Alex Jones.
[00:05:48.149 --> 00:05:49.908]  He's 99% of InfoWars.
[00:05:49.929 --> 00:05:53.349]  You know, he's the king of the castle, obviously.
[00:05:54.449 --> 00:05:57.028]  But there's always been this aspect of community involvement.
[00:05:57.048 --> 00:06:05.810]  There's always been this aspect of really amazing contributors coming together, lending their talents, and making InfoWars bigger than the sum of its parts.
[00:06:05.910 --> 00:06:07.810]  You, of course, have been a key aspect of this.
[00:06:08.310 --> 00:06:09.310]  Welcome to the show, sir.
[00:06:09.649 --> 00:06:13.711]  And what are your thoughts here on the final broadcast under the InfoWars banner?
[00:06:14.671 --> 00:06:15.490]  Wow, wow.
[00:06:16.531 --> 00:06:17.511]  I'm just honored to be here.
[00:06:17.610 --> 00:06:18.311]  Thank you, Harrison.
[00:06:19.471 --> 00:06:23.831]  And you got to give yourself some credit too, because, you know, I'm a fan of your work.
[00:06:24.432 --> 00:06:34.312]  You have shown such strong ability to explain the principles of liberty and to fight for truth the whole time that you've been with Infowars.
[00:06:34.812 --> 00:06:40.973]  But yeah, my involvement with Infowars has always been volunteer from day one.
[00:06:41.552 --> 00:06:45.013]  It's been, I don't know, what, 15 years or something like that.
[00:06:46.192 --> 00:06:53.774]  That Alex has from time to time asked me to fill in and host, and sometimes in the studio there, and sometimes in my own studio here.
[00:06:54.614 --> 00:06:58.653]  And I've always, whenever I could, I always said yes, always did it.
[00:06:59.335 --> 00:07:16.156]  And what's amazing to me about it, and this really speaks to the credibility of Alex's integrity and the integrity of Infowars, which is that not once, not one time over 15 years, did Alex ever tell me anything not to say.
[00:07:16.536 --> 00:07:16.755]  Right.
[00:07:17.056 --> 00:07:17.495]  Not once.
[00:07:18.776 --> 00:07:26.897]  I mean, sometimes he had a news item is like, you know, make sure you cover this, or, you know, the staff would give me something from Alex, or Alex would be chiming in usually.
[00:07:26.937 --> 00:07:29.456]  Cause usually when I'm hosting, Alex is not there, right?
[00:07:29.497 --> 00:07:29.657]  Right.
[00:07:29.817 --> 00:07:31.877]  So he's sometimes chiming in from the road.
[00:07:32.317 --> 00:07:35.098]  Alex has a four minute video, and that's great.
[00:07:35.177 --> 00:07:36.038]  You know, it's his show.
[00:07:36.618 --> 00:07:44.118]  But not once did he ever tell me what I couldn't say or what I had to say or how to cover something or how to cover something.
[00:07:44.598 --> 00:07:47.558]  It was always, Alex just said, look, I trust your judgment.
[00:07:48.019 --> 00:07:48.879]  You do what you want.
[00:07:49.019 --> 00:07:49.859]  You say what you want.
[00:07:50.519 --> 00:07:53.558]  And I don't think that, Ever happens in corporate media.
[00:07:54.058 --> 00:07:57.899]  And even in some places in independent media, that's a kind of a rare phenomenon.
[00:07:57.918 --> 00:08:01.019]  So, anyway, that's to the credit and integrity of Infowars.
[00:08:01.099 --> 00:08:08.580]  No wonder they made InfoWars pay and suffer and try to shut you down because that kind of integrity is very rare.
[00:08:09.281 --> 00:08:12.940]  Well, and it's so funny because people have these ideas about InfoWars.
[00:08:12.980 --> 00:08:15.940]  People will say to me, like, oh, Alex Jones controls you.
[00:08:15.980 --> 00:08:24.621]  And it's like, if you ever watch the show, especially if you watch all the shows and watch them a lot, it's like the instruction I get from Alex Jones, he says on air.
[00:08:24.701 --> 00:08:27.581]  He'll sit there and go, the other guests say this, and I think he's.
[00:08:27.621 --> 00:08:29.241]  And I go, okay, got it, Alex.
[00:08:29.442 --> 00:08:31.163]  But he's literally broadcasted.
[00:08:31.182 --> 00:08:34.682]  We're so open, and just like the way we operate is so transparent.
[00:08:35.082 --> 00:08:38.842]  It's always shocking to me that people have this idea that we're like doing something behind the scenes.
[00:08:39.002 --> 00:08:41.982]  It's all up front, it's all for everybody to see.
[00:08:42.082 --> 00:08:43.504]  We've really got nothing to hide here.
[00:08:43.884 --> 00:08:44.583]  And you're right.
[00:08:44.604 --> 00:08:46.644]  I mean, that's not just rare in corporate media.
[00:08:47.024 --> 00:08:51.663]  I can't even imagine how corporate media would exist if they didn't tell everybody exactly what to say.
[00:08:52.524 --> 00:08:52.943]  Right, right.
[00:08:53.163 --> 00:09:07.125]  And the other evidence that speaks to the integrity of Infowars as an organization that honestly pursues the truth in good faith is that sometimes Alex will disagree with you or me or other hosts.
[00:09:07.665 --> 00:09:09.025]  It's happened many times.
[00:09:09.285 --> 00:09:12.605]  And often that's just right out in the open, right on the air.
[00:09:13.586 --> 00:09:20.006]  And that's okay because if everybody has the same talking points, it's clearly scripted, you know?
[00:09:20.947 --> 00:09:24.406]  So, I mean, I've had times where I disagree with Alex or Alex disagree with me.
[00:09:25.106 --> 00:09:27.027]  And I, you know, so what?
[00:09:27.766 --> 00:09:32.408]  Eventually, we all, we always come back to the same principles of personal liberty, of telling the truth.
[00:09:32.467 --> 00:09:34.508]  And I've been wrong about a few things too.
[00:09:34.548 --> 00:09:37.528]  I was late to understanding how fake COVID was.
[00:09:37.627 --> 00:09:44.088]  For example, And when I realized it, you know, I came on the air and I apologized and I said, you know, I got it wrong.
[00:09:44.208 --> 00:09:45.668]  They tricked me on this.
[00:09:46.149 --> 00:09:49.588]  But now we got to double down on making sure that we set the record straight.
[00:09:50.188 --> 00:09:54.288]  And that's the way that honest media should operate.
[00:09:54.588 --> 00:09:56.409]  And that's the way that you operate, Harrison.
[00:09:56.429 --> 00:09:58.649]  That's the way that the whole organization operates.
[00:09:59.210 --> 00:09:59.950]  Well, absolutely.
[00:10:00.069 --> 00:10:03.569]  And again, we've got no teleprompters, we've got no one telling us what to do.
[00:10:03.889 --> 00:10:04.589]  You know what was funny?
[00:10:04.689 --> 00:10:12.490]  The first week that I did War Room, you know, we were shifting stuff around and I told the crew, You know, on American Journal, my crew would chime in and they would talk.
[00:10:12.630 --> 00:10:18.431]  And so I want you guys to set up the microphones in the crew room, set those to go out over the air.
[00:10:18.951 --> 00:10:21.192]  And so they started to, but they hadn't done it quite right.
[00:10:21.531 --> 00:10:29.672]  And the upshot of this was for the first week that I did War Room, at least, it may have been more than a week, everything the crew said to me in my ear went out over the air.
[00:10:29.812 --> 00:10:31.752]  And we didn't realize everything.
[00:10:31.793 --> 00:10:33.492]  So people think, oh, you have an earpiece.
[00:10:33.512 --> 00:10:40.373]  They must be telling you, go find where I started doing the War Room, watch the first, and you'll hear them occasionally go, 10 seconds left in the clip.
[00:10:41.012 --> 00:10:43.293]  Or, you know, hey, we're connected with the guests now.
[00:10:43.514 --> 00:10:43.874]  That's it.
[00:10:43.913 --> 00:10:45.014]  That's what we get in our ears.
[00:10:45.033 --> 00:10:55.975]  So, you know, when we're talking extemporaneously and we take calls from people and we have to be on the ball, we have to be honest, and we would just be fools to try to trick this audience.
[00:10:56.134 --> 00:10:58.194]  They wouldn't trust us anymore and we'd collapse.
[00:10:58.254 --> 00:11:05.034]  I mean, it's really a matter of like, you know, business necessity that we tell the truth all the time.
[00:11:05.095 --> 00:11:05.995]  It's amazing.
[00:11:06.575 --> 00:11:06.995]  Oh, yeah.
[00:11:07.135 --> 00:11:14.015]  You earn your credibility every day, especially with Infowars, because your audience is so well informed, they're so sophisticated.
[00:11:15.475 --> 00:11:24.736]  There's zero tolerance for any kind of bull crap, zero tolerance for any kind of scripted narratives or talking points that were handed to you by somebody else.
[00:11:25.336 --> 00:11:27.496]  That would not fly, not for one minute.
[00:11:27.576 --> 00:11:33.317]  You'd be called onto the carpet and beaten to a pulp by your audience for doing that.
[00:11:34.038 --> 00:11:35.617]  So, no, that never happens.
[00:11:36.457 --> 00:11:39.758]  No, and yeah, it's true.
[00:11:39.837 --> 00:11:44.278]  Our audience is like, I don't just want to sound like we're just pumping up the audience.
[00:11:44.298 --> 00:11:46.519]  Like, you guys are beautiful and handsome.
[00:11:46.918 --> 00:11:49.918]  That's not what I'm saying, but it's like, They really keep us on our toes.
[00:11:50.278 --> 00:11:59.120]  And I hope they understand, and I know our audience does generally understand that, like, even if they disagree with us, they understand that we're not lying.
[00:11:59.240 --> 00:12:03.480]  We're not, you know, they might think we're wrong, but they understand that, like, we're not trying to BS them.
[00:12:03.500 --> 00:12:05.500]  We're not trying to pull wool over their eyes.
[00:12:05.541 --> 00:12:06.921]  We're not coming from a place of hate.
[00:12:06.961 --> 00:12:08.301]  We don't have ulterior motives.
[00:12:08.661 --> 00:12:12.681]  So even when they disagree with us, they know they can say to us, hey, you're wrong about this.
[00:12:12.721 --> 00:12:16.941]  And we'll say, well, that's debatable, but they know we're not trying to trick them.
[00:12:17.142 --> 00:12:25.422]  I hope that comes across clearly because it's okay if we disagree with our audience as long as we're all aligned on trying to find the truth.
[00:12:25.721 --> 00:12:27.461]  And I think our audience recognizes that.
[00:12:29.001 --> 00:12:30.283]  Yeah, clearly that's the case.
[00:12:30.423 --> 00:12:32.822]  And I also want to extend that to your.
[00:12:33.023 --> 00:12:38.322]  Product line, frankly, because this was one of the concerns I had a few years ago.
[00:12:39.202 --> 00:12:44.744]  Because, you know, I'm a nutritionist, I'm a food scientist, a published scientist, I run a mass spec lab.
[00:12:45.604 --> 00:12:55.884]  And I was concerned before I saw the formulations that maybe Alex's products would be sort of like maybe cheaper, you know, not such good ingredients.
[00:12:55.904 --> 00:12:57.644]  That turned out not to be the case at all.
[00:12:58.205 --> 00:13:06.365]  In fact, what I've been so impressed with today over and over again is the products that Alex has at the Alex Jones store, right?
[00:13:06.426 --> 00:13:06.905]  That's the current.
[00:13:07.245 --> 00:13:08.625]  The Alex Jones Store.com.
[00:13:08.666 --> 00:13:08.786]  Yep.
[00:13:09.405 --> 00:13:10.405]  The Alex Jones Store.com.
[00:13:10.765 --> 00:13:17.807]  That every time I look at the formulations, I'm like, how did they make this ingredient that affordable?
[00:13:17.947 --> 00:13:21.787]  Like that, because I know what these things cost because I'm in the same business.
[00:13:22.486 --> 00:13:28.326]  I look at your, you know, your vitamin B12, the methylcobalamin, and I'm like, oh my God, that's so expensive.
[00:13:28.647 --> 00:13:38.067]  And yet it's priced with like the value in the Alex Jones products is so much better than what you buy at a grocery store or Walmart or GNC, in my opinion.
[00:13:38.087 --> 00:13:39.327]  It's not even close, not even close.
[00:13:39.648 --> 00:13:46.668]  These are like premium grade nutritional products at ridiculously bargained prices.
[00:13:46.769 --> 00:13:48.349]  And that's honestly, that's just the way it is.
[00:13:48.528 --> 00:13:52.769]  That's the funniest part is like people will make fun of our products because they don't know about them.
[00:13:52.849 --> 00:13:56.190]  And it's like, you guys probably take something similar to what we sell.
[00:13:56.210 --> 00:13:57.309]  It's just probably not as good.
[00:13:57.330 --> 00:14:02.990]  And you probably paid more for it because a lot of the stuff that we sell is white labeled the most popular brands in America.
[00:14:03.029 --> 00:14:11.671]  So, you know, it's not weird snake oil that we're selling, it's like the most confirmed, you know, absolute powerful supplements you could possibly buy.
[00:14:12.230 --> 00:14:20.491]  And I remember during the Sandy Hook trial, they tried to make a big deal out of like, oh, you bought it for this much and you sold it for this much.
[00:14:20.511 --> 00:14:25.251]  And it's like, well, when you're buying 100,000 bottles, the price tends to drop a little bit.
[00:14:25.271 --> 00:14:30.173]  So, yes, we're able to buy these really good ingredients at massive scale.
[00:14:30.513 --> 00:14:33.832]  And then we can sell it to you at a reasonable price.
[00:14:33.893 --> 00:14:34.593]  It's economics.
[00:14:34.613 --> 00:14:37.472]  But they wanted to make that sound like we were doing something bad.
[00:14:37.572 --> 00:14:40.393]  And that was part of our evil plan to make money.
[00:14:41.293 --> 00:14:44.053]  My favorite part was this was years ago.
[00:14:44.533 --> 00:14:51.514]  When they were mocking Alex Jones for selling water filters as if clean water is a conspiracy theory.
[00:14:51.533 --> 00:14:54.355]  I'm like, who mocks water filters?
[00:14:54.475 --> 00:15:00.855]  Like, do the Democrats want to drink dirty water all day with all the chemicals in it or something?
[00:15:00.875 --> 00:15:03.514]  Like, how is that bad to filter your water?
[00:15:04.194 --> 00:15:04.475]  Yeah.
[00:15:04.534 --> 00:15:05.495]  Never understood that.
[00:15:05.676 --> 00:15:07.155]  Isn't that kind of a lefty thing, too?
[00:15:07.296 --> 00:15:14.375]  I mean, I thought that was kind of like, just goes to show you whatever Alex promotes, they will attack it for any reason whatsoever.
[00:15:14.755 --> 00:15:17.197]  And by the way, Alex was totally proven right about.
[00:15:17.817 --> 00:15:25.336]  How it turns the frogs gay because it turns out that's atrazine, which is the world's number two most common herbicide.
[00:15:25.817 --> 00:15:32.317]  In fact, we test our foods for atrazine because it's so common, but atrazine is a gender bender chemical.
[00:15:33.117 --> 00:15:42.058]  And in the studies that have been done, it will turn in amphibians, it will cause males to express female genitalia.
[00:15:42.459 --> 00:15:44.399]  So it literally turns the frogs gay.
[00:15:44.499 --> 00:15:47.818]  Like that could be the name of a science paper.
[00:15:48.459 --> 00:15:49.399]  Because it's true.
[00:15:49.859 --> 00:15:51.759]  And yet he was mocked forever for that.
[00:15:51.879 --> 00:15:52.639]  Still mocked for that.
[00:15:52.658 --> 00:15:53.240]  It's kind of funny.
[00:15:53.680 --> 00:15:54.080]  Yeah.
[00:15:54.200 --> 00:15:58.879]  And of course, you know, the thing was that, you know, they're treating as if he hates gay people or something.
[00:15:58.900 --> 00:15:59.639]  It's like, you don't understand.
[00:16:00.461 --> 00:16:04.961]  If it's an animal, homosexuality is not a fun choice it's making.
[00:16:05.061 --> 00:16:07.701]  It is a dysfunction that leads to extinction.
[00:16:07.781 --> 00:16:10.821]  Like, this is nature we're talking about, not culture.
[00:16:10.860 --> 00:16:20.802]  So it's so, yes, it's one of these weird things where it's like because Alex said it, people laugh at it when if it had been presented in a serious way on 60 Minutes, they would have noticed.
[00:16:20.942 --> 00:16:26.603]  And, you know, the important thing about what he said in that clip that has become, you know, the most viral clip of all time.
[00:16:27.023 --> 00:16:30.463]  He said they are putting chemicals in the water that turn the frogs gay.
[00:16:30.763 --> 00:16:37.163]  Now, people, I think that's what makes it kind of funny to people because it's like on purpose what they're trying to make frogs gay.
[00:16:37.484 --> 00:16:44.224]  But then you look into the practices of these big pharma corporations, and no, they know exactly what it's doing.
[00:16:44.584 --> 00:16:52.025]  And they fund like pressure campaigns to stop being required to report this stuff.
[00:16:52.425 --> 00:16:59.525]  So when you say, or when Alex says they are putting water or putting chemicals in the water that turn the frogs gay, it's a deliberate thing they're doing.
[00:16:59.585 --> 00:17:00.806]  They know what it causes.
[00:17:01.186 --> 00:17:05.206]  And they deliberately cover up those negative effects so they can keep doing it.
[00:17:05.246 --> 00:17:08.365]  So, you know, the idea that it's on purpose is not ridiculous.
[00:17:08.506 --> 00:17:10.026]  It is on purpose what they're doing to us.
[00:17:10.846 --> 00:17:11.846]  Well, it's clearly on purpose.
[00:17:11.865 --> 00:17:17.227]  And also, remember, you know, I did a film a few years ago called Bio Sludged that documented that.
[00:17:17.326 --> 00:17:22.267]  And that was based on the interviews of former EPA top scientist, Dr. David Lewis.
[00:17:23.007 --> 00:17:25.107]  He's the author of a book called Science for Sale.
[00:17:25.948 --> 00:17:31.388]  And I actually flew him out to Austin and we filmed that interview in my mass spec laboratory.
[00:17:31.968 --> 00:17:34.908]  And it turns out that the EPA has legalized for decades.
[00:17:35.288 --> 00:17:41.328]  The mass chemical pollution of soils, including farm soils, all across America.
[00:17:41.828 --> 00:17:51.170]  And then remember that you combine that with the fact that numerous states have legalized human composting and the liquefaction of humans to be flushed into the sewage system.
[00:17:51.630 --> 00:17:56.009]  And then all the sewage is then trucked out and distributed on farms.
[00:17:56.509 --> 00:18:02.990]  So, literally, in America, they are feeding the dead to the living as fertilizer on the farms.
[00:18:03.671 --> 00:18:05.250]  So, that's all legal.
[00:18:05.730 --> 00:18:07.931]  That the EPA loves that, actually.
[00:18:08.270 --> 00:18:14.491]  And Dr. David Lewis was pulled out of his home at three in the morning and threatened by feds if he didn't shut up about it.
[00:18:14.511 --> 00:18:17.532]  And they pulled his funding, pulled his lab, kicked him out of the EPA.
[00:18:17.552 --> 00:18:18.971]  And that's when he became a whistleblower.
[00:18:19.632 --> 00:18:20.532]  So Alex is right.
[00:18:20.991 --> 00:18:21.852]  It's all intentional.
[00:18:22.332 --> 00:18:22.491]  Yeah.
[00:18:22.812 --> 00:18:23.372]  Documented.
[00:18:24.192 --> 00:18:24.692]  Absolutely.
[00:18:25.432 --> 00:18:31.313]  And just like the smoking companies knew smoking was bad for decades, but they covered it up and hit it.
[00:18:31.413 --> 00:18:38.614]  And again, there's an interesting phenomenon where people have to be like, And maybe you can explain this to me.
[00:18:38.754 --> 00:18:42.394]  What is it about the news reporter voice that convinces people?
[00:18:42.413 --> 00:18:43.534]  Because I'm convinced it's that.
[00:18:43.814 --> 00:18:47.354]  You know, every journalist in America has the same way of talking.
[00:18:47.433 --> 00:18:55.295]  And it's like if I say to you, you know, the EPA is grinding up humans and using them as fertilizer, and I say it like this, people go, what?
[00:18:55.355 --> 00:18:55.934]  That's crazy.
[00:18:55.954 --> 00:19:01.155]  But if I say, the EPA has been grinding up people and using them as fertilizer, people take it seriously.
[00:19:01.236 --> 00:19:02.096]  What is that?
[00:19:02.296 --> 00:19:05.416]  What is it about presenting the same information in two different ways?
[00:19:05.576 --> 00:19:07.375]  It totally alters how people receive it.
[00:19:08.936 --> 00:19:16.497]  I believe human neurology is hardwired in most people to be obedient to symbols of authority.
[00:19:16.777 --> 00:19:17.017]  Right.
[00:19:17.356 --> 00:19:24.238]  This is why doctors wear white coats with a stethoscope because the white coat is the uniform of obedience.
[00:19:24.258 --> 00:19:33.057]  This is why local police have uniforms that are all decked out in a certain way because there's a hardwiring to obedience.
[00:19:33.498 --> 00:19:39.639]  Now, what's interesting to me about that is that neurology is also weakened by exposure.
[00:19:40.119 --> 00:19:57.280]  To these brain damaging chemicals, which include hormone disruptors and some of the things we're talking about, but also the forever chemicals and the fluoride is a big factor here and other processed food chemicals, but also the organophosphate class of pesticides that literally damage neurology.
[00:19:57.300 --> 00:20:01.301]  And that's one of the mechanisms they use to kill insects on the crops.
[00:20:01.941 --> 00:20:09.682]  So, and by the way, that research goes back literally to Nazi scientists back in, starting around 1917, I believe it was.
[00:20:10.282 --> 00:20:16.802]  That eventually became sarin gas and VX nerve gas and chemical weapons that were used in multiple wars.
[00:20:17.522 --> 00:20:18.942]  That's how you get pesticides.
[00:20:19.062 --> 00:20:25.263]  And ultimately, that body of research led to glyphosate, which shares a very similar molecular structure.
[00:20:26.183 --> 00:20:33.243]  It's called an organophosphonate, which is a little bit different from organophosphates, but they share the phosphate core.
[00:20:33.824 --> 00:20:40.844]  So, you know, the truth is that the modern lifestyle of eating all these toxic foods and pesticides.
[00:20:41.444 --> 00:20:52.505]  And the toxic fragrances that are in personal care products and laundry detergent and all that makes your brain more vulnerable to infestation and influence by hypnotic sounding newscasters.
[00:20:53.285 --> 00:20:55.565]  I mean, I was talking about this in my podcast the other day.
[00:20:56.145 --> 00:21:00.966]  And then, see, this is why nutrition goes along with being an info warrior.
[00:21:01.466 --> 00:21:01.626]  Right.
[00:21:01.726 --> 00:21:07.186]  Because when you have good nutrition, you have the neuroprotective properties of things like turmeric, for example.
[00:21:07.946 --> 00:21:13.207]  Or, you know, like in my smoothie here, I'm almost done with it today, but I drink sulforaphane in the form of broccoli sprouts.
[00:21:13.587 --> 00:21:15.727]  I'm drinking cruciferous vegetable sprouts.
[00:21:16.267 --> 00:21:16.627]  Every day.
[00:21:16.747 --> 00:21:17.007]  Why?
[00:21:17.727 --> 00:21:20.927]  Neuroprotective, anti diabetes, you know, anti cancer, all of it.
[00:21:21.307 --> 00:21:34.669]  So, if you want to be a truth warrior, you better have good nutrition to literally protect your brain from all the insults that are put into the environment on purpose to weaken your mind and make you more susceptible to corporate messaging.
[00:21:35.669 --> 00:21:36.769]  That's not a conspiracy.
[00:21:37.349 --> 00:21:38.429]  That's science, frankly.
[00:21:38.449 --> 00:21:39.229]  Absolutely.
[00:21:39.249 --> 00:21:39.809]  It's chemistry.
[00:21:40.469 --> 00:21:46.710]  And even, you know, without getting into the particular functions that you're talking about, just the general idea of.
[00:21:47.550 --> 00:21:51.090]  The bad guys want a populace that is weak and fat and stupid.
[00:21:51.250 --> 00:21:52.190]  They really do.
[00:21:52.290 --> 00:21:55.950]  And they really are making you as weak and fat and stupid as you will let them.
[00:21:56.030 --> 00:22:01.111]  So, you know, it's this really fascinating kind of combination.
[00:22:01.131 --> 00:22:13.892]  You know, InfoWars, you know, natural news both sort of embody this strange space in media that is political, but it's also scientific and natural.
[00:22:13.952 --> 00:22:18.752]  And it's because these things are really dual weapon systems that work with each other.
[00:22:19.172 --> 00:22:22.933]  We are under chemical attack that facilitates the informational attack.
[00:22:23.073 --> 00:22:29.153]  And you have to have a comprehensive and sort of holistic view of how these things work together in order to combat them.
[00:22:29.333 --> 00:22:35.374]  And then InfoWars always has the tool, the dual response where there's poison in the water.
[00:22:35.454 --> 00:22:37.094]  So you need to protect yourself from that.
[00:22:37.134 --> 00:22:38.274]  You need to get water filters.
[00:22:38.314 --> 00:22:42.714]  You need to be aware of this and avoid the things that will expose you to it.
[00:22:42.994 --> 00:22:47.855]  At the same time, we need to activate politically, get in right laws to stop this stuff from happening.
[00:22:47.875 --> 00:22:49.955]  You can't just do one and just do the other.
[00:22:50.015 --> 00:22:53.195]  Protect yourself while you work to protect the wider community.
[00:22:53.215 --> 00:22:57.635]  And I feel like that has been a very powerful and effective message for the InfoWar.
[00:22:58.716 --> 00:22:59.796]  It's absolutely critical.
[00:23:00.116 --> 00:23:01.996]  Number one is you have to protect your brain.
[00:23:03.016 --> 00:23:11.737]  And, you know, I talked about, you know, the X Men and Magneto has a helmet that protects him from the psychic attack of Professor X, right?
[00:23:12.137 --> 00:23:12.277]  Right.
[00:23:12.877 --> 00:23:17.957]  And that helmet is a metaphor for nutrition, actually.
[00:23:17.977 --> 00:23:22.798]  There's a nutritional helmet, or you could say it like a Faraday bag.
[00:23:23.498 --> 00:23:29.198]  But in your blood, you know, a Faraday bag protects a device from EMP and solar flares and whatever.
[00:23:30.018 --> 00:23:32.158]  But nutritionally, you have to protect your brain.
[00:23:32.258 --> 00:23:33.959]  And that's how it occurs.
[00:23:34.399 --> 00:23:42.680]  These God given molecules that are found in these plants that are then concentrated in the products, many of which the Alex Jones store sells.
[00:23:43.140 --> 00:23:46.240]  This is like Magneto's helmet protecting from psychic attack.
[00:23:46.640 --> 00:23:47.080]  No joke.
[00:23:47.460 --> 00:23:51.019]  And there's actually a scientific study about something that I discovered this last year.
[00:23:51.100 --> 00:24:04.262]  I found this study that shows that melanin structures, which is like darker skin or tan skin, stop over 99.99% of 5G signals.
[00:24:04.822 --> 00:24:13.001]  So the more tan you are, The more you actually are wearing a protective bodysuit against 5G signals penetrating your body.
[00:24:13.701 --> 00:24:25.583]  And if you naturally have darker skin, if you're African American or you're Latino or Chinese, if you have olive skin or whatever, you have more protection than a pale skin, fair skin person.
[00:24:26.083 --> 00:24:31.564]  And think about it like, what's the kind of person that you've ever seen go completely crazy from 5G?
[00:24:31.663 --> 00:24:33.443]  It's like a pale white guy always.
[00:24:33.464 --> 00:24:33.943]  You know what I mean?
[00:24:33.984 --> 00:24:35.964]  Interesting.
[00:24:36.284 --> 00:24:37.423]  It's not like the black guy.
[00:24:38.084 --> 00:24:40.105]  Because 5G bounces off of his skin.
[00:24:40.285 --> 00:24:41.205]  And that's physics.
[00:24:41.305 --> 00:24:42.164]  That's actually physics.
[00:24:42.184 --> 00:24:42.985]  Yeah, it's real.
