# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 7f3f004fc590da18f6f78dde1d5808b3
[00:00:00.560 --> 00:00:05.919]  Whatever the future may hold, InfoWars will always live forever.
[00:04:00.160 --> 00:04:04.240]  And it's been, well, it's been quite the enlightening experience, of course.
[00:04:04.720 --> 00:04:09.200]  He's getting into a little bit of a pushback between, well, we'll play you the clips.
[00:04:09.440 --> 00:04:12.160]  It's been an interesting thing to sit back and watch.
[00:04:12.480 --> 00:04:16.560]  Plus, I'm starting to change my mind on this whole Epstein files situation that we have going on right now.
[00:04:16.800 --> 00:04:22.960]  It's starting to feel like to me they're just trying to be very selective and they're also trying to use this as rage baits.
[00:04:23.280 --> 00:04:26.720]  Now, listen, we could all sit here and say that we side with sexual assault survivors.
[00:04:26.960 --> 00:04:27.280]  I do.
[00:04:27.520 --> 00:04:31.200]  But at this point, if you're not willing to drop a names, then leave us alone.
[00:04:31.520 --> 00:04:32.639]  Leave us alone.
[00:04:32.960 --> 00:04:40.160]  I'm done with this political theatrical theater that we have going on right now where everyone's pretending like this is all President Trump's fault.
[00:04:40.400 --> 00:04:42.800]  It's not all President Trump's fault.
[00:04:43.120 --> 00:04:48.800]  I'm going to break down my argument in all of this because it's starting to be kind of an eye-opening experience for me.
[00:04:49.120 --> 00:04:49.680]  We're done.
[00:04:49.840 --> 00:04:50.160]  We're done.
[00:04:50.319 --> 00:04:51.520]  Plus, those Mexican drones.
[00:04:51.600 --> 00:04:59.120]  Remember, they told you yesterday the Mexican cartel were launching drones in the El Paso area, and that's the reason why they had to shut down the airport.
[00:04:59.280 --> 00:05:01.520]  Well, I'm going to give you my take on that.
[00:05:01.840 --> 00:05:05.840]  I don't know if it's really the cartel that had those drones circling around.
[00:05:06.160 --> 00:05:07.600]  So, we've got a lot to discuss in just a bit.
[00:05:07.680 --> 00:05:08.160]  Don't go anywhere.
[00:05:08.240 --> 00:05:09.120]  My name is Breanna Morello.
[00:05:09.200 --> 00:05:11.120]  I'm filling in for Alex Jones today.
[00:05:11.680 --> 00:05:14.000]  We've got a lot to discuss in just a little bit, so don't go anywhere.
[00:05:14.320 --> 00:05:15.840]  Welcome to the Alex Jones show.
[00:05:16.160 --> 00:05:19.280]  I am Breanna Morello filling in for Alex today.
[00:05:19.439 --> 00:05:20.160]  And it's not just me.
[00:05:20.320 --> 00:05:21.280]  I have the first three hours.
[00:05:21.360 --> 00:05:25.280]  Kelsey Sharon will be on for the next, I guess we'll just say the fourth hour of the program.
[00:05:25.360 --> 00:05:26.160]  So buckle up, folks.
[00:05:26.240 --> 00:05:26.879]  We've got a lot to discuss.
[00:05:26.960 --> 00:05:31.439]  But most importantly, we've got a lot going on over here and a lot to break down to you all.
[00:05:31.680 --> 00:05:38.879]  A lot of congressional hearings going on right now, a lot of press conferences, and a lot of BS, a lot of BS.
[00:05:39.120 --> 00:05:40.320]  So welcome aboard, folks.
[00:05:40.400 --> 00:05:42.639]  We have a jam-pack three hours coming your way.
[00:05:42.800 --> 00:05:45.120]  Plus, the fourth hour will be very enlightening.
[00:05:45.280 --> 00:05:45.840]  I know just that.
[00:05:46.080 --> 00:05:47.120]  So stay put.
[00:05:47.360 --> 00:05:48.000]  We got a lot to discuss.
[00:05:48.160 --> 00:05:58.160]  Sarah Gonzalez will be joining me in this hour of the program and she's going to sound off because she is one of the very few sounding the alarms on H-1B visas, but the scam that's going on right now in Texas.
[00:05:58.320 --> 00:06:01.360]  It's an invasion in Texas, specifically the DFW area.
[00:06:01.680 --> 00:06:16.399]  But we're kind of unearthing new pieces of evidence that show not only are these individuals who are mainly Indian and Chinese manipulating and pretty much scamming us out of our H-1B visa system that we have currently in this country that shouldn't really exist, but it does.
[00:06:17.040 --> 00:06:22.720]  We're also learning more about how companies, American companies, companies like Microsoft are utilizing this.
[00:06:22.800 --> 00:06:28.399]  They're ditching American workers and they're filling slots with H-1B visa workers.
[00:06:28.960 --> 00:06:34.399]  It's an absolute disgrace to this great country, but we'll be talking about that with Sarah in just a bit.
[00:06:34.639 --> 00:06:42.639]  But I want to get to this because as if these treasonous pigs weren't bad enough, we continue to see more pieces of evidence that prove just that.
[00:06:43.200 --> 00:06:45.600]  I want to get to this ruling that just came down a couple of minutes ago.
[00:06:45.759 --> 00:06:49.920]  It comes from the very corrupt judge, Judge James Bozberg.
[00:06:50.000 --> 00:06:54.800]  As many of you guys know, he is a, I'll just call him, he's a communist pig.
[00:06:54.879 --> 00:06:58.879]  And the reason why I'm really infuriated by this is he just passed down this ruling.
[00:06:58.960 --> 00:07:01.600]  And this ruling is what we've been warning you about for quite some time now.
[00:07:02.399 --> 00:07:09.040]  Boesberg isn't happy that the Trump administration has, in fact, deported individuals that were not supposed to be in our country in the first place.
[00:07:09.200 --> 00:07:13.840]  The worst of the worst, the most violent criminals were shipped out of our country.
[00:07:14.160 --> 00:07:19.920]  Now, Judge Boseberg tends to think that they belong, well, that they are due due process.
[00:07:20.560 --> 00:07:29.759]  Now, I'd argue that's only a luxury for American citizens, but Boseberg seems to believe that that also should be extended to non-U.S. citizens, invaders, in fact.
[00:07:30.080 --> 00:07:40.960]  And he just handed out a ruling, which is going to require the Trump administration to bring those, 100 of them, those men back into the United States.
[00:07:41.280 --> 00:07:42.720]  Folks, we're talking about the worst of the worst.
[00:07:42.800 --> 00:07:45.600]  We're talking about gang members, cartel members, scumbags.
[00:07:45.840 --> 00:07:48.160]  Boesberg wants them back in our country.
[00:07:48.560 --> 00:07:49.920]  See, this is the problem here.
[00:07:50.160 --> 00:07:51.120]  This is the problem here.
[00:07:51.280 --> 00:07:53.520]  And it's not just Boesberg that's the problem here.
[00:07:53.760 --> 00:08:01.600]  It's the people who have enabled him, the members of Congress who are refusing to get him kicked off the bench and do their damn jobs.
[00:08:01.760 --> 00:08:02.560]  That's the problem here.
[00:08:02.800 --> 00:08:06.000]  So when you look at the Boesberg ruling that's just dropped, know that.
[00:08:06.160 --> 00:08:23.280]  Know this was only allowed because of the scumbags who are currently occupying right now Washington, D.C., and have allowed him to continue to do what he does best, which is obviously issue these very, very partisan rulings, which obviously do not work in the best interests of the American people.
[00:08:23.520 --> 00:08:24.160]  And he knows that.
[00:08:24.320 --> 00:08:25.040]  He knows that.
[00:08:25.360 --> 00:08:26.560]  He knows that.
[00:08:27.200 --> 00:08:33.600]  So folks, right now he's trying to force the Trump administration to bring those scumbags back into the United States.
[00:08:34.560 --> 00:08:38.240]  That's the ruling that just came down from Boesberg just a few moments ago.
[00:08:38.560 --> 00:08:41.440]  Now, again, this has a lot to do with the fight that's been going on right now.
[00:08:41.680 --> 00:08:42.639]  And I don't even understand.
[00:08:42.879 --> 00:08:47.279]  And I'm not going to go lightly on this, but I want to highlight the fact that the Trump administration knew that this was the problem.
[00:08:47.600 --> 00:08:52.800]  They knew that they had a long battle ahead of them in regards to all of this.
[00:08:53.120 --> 00:09:01.840]  When it comes to the fact that they allowed all these invaders, millions of them, they'll throw a number at you, 15 million, 20 million, just double whatever they tell you.
[00:09:02.160 --> 00:09:04.080]  We allowed millions of invaders into this country.
[00:09:04.240 --> 00:09:07.279]  And right now, the left are doing actually a very good job at pushing back.
[00:09:07.440 --> 00:09:14.800]  They've unleashed their own terrorists into cities like Minneapolis to taunt and to make sure that ICE can't do its jobs.
[00:09:15.120 --> 00:09:20.400]  Now, obviously, those ICE agents have done an incredible job at pushing back and trying their very best to go around all of this.
[00:09:21.040 --> 00:09:26.000]  But I know a lot of people were discouraged earlier today when they saw the border czar Tom Homan hold a press conference.
[00:09:26.240 --> 00:09:32.960]  I announced there was a press conference going on late last night when I got the announcement in my inbox.
[00:09:33.600 --> 00:09:34.639]  But they were very disappointed.
[00:09:34.720 --> 00:09:40.960]  I know a lot of people were disappointed when Homan announced that he was going to be taking back, and they've been doing this for the last few days now.
[00:09:41.120 --> 00:09:45.040]  And they've been pulling DHS agents out of Minneapolis.
[00:09:45.360 --> 00:09:50.480]  Now, I know a lot of folks are very red-pilled on this one or black-pilled, I guess I should say, on this one.
[00:09:50.800 --> 00:09:52.240]  But I'm going to give you some context here.
[00:09:52.400 --> 00:09:53.759]  First, let's go to this.
[00:09:54.000 --> 00:09:56.000]  Let's listen to what Tom Homan had to say earlier today.
[00:09:56.160 --> 00:09:57.279]  Take a listen to clip one.
[00:09:57.600 --> 00:10:17.039]  With that and success that has been made arresting public safety threats and other priorities since this surge operation began, as well as the unprecedented levels of coordination we have obtained from state officials and local law enforcement, I have proposed, and President Trump has concurred, that this surge operation conclude.
[00:10:20.240 --> 00:10:26.320]  A significant drawdown has already been underway this week and will continue to the next week.
[00:10:28.560 --> 00:10:36.640]  We have a lot of work to do across this country to remove public safety risk who shouldn't even be in this country.
[00:10:37.519 --> 00:10:50.000]  And to deliver on President Trump's promise for strong border security mass deportation, law enforcement officers drawn down from this surge operation will either return to their duty station or be signed elsewhere to achieve just that.
[00:10:50.640 --> 00:10:55.680]  All right, as many of you guys know, I do have some great solid sources inside of DHS.
[00:10:56.000 --> 00:11:04.480]  And a lot of these sources have told me over the last few weeks that one of their greatest regrets was announcing this big operation in places like Minneapolis.
[00:11:04.640 --> 00:11:05.120]  Why is that?
[00:11:05.279 --> 00:11:06.800]  Well, hear me out.
[00:11:07.120 --> 00:11:11.680]  When they made these announcements, all of these left-wing terrorists decided to deploy to these regions.
[00:11:11.840 --> 00:11:19.600]  They've been holding up a lot of these operations by launching these so-called protests, trying their very best to stop ICE from doing their jobs.
[00:11:19.759 --> 00:11:20.320]  What have they been doing?
[00:11:20.400 --> 00:11:25.200]  Well, obviously, we talk about it all the time on Infowars, but they have been using their vehicles as weapons.
[00:11:25.440 --> 00:11:27.360]  They have been harassing these ICE agents.
[00:11:27.440 --> 00:11:31.120]  They won't even allow them to sleep at hotels in nearby areas.
[00:11:31.360 --> 00:11:35.840]  In fact, we've seen it where they've launched attacks while these agents are trying to sleep.
[00:11:36.160 --> 00:11:49.120]  They've also told me that they're really upset mainly because of the fact that these operations have been so, let's just say, very politicized, that a lot of the illegal aliens, the violent ones, have left the area.
[00:11:49.280 --> 00:11:51.200]  So they knew that they were going to be swept up into all of this.
[00:11:51.280 --> 00:11:54.240]  So they're no longer where they were supposed to be.
[00:11:54.560 --> 00:11:57.920]  And so it's really prevented ICE from being able to do their own job.
[00:11:58.080 --> 00:11:59.280]  So hear me out here.
[00:11:59.600 --> 00:12:10.080]  From that perspective, do I think that the Trump administration, as many of you guys know, have been very critical in all of this, but do you think that I think that the Trump administration is backing out of mass deportations?
[00:12:10.240 --> 00:12:10.800]  I don't think so.
[00:12:10.879 --> 00:12:14.560]  That's the one commitment that the president knows the American people will not let up on.
[00:12:14.879 --> 00:12:20.400]  And if he tries to do that, he will not, not well, have the support of his base.
[00:12:20.720 --> 00:12:21.840]  I mean, that's the reality of it.
[00:12:22.240 --> 00:12:23.520]  I've heard things from him, obviously.
[00:12:23.600 --> 00:12:25.200]  We've heard a lot of things from him.
[00:12:25.520 --> 00:12:32.400]  But from what I think when I listen to Tom Homan speak, I think that they're just trying to deflect the attention now.
[00:12:32.480 --> 00:12:38.560]  They're trying to get these left-wing terrorists out of the area to get them to stop harassing IC agents so they could go out there and do the jobs.
[00:12:38.800 --> 00:12:41.280]  The reality of it is they are following these ICE agents around.
[00:12:41.440 --> 00:12:45.360]  They can't even rent cars right now without there being an issue.
[00:12:46.000 --> 00:12:57.360]  And although the, you know, we'll play it in a little bit, although Tom Homan claims that local officials are now agreeing to work with DHS, the reality of it is, is they have a big, big battle up ahead of them right now.
[00:12:57.520 --> 00:12:59.280]  And so that is something to keep in your mind.
[00:12:59.520 --> 00:13:06.160]  I think what they're doing here, specifically, I think what they're doing here is they are just trying their very best to deflect the attention.
[00:13:06.400 --> 00:13:09.280]  And I think that's what you see Tom Homan doing here.
[00:13:09.920 --> 00:13:10.880]  Folks, we're not letting up.
[00:13:10.960 --> 00:13:15.440]  Mass deportations was the promise that was laid out, and that is what the American people expect.
[00:13:15.759 --> 00:13:16.720]  Nothing less.
[00:13:17.040 --> 00:13:19.920]  Every single illegal invader needs to be tossed out of this country.
[00:13:20.080 --> 00:13:22.480]  It doesn't matter whether you consider them to be violent or not.
[00:13:22.800 --> 00:13:23.600]  They've committed crimes.
[00:13:23.680 --> 00:13:24.480]  They're not supposed to be here.
[00:13:24.560 --> 00:13:25.280]  They do not belong here.
[00:13:25.440 --> 00:13:26.320]  We don't want them here.
[00:13:26.640 --> 00:13:28.800]  And they need to be shipped out of this country.
[00:13:29.120 --> 00:13:32.240]  We will not accept anything less.
[00:13:32.880 --> 00:13:42.560]  It's also important to note that Tom Homan during the press conference said, I'll say it again: President Trump made a promise of mass deportations, and that is what this country is going to get.
[00:13:42.880 --> 00:13:47.680]  But it's smart law enforcement to do targeted enforcement operations.
[00:13:48.560 --> 00:13:51.200]  So that was a quote that made me think, okay, there's more to this.
[00:13:51.360 --> 00:13:58.480]  This isn't exactly 100% a just surrendering in Minneapolis.
[00:14:00.400 --> 00:14:07.920]  But then Tom Homan said this: Tom Homan's claiming that the local officials in Minneapolis are working with DHS now.
[00:14:08.240 --> 00:14:09.040]  Now, it's quite strange.
[00:14:09.200 --> 00:14:10.480]  I don't really believe any of this right now.
[00:14:10.640 --> 00:14:11.519]  I don't think that they are.
[00:14:11.840 --> 00:14:14.320]  But I want you to listen into clip two because I don't think much has changed.
[00:14:14.400 --> 00:14:16.080]  But this is what Homan said earlier today.
[00:14:16.640 --> 00:14:28.560]  We now have the ability to arrest criminal aliens in the safety and security of jails throughout the state at the time they're being released, like we've done in other states.
[00:14:30.160 --> 00:14:40.960]  I've also directed the strategic placement of officers in certain areas throughout the states that can respond quickly to sheriffs that want to release somebody and nullify us.
[00:14:41.280 --> 00:14:43.920]  We need to be nearby so they don't hold them unnecessarily.
[00:14:44.240 --> 00:14:49.440]  So we worked on a strategic plan to reassign officers in those key locations.
[00:14:51.040 --> 00:15:00.080]  Arresting a public safety threat in the safety and security of a jail is safer for the alien, it's safer for the officer, and safer for the community.
[00:15:00.400 --> 00:15:02.640]  I think we all can agree on that.
[00:15:03.280 --> 00:15:06.640]  It requires less resources to threat large operations.
[00:15:06.960 --> 00:15:08.800]  It just makes sense.
[00:15:10.000 --> 00:15:15.840]  I'll say it again, as I've said many times: we are not asking local law enforcement to act as immigration officers.
[00:15:16.160 --> 00:15:18.480]  I don't want them to be immigration officers.
[00:15:18.800 --> 00:15:20.320]  We're the immigration officers.
[00:15:20.560 --> 00:15:22.400]  We just want them to be cops.
[00:15:23.040 --> 00:15:29.600]  We're asking law enforcement to coordinate with other law enforcement to help keep public safety risk out of the communities.
[00:15:30.480 --> 00:15:33.280]  Folks, I mean, I hope they're working with them.
[00:15:33.360 --> 00:15:35.600]  I just don't know, and I haven't really seen much of a change.
[00:15:35.759 --> 00:15:37.920]  And those on the left are declaring victory here.
[00:15:38.240 --> 00:15:39.200]  I mean, make no mistake.
[00:15:39.360 --> 00:15:44.880]  The governor, the AG, all of them think that they've just won this war against the federal government.
[00:15:45.519 --> 00:15:47.120]  Again, they were the ones that declared this war.
[00:15:47.200 --> 00:15:52.240]  They were the ones that decided to protect these illegal invaders and to carry out these attacks.
[00:15:52.560 --> 00:15:54.879]  So is the Trump administration completely surrendering?
[00:15:55.040 --> 00:15:56.320]  I don't think so.
[00:15:56.640 --> 00:16:02.480]  I think they need the attention shifted away from what's happening in Minneapolis, but we won't know until we see those numbers.
[00:16:02.800 --> 00:16:05.120]  We won't know until we see those numbers.
[00:16:05.759 --> 00:16:12.480]  Earlier today as well, Keith Elson is actually testifying, and it was quite the interesting event because there's a lot of screaming back and forth.
[00:16:12.560 --> 00:16:15.200]  Now, he is the attorney general in Minnesota.
[00:16:15.360 --> 00:16:21.759]  And obviously, if you've been looking and watching Infowars, there's a lot of issues with Elson that have been called into question.
[00:16:22.000 --> 00:16:24.080]  A lot of individuals do believe that he's extremely corrupt.
[00:16:24.320 --> 00:16:34.800]  We've heard the recordings as well where he's been getting a lot of campaign contributions from individuals that are accused of stealing money from the American people.
[00:16:35.120 --> 00:16:40.080]  And Elson was grilled about this earlier today on the Hill in clip three.
[00:16:40.400 --> 00:16:41.120]  Take a listen.
[00:16:41.600 --> 00:16:57.040]  Were you ever concerned about encouraging, I guess, people to support you to go out and put themselves into harm's way and obstructing illegal law enforcement action.
[00:16:57.120 --> 00:16:58.320]  Did that ever concern you?
[00:16:58.640 --> 00:16:59.920]  Sir, that never happened.
[00:17:00.560 --> 00:17:05.840]  We all times said, if you want to protest, protest peacefully, protest safely.
[00:17:06.640 --> 00:17:11.920]  But I would, you'll never find me against the first right now, but I'll always be for the first time.
[00:17:12.559 --> 00:17:14.720]  But you were seeing the scuffles, right?
[00:17:14.880 --> 00:17:23.039]  You were seeing the and by the way, Minneapolis police officials could not help protect ICE officials, right?
[00:17:23.200 --> 00:17:35.840]  I mean, Representative Niskas, isn't that, when you're talking about the nullification federal law, isn't that one of the, you know, Hampen County that they simply could not help and protect ICE in their legal law enforcement actions?
[00:17:38.240 --> 00:17:45.120]  The Minneapolis Police Department issued guidance in July saying that they would not even help with crowd control around.
[00:17:46.320 --> 00:17:46.640]  Yeah.
[00:17:46.960 --> 00:17:48.880]  So folks, I'm not buying what they're trying to sell.
[00:17:49.039 --> 00:17:50.720]  Obviously, they all knew about the signal chats.
[00:17:50.799 --> 00:17:52.720]  They all knew how well orchestrated this is.
[00:17:53.039 --> 00:17:54.320]  And I'm done with the back and forth.
[00:17:54.480 --> 00:17:59.200]  You know, we have an attorney general who claims to be against these types of actions.
[00:17:59.440 --> 00:18:05.519]  She gets up there all the time, gives these Fox News soundbites where she sounds real tough, but we haven't seen any follow-up on it.
[00:18:05.600 --> 00:18:09.120]  How about you go out there, AG Bonnie, and start rounding these people up?
[00:18:09.440 --> 00:18:11.120]  These are actual domestic terrorists.
[00:18:11.200 --> 00:18:15.440]  These people have done a great amount of harm over these last few months.
[00:18:15.759 --> 00:18:17.680]  And what's been done?
[00:18:18.000 --> 00:18:18.960]  Zero zilch.
[00:18:19.120 --> 00:18:19.440]  Nothing.
[00:18:19.680 --> 00:18:20.559]  Nothing.
[00:18:21.519 --> 00:18:25.519]  I want to shift gears a little bit since we're talking about Pam Bondi these days.
[00:18:26.160 --> 00:18:32.880]  As many of you guys know, the Jeffrey Epstein, as the president called it, a saga earlier today on Truth Social.
[00:18:33.200 --> 00:18:34.880]  I'm starting to get Epstein fatigue.
[00:18:35.200 --> 00:18:45.680]  And obviously, if you've watched anything that I've done over these last few years, you guys know that I am an ally when it comes to those who are true sexual assault survivors and do advocate on their behalf quite often.
[00:18:45.840 --> 00:18:48.240]  That's actually how I started my career in the news world.
[00:18:48.720 --> 00:18:56.880]  But the reality of it is I'm getting really, really tired of seeing all of these alleged Epstein victims come out there and speak now.
[00:18:57.440 --> 00:18:59.440]  And it just seems really political.
[00:18:59.759 --> 00:19:13.360]  As many of you guys saw yesterday during the Judiciary House Committee hearing, a group of these Epstein survivors were present at Pam Bondi's hearing, and they did raise their hands and stood to let their concerns be heard.
[00:19:14.960 --> 00:19:16.720]  This is my problem with all of this.
[00:19:17.039 --> 00:19:23.840]  And I don't want to say that we need to completely move on from it because I didn't like it when I heard the president saying just that.
[00:19:24.160 --> 00:19:29.440]  But it's quite obvious that this is being utilized as a political, let's just say, deterrent.
[00:19:29.680 --> 00:19:31.920]  They are trying their very best to go after President Trump.
[00:19:32.000 --> 00:19:35.360]  They're trying to shift blame over from Democrats to Republicans on all of this.
[00:19:35.680 --> 00:19:37.120]  When in fact, that's not the case.
[00:19:37.440 --> 00:19:44.880]  Folks, President Trump did make the campaign commitment to release the Epstein files, and we're seeing them obviously be released thanks to the legislation that was pushed forward.
[00:19:45.280 --> 00:19:47.280]  And that wasn't voluntary.
[00:19:47.680 --> 00:19:52.880]  But what we have going on here now, in my opinion, is a, well, it's theatrics.
[00:19:53.200 --> 00:19:54.560]  It's theatrics.
[00:19:55.200 --> 00:20:01.600]  And I know it's not going to be a take that's widely popular amongst many, but folks, I am starting to get fired up and annoyed over this.
[00:20:01.840 --> 00:20:04.560]  You know, yesterday we heard a group of the survivors speaking.
[00:20:04.800 --> 00:20:08.960]  And in clip four, we're going to play that for you because they're going after the White House again.
[00:20:09.280 --> 00:20:10.480]  Take a listen.
[00:20:11.440 --> 00:20:19.840]  We as a nation have an opportunity to send a strong message that we will not protect people who victimize children.
[00:20:20.160 --> 00:20:25.200]  That we will stand up for what is right despite what our politics are.
[00:20:25.520 --> 00:20:32.320]  That we will cross the aisle and that we will stand behind survivors for justice.
[00:20:33.920 --> 00:20:42.160]  We keep hearing our press secretary and our Department of Justice and other government officials saying they're moving on from this.
[00:20:43.360 --> 00:20:45.520]  I wish that we could.
[00:20:46.720 --> 00:20:49.840]  I met Epstein Maxwell when I was 21 years old.
[00:20:50.000 --> 00:20:52.240]  I'm nearly 53 now.
[00:20:53.120 --> 00:21:02.080]  We cannot move on as survivors of this crime and as citizens of this nation without changing this narrative.
[00:21:02.400 --> 00:21:11.280]  So I ask you all to stand behind us and demand accountability for our government because we certainly are going to.
[00:21:12.240 --> 00:21:17.040]  Listen, my heart is with real victims of the sexual assault, obviously.
[00:21:17.360 --> 00:21:19.840]  But if you know the names, why not release the names?
[00:21:20.160 --> 00:21:21.200]  And this is my problem.
[00:21:21.440 --> 00:21:24.000]  Last year, and I was a little fired up over this because I saw what they were doing.
[00:21:24.320 --> 00:21:25.920]  They went out there and they said, we've got names.
[00:21:26.080 --> 00:21:26.480]  We know names.
[00:21:26.560 --> 00:21:29.680]  We're going to make our own lists and we're going to put the list out there.
[00:21:30.000 --> 00:21:30.960]  Don't remember what that was.
[00:21:31.120 --> 00:21:36.480]  Let me play clip five for you because all you had to do was search back in the archives of September of 2025.
[00:21:36.640 --> 00:21:38.560]  And that is exactly what was said.
[00:21:38.720 --> 00:21:39.920]  Take a listen.
[00:21:40.240 --> 00:21:41.680]  We know the names.
[00:21:42.000 --> 00:21:43.680]  Many of us were abused by them.
[00:21:44.480 --> 00:21:55.360]  Now, together as survivors, we will confidentially compile the names we all know who regularly and who are regularly in the Epstein world.
[00:21:55.920 --> 00:21:58.880]  And it will be done by survivors and for survivors.
[00:21:59.200 --> 00:21:59.520]  Yeah.
[00:21:59.840 --> 00:22:00.000]  Okay.
[00:22:00.400 --> 00:22:01.120]  I'm on board.
[00:22:01.280 --> 00:22:02.240]  I'm on board.
[00:22:02.560 --> 00:22:05.440]  If you have the names, release the names.
[00:22:05.760 --> 00:22:13.280]  Even Elon Musk has come out there and said to the victims of Jeffrey Epstein's sexual abuse, I will help pay you for your legal fees.
[00:22:13.600 --> 00:22:19.200]  There's no NDA that will ever be upheld in court over allegations of rape.
[00:22:20.160 --> 00:22:23.600]  It's completely insane to sit here and blame the NDAs.
[00:22:23.680 --> 00:22:24.960]  The NDAs aren't the issue.
[00:22:25.280 --> 00:22:27.680]  Elon Musk coming out and saying, we'll pay your legal fees.
[00:22:28.000 --> 00:22:29.440]  And no judge is going to hold it up.
[00:22:29.760 --> 00:22:30.320]  No judge.
[00:22:30.640 --> 00:22:31.040]  No judge.
[00:22:31.200 --> 00:22:33.280]  Now, normally I wouldn't advocate because I hate the Me Too movement.
[00:22:33.360 --> 00:22:34.000]  I thought it was awful.
