# Transcription model: nvidia/canary-1b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 8db85116eb05465e0d7250a7e9d9f2cf
[00:00:15.359 --> 00:00:19.298]  The Alex Jones Network is tomorrow's news today.
[00:52:31.119 --> 00:52:32.559]  And I think Cuba is going to be.
[00:52:33.440 --> 00:52:38.719]  something we're going to end up talking about because Cuba is a failing nation right now, very badly failing nation.
[00:52:38.960 --> 00:52:39.920]  That's what this is all about.
[00:52:40.000 --> 00:52:40.799]  I'll explain in a moment.
[00:52:41.119 --> 00:52:48.639]  It's very similar in the sense that we want to help the people in Cuba, but we want to help also the people that were forced out of Cuba and living in this country.
[00:52:48.799 --> 00:52:50.960]  Do you want to say something about that, Marco, please?
[00:52:51.359 --> 00:52:57.199]  Well, I mean, I just gave you a statement a few minutes ago about, you know, when the president speaks, you should take him seriously.
[00:52:57.279 --> 00:52:59.519]  So, suffice it to say, you know, Cuba is a disaster.
[00:52:59.759 --> 00:53:07.199]  It's it's run by incompetent, senile men, and in some cases not senile but incompetent nonetheless.
[00:53:07.279 --> 00:53:08.000]  They have no economy.
[00:53:08.159 --> 00:53:09.039]  It's in total collapse.
[00:53:09.199 --> 00:53:17.039]  And by the way, you know, they were critical, you know, all the guards that helped protect Maduro, this is well known, their whole spy agency, all that were full of Cubans.
[00:53:17.119 --> 00:53:18.639]  I mean, they basically it's amazing.
[00:53:18.799 --> 00:53:22.239]  This poor island took over Venezuela in some cases.
[00:53:22.399 --> 00:53:25.519]  One of the biggest problems that Venezuelans have is they have to declare independence from Cuba.
[00:53:25.679 --> 00:53:28.079]  They tried to basically colonize it from a security standpoint.
[00:53:28.239 --> 00:53:31.599]  So yeah, look, if I lived in Havana and I was in the government, I'd be worried, at least.
[00:53:32.159 --> 00:53:34.559]  Are you cutting off the oil flow to Cuba from Venezuela?
[00:53:35.359 --> 00:53:41.359]  Well, the President already announced a week ago that anything that's sanctioned, it's sanctioned oil, it's not going to be allowed to get there.
[00:53:41.440 --> 00:53:44.879]  So that's a decisive question.
[00:53:49.119 --> 00:53:54.559]  Mr. President, are you aware of the location of opposition leader Machado and have you been in contact with her?
[00:53:55.039 --> 00:53:55.119]  No.
[00:53:57.119 --> 00:54:04.719]  Mr. President, on Monday, I think it would be very tough for her to be the leader.
[00:54:04.960 --> 00:54:08.000]  She doesn't have the support within or the respect within the country.
[00:54:08.239 --> 00:54:09.039]  She's a very nice woman.
[00:54:09.279 --> 00:54:10.559]  But they want to stall their new president.
[00:54:11.279 --> 00:54:14.719]  Is this what the US ends up administering Venezuela for years?
[00:54:16.000 --> 00:54:21.119]  Well, you know, it won't cost us anything because the money coming out of the ground is very substantial.
[00:54:21.119 --> 00:54:22.159]  So it's not going to cost us anything.
[00:54:22.399 --> 00:54:23.519]  So the US is going to go to Denmark.
[00:54:23.599 --> 00:54:23.839]  We will.
[00:54:24.639 --> 00:54:25.920]  Well, we want safety there.
[00:54:26.239 --> 00:54:31.199]  We want to be surrounded by countries that aren't housing all of our enemies all over the world.
[00:54:31.519 --> 00:54:32.719]  That's what was happening in.
[00:54:32.960 --> 00:54:34.159]  And you don't want to have that.
[00:54:35.119 --> 00:54:39.519]  But we're going to be rebuilding and we're not spending money.
[00:54:39.920 --> 00:54:41.119]  The oil companies are going to go in.
[00:54:41.279 --> 00:54:42.000]  They're going to spend money.
[00:54:42.719 --> 00:54:46.480]  We're going to take back the oil that, frankly, we should have taken back a long time ago.
[00:54:47.359 --> 00:54:48.960]  A lot of money is coming out of the ground.
[00:54:49.119 --> 00:54:50.480]  We're going to get reimbursed for all that.
[00:54:50.559 --> 00:54:50.960]  We're going to be.
[00:54:51.119 --> 00:54:53.359]  Let's be clear, the US built all that for Houston.
[00:54:53.599 --> 00:54:55.920]  So it's going to be And it all got grabbed by the Communists.
[00:54:56.079 --> 00:54:56.960]  It's going to be a very important thing.
[00:54:57.279 --> 00:54:58.000]  And they rob the people.
[00:54:59.119 --> 00:55:00.000]  This is a very big event.
[00:55:00.559 --> 00:55:04.159]  Venezuelans used to be richer than us 30 years ago, on average.
[00:55:04.719 --> 00:55:05.920]  They got screwed by Communists.
[00:55:06.639 --> 00:55:08.719]  Trump's going to rain money on them, their money.
[00:55:09.679 --> 00:55:15.599]  We have to have energy that's real energy, not where they're getting 4% and 5% of the energy out of the ground.
[00:55:16.159 --> 00:55:17.760]  Take a look, it was such a disaster.
[00:55:18.000 --> 00:55:23.760]  So what's going to happen with Venezuela, I think over the next period of a year, is going to be a great thing.
[00:55:24.079 --> 00:55:26.599]  And the people of Venezuela will be the biggest beneficiaries.
[00:55:35.519 --> 00:55:36.159]  And is the U.S.
[00:55:36.400 --> 00:55:43.360]  Well, I don't want to get into the conversations, but I did have conversations with him and I said he gotta surrender.
[00:55:45.360 --> 00:55:50.079]  And I actually thought he was pretty close to doing so, but now he wished he had.
[00:55:50.159 --> 00:55:50.240]  Yes.
[00:55:50.480 --> 00:55:55.599]  Mr. President, can you explain you said that Maduro is responsible for drug trafficking.
[00:55:55.920 --> 00:56:00.320]  You recently pardoned the former president of Honduras who was convicted of many drug trafficking.
[00:56:00.400 --> 00:56:02.240]  Can you explain how these two situations are different?
[00:56:02.880 --> 00:56:04.079]  And would you ever pardon Maduro?
[00:56:04.400 --> 00:56:08.240]  I endorsed, as you know, the winning president, the man who won in Honduras.
[00:56:08.480 --> 00:56:11.199]  I endorsed the man who won in Chile.
[00:56:11.440 --> 00:56:13.519]  I endorsed the man who won in Argentina.
[00:56:14.159 --> 00:56:16.800]  And we are doing very well with that whole group.
[00:56:17.440 --> 00:56:24.079]  The man that I pardoned was, if you could equate it to us, he was treated like the Biden administration treated.
[00:56:24.320 --> 00:56:25.199]  Just like Bolsonaro.
[00:56:25.440 --> 00:56:26.320]  We need to protect him.
[00:56:26.719 --> 00:56:27.599]  No pressure on Brazil.
[00:56:27.920 --> 00:56:31.840]  He was the head of the country.
[00:56:32.320 --> 00:56:34.000]  He was persecuted very unfairly.
[00:56:34.240 --> 00:56:35.360]  And there are a number of them.
[00:56:36.079 --> 00:56:39.280]  And we felt that it was a very unfair situation that happened to him.
[00:56:39.840 --> 00:56:42.159]  He's also a party member of the man who won.
[00:56:42.720 --> 00:56:44.240]  So obviously the people liked.
[00:56:45.119 --> 00:56:45.599]  Let's stop there.
[00:56:45.760 --> 00:56:47.119]  Obviously you want to see the rest of this.
[00:56:47.440 --> 00:56:48.320]  This is live right now.
[00:56:49.119 --> 00:56:54.720]  I think it's coming to a close here, but I almost don't want to break away because bombshell for bombshell.
[00:56:55.039 --> 00:56:57.920]  Delta Force goes in, heavy opposition, huge firefights.
[00:56:58.320 --> 00:57:00.880]  Maduro's trying to get in the safe room, the big iron door.
[00:57:01.360 --> 00:57:03.199]  as he's trying to close the door they stop him.
[00:57:03.360 --> 00:57:04.880]  I mean, unbelievable.
[00:57:04.960 --> 00:57:06.639]  And you know, they've all got live feed cameras.
[00:57:06.800 --> 00:57:08.159]  Trump's watching in the situation room.
[00:57:09.199 --> 00:57:09.679]  Unbelievable.
[00:57:09.840 --> 00:57:16.720]  They hit over a thousand targets in five minutes just overlaying all these aircraft, all these drones, helicopters come in.
[00:57:17.119 --> 00:57:18.960]  I mean, this was amazing.
[00:57:19.280 --> 00:57:21.199]  And look, I'm all for getting rid of communists.
[00:57:21.760 --> 00:57:24.400]  I know China and all these others have been putting this in place.
[00:57:24.639 --> 00:57:24.960]  Cuba.
[00:57:25.760 --> 00:57:27.280]  Cuba basically runs Venezuela.
[00:57:27.440 --> 00:57:28.480]  It then runs Mexico.
[00:57:29.039 --> 00:57:30.159]  It then controls the drugs.
[00:57:30.400 --> 00:57:36.239]  The CIA worked with them, it was in bed with them, it was in bed stealing our elections with SmartMatic.
[00:57:36.400 --> 00:57:37.440]  That's really also dominion.
[00:57:37.840 --> 00:57:38.800]  And it's all coming out.
[00:57:39.119 --> 00:57:43.199]  So Trump just bottom line decapitated the deep state's main funding mechanism.
[00:57:43.280 --> 00:57:45.920]  Remember that New York Times headline when Trump was president elected?
[00:57:46.400 --> 00:57:52.320]  It said, if President Trump declares drug cartels terrorists and cuts off the drug money, that will crash the stock market.
[00:57:52.720 --> 00:57:53.519]  Remember that headline?
[00:57:55.679 --> 00:57:59.679]  Why Trump shouldn't declare the drug cartels terrorists because it will crash the stock market.
[00:57:59.840 --> 00:58:00.400]  Remember the headline?
[00:58:00.480 --> 00:58:01.920]  That's basically the exact headline.
[00:58:02.720 --> 00:58:04.800]  That's what Katherine Austin Fitz always talks about.
[00:58:05.039 --> 00:58:10.480]  That if you used to add up HUD, that if you do that, that's what Wall Street does.
[00:58:10.720 --> 00:58:11.840]  Trump doesn't like drugs.
[00:58:12.400 --> 00:58:12.480]  Okay.
[00:58:12.720 --> 00:58:14.639]  His brother died an alcoholic, all the rest of it.
[00:58:15.519 --> 00:58:18.320]  How labeling cartels terrorists could harm the US economy.
[00:58:18.400 --> 00:58:18.960]  And it goes into it.
[00:58:19.119 --> 00:58:19.599]  So great job.
[00:58:19.920 --> 00:58:21.280]  Tess pulled that up in like five seconds.
[00:58:21.360 --> 00:58:21.440]  Wow.
[00:58:22.000 --> 00:58:22.400]  Impressive.
[00:58:23.440 --> 00:58:24.320]  Guys and girls in there.
[00:58:24.720 --> 00:58:30.000]  So you notice I'm saying stuff during the press conference and then Rubio says it ten seconds, ten seconds later.
[00:58:30.880 --> 00:58:33.360]  The average American still doesn't know the players here.
[00:58:34.079 --> 00:58:34.720]  You need to know.
[00:58:35.440 --> 00:58:43.679]  You know how many governors, you know how many mayors, you know how many prosecutors, how many judges are on the Cuban payroll and the Venezuelan payroll?
[00:58:44.559 --> 00:58:50.239]  Yeah, they're feld states, they take everything from the people, but they have incredible wealth that they project for control.
[00:58:51.920 --> 00:58:56.320]  Bass, the mayor of LA, admitted Cuban intelligence agent.
[00:58:58.239 --> 00:59:01.199]  Then about twenty years ago, she says, I'm sorry, I'm not a communist anymore.
[00:59:01.279 --> 00:59:02.719]  I'm sorry, I was an intelligence agent.
[00:59:04.239 --> 00:59:07.759]  So you don't want us to be involved in our own business in our own backyard.
[00:59:07.920 --> 00:59:09.039]  Well, somebody else will be.
[00:59:09.679 --> 00:59:15.440]  And the Chinese had war games last week about how they were going to attack our ships if we attack Venezuela, that was a threat.
[00:59:15.599 --> 00:59:20.719]  And then yesterday, the Chinese officials, including their military, let's run that B roll in a minute.
[00:59:22.000 --> 00:59:31.759]  They met with Maduro about the take hundreds of millions of dollars of stolen money.
[00:59:32.159 --> 00:59:35.440]  They were going to let him go to Switzerland or a few other places.
[00:59:36.079 --> 00:59:36.719]  He didn't do it.
[00:59:39.199 --> 00:59:45.679]  So now, just like Noriega, we'll get to that in a moment, he's going to go to prison.
[00:59:46.319 --> 00:59:47.199]  Now here's the difference.
[00:59:47.440 --> 00:59:50.960]  George Herbert Walker Bush was a CIA head before, a drug dealer.
[00:59:52.960 --> 01:00:01.360]  Manuel and Noriega on record had $400 back then, $400 million palaces in Switzerland, like five million dollars debt.
[01:00:02.480 --> 01:00:05.199]  And he told the Us, fu, I run the drugs now.
[01:00:06.319 --> 01:00:13.519]  And so Bush went in there in in 1990 and took it all out for that.
[01:00:14.239 --> 01:00:20.079]  I can tell you by all what's being set up and done and what the banks are reporting Trump's like it's over.
[01:00:21.279 --> 01:00:23.360]  The Us has a four percent of the world's population.
[01:00:23.519 --> 01:00:25.360]  We use the majority of illegal drugs in the world.
[01:00:26.159 --> 01:00:27.840]  The US is four percent of the world's population.
[01:00:27.920 --> 01:00:30.960]  We pay 77% for all drugs on Earth.
[01:00:32.239 --> 01:00:32.719]  Prescription.
[01:00:34.319 --> 01:00:37.360]  Trump gets the big pharma there and he goes, listen, what the hell's going on?
[01:00:38.159 --> 01:00:39.440]  You're not doing this anymore.
[01:00:40.159 --> 01:00:43.199]  We are being screwed with the illegal drugs, the prescription drugs, all of it.
[01:00:44.319 --> 01:00:48.319]  And it's like Bassett said, he said, Wall Street's had its run.
[01:00:49.599 --> 01:00:56.159]  Now it's time for May Street to get on because just from a business perspective, they've rode the horse till it's going to die.
[01:00:57.279 --> 01:01:01.519]  So it's a pragmatic perspective, Trump's like screwing America is over, bitch.
[01:01:02.719 --> 01:01:03.679]  Because they screwed it.
[01:01:04.000 --> 01:01:05.519]  The press conference is over as I predicted.
[01:01:07.519 --> 01:01:10.319]  They have screwed us so bad that they've even blown up their own base.
[01:01:11.279 --> 01:01:18.880]  So you could say they kind of let Trump in because he's populist, you know, people like him to kind of have us stand up to China because China double crossed the globalists.
[01:01:19.679 --> 01:01:20.880]  That's the pessimistic view.
[01:01:22.880 --> 01:01:33.599]  And yes, are they going to now have Maduro expose Pelosi and the Democrats and the Clintons and the Bushes for the drug dealing they've been involved in.
[01:01:34.000 --> 01:01:48.319]  I wouldn't hold your breath with the prosecutors, but definitely Trump is ending the US sanctioning and laundering of the money and supporting it and the election fraud because it's not Venezuela and China running it.
[01:01:48.480 --> 01:01:51.519]  It's the CIA deep state through China, through Venezuela and Cuba doing it.
[01:01:52.480 --> 01:01:54.559]  So Cuba's in deep trouble.
[01:01:54.719 --> 01:01:57.199]  Mexico and Shinebomb, its operations in trouble.
[01:01:58.480 --> 01:02:08.159]  Their mother ship, Venezuela, that had all this incredible budget and all this incredible money, not for its people but for control, that's gone.
[01:02:10.239 --> 01:02:12.319]  And so Trump's leaving this current government in there.
[01:02:12.480 --> 01:02:15.039]  They'd already had Maduro about to go and put in this new puppet.
[01:02:15.279 --> 01:02:16.719]  He's like, we're not going to have your puppet.
[01:02:16.880 --> 01:02:26.480]  We're coming in, stabilize it, crank up your production again, turn your standard of living back on, and we're going to fix this.
[01:02:27.199 --> 01:02:28.000]  And it's going to work.
[01:02:30.719 --> 01:02:31.920]  Because they have so much wealth.
[01:02:33.440 --> 01:02:34.880]  So this is a big deal, folks.
[01:02:35.519 --> 01:02:42.319]  On this day, today in 1989, 27,000 American troops invaded Panama to top of the dictator and US ally Manuel Noriega.
[01:02:42.480 --> 01:02:45.279]  The global community condemns the operation as a violation of international law.
[01:02:45.599 --> 01:02:50.079]  Well, they really invaded about twelve days before.
[01:02:50.559 --> 01:02:59.679]  That's how long our military then he held up in an embassy, then he turned himself over today in 1990.
[01:03:01.360 --> 01:03:03.119]  So that's a very, very historic point.
[01:03:03.440 --> 01:03:04.960]  The US just did this in a country.
[01:03:06.320 --> 01:03:14.079]  How many, how many times bigger is guys ask Chad GPT or Rock, how many times bigger is Venezuela than Panama?
[01:03:16.000 --> 01:03:17.199]  I'm going to guess ten times.
[01:03:17.679 --> 01:03:18.559]  Let's see if I'm right.
[01:03:19.199 --> 01:03:20.159]  It's bigger than Texas.
[01:03:20.559 --> 01:03:29.599]  Panama is little and Venezuela has a much bigger military, but they're communist bullies that ram armored vehicles into civilians.
[01:03:30.559 --> 01:03:44.079]  So they didn't even have a chance to fight because in the first minute, hundreds of sites were hit, hundreds of U.S. aircraft above, and the next five minutes, thousands, they're saying it's over a thousand targets were hit with precision.
[01:03:45.199 --> 01:03:46.800]  They were all not wiped out.
[01:03:47.360 --> 01:03:48.960]  And then the helicopters came in.
[01:03:50.480 --> 01:03:51.199]  There is Venezuela.
[01:03:51.519 --> 01:03:52.880]  is approximately 12 times bigger.
[01:03:53.039 --> 01:03:54.240]  See, I just said 10.
[01:03:56.159 --> 01:04:03.280]  In terms of land area, Venezuela has a total area of, well, so there you go.
[01:04:05.920 --> 01:04:08.240]  916.
[01:04:10.400 --> 01:04:14.800]  So I've done all these factoids.
[01:04:14.880 --> 01:04:20.860]  I've done all this research about land masses and stuff, but when you get this much knowledge, it just kind of becomes like a, it's like wisdom.
[01:04:21.039 --> 01:04:22.400]  You like you just don't know why you know it.
[01:04:22.559 --> 01:04:24.559]  You just know it and then you got always got to double check it.
[01:04:25.280 --> 01:04:29.440]  So most what I do is like i'll go, that's the number and i'll go check it.
[01:04:30.159 --> 01:04:39.440]  The other day Rob was giving me all these numbers and I said, I said that's uh, that's like thirty percent.
[01:04:39.920 --> 01:04:42.800]  He goes, yeah, it's like 29.7.
[01:04:42.960 --> 01:04:44.000]  Yeah, how'd you nail that?
[01:04:44.079 --> 01:04:48.240]  I just well, I just knew the number, but if I tried to do the number on a piece of paper i'd mess it up.
[01:04:48.320 --> 01:04:48.800]  It's weird.
[01:04:49.119 --> 01:04:54.159]  There is Venezuela's total area is 916,000 plus.
[01:04:56.159 --> 01:05:01.920]  KMs is that kilometers including continental and islands per sources world atlas.
[01:05:02.079 --> 01:05:04.000]  Panama's total 75,000.
[01:05:04.320 --> 01:05:05.519]  So there you go, 12 times.
[01:05:06.159 --> 01:05:06.400]  All right.
[01:05:07.920 --> 01:05:10.559]  So let me now go through all of this.
[01:05:10.800 --> 01:05:10.880]  Okay.
[01:05:14.320 --> 01:05:16.960]  I have not supported any of our wars in my lifetime.
[01:05:17.840 --> 01:05:24.960]  I've supported some military operations, rescue operations, things like that because I know they were all for globalist issues to sell out America.
[01:05:26.159 --> 01:05:31.199]  I can go into each one in great detail and take over the Middle East and lower our borders and flood us and all the rest of it.
[01:05:31.840 --> 01:05:36.079]  Put even more radical Muslims in, fund the Arab Spring on, I'm against it all.
[01:05:37.679 --> 01:05:38.639]  And I study history.
[01:05:38.720 --> 01:05:40.400]  Ho Chi Minh wanted to be capitalist.
[01:05:40.559 --> 01:05:42.800]  He actually invited the US in, but he wanted to be in control.
[01:05:43.599 --> 01:05:46.320]  So we did that whole thing and pushed him in the arms of China and Russia.
[01:05:48.159 --> 01:05:49.599]  So much of this has been completely wrong.
[01:05:49.679 --> 01:05:53.920]  With Trump, you're getting back to gunboat diplomacy, back to Thomas Jefferson Barbary Wars.
[01:05:54.480 --> 01:05:55.360]  You don't know what those mean.
[01:05:55.599 --> 01:05:58.720]  Just type in Thomas Jefferson Barbary Wars or gunboat diplomacy later.
[01:05:58.960 --> 01:06:01.039]  And you're like, wow, this is the U.S. policy.
[01:06:01.920 --> 01:06:02.720]  This is what we do.
[01:06:03.119 --> 01:06:06.720]  That's why the Marine Corps anthem is from the halls of Montezuma to the shores of Tripoli.
[01:06:06.960 --> 01:06:08.960]  Those are always when real interests are being effed with.
[01:06:10.000 --> 01:06:10.800]  This is what we do.
[01:06:11.519 --> 01:06:13.599]  They'd rather work with you in business and promote freedom.
[01:06:14.000 --> 01:06:22.239]  But if you mess with us and rig our elections and flood us with drugs and open up your presence to us and all the rest of it, it's game over.
[01:06:24.480 --> 01:06:25.760]  It's about taking down Cuba.
[01:06:26.159 --> 01:06:28.239]  It's about taking down the corruption in Mexico.
[01:06:29.360 --> 01:06:31.119]  It's about stopping the drugs flooding in.
[01:06:31.519 --> 01:06:35.519]  And the Venezuelans are just absolutely celebrating everywhere.
[01:06:38.239 --> 01:06:46.559]  Now, if Trump didn't leave the government in place that's been oppressing people, but still has the infrastructure, it would descend into total collapse.
[01:06:48.319 --> 01:06:53.519]  He's got to get the infrastructure turn back on, crank up the funding.
[01:06:53.759 --> 01:06:59.599]  He can get these big corporations to commit to going in with major aid projects, major hiring projects.
[01:06:59.759 --> 01:07:00.559]  That's what Trump does.
[01:07:01.039 --> 01:07:02.159]  He's a hospitality guy.
[01:07:02.400 --> 01:07:06.159]  He looks at that and goes, God, we can build a lot of Trump towers and golf courses down there.
[01:07:06.799 --> 01:07:09.440]  And he wants to have his kids down there after he's dead in ten years.
[01:07:10.000 --> 01:07:13.199]  And there's just Trump towers everywhere and golf courses and everybody's filthy rich.
[01:07:13.679 --> 01:07:15.359]  And that's what Trump likes.
[01:07:15.519 --> 01:07:21.920]  He likes golden toilets and jet airplanes and he likes seeing nice neighborhoods and happy people, and because they, they come into his hotels.
[01:07:22.079 --> 01:07:24.159]  I mean, it's just, it's a normal, actual view.
[01:07:25.279 --> 01:07:27.519]  The globalists are feudalists, though they're feudal lords.
[01:07:27.599 --> 01:07:28.639]  They want you poor to control you.
[01:07:28.719 --> 01:07:29.679]  That's the great reset.
[01:07:29.920 --> 01:07:30.639]  That's her operation.
[01:07:30.879 --> 01:07:36.799]  So at first, the middle of the night, after the attacks happened, a few hundred would show up here, a few thousand there.
[01:07:37.119 --> 01:07:46.079]  Then by dawn you can hear everyone celebrating from their windows and screaming and celebrating from the starvation and death and oppression.
[01:07:46.239 --> 01:07:48.480]  And then by the morning there were millions of the streets.
[01:07:49.119 --> 01:07:50.639]  Let's roll, start over with audio.
[01:07:50.719 --> 01:07:51.079]  Here it is.
[01:08:05.577 --> 01:08:06.378]  People have gone.
[01:08:06.719 --> 01:08:51.680]  A few hours later, ago.
[01:08:52.079 --> 01:08:53.279]  Now there's even bigger crowds.
[01:08:54.639 --> 01:08:56.960]  So people ask, what is this?
[01:08:57.119 --> 01:08:58.239]  Go into a country, grab a president.
[01:08:58.479 --> 01:08:59.199]  He's a dictator.
[01:08:59.680 --> 01:09:01.279]  He's engaged in election fraud.
[01:09:02.239 --> 01:09:03.119]  He's manipulating.
[01:09:03.599 --> 01:09:07.599]  He's running the major drug cartels all over Mexico and the Americas.
[01:09:08.479 --> 01:09:09.760]  He's not just behind the cocaine.
[01:09:09.840 --> 01:09:12.639]  He's behind the fentanyl, even though most fentanyl doesn't come out of Venezuela.
[01:09:13.760 --> 01:09:15.359]  And Joe Rogan talked about this last week.
[01:09:15.599 --> 01:09:16.399]  He pulled these numbers up.
[01:09:16.559 --> 01:09:22.239]  We have a 35% drop in overdoses and the numbers are always a few months back.
[01:09:22.880 --> 01:09:23.680]  They're not updated.
[01:09:23.920 --> 01:09:37.279]  So in just the first six, seven months of the Trump administration, we're now less than a year in, almost a year in on January 21, but a year in, and you already have 35% drop in overall drug overdoses and it's gone over the edge of a cliff.
[01:09:37.359 --> 01:09:38.159]  It's going to continue on.
[01:09:38.479 --> 01:09:40.639]  We have a 96% shutdown of the border.
[01:09:41.680 --> 01:09:43.760]  We have crime in the major cities plunging.
[01:09:44.239 --> 01:09:48.319]  Some of the highest murder rates ever just a few years ago, now lowest murder rate in fifty years.
[01:09:50.479 --> 01:09:53.279]  Just because there's an idea that criminals can't run wild.
[01:09:53.519 --> 01:09:58.720]  Actually, they still can, but it's like when cops don't know if cops will park empty police cars on the roads and you slow down.
[01:09:58.800 --> 01:10:01.279]  It's, it's, you know, oh, a few hundred troops here and there.
[01:10:01.599 --> 01:10:03.439]  People go, oh, the criminals go, oh, it's not safe.
[01:10:03.599 --> 01:10:04.639]  That's how dumb the criminals are.
[01:10:04.800 --> 01:10:09.039]  Hate to tell them, you know, it's like a scarecrow so the crows don't eat the corn.
[01:10:09.920 --> 01:10:14.239]  You gotta still move the scarecrow around every few months, put new clothes on or they learn it's not really a person.
[01:10:14.880 --> 01:10:22.159]  You know, I go to Home Depot, you can buy owls and eagles and put them on your house so a bunch of birds don't you know, sit on your roof or whatever.
[01:10:23.199 --> 01:10:26.800]  You want to, you know, you don't want a bunch of grackles, you know, attacking you when you're outside.
[01:10:27.519 --> 01:10:34.319]  Or if most of you, a lot of people have water systems off their roofs, you know, we get water from the roof but the buzzards sit on your house.
[01:10:35.039 --> 01:10:43.840]  I used to live out in Dripping Springs and we had a rainwater collection system and there'd be like ten buzzards sitting on the metal roof of the house and they crap and then the buzzard shit goes into your thing.
[01:10:43.920 --> 01:10:44.639]  You don't want to do that.
[01:10:44.720 --> 01:10:46.079]  We had filters, but it wasn't good enough.
[01:10:46.400 --> 01:10:49.680]  Well, buzzards protected, so you can't shoot them with a shotgun.
[01:10:50.079 --> 01:10:53.920]  So I just stuck owls up there, plastic owls, and they stopped coming.
[01:10:54.480 --> 01:11:00.400]  Then about six months later, all of a sudden, they're sitting around the owl because they figured out it's not alive because it's not moving.
[01:11:00.640 --> 01:11:01.680]  You got to move the owl.
[01:11:02.720 --> 01:11:10.159]  So look what Bukele has done in El Salvador, the most dangerous country in the world, now Saving Center Hemisphere in just four years.
[01:11:11.360 --> 01:11:13.280]  And they just put the corrupt judges in jail.
[01:11:13.520 --> 01:11:14.880]  They put the gang leaders in jail.
[01:11:15.680 --> 01:11:16.560]  They call him a dictator.
[01:11:16.640 --> 01:11:18.560]  No, he's elected with 85% rate.
[01:11:19.199 --> 01:11:22.240]  And now it's a beautiful, gorgeous place exploding investment, everything else.
[01:11:22.640 --> 01:11:23.199]  Beautiful people.
[01:11:23.840 --> 01:11:25.440]  Latin America used to be amazing.
[01:11:25.920 --> 01:11:34.079]  Communism and corruption destroyed Latin America and the CIA letting them be the drug production places.
[01:11:34.960 --> 01:11:35.520]  That's all over.
[01:11:35.920 --> 01:11:36.880]  Communists, bye bye.
[01:11:37.119 --> 01:11:38.960]  Now Brazil is the real big target after that.
[01:11:39.280 --> 01:11:40.960]  We got to get Bolsonaro out of prison.
[01:11:42.880 --> 01:11:44.960]  So let's go to Rogan with the graph.
[01:11:45.119 --> 01:11:45.520]  Here it is.
[01:11:47.119 --> 01:12:11.199]  from the time Trump's been in office deaths by overdose have dropped off a cliff look at that look at 2024 and leading into 2025 look at these are all deaths from overdoses I mean that's kind of crazy like look at that from all drugs which is the top one look at that drop I mean, that's crazy.
[01:12:11.520 --> 01:12:18.800]  So you see, the peak was in 2022, or it looks like actually 2023.
[01:12:19.119 --> 01:12:28.400]  Between 2023 and 2024, that's the peak where people are dying, and then, from the time Trump's in office, it's taking a fucking sharp downturn.
[01:12:29.440 --> 01:12:30.720]  And why is that as well?
[01:12:30.880 --> 01:12:40.960]  Part of it is because they're blowing up these fucking boats that are bringing in all the drugs, and not just drugs, but drugs that are tainted with fentanyl and yeah, that's nothing.
[01:12:41.199 --> 01:12:45.440]  They Everybody I know has children and family that go out and get off-market.
[01:12:46.000 --> 01:13:15.680]  vape and it's got fentanyl and they're dead or they are almost dead or babies are at playgrounds and just get some on their hand and put it in their mouth dead or a cop pulls lady over it's got it in her purse he touches it he falls over I mean you've seen this stuff so over 130 000 people a year die from this crap now the left all had their plan to overthrow the cities have a race war have the US military in the Podesta plan and then in the movie they produced three years ago that came out two years ago,
[01:13:15.920 --> 01:13:29.119]  Civil War, they were going to have the military turn against Trump and go into DC and they were going to kill him and they and they go kill the Trump figure and the leftist media is the heroes.
[01:13:29.920 --> 01:13:31.199]  But instead, how's that all going?
[01:13:31.520 --> 01:13:34.320]  It's not going the way you guys said it was going.
[01:13:34.560 --> 01:13:38.240]  This is a message to China, a message to Russia, a message to everybody.
[01:13:39.440 --> 01:13:50.400]  And make no mistake, the Democrats were sabotaging the US military with the COVID shots and the transgenderism and the DEI because they knew it was so dominant.
[01:13:51.520 --> 01:13:53.840]  And now in just less than a year, Trump has turned it around.
[01:13:53.920 --> 01:14:01.360]  You just saw the most precision operation ever that brings a new meaning to the word lightning war or blitzkrieg.
[01:14:02.560 --> 01:14:10.159]  Well, this is the info krieg and this is peace through strength, ladies and gentlemen.
[01:14:11.920 --> 01:14:16.320]  And so I understood it's in our diplomacy, it's in the gumboboat diplomacy.
[01:14:16.640 --> 01:14:18.079]  It's in the Monroe doctrine.
[01:14:18.880 --> 01:14:25.280]  It's in the Thomas Jefferson Barbary Pirate doctrine, Barbary War.
[01:14:26.000 --> 01:14:27.360]  I understood he has the right to do it.
[01:14:27.440 --> 01:14:28.880]  I said it's extremely dangerous.
[01:14:29.600 --> 01:14:32.480]  The CIA can set it up and get intelligence to them.
[01:14:32.640 --> 01:14:35.760]  That's why Trump said in the press conference, that's another clip to put up.
[01:14:36.240 --> 01:14:38.400]  Maybe we're going to explain it here and put it with the clip.
[01:14:38.880 --> 01:14:45.360]  Notice Trump said, oh, we didn't tell Congress Because they're going to leak the information.
[01:14:45.680 --> 01:14:48.640]  A bunch of them are on the payroll of Maduro on record.
[01:14:49.920 --> 01:14:52.640]  That's why it wasn't just Christmas that he was going to hit them.
