[00:00:19.724 --> 00:00:21.445]  It's Wednesday, October 14th.
[00:05:12.836 --> 00:05:23.743]  Crosses, Christian crosses, Christian iconography to be removed and replaced with Muslim symbols again to appease the migrants that are flowing into that country.
[00:05:24.463 --> 00:05:33.029]  Housing, there's a huge housing shortage in Sweden and yet residents are being told to turn over their garages to house these migrants.
[00:05:33.809 --> 00:05:37.630]  They're also the country's taxpayer funded expert.
[00:05:37.650 --> 00:05:44.012]  This is completely insane and again it illustrates the liberal radical basket case that is Sweden.
[00:05:44.372 --> 00:05:51.254]  The country's taxpayer funded expert on Islamophobia went on to join ISIS.
[00:05:51.794 --> 00:05:59.577]  And now they're saying that these ISIS radicals can come into the country, get free welfare, get free jobs, all taxpayer paid for,
[00:06:00.197 --> 00:06:11.501]  And now direct flights, which were used for tourists, are now going to be used to bring in these migrants, of course many of whom aren't even legitimate Syrian refugees.
[00:06:12.141 --> 00:06:13.401]  Moving on to our next story now.
[00:06:13.501 --> 00:06:17.903]  Tiny German village forced to accept 1,000 migrants.
[00:06:18.423 --> 00:06:21.304]  Officials mystified by complaints.
[00:06:21.324 --> 00:06:22.724]  This is out of Breitbart.com.
[00:06:23.305 --> 00:06:26.646]  Villagers in a tiny rural area of Lower Saxony in Germany.
[00:06:27.526 --> 00:06:41.916]  are demanding answers after it transpired that their village, with a population of just a few hundred, will be forced to accept 1,000 migrants due to Angela Merkel's decision to throw open her country's borders.
[00:06:42.436 --> 00:06:56.866]  And so basically the mayor in this tiny town of just a few hundred people was shocked to discover that the residents of that village would even have a problem in the first place with over a thousand migrants, and that's just the initial number arriving.
[00:06:57.606 --> 00:06:59.467]  You know, without any concerns whatsoever.
[00:06:59.507 --> 00:07:03.850]  This is basically 300 people in a tiny village in Germany.
[00:07:04.191 --> 00:07:13.257]  A packed public meeting was held last night in this village called Sumty to discuss local concerns over the migrant influx and Spiegel Online reports
[00:07:13.837 --> 00:07:15.337]  That it didn't go well.
[00:07:15.897 --> 00:07:17.138]  That's not a big surprise.
[00:07:17.618 --> 00:07:18.958]  The town hall was the venue.
[00:07:19.338 --> 00:07:26.940]  It began with the mayor and local officials expressing utter surprise that anyone could possibly be worried by so many newcomers.
[00:07:27.480 --> 00:07:29.921]  Like they thought that people wouldn't have a problem with this.
[00:07:30.321 --> 00:07:33.622]  Imagine if you lived in a village of 300 people.
[00:07:33.902 --> 00:07:36.002]  You know, people have lived there for generations.
[00:07:36.302 --> 00:07:37.463]  It's remained the same.
[00:07:37.503 --> 00:07:39.203]  Their culture has remained untouched.
[00:07:39.583 --> 00:07:40.903]  And this could go for Germany.
[00:07:41.263 --> 00:07:43.244]  It could go for any other European country.
[00:07:43.624 --> 00:07:45.426]  It could go for any country in the Middle East.
[00:07:45.826 --> 00:07:57.015]  If you flood a village of 300 people with 1,000 people from a completely different culture, many of whom don't even speak the same language, then obviously there are going to be problems.
[00:07:57.356 --> 00:07:59.337]  There are going to be people concerned about that.
[00:07:59.938 --> 00:08:10.447]  But again, don't dare criticise it if you're a German citizen on social media, on Facebook, because the German government, in concert with Mark Zuckerberg and Facebook,
[00:08:11.007 --> 00:08:25.222]  have literally hired ex-Stasi officials to hunt down dissent, to censor online criticism of these kind of policies, and in extreme cases, maybe even have their children taken.
[00:08:25.643 --> 00:08:27.885]  So this is the situation in Germany right now.
[00:08:28.746 --> 00:08:37.150]  And the local officials are, you know, perplexed about the fact that people would even be up in arms about this, would even have a problem with it in the first place.
[00:08:38.011 --> 00:08:39.331]  Absolutely ludicrous.
[00:08:39.691 --> 00:08:44.914]  And again, as we saw in Sweden, Germany is committing cultural suicide.
[00:08:45.334 --> 00:08:47.936]  And this ties into our next story out of Infowars.com.
[00:08:48.296 --> 00:08:48.656]  Video.
[00:08:49.116 --> 00:08:55.621]  Masked migrants chanting Allah Akbar rally in Germany with sticks and pipes.
[00:08:56.082 --> 00:09:02.667]  Let's look at an example of some of these tolerant migrants who will be arriving into Europe.
[00:09:02.707 --> 00:09:03.768]  Let's take a look at this clip.
[00:09:06.118 --> 00:09:06.398]  God is great!
[00:09:06.458 --> 00:09:06.718]  God is great!
[00:09:06.738 --> 00:09:07.058]  God is great!
[00:09:07.078 --> 00:09:07.418]  God is great!
[00:09:07.438 --> 00:09:07.718]  God is great!
[00:09:07.738 --> 00:09:08.119]  God is great!
[00:09:08.179 --> 00:09:08.539]  God is great!
[00:09:08.559 --> 00:09:08.799]  God is great!
[00:09:08.819 --> 00:09:09.099]  God is great!
[00:09:09.119 --> 00:09:09.439]  God is great!
[00:09:09.459 --> 00:09:09.859]  God is great!
[00:09:09.879 --> 00:09:10.159]  God is great!
[00:09:10.199 --> 00:09:10.599]  God is great!
[00:09:10.619 --> 00:09:10.939]  God is great!
[00:09:10.959 --> 00:09:11.219]  God is great!
[00:09:11.239 --> 00:09:11.559]  God is great!
[00:09:11.580 --> 00:09:11.940]  God is great!
[00:09:11.960 --> 00:09:12.360]  God is great!
[00:09:12.380 --> 00:09:12.820]  God is great!
[00:09:12.840 --> 00:09:13.180]  God is great!
[00:09:13.220 --> 00:09:13.500]  God is great!
[00:09:13.520 --> 00:09:13.840]  God is great!
[00:09:13.860 --> 00:09:14.360]  God is great!
[00:09:14.380 --> 00:09:14.740]  God is great!
[00:09:14.800 --> 00:09:15.140]  God is great!
[00:09:15.160 --> 00:09:15.501]  God is great!
[00:09:15.541 --> 00:09:16.021]  God is great!
[00:09:16.081 --> 00:09:16.641]  God is great!
[00:09:16.661 --> 00:09:17.041]  God is great!
[00:09:17.081 --> 00:09:17.561]  God is great!
[00:09:17.581 --> 00:09:18.001]  God is great!
[00:09:18.021 --> 00:09:18.561]  God is great!
[00:09:18.581 --> 00:09:18.961]  God is great!
[00:09:18.981 --> 00:09:19.542]  God is great!
[00:09:19.582 --> 00:09:20.042]  God is great!
[00:09:20.062 --> 00:09:20.642]  God is great!
[00:09:20.682 --> 00:09:21.142]  God is great!
[00:09:21.182 --> 00:09:21.602]  God is great!
[00:09:21.622 --> 00:09:22.362]  God is great!
[00:09:22.382 --> 00:09:22.903]  God is great!
[00:09:22.943 --> 00:09:23.443]  God is great!
[00:09:23.543 --> 00:09:24.083]  God is great!
[00:09:24.123 --> 00:09:24.623]  God is great!
[00:09:24.663 --> 00:09:25.343]  God is great!
[00:09:25.363 --> 00:09:25.783]  God is great!
[00:09:25.803 --> 00:09:26.283]  God is great!
[00:09:26.323 --> 00:09:26.784]  God is great!
[00:09:26.804 --> 00:09:27.464]  God is great!
[00:09:27.484 --> 00:09:28.084]  God is great!
[00:09:28.144 --> 00:09:28.864]  God is great!
[00:09:28.904 --> 00:09:29.404]  God is great!
[00:09:29.424 --> 00:09:29.844]  God is great!
[00:09:29.924 --> 00:09:30.205]  God is great!
[00:09:30.225 --> 00:09:31.305]  God is great!
[00:09:31.325 --> 00:09:31.625]  God is great!
[00:09:31.645 --> 00:09:32.005]  God is great!
[00:09:33.706 --> 00:09:46.192]  So there you see an illustration of some of the migrants arriving in Europe, in Sweden, in Germany, where again the local officials are completely mystified that anyone would have a problem with this.
[00:09:46.572 --> 00:09:57.057]  Now of course not all the migrants are like that, but as we've documented on Infowars.com, the behaviour of some of these migrants is not being covered by the mainstream media.
[00:09:57.737 --> 00:10:08.063]  BBC, all these different networks, will show the migrants arriving, for example, in German train stations, you know, with the tolerant liberals applauding and cheering them as they arrive.
[00:10:08.383 --> 00:10:10.885]  What they don't show is footage like that.
[00:10:11.165 --> 00:10:15.227]  They don't show migrants robbing Hungarians at a train station in Budapest.
[00:10:15.628 --> 00:10:24.073]  They don't show migrants rampaging and rioting through towns, you know, as they tear down lampposts and all manner of other things.
[00:10:24.573 --> 00:10:26.114]  That's not what they want you to see.
[00:10:26.434 --> 00:10:31.877]  Because they need you to be tolerant, again, while many of these migrants are completely intolerant.
[00:10:32.217 --> 00:10:37.320]  So again, would you be comfortable with those kind of people moving into your town?
[00:10:37.360 --> 00:10:50.706]  And in some cases, as we just mentioned, moving into a village of basically 300 people, a thousand of them, especially given these reports that we've covered out of migrant camps in Germany, of them raping women and children.
[00:10:51.006 --> 00:10:55.609]  Not only raping German women and children, but other migrants within the camps.
[00:10:56.089 --> 00:10:58.490]  And that ties into our next story out of the Daily Mail.
[00:10:58.890 --> 00:11:04.133]  The English village being overwhelmed by migrants as dozens arrive every day.
[00:11:04.733 --> 00:11:09.415]  An English village has been left overwhelmed by asylum seekers, residents complained last night.
[00:11:09.875 --> 00:11:20.160]  Longford in West London is fast becoming a transit camp for migrants from Calais, with dozens arriving on coaches every day and being transferred to houses, according to locals.
[00:11:20.780 --> 00:11:35.848]  And here's the testimony of one of the locals who's lived there for a long time, Ray 85, who lost his wife four years ago and has lived in the village for 50 years, said, quote, I've got them either side of me, so they meet, they have conversations in the middle of my front garden.
[00:11:36.914 --> 00:11:42.840]  And you see from the pictures here, they're basically hanging around in people's gardens, having conversations.
[00:11:43.141 --> 00:11:47.385]  They're congregating in large groups outside local pubs, outside local shops.
[00:11:47.846 --> 00:11:50.589]  And people are basically afraid to go anywhere near them.
[00:11:51.029 --> 00:11:54.052]  So it's killing business in this local village.
[00:11:54.713 --> 00:11:58.954]  They're basically just sitting on people's walls, you know, walking around their gardens.
[00:11:59.314 --> 00:12:05.236]  Because again, like in Sweden, like in Germany, there's no integration policy whatsoever.
[00:12:05.556 --> 00:12:07.476]  They're just letting these hordes flow in.
[00:12:07.936 --> 00:12:11.857]  You know, no language training, no integration.
[00:12:12.017 --> 00:12:14.178]  It's going to cause massive social upheaval.
[00:12:14.798 --> 00:12:18.943]  And again, the point is, as you can see from those images, most of them are black.
[00:12:19.023 --> 00:12:20.124]  They're from Africa.
[00:12:20.584 --> 00:12:20.845]  Okay?
[00:12:20.865 --> 00:12:23.768]  There's virtually no black people in Syria.
[00:12:24.108 --> 00:12:26.250]  So these aren't Syrian refugees.
[00:12:26.611 --> 00:12:32.157]  So why are we being fed this narrative over and over again that these are Syrian refugees?
[00:12:32.677 --> 00:12:36.698]  When they're not, they're economic migrants fleeing to a higher standard of living.
[00:12:37.198 --> 00:12:50.962]  And now in Germany, in Sweden, people are finally beginning to raise whimpers of dissent against them, and the local officials again are just mystified, like, how could they even consider that this might be a problem in the first place?
[00:12:50.982 --> 00:12:56.403]  Well, it is a problem, especially given the reports out of the Gatestone Institute, which we've covered.
[00:12:56.963 --> 00:13:08.309]  Which show that in these migrant camps, not only are they making complaints about, you know, slow Wi-Fi and poor food, but there are many cases of rapes in these camps.
[00:13:08.890 --> 00:13:11.431]  Of the other migrants entering those camps.
[00:13:11.731 --> 00:13:15.233]  And it's been covered up by the media, by the police in Germany.
[00:13:15.694 --> 00:13:26.260]  Germany's top broadcaster, ARD, they had a crime watch style series where one of the cases was these migrants going out and raping somebody, or at least a suspect in a rape.
[00:13:26.880 --> 00:13:31.311]  They refused to broadcast the story because they said it could upset...
[00:13:32.301 --> 00:13:34.643]  The migrants coming into the camps.
[00:13:34.683 --> 00:13:41.189]  Again, no concern for the actual rape victims, both the migrants within the camps and the local population.
[00:13:41.809 --> 00:13:51.437]  And the police, we've confirmed, are covering up cases of rape in Germany because they don't want to, quote, give ammunition to critics of mass immigration.
[00:13:51.818 --> 00:13:56.482]  So it's not about protecting the victims of rape, it's about steering this narrative
[00:13:57.102 --> 00:14:03.186]  And now that that information is slowly beginning to seep out, people are becoming really concerned about this.
[00:14:03.526 --> 00:14:04.767]  So we're going to stay on top of this.
[00:14:04.787 --> 00:14:06.648]  We're going to tell you what the media is not telling you.
[00:14:06.988 --> 00:14:08.649]  More news coming up after the break.
[00:14:08.689 --> 00:14:11.110]  But Hillary Clinton will be in town tomorrow.
[00:14:11.150 --> 00:14:12.791]  She's visiting San Antonio.
[00:14:13.291 --> 00:14:14.992]  And we're going to be there to cover it.
[00:14:15.072 --> 00:14:17.414]  Here's Joe Biggs and Alex Jones with more information.
[00:14:28.769 --> 00:14:31.210]  All right, folks, Alex Jones here with Joe Biggs.
[00:14:31.790 --> 00:14:43.294]  Now, we were going to be covering Donald Trump coming to San Antonio tomorrow to speak to the Hispanic Chamber of Commerce, but Trump had a big fallout, a big fight, so he's not going.
[00:14:43.514 --> 00:14:44.714]  Hillary Clinton's going to be there.
[00:14:45.174 --> 00:14:49.275]  And they're just invoking that it's racist if you want to have any border at all.
[00:14:49.636 --> 00:14:53.917]  Well, Mexico has a tighter border with Guatemala than any other country in this hemisphere.
[00:14:54.697 --> 00:14:56.779]  One year hard labor if they catch somebody sneaking in.
[00:14:57.259 --> 00:14:58.920]  So countries have borders.
[00:14:59.621 --> 00:15:03.263]  And it's just total political correct mind control to do this.
[00:15:03.343 --> 00:15:06.645]  So now that Hillary's going to be there, Joe Biden's going to be there covering it.
[00:15:06.665 --> 00:15:13.570]  Now this is short notice, but you can just Google, we're going to post under this as well, the address of where they're meeting.
[00:15:13.590 --> 00:15:15.831]  We've got the article right here out of BuzzFeed.
[00:15:17.062 --> 00:15:19.326]  Again, add the address below this here on YouTube.
[00:15:19.887 --> 00:15:21.289]  Try to get out there at 11am.
[00:15:21.309 --> 00:15:22.271]  That's when she arrives.
[00:15:22.611 --> 00:15:23.954]  It goes until about 2 o'clock.
[00:15:24.695 --> 00:15:28.341]  And just let folks know that it's not racist to have a border.
[00:15:29.509 --> 00:15:37.558]  What's racist, or beyond racism, is to say we've got to pay for anybody, whether they're from Germany, China, the Middle East, Mexico, wherever.
[00:15:38.038 --> 00:15:40.861]  The biggest group of immigrants now is Chinese.
[00:15:41.281 --> 00:15:45.566]  And the biggest group is 10,000 women a month coming here to have their baby and have it all paid for.
[00:15:45.586 --> 00:15:47.408]  I'm not against Chinese people.
[00:15:48.108 --> 00:15:49.610]  I fight so China has liberty and freedoms.
[00:15:49.630 --> 00:15:50.991]  They don't sell their political business organs.
[00:15:52.973 --> 00:15:53.694]  It's just crazy.
[00:15:53.714 --> 00:15:54.794]  We're here to stand up against this.
[00:15:54.814 --> 00:15:59.257]  So, I'll be live on the radio slash TV at Infowars.com covering 11-2.
[00:15:59.657 --> 00:16:02.458]  Joe's going to be out there with his Hillary for Prison t-shirt.
[00:16:02.739 --> 00:16:05.300]  Product placement available at Infowars.com.
[00:16:05.560 --> 00:16:07.781]  Your purchase makes it possible to have reporters like this.
[00:16:08.102 --> 00:16:10.083]  So Joe, what are you planning to do out there?
[00:16:10.103 --> 00:16:17.007]  I know it's short notice, but you want to get folks rallied, at least 20, 30, 40 people that are Infowars in San Antonio to come out and join you.
[00:16:17.047 --> 00:16:17.567]  Where are you going to be?
[00:16:17.964 --> 00:16:23.206]  Well, right here, if you go to, right here, 1230 tomorrow, the historic Sunset Station.
[00:16:23.626 --> 00:16:26.487]  So first you're going to have a Q&A with the Hispanic Chamber.
[00:16:26.527 --> 00:16:27.748]  That's going to start at 11am.
[00:16:28.128 --> 00:16:32.130]  Then she's going to have her own event that's going to move over to the historic Sunset Station at 1230.
[00:16:32.370 --> 00:16:34.611]  So I want to encourage everyone to come out.
[00:16:34.851 --> 00:16:38.012]  This will basically be like an anti-Hillary flash mob.
[00:16:38.352 --> 00:16:40.793]  Everyone come out if you've got your Hillary for Prison t-shirt on.
[00:16:41.113 --> 00:16:42.874]  Anti-Hillary flash mob, San Antonio!
[00:16:43.174 --> 00:16:53.538]  Yep, so come out tomorrow, be in support of that, show that you don't like her, that you don't want her to be president, because she keeps flip-flopping on everything, she's evil, she lies about everything, and we're sick and tired of her.
[00:16:53.838 --> 00:16:57.859]  Let her see how the American public truly feels about her.
[00:16:58.360 --> 00:17:01.921]  We are in an information war, and we are losing that war.
[00:17:11.613 --> 00:17:16.357]  There's no doubt that our country is in serious trouble right now.
[00:17:17.117 --> 00:17:21.961]  And if you're wondering how on earth we ever got in this situation, well I'll tell you how.
[00:17:22.481 --> 00:17:27.985]  When the Democrats showed their true colors, you got angry and you elected Republicans.
[00:17:28.506 --> 00:17:33.750]  And then when the Republicans showed their true colors, you got angry and elected Democrats.
[00:17:34.170 --> 00:17:44.261]  And when anyone suggested to you that both parties were corrupt and that neither side were looking out for your best interest, you acted like they were crazy.
[00:17:44.841 --> 00:17:52.550]  But the real definition of crazy is doing the same thing over and over again and expecting different results.
[00:17:53.050 --> 00:17:58.935]  That's why it is vitally important that you wake up, America, and break the matrix.
[00:17:59.316 --> 00:18:04.260]  Infowars.com, PrisonPlanet.tv, and the Alex Jones Show.
[00:18:04.680 --> 00:18:07.083]  Because there's a war on for your mind.
[00:18:16.328 --> 00:18:21.831]  Your liver can be full of fatty deposits, built-up toxins, and even dangerous objects known as liver stones.
[00:18:22.071 --> 00:18:36.518]  We worked with the top developers in the field of detox to take tried and true herbs and other compounds known to safely cleanse the liver and fuse it with the latest research and technological development on concentrating these ingredients to give you the maximum effect.
[00:18:36.778 --> 00:18:44.624]  Liver Shield is the only liver support product on the market that uses a patented Spigerex blend of powerful organic herbs that support detoxification.
[00:18:44.784 --> 00:18:50.249]  And when you visit Infowarslife.com, see the instructional video on how to do a 6-day liver detox.
[00:18:50.349 --> 00:18:53.751]  This isn't a game, and let me tell you, the results are dramatic.
[00:18:53.911 --> 00:18:57.935]  Liver Shield is totally organic and made of the safest, high-quality herbs.
[00:18:58.035 --> 00:19:01.958]  But that said, you need to consult your physician before you do the full detox.
[00:19:02.458 --> 00:19:02.918]  We're good to go.
[00:19:28.683 --> 00:19:31.846]  One of the worst things with most energy products is it's not sustainable.
[00:19:32.126 --> 00:19:32.266]  Right?
[00:19:32.286 --> 00:19:34.648]  You're going to crash and you're going to feel really bad afterwards.
[00:19:35.009 --> 00:19:38.532]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:19:38.572 --> 00:19:41.735]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:19:42.235 --> 00:19:47.019]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:19:47.560 --> 00:19:49.422]  For example, the L-theanine inside of it.
[00:19:49.782 --> 00:19:54.186]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:19:54.386 --> 00:19:56.448]  This just increases the compounds you already have.
[00:19:57.029 --> 00:19:58.530]  This is what you're actually designed to run on.
[00:19:58.650 --> 00:19:58.810]  Exactly.
[00:19:58.830 --> 00:20:02.714]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:20:03.235 --> 00:20:11.282]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:20:19.294 --> 00:20:28.704]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:20:29.024 --> 00:20:31.586]  All of our children are hit with modern mind control.
[00:20:31.606 --> 00:20:35.070]  Television, music, fast food, GMOs, sugars, you name it.
[00:20:35.290 --> 00:20:41.296]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:20:41.596 --> 00:20:46.440]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:20:46.740 --> 00:20:52.905]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:20:53.125 --> 00:21:00.571]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:21:00.851 --> 00:21:08.116]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:21:08.396 --> 00:21:11.878]  Obtain your ChildEase today at InfoWarsLife.com.
[00:21:11.999 --> 00:21:15.561]  That's ChildEase exclusively at InfoWarsLife.com.
[00:21:15.841 --> 00:21:18.103]  Knockout is back if you want
[00:21:18.783 --> 00:21:27.527]  A product that has 10 known ingredients that naturally get your body to relax, your brain to relax, so you get deep restful sleep.
[00:21:27.687 --> 00:21:28.428]  Knockouts it.
[00:21:28.828 --> 00:21:30.529]  Infowarslife.com.
[00:21:31.029 --> 00:21:40.153]  L-theanine, hops flower extract, lemon balm extract, valerian root extract, chamomile flower extract, L-tryptophan extract, melatonin, and more.
[00:21:40.553 --> 00:21:42.334]  All organic, all the natural sources.
[00:21:42.894 --> 00:21:43.775]  It's the same price.
[00:21:44.495 --> 00:21:50.378]  As leading brands of melatonin that are three milligrams a piece, it has three milligram, the standard recommended dose for an adult.
[00:21:50.918 --> 00:21:57.162]  It's got the GABA, so it would probably cost $50 to take all this as separate pills.
[00:21:57.662 --> 00:21:57.802]  It's $19.95.
[00:21:58.522 --> 00:22:00.844]  You take one or two of these,
[00:22:01.924 --> 00:22:05.225]  And it just is really clean restful sleep is what the reviews are.
[00:22:05.565 --> 00:22:09.447]  It's what I've experienced and it just synergistically puts everything in there.
[00:22:09.467 --> 00:22:11.027]  Infowarslife.com.
[00:22:11.168 --> 00:22:13.128]  That's Infowarslife.com or call 888-253-3139.
[00:22:18.686 --> 00:22:23.789]  Featured story on Infowars.com and this was also picked up by the Drudge Report today.
[00:22:24.350 --> 00:22:25.250]  EU Diplomat!
[00:22:25.470 --> 00:22:29.133]  My government believes Obama is quite mentally unwell.
[00:22:29.173 --> 00:22:30.414]  This is by Steve Watson.
[00:22:30.654 --> 00:22:40.180]  A former NSA intelligence analyst has claimed that a senior European diplomat told him that the entire government of a European country considers President Obama
[00:22:40.640 --> 00:22:43.002]  To be literally mentally unwell.
[00:22:43.422 --> 00:22:58.415]  John Schindler, a security expert and whistleblower who now writes for the Daily Beast, has claimed that a senior EU official from an undisclosed country also inquired about impeachment proceedings, saying that the nation believes Obama is not fit for office.
[00:22:58.855 --> 00:23:08.664]  The wording indicates that the opinion is not that of a single person, but rather the whole government of whichever European country the diplomat is from.
[00:23:09.264 --> 00:23:16.347]  So this has made waves because Schindler is not basically just, you know, a kook on Twitter tweeting out some speculation.
[00:23:16.627 --> 00:23:23.650]  He's a former US Naval War College lecturer and is known to have many high-level military and government contacts.
[00:23:24.030 --> 00:23:28.712]  So this is somebody in a position to be fed extremely credible information.
[00:23:29.312 --> 00:23:34.358]  And it's not the first time that there's been speculation over Obama's mental health.
[00:23:34.858 --> 00:23:42.868]  Last year, psychologist Dr. Gina Loden told Lou Dobbs that Obama's behavior suggests he's not sane.
[00:23:43.128 --> 00:23:43.728]  Here's the clip.
[00:23:44.189 --> 00:23:47.190]  Some of his behavior seems irrational to me.
[00:23:47.631 --> 00:23:56.455]  It seems beyond that of just a typical narcissistic, arrogant, sort of, I'm a leader of a big country and I feel tyrannical at the moment kind of attitude.
[00:23:56.695 --> 00:24:10.522]  It really seems to me like this president is demonstrating behavior that is not only anti-American, but irrational and erratic and perhaps not exactly what we might want to deem sane.
[00:24:10.842 --> 00:24:16.286]  Now this question over Obama's mental stability has been one that's been percolating for some time.
[00:24:16.766 --> 00:24:23.831]  And here's John Bowne with a special report on how several other analysts have also scrutinized Obama's sanity.
[00:24:26.212 --> 00:24:36.860]  Sue him!
[00:24:37.560 --> 00:24:38.121]  Impeach him!
[00:24:39.802 --> 00:24:40.042]  Really?
[00:24:43.462 --> 00:24:45.444]  Really?
