[00:00:08.735 --> 00:00:12.277]  Rob Dew here for InfoWars.com and the InfoWars Nightly News.
[00:07:06.042 --> 00:07:10.905]  The system wants to immerse you into this world and the way they're going to start doing it is with implants.
[00:07:11.445 --> 00:07:23.194]  It's going to be starting off with a chip in your hand and then it's going to move to an implant in the back of your neck and then maybe one behind your eye and pretty soon all you have to do is close your eyes and pull up a menu and you're going to be in your virtual reality world sitting on your couch.
[00:07:23.934 --> 00:07:25.316]  Mark my words, it's going to happen.
[00:07:25.796 --> 00:07:27.097]  Here's an article from Fox News.
[00:07:27.217 --> 00:07:29.540]  Is there a microchip implant in your future?
[00:07:29.940 --> 00:07:34.565]  This is talking about those RFID little grain of rice implants that people are putting into their arms.
[00:07:35.346 --> 00:07:37.408]  Science fiction author Larry Nevin says this.
[00:07:37.688 --> 00:07:41.572]  This should be a matter of individual choice, but fighting crime should be much easier using chips.
[00:07:42.013 --> 00:07:46.998]  And he says that he supports chip implantation for security reasons, but says it should be an opt-in measure.
[00:07:47.338 --> 00:07:51.964]  That's right, they always say it's an opt-in measure at first, and then a few years down the road, now you have to take it.
[00:07:52.004 --> 00:08:00.555]  Now every kid that's born is going to get a chip, so they can track your health history, everything about you, your location, but of course the NSA would never use this for nefarious purposes, right?
[00:08:00.976 --> 00:08:05.121]  And then he ends the article with saying, well at least it's better than having a barcode stitched into your forehead.
[00:08:05.822 --> 00:08:09.284]  You know, it is better than having a barcode stitched into your forehead, but not by much.
[00:08:09.424 --> 00:08:11.586]  I mean, it's still Big Brother coming after you.
[00:08:12.767 --> 00:08:17.070]  One group that is really getting into this microchip culture is the Swedes.
[00:08:17.390 --> 00:08:19.591]  In fact, here's some clips I'm going to show you from a TV show.
[00:08:19.611 --> 00:08:25.935]  They did a morning show where they got two of their hosts, or I think it was a host and a guest, to implant a microchip under their skin in the hand.
[00:08:26.256 --> 00:08:28.137]  The one that you've been seeing around, the Verichip.
[00:08:28.217 --> 00:08:30.779]  All these chip companies that are out there are making these things.
[00:08:31.099 --> 00:08:35.542]  Now they're trying to bring it into the modern world, into the fold, make it part of the culture.
[00:08:36.022 --> 00:08:57.147]  Here we have the BBC article, The Rise of the Swedish Cyborgs, and all these chips are basically RFID, which is Radio Frequency Identification chip, so the chip doesn't have a battery per se in it, but it gets its power from the different radio waves whenever it goes in front of a transmitter, it'll actually pick up and ping that transmitter saying, hey I'm here, here I am, and that's how they work.
[00:08:58.327 --> 00:09:01.730]  And they talk about how they have 100 people in Sweden now with them.
[00:09:01.810 --> 00:09:03.952]  Well, first they say it's 100, then it'll be 1,000, then it'll be 10,000.
[00:09:04.192 --> 00:09:12.638]  The biohacker they're interviewing, Hans Soblad, he's convinced that technology is here to stay and he says this, then there will be 1,000, then 10,000.
[00:09:12.979 --> 00:09:18.123]  I'm convinced that this technology is here to stay and we will think it nothing strange to have an implant in their hand.
[00:09:18.823 --> 00:09:27.350]  And what's interesting in this BBC article and other articles that I'm going to bring up to your attention is that they say, well, we do vaccinations and that's just sort of a biohack that we're doing.
[00:09:27.370 --> 00:09:29.071]  So this is just a continuation of that.
[00:09:29.651 --> 00:09:34.515]  Years ago, there was fear over vaccinations and now it seems perfectly normal to have cells injected into us.
[00:09:34.855 --> 00:09:36.717]  This is an early example of biohacking.
[00:09:37.557 --> 00:09:40.399]  And they also say, we've been putting chips in animals for 20 years.
[00:09:40.979 --> 00:09:42.580]  Now it's time for the humans.
[00:09:43.200 --> 00:09:46.922]  That's right, so they can track you wherever you go, because you're just an animal to them.
[00:09:46.962 --> 00:09:51.705]  You're part of the human resource that they need to keep this planet powered and going.
[00:09:52.585 --> 00:09:53.305]  Here's another article.
[00:09:53.405 --> 00:09:55.306]  I'm among the first Swedes with a microchip.
[00:09:55.747 --> 00:09:57.207]  And this is Emmalott Lantz.
[00:09:57.227 --> 00:09:59.389]  She's 25, and she's got a microchip in her hand.
[00:10:00.729 --> 00:10:03.371]  Well, it was just last month, in fact, November.
[00:10:04.211 --> 00:10:05.332]  18th, 2014.
[00:10:06.032 --> 00:10:08.633]  I don't feel, though, as this is the future, this is the present.
[00:10:08.693 --> 00:10:11.294]  To me, it's weird that we haven't done this sooner, she tells the locals.
[00:10:11.334 --> 00:10:13.235]  This is part of the mind control to get you into it.
[00:10:13.515 --> 00:10:16.237]  You need to have that chip, because that's the first step of getting you in.
[00:10:16.697 --> 00:10:21.939]  There is evidence that the number of chip wearers in Sweden is growing rapidly, and they say right now there's 100 people.
[00:10:22.320 --> 00:10:28.643]  But as we've seen, as they bump up the PR campaign of this, those numbers are going to grow and grow and grow.
[00:10:29.023 --> 00:10:31.004]  Here's another article out of the Singularity Hub.
[00:10:32.024 --> 00:10:32.565]  Summit Europe.
[00:10:32.605 --> 00:10:34.507]  Chip implants as easy as piercings.
[00:10:34.827 --> 00:10:42.814]  In fact, in the video that we've been showing you of the Swedish television show, they do have a tattoo piercing artist who's actually putting the chips inside of you.
[00:10:42.854 --> 00:10:46.677]  Not even a medical doctor anymore will be needed to implant you with a microchip.
[00:10:46.998 --> 00:10:48.259]  That's where it's going to get scary.
[00:10:48.699 --> 00:10:54.504]  And they also talk about, in this article, vaccination, for example, is a kind of technological augmentation.
[00:10:55.245 --> 00:10:57.968]  So, be sure to get your flu shot and get your chip along with it.
[00:10:58.168 --> 00:10:59.369]  Here's one from Medgadget.
[00:10:59.849 --> 00:11:04.253]  Wireless powered implantable chip treats staph infections then dissolves once done.
[00:11:04.694 --> 00:11:06.856]  Sounds like a perfect weapon for the CIA, doesn't it?
[00:11:07.216 --> 00:11:09.698]  Dissolves once it's done, you'll never know how this person died.
[00:11:10.419 --> 00:11:13.341]  Of course, here they're just putting in medication to kill a staph infection.
[00:11:13.961 --> 00:11:20.865]  The element is energized externally using a wireless transmitter, heating up and raising the temperature of the tissue around enough to kill a bacteria.
[00:11:21.306 --> 00:11:30.051]  The treatment time can be controlled by deciding how long to deliver RF energy and the silk substrate can be manufactured to dissolve at different rates to allow the implant to be tailored
[00:11:32.592 --> 00:11:35.313]  So it's not just medical reasons people are going to be getting chips.
[00:11:35.593 --> 00:11:37.253]  They're also doing it for security reasons.
[00:11:37.313 --> 00:11:39.534]  To get into their house or their office.
[00:11:39.814 --> 00:11:41.775]  That way they don't use a swipe card or a key.
[00:11:41.815 --> 00:11:44.936]  They just wave their hand in front of the transmitter and boom, it's unlocked.
[00:11:45.356 --> 00:11:46.136]  Well here's another guy.
[00:11:46.156 --> 00:11:47.137]  This is out of CBS News.
[00:11:51.758 --> 00:12:01.180]  The Amsterdam-based Bitcoin entrepreneur, whose real name is Martin Weissmeyer, turned himself into a real-life cyborg by having a miniature digital communications chip implanted in his hand.
[00:12:01.740 --> 00:12:05.501]  And he's got it hooked up to Apple Pay and numerous Android devices.
[00:12:06.102 --> 00:12:07.322]  And why did he do this, you ask?
[00:12:07.642 --> 00:12:12.223]  Well, he did it because he wanted to experiment with sorting Bitcoins using subdermal implants.
[00:12:12.663 --> 00:12:15.544]  He said he thought it would be the holy grail of contactless payments.
[00:12:16.264 --> 00:12:20.605]  And in a case it will be unless somebody hacks the system and then is able to get in.
[00:12:20.645 --> 00:12:31.828]  What if they're able to get into your chip and just put a virus out there and when you go past it, it does something to the chip inside of you or it takes the money from you or it changes the security codes and then you can't get into your doors.
[00:12:32.188 --> 00:12:36.870]  This is a system that could easily be used by government officials to go after people they don't like.
[00:12:37.210 --> 00:12:38.910]  We've seen the IRS go after people.
[00:12:38.990 --> 00:12:40.591]  We've seen the Justice Department go after people.
[00:12:41.351 --> 00:12:50.276]  This is just another way that they can control you, and it all starts off with this VR world where they're going to tell you, by using these chips and stuff, we can immerse you in that VR world.
[00:12:50.296 --> 00:13:04.264]  All you got to do is hack into it, plug yourself in, and you're off to Neverland, to a place where you can fly and have the car of your dreams and have the woman of your dreams, when in real life you're sitting on a dirty old couch in your apartment because you can't afford enough to go anywhere because the dollar's lost all its value.
[00:13:04.884 --> 00:13:07.687]  I know it's a bleak, dystopian future, but let's continue.
[00:13:08.008 --> 00:13:11.572]  We've been talking about this RFID technology for many, many years.
[00:13:11.632 --> 00:13:16.418]  Back in 2011, we ran an article, RFD Chip, Foundation of the Electronic Jail.
[00:13:16.678 --> 00:13:17.539]  I encourage you to read that.
[00:13:17.559 --> 00:13:18.901]  It's from We Are Change Holland.
[00:13:19.963 --> 00:13:22.784]  Here's another one we ran in 2009 off of Tech Google.
[00:13:23.325 --> 00:13:24.605]  The cover charge at this club?
[00:13:24.765 --> 00:13:26.206]  An RFID implant.
[00:13:26.566 --> 00:13:28.127]  And they talk about how cool and trendy it is.
[00:13:28.427 --> 00:13:31.069]  But what's interesting is the comment that we put at the top of the page.
[00:13:31.809 --> 00:13:33.890]  More blatant propaganda for total enslavement.
[00:13:33.930 --> 00:13:36.952]  Does anyone remember that these chips were linked with causing cancer in lab rats?
[00:13:37.332 --> 00:13:41.234]  Now binge drinkers are ready to become lab rats for petty convenience at a club.
[00:13:41.914 --> 00:13:46.342]  And then back in 2004, here's another article from PrisonPlanet.com.
[00:13:46.703 --> 00:13:51.612]  Baja Beach Club in Barcelona, Spain launches microchip implantation for VIP members.
[00:13:52.557 --> 00:13:56.920]  Baja Beach Club owner Conrad Chase wanted something unique to identify his VIP patrons.
[00:13:57.280 --> 00:14:02.984]  After brainstorming, he came up with the idea to implant his VIP members with a VeraChip implantable microchip.
[00:14:03.004 --> 00:14:03.504]  This is back in 2004.
[00:14:03.764 --> 00:14:06.626]  Okay, this isn't 2015.
[00:14:07.067 --> 00:14:09.068]  2004, over 10 years ago.
[00:14:09.568 --> 00:14:12.090]  Here's how their website described the VIP area.
[00:14:12.130 --> 00:14:12.690]  Check this out.
[00:14:12.951 --> 00:14:16.713]  We have a special zone at the Baja Beach Club where only VIPs are allowed.
[00:14:16.773 --> 00:14:17.213]  See there?
[00:14:17.354 --> 00:14:17.894]  It's trendy.
[00:14:17.914 --> 00:14:22.117]  You can't get in if you don't have this, which has various exclusive services for these members.
[00:14:22.797 --> 00:14:27.604]  We are the first discotheque in the world to offer VIP Verichip using an integrated embedded microchip.
[00:14:28.025 --> 00:14:34.093]  Our VIPs can identify themselves and pay for food and drinks without the need of any kind of documentation, i.e.
[00:14:34.534 --> 00:14:35.095]  an ID.
[00:14:35.515 --> 00:14:36.577]  So what does this mean to you?
[00:14:36.917 --> 00:14:38.339]  This VR thing is heating up!
[00:14:39.437 --> 00:14:46.041]  And like I said, I predict in the next three years you're going to have somebody die with the VR system on their head, lost in their virtual world.
[00:14:46.081 --> 00:14:49.562]  They've forgotten to eat, they've forgotten to sleep, they've forgotten to go to the bathroom.
[00:14:49.602 --> 00:14:54.445]  Something's going to happen or they're going to walk into something like a moving car or off of a building.
[00:14:55.444 --> 00:14:56.145]  It's going to happen.
[00:14:56.725 --> 00:15:01.769]  We've already seen people die from playing video games for too long and that's just a screen in front of you that you can get up from anytime.
[00:15:01.869 --> 00:15:07.214]  Imagine having the device over your head and closing you and you not being able to do anything about it.
[00:15:07.594 --> 00:15:07.894]  Okay?
[00:15:08.275 --> 00:15:12.198]  And then I predict within five years these things are going to be ubiquitous as cell phones.
[00:15:12.338 --> 00:15:21.426]  Everybody's going to have a VR system set up in their house, their own private holodeck where they can call up any activity or inspiration that they can think of.
[00:15:21.546 --> 00:15:22.867]  It'll be programmed in.
[00:15:22.907 --> 00:15:24.208]  You can download them from the web.
[00:15:24.668 --> 00:15:25.528]  It's going to be everywhere.
[00:15:26.169 --> 00:15:27.569]  And not all this is bad, I think.
[00:15:27.649 --> 00:15:34.291]  I think in the design realm, it's pretty good for engineers to be able to go in and look at things that might go wrong before actually building the product.
[00:15:34.712 --> 00:15:37.293]  So there's always something good to these new technologies.
[00:15:37.313 --> 00:15:38.413]  There's always something good.
[00:15:38.433 --> 00:15:40.194]  So I don't want to say virtual reality is bad.
[00:15:40.314 --> 00:15:41.394]  It is the wave of the future.
[00:15:41.714 --> 00:15:42.835]  It's how we use it.
[00:15:42.995 --> 00:15:44.495]  It's just like firearms, okay?
[00:15:44.515 --> 00:15:45.976]  Firearms can be used for good or evil.
[00:15:45.996 --> 00:15:46.736]  They're just sitting there.
[00:15:47.076 --> 00:15:48.757]  The VR headset is just sitting there.
[00:15:49.038 --> 00:15:52.321]  It's when you take it on and forget to take it off that you can get lost in the Matrix.
[00:15:52.621 --> 00:15:58.426]  So be sure you don't do that and please consider supporting us at PrisonPlanet.tv where you can become a member.
[00:15:58.506 --> 00:16:03.470]  Right now we have a special running for $29.95 and you can share your username and password with up to 20 people.
[00:16:04.491 --> 00:16:08.238]  So keep all this virtual reality information in mind, and please keep sending me those tips.
[00:16:08.338 --> 00:16:10.361]  I really do appreciate it, especially that Joe Rogan one.
[00:16:10.381 --> 00:16:15.590]  It was very interesting to see his reaction to what's going to happen in this brave new world that we're entering.
[00:16:15.951 --> 00:16:16.552]  This is Rob Due.
[00:16:16.592 --> 00:16:17.514]  Thank you very much for watching.
[00:16:26.391 --> 00:16:28.974]  Every year we make resolutions to lose weight and get in shape.
[00:16:29.055 --> 00:16:30.216]  And the truth is, it's hard.
[00:16:30.496 --> 00:16:31.958]  Even with diet and exercise.
[00:16:32.158 --> 00:16:37.205]  Because of toxic food in our environment that is stressing our bodies more than ever before.
[00:16:37.345 --> 00:16:44.174]  Working with experts in nutrition and biochemistry, I found that super high quality nutraceuticals, in addition to my diet and exercise,
[00:16:44.494 --> 00:16:46.455]  Worthy answers that synergistically worked.
[00:16:46.715 --> 00:16:53.177]  I can see the drastic changes every day with the amount of weight I've lost, my increased stamina, and more of a twinkle in my eye.
[00:16:53.537 --> 00:16:59.480]  That's why we are now so excited to launch the InfoWars Life Resolution Pack, combining three essential formulations.
[00:16:59.960 --> 00:17:07.663]  Oxygen-Based Cleanser Oxy Powder, the Secret 12 Bioavailable Vitamin B12, and your choice of Super Female or Super Male Vitality.
[00:17:07.843 --> 00:17:10.944]  Now all available at a discounted price to you and your family
[00:17:11.164 --> 00:17:14.448]  To bring in the new year and make 2015 a true success.
[00:17:14.809 --> 00:17:16.291]  That's Infowarslife.com or 888-253-3139.
[00:17:16.311 --> 00:17:19.115]  2015 is the year to do it and it all starts at Infowarslife.com.
