[00:00:19.884 --> 00:00:22.129]  It's September 23rd, 2015.
[00:05:53.632 --> 00:05:57.813]  So you're going to be charged with hate crimes for speaking out against women being raped.
[00:05:58.453 --> 00:06:02.456]  And the left and the feminists will sit there and applaud it.
[00:06:03.017 --> 00:06:05.739]  Because that's tolerance in action.
[00:06:06.039 --> 00:06:10.583]  Tolerance for rape gangs to abduct and molest children.
[00:06:10.903 --> 00:06:15.066]  This is a situation that's increasingly becoming a problem in Germany.
[00:06:15.447 --> 00:06:20.411]  ZDF, the top German broadcaster, is also censoring information about this.
[00:06:21.091 --> 00:06:23.013]  A Muslim suspect who rapes a young girl.
[00:06:23.393 --> 00:06:27.595]  A couple of weeks ago, they refused to air any details about that case.
[00:06:27.955 --> 00:06:31.917]  Again, because the editor-in-chief said, this may offend Muslims.
[00:06:31.937 --> 00:06:34.858]  This may cause tensions in the community.
[00:06:35.399 --> 00:06:38.880]  So again, we're being asked to modify our behavior.
[00:06:39.201 --> 00:06:45.263]  Schools are warning girls not to wear shorts, so as not to offend and provoke attacks by these migrants.
[00:06:45.844 --> 00:06:50.086]  And you'll be labeled a racist simply for drawing attention to it.
[00:06:50.686 --> 00:06:56.234]  Just like Donald Trump was savage for saying illegal immigrants commit crimes.
[00:06:56.275 --> 00:06:57.797]  Which leads us to our next story.
[00:06:58.097 --> 00:07:00.922]  This is out of Northwest Florida Daily News today.
[00:07:01.703 --> 00:07:06.049]  Two men accused of trying to kidnap GERP kids from Crab Island.
[00:07:06.630 --> 00:07:18.196]  Two men who told their victims they were from the Dominican Republic were charged with false imprisonment Sunday for allegedly trying to take three children away from their mothers at Crab Island, and this is in Florida.
[00:07:18.697 --> 00:07:23.939]  Gonzales Boba Villa took an 11-year-old Santa Rosa beach girl and placed her on his kayak.
[00:07:23.979 --> 00:07:28.222]  The child, who is autistic according to her father, didn't understand what was happening.
[00:07:28.962 --> 00:07:37.887]  Then the second suspect tried to physically grab a three-year-old boy from this mother's arms and again put him on this kayak.
[00:07:38.327 --> 00:07:41.609]  When the boy's mother tried to get her child back, the man pushed her away.
[00:07:42.049 --> 00:07:45.651]  So basically, the mother's out there screaming for help.
[00:07:46.192 --> 00:07:55.017]  Thankfully, that causes these two men, who claim they were from the Dominican Republic, to flee from the scene and abandon the children so they were safe with the mother.
[00:07:55.737 --> 00:08:00.879]  They said, quote, we're from the Dominican Republic, and we just want to have fun.
[00:08:01.779 --> 00:08:14.644]  And again, you know, according to Salon.com, the woman shouldn't have been so upset at having her kids grabbed, and maybe she's a racist for not letting them have their fun.
[00:08:15.104 --> 00:08:23.787]  Because we now need to be supportive and understanding of paedophiles, as I explain in the following video.
[00:08:24.287 --> 00:08:39.041]  Leftwingoutletsalon.com just published an article by a self-confessed paedophile in which the author Todd Nickerson calls for readers to be understanding and supportive of people who are sexually attracted to children.
[00:08:39.141 --> 00:08:47.870]  Nickerson is a moderator over at the Virtuous Paedophiles Forum where he talks about drooling over pictures of underage girls.
[00:08:48.490 --> 00:08:54.716]  Other posters talk about whether a six-month-old baby can consent to sex.
[00:08:54.956 --> 00:09:06.486]  Nickerson describes his lusting after kids as merely a different form of quote sexual orientation while trying to portray himself as a victim of circumstance.
[00:09:06.687 --> 00:09:08.969]  So if we're to accept paedophilia
[00:09:09.489 --> 00:09:12.191]  As a quote, sexual orientation.
[00:09:12.571 --> 00:09:15.213]  What else could be considered under that umbrella?
[00:09:15.373 --> 00:09:16.514]  Or necrophiliacs.
[00:09:16.794 --> 00:09:22.958]  People who like to have sex with dead bodies, merely expressing their sexual orientation.
[00:09:23.138 --> 00:09:32.765]  Or people who like to bash women in the head with hammers while raping their half-unconscious bodies, just expressing their sexual orientation.
[00:09:32.845 --> 00:09:34.366]  What about bestiality?
[00:09:34.766 --> 00:09:37.228]  The people who copulate with their dogs.
[00:09:37.668 --> 00:09:39.950]  Just another oppressed minority.
[00:09:40.050 --> 00:09:46.816]  People who embrace apotemnophilia, deriving erotic pleasure from the removal of their limbs.
[00:09:47.396 --> 00:09:48.738]  Is that a mental illness?
[00:09:49.098 --> 00:09:50.839]  Or a sexual orientation?
[00:09:50.899 --> 00:09:52.401]  Just because it turns you on,
[00:09:52.981 --> 00:09:56.043]  That doesn't make it a sexual orientation.
[00:09:56.163 --> 00:10:00.585]  None of those things should be treated as a legitimate sexual preference.
[00:10:00.965 --> 00:10:04.487]  They're indefensible and morally abhorrent.
[00:10:04.647 --> 00:10:09.749]  But this isn't the first time that Salon has acted as an apologist for paedophiles.
[00:10:09.929 --> 00:10:11.190]  In 2012 they published an article entitled
[00:10:13.311 --> 00:10:15.932]  Meet paedophiles who mean well!
[00:10:16.072 --> 00:10:28.919]  So leftists are constantly calling for anti-feminists, men's rights activists, global warming skeptics and others to be quote, no platformed, while giving platforms to actual paedophiles.
[00:10:29.119 --> 00:10:36.523]  As Steven Crowder writes, you'll never see Salon publish an article entitled, I'm a racist, not a monster.
[00:10:37.103 --> 00:10:42.906]  Or one with the headline, I'm a college freshman with rape fantasies but I'm not a monster.
[00:10:43.066 --> 00:10:47.749]  So why this bizarre obsession with mainstreaming paedophilia?
[00:10:47.829 --> 00:10:54.233]  The fact is that some on the left have acted as paedophile apologists for decades.
[00:10:54.753 --> 00:10:59.797]  Attempting to rebrand their sickness as something on a par with homosexuality.
[00:10:59.957 --> 00:11:06.603]  It's this insistence that just because someone was born that way, the rest of society must be browbeaten.
[00:11:07.083 --> 00:11:10.706]  Not just into tolerance, but into outright endorsement.
[00:11:10.806 --> 00:11:15.971]  Leftist beat poet Allen Ginsberg was a supporter and member of Nambler.
[00:11:16.431 --> 00:11:18.853]  The North American Manboy Love Association.
[00:11:18.993 --> 00:11:29.343]  In the UK, the paedophile information exchange was affiliated with the leftist National Council for Civil Liberties, which had direct ties with the Labour Party.
[00:11:29.403 --> 00:11:35.869]  The notoriously left-wing BBC played an integral role in covering up the Jimmy Savile paedophile scandal.
[00:11:36.109 --> 00:11:48.173]  For decades, just last week when transgender Gamergate critic Sarah Nyberg confessed to being a paedophile, progressives leapt to her defence, characterising her as a victim.
[00:11:48.233 --> 00:11:52.095]  We also saw a similar response from the left in the case of Lena Dunham.
[00:11:52.155 --> 00:12:00.638]  So while paedophiles are certainly not all left-wingers, the defence of paedophilia does seem to be a preoccupation with some on the left.
[00:12:00.798 --> 00:12:03.219]  And that's because left-wing identity politics
[00:12:03.659 --> 00:12:06.801]  is underpinned by moral relativism.
[00:12:06.881 --> 00:12:15.447]  That's why feminists can ignore Muslim rape gangs while fabricating myths about a college rape crisis that doesn't exist.
[00:12:15.627 --> 00:12:27.954]  That's why gay rights campaigners wring their hands over a Russian propaganda law while refusing to address the torrid persecution of homosexuals in many Islamic countries.
[00:12:28.035 --> 00:12:31.597]  For the most part, progressives are morally bankrupt.
[00:12:32.057 --> 00:12:39.121]  That's why they resort to virtue signalling and slacktivism to disguise their tormented nihilism.
[00:12:39.221 --> 00:12:53.068]  If paedophiles truly want to give something back to society, it shouldn't be in the form of whiny opinion pieces published by major news outlets in the hope that we can support and understand them better.
[00:12:53.188 --> 00:12:56.350]  It should be in the form of a bullet to the head.
[00:12:57.270 --> 00:13:02.852]  That's the only action a paedophile can take that I will understand and support.
[00:13:02.992 --> 00:13:10.074]  Paedophiles, please stop wasting time trying to convince us all that you're a misunderstood minority.
[00:13:10.654 --> 00:13:13.415]  And please get busy killing yourselves.
[00:13:14.571 --> 00:13:26.317]  Now of course there was a major controversy last week when a man stood up in the audience during a Donald Trump event and asked the Republican candidate about Obama and Muslims.
[00:13:26.377 --> 00:13:27.098]  Let's take a look.
[00:13:27.858 --> 00:13:30.299]  We know our current president is one.
[00:13:30.319 --> 00:13:32.501]  You know he's not even an American.
[00:13:32.541 --> 00:13:34.482]  We need this person.
[00:13:35.002 --> 00:13:40.645]  But anyway, we have training camps growing where they want to kill us.
[00:13:40.945 --> 00:13:45.370]  A lot of people are saying that and a lot of people are saying that bad things are happening out there.
[00:13:45.390 --> 00:13:47.552]  We're going to be looking at that and plenty of other things.
[00:13:47.892 --> 00:13:58.543]  So of course that incident last week during Trump's event set off a media narrative trying to portray Trump and also Ben Carson as anti-Muslim.
[00:13:58.583 --> 00:14:03.568]  Of course you remember they asked Carson what he thought about a Muslim being in the White House.
[00:14:04.448 --> 00:14:21.788]  But just like Ahmed Mohammed and his clock, which was also an example of Obama hijacking this anti-Muslim sentiment to politically grandstand as being politically correct, this turns out that it could have been a set-up from the very beginning.
[00:14:22.288 --> 00:14:24.891]  Because a man who looks exactly like
[00:14:25.492 --> 00:14:35.198]  The notorious Muslim question guy that we just saw in the clip there from the Donald Trump event was previously the star of a liberal anti-Tea Party campaign.
[00:14:35.939 --> 00:14:54.171]  Breitbart News has learned, and this is also being picked up by Gateway Pundit, the man whom some suspect to have been a liberal or a democratic plan in Trump's audience was featured in a meme in the spring of 2013 that was credited to AATP.org, the website of the group
[00:14:54.731 --> 00:14:57.894]  Americans against the Tea Party.
[00:14:58.495 --> 00:15:05.301]  The man was depicted participating in a rally holding a sign that read, Impeach the Muslim Marxist.
[00:15:05.682 --> 00:15:08.244]  The photo spread on left-wing message boards.
[00:15:08.885 --> 00:15:16.512]  He was also pictured at a Glenn Beck rally and at other rallies basically dressed in Nazi insignia.
[00:15:17.333 --> 00:15:27.939]  So if this is the same guy, and it looks very much like the same guy, I don't think it's been confirmed yet, but he's a spitting image for the guy who asked the Muslim question at the Trump event.
[00:15:29.059 --> 00:15:36.203]  He's basically a clown that plays the role of a low-grade racist moron to try and make conservatives look bad.
[00:15:36.683 --> 00:15:40.626]  And, you know, Democrats have played these tricks on numerous occasions in the past.
[00:15:40.966 --> 00:15:47.450]  They like to run these political false flags to try and demonize Republicans and conservatives.
[00:15:47.930 --> 00:15:59.215]  And this is just another example of democratic false flag setups in a similar context to Ahmed's clock bomb, which has been a raging controversy over the past week.
[00:15:59.775 --> 00:16:02.997]  Kit Daniels put out an article on In4Wars.com yesterday.
[00:16:03.477 --> 00:16:03.997]  Video!
[00:16:04.597 --> 00:16:09.099]  Man debunks clock kid by recreating Ahmed's clock in 20 seconds.
[00:16:10.620 --> 00:16:19.128]  So this whole story was based around the notion that this kid was a science geek, an innovator, a genius to some extent.
[00:16:19.188 --> 00:16:26.415]  Of course, he got the invitation from Obama to the White House because basically the school freaked out and thought that this, quote, clock
[00:16:26.895 --> 00:16:38.078]  Looked like a bomb, probably because it did look like a bomb, but of course that's politically incorrect because the kid's Muslim, so obviously he must have been targeted for his skin color or religion.
[00:16:38.438 --> 00:16:48.381]  But Kit Daniels writes that a man debunked the official story behind the clock kid by building a near exact copy of Ahmed Mohammed's clock in about 20 seconds.
[00:16:49.881 --> 00:16:53.802]  Using the guts of a store-bought clock and a briefcase.
[00:16:54.243 --> 00:17:01.585]  As the story goes, Ahmed, a 14-year-old Muslim high school student in Irving, Texas, took his homemade clock to school to impress his engineering teacher.
[00:17:02.065 --> 00:17:14.130]  Turns out that it wasn't that impressive because another individual was able to recreate that clock in a matter of 20 seconds, again proving that he was not innovative and that this, quote, clock
[00:17:14.710 --> 00:17:19.212]  Looks more like a bomb because it was just a collection of wires and circuit boards.
[00:17:19.232 --> 00:17:26.556]  So again, they're using that for political grandstanding, for political correctness, when the story looks like a complete setup.
[00:17:27.036 --> 00:17:34.720]  So again, the clock in the video is a near-perfect clone of the clock Ahmed took to class, including the 9-volt battery.
[00:17:35.800 --> 00:17:38.081]  Hock up the wall cord and the snooze button.
[00:17:38.601 --> 00:17:46.664]  Ahmed didn't build the clock, but rather ripped the guts out of a store-bought clock and shoved them into a suitcase he took to school.
[00:17:47.584 --> 00:17:52.586]  Coming up on InfoWars Nightly News, David Knight reports on the Pope's visit to the US.
[00:17:52.926 --> 00:18:00.769]  But before that, the spokesman of the pot-bellied paedophile network educates us about how paedophiles are people too.
[00:18:03.840 --> 00:18:06.402]  This is an American President.
[00:18:06.742 --> 00:18:10.564]  Just add puppet, then vote and repeat every four years.
[00:18:16.767 --> 00:18:19.269]  I might as well just...
[00:18:36.260 --> 00:18:36.820]  Oh my God.
[00:19:02.898 --> 00:19:05.639]  Are you ready to show your disapproval for Hillary Clinton?
[00:19:05.979 --> 00:19:10.881]  Get your Hillary for Prison 2016 t-shirt today at the InfoWars store.
[00:19:11.241 --> 00:19:14.963]  Hurry up, because these things are selling out faster than Hillary Clinton.
[00:19:18.204 --> 00:19:20.765]  This is an American president.
[00:19:21.125 --> 00:19:24.887]  Just add puppet, then vote and repeat every four years.
[00:19:35.074 --> 00:19:40.075]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:19:40.255 --> 00:19:50.197]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:19:50.537 --> 00:19:56.438]  Secret 12 is a binary of nutrimedical grade, bioavailable coenzyme forms of B12.
[00:19:56.778 --> 00:20:01.959]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:20:05.632 --> 00:20:06.693]  I'm running for president.
[00:20:07.074 --> 00:20:10.297]  Everyday Americans need a champion, and I want to be that champion.
[00:20:10.538 --> 00:20:14.703]  I'm hitting the road to earn your vote, and I hope you'll join me on this journey.
[00:20:16.952 --> 00:20:25.960]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:20:26.040 --> 00:20:34.268]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:20:34.448 --> 00:20:39.112]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:20:39.312 --> 00:20:46.033]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:20:46.093 --> 00:20:53.174]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:20:53.254 --> 00:21:00.136]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:21:00.296 --> 00:21:04.636]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:21:04.776 --> 00:21:07.997]  Available in original or with our immune support infusion blend.
[00:21:08.157 --> 00:21:14.299]  You will be supporting a free press, all the while enjoying a truly great-tasting cup of my favorite coffee.
[00:21:14.459 --> 00:21:16.660]  Available at Infowarslife.com.
[00:21:17.060 --> 00:21:18.281]  Another major health threat.
[00:21:18.321 --> 00:21:23.222]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:21:23.282 --> 00:21:25.923]  Ohio's governor declaring a state of emergency.
[00:21:25.963 --> 00:21:32.726]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:21:33.006 --> 00:21:35.827]  If there's a water emergency, will you be prepared?
[00:21:36.007 --> 00:21:38.909]  Panicked residents forming long lines throughout the day.
[00:21:38.929 --> 00:21:40.950]  We're here at a supermarket in Toledo.
[00:21:40.970 --> 00:21:43.892]  You can see the shelves empty where water once was.
[00:21:43.912 --> 00:21:49.416]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:21:49.616 --> 00:21:53.118]  Water which will not be available at your local grocery store.
[00:21:53.138 --> 00:21:56.140]  There's a mad dash on right now to stock up on supplies.
[00:21:56.160 --> 00:22:03.305]  The ProPure ProOne G2.0 water filtration system is a must-have for every modern, independently-minded household.
[00:22:05.947 --> 00:22:06.608]  Welcome, children.
[00:22:06.628 --> 00:22:11.832]  Welcome to the newest, trendy, liberal program brought to you by the liberal, trendy establishment media.
[00:22:36.209 --> 00:22:43.474]  You know who's coming out of the closet now with federal judges reeling on it and saying it's good all over the world?
[00:22:43.494 --> 00:22:50.058]  Writers for Salon.com telling you it's time to love the pedophile?
[00:22:51.179 --> 00:22:51.800]  I just said it.
[00:22:51.820 --> 00:22:54.822]  It's all about a sexual preference.
[00:22:55.802 --> 00:23:00.926]  When we grab your kid out of the back of the yard, we teach them how to love.
[00:23:02.824 --> 00:23:05.925]  And it's alright with our preference that you belong to us.
[00:23:07.886 --> 00:23:13.809]  Just like Melissa Harris Perry said, your kids don't belong to you, they belong to the state.
[00:23:14.249 --> 00:23:21.973]  Part of it is we have to break through our kind of private idea that kids belong to their parents, or kids belong to their families and recognize that kids belong to whole communities.
[00:23:22.773 --> 00:23:24.694]  And the people that make up the state like me.
[00:23:26.375 --> 00:23:31.057]  So now it's time for you to learn it's an act of domination, an act of control.
[00:23:32.628 --> 00:23:35.289]  We're not just gonna sexually abuse your children.
[00:23:36.389 --> 00:23:49.893]  We're gonna forcibly inoculate them with deadly pathogens known to brain damage them, and we're gonna rape their brains, rape their minds, and make you take care of them for decades when they're autistic, wearing diapers, crying at night!
[00:23:50.734 --> 00:23:56.555]  Because that's what we like to do, and you're so weak and pathetic, you'll do whatever we tell you.
[00:23:57.576 --> 00:23:58.756]  So now I'm coming right out,
[00:24:00.128 --> 00:24:03.410]  I don't have a message to the parents out there, I have a message to the children.
[00:24:05.432 --> 00:24:14.439]  You belong to the state and Big Pharma, and you belong to the cult of the PBP, the Potbelly Pedophile.
[00:24:15.360 --> 00:24:16.661]  We're going to take good care of you.
[00:24:16.681 --> 00:24:20.884]  Let me show you where you're going to be living now, once the state takes you away.
[00:24:22.145 --> 00:24:24.366]  Once the state teaches you how to enjoy yourself.
[00:24:24.406 --> 00:24:24.767]  Come on in.
[00:24:26.004 --> 00:24:30.705]  You think Sandusky, you think the Catholic Church with the pedophiles is isolated?
[00:24:31.165 --> 00:24:32.025]  It's system-wide.
[00:24:32.085 --> 00:24:34.346]  We control this country and the world now.
[00:24:34.546 --> 00:24:36.447]  And your children belong to us.
[00:24:37.027 --> 00:24:39.387]  So mommy and daddy aren't going to be able to protect you.
[00:24:40.948 --> 00:24:44.308]  Just like all the big defense contractors caught shipping kids around.
[00:24:44.588 --> 00:24:46.089]  Who do you think they feed them to?
[00:24:46.349 --> 00:24:46.429]  Us!
[00:24:47.742 --> 00:24:49.903]  We're going to ship the narcotics into your country.
[00:24:50.023 --> 00:24:51.164]  We're going to take your kids.
[00:24:51.364 --> 00:24:52.505]  We're going to do whatever we want.
[00:24:52.825 --> 00:25:01.729]  We're going to sit up there on television and in print, on the new trendy group, it's going to be people you used to call pedophiles.
[00:25:02.450 --> 00:25:05.091]  Now we're upstanding citizens and your kids belong to us.
[00:25:06.112 --> 00:25:08.193]  You better get used to that and understand it, kids.
[00:25:09.471 --> 00:25:15.394]  Just like California passed a law that kids can decide to be vaccinated, even if their parents don't want to.
[00:25:16.215 --> 00:25:18.916]  That's us, the state, getting involved with your kids.
[00:25:19.617 --> 00:25:21.638]  What do you think transgender bathrooms are about?
[00:25:22.238 --> 00:25:24.499]  We can teach five-year-olds that there's three bathrooms.
[00:25:24.800 --> 00:25:26.961]  We can teach them to be sexually confused.
[00:25:27.561 --> 00:25:34.025]  And once we set that precedent, NAMBLA, an organization of the United Nations, is accepted and promoted.
[00:25:34.665 --> 00:25:39.149]  Can have its way and say that your children could be turned over to us.
[00:25:39.790 --> 00:25:42.633]  So again kids, let me show you the type of place you're going to be living in.
[00:25:43.333 --> 00:25:47.337]  You know the big orphanages we run, different facilities around the country.
[00:25:48.058 --> 00:25:49.759]  This is the type of place you're going to be living.
[00:25:49.799 --> 00:25:51.481]  You don't need your mommy and your daddy.
[00:25:52.031 --> 00:25:56.695]  You don't need the family that belongs to that bygone age of barbarism and evil.
[00:25:57.356 --> 00:25:59.318]  This is where you're going to be living, right here.
[00:25:59.718 --> 00:26:01.160]  Look how beautiful this is.
[00:26:01.980 --> 00:26:03.862]  Look how much you're going to enjoy this.
[00:26:03.902 --> 00:26:07.486]  Because you've got the state and people like me that really, really love you.
[00:26:08.106 --> 00:26:10.689]  And you've got the papa, the pope.
[00:26:11.409 --> 00:26:13.331]  You know, we took over that organization.
[00:26:14.032 --> 00:26:14.913]  We blackmailed him.
[00:26:16.707 --> 00:26:22.714]  We told him, you let us completely run your organization, we're gonna bring you down with our networks of PVPs inside.
[00:26:23.475 --> 00:26:26.319]  And now the Papa, he's come in to take over.
[00:26:27.099 --> 00:26:28.781]  He's letting folks know the state's God.
[00:26:28.801 --> 00:26:30.983]  He's telling Catholics, back off on abortion.
[00:26:31.183 --> 00:26:31.743]  Damn right!
[00:26:32.264 --> 00:26:34.426]  We're gonna sell your baby's body parts.
[00:26:35.226 --> 00:26:37.128]  We're gonna keep your babies alive.
[00:26:37.569 --> 00:26:39.290]  We're gonna sell their organs.
[00:26:39.931 --> 00:26:41.933]  Cause it's loving and it's good.
[00:26:42.333 --> 00:26:44.155]  Just look at where you're gonna be living.
[00:26:44.835 --> 00:26:46.697]  Look how much you're gonna be enjoying.
[00:26:47.298 --> 00:26:50.320]  And right in here, there's even more fun.
[00:26:51.221 --> 00:26:54.522]  Because the United Nations has called for us to be broken up the family.
[00:26:55.103 --> 00:26:58.264]  We're going to start human sacrifice in public for Gaia.
[00:26:58.864 --> 00:27:04.486]  So next, little kids, we're going to start killing you in public, according to the United Nations.
[00:27:04.986 --> 00:27:08.768]  Who would have believed we'd be announcing the name Father and Mother?
[00:27:09.415 --> 00:27:16.218]  Because the truth is, until you submit to us, you are anathema.
[00:27:16.899 --> 00:27:23.702]  You existing and being happy and having good lives and good husbands and wives and good children is against our way of life.
[00:27:24.202 --> 00:27:26.744]  You're discriminating against us by existing!
[00:27:27.564 --> 00:27:31.546]  So again, I'm going to tell your mommies and your daddies all something right now.
[00:27:32.046 --> 00:27:33.307]  This is your new home.
[00:27:34.027 --> 00:27:34.968]  Right here with us.
[00:27:35.964 --> 00:27:45.854]  And that's why we're coming out in the courts, we're coming out with our good buddies, like Jimmy Savelle with his torture dungeons, and his necrophilia dungeons, best friends with Prince Charles.
[00:27:46.555 --> 00:27:48.677]  We're here to tell you, you belong to us.
[00:27:49.699 --> 00:27:56.245]  So when we take one of these bags after we've been torturing you for a few months, and wrap it around your head,
[00:27:57.821 --> 00:27:59.522]  And smother you and kill you!
[00:27:59.542 --> 00:28:00.522]  Ha ha ha ha!
[00:28:00.863 --> 00:28:04.104]  You still won't go to Mommy and Daddy, because they're going to go to hell!
[00:28:04.344 --> 00:28:05.525]  They're going to rule you forever.
[00:28:05.545 --> 00:28:09.847]  Because we're trendy, and we're liberal, and we do what we say.
[00:28:10.287 --> 00:28:19.972]  So you follow the language we say, you talk like we say, and you remember, under the Stockholm Syndrome, you need to submit to us and do whatever we say.
[00:28:20.629 --> 00:28:24.674]  To the people of the West, you will pay for any illegal aliens, migrants.
[00:28:25.074 --> 00:28:29.639]  You will pay for all the free equipment, all the free babies, all the free welfare.
[00:28:29.659 --> 00:28:30.560]  The same thing to Europe.
[00:28:31.633 --> 00:28:39.315]  We're going to flood you with people and they openly say your women belong to us and we're going to take it from you because you want everything taken from you.
[00:28:39.835 --> 00:28:40.996]  You do whatever you're told.
