[00:00:00.049 --> 00:00:02.510]  And don't tell me that I'm a weirdo because I'm upset about this.
[00:02:45.868 --> 00:02:47.969]  Well, that's a great question with the FedEx example.
[00:02:48.129 --> 00:02:49.449]  I have a federal firearms license.
[00:02:49.550 --> 00:02:51.090]  FedEx will ship guns for me, right?
[00:02:51.170 --> 00:02:52.331]  And have done that before.
[00:02:52.731 --> 00:02:54.351]  FedEx will ship guns all over the country.
[00:02:54.772 --> 00:02:58.633]  Are they trying to tell me that this, what I'm doing here, is now more dangerous than a gun?
[00:02:58.693 --> 00:03:00.914]  Because, theoretically, that seems to be what's happening.
[00:03:01.154 --> 00:03:12.339]  They're more uncomfortable with the idea, the abstract idea, that anyone can have a gun, or that Eric Holder has them on a short enough leash, that this is more dangerous to them than hazardous materials and guns, which I think that they will ship.
[00:03:13.007 --> 00:03:21.253]  On an AR-15 rifle, the lower receiver is the part that holds the trigger group and to which you can insert a magazine, which feeds the rest of the gun.
[00:03:21.293 --> 00:03:28.578]  But also legally, it's important because it's the regulated component, the serialized component, traditionally, of these guns in commerce.
[00:03:28.958 --> 00:03:40.786]  And so by my assertion here, my claim, I think, is that though FedEx is trying to hide behind color of law, really, they're more interested in the political implications of my device than its legality.
[00:03:41.226 --> 00:03:42.447]  They don't like the idea
[00:03:43.167 --> 00:03:54.958]  They are uncomfortable with the idea that people can have such easy access to guns and will perform by extension what Eric Holder and the administration cannot do, which is why I believe InfoWars' audience might be interested in this.
[00:03:55.599 --> 00:04:00.824]  Where Eric Holder has been unable to succeed, FedEx is comfortable, you know, rounding out the situation.
[00:04:02.076 --> 00:04:05.418]  That's right, because I think what you're mentioning here, Cody, is Operation Choke Point.
[00:04:05.998 --> 00:04:16.484]  They're targeting various gun owners, you know, banks, things such as that, trying to stop people from being able to process, whether it's firearms, ammunition, things to that nature.
[00:04:16.524 --> 00:04:19.726]  So you're saying that's what you feel that you're experiencing at this moment?
[00:04:20.707 --> 00:04:32.816]  I think it is easy to paint that picture now, and I'll tell you, I didn't really lean on this when it happened to me earlier, but my banking network, my credit card processing network back in November dropped me.
[00:04:33.836 --> 00:04:42.342]  Other things happened to prevent me from more easily taking payments along the way, and now, ultimately, this shipping agency won't fulfill for my product.
[00:04:42.362 --> 00:04:47.846]  What we're finding is a constellation, or a closed loop of businesses and government working together
[00:04:48.655 --> 00:04:50.536]  Is anything that you're involved in illegal?
[00:05:04.452 --> 00:05:05.873]  Absolutely not.
[00:05:06.114 --> 00:05:07.855]  The law could not be clearer on this matter.
[00:05:07.935 --> 00:05:14.601]  You can have a tool, you can possess a tool, you can make a rifle without a serial number in these United States, even today.
[00:05:14.621 --> 00:05:19.445]  These people don't even want to admit that this is still a possibility in 2015.
[00:05:20.106 --> 00:05:25.911]  It seems like, with you, they're hitting the grassroots and now coming after the small businessmen and trying to stop your process.
[00:05:26.724 --> 00:05:27.205]  I'm good to go.
[00:05:36.957 --> 00:05:43.558]  The ATF this month controversially began to ban the second most popular stock of ammunition for the AR-15.
[00:05:43.718 --> 00:05:48.599]  Large corporations and banking networks will not permit and are trying to ghettoize our activity.
[00:05:48.980 --> 00:05:58.602]  It is an attack from all sides, all divisions of the quote-unquote civil society to prevent good people, the rifleman, from his birthright.
[00:05:58.882 --> 00:06:01.942]  And I think the InfoWars audience should know that I'm under attack as well.
[00:06:02.462 --> 00:06:05.483]  They should know that I am making a legal product
[00:06:06.370 --> 00:06:20.015]  To allow them to make a rifle, and I'm probably going to have to smuggle it out of my own city, because the large shipping cartels are in league with the administration, and I honestly, today, I do not know how I'm going to ship it.
[00:06:20.335 --> 00:06:24.416]  This is a huge matter, and I think they should know what these companies think of their Second Amendment.
[00:06:24.776 --> 00:06:31.879]  With this wall of collusion, Jaakari, between the government and these large corporations, and the kinds of talking points you see on TV all the time,
[00:06:32.662 --> 00:06:41.109]  Basically, the elite only admit that there is a right to buy arms, not a right to bear them, not a right to make them, to own them, to transport them.
[00:06:41.349 --> 00:06:48.034]  They're trying to ghettoize and marginalize and cut away at every possible corner of these activities.
[00:06:48.215 --> 00:06:52.238]  And this is a wall that I have bumped into that I think few people are aware of.
[00:06:52.578 --> 00:06:59.363]  People should know that there is strong resistance right now to the idea of the private manufacturer of arms in the private world, not just the public world.
[00:06:59.804 --> 00:07:01.125]  How many orders do you have right now?
[00:07:02.545 --> 00:07:10.749]  I have over a thousand orders for fulfillment right now, and I don't know how I'm going to do that if I have to go to retail windows and ship these one by one.
[00:07:10.929 --> 00:07:17.252]  If someone won't cater to my business to fulfill my product, this is an easy way of de facto putting me out of business.
[00:07:18.138 --> 00:07:22.121]  And let's say you eventually do get some way to ship these across the country.
[00:07:22.161 --> 00:07:23.762]  How could people get a hold of this product?
[00:07:24.162 --> 00:07:26.264]  People can go to ghostgunner.net.
[00:07:26.484 --> 00:07:27.945]  They can go to defdisc.org.
[00:07:28.465 --> 00:07:29.826]  It's very easy to explain the product.
[00:07:29.846 --> 00:07:30.586]  We demonstrate it.
[00:07:30.606 --> 00:07:32.448]  We explain what it does, what it can do.
[00:07:33.128 --> 00:07:33.889]  They can order online.
[00:07:33.929 --> 00:07:34.469]  Very simple.
[00:07:34.789 --> 00:07:35.550]  We accept Bitcoin.
[00:07:35.570 --> 00:07:37.211]  We accept credit card, PayPal.
[00:07:37.851 --> 00:07:38.792]  It's easy to buy it.
[00:07:39.072 --> 00:07:41.154]  I just got to tell you, it's getting difficult to ship it.
[00:07:41.674 --> 00:07:46.117]  So I definitely thank you for coming out and telling your tale, Cody, and I wish you the best of luck.
[00:07:47.132 --> 00:07:49.449]  Thank you for giving me a platform to share my story.
[00:08:00.416 --> 00:08:06.179]  Use since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:08:06.499 --> 00:08:18.805]  Introducing the new Infowarslife.com Oil of Oregano Formulation, a highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:08:19.045 --> 00:08:24.248]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:08:24.568 --> 00:08:30.151]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:08:30.511 --> 00:08:35.334]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:08:35.474 --> 00:08:39.075]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:08:39.396 --> 00:08:45.639]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:08:45.999 --> 00:08:51.005]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:08:51.165 --> 00:08:54.669]  Now available in our limited first run at Infowarslife.com.
[00:08:54.889 --> 00:08:56.792]  That's Infowarslife.com or call 888-253-3139.
