[00:00:00.814 --> 00:00:03.423]  You're listening to The Alex Jones Show.
[00:07:27.012 --> 00:07:35.821]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:07:36.121 --> 00:07:42.045]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:07:42.285 --> 00:07:47.068]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:07:47.128 --> 00:07:50.470]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:07:50.710 --> 00:07:52.331]  No needles, no injections.
[00:07:52.611 --> 00:07:54.092]  Don't take my word for it.
[00:07:54.252 --> 00:07:55.293]  Try it for yourself.
[00:07:55.453 --> 00:07:57.014]  Discover the secret, Secret 12.
[00:07:57.754 --> 00:08:02.320]  Secure your Revolutionary Secret 12 Formula right now at Infowarslife.com or call 888-253-3139.
[00:08:02.340 --> 00:08:03.322]  Infowarslife Secret 12.
[00:08:26.966 --> 00:08:33.054]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:33.494 --> 00:08:34.976]  It's Alex Jones.
[00:08:39.141 --> 00:08:41.244]  Welcome to the Alex Jones Show on this Monday, October 26, 2015.
[00:08:41.304 --> 00:08:42.245]  I'm David Knight, your host.
[00:08:45.037 --> 00:08:49.078]  We're going to be talking in the third hour to Zoltan Istvan.
[00:08:49.738 --> 00:08:54.580]  He is a candidate for presidency with the Transhumanist Party, a party that he created.
[00:08:54.600 --> 00:08:59.241]  So we're going to talk to him about his goals for transhumanism, what he thinks that's about.
[00:08:59.801 --> 00:09:01.282]  Should be an interesting interview.
[00:09:01.302 --> 00:09:03.603]  He's going to be here live in the studio, third hour.
[00:09:04.463 --> 00:09:11.605]  Before we get to that, I want to talk about the out-of-control use of technology by our government.
[00:09:12.748 --> 00:09:18.191]  Of course, we learned last week, at the end of the week, that the Department of Justice was not going to target Lois Lerner.
[00:09:19.232 --> 00:09:23.435]  Maybe it's because they think that she's related to a girlfriend of Superman.
[00:09:23.475 --> 00:09:23.815]  I don't know.
[00:09:23.855 --> 00:09:27.177]  But it looks like she's got more powerful friends than Superman.
[00:09:27.237 --> 00:09:29.799]  She's got powerful people in the government.
[00:09:30.799 --> 00:09:35.124]  And we were told at the time that, you know, it was just bureaucratic incompetence.
[00:09:35.184 --> 00:09:41.131]  Well, if it was bureaucratic incompetence, it would affect groups equally across the political spectrum.
[00:09:41.752 --> 00:09:45.716]  This was targeted on conservative groups, on Tea Party groups.
[00:09:46.457 --> 00:09:50.442]  And now we learn that they are still targeting Tea Party groups.
[00:09:50.462 --> 00:09:53.526]  This isn't something that has gone on, that has stopped.
[00:09:53.586 --> 00:10:02.658]  The Washington Times reports that the IRS is still holding up the non-profit applications for Tea Party groups, including one that has been waiting nearly six years for approval.
[00:10:04.028 --> 00:10:17.114]  As I say, it's no wonder so many Americans have had it with Washington and the elite political class who can get away with something like this, says Mark Meckler, president of the Citizens for Self-Governance, one of the organizers of the class action lawsuit.
[00:10:17.494 --> 00:10:30.559]  Yet another case is pending before federal appeals court after Tea Party challengers lost at the district court level, where the judge ruled that the IRS targeting stopped in 2013, so there was no longer a case to be decided.
[00:10:30.639 --> 00:10:32.100]  And yet, that's not the case.
[00:10:32.680 --> 00:10:35.623]  They say that was news, that it's stopped two years ago.
[00:10:35.663 --> 00:10:44.571]  That's news to the Albuquerque Tea Party, which applied for non-profit status back in December of 2009 and is still waiting for approval.
[00:10:45.372 --> 00:10:52.298]  And also another one of the center's clients, Unite In Action, an Ohio group, has been waiting for more than three years for approval.
[00:10:52.338 --> 00:10:57.482]  So one is in New Mexico, another one is in Ohio, but of course there's no coordination by
[00:10:58.243 --> 00:11:01.165]  The central offices of the IRS.
[00:11:01.185 --> 00:11:03.146]  That's precisely what was going on.
[00:11:03.426 --> 00:11:04.326]  We all know what's going on.
[00:11:04.907 --> 00:11:12.291]  And we all know that the people in power continually get away with committing crimes because simply they are in power.
[00:11:13.191 --> 00:11:20.415]  Jay Sekulow, one of the chief counsels for the American Center for Law and Justice that is challenging this, says it's an outrage, a mockery of justice.
[00:11:20.435 --> 00:11:22.397]  Yes, it's a mockery of the rule of law.
[00:11:23.337 --> 00:11:25.998]  And it's something that we have come to see everywhere.
[00:11:26.498 --> 00:11:27.839]  Look at this article from The Guardian.
[00:11:28.079 --> 00:11:35.942]  Not only is the IRS targeting Tea Party groups and getting away with it, but now they're acquiring Stingray cell phone surveillance gear.
[00:11:36.062 --> 00:11:38.083]  Actually, this has been going on for quite some time.
[00:11:38.163 --> 00:11:40.924]  Going back to the time when they were holding up, guess what?
[00:11:41.992 --> 00:11:57.119]  Tax status for Tea Party groups, going back to the same years, 2009, 2012, under the Freedom of Information Act, they have found, this is a Guardian investigation, they found documents for purchases made six years ago.
[00:11:57.179 --> 00:12:01.982]  When they started this targeting of the Tea Party, they also started collecting Stingray devices.
[00:12:02.062 --> 00:12:08.285]  As I mentioned in the last segment, this is something that the FBI has worked very hard to keep quiet.
[00:12:09.085 --> 00:12:19.789]  Many law enforcement agencies will tell the judge they have a non-disclosure agreement and they will refuse to reveal how they got this information if the judge challenges them and says, where's your search warrant?
[00:12:19.889 --> 00:12:21.490]  Well, you know, I just have this stuff.
[00:12:21.530 --> 00:12:23.151]  But of course, there's other ways that they can do this.
[00:12:23.811 --> 00:12:28.993]  We know that for many years, the Drug Enforcement Agency and others have illegally collected information.
[00:12:29.053 --> 00:12:32.054]  The NSA would collect information illegally, pass it to the DEA.
[00:12:32.114 --> 00:12:36.836]  They would use parallel construction to pretend that they had acquired this with a search warrant.
[00:12:37.537 --> 00:12:40.580]  But now they're not really even bothering with that beard.
[00:12:40.820 --> 00:12:43.662]  They just go out and violate the law with impunity.
[00:12:44.163 --> 00:12:45.264]  And it's going to get worse.
[00:12:45.324 --> 00:12:46.565]  And we'll tell you how it's going to get worse.
[00:12:46.585 --> 00:12:47.986]  But first, this situation.
[00:12:48.286 --> 00:12:58.074]  They say privacy advocates say the revelation quote shows the wide proliferation of this very invasive surveillance technology despite their extensive capabilities.
[00:12:59.164 --> 00:13:04.708]  In these Stingray devices, they require only a low-level court order called a pen register.
[00:13:05.328 --> 00:13:10.252]  It's also known as a trap and trace in order to grant permission for their use.
[00:13:10.892 --> 00:13:25.943]  Very similar to what's going on with the NSA when they say that they're going to get this massive broad search warrant, as Rand Paul put it, going before the FISA court and saying, I want a search warrant for Mr. and Mrs. Verizon.
[00:13:26.946 --> 00:13:32.189]  In which case, the FISA Court says, sure, you can listen to anybody that has a Verizon account.
[00:13:32.249 --> 00:13:34.591]  Oh, I'd like one for Mr. and Mrs. AT&T as well.
[00:13:34.811 --> 00:13:35.852]  Yeah, no problem, sure.
[00:13:37.116 --> 00:13:38.297]  No, no, no problem with that.
[00:13:38.658 --> 00:13:41.241]  We can do dragnet surveillance of everybody in the United States.
[00:13:41.821 --> 00:13:44.204]  And it's going to get worse, I'll tell you about that in just a moment.
[00:13:44.484 --> 00:13:54.255]  Various revelations by the ACLU and other news outlets, including the Guardian, have shown at least 12 federal agencies already known to have these devices, including the NSA, the FBI.
[00:13:54.535 --> 00:13:56.037]  Now the IRS makes 13.
[00:13:57.518 --> 00:13:58.339]  A baker's dozen.
[00:13:58.439 --> 00:14:02.022]  Yes, they harass our people and they eat out their substance.
[00:14:02.102 --> 00:14:05.445]  That's the nature of government if it's not controlled.
[00:14:05.485 --> 00:14:09.048]  Government is always either at your feet or at your throat.
[00:14:09.749 --> 00:14:11.871]  Let me ask you, do you think it's at your feet?
[00:14:12.772 --> 00:14:13.552]  No, it's not.
[00:14:14.413 --> 00:14:15.674]  So where are they going next with this?
[00:14:15.734 --> 00:14:23.982]  Well, the next thing that they're doing is greasing the skids, giving themselves some legal cover, saying that they're going to pass CISA.
[00:14:25.014 --> 00:14:27.398]  This is something that they've tried for multiple times.
[00:14:27.458 --> 00:14:31.965]  They called it CISPA and now it is called CISA and they're getting it through.
[00:14:32.005 --> 00:14:35.571]  Nothing has really changed except dropping the P for protection.
[00:14:35.611 --> 00:14:37.775]  This is the Cybersecurity Information Sharing Act.
[00:14:38.524 --> 00:14:42.227]  It used to be the Cyber Security Information Sharing Protection Act.
[00:14:42.307 --> 00:14:44.908]  And I guess maybe people said, well, who's getting protected by this?
[00:14:44.968 --> 00:14:49.151]  Because this isn't something that is increasing the protection of individuals.
[00:14:49.171 --> 00:14:50.152]  You're spying on us.
[00:14:50.172 --> 00:14:51.313]  You're collecting our information.
[00:14:51.333 --> 00:14:52.474]  It's like, oh, well, it's there.
[00:14:52.774 --> 00:14:59.258]  The P is there to protect companies from being sued by you when they violate your privacy.
[00:14:59.278 --> 00:15:02.040]  You know, that other P word that they don't like.
[00:15:02.560 --> 00:15:05.582]  That P word that's getting banned by the government.
[00:15:06.423 --> 00:15:07.829]  This has now been passed by the Senate.
[00:15:07.849 --> 00:15:09.495]  They just need to reconcile it with the House.
[00:15:09.736 --> 00:15:11.603]  Obama has indicated that he will sign it.
[00:15:11.643 --> 00:15:12.245]  Of course he will.
[00:15:13.240 --> 00:15:16.682]  He will not shy away from any kind of surveillance.
[00:15:17.242 --> 00:15:21.184]  He said we would have the most transparent administration we had ever seen.
[00:15:21.224 --> 00:15:22.505]  That's what Obama told everybody.
[00:15:22.845 --> 00:15:28.267]  Little did you realize that the transparency was going to be on you, not on him.
[00:15:28.908 --> 00:15:30.308]  Everything they do is a secret.
[00:15:31.049 --> 00:15:34.210]  We have a state religion of national security.
[00:15:34.791 --> 00:15:36.311]  Everything is sacrificed to it.
[00:15:36.592 --> 00:15:39.333]  Your privacy, the rule of law, the Bill of Rights, the Constitution.
[00:15:40.742 --> 00:15:43.766]  But, they will not tell you anything about what they're doing.
[00:15:43.786 --> 00:15:49.073]  We've had this trade agreement, I think that was now three weeks ago, they announced that they had come up with this agreement.
[00:15:49.114 --> 00:15:57.866]  We were told for a very long time that the corporations and the corporate lobbyists who are working on this trade partnership, quote unquote, it's a treaty.
[00:15:58.871 --> 00:16:02.572]  We were told that they couldn't tell us about this because that would just scotch the whole deal.
[00:16:02.592 --> 00:16:05.834]  You know, you can't go public as this thing is being negotiated.
[00:16:05.854 --> 00:16:07.214]  We'll let you know once it's negotiated.
[00:16:07.234 --> 00:16:12.376]  Well, here we are, three weeks later, maybe four, I don't know the exact date, but it's been at least three weeks.
[00:16:13.417 --> 00:16:19.079]  We still don't have any information from our corporate masters as to what they're about to do.
[00:16:19.439 --> 00:16:22.060]  We do know that it's going to be far more than free trade.
[00:16:22.680 --> 00:16:32.023]  It is going to reorganize copyright, it's going to reorganize national sovereignty, it is going to elevate corporations to the level of government, which of course they are, aren't they?
[00:16:32.043 --> 00:16:43.807]  If they can tell our congressmen and senators that they cannot talk about what's going on with this agreement because they have to sign a non-disclosure agreement, there's that non-disclosure agreement again, right?
[00:16:45.089 --> 00:16:50.210]  NDAs all over the place, because we're operating in a corporate environment now.
[00:16:50.250 --> 00:16:51.870]  We don't have a government anymore.
[00:16:51.930 --> 00:17:00.812]  We have a multinational corporations are running this government, so they deal on non-disclosure agreements and everything that they do is secret.
[00:17:01.632 --> 00:17:13.415]  They say although CISA is branded a cyber security bill, this is from InfoWorld, and of course this is a tech organization, this is not a political organization, this is a technical organization, InfoWorld.
[00:17:14.295 --> 00:17:20.721]  They say although CISA is branded a cyber security bill, it does nothing to actually improve the effectiveness of security systems.
[00:17:21.081 --> 00:17:23.423]  This is people who understand computers telling you this.
[00:17:23.923 --> 00:17:33.752]  It's concerned instead with increasing the amount of information that corporations share with government and protecting those companies from liability for violating a customer's privacy.
[00:17:34.252 --> 00:17:50.656]  Yeah, again, like I said, it's going to legitimize it, but it will also put pressure on some of the companies that have been reluctant to turn this over, saying we would experience legal issues, we would be sued by customers if we do this, because they didn't want to turn that information over, they didn't want to violate your privacy.
[00:17:50.736 --> 00:18:01.399]  Now the government will use CISA as a club against these holdouts, telling them, no, you don't have any liability, so you don't have any reason not to give that information to me, hand it over.
[00:18:02.259 --> 00:18:03.400]  That's the way they're going to use this.
[00:18:04.080 --> 00:18:09.284]  And of course I point out that the Cyber Intelligence Sharing and Protection Act, CISPA, was introduced back in 2011.
[00:18:09.765 --> 00:18:10.225]  It failed.
[00:18:10.745 --> 00:18:11.686]  It was reintroduced in 2013.
[00:18:12.146 --> 00:18:15.189]  It was failed again last year.
[00:18:15.209 --> 00:18:19.432]  And he mentioned that protection was stripped out and they have now pushed this thing through.
[00:18:19.452 --> 00:18:24.115]  And of course Aaron Schwartz worked very hard to defeat that.
[00:18:24.316 --> 00:18:26.717]  I would say that he gave his life to defeat that.
[00:18:26.777 --> 00:18:29.279]  I don't believe that he killed himself in desperation.
[00:18:29.379 --> 00:18:31.041]  That's the official narrative from the government.
[00:18:32.072 --> 00:18:36.317]  People who knew him said they were absolutely blindsided by this.
[00:18:36.357 --> 00:18:42.002]  How many times do we have to have someone that the government tells us committed suicide in prison or whatever?
[00:18:42.343 --> 00:18:43.844]  How many times does that have to happen?
[00:18:44.585 --> 00:18:46.907]  And they're all saying, hey, I'm fine.
[00:18:46.967 --> 00:18:48.028]  I'm fighting this to the end.
[00:18:48.168 --> 00:18:51.512]  And everybody that they know says they were well adjusted.
[00:18:51.572 --> 00:18:52.373]  They were a fighter.
[00:18:52.433 --> 00:18:53.454]  They were going after this.
[00:18:53.494 --> 00:18:54.194]  And then all of a sudden,
[00:18:55.029 --> 00:19:01.916]  They commit suicide, you know, like Gary Webb or the DC Madam or so many different people that we've talked to.
[00:19:01.936 --> 00:19:06.060]  And of course, Aaron Schwartz was a fighter.
[00:19:06.140 --> 00:19:07.562]  He picked this fight with them.
[00:19:07.622 --> 00:19:09.023]  He wasn't shying away from this.
[00:19:09.103 --> 00:19:12.286]  And although you had a prosecutor, interestingly enough,
[00:19:12.867 --> 00:19:31.892]  The same prosecutor, Carmen Ortiz, who was involved in the subsequent Boston bombing false flag, even though Carmen Ortiz was pushing him and publicly saying that they were going to try to put him in prison for 35 years, the charges had been dropped by the university, the charges had been dropped at the local level.
[00:19:31.912 --> 00:19:32.992]  He said that's not anything.
[00:19:33.032 --> 00:19:34.133]  He had removed some data.
[00:19:34.153 --> 00:19:38.934]  It wasn't any kind of a cyber hack or anything, but the feds came in and tried to make an issue out of it.
[00:19:40.018 --> 00:19:43.361]  And she got a lot of pushback because she was trying to prosecute him.
[00:19:44.181 --> 00:19:48.905]  Her husband tweeted and said, don't push back on Carmen.
[00:19:48.945 --> 00:19:51.887]  She offered him a three month plea bargain and he turned it down.
[00:19:52.588 --> 00:19:54.790]  That tweet was subsequently deleted.
[00:19:55.390 --> 00:19:56.951]  I don't think he committed suicide.
[00:19:57.331 --> 00:20:02.015]  And now we have Sissa, because one person can make a difference.
[00:20:02.095 --> 00:20:03.376]  That's why they take them out.
[00:20:03.696 --> 00:20:04.177]  Stay with us.
[00:20:04.457 --> 00:20:07.119]  We're going to tell you what Julian Assange says to do next.
[00:20:07.199 --> 00:20:08.920]  And that is use snail mail.
[00:20:09.000 --> 00:20:09.621]  We'll be right back.
[00:20:09.741 --> 00:20:16.063]  My name is Bill Bunner, and I'm the president of the largest private news and research network in the world.
[00:20:16.463 --> 00:20:21.405]  And I paid for this airtime because I have an important message to the American people.
[00:20:21.945 --> 00:20:25.946]  There's a change coming that the government isn't telling you about.
[00:20:26.486 --> 00:20:30.327]  This change has deep implications for life in America.
[00:20:30.768 --> 00:20:35.029]  From where you shop, to the doctors you visit, and the family you want to protect.
[00:20:35.609 --> 00:20:38.350]  Look, I've made predictions like this before.
[00:20:38.730 --> 00:20:40.950]  Thing is, I was right then, too.
[00:20:41.690 --> 00:20:45.631]  A few years ago, I warned that housing prices would collapse.
[00:20:46.091 --> 00:20:46.591]  They did.
[00:20:47.192 --> 00:20:51.613]  Before that, I warned that dot-com companies would crash.
[00:20:52.253 --> 00:20:52.713]  They did.
[00:20:52.733 --> 00:20:56.694]  Those who listened had a chance to save themselves.
[00:20:57.254 --> 00:20:59.254]  But this has nothing to do with the stock market.
[00:20:59.614 --> 00:21:00.815]  This will affect us all.
[00:21:01.135 --> 00:21:02.975]  You can watch the video for free right now.
[00:21:03.495 --> 00:21:13.561]  Many of the products at Infowarslife.com are true game changers.
[00:21:13.581 --> 00:21:17.863]  They are compounds that in many areas of the world are actually sold by prescription.
[00:21:17.883 --> 00:21:25.167]  But when we look at a product like Survival Shield Nason Iodine X2, it's something that really has been hiding in plain view for over a hundred years.
[00:21:25.327 --> 00:21:35.816]  The federal government mandated from the 20s until the 70s that iodine, a crude form of it, be added to table salt because of the incredible health problems that dietary deficiency in iodine was causing.
[00:21:35.976 --> 00:21:39.299]  I want to challenge the listeners who've not tried X2 for yourselves.
[00:21:39.499 --> 00:21:40.520]  What do you have to lose?
[00:21:40.620 --> 00:21:43.302]  You are the tip of the spear in the fight for human liberty and
[00:21:43.422 --> 00:21:45.403]  You wouldn't go swimming with sharks without a cage, would you?
[00:22:12.938 --> 00:22:13.200]  Hey!
[00:22:13.341 --> 00:22:14.649]  Has anyone seen Larry?
[00:22:15.922 --> 00:22:20.183]  It's in our nature to protect ourselves, especially when protection is simple and affordable.
[00:22:20.424 --> 00:22:26.306]  That's why IDStronghold.com has been providing affordable RFID protection for over 10 years.
[00:22:26.706 --> 00:22:36.569]  IDStronghold wallets protect you from electronic pickpockets who pass near you with a scanner and steal your credit and debit card info, as well as data from other cards containing RFID chips.
[00:22:37.009 --> 00:22:45.272]  IDStronghold.com, the original maker of shielded wallets, is a technology company, so we understand how to best protect you against intrusive radio waves.
[00:22:45.552 --> 00:22:51.597]  ID Stronghold wallets are designed to block RFID signals, open or close, no matter where on the wallet you put your cards.
[00:22:51.817 --> 00:22:57.802]  Most other RFID wallets on the market were designed with only fashion in mind and don't shield properly, if at all.
[00:22:58.002 --> 00:23:03.767]  If you're shopping for your next wallet, be sure to get the protection you deserve by going to idstronghold.com.
[00:23:03.907 --> 00:23:07.530]  Because getting anything else is like being the next victim in a Jaws movie.
[00:23:08.732 --> 00:23:09.632]  Hey, Berky Guy here.
[00:23:09.712 --> 00:23:11.433]  Are you still drinking unfiltered tap water?
[00:23:11.553 --> 00:23:13.253]  Does your water contain chlorine or fluoride?
[00:23:13.313 --> 00:23:15.154]  Will you have drinkable water in an emergency?
[00:23:15.274 --> 00:23:21.155]  The Berky Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:21.275 --> 00:23:24.816]  We offer Berky Water Purification Systems at the lowest available prices online.
[00:23:24.916 --> 00:23:26.837]  Don't go another moment without Berky System.
[00:23:26.877 --> 00:23:29.898]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:29.998 --> 00:23:33.179]  Join them by visiting GoBerky.com or call me, the Berky Guy, at 877-886-3653.
[00:23:33.199 --> 00:23:33.399]  That's 877-886-3653.
[00:23:38.340 --> 00:23:42.802]  KDArmor.com is your one-stop shop for the most affordable body armor period.
[00:23:42.882 --> 00:23:47.265]  With packages starting at $169.99 and free shipping on every order.
[00:23:47.445 --> 00:23:48.925]  Why would you go anywhere else?
[00:23:49.146 --> 00:23:53.308]  KD offers soft armor and rifle threat rated armor up to level 4.
[00:23:53.488 --> 00:23:57.070]  Go to KDArmor.com and get your body armor today while you still can.
[00:23:57.190 --> 00:24:02.852]  Mention this ad and receive a free water purification kit for a limited time with any body armor package.
[00:24:02.993 --> 00:24:04.293]  Go to KDArmor.com.
[00:24:04.413 --> 00:24:06.514]  That's KDArmor.com.
[00:24:06.574 --> 00:24:07.395]  Come and take it.
[00:24:17.987 --> 00:24:19.287]  Welcome back to the Alex Jones Show.
[00:24:19.327 --> 00:24:20.508]  I'm David Knight, your host.
[00:24:21.348 --> 00:24:24.849]  We've had a NSA lawsuit that you will not believe.
[00:24:24.869 --> 00:24:27.630]  I mean, this is something straight out of a Kafka novel.
[00:24:28.250 --> 00:24:29.670]  I'll tell you about that in just a moment.
