[00:00:00.131 --> 00:00:00.495]  I'm good.
[00:02:38.160 --> 00:02:49.287]  This will be an important interview, not just for this broadcast, the Liberty Movement, but the questions that will be asked are going to be very, very important and will definitely have an effect on a lot of things happening on the planet.
[00:02:50.127 --> 00:02:51.548]  Let's look at some of these headlines.
[00:02:51.568 --> 00:02:54.570]  EU has been caught in secret deals with Turkey to bring in the illegals.
[00:02:55.270 --> 00:03:00.614]  But you don't just think Turkey opened its border up and told folks they could only traverse Turkey but couldn't stay there.
[00:03:00.634 --> 00:03:03.796]  Kind of like Mexico did with Central and South America.
[00:03:03.836 --> 00:03:05.917]  That was a public deal that was secret at first.
[00:03:07.520 --> 00:03:14.604]  Well, now it's come out in mainstream news, we'll be covering that, Globe and Mail and others, that they have a secret deal with Turkey that's now gone public.
[00:03:14.864 --> 00:03:17.306]  And now they're going to bring in hundreds of thousands, if not millions more.
[00:03:18.450 --> 00:03:20.751]  On top of the four million that have already been brought in.
[00:03:21.532 --> 00:03:22.272]  That's coming up.
[00:03:22.612 --> 00:03:23.413]  Trump was right.
[00:03:23.473 --> 00:03:28.715]  Video describes how Jersey City Muslims held pre-planned 9-11 rooftop celebrations.
[00:03:29.336 --> 00:03:30.636]  I remember this at the time.
[00:03:30.656 --> 00:03:32.937]  So I actually had the crew go dig around.
[00:03:33.478 --> 00:03:35.379]  We found a Washington Post about it first.
[00:03:35.499 --> 00:03:37.000]  Trump tweeted it last weekend.
[00:03:37.720 --> 00:03:39.061]  And now they found New York Post.
[00:03:39.081 --> 00:03:43.223]  And now we have Dan Rather coming out and saying it on
[00:03:44.690 --> 00:03:45.611]  National television.
[00:03:46.191 --> 00:03:46.671]  Years ago.
[00:03:46.792 --> 00:03:51.115]  So I guess he's evil too and making stuff up now that he's against the Democrats when he is a Democrat.
[00:03:52.776 --> 00:03:53.657]  So that's coming up.
[00:03:53.877 --> 00:03:55.318]  He's been 100% vindicated.
[00:03:56.399 --> 00:03:57.619]  Iraqis think the U.S.
[00:03:57.780 --> 00:04:00.822]  is in cahoots with the Islamic State and is hurting the war.
[00:04:00.842 --> 00:04:01.822]  Well, they don't think that.
[00:04:01.883 --> 00:04:02.463]  They know that.
[00:04:02.503 --> 00:04:03.364]  They've documented it.
[00:04:03.604 --> 00:04:04.985]  But there it is in the Washington Post.
[00:04:05.465 --> 00:04:08.828]  Donald Trump dares to say that Turkey looks like they're on the side of ISIS.
[00:04:09.872 --> 00:04:24.023]  Well, it's been proven, and now Russian President has released proof of Turkey's role in ISIS oil trade with satellite photos and video surveillance of the border, of the big terminals where the oil is brought in.
[00:04:25.804 --> 00:04:30.528]  It's like a McDonald's truck pulling up and offloading frozen beef patties at a McDonald's.
[00:04:30.568 --> 00:04:32.930]  It's like, is this truck in cahoots with McDonald's?
[00:04:33.230 --> 00:04:35.752]  It's got McDonald's on the side, it's pulling up, delivering.
[00:04:37.210 --> 00:04:39.331]  It's backing up, going beep, beep, beep, beep.
[00:04:39.411 --> 00:04:40.872]  I mean, it's not rocket science.
[00:04:41.192 --> 00:04:43.394]  And Ergun said he'd resign if this could be proven.
[00:04:43.774 --> 00:04:46.816]  Well, that's NBC News reporting on all that.
[00:04:47.476 --> 00:04:49.538]  So that's some of what's coming up today.
[00:04:51.499 --> 00:04:53.560]  Jeb Bush hints his VP pick could be a woman.
[00:04:55.441 --> 00:04:56.122]  I'll give you a hint.
[00:04:56.142 --> 00:05:00.004]  It's not Jeb Bush that's coming on in about 25 minutes.
[00:05:00.524 --> 00:05:01.285]  I'm Alex Jones.
[00:05:01.305 --> 00:05:01.765]  Stay with us.
[00:05:01.845 --> 00:05:02.746]  InfoWars.com.
[00:05:02.806 --> 00:05:05.467]  The Nightly News is InfoWarsNews.com.
[00:05:05.708 --> 00:05:06.148]  Stay with us.
[00:05:09.204 --> 00:05:17.410]  Obama's trip to the UN Global Warming Summit emits more CO2 than driving 72 cars for a year, reports the Daily Caller.
[00:05:17.571 --> 00:05:24.076]  The trip will send more CO2 into the atmosphere than 31 American homes' energy usage for an entire year.
[00:05:24.716 --> 00:05:28.377]  That's equivalent to burning 368,331 pounds of coal or 797 barrels of oil, according to the EPA.
[00:05:28.437 --> 00:05:32.959]  Just one leg of the President's Sunday trip to Paris emitted 189 tons of CO2 after traveling 3,855 miles and burning 19,275 gallons of jet fuel.
[00:05:48.764 --> 00:05:57.175]  According to daily caller calculations, the president has been criticized for leaving a massive carbon footprint in the name of fighting climate change.
[00:05:57.576 --> 00:06:01.000]  Plane rides, hotel stays, and armored convoys.
[00:06:01.441 --> 00:06:05.185]  You can find more reports on InfoWars.com.
[00:06:08.945 --> 00:06:10.286]  I want more candy!
[00:06:10.306 --> 00:06:11.327]  I want more video games!
[00:06:11.367 --> 00:06:11.907]  Mine!
[00:06:12.147 --> 00:06:12.267]  Mine!
[00:06:12.287 --> 00:06:12.367]  Mine!
[00:06:38.885 --> 00:06:39.706]  We're good to go.
[00:07:06.786 --> 00:07:08.447]  At Infowarslife.com.
[00:07:08.727 --> 00:07:11.888]  We have been fighting this war tirelessly with you at our side.
[00:07:12.028 --> 00:07:13.188]  Day in and day out.
[00:07:13.388 --> 00:07:16.909]  Exposing the ludicrous lies and criminal operations of the globalists.
[00:07:17.070 --> 00:07:19.090]  And we're starting to see big effects.
[00:07:19.410 --> 00:07:20.931]  And the word is getting out.
[00:07:21.291 --> 00:07:23.172]  The globalists want to make us dependent.
[00:07:23.352 --> 00:07:26.753]  And as Napoleon famously said, an army marches on its stomach.
[00:07:27.093 --> 00:07:30.654]  Ammunition, food and supplies form the backbone of any offensive.
[00:07:30.914 --> 00:07:32.075]  Including the Infowar.
[00:07:32.595 --> 00:07:35.516]  And our enemies admit they're losing the Infowar.
[00:07:35.796 --> 00:07:39.341]  We are in an information war, and we are losing that war.
[00:07:39.541 --> 00:07:45.829]  With this in mind, we have held strong to our principles and the decision to refuse any money from globalists or government.
[00:07:46.049 --> 00:07:52.798]  We are funding our crusade against tyranny the old-fashioned way, with pure free-market, free-will capitalism.
[00:07:53.038 --> 00:08:02.386]  Visit InfoWarsTore.com today or call 888-253-3139 and take advantage of free shipping right through December 18th and get your order before Christmas.
[00:08:02.766 --> 00:08:07.951]  May God bless you and your family and keep us strong as we forge ahead in this battle for humanity.
[00:08:22.350 --> 00:08:28.665]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:36.314 --> 00:08:43.060]  This is how a new dark age, ruled by a totalitarian new world order, is ushered in.
[00:08:43.800 --> 00:08:56.932]  345 global sycophants burned 300,000 tons of carbon dioxide to meet in Paris to impose a legally binding carbon taxation plan that will be proactively enforcing climate justice.
[00:08:57.472 --> 00:09:03.017]  The first legally binding carbon reduction plan the people of the world have faced.
[00:09:03.277 --> 00:09:08.719]  This afternoon, French police fired tear gas at a group of demonstrators close to the Place de la République.
[00:09:08.899 --> 00:09:16.001]  There was a planned demonstration, a climate change protest demonstration, that was supposed to happen today.
[00:09:16.101 --> 00:09:23.643]  Hundreds of thousands, indeed, were expected, but it was cancelled because, as you know, there's a state of emergency in the country at the moment after the terror attacks in Paris.
[00:09:24.183 --> 00:09:30.305]  And we salute the people of Paris for insisting this crucial conference go on.
[00:09:31.778 --> 00:09:38.780]  An act of defiance that proves nothing will deter us from building the future we want for our children.
[00:09:39.660 --> 00:09:46.042]  Obama has already spent $784,825 on his motorcade alone.
[00:09:46.402 --> 00:09:55.085]  The New York Daily News reports, President Obama's flight to the City of Lights emitted roughly 189 tons of carbon alone, burning 19,275 gallons of jet fuel, reports the Daily Caller.
[00:10:01.727 --> 00:10:09.129]  His entire trip will send more carbon dioxide into the air than the combined emissions from 31 U.S.
[00:10:09.169 --> 00:10:11.489]  homes over the span of a year.
[00:10:12.210 --> 00:10:17.071]  When you don't have to worry about a positive return on investment, you can waste a lot of taxpayer money.
[00:10:17.091 --> 00:10:21.972]  There's hard-working Americans whose money has been invested, and I keep hearing this, that there's an element of risk.
[00:10:23.452 --> 00:10:29.214]  And I understand there's an element of risk, but when you take hard-earned American tax dollars and you throw it
[00:10:30.359 --> 00:10:33.426]  Add an agenda, rather than add a strategy.
[00:10:34.047 --> 00:10:35.129]  And you see the waste.
[00:10:35.229 --> 00:10:38.757]  Only in this town can you squander money and not worry about it because there's an endless supply of it.
[00:10:39.598 --> 00:10:41.683]  Man, if you don't have enough money for that project, don't worry.
[00:10:42.443 --> 00:10:43.104]  We'll get more money.
[00:10:43.264 --> 00:10:47.267]  We'll just raise taxes and we'll throw some more money at that and we'll reallot money to you.
[00:10:47.367 --> 00:10:49.108]  I think that's really where we're at today.
[00:10:49.428 --> 00:10:51.069]  The State Department spent $407,868 on limos.
[00:10:51.089 --> 00:10:52.871]  The contracted propaganda press spent $376,957 when it was all tallied up.
[00:11:02.898 --> 00:11:19.357]  The American taxpayers have already spent $1,805,282 to send a group of elitist New World Order stooges to another country to legally scale back their taxpayers' living standards through incorporated Agenda 21 initiatives.
[00:11:21.119 --> 00:11:26.365]  Once again, the liberal sociopaths are ignoring the scientific facts and statistics.
[00:11:26.565 --> 00:11:34.595]  Instead, pulling out our heartstrings and ramming lies and guilt down our throats in order to achieve their New World Order agenda.
[00:11:35.936 --> 00:11:36.416]  I don't know.
[00:11:54.250 --> 00:12:03.637]  Most sufferers of Stockholm Syndrome will tell you that Obama and company need that money, because they are important people, making important decisions.
[00:12:03.917 --> 00:12:21.990]  However, the importance of any of these New World Order lackeys will likely be as a stain in the footnote of history, where stupidity, hubris, and greed raised its grisly, self-important criminal head to once again challenge humanity's intelligence and resolve.
[00:12:22.410 --> 00:12:29.535]  After 1989, President Bush said, and it's a phrase that I often use myself, that we needed a new world order.
[00:12:29.815 --> 00:12:31.756]  John Bowne for InfoWars.com.
[00:12:33.477 --> 00:12:40.502]  Ladies and gentlemen, another powerful report for InfoWars.com investigative journalist John Bowne.
[00:12:41.414 --> 00:12:44.215]  And we have a bunch of very informative guests today.
[00:12:44.255 --> 00:12:53.099]  Let me tell you some of the guests that are going to be coming up here in the next three and a half, four hours, because we've now added, of course, the fourth hour of worldwide broadcast.
[00:12:53.119 --> 00:12:56.361]  So the next three hours and 38 minutes to be technical.
[00:12:58.332 --> 00:13:07.060]  We have Ted Nugent joining us, long-time friend of the show and listener, to talk about the situation with the election, the Second Amendment, the radical Islamic invasion and more.
[00:13:07.481 --> 00:13:20.112]  Lord Monckton will join us from Science and Public Policy, 4infowars.com, reporting from Paris, France, inside the Global Government Conference, the most attended conference in history by world leaders.
[00:13:20.773 --> 00:13:21.233]  The biggest
[00:13:22.074 --> 00:13:26.521]  Conflagration of world leaders ever not just for a UN conference.
[00:13:27.181 --> 00:13:34.792]  This is a big one and David Knight will be hosting in the fourth hour today and I will assure you
[00:13:38.171 --> 00:13:41.994]  He will be talking about the guests we have joining us in about 17 minutes from now.
[00:13:42.054 --> 00:13:43.735]  That will be the fourth hour.
[00:13:43.775 --> 00:13:52.341]  We'll be re-airing parts of the interview and obviously covering news coverage of the interview that is coming up.
[00:13:52.401 --> 00:13:56.624]  And at the start of the next segment, I will tell you, well, I will direct you to DrudgeReport.com.
[00:13:58.700 --> 00:14:18.586]  Here in the next six, seven minutes with a link that will take you to the audio and video feed where you can obviously see and hear that interview and share that link with friends and family so they can tune in and hear what's talked about because it's not just going to be a big interview because this person's basically the biggest interview you can get in the world right now.
[00:14:18.946 --> 00:14:21.086]  It's because this individual will be on this show.
[00:14:21.766 --> 00:14:23.487]  And so it's like a chemistry set.
[00:14:23.527 --> 00:14:25.587]  You add those two ingredients together.
[00:14:25.667 --> 00:14:26.928]  It's called explosive.
[00:14:27.822 --> 00:14:32.983]  And the individual coming on knows full well that's why this is being done.
[00:14:34.643 --> 00:14:40.384]  So, look for that in about 16-17 minutes from now.
[00:14:40.564 --> 00:14:44.945]  Ted Nugent, Lord Monckton, and others here on the broadcast today.
[00:14:44.965 --> 00:14:50.706]  And the reason I get so excited about this is learning some things behind the scenes.
[00:14:51.246 --> 00:14:53.646]  It's very exciting to see how awake people are.
[00:14:54.887 --> 00:14:56.807]  People that I wasn't sure about.
[00:14:57.802 --> 00:15:00.143]  A year ago, six months ago, even three or four months ago.
[00:15:01.404 --> 00:15:05.266]  And then to find out that, sure enough, people know a lot more they're even letting on to.
[00:15:05.966 --> 00:15:07.127]  There is a battle, folks.
[00:15:07.187 --> 00:15:09.568]  In fact, that's one of the questions I didn't write down that I want to get to.
[00:15:10.829 --> 00:15:12.810]  The internal battle in the government right now.
[00:15:13.570 --> 00:15:19.873]  The secret war for the heart of America.
[00:15:19.893 --> 00:15:21.354]  What's going on?
[00:15:21.374 --> 00:15:26.557]  There are a lot of good people in the government and in the media who do not want to destroy the country and be slaves.
[00:15:29.565 --> 00:15:49.272]  And there is, what I've already told about from generals and congressmen and women and senators on and off record, that this fight's been intensifying the last few years and now has reached fever pitch, basically almost at the level it was in 1944 in Germany when they ran Operation Valkyrie to try to take Hitler out.
[00:15:50.753 --> 00:15:53.914]  But this war is not being run with plastic explosives.
[00:15:55.179 --> 00:16:06.029]  With members of the General Staff trying to blow Hitler up, it's being done in an information war, because in the modern world, as the Pentagon has said, 90% of war is informational.
[00:16:06.830 --> 00:16:11.174]  And old Hillary told Congress a few years ago they're losing the info war.
[00:16:12.095 --> 00:16:20.103]  And as a 21-year talk show host, I don't want to say I'm an expert on the info war, even though 18 years ago I dubbed the show Info Wars.
[00:16:22.329 --> 00:16:29.639]  But we focus on the Info War quite a bit, and that's why Info Wars is such a big focal point in the Info War.
[00:16:31.161 --> 00:16:35.246]  There are stranger things in heaven and earth and in all those books, isn't there?
[00:16:35.767 --> 00:16:38.691]  There's such a thing as providence and fate in this world.
[00:16:40.020 --> 00:16:48.903]  I don't think the globalists really estimated properly the type of fight they'd get when they got down to the wire butchering this country and destroying it forever.
[00:16:49.463 --> 00:16:50.763]  Let's get into some of the top stories.
[00:16:51.464 --> 00:16:58.786]  I remember when Donald Trump came out two weeks ago and said that Muslims were celebrating by the thousands, radical Muslims, the downing of the World Trade Centers.
[00:16:59.960 --> 00:17:14.103]  And I remembered like it was in the New York Post, I mentioned this a few weeks ago, and it was in the BBC, and they were doing it in Palestine, they were doing it in Saudi Arabia, in Mexico, folks in Mexico City were booing the U.S.
[00:17:14.143 --> 00:17:17.024]  team and chanting Osama Bin Laden.
[00:17:17.124 --> 00:17:23.285]  I remember hearing about it in New Jersey and New York, people being kicked out of school because they were celebrating groups.
[00:17:24.864 --> 00:17:27.184]  And saying, you know, God is great, the towers have been brought down.
[00:17:27.204 --> 00:17:27.885]  I remember seeing it.
[00:17:28.265 --> 00:17:30.445]  So I had our crew go dig through it.
[00:17:30.505 --> 00:17:34.866]  Watson found a couple articles, Washington Post, a few others, New York Post.
[00:17:36.226 --> 00:17:38.347]  And that kind of checkmated him for a while.
[00:17:38.847 --> 00:17:42.067]  But now we found Dan Rather saying it and everybody else.
[00:17:43.207 --> 00:17:46.168]  And so the mainstream media is going, oh, Trump exaggerated now.
[00:17:46.248 --> 00:17:46.688]  No, he didn't.
[00:17:46.948 --> 00:17:51.469]  There were thousands of radical Muslims that celebrated it, just like at two different sporting events last week.
[00:17:53.763 --> 00:17:57.387]  During the minute of silence for the dead people in France, there was Allah Akbar chants.
[00:17:58.248 --> 00:17:59.329]  I mean, did that not happen too?
[00:17:59.349 --> 00:18:00.711]  That was tens of thousands chanting.
[00:18:01.011 --> 00:18:02.012]  If not hundreds of thousands.
[00:18:02.292 --> 00:18:04.415]  Let's go ahead and go to this compilation, breaking it down.
[00:18:06.340 --> 00:18:08.421]  Did you guys know that they were dancing in the streets of Patterson?
[00:18:08.441 --> 00:18:09.442]  They were all dancing in the streets.
[00:18:09.502 --> 00:18:10.422]  My brother worked there.
[00:18:10.542 --> 00:18:11.102]  He was driving.
[00:18:11.142 --> 00:18:12.923]  He saw people dancing in the streets.
[00:18:13.163 --> 00:18:14.784]  There's another apartment building.
[00:18:15.444 --> 00:18:18.986]  One that an investigator told me, quote, is swarming with suspects.
[00:18:19.406 --> 00:18:25.049]  Suspects, who I'm told, were cheering on the roof when they saw the plane slam into the Trade Center.
[00:18:25.429 --> 00:18:29.791]  Police were called to the building by other neighbors and found eight men celebrating.
[00:18:30.192 --> 00:18:31.712]  Six of them... I look up here and I see...
[00:18:35.775 --> 00:18:37.176]  A lot of people.
[00:18:38.117 --> 00:18:41.560]  And they were just chanting and raving and... We're gonna go to break.
[00:18:41.580 --> 00:18:42.041]  Hit pause.
[00:18:42.081 --> 00:18:44.843]  When we come back, we're gonna come back with Dan Rather.
[00:18:46.385 --> 00:18:47.426]  Dan Rather, talking back.
[00:18:47.506 --> 00:18:49.347]  Because I want to play the whole clip uninterrupted.
[00:18:50.649 --> 00:18:51.810]  Oh, I guess we've got time until break.
[00:18:51.830 --> 00:18:53.471]  Let's keep rolling it now.
[00:18:53.511 --> 00:18:53.812]  Here it is.
[00:18:55.532 --> 00:19:00.173]  And they were saying burn America and, you know, all these things about America.
[00:19:00.934 --> 00:19:02.954]  There's several witnesses who say this happened.
[00:19:03.274 --> 00:19:05.695]  They got on the roof of the building to look across.
[00:19:05.735 --> 00:19:06.815]  They knew what was going to happen.
[00:19:06.835 --> 00:19:08.476]  They were waiting for it to happen.
[00:19:08.616 --> 00:19:10.636]  And when it happened, they celebrated.
[00:19:10.656 --> 00:19:12.857]  They jumped for joy.
[00:19:14.685 --> 00:19:18.608]  Everyone that was out there, there were only 13, maybe 14 at most.
[00:19:18.928 --> 00:19:19.529]  They were kids.
[00:19:19.589 --> 00:19:20.710]  They didn't know what they were doing.
[00:19:21.150 --> 00:19:23.131]  But they had so much hate, and they were doing that.
[00:19:23.152 --> 00:19:24.372]  It was just so sad.
[00:19:24.453 --> 00:19:25.754]  It was so sad.
[00:19:33.630 --> 00:19:35.611]  MTV, but let's just get past that, okay?
[00:19:36.171 --> 00:19:54.101]  The point is, radical Muslims all over the world, from Indonesia, to Saudi Arabia, to Palestine, to the Gaza Strip, celebrated it, and anybody who has a memory remembers that, and the mainstream corporate whore media wanted to lie to everybody, and just say it didn't happen.
[00:19:54.861 --> 00:19:57.925]  And then demonize Donald Trump because he said it was happening.
[00:19:57.945 --> 00:20:01.670]  It's like Donald Trump says the sky is blue and they spend two weeks saying he's a liar.
[00:20:02.071 --> 00:20:02.912]  No, it is blue.
[00:20:03.693 --> 00:20:06.456]  And the bottom line is there was celebration all over the world.
[00:20:06.937 --> 00:20:07.938]  And they've been proven wrong again.
[00:20:09.491 --> 00:20:12.492]  My name is Bill Bonner, and I have an important message.
[00:20:12.792 --> 00:20:17.954]  Right now, the highest levels of government are struggling against an inevitable crisis.
[00:20:18.274 --> 00:20:20.195]  But they're about to lose control.
[00:20:20.555 --> 00:20:25.556]  When this happens, it will rip our country apart in ways you never imagined.
[00:20:25.876 --> 00:20:30.338]  From where we shop, to the doctors you visit, and the family you want to protect.
[00:20:30.458 --> 00:20:32.499]  Look, I've made predictions like this before.
[00:20:32.859 --> 00:20:36.361]  A few years ago, I warned that the housing prices would collapse.
[00:20:36.701 --> 00:20:40.763]  Before that, I warned that dot-com companies would crash, and they did.
[00:20:41.223 --> 00:20:44.124]  Those who listened had a chance to save themselves.
[00:20:44.344 --> 00:20:46.765]  But this has nothing to do with the stock market.
[00:20:46.925 --> 00:20:48.206]  This will affect us all.
[00:20:48.786 --> 00:20:53.227]  I've posted a free video at DollarDanger.com.
[00:20:53.507 --> 00:20:59.769]  Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[00:20:59.909 --> 00:21:05.791]  You can watch the video for free right now by going to DollarDanger.com.
[00:21:06.011 --> 00:21:07.992]  Again, that's DollarDanger.com.
[00:21:09.392 --> 00:21:13.095]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:21:13.275 --> 00:21:18.058]  What if I told you for just $54.95 a month, you could fight against heart disease naturally?
[00:21:18.278 --> 00:21:22.981]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:21:23.101 --> 00:21:24.402]  Don't just take my word for it.
[00:21:24.442 --> 00:21:28.125]  Check out all of the success stories at HBExtract.com.
[00:21:28.225 --> 00:21:29.165]  Or to order, call 866-295-5305.
[00:21:29.225 --> 00:21:29.566]  That's 866-295-5305.
[00:21:29.586 --> 00:21:30.106]  HBExtract.com.
[00:21:30.146 --> 00:21:32.448]  Don't risk it when you can take charge of it.
[00:21:39.432 --> 00:21:42.674]  This holiday season, give your loved ones the gift of preparedness.
[00:21:42.854 --> 00:21:49.638]  Food Insurance, America's most trusted provider of freeze-dried emergency food, is offering weekly specials throughout November and December.
[00:21:49.798 --> 00:21:53.320]  With these unheard-of savings, the time to prepare your family is now.
[00:21:53.540 --> 00:21:57.762]  Our meals are delicious, nutritious, and come with a guaranteed 25-year shelf life.
[00:21:57.902 --> 00:22:03.545]  We're so confident you'll love our meals that we're sending a free freeze-dried meal to every listener of this program.
[00:22:03.665 --> 00:22:06.947]  Go to foodinsurance.com and request your free meal today.
[00:22:07.127 --> 00:22:08.288]  That's foodinsurance.com.
[00:22:09.168 --> 00:22:18.475]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:18.595 --> 00:22:22.918]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:23.018 --> 00:22:29.822]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:30.022 --> 00:22:31.764]  Buy now at DefenderShield.com.
[00:22:31.884 --> 00:22:34.125]  For 10% off, use promo code GCN.
[00:22:34.285 --> 00:22:37.808]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:38.809 --> 00:22:42.770]  With a new year coming, it's time for a new way to look at weapon storage.
[00:22:43.070 --> 00:22:46.171]  Safes can't be accessed quickly and racks are unsafe for children.
[00:22:46.311 --> 00:22:48.812]  Covert Cabinets are the next level in home defense.
[00:22:48.892 --> 00:22:54.293]  They fit seamlessly into any home's decor and they provide quick access to firearms while keeping them uniquely hidden.
[00:22:54.333 --> 00:22:56.894]  Covert Cabinets, the ideal hidden storage solution.
[00:22:56.934 --> 00:22:58.334]  Custom made in the USA.
[00:22:58.434 --> 00:23:03.896]  Covert Cabinets are an elegant and practical alternative to the bulky and obvious storage systems of the past.
[00:23:03.956 --> 00:23:06.096]  Find out more at CovertCabinets.com.
[00:23:06.136 --> 00:23:07.397]  That's CovertCabinets.com.
[00:23:08.530 --> 00:23:09.410]  Hey, Berkey Guy here.
[00:23:09.510 --> 00:23:11.211]  Are you still drinking unfiltered tap water?
[00:23:11.331 --> 00:23:13.032]  Does your water contain chlorine or fluoride?
[00:23:13.092 --> 00:23:14.932]  Will you have drinkable water in an emergency?
[00:23:15.052 --> 00:23:20.935]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:21.055 --> 00:23:24.596]  We offer Berkey water purification systems at the lowest available prices online.
[00:23:24.696 --> 00:23:26.637]  Don't go another moment without a Berkey system.
[00:23:26.657 --> 00:23:29.678]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:29.778 --> 00:23:33.019]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:33.039 --> 00:23:33.219]  That's 877-886-3653.
[00:23:38.061 --> 00:23:46.986]  KDArmor.com is your one-stop shop for the most affordable body armor period with packages starting at $169.99 in free shipping on every order.
[00:23:47.006 --> 00:23:48.647]  Why would you go anywhere else?
[00:23:48.868 --> 00:23:53.010]  KD offers soft armor and rifle threat rated armor up to level 4.
[00:23:53.210 --> 00:23:56.772]  Go to KDArmor.com and get your body armor today while you still can.
[00:23:56.913 --> 00:24:02.536]  Mention this ad and receive a free water purification kit for a limited time with any body armor package.
[00:24:02.556 --> 00:24:04.017]  Go to KDArmor.com.
[00:24:04.137 --> 00:24:06.238]  That's KDArmor.com.
[00:24:06.318 --> 00:24:07.119]  Come and take it.
[00:24:09.332 --> 00:24:14.356]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:24:14.736 --> 00:24:17.018]  Because there's a war on for your mind.
[00:24:32.213 --> 00:24:37.657]  Well there's the headline at DrudgeReport.com, if you're a TV viewer, radio listener, go to DrudgeReport.com.
[00:24:38.678 --> 00:24:42.401]  60 days to Iowa, Trump dominates in every major poll.
[00:24:43.362 --> 00:24:49.487]  Despite the fact that we're seeing push polls and headlines saying Trump's lead drops.
[00:24:49.527 --> 00:24:51.348]  We just keep hearing that for the last few months.
[00:24:51.849 --> 00:24:55.632]  This is a clear attempt to drive down
[00:24:57.079 --> 00:24:57.219]  Yes.
[00:25:17.059 --> 00:25:20.421]  To basically stir up cultural and racial division.
[00:25:20.461 --> 00:25:27.164]  This is part of the left's plan to destabilize the country with civil unrest ahead of the 2016 election.
[00:25:27.745 --> 00:25:29.225]  Are there some problems with corrupt police?
[00:25:29.365 --> 00:25:29.926]  Absolutely.
[00:25:30.406 --> 00:25:38.690]  I literally wrote the book on it, as everybody knows, on the police state, trying to stop our police being turned into globalized, federalized robo-cops.
