[00:00:00.070 --> 00:00:00.332]  The show.
[00:05:58.829 --> 00:06:05.093]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:06:05.473 --> 00:06:08.275]  Infidel Body Armor just won't quit.
[00:06:09.947 --> 00:06:12.369]  InfoWarsLife.com.
[00:06:12.570 --> 00:06:13.590]  Check it out today.
[00:06:14.071 --> 00:06:19.696]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[00:06:19.816 --> 00:06:22.258]  And that's what you'll find at InfoWarsLife.com.
[00:06:22.459 --> 00:06:29.525]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not of the very highest quality.
[00:06:29.605 --> 00:06:30.225]  We're good to go.
[00:06:50.373 --> 00:06:50.914]  We're good.
[00:07:09.778 --> 00:07:18.482]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock.
[00:07:18.782 --> 00:07:28.747]  This ultra-clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[00:07:29.307 --> 00:07:35.415]  Most forms of vitamin B12 are highly processed and synthetic and could not be properly absorbed by the body.
[00:07:35.735 --> 00:07:41.903]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:07:42.143 --> 00:07:45.327]  Methylcobalamin, the same kind used in B12 injections and
[00:07:45.607 --> 00:07:50.329]  Adenosylcobalamin, the most bioactive form that has been created with our proprietary process.
[00:07:50.729 --> 00:07:53.510]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[00:07:53.811 --> 00:07:54.971]  No needles, no injections.
[00:07:55.351 --> 00:07:56.632]  Don't take my word for it.
[00:07:56.732 --> 00:07:57.652]  Try it for yourself.
[00:07:57.932 --> 00:07:59.593]  Discover the secret, Secret 12.
[00:08:00.353 --> 00:08:02.414]  Supplies of Secret 12 are very limited.
[00:08:02.694 --> 00:08:06.556]  Secure yours today at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:08:10.182 --> 00:08:10.743]  We've got it.
[00:08:10.783 --> 00:08:17.228]  This transmission is coming to you.
[00:08:17.308 --> 00:08:19.390]  Waging war on corruption.
[00:08:21.692 --> 00:08:27.338]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:47.234 --> 00:08:54.760]  I've been wanting to talk about this for a long time, but we've got this headline out today, out of the Times of Israel.
[00:08:55.520 --> 00:08:59.483]  Netanyahu spat in our face, White House official says.
[00:08:59.503 --> 00:09:04.706]  And it just goes into how horrible Benjamin Netanyahu is, according to the White House.
[00:09:06.628 --> 00:09:10.591]  And there's all these moves in Israel to basically indict Netanyahu right now.
[00:09:11.651 --> 00:09:13.673]  Whether you love Benjamin Netanyahu or hate him,
[00:09:14.741 --> 00:09:19.223]  There's major political realignment happening all over the world.
[00:09:19.323 --> 00:09:22.985]  So there are some power structure shifts beneath the surface.
[00:09:23.085 --> 00:09:32.650]  But the last few years, this tiff between Israel and the Likudniks and the United States is total fantasy land.
[00:09:34.831 --> 00:09:36.472]  Now there are battles over who runs things.
[00:09:36.512 --> 00:09:37.453]  That's always going on.
[00:09:37.933 --> 00:09:38.633]  Power struggles.
[00:09:38.693 --> 00:09:41.035]  But the overall agenda
[00:09:41.906 --> 00:09:49.192]  To turn radical Islamists loose all over the Middle East and destabilize the region is bipartisan, Republican and Democrat.
[00:09:49.232 --> 00:09:54.556]  It's bipartisan in Israel, between the Likudniks and Labor and others in the Knesset.
[00:09:58.739 --> 00:10:01.341]  And Saudi Arabia and Israel are in a lip lock.
[00:10:02.578 --> 00:10:08.099]  And Israel and the Golan Heights has been backing the Syrian, Free Syrian Army for the last three, four years.
[00:10:08.599 --> 00:10:12.380]  So Israel's involved in all of this and it's just a fact.
[00:10:12.480 --> 00:10:13.880]  And it's not a defense of Israel.
[00:10:14.260 --> 00:10:15.361]  It's not an attack of Israel.
[00:10:15.381 --> 00:10:18.201]  Everybody's got this hot button issue of one side or the other.
[00:10:18.861 --> 00:10:27.443]  I'm saying it's immoral and evil for Turkey, for Saudi Arabia, for the United States, for France, for England, for Germany, for NATO, for Interpol.
[00:10:28.376 --> 00:10:39.985]  For the Pentagon to be supporting the Syrian rebels, who have been and are 95% Al-Qaeda, no matter what name they give it to confuse the public.
[00:10:42.603 --> 00:10:45.044]  And even the Iraqi government has caught the U.S.
[00:10:45.164 --> 00:10:49.985]  dropping air shipments of weapons to Al-Qaeda hundreds of times, and they keep saying it's an accident.
[00:10:50.565 --> 00:10:51.505]  No, it's not an accident.
[00:10:51.565 --> 00:10:58.366]  And the military knows that since they refused to go to the air bases and give them the weapons, they're ordered to just airdrop at coordinates now.
[00:10:59.626 --> 00:11:01.627]  And I'm getting that back from sources as well.
[00:11:01.667 --> 00:11:05.648]  You've heard some of them here on air that are current CIA pilots flying weapons.
[00:11:06.588 --> 00:11:08.248]  And you ask, how on earth could they come on air?
[00:11:08.268 --> 00:11:11.909]  Because there's White Hat, Black Hat, and the White Hats are protected to a certain extent.
[00:11:12.697 --> 00:11:13.838]  About Tosh Plumlee and others.
[00:11:14.299 --> 00:11:17.943]  Still flying weapons today to the Middle East.
[00:11:18.724 --> 00:11:26.732]  He's interviewed us twice when he's on the tarmac about to lead a whole group of C-130s from Texas to the Middle East loaded with weapons.
[00:11:28.714 --> 00:11:31.137]  He's done the interviews from the cockpit.
[00:11:33.735 --> 00:11:38.337]  And you've seen all these generals and people come out and say they don't want to back Al-Qaeda.
[00:11:38.557 --> 00:11:43.839]  You saw Dempsey three months ago say that in a Congressional Armed Services Senate Committee hearing.
[00:11:44.079 --> 00:11:45.360]  We played the clip probably ten times.
[00:11:47.381 --> 00:11:50.422]  Lindsey Graham, people are saying, we're not involved with Al-Qaeda, right, right?
[00:11:50.782 --> 00:11:51.622]  None of our allies are.
[00:11:51.642 --> 00:11:52.663]  And he goes, yeah, of course they are.
[00:11:52.703 --> 00:11:53.403]  They're all backing them.
[00:11:54.514 --> 00:12:01.077]  And Dempsey just actually turns his hands up and goes with the international gesture of like, why are you feeding this bull?
[00:12:01.478 --> 00:12:06.160]  I'm not going to sit here and lie under oath for you, Graham.
[00:12:06.260 --> 00:12:12.623]  And Graham looks scared because let me tell you, this is a real come to Jesus moment that's been going on for two years in the U.S.
[00:12:12.663 --> 00:12:19.307]  military because they know we're back in the worst of the worst over there and they don't sleep good at night thinking about that.
[00:12:19.895 --> 00:12:29.219]  They've done a lot of really hardcore stuff in their careers, and they don't like doing something purely openly evil, where there's no debating it's bad.
[00:12:31.080 --> 00:12:35.602]  For all this Machiavellian mumbo-jumbo about it justifies the means.
[00:12:35.902 --> 00:12:45.647]  Really, the end is to remove Assad and a government that was democratizing, where women can go to college, and where Christians and Jews can live in peace, to turn it over to a bunch of people to
[00:12:46.946 --> 00:12:53.070]  Kill hundreds of thousands and blow up every church they find and chop Catholic priests' heads off on television and eat hearts?
[00:12:53.850 --> 00:12:55.912]  There is no debating it!
[00:12:55.932 --> 00:13:03.377]  I mean, one thing if they used evil groups to overthrow somebody evil and then took them out, that'd be bad enough.
[00:13:03.397 --> 00:13:06.539]  Because any time you use evil to fight evil, you turn out
[00:13:07.403 --> 00:13:08.483]  Getting something worse in the end.
[00:13:08.503 --> 00:13:11.644]  That's just the metaphysical law, ladies and gentlemen.
[00:13:12.064 --> 00:13:14.305]  I use the allegory of the Ring of Mordor.
[00:13:14.665 --> 00:13:15.885]  The Ring of Power.
[00:13:16.626 --> 00:13:20.227]  One ring to rule them all, and in the darkness bind them.
[00:13:23.087 --> 00:13:24.908]  But all of them were deceived.
[00:13:25.968 --> 00:13:29.469]  For in the darkness of Mount Doom, one ring was forged.
[00:13:30.750 --> 00:13:33.290]  And in it, his hatred and malice was placed.
[00:13:34.991 --> 00:13:35.411]  One ring,
[00:13:37.691 --> 00:13:41.855]  To find them one ring, to rule them all one ring, in the darkness bind them.
[00:13:43.656 --> 00:13:46.979]  And by the way, that is what the internet was designed to do.
[00:13:48.160 --> 00:13:49.702]  That's why it was rolled out.
[00:13:51.323 --> 00:13:52.704]  It is the thing of internets.
[00:13:53.325 --> 00:13:55.147]  It is the thing of the internet.
[00:13:55.647 --> 00:13:57.168]  Not trying to channel George W. Bush.
[00:13:58.129 --> 00:13:59.631]  Or Rick Perry, start calling it tweeters.
[00:14:01.044 --> 00:14:10.372]  It is the smart dust, it is the RFIDs, it is the grid that will interface and surveil everything and then predict the future and then control the future.
[00:14:10.873 --> 00:14:23.323]  In Google's own words from 14 years ago, at publicly declassified DARPA meetings, you can pull this up, just type in Google plan to create AI.
[00:14:25.253 --> 00:14:30.414]  Google's master plan was to create AI that could see the future.
[00:14:31.454 --> 00:14:35.115]  Google is a governmental corporate merger strategy system.
[00:14:36.915 --> 00:14:44.077]  I saw the cover of the Chronicle this week and it was like, can Google save Austin and bridge the gap and bring us internet we need?
[00:14:44.337 --> 00:14:45.617]  Oh, save us.
[00:14:46.957 --> 00:14:48.077]  There it is, Wired Magazine.
[00:14:48.477 --> 00:14:50.878]  Google's grand plan to make your brain irrelevant.
[00:14:52.102 --> 00:14:55.163]  It is already artificially intelligent in 2014.
[00:14:55.704 --> 00:14:58.425]  They admitted they'd already achieved it for all intents and purposes.
[00:14:58.785 --> 00:15:17.433]  It interfaces with you creating a giant brain with all of the billions of synapses that are represented by billions of people interfacing with their hopes, their dreams, their subconscious algorithms and archetypes are then manifest in giant three-dimensional
[00:15:21.923 --> 00:15:22.383]  Models.
[00:15:25.545 --> 00:15:36.511]  Huge Roischauer patterns that can then be used to predict the future 100% in human activity.
[00:15:37.511 --> 00:15:42.654]  You can't predict the future with asteroids and comets and earthquakes, but they're getting better and better with computers.
[00:15:43.814 --> 00:15:48.457]  The three breakthroughs, they have finally unleashed AI on the world.
[00:15:48.477 --> 00:15:48.457]  10, 27, 14.
[00:15:52.537 --> 00:16:06.190]  Wired Magazine yet again, and it goes back in the article to the beginning of Google back in 1999 saying, we're not building a search engine, because they had big investors saying, who needs another search engine?
[00:16:06.210 --> 00:16:08.953]  They said, we're building an AI that will control everything.
[00:16:09.814 --> 00:16:10.815]  And they're doing it!
[00:16:16.354 --> 00:16:20.578]  I was not the only avid user on its search site who thought it would not last long.
[00:16:20.999 --> 00:16:25.403]  But Page Reply had always struck me and stuck with me.
[00:16:25.983 --> 00:16:27.685]  Oh, we're really making an AI.
[00:16:28.806 --> 00:16:31.329]  Then they go into the AI takeover grid.
[00:16:34.412 --> 00:16:36.654]  Before this information was even public,
[00:16:41.283 --> 00:16:47.467]  I was aware of mathematical equations from the 30s that Isaac Asimov picked up on and then wrote the foundation series out of.
[00:16:48.067 --> 00:16:54.951]  So he didn't really invent the idea, he invented the term robot, but he didn't invent the idea of mathematics to predict the future.
[00:17:02.133 --> 00:17:02.973]  And they're now doing it.
[00:17:03.513 --> 00:17:05.814]  And they can now game basically everything.
[00:17:06.334 --> 00:17:08.055]  Do we have free will?
[00:17:08.575 --> 00:17:15.437]  Will we unhook ourselves from the iPhones, the iPads, the droids, the TV, the ESPN, or is it really over?
[00:17:16.617 --> 00:17:18.298]  Are we going to give up on our consciousness?
[00:17:18.878 --> 00:17:21.479]  Are we going to let the establishment direct human development?
[00:17:22.359 --> 00:17:23.099]  Because here's the deal.
[00:17:23.599 --> 00:17:28.941]  The human development they're directing us into is the end of humanity as we know it.
[00:17:31.007 --> 00:17:34.231]  And they've convinced people in their decadence not to care to think it's cute and funny.
[00:17:34.631 --> 00:17:39.377]  Even those that are awake now, many of them will say, okay, you're right about all this, but so what?
[00:17:39.457 --> 00:17:40.518]  I'm just gonna have a good time.
[00:17:42.280 --> 00:17:46.826]  But then those are incredibly empty and unhappy people when you get down to the bottom line.
[00:17:49.149 --> 00:17:50.050]  You're not meant
[00:17:51.687 --> 00:18:06.797]  To be like a person in a digital cage who all the stimulus is fed to you and then you don't experience true reality or spirituality, you end up experiencing the false universe fed to you by the control grid.
[00:18:08.998 --> 00:18:16.583]  Here is Google's Schmidt and the Hollywood Reporter.
[00:18:18.359 --> 00:18:22.005]  Google Chairman Eric Schmidt at Davos, the Internet will disappear.
[00:18:22.085 --> 00:18:34.083]  He also discussed online dominance of the World Economic Forum panel, Facebook, COO Sheryl Sandberg, and while Yahoo's CEO is asked about privacy issues.
[00:18:36.693 --> 00:18:44.116]  At the end of the panel on World Economic Forum in Davos, Switzerland, where his comments were webcast, he was asked if his prediction on the future of the web.
[00:18:44.536 --> 00:18:47.698]  I will answer very simply, the internet will disappear, Schmitt said.
[00:18:48.058 --> 00:18:55.581]  There will be so many IPs, so many devices, sensors, things that you're wearing, things that you are interacting with that you won't even sense it, he explained.
[00:18:55.801 --> 00:18:57.722]  It will be part of your presence all the time.
[00:18:58.182 --> 00:18:59.542]  See, it's a cloak, a matrix.
[00:19:00.183 --> 00:19:03.024]  Imagine you walk into a room and the room is dynamic.
[00:19:03.624 --> 00:19:08.387]  And with your permission, and all of that, you are interacting with the things going on in the room.
[00:19:08.687 --> 00:19:10.148]  No, it's not with the permission.
[00:19:12.129 --> 00:19:19.893]  Google's been caught for at least 10 years driving around with their Google car, stealing your passwords and data with NSA authorization as an NSA node.
[00:19:26.537 --> 00:19:27.378]  With your permission.
[00:19:28.564 --> 00:19:38.857]  Did they tell you that globally they got international laws passed to make us go to the new light bulbs because they can be accessed by data down power line and then interfaced with all the new devices in your house?
[00:19:39.118 --> 00:19:39.979]  No, they didn't tell you that.
[00:19:40.820 --> 00:19:41.301]  Now they are!
[00:19:42.588 --> 00:19:45.449]  And they're rolling it out that, oh, the new TVs interact with your appliances.
[00:19:46.050 --> 00:19:47.070]  And you can turn it off if you want.
[00:19:47.090 --> 00:19:51.252]  It's kind of hard to do in the settings, but, you know, like, like, like, close encounters of the third kind.
[00:19:51.933 --> 00:19:53.613]  Toys and stuff will start turning on and off.
[00:19:53.673 --> 00:19:54.554]  Lights will flash.
[00:19:55.014 --> 00:19:55.915]  You know, things will go on.
[00:19:55.935 --> 00:19:56.635]  It's just kind of neat.
[00:19:56.755 --> 00:19:57.735]  Oh, doesn't that sound wonderful?
[00:19:58.016 --> 00:19:59.896]  You have all these little robots running things.
[00:20:00.457 --> 00:20:05.579]  Except then you realize the globalists are hell-bent on murdering every single one of us.
[00:20:06.180 --> 00:20:08.761]  Merging with machines and flying off to Alpha Centauri.
[00:20:10.034 --> 00:20:13.415]  Worried about getting sick and feeling terrible for days or even weeks?
[00:20:13.695 --> 00:20:16.235]  You need Imudine for a healthy immune system.
[00:20:16.555 --> 00:20:19.496]  Why get sick and bother with products that just don't work?
[00:20:19.696 --> 00:20:24.137]  For just a dollar a day, Imudine is all natural and safe for all lifestyles.
[00:20:24.437 --> 00:20:29.138]  Call 866-257-8668 to buy now before it's too late.
[00:20:29.318 --> 00:20:30.878]  Before you get sick.
[00:20:31.238 --> 00:20:34.259]  Or go to immudyne.com.
[00:20:34.559 --> 00:20:35.639]  Imudine.com.
[00:20:35.839 --> 00:20:36.259]  Or call 866-257-8668.
[00:20:40.393 --> 00:20:41.153]  Hey, Boomer!
[00:20:41.393 --> 00:20:44.714]  I learned in school today that 60% of our bodies are made of water.
[00:20:44.834 --> 00:20:46.415]  Good thing we have the Berkey system.
[00:20:46.515 --> 00:20:48.255]  It's the cleanest, best water ever.
[00:20:48.455 --> 00:20:53.937]  Mom says it's because the Berkey filtration system cleans out the bad stuff and leaves only pure, delicious water.
[00:20:54.297 --> 00:20:55.037]  I know, right?
[00:20:55.117 --> 00:20:56.077]  You love it, too!
[00:20:56.438 --> 00:20:57.738]  Yeah, I'm thirsty, too.
[00:20:57.878 --> 00:20:58.778]  Let's go get some.
[00:20:58.898 --> 00:21:00.599]  Get Berkey clean water by calling 877-886-3653.
[00:21:00.619 --> 00:21:00.939]  That's 877-886-3653.
[00:21:00.999 --> 00:21:01.779]  Or visit GoBerkey.com.
[00:21:09.361 --> 00:21:10.262]  Alex Jones here.
[00:21:10.382 --> 00:21:19.330]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:21:19.530 --> 00:21:24.775]  So many other formulations out there contain toxic ingredients, synthetic additives, and even GMOs.
[00:21:25.095 --> 00:21:28.596]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:21:28.816 --> 00:21:38.198]  Crafted with over 14 key ancient herbs and extracts to supercharge and prepare your body for what experts admit is the most dangerous season of the year.
[00:21:38.358 --> 00:21:49.520]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[00:21:49.780 --> 00:21:54.541]  Experience the benefits of combining over 14 ancient herbs and extracts
[00:21:54.781 --> 00:21:57.723]  With exciting new advances in nutraceutical science.
[00:21:58.023 --> 00:22:01.505]  For a limited time, get 25% off on this introductory offer.
[00:22:01.666 --> 00:22:05.408]  Visit InfoWarsLife.com or call 1-888-253-3139.
[00:22:05.508 --> 00:22:08.590]  That's InfoWarsLife.com.
[00:22:09.050 --> 00:22:10.772]  It's very easy to be a criminal.
[00:22:10.992 --> 00:22:15.575]  All you need to burglarize a home is one simple household tool, a pair of scissors.
[00:22:15.975 --> 00:22:21.478]  If your home security system can be compromised by a criminal using scissors, then you're making it easy for them.
[00:22:21.759 --> 00:22:23.480]  Almost every home security system,
[00:22:23.780 --> 00:22:26.422]  Even those sold by big-name companies has a weakness.
[00:22:26.662 --> 00:22:27.483]  The phone line.
[00:22:27.643 --> 00:22:32.586]  You shell out $1,500, get locked into a long-term contract, and think you're safe.
[00:22:32.906 --> 00:22:36.689]  But a burglar can destroy your alarm in seconds with one snip.
[00:22:36.829 --> 00:22:39.691]  And when a burglar cuts your phone line, you're defenseless.
[00:22:40.131 --> 00:22:42.393]  SimpliSafe Home Security is the smarter choice.
[00:22:42.593 --> 00:22:46.797]  Built by Harvard engineers, SimpliSafe uses a wireless connection to call the cops.
[00:22:46.937 --> 00:22:47.837]  Scissors can't cut it.
[00:22:48.038 --> 00:22:50.259]  And that means your home stays safe.
[00:22:50.279 --> 00:22:54.103]  24-7 professional monitoring is under $15 a month with no contract.
[00:22:54.303 --> 00:22:57.645]  SimpliSafe Home Security keeps you safer than the other guys.
[00:22:57.786 --> 00:22:58.646]  For half the cost.
[00:22:58.947 --> 00:23:00.828]  Protect your home with the alarm you can trust.
[00:23:00.968 --> 00:23:01.629]  SimpliSafe.
[00:23:01.809 --> 00:23:05.672]  Go to SimpliSafeDefense.com now for an exclusive 10% offer.
[00:23:05.732 --> 00:23:07.473]  That's SimpliSafeDefense.com.
[00:23:08.396 --> 00:23:10.237]  Mom, I can't do my math homework.
[00:23:10.458 --> 00:23:11.518]  I just don't get it.
[00:23:11.859 --> 00:23:12.759]  I hate math.
[00:23:13.340 --> 00:23:17.463]  I've always tried to be a good mother, but when it came to Jamie's math, I was at a loss.
[00:23:17.723 --> 00:23:20.365]  Then a friend told me about Math Made Easy DVDs.
[00:23:20.565 --> 00:23:23.767]  Concepts are simplified in an easy way to follow and review.
[00:23:24.008 --> 00:23:27.010]  And students can learn at their own pace in the convenience of home.
[00:23:27.270 --> 00:23:28.631]  Listen in the frustration.
[00:23:28.811 --> 00:23:29.812]  Call Math Made Easy.
[00:23:29.992 --> 00:23:30.432]  Call now.
[00:23:30.452 --> 00:23:30.853]  1-800-USA-MATH.
[00:23:30.873 --> 00:23:31.173]  That's 1-800-872-6284.
[00:23:31.193 --> 00:23:32.834]  Or visit us at mathmadeeasy.com.
[00:23:38.078 --> 00:23:39.939]  Attention all radio listeners.
[00:23:40.540 --> 00:23:47.724]  Survival Life is giving away free credit card knives exclusively to our radio listeners here today.
[00:23:48.284 --> 00:23:54.187]  Visit MyCreditCardKnife.com to see this covert knife in action and claim yours for free.
[00:23:54.668 --> 00:24:00.771]  It's the same knife you've seen in the airline magazines for $29.95, but today it's yours free.
[00:24:01.151 --> 00:24:02.412]  Just pay shipping and handling.
[00:24:02.812 --> 00:24:04.573]  MyCreditCardKnife.com.
[00:24:04.894 --> 00:24:06.775]  MyCreditCardKnife.com.
[00:24:06.895 --> 00:24:07.215]  Go now.
[00:24:13.388 --> 00:24:13.828]  Don't worry.
[00:24:14.329 --> 00:24:15.850]  This show is documented.
[00:24:16.370 --> 00:24:21.414]  Alex Jones on the GCN Radio Network.
[00:24:21.594 --> 00:24:24.616]  The story's up on InfoWars.com by Liberty Bloods Creek.
[00:24:24.636 --> 00:24:25.697]  It's also in Bloomberg.
[00:24:26.578 --> 00:24:28.359]  Linked up on DrugsReport.com.
[00:24:29.079 --> 00:24:31.521]  Billionaire tells Americans to expect less.
[00:24:32.602 --> 00:24:34.523]  Flies two nannies to Davos.
[00:24:37.245 --> 00:24:39.847]  Meanwhile you can see the InfoWars.com story right underneath that.
[00:24:40.207 --> 00:24:42.209]  Bill Gates pushes cashless society.
[00:24:43.695 --> 00:24:46.916]  I'm going to break down exactly what a casual society under this system means.
[00:24:48.996 --> 00:24:49.556]  Coming up.
[00:24:51.636 --> 00:24:54.277]  French court convicts three over homophobic tweets.
[00:24:55.217 --> 00:24:56.057]  Oh, I see.
[00:24:58.278 --> 00:24:59.458]  That's the one independent.
[00:24:59.518 --> 00:25:01.458]  I told you France doesn't have any free speech anymore.
[00:25:02.158 --> 00:25:09.240]  Unless it's Charlie Hebdo and you want to show the Prophet Muhammad performing oral sex on somebody.
[00:25:09.700 --> 00:25:11.380]  And hey, I say it's free speech, so...
[00:25:13.342 --> 00:25:18.065]  Doesn't mean I like to stir up trouble, doesn't mean I support it myself, but I support the free speech.
[00:25:18.485 --> 00:25:31.734]  But see, I don't support it because France and others have this march for freedom of speech when Merkel banned demonstrating against open borders by even mainline conservative groups in Germany.
