[00:00:07.799 --> 00:00:10.840]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[00:04:22.778 --> 00:04:25.459]  Changes in immune system are conditioned by nutrition.
[00:04:26.159 --> 00:04:38.402]  Undernutrition due to insufficient intake of energy and macronutrients and or due to deficiencies in specific micronutrients impairs the immune system, suppressing immune functions that are fundamental to host protection.
[00:04:38.942 --> 00:04:41.623]  That is the basic key to everything.
[00:04:42.503 --> 00:04:44.543]  You have to take care of your immune system.
[00:04:45.324 --> 00:04:46.504]  Shots aren't going to help you.
[00:04:47.654 --> 00:04:51.859]  Exercise, it's going to help you a little bit, but you've got to eat the right stuff.
[00:04:51.879 --> 00:04:53.901]  You've got to put the right stuff into your body.
[00:04:53.961 --> 00:04:57.365]  The micronutrients, the macronutrients, the things that are good for you.
[00:04:57.565 --> 00:04:58.666]  You can't eat Twinkies.
[00:04:58.986 --> 00:05:01.009]  You can't eat Jell-O pudding pops.
[00:05:01.309 --> 00:05:02.891]  You can't eat crud out there.
[00:05:03.111 --> 00:05:06.194]  You have to put good stuff into your body to keep your immune system up.
[00:05:06.555 --> 00:05:08.237]  That is how you defeat these diseases.
[00:05:08.757 --> 00:05:10.999]  That is the only way to defeat these diseases.
[00:05:11.039 --> 00:05:16.404]  You can take all the shots in your world with all the toxic substances and all the live viruses and it isn't going to do a thing.
[00:05:16.744 --> 00:05:18.505]  This has been Rob Doo for InfoWars.com.
[00:05:18.786 --> 00:05:23.970]  If you want to strengthen your immune system, check out InfoWarsLife.com and InfoWarsHealth.com.
[00:05:23.990 --> 00:05:25.912]  We have plenty of products there that you can check out.
[00:05:25.952 --> 00:05:26.973]  Feel free to try them out.
[00:05:27.553 --> 00:05:29.374]  Or feel free to spread the word on to other people.
[00:05:29.694 --> 00:05:33.056]  That's the way we keep the ship rolling here at Infowars.com.
[00:05:33.397 --> 00:05:35.378]  Also, become a member of PrisonPlanet.tv.
[00:05:35.458 --> 00:05:44.183]  It's your membership that helps us spread the word all around the world to people who are looking for the truth and are sick and tired of being pushed lies from the mainstream media.
[00:05:44.423 --> 00:05:46.524]  Thank you for watching and thank you once again for your support.
[00:05:46.924 --> 00:05:52.688]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:05:53.028 --> 00:05:57.330]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:05:57.630 --> 00:06:05.355]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:06:05.575 --> 00:06:10.798]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:11.098 --> 00:06:13.560]  Sourced from top leading manufacturers
[00:06:13.680 --> 00:06:25.591]  To ensure a concentrated level of bioactive ingredients extracted directly from the wild herb and sealed in easy-to-use capsules, you will no longer need to endure the burning of liquid oregano on the tongue.
[00:06:25.932 --> 00:06:32.158]  Wild-crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:06:32.538 --> 00:06:37.522]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:06:37.682 --> 00:06:41.204]  Now available in our limited first run at Infowarslife.com.
[00:06:41.404 --> 00:06:43.306]  That's Infowarslife.com or call 888-253-3139.
