[00:00:00.069 --> 00:00:00.935]  Spend Liberty Worldwide!
[00:17:15.960 --> 00:17:22.343]  But then, you're going 10 miles over the speed limit, Johnny Law pulls you over, did you know you were speeding?
[00:17:24.665 --> 00:17:26.226]  What, you got any drugs in this car?
[00:17:26.586 --> 00:17:28.127]  What, you mean drugs the government shipped in?
[00:17:30.723 --> 00:17:33.425]  I'm a highway patrol, the highway patrol.
[00:17:33.705 --> 00:17:36.147]  My hours are long and my pay is low.
[00:17:37.448 --> 00:17:39.969]  But I'll do my best to keep you driving slow.
[00:17:40.229 --> 00:17:42.991]  I'm just doing my job, I'm a highway patrol.
[00:17:44.432 --> 00:17:44.692]  Really?
[00:17:44.712 --> 00:17:45.793]  You're really doing your job?
[00:17:45.813 --> 00:17:46.093]  No.
[00:17:46.554 --> 00:17:47.634]  You're an errand boy.
[00:17:48.215 --> 00:17:49.776]  Out there to raise money off people.
[00:17:49.836 --> 00:17:51.217]  I'm not attacking you individually.
[00:17:51.477 --> 00:17:54.379]  When the globalists are done with you, they're gonna throw you in the fire as well.
[00:17:54.659 --> 00:18:00.123]  This is a full, dishonorable, scientific, mafia warfare takedown.
[00:18:01.539 --> 00:18:02.199]  And it's here.
[00:18:02.799 --> 00:18:07.820]  Everything you've heard us talk about is now going to unfold in triplicate spades.
[00:18:08.220 --> 00:18:10.261]  Ace of spades, ace of spades, ace of spades.
[00:18:10.581 --> 00:18:11.601]  Tyranny, tyranny, tyranny.
[00:18:11.881 --> 00:18:14.382]  Forced inoculations, forced GMO.
[00:18:14.962 --> 00:18:20.403]  The school's telling your kids that you don't belong to them and giving them whatever they want and taking them away from you.
[00:18:20.823 --> 00:18:22.364]  You want it, baby?
[00:18:22.384 --> 00:18:24.384]  You're about to get it.
[00:18:25.933 --> 00:18:32.054]  This is the military, psychological, military-industrial complex takedown of the West.
[00:18:34.074 --> 00:18:37.475]  Which was the only lifeline to industrialize and build up the third world.
[00:18:37.495 --> 00:18:43.836]  They're gonna, don't worry, for those of you that are racist, because I'm not, I don't dislike these migrants, but they are weaponized.
[00:18:44.376 --> 00:18:53.878]  They are illegal, they are filled with cultural revolution, they are filled with liberation theology, they are filled with entitlement and hatred.
[00:18:55.370 --> 00:18:56.331]  Let's go out to break.
[00:18:56.951 --> 00:19:11.384]  Muslim refugees in Budapest chanted Allah Akbar and FU while others in Italy attacked an old lady and threw feces at bystanders as Germany announced that it would be prepared to take 500,000 asylum seekers every few months.
[00:19:12.245 --> 00:19:13.386]  And it's going to get bigger than that.
[00:19:15.495 --> 00:19:16.536]  And they've been covering it up.
[00:19:16.696 --> 00:19:22.081]  Also, videos on InfoWars of throat-slitting motions and t-shirts.
[00:19:22.181 --> 00:19:24.843]  I'm gonna get your wife and all the rest of it.
[00:19:24.943 --> 00:19:26.124]  I mean, it is on.
[00:19:26.184 --> 00:19:33.950]  And when you watch hordes of young, able men in France, the cops do nothing and they just walk up and they just grab those truck drivers out.
[00:19:34.251 --> 00:19:35.572]  Those truck drivers just submit.
[00:19:35.612 --> 00:19:36.753]  They just look at them with disdain.
[00:19:37.981 --> 00:19:39.622]  Because they've been taught to submit in France.
[00:19:40.083 --> 00:19:43.666]  Let me tell you, I don't care if I was disarmed, I'd have a baseball bat.
[00:19:43.686 --> 00:19:46.488]  If you're going to pull me out of my car, I'm going to beat 20 people's brains out.
[00:19:47.328 --> 00:19:48.790]  But that's why America was free!
[00:19:48.890 --> 00:19:50.331]  Because we got a killer instinct!
[00:19:50.551 --> 00:19:58.858]  And I'm going to tell you right now, globalists, I'm not bending over to my family being run over and taken over by globalist hordes that you've wound up.
[00:19:59.707 --> 00:20:10.433]  They take our culture away, they take our manhood away, they cut our collective genitals off, and they invade us with hardcore, old-world people that live in the Stone Age, licking their lips.
[00:20:10.453 --> 00:20:12.274]  Why are there fish swimming in our bathtub?
[00:20:12.474 --> 00:20:13.254]  Aren't they cute?
[00:20:13.494 --> 00:20:18.277]  You need more Omega-3s, and those fish oil pills with toxins and heavy metals are scary.
[00:20:18.637 --> 00:20:20.278]  So I'm making fish oil from scratch.
[00:20:20.718 --> 00:20:23.441]  Oh boy, didn't I tell you I'm ordering Nutrigold fish oil?
[00:20:23.681 --> 00:20:25.062]  It's exceptionally pure.
[00:20:25.402 --> 00:20:26.563]  That's what they all say.
[00:20:26.884 --> 00:20:27.364]  No, really.
[00:20:27.604 --> 00:20:34.711]  Nutrigold's fish oil is concentrated from pure cold water fish straight off the Alaskan coast and manufactured right here in the USA.
[00:20:34.951 --> 00:20:40.315]  Well, cold Alaskan waters are much more pristine than the polluted waters that other fish oils are sourced from.
[00:20:40.335 --> 00:20:41.316]  That's what I'm saying.
[00:20:41.677 --> 00:20:46.341]  And it's five-star certified to meet international purity, potency, and freshness standards.
[00:20:46.641 --> 00:20:47.862]  Well, that sounds even better!
[00:20:48.082 --> 00:20:48.382]  Great!
[00:20:48.502 --> 00:20:50.262]  I'll be in my office ordering a few bottles.
[00:20:50.443 --> 00:20:57.005]  If I order now on www.fishoil.best, I can save $5 using the promo code MYFISHOIL.
[00:20:57.325 --> 00:20:59.826]  Um, honey, why are there bees in my office?
[00:21:00.046 --> 00:21:01.467]  Get rid of those fish burps for good.
[00:21:01.587 --> 00:21:02.607]  Go to Nutrigold's U.S.
[00:21:02.647 --> 00:21:09.450]  made fish oil products by going to www.fishoil.best and get $5 off by entering MYFISHOIL at checkout.
[00:21:09.853 --> 00:21:10.693]  We're good to go.
[00:21:39.762 --> 00:21:43.323]  Just recently, we've witnessed some of the most catastrophic disasters in history.
[00:21:43.603 --> 00:21:49.664]  Be sure to prepare yourself with great-tasting, high-quality, GMO-free food that has a 25-year shelf life.
[00:21:50.204 --> 00:21:53.565]  Of course, we're talking about the foods from SurvivalFoodAlliance.com.
[00:21:54.025 --> 00:21:59.566]  And don't forget, the human body needs up to 3 quarts of water every day to remain healthy and hydrated.
[00:22:00.046 --> 00:22:03.187]  So check out our water bricks at SurvivalFoodAlliance.com.
[00:22:03.607 --> 00:22:05.807]  Go to SurvivalFoodAlliance.com or call 877-223-1776.
[00:22:09.482 --> 00:22:11.303]  Who's among the worst at keeping your data private?
[00:22:11.443 --> 00:22:14.926]  The Electronic Frontier Foundation Privacy Report says it's AT&T.
[00:22:15.186 --> 00:22:19.989]  AT&T customers need to know this when calling the Alex Jones 24-7 listen line at 1-605-562-9000.
[00:22:20.049 --> 00:22:22.431]  Big Brother is listening.
[00:22:22.691 --> 00:22:26.654]  No apps, no data, no internet needed, and no extra cost if you have unlimited minutes.
[00:22:26.854 --> 00:22:31.077]  Call the Alex Jones 24-7 listen line on any phone, but please don't use AT&T.
[00:22:31.197 --> 00:22:33.899]  For everyone else, bookmark Alex Jones listen line number today.
[00:22:33.919 --> 00:22:34.159]  1-605-562-9000.
[00:22:34.199 --> 00:22:34.420]  That's 1-605-562-9000.
[00:22:39.443 --> 00:22:42.864]  You are an individual with your own thoughts, decisions, and actions.
[00:22:43.204 --> 00:22:48.026]  So why should you be penalized for not enrolling in the subpar health insurance mandated by the government?
[00:22:48.306 --> 00:22:49.386]  Be truly independent.
[00:22:49.626 --> 00:22:51.327]  Visit LibertyOnCall.org.
[00:22:51.727 --> 00:22:59.390]  LibertyOnCall.org is a bold, innovative alternative allowing you to take back control and make your own decisions about your health care.
[00:22:59.630 --> 00:23:01.210]  Mention this ad when you call to learn more.
[00:23:01.230 --> 00:23:01.430]  800-714-6993.
[00:23:01.470 --> 00:23:01.651]  That's 800-714-6993.
[00:23:01.691 --> 00:23:02.311]  LibertyOnCall.org.
[00:23:02.331 --> 00:23:02.771]  Call today.
[00:23:09.133 --> 00:23:10.013]  Hey, Berkey Guy here.
[00:23:10.113 --> 00:23:11.814]  Are you still drinking unfiltered tap water?
[00:23:11.934 --> 00:23:13.634]  Does your water contain chlorine or fluoride?
