[00:00:00.009 --> 00:00:10.453]  Another world.
[00:14:08.163 --> 00:14:25.793]  Now, this piece of news is not in the news, and I'm directing Mikhail Thelen, Paul Watson, Don Salazar, Kit Daniels, I don't know who's going to do it, but I sent them all the articles this morning, so I'm sure you can look for this tonight or tomorrow at InfoWars.com and PrisonPlanet.com.
[00:14:27.274 --> 00:14:30.096]  I got a call from one of my moles inside the city of Austin.
[00:14:30.136 --> 00:14:34.879]  He said, do you know what's going on at the Palmer Event Center Monday and Tuesday?
[00:14:36.445 --> 00:14:37.546]  And I said, no, what's going on?
[00:14:37.566 --> 00:14:46.193]  He goes, well, you know, we're one of 87 sanctuary cities where they give free welfare to all the illegals and red carpet them and don't give them tickets and don't arrest them for DWIs.
[00:14:46.234 --> 00:14:48.335]  And people won't believe this.
[00:14:48.355 --> 00:14:49.556]  Pull up CBS News.
[00:14:49.977 --> 00:14:53.500]  Border Patrol no longer does arrest illegals for basically any felony.
[00:14:53.520 --> 00:14:55.101]  But the headline was for drinking and driving.
[00:14:55.642 --> 00:14:58.044]  They actually tell them in the DHS memo, yeah, they kill somebody.
[00:14:58.064 --> 00:14:58.584]  It's no big deal.
[00:14:58.864 --> 00:15:00.146]  It actually says you have no liability.
[00:15:01.485 --> 00:15:06.747]  Just because they said so in a memo, of course it violates all sorts of federal and state laws and you are now culpable, but whatever.
[00:15:07.227 --> 00:15:16.011]  And we know about it because the Border Patrol leaked it last week to CBS News, but I get the call, I sure enough search it, Austin Welcoming City Summit.
[00:15:17.762 --> 00:15:34.035]  And I was even told by the city person that it's $7,000 a day, $7,500 a day just to feed the illegals at the welcoming ceremony where they teach them how to get free welfare and how to get all the quote social services and basically not work.
[00:15:35.419 --> 00:15:36.759]  And it breaks down in here.
[00:15:36.999 --> 00:15:38.360]  All meals will be provided.
[00:15:39.220 --> 00:15:45.321]  This is morning, noon, and night, except for the on-your-own lunch on February 23rd.
[00:15:45.901 --> 00:15:49.262]  Please note that there is a $8 parking fee at Palmer Events Center.
[00:15:49.462 --> 00:15:51.682]  And it says how to accept illegals.
[00:15:52.183 --> 00:15:55.963]  It actually says how to get them on welfare, how to condition the public to accept it.
[00:15:56.063 --> 00:15:58.984]  It's a giant takeover plan for the North American Union.
[00:15:59.664 --> 00:16:00.584]  That's coming up.
[00:16:00.704 --> 00:16:03.225]  And then, the intensifying war in Ukraine.
[00:16:03.325 --> 00:16:03.685]  And then,
[00:16:04.126 --> 00:16:08.626]  Syria invades, excuse me, Turkey invades Syria, and then...
[00:16:10.185 --> 00:16:13.686]  The government's Department of Homeland Security is buying up loads of ammo.
[00:16:13.846 --> 00:16:17.788]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:16:18.108 --> 00:16:19.568]  Can you put two and two together?
[00:16:19.888 --> 00:16:27.471]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:16:27.751 --> 00:16:28.591]  But for how long?
[00:16:28.892 --> 00:16:35.154]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:16:35.534 --> 00:16:38.335]  Infidel Body Armor just won't quit.
[00:16:39.810 --> 00:16:43.032]  When cells become toxic, they die early and aging sets in.
[00:16:43.332 --> 00:16:51.336]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:16:51.576 --> 00:16:56.598]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:16:56.998 --> 00:16:59.280]  You want the best that's out there at the lowest price anywhere?
[00:16:59.520 --> 00:17:01.301]  We now have the synergistic solution.
[00:17:01.621 --> 00:17:05.823]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:17:09.815 --> 00:17:16.738]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:17:17.018 --> 00:17:26.421]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:17:26.641 --> 00:17:34.644]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[00:17:34.904 --> 00:17:44.312]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at Infowarslife.com.
[00:17:44.552 --> 00:17:51.458]  Now Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:17:51.658 --> 00:17:56.640]  Now more than ever, it's important to stock up on high quality Silver Bullet from Infowarslife.com.
[00:17:56.900 --> 00:17:59.682]  No survival chest is complete without Silver Bullet.
[00:17:59.962 --> 00:18:04.404]  Secure your Silver Bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[00:18:04.424 --> 00:18:04.784]  Silver Bullet.
[00:18:09.793 --> 00:18:25.826]  You can now listen to the Alex Jones Show live on the free TuneIn Radio app, featuring over 100,000 real radio stations, over 4 million podcasts streaming live from every continent, offering unprecedented access to listen to anything, anywhere.
[00:18:26.086 --> 00:18:37.755]  TuneIn lets you listen to over 100,000 real radio stations and more than 4 million podcasts from every continent, 200,000 mobile downloads per day, available on iPhone,
[00:18:38.035 --> 00:18:43.360]  iPad, Android, Android tablets, Windows 8, Blackberry, Amazon Kindle.
[00:18:43.661 --> 00:18:58.716]  Available in over 200 branded products with millions of devices sold worldwide, including Samsung Smart TV, Roku, Sonos, Sony, Sony PlayStation, Amazon Echo, Panasonic Viera TV, Logitech Squeezebox.
[00:18:59.136 --> 00:19:08.903]  TuneIn brings streaming radio to cars, including GM, Ford, BMW, Tesla, Mercedes-Benz, Volvo, Nissan, Fiat, and more.
[00:19:09.703 --> 00:19:11.545]  What disaster is so powerful?
[00:19:11.825 --> 00:19:18.229]  It unleashes a chain of mass pandemics, economic meltdowns, and violent food riots, all at the same time.
[00:19:18.609 --> 00:19:20.711]  NASA has already set the countdown timer.
[00:19:21.011 --> 00:19:25.232]  And right now, the 21st century apocalypse is less than 13 months away.
[00:19:25.712 --> 00:19:29.132]  Former CIA Director James Woolsey says two-thirds of U.S.
[00:19:29.172 --> 00:19:30.393]  population could perish.
[00:19:30.833 --> 00:19:33.833]  In a matter of seconds, the world as we know it will cease to exist.
[00:19:34.313 --> 00:19:36.074]  The world's economy will be wiped out.
[00:19:36.554 --> 00:19:37.814]  Mass riots will follow.
[00:19:38.194 --> 00:19:39.914]  Ancient diseases will reemerge.
[00:19:40.374 --> 00:19:43.895]  How will you shield yourself and your loved ones from this upcoming apocalypse?
[00:19:44.435 --> 00:19:50.116]  Go to darkestdays.info to find out proven methods of protecting yourself, your loved ones,
[00:19:50.376 --> 00:19:51.517]  You're listening to The Alex Jones Show.
[00:20:24.093 --> 00:20:28.695]  We now take you live to the Central Texas Command Center.
[00:20:28.955 --> 00:20:33.797]  In the heart of the resistance, you're listening to the Alex Jones Show.
[00:20:35.058 --> 00:20:38.640]  On 2-22, the Sunday Worldwide live broadcast.
[00:20:40.481 --> 00:20:45.183]  Alright, I mentioned the imminent, they're saying, terror attacks on Mall of America, other areas.
[00:20:46.297 --> 00:20:50.139]  Which clearly, you've heard us predict so many hundreds of times, I'm not going to even play the tape.
[00:20:50.679 --> 00:21:01.245]  That they would openly fund Al Qaeda and the jihadis, then let them spread, then they would start threatening, and then ultimately attacking domestic targets, soft targets, until America turns into a total police state.
[00:21:02.545 --> 00:21:03.806]  But now that's being announced.
[00:21:04.886 --> 00:21:11.990]  We're going to get into the Oscars being turned into a giant political correctness brainwashing fest.
[00:21:12.050 --> 00:21:15.572]  Clinton Foundation drops ban on foreign government donations.
[00:21:17.250 --> 00:21:18.031]  Just amazing.
[00:21:18.051 --> 00:21:24.237]  And I've read the different Federal Elections Commission's regulations and laws.
[00:21:24.297 --> 00:21:25.238]  I believe this is illegal.
[00:21:26.780 --> 00:21:29.963]  We'll get into the three-parent babies could risk the future of the human race.
[00:21:30.523 --> 00:21:32.786]  Yeah, no kidding, says the Parliament.
[00:21:34.387 --> 00:21:39.392]  We're going to get into all over the country the red carpet for the illegals, the free tuition, the free
[00:21:41.556 --> 00:21:49.583]  Welfare, the free tax return, refunds when they don't even put any money in, could have their babies for free.
[00:21:49.603 --> 00:21:55.388]  I'm not even against immigrants or people from Latin America, but this is the merger of our countries together.
[00:21:55.828 --> 00:21:57.449]  This is the conquering of our nation.
[00:21:57.469 --> 00:21:58.410]  I'm going to break that down.
[00:22:00.652 --> 00:22:04.796]  We've got Syria criticizing the fact that
[00:22:05.868 --> 00:22:22.681]  Turkey, with the biggest military in the Middle East, it's bigger than Israel's, when it comes to conventional ground troops, tanks, planes, has invaded and taken a large part of Syria, and their response is, we were just there guarding a tomb of the founder of the Ottoman Empire.
[00:22:22.701 --> 00:22:23.802]  We've got this clip coming up.
[00:22:24.182 --> 00:22:26.384]  So when you look at the foreign press, it's an admitted invasion.
[00:22:26.604 --> 00:22:29.126]  When you watch CNN, it's, well,
[00:22:30.427 --> 00:22:40.754]  Turkey was just guarding a tomb, and then it shows video of like 50 army tanks and helicopters and it's like a thousand troops just in one shot, guarding a tomb.
[00:22:43.015 --> 00:22:45.937]  It'd be like if the Russians said, we're guarding a tomb in D.C.
[00:22:45.977 --> 00:22:47.378]  and all these helicopters are landing.
[00:22:47.698 --> 00:22:49.579]  I mean it's just the way they spin stuff.
[00:22:50.320 --> 00:22:51.441]  If you only look at U.S.
[00:22:51.481 --> 00:22:54.763]  news versus foreign news, and I'm not saying it's perfect either, but
[00:22:56.263 --> 00:22:58.265]  I mean, Syria's like, you just invaded us.
[00:22:59.045 --> 00:23:04.350]  This is really illegal, and they're aiding Al-Qaeda, and they're aiding ISIS.
[00:23:04.610 --> 00:23:05.851]  That's who's aiding them openly.
[00:23:05.871 --> 00:23:09.934]  And our media's answer is they're just guarding a tomb.
[00:23:09.954 --> 00:23:11.795]  And it shows an army.
[00:23:11.815 --> 00:23:16.980]  It shows a ridge just covered with tanks and artillery and helicopters and troops.
[00:23:18.321 --> 00:23:20.943]  I guess when they take Damascus, they'll just be guarding a tomb.
[00:23:20.983 --> 00:23:22.604]  It's just always this spin.
[00:23:23.645 --> 00:23:24.746]  But before we go any further,
[00:23:26.630 --> 00:23:28.472]  I'm going to go through all these articles one by one.
[00:23:28.492 --> 00:23:33.238]  Giuliani is not backing down, and I'm not lionizing him.
[00:23:33.318 --> 00:23:34.580]  It's just that what he's saying is true.
[00:23:35.041 --> 00:23:36.342]  We sell the film.
[00:23:38.986 --> 00:23:40.528]  In fact, we helped popularize it.
[00:23:40.888 --> 00:23:42.810]  It was in association with WorldNetDaily as well.
[00:23:44.448 --> 00:23:56.094]  Joel Gilbert made the film, Dreams of My Real Father, and it's admitted that Obama spent most summers as a child, for at least seven years, with Frank Marshall Davis, a famous communist and a famous pornographer.
[00:23:56.174 --> 00:23:56.954]  It's just bizarre.
[00:23:57.454 --> 00:24:07.259]  And there's photos in the film, directly from Obama's archives, of him sitting on the couch, in the room, in the living room, with Frank Marshall Davis, who he admits in his own book, Dreams of My Father,
[00:24:08.789 --> 00:24:12.570]  That he spent summers with and his grandfather was basically best friends with.
[00:24:12.990 --> 00:24:20.832]  Well, in dreams of my real father, it shows what is his mother naked in porn shoots in that living room on that couch.
[00:24:20.892 --> 00:24:23.872]  I mean, it's Frank Marshall Davis is his dad, folks.
[00:24:24.352 --> 00:24:25.833]  The whole Kenya thing was a diversion.
