[00:00:00.009 --> 00:00:02.892]  Infowarslife.com or call 888-253-3139.
[00:05:09.281 --> 00:05:18.188]  There is a shocking video posted right now at InfoWars.com where a man dies in a jail lobby after an encounter with sheriff's deputies.
[00:05:18.508 --> 00:05:29.836]  Surveillance footage released by the Sheriff's Department last Friday shows 48-year-old Arlington resident Joseph Hutchison frantically running inside the Dallas County jail lobby on August 1st.
[00:05:30.097 --> 00:05:35.100]  Witnesses say Hutchison was not violent but he appeared distraught and was seeking help.
[00:05:35.421 --> 00:05:38.403]  He didn't have a weapon and he wasn't swinging at the officers.
[00:05:38.803 --> 00:05:43.686]  Witnesses say a deputy threw Hutchinson to the ground and put a knee to his throat.
[00:05:44.027 --> 00:05:46.868]  He couldn't breathe and his face turned pale blue.
[00:05:47.269 --> 00:05:52.452]  After a few moments, he lied motionless as visitors continued to pour into the lobby.
[00:05:52.732 --> 00:05:56.515]  Officers are seen attempting to resuscitate him, but it was too late.
[00:05:56.855 --> 00:05:58.576]  Joseph Hutchinson had died.
[00:05:58.957 --> 00:06:05.061]  His brother James is organizing a demonstration at the Dallas County Sheriff's Department building this evening.
[00:06:05.301 --> 00:06:07.502]  For more details, go to InfoWars.com.
[00:06:09.264 --> 00:06:19.153]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:06:19.373 --> 00:06:25.359]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:06:25.519 --> 00:06:27.661]  They call it their low-profile platform.
[00:06:27.842 --> 00:06:29.223]  PVX Muzzle Brace.
[00:06:29.483 --> 00:06:31.085]  Proven to help control muzzle rise.
[00:06:32.406 --> 00:06:34.967]  6061 billet material with type 3 hard coating.
[00:06:35.207 --> 00:06:38.469]  Bolt carrier group for .308 and .556 ARs.
[00:06:38.829 --> 00:06:40.069]  Custom Kydex holsters.
[00:06:40.390 --> 00:06:45.092]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:06:45.252 --> 00:06:47.653]  Most competitors material use .060.
[00:06:47.753 --> 00:06:50.835]  Configure yours today at HDfirearms.com.
[00:06:51.135 --> 00:06:56.599]  And my favorite, single stage trigger, a home run upgrade for your AR-15 and AR-10 platforms.
[00:06:56.819 --> 00:07:00.181]  Find out more at HDfirearms.com today or call 770-485-7015.
[00:07:00.202 --> 00:07:01.983]  That's HDfirearms.com or call 770-485-7015.
[00:07:02.203 --> 00:07:05.665]  A clean, toxic-free body is the foundation of true health.
[00:07:12.330 --> 00:07:21.974]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:22.275 --> 00:07:27.497]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:07:27.617 --> 00:07:36.501]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[00:07:36.761 --> 00:07:45.390]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:45.650 --> 00:07:52.597]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:07:52.737 --> 00:07:58.683]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:07:59.143 --> 00:08:03.888]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:08:04.048 --> 00:08:06.010]  That's Infowarslife.com or call 888-253-3139.
[00:08:23.055 --> 00:08:27.164]  Defending the Republic from enemies foreign and domestic.
[00:08:27.906 --> 00:08:29.369]  It's Alex Jones!
[00:08:44.991 --> 00:08:53.253]  Ladies and gentlemen, Alex Jones here on this live, September 4th, Friday Worldwide Broadcast.
[00:08:53.893 --> 00:08:56.713]  Anthony Giugiardi is going to be co-hosting the show today.
[00:08:56.774 --> 00:09:02.195]  I'm going to have special reports followed throughout the transmission and we have some special guests as well.
[00:09:02.595 --> 00:09:12.317]  Dr. Mercola with the largest health site, alternative health site in the world, will be breaking down some major developments coming up in the second hour today.
[00:09:14.358 --> 00:09:22.327]  Ladies and gentlemen, the globalist buildup towards world financial collapse is certainly here.
[00:09:22.888 --> 00:09:27.914]  The planetary destabilization, almost 15 years after 9-11,
[00:09:29.531 --> 00:09:30.952]  Has never been more crystal clear.
[00:09:31.812 --> 00:09:44.000]  Criminal globalists within five private central banks are funding the anti-family, the anti-free speech agenda, the destruction of language agenda, the open borders agenda, the dependency agenda.
[00:09:44.640 --> 00:09:54.967]  They are advertising free welfare and free family services and basically anchor baby status for anyone who can get into Western Europe or the United States or Canada.
[00:09:55.407 --> 00:09:59.909]  This is causing hundreds of millions of people to try to get here, hundreds of thousands a week.
[00:10:00.589 --> 00:10:05.191]  Trains are currently shut down in many areas of Europe, westbound out of Eastern Europe.
[00:10:05.772 --> 00:10:13.395]  There is just bedlam breaking out right now across the board, and what's important to understand is this is orchestrated.
[00:10:14.495 --> 00:10:18.917]  15 years after the tragic events of 9-11, we've lost more of our liberties than ever.
[00:10:19.597 --> 00:10:24.299]  Al Qaeda has metastasized into ISIS and has 200,000 people attacking.
[00:10:25.079 --> 00:10:29.040]  Our government is clearly backing them and supporting them while acting like they're fighting them.
[00:10:29.901 --> 00:10:32.482]  Our politicians think we're so stupid they go on the news.
[00:10:33.502 --> 00:10:38.865]  And they say that we need to attack Assad because he is basically backing ISIS.
[00:10:39.345 --> 00:10:43.507]  This is what the political ignorance of the people has allowed.
[00:10:43.987 --> 00:10:47.589]  And as Christ said, and as the Bible states multiple times,
[00:10:49.144 --> 00:11:09.459]  The people perish for lack of knowledge, and InfoWars is here just dealing out the knowledge, breaking down the facts, really trying to transcend party politics, racial politics, tribal politics, and getting right down to what the social engineers are doing from their perspective so we can make a decision and think about what destiny we want.
[00:11:09.739 --> 00:11:13.402]  Let's just look at some of the headlines on InfoWars.com and DrugsReport.com.
[00:11:14.983 --> 00:11:17.785]  Taxpayers fleeing Democrat-run states for Republican ones.
[00:11:18.226 --> 00:11:22.690]  Godfather, that's Chicago, proposes largest tax increase in modern Chicago history.
[00:11:24.011 --> 00:11:25.912]  94 million Americans not in the labor force.
[00:11:25.952 --> 00:11:28.134]  Participation rate lowest in 77.
[00:11:28.194 --> 00:11:29.956]  That was a depression then, basically.
[00:11:30.556 --> 00:11:32.078]  A huge recession of stagflation.
[00:11:32.378 --> 00:11:35.642]  Drop in stock market futures signals anxiety over payroll reports.
[00:11:36.302 --> 00:11:36.883]  Rate fake.
[00:11:36.923 --> 00:11:42.068]  Greenspan baffled by intense focus on Fed first hike.
[00:11:42.489 --> 00:11:48.014]  Folks, I mean, that's like saying he's baffled by farmers worried about the farm report or about the weather report.
[00:11:49.162 --> 00:12:01.172]  I mean, in this system where the private Federal Reserve with its subsidiaries runs the world, the IMF, the World Bank, the Ex-Im Bank, in this type of world, where it's all based on the fiat system, that's everything.
[00:12:01.792 --> 00:12:05.055]  If they stop doing QE3, the economy will stall.
[00:12:12.495 --> 00:12:13.456]  We're good to go.
[00:12:28.451 --> 00:12:31.134]  The very important question is the stock market too big to fail?
[00:12:31.594 --> 00:12:39.081]  And yes, we are in trouble if they do let it implode, and we're in trouble if they continue to let it grow, because it sucks in the whole economy.
[00:12:39.221 --> 00:12:42.224]  Everything else is based on fraud, is devalued.
[00:12:43.145 --> 00:12:46.368]  But the Fortune 100 that control the stock market that are
[00:12:46.408 --> 00:12:46.848]  We're good to go.
[00:13:10.083 --> 00:13:12.367]  And then you look at the ideology of the globalists.
[00:13:12.848 --> 00:13:15.833]  It's transhumanist, it's eugenicist, it's anti-human.
[00:13:16.474 --> 00:13:18.718]  It's sell the baby parts, lie to the public.
[00:13:18.838 --> 00:13:18.958]  It's...
[00:13:20.242 --> 00:13:22.264]  Feed us GMO that makes the rats sick.
[00:13:22.384 --> 00:13:23.985]  It is feed us fluoride.
[00:13:24.385 --> 00:13:28.929]  It's this criminal attitude towards the people because the banks have stolen the world.
[00:13:29.349 --> 00:13:34.733]  These handful of families, less than 20, that control and run all this, see the world as theirs.
[00:13:34.813 --> 00:13:35.994]  They've stolen it through fraud.
[00:13:36.594 --> 00:13:41.959]  Now they want to clear it out of the 7.5 billion people and they're just trying to figure out how to do it.
[00:13:42.379 --> 00:13:48.724]  First they've got to bring in a worldwide collapse to get us really on our knees with them as the saviors before the next phase comes in.
[00:13:50.180 --> 00:13:50.240]  I'm
[00:14:09.360 --> 00:14:09.640]  Yes, sir.
[00:14:32.404 --> 00:14:33.764]  We're good to go.
[00:14:59.844 --> 00:15:05.447]  She cooperates with the investigation, and now they're basically looking at calling in CPS, because why wasn't she there?
[00:15:06.308 --> 00:15:08.229]  Well, you tell mothers not to have men around.
[00:15:08.970 --> 00:15:10.911]  You pay mothers' welfare not to have men around.
[00:15:12.032 --> 00:15:16.334]  And then if your kid's caught playing in the backyard at 6 o'clock in the afternoon, the CPS is called.
[00:15:16.775 --> 00:15:23.519]  Or if you're an 11-year-old, in other cases, caught playing across the street at the park, the police come and arrest the mother.
[00:15:24.702 --> 00:15:26.403]  So this is how they set this up.
[00:15:27.264 --> 00:15:28.725]  Don't talk about guns at school.
[00:15:28.945 --> 00:15:31.267]  They have all the video games that shoot them up all day at home.
[00:15:32.948 --> 00:15:36.371]  It's like, look but don't touch.
[00:15:36.611 --> 00:15:37.651]  Touch but don't taste.
[00:15:38.172 --> 00:15:41.454]  Everything is a nanny state, but it doesn't make us safe.
[00:15:42.275 --> 00:15:46.198]  And the system knows this, and so as things unravel, as things degenerate,
[00:15:46.909 --> 00:15:47.009]  Yes.
[00:16:12.110 --> 00:16:12.250]  Yes.
[00:16:27.443 --> 00:16:31.244]  And it's bad to have your 11-year-old defend yourself because mom's got to go out and work.
[00:16:31.664 --> 00:16:33.264]  This is all about domestication.
[00:16:33.724 --> 00:16:34.964]  That's the endgame plan.
[00:16:35.525 --> 00:16:39.905]  Now, when I get to my message for FAIRCOM later, I'm going to mention this story from the Associated Press.
[00:16:40.245 --> 00:16:44.826]  Man faces charges after tweeting, kill all the white people in town.
[00:16:45.206 --> 00:16:46.827]  Bail set at $250,000.
[00:16:48.027 --> 00:16:52.588]  All I've been saying is some of the bloggers have clearly said go out and attack.
[00:16:53.550 --> 00:16:58.211]  White people and police to kill them, have not been getting in trouble, but that other people have.
[00:16:58.751 --> 00:17:07.192]  Telling me, the folks connected to the Black Panther Party, the new Black Panther Party and others, not the old Black Panther Party, that was a pretty good group actually.
[00:17:08.773 --> 00:17:11.853]  They have been saying and doing things that if I said it, I'd be arrested.
[00:17:13.434 --> 00:17:14.794]  I'm not saying I want to say this either.
[00:17:15.114 --> 00:17:17.754]  It's just that if I said that or you said that, you'd be arrested.
[00:17:18.114 --> 00:17:19.655]  So why is that happening?
[00:17:19.715 --> 00:17:20.715]  Why is that unfolding?
[00:17:25.077 --> 00:17:29.704]  After Dr. Mercola joins us, I'm shooting a report that's a message to Louis Farrakhan on that front.
[00:17:30.765 --> 00:17:35.392]  Shifting gears back to the big picture, I mentioned this earlier, is the stock market now too big?
[00:17:46.084 --> 00:17:46.524]  Yes, it's a bubble.
[00:17:46.944 --> 00:17:49.885]  Yes, it's filled with all this fiat currency.
[00:17:50.285 --> 00:17:51.365]  Yes, it's getting bigger.
[00:17:52.025 --> 00:17:55.606]  But if you deflate it, then that will shut the economy down.
[00:17:55.666 --> 00:18:08.988]  But if you don't, it's designed where only that free money, only that fiat money, goes into the stock market as a place to put all of that counterfeit, and so it consolidates power for the globalists regardless.
[00:18:09.028 --> 00:18:12.088]  And they're social engineers, so you almost want it to come down.
[00:18:12.508 --> 00:18:15.109]  Just like we want McDonald's to come down because they're a globalist.
[00:18:16.499 --> 00:18:16.700]  Yeah.
[00:18:24.460 --> 00:18:30.503]  We want to break the GMO farm companies that are trying to force us to eat their GMO.
[00:18:31.044 --> 00:18:34.145]  It's not that we want to break things, but they're trying to dominate us.
[00:18:34.606 --> 00:18:36.006]  They're trying to take us over.
[00:18:36.386 --> 00:18:37.887]  They're trying to wreck our future.
[00:18:38.387 --> 00:18:42.750]  They're trying to consolidate control in a scorched earth siege policy.
[00:18:43.370 --> 00:18:46.772]  So it's our right to defend ourselves by voting with our dollars.
[00:18:47.512 --> 00:18:50.273]  Two, shut them down before they shut us down.
[00:18:50.713 --> 00:18:53.014]  That's why it's great news that Coca-Cola is in trouble.
[00:18:53.314 --> 00:18:55.095]  It's great news that McDonald's is in trouble.
[00:18:55.415 --> 00:18:56.995]  It's great news that Walmart's in trouble.
[00:18:57.495 --> 00:19:01.577]  Because this is the globalism they built and they wanted, that was meant to consolidate power.
[00:19:02.077 --> 00:19:03.818]  But now as we fall, they fall.
[00:19:04.378 --> 00:19:10.440]  And now as we remove our support from them, they wanted us to collapse before
[00:19:11.340 --> 00:19:15.023]  And then they have the new paradigm come in when we were fully on our backs.
[00:19:15.263 --> 00:19:20.248]  But instead we're withdrawing from them before the collapse is complete so they collapse first.
[00:19:20.908 --> 00:19:22.750]  That's basically what I'm getting to.
[00:19:23.170 --> 00:19:34.060]  Now we don't have much time left in this segment, but we are going to be breaking all of this down more in the broadcast today with special guest Dr. Mercola.
[00:19:44.455 --> 00:19:48.279]  That's right.
[00:19:48.399 --> 00:19:54.685]  Alex just broke it down and we do have more news as well as Alex's powerful message to Louis Farrakhan.
[00:19:54.726 --> 00:19:56.147]  You will not believe what he said.
[00:19:56.187 --> 00:19:58.189]  You have to watch this later on in the show.
[00:19:58.369 --> 00:19:59.791]  We'll be back with more news.
[00:20:09.662 --> 00:20:11.884]  Honey, why are there fish swimming in our bathtub?
[00:20:12.124 --> 00:20:12.845]  Aren't they cute?
[00:20:13.085 --> 00:20:17.870]  You need more Omega-3s, and those fish oil pills with toxins and heavy metals are scary.
[00:20:18.230 --> 00:20:19.932]  So I'm making fish oil from scratch.
[00:20:20.332 --> 00:20:23.054]  Oh boy, didn't I tell you I'm ordering Nutrigold fish oil?
[00:20:23.275 --> 00:20:24.816]  It's exceptionally pure.
[00:20:24.996 --> 00:20:26.197]  That's what they all say.
[00:20:26.498 --> 00:20:26.958]  No, really.
[00:20:27.218 --> 00:20:34.205]  Nutrigold's fish oil is concentrated from pure cold water fish straight off the Alaskan coast and manufactured right here in the USA.
[00:20:34.545 --> 00:20:39.929]  Well, cold Alaskan waters are much more pristine than the polluted waters that other fish oils are sourced from.
[00:20:40.129 --> 00:20:40.889]  That's what I'm saying.
[00:20:41.250 --> 00:20:45.933]  And it's 5-star certified to meet international purity, potency, and freshness standards.
[00:20:46.233 --> 00:20:47.454]  Well, that sounds even better!
[00:20:47.694 --> 00:20:47.994]  Great.
[00:20:48.094 --> 00:20:49.855]  I'll be in my office ordering a few bottles.
[00:20:50.056 --> 00:20:56.620]  If I order now on www.fishoil.best, I can save $5 using the promo code MYFISHOIL.
[00:20:56.920 --> 00:20:59.402]  Um, honey, why aren't there bees in my office?
[00:20:59.642 --> 00:21:01.063]  Get rid of those fish burps for good.
[00:21:01.163 --> 00:21:09.066]  Go to Nutrigold's US made fish oil products by going to www.fishoil.best and get $5 off by entering my fish oil at checkout.
[00:21:09.286 --> 00:21:22.372]  So I found out the other day that at guns80.com a lot of people don't get the Ghost AR-15 rifle kits because they're afraid that they won't be able to do the machining work required to drill out and make ready the lower.
[00:21:22.612 --> 00:21:26.694]  Well listen, guys, gals, I am not that good of a machinist, I promise you.
[00:21:26.994 --> 00:21:31.620]  But I was able to take a grill press with an XY table and knock this out in about 45 minutes.
[00:21:31.660 --> 00:21:33.342]  And in all honesty, mine looks really good.
[00:21:33.642 --> 00:21:34.203]  Go get yours.
[00:21:34.243 --> 00:21:34.884]  Don't be afraid.
[00:21:34.964 --> 00:21:35.405]  It's easy.
[00:21:35.465 --> 00:21:35.785]  Guns80.com.
[00:21:35.805 --> 00:21:36.546]  Go to Guns80.com now.
[00:21:38.843 --> 00:21:47.548]  Silver has always been nature's very own antibiotic, and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[00:21:47.748 --> 00:21:48.649]  Silver Lungs.
[00:21:48.829 --> 00:21:55.953]  With the addition of our unique lung delivery system, respiratory infections are targeted directly, where traditional oral administration simply cannot reach.
[00:21:56.133 --> 00:22:02.057]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[00:22:02.157 --> 00:22:06.240]  See the Silver Lungs generator and lung delivery system at SilverLungs.com.
[00:22:06.300 --> 00:22:08.021]  That's SilverLungs.com.
[00:22:09.381 --> 00:22:10.462]  We've all heard the news stories.
[00:22:10.942 --> 00:22:11.662]  Another shooting.
[00:22:12.062 --> 00:22:13.303]  And they're getting worse.
[00:22:13.783 --> 00:22:17.004]  That's why Infidel Body Armor introduces Infidel Fridays.
[00:22:17.345 --> 00:22:22.007]  Exclusive 24-hour insider deals to save you money and possibly save your life.
[00:22:22.347 --> 00:22:25.468]  Make it a favorite when you log on to InfidelBodyArmor.com.
[00:22:25.648 --> 00:22:31.371]  Then be sure to visit each and every Infidel Friday to get special insider pricing, but for 24 hours only.
[00:22:31.511 --> 00:22:33.212]  That's InfidelBodyArmor.com.
[00:22:33.452 --> 00:22:36.173]  Infidel Body Armor just won't quit.
[00:22:37.950 --> 00:22:38.831]  Hey, Berky Guy here.
[00:22:38.911 --> 00:22:40.613]  Are you still drinking unfiltered tap water?
[00:22:40.754 --> 00:22:42.436]  Does your water contain chlorine or fluoride?
[00:22:42.496 --> 00:22:44.338]  Will you have drinkable water in an emergency?
[00:22:44.478 --> 00:22:50.345]  The Berky Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:22:50.486 --> 00:22:53.990]  We offer Berky Water Purification Systems at the lowest available prices online.
[00:22:54.110 --> 00:22:56.131]  Don't go another moment without Berkey System.
[00:22:56.151 --> 00:22:59.094]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:22:59.174 --> 00:23:02.536]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:02.576 --> 00:23:02.836]  That's 877-886-3653.
[00:23:02.856 --> 00:23:07.259]  Turn on the news and you'll hear stories of natural disasters, political unrest, and financial crisis.
[00:23:12.663 --> 00:23:16.367]  In times of uncertainty, how will you take care of your family's most basic needs?
[00:23:16.648 --> 00:23:23.115]  Food Insurance, America's most trusted provider of freeze-dried emergency food, has solutions that fit your family's needs and budget.
[00:23:23.395 --> 00:23:26.599]  Our meals are delicious, nutritious, and come with a guaranteed 25-year shelf life.
[00:23:27.600 --> 00:23:31.722]  For a limited time, we are sending a free freeze-dried meal to all listeners of this program.
[00:23:31.822 --> 00:23:35.103]  Go to foodinsurance.com and request your free meal today.
[00:23:35.283 --> 00:23:36.804]  That's foodinsurance.com.
[00:23:37.324 --> 00:23:39.745]  Hunters, anglers, campers, and survivalists.
[00:23:39.945 --> 00:23:40.865]  Get back to nature.
[00:23:41.045 --> 00:23:48.088]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:23:48.208 --> 00:23:51.410]  Slingbow products are compact and models start from just $17.98.
[00:23:51.870 --> 00:23:54.771]  They're perfect for your bug-out bag or storing in your vehicle.
[00:23:55.071 --> 00:24:03.507]  Give yourself and your loved ones the excitement and tradition of Slingbow, a new frontier in archery and truly modern twist on this primitive survival tool.
[00:24:03.728 --> 00:24:06.332]  Feel the thrill only at Slingbow.com!
[00:24:18.186 --> 00:24:20.287]  Welcome back to the Alex Jones Show.
[00:24:20.427 --> 00:24:23.428]  I'm Anthony Gucciardi sitting in for Alex Jones.
[00:24:23.748 --> 00:24:28.530]  And as Alex described in the last segment, we will perish for lack of knowledge.
[00:24:29.650 --> 00:24:39.814]  And speaking of knowledge, I have a solution for all of the hate between Black Lives Matter protesters killing cops and some cops killing Black Lives Matter protesters.
[00:24:39.994 --> 00:24:43.496]  I have the ultimate solution and it has to do with knowledge.
[00:24:44.790 --> 00:24:47.552]  I suggest that all of them go back to kindergarten.
[00:24:48.333 --> 00:24:54.938]  If they were to go back to kindergarten, they would have learned to respect one another at the most basic levels of human instinct.
[00:24:55.438 --> 00:25:02.643]  They would have learned that tweeting, kill all white people, is probably not in the best interest of their own or of the species as a whole.
[00:25:03.624 --> 00:25:14.749]  If they were to go back to kindergarten, which could by the way probably be taught by a 12 year old boy, they would understand that murdering each other is not going to further any race equality.
[00:25:15.652 --> 00:25:24.954]  In fact, the very origin of Black Lives Matter versus All Lives Matter is the first indication that such a movement is going to actually cause racial divide.
[00:25:25.554 --> 00:25:26.674]  Because what's the first word?
[00:25:26.914 --> 00:25:27.294]  Black.
[00:25:27.794 --> 00:25:28.675]  Black Lives Matter.
[00:25:29.175 --> 00:25:30.775]  They're making it more of an issue.
[00:25:31.095 --> 00:25:33.856]  They're now saying to go out and murder white people.
[00:25:34.476 --> 00:25:35.716]  That is not race equality.
[00:25:35.856 --> 00:25:40.037]  And the article Alex was talking about in the last segment when he eloquently broke it down was
[00:25:40.797 --> 00:25:48.302]  On Infowars.com right now, Black Lives Matter activists arrested for a quote-unquote, kill all white people tweet.
[00:25:48.722 --> 00:25:50.724]  Suspect charged with threats of mass violence.
[00:25:50.824 --> 00:25:57.268]  And the article reads, police in La Plata, Maryland have arrested a man after he posted a tweet calling for the murder of white people in the town.
[00:25:57.708 --> 00:26:03.652]  Specifically, it goes on, the 20-year-old Charles Hollins was charged Wednesday on a $250,000 bond.
[00:26:04.053 --> 00:26:06.434]  He tweeted, quote, tonight we purge.
[00:26:06.534 --> 00:26:08.936]  Kill all the white people in the town of La Plata.
[00:26:09.076 --> 00:26:10.097]  Tonight we purge.
[00:26:10.858 --> 00:26:12.222]  Let's kill all the white people.
[00:26:12.242 --> 00:26:17.560]  Do you see how a kindergarten education could fix that?
[00:26:19.062 --> 00:26:32.976]  A fundamental realization that at the most core levels of our human value system, not even a first grade, second grade, and kindergarten, the most core levels of our value system, if we wanted all lives to matter, would be to say, hey, let's unify.
[00:26:33.196 --> 00:26:34.017]  Let's come together.
[00:26:34.237 --> 00:26:35.438]  Who cares about the skin color?
