[00:00:01.357 --> 00:00:03.988]  You're listening to The Alex Jones Show.
[00:04:00.328 --> 00:04:03.089]  And if you look at this, this is not a destructive mining process.
[00:04:03.109 --> 00:04:10.571]  For those of you who have a knee-jerk reaction to just hearing the word mining, this is a process where they've got a very small hole there.
[00:04:10.931 --> 00:04:12.412]  You have to basically
[00:04:13.932 --> 00:04:16.174]  Bend over, get on your hands and knees to get into that place.
[00:04:16.194 --> 00:04:20.719]  I don't know how these guys even work it, but this is a very old traditional mine, very small scale.
[00:04:21.139 --> 00:04:28.106]  I'm sure what they want to do is run all of these miners who've been there for 150 years out of there so they can turn it over some big multinational corporation.
[00:04:28.126 --> 00:04:29.367]  That's probably the end game.
[00:04:29.407 --> 00:04:35.333]  That's what they were doing in Nevada, running the ranchers out there who had had grazing rights for 150 years, many of them.
[00:04:37.150 --> 00:04:41.996]  So basically, Oath Keepers showed up, not as a confrontation, but as security.
[00:04:42.116 --> 00:04:46.441]  Just to make sure that they weren't going to attack them and force this issue.
[00:04:47.001 --> 00:04:48.763]  And now it's going to go through the courts, apparently.
[00:04:48.803 --> 00:04:49.704]  We're glad to see that.
[00:04:50.225 --> 00:04:52.628]  And we're going to talk about that with Paul Joseph Watson.
[00:04:52.648 --> 00:04:56.732]  We're going to talk a little bit about the Southern Poverty Law Center's history as well when we come back.
[00:04:56.772 --> 00:04:57.934]  Stay with us, we'll be right back.
[00:05:10.216 --> 00:05:11.837]  Joe Banks here with InfoWars.com.
[00:05:11.897 --> 00:05:14.658]  Obama and Saudi support al-Qaeda in Yemen.
[00:05:14.778 --> 00:05:20.360]  According to corporate media reports, the Saudis are worried about recent advances in war-torn Yemen.
[00:05:20.520 --> 00:05:23.321]  Also, Alex Jones vs. the mainstream media.
[00:05:23.461 --> 00:05:37.046]  This is posted by NoMoreFilms, a documentary film from NoMoreFilms exposing the mainstream media's propaganda campaign to ridicule the undisputed king of conspiracy talk radio, Alex Jones, and his website, InfoWars.
[00:05:37.247 --> 00:05:38.507]  If you want reality, you have
[00:05:38.587 --> 00:05:39.127]  Wake up!
[00:06:06.427 --> 00:06:09.497]  If you want real news, you come to InfoWars.com!
[00:06:10.305 --> 00:06:15.329]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:06:15.449 --> 00:06:21.334]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:06:21.574 --> 00:06:26.178]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:06:26.358 --> 00:06:29.681]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:06:29.921 --> 00:06:31.502]  No needles, no injections.
[00:06:31.903 --> 00:06:37.027]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:06:40.269 --> 00:06:44.472]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:06:44.632 --> 00:06:48.595]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:06:48.795 --> 00:06:53.558]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:06:53.738 --> 00:06:58.261]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:06:58.381 --> 00:07:01.724]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:07:01.884 --> 00:07:05.206]  Now available in our limited first run at Infowarslife.com.
[00:07:05.326 --> 00:07:07.147]  That's Infowarslife.com or call 888-253-3139.
[00:07:10.229 --> 00:07:11.189]  Hi, I'm Alex Jones.
[00:07:11.369 --> 00:07:19.031]  When I got on air 20 years ago, I weighed 180 pounds, I lifted weights five days a week, I could swim two, three miles.
[00:07:19.391 --> 00:07:22.312]  Then I discovered the New World Order, the globalists, their agenda.
[00:07:22.552 --> 00:07:24.112]  I started an access television show.
[00:07:24.512 --> 00:07:29.293]  I was so dedicated to my work and hanging around with radio guys that I began drinking.
[00:07:29.893 --> 00:07:32.734]  I began smoking cigars and then even cigarettes.
[00:07:33.274 --> 00:07:39.001]  I transformed from looking like a white Bruce Lee to looking like a Jabba the Hutt.
[00:07:39.361 --> 00:07:44.187]  So I began a journey five years ago to shed the almost 100 pounds.
[00:07:44.608 --> 00:07:49.514]  I started taking Super Mel Vitality and saw dramatic results in just a few weeks.
[00:07:49.774 --> 00:07:51.216]  When I added to the mix
[00:07:51.556 --> 00:07:55.460]  The key products developed by Dr. Group for InfoWarsLife.com.
[00:07:55.741 --> 00:07:56.842]  The results were incredible.
[00:07:57.182 --> 00:08:02.308]  Take the InfoWarsLife.com challenge today at InfoWarsLife.com or give our crew a call.
[00:08:02.508 --> 00:08:05.472]  They can answer all your questions or tell you about any of the specials at 888-253-3139.
[00:08:20.362 --> 00:08:22.563]  Waging war on corruption.
[00:08:23.004 --> 00:08:24.325]  It's Alex Jones.
[00:08:29.870 --> 00:08:33.012]  Welcome to the Alex Jones Show on this Friday, August 24, 2015.
[00:08:33.112 --> 00:08:34.633]  I'm David Knight, your host today.
[00:08:35.294 --> 00:08:37.796]  Paul Joseph Watson is going to be joining us in the second hour.
[00:08:38.336 --> 00:08:41.418]  We're going to be talking about a couple of articles that are up on Infowars.com.
[00:08:41.618 --> 00:08:49.804]  SPLC accuses Oath Keepers of inciting armed confrontation over the Sugar Pine Mine, as well as an article that just went up a few minutes ago.
[00:08:50.404 --> 00:08:55.868]  PayPal asserts copyright ownership over all intellectual property of its users.
[00:08:55.928 --> 00:08:57.229]  They've got a new users agreement.
[00:08:57.709 --> 00:09:00.651]  You know, kind of like what the federal government does with the Constitution.
[00:09:00.691 --> 00:09:05.173]  They just say, oh, by the way, we've just arbitrarily amended that.
[00:09:06.073 --> 00:09:07.274]  Sometimes they don't even tell you.
[00:09:07.514 --> 00:09:08.835]  Oftentimes they don't tell you.
[00:09:08.995 --> 00:09:12.557]  So that's what the corporations do as well, because they're kind of...
[00:09:13.416 --> 00:09:18.562]  Two heads of the same snake, and it is a two-headed snake, the government and the large corporations.
[00:09:18.622 --> 00:09:25.390]  Also in the news, we have Hillary Furious, as thousands of Americans are sending cigars to her office.
[00:09:26.191 --> 00:09:34.100]  There's an organization called Send Clinton Cigars, where you can anonymously purchase cigars and have them directly mailed to Hillary.
[00:09:34.740 --> 00:09:37.185]  And tens of thousands of people have done that.
[00:09:37.225 --> 00:09:42.414]  You can see that picture of the massive stack of cigars they've got waiting to go to Hillary.
[00:09:43.216 --> 00:09:44.598]  And they have a subtitle...
[00:09:45.818 --> 00:09:51.419]  Uh, tagline at their website, Clinton Lewinsky 2016, don't blow it, they say.
[00:09:51.539 --> 00:09:52.840]  So, uh, that's what they're doing.
[00:09:52.860 --> 00:10:04.623]  You know, as Drudge points out at the top of the Drudge Report, Hillary is getting bombarded with attacks, and he links to an article, I think it was from the New York Times, and of course they've been some of the ones who have been attacking her.
[00:10:06.817 --> 00:10:08.237]  It's basically not even an attack.
[00:10:08.257 --> 00:10:12.479]  It's just an exposure of what's been going on with the Clinton Foundation.
[00:10:13.499 --> 00:10:17.740]  Chelsea came back and said, our foundation is as transparent as any foundation.
[00:10:17.820 --> 00:10:21.041]  And we say, yeah, transparently criminal.
[00:10:21.702 --> 00:10:22.382]  It's Reuters.
[00:10:22.662 --> 00:10:29.184]  Other people have been conducting investigations showing that they'd falsified the transparent reports that they put out there.
[00:10:30.724 --> 00:10:37.749]  If you put out a report and you say, look, I'm transparent and the information on the report is a lie, what do we make of that?
[00:10:38.850 --> 00:10:41.893]  I guess that's kind of standard operating procedure for the Clintons, isn't it?
[00:10:43.360 --> 00:10:49.425]  Also, we see the rich and powerful continue to get by with nothing happening to them.
[00:10:50.206 --> 00:10:55.470]  We have Petraeus, just as I said yesterday, don't bet on him getting sentenced any time.
[00:10:55.550 --> 00:10:59.954]  He had pled guilty and they had the sentencing hearing yesterday.
[00:10:59.974 --> 00:11:01.856]  And I said he's not going to do any jail time.
[00:11:01.896 --> 00:11:03.717]  He's going to be at Bilderberg this year.
[00:11:03.777 --> 00:11:04.438]  And guess what?
[00:11:05.038 --> 00:11:08.201]  He got two years probation.
[00:11:08.902 --> 00:11:09.182]  Okay?
[00:11:09.582 --> 00:11:09.943]  Imagine.
[00:11:10.583 --> 00:11:14.029]  We have John Kiriakou who exposed torture in the CIA.
[00:11:14.089 --> 00:11:18.336]  He gets two years in prison, but Petraeus gets two years probation.
[00:11:19.551 --> 00:11:25.134]  We have people like Manning who exposed criminal actions by the CIA going through WikiLeaks.
[00:11:25.934 --> 00:11:28.235]  He gets put in jail for a very long time.
[00:11:28.275 --> 00:11:36.179]  But of course, Petraeus gives books of information to his mistress to help her, to impress her, whatever.
[00:11:36.239 --> 00:11:37.780]  So he gets absolutely nothing.
[00:11:37.860 --> 00:11:38.701]  But he did get a fine.
[00:11:38.801 --> 00:11:40.462]  And boy, the judge got really rough on him.
[00:11:41.162 --> 00:11:42.543]  He more than doubled the fine.
[00:11:43.263 --> 00:11:45.326]  They thought he was going to get a $40,000 fine.
[00:11:45.386 --> 00:11:48.530]  Instead, he got hammered, hammered with a $100,000 fine.
[00:11:48.871 --> 00:11:57.141]  And to put that in perspective, Antiwar.com says, well, to send a message, the judge sentences David Petraeus to 75%.
[00:11:59.304 --> 00:12:00.546]  Of one of his speaking fees.
[00:12:00.886 --> 00:12:01.066]  Yeah.
[00:12:01.627 --> 00:12:08.275]  He gets paid, according to Speakerpedia, he gets paid up to $132,750 for each speech.
[00:12:08.575 --> 00:12:15.042]  So there, I guess he could maybe deliver a speech about, um, I don't know, maybe about this leak that he's got.
[00:12:15.823 --> 00:12:18.484]  Some of the interesting tweets that came out about this, interesting comments.
[00:12:18.724 --> 00:12:23.085]  One person in particular, Jocelyn Radick, and she has a government accountability project.
[00:12:23.105 --> 00:12:25.146]  She was Ed Snowden's lawyer.
[00:12:25.186 --> 00:12:29.567]  She's also represented other whistleblowers like Thomas Drake.
[00:12:29.607 --> 00:12:31.727]  I don't know if she represented William Binney.
[00:12:31.747 --> 00:12:34.268]  She also represented John Kiriakou, I believe.
[00:12:34.888 --> 00:12:44.331]  She herself was an ethics lawyer within the Department of Justice, and when she did her job exposing that the FBI had violated due process in a high-profile case,
[00:12:45.091 --> 00:12:46.972]  The Department of Justice suppressed that.
[00:12:47.492 --> 00:12:50.394]  And so as an ethics lawyer, she became a whistleblower herself.
[00:12:50.494 --> 00:12:52.135]  And now she is representing whistleblowers.
[00:12:52.655 --> 00:12:58.518]  She commented on Twitter and said, and so Petraeus can travel outside the U.S., unlike John Kiriakou.
[00:12:58.999 --> 00:13:00.799]  Yeah, because he's going to travel to Bilderberg.
[00:13:00.840 --> 00:13:01.840]  Can't keep him from that.
[00:13:01.860 --> 00:13:04.541]  I mean, he's become a regular attendee there at Bilderberg.
[00:13:04.582 --> 00:13:07.223]  He's been there the last two or three years.
[00:13:07.263 --> 00:13:08.764]  I know at least two years he's been there.
[00:13:10.025 --> 00:13:16.009]  Kiriakou can't attend his son's graduation, and he can't accept international invitations to speak.
[00:13:16.069 --> 00:13:18.610]  He's basically not allowed to leave the country.
[00:13:18.630 --> 00:13:22.853]  And she also points out that Petraeus is not even going to have to give up his guns.
[00:13:23.874 --> 00:13:28.577]  She said he'll probably, in a little bit of sarcasm, receive a pardon, a parade, and a postage stamp.
[00:13:28.617 --> 00:13:31.219]  Well, for sure we know that he's a presidential advisor.
[00:13:32.180 --> 00:13:34.642]  And he's going to probably increase in that role.
[00:13:34.682 --> 00:13:35.182]  So there you go.
[00:13:35.783 --> 00:13:38.304]  One standard for them and another standard for everybody else.
[00:13:38.405 --> 00:13:45.389]  It's kind of like all these politicians who admit that they smoked marijuana as part of a youthful indiscretion.
[00:13:46.830 --> 00:13:48.792]  And we all should just let that go.
[00:13:48.892 --> 00:13:51.814]  But, you know, they're not going to let any youths go.
[00:13:51.974 --> 00:13:54.796]  They're going to send people to jail for a very long time.
[00:13:54.836 --> 00:13:56.717]  They're going to ruin other people's lives.
[00:13:56.757 --> 00:14:00.240]  But, of course, if it's done within the families of the rich and powerful,
[00:14:00.620 --> 00:14:02.369]  Well, let's just move on.
[00:14:02.409 --> 00:14:03.273]  There's nothing to see.
[00:14:04.688 --> 00:14:12.792]  None of these guys will even consider allowing something like marijuana to be used medically, even though they use it recreationally.
[00:14:12.812 --> 00:14:17.735]  And I'm talking about you, Jeb Bush, especially you, who fought this in Florida.
[00:14:17.875 --> 00:14:21.837]  But of course, Sheldon Adelson was in that as well.
[00:14:21.877 --> 00:14:29.060]  He pretty much funded this effort to shut down medical marijuana in the last election, almost single-handedly provided all the money.
[00:14:29.080 --> 00:14:33.823]  And of course, Sheldon Adelson, if you don't know who he is, he's a Las Vegas casino owner who
[00:14:34.907 --> 00:14:37.710]  Seems to be able to get whatever he wants from the Republican Party.
[00:14:38.070 --> 00:14:46.178]  He made massive contributions to Lindsey Graham, and Lindsey Graham put through a bill to stop online gambling, because you know, that'd be competition to Sheldon Adelson.
[00:14:46.938 --> 00:14:51.383]  I wonder why he got involved in a medical marijuana issue so heavily in Florida.
[00:14:51.403 --> 00:14:52.163]  Does he consider
[00:14:53.177 --> 00:14:59.567]  The possibility that people might use marijuana recreationally, because that was not even on the ballot there.
[00:14:59.988 --> 00:15:04.475]  Does he consider recreational use of marijuana to be a competition to his racket?
[00:15:05.297 --> 00:15:05.797]  To gambling?
[00:15:06.769 --> 00:15:09.630]  And of course, they talk about the Sheldon Adelson primary.
[00:15:10.110 --> 00:15:19.353]  Everybody was talking about how all these candidates were going by in the Republican Party because he spent between 90 and 100 million dollars in the 2008 election.
[00:15:20.194 --> 00:15:23.995]  First backing Newt Gingrich, then backing Mitt Romney.
[00:15:24.015 --> 00:15:29.137]  So he didn't really, he's not very good at picking winners, even though he runs a casino.
[00:15:29.897 --> 00:15:32.179]  Okay, so, but still, it's a lot of money.
[00:15:32.279 --> 00:15:34.221]  He can make a lot of campaigns.
[00:15:34.381 --> 00:15:47.271]  And if people remember what happened in the real Sheldon primary, when Ron Paul backers were essentially blocked from going, they said, basically they had a caucus in Clark County, Nevada.
[00:15:48.320 --> 00:15:53.284]  And that's pretty much the entire population of Nevada lives in Clark County.
[00:15:53.385 --> 00:15:53.765]  It's huge.
[00:15:53.785 --> 00:15:59.570]  It goes from Las Vegas all the way up to the Bundy Ranch and elsewhere, but most of the population is in that one county.
[00:16:00.251 --> 00:16:07.137]  And they had a caucus, and so he said, well, this is going to conflict with, it was on a Saturday night, I think.
[00:16:07.777 --> 00:16:10.038]  That was going to conflict with Jewish people going.
[00:16:10.078 --> 00:16:15.219]  So they were going to have a Jewish only primary on Sunday and they tried to keep people out.
[00:16:15.739 --> 00:16:20.860]  And of course there were people who had reasons besides the Sabbath that they couldn't attend that primary.
[00:16:20.940 --> 00:16:26.321]  It was absolutely outrageous the games and the criminal games that they played in that primary.
[00:16:26.361 --> 00:16:29.842]  But of course now they're back in the open and there's been a lot of talk about how
[00:16:30.959 --> 00:16:50.790]  Sheldon Adelson, the Koch brothers are openly picking candidates and the money that's at stake there is so important that these primaries, these little private hearings that they're having with the billionaires, are perhaps more important than winning some of these small primaries in some of the smaller states.
[00:16:52.011 --> 00:16:56.273]  And so we have to ask, is this an election or is it a selection?
[00:16:57.634 --> 00:16:58.455]  And as H.L.
[00:16:58.495 --> 00:17:03.297]  Mencken said, and we've repeated this many times, an election is an advanced auction of stolen goods.
[00:17:03.337 --> 00:17:05.539]  We can certainly see that with the politicians that are there.
[00:17:05.559 --> 00:17:16.045]  And of course, the author who is coming out with this book showing the Clinton cash and how that has moved around is also working on an expose of Jeb Bush.
[00:17:16.745 --> 00:17:19.367]  It should be a target-rich environment, I imagine.
[00:17:20.648 --> 00:17:25.951]  Also in the news, we see that the economy apparently is not too good, especially if you're selling
[00:17:27.365 --> 00:17:29.486]  Heavily processed, adulterated food.
[00:17:29.526 --> 00:17:31.907]  McDonald's is closing 700 stores.
[00:17:31.947 --> 00:17:35.429]  This is a story that went viral on Infowars.com from Kit Daniels.
[00:17:36.390 --> 00:17:42.012]  They say that the fast food giant quietly closed 350 stores in the first quarter.
[00:17:42.352 --> 00:17:49.116]  So that brings up about a thousand stores in just the first quarter or so of this year.
[00:17:49.696 --> 00:17:59.241]  To put that in perspective, McDonald's has 35,000 stores worldwide, so that's about 3% of their stores they're closing in the first quarter and looking at now.
[00:17:59.261 --> 00:18:05.964]  And of course, one of the reasons is an 11% decline in revenue, a 30% drop in profit for the first three months of the year.
[00:18:06.004 --> 00:18:13.728]  We're seeing a lot of big box retailers as well as these mega corporations are really cutting back.
[00:18:14.768 --> 00:18:20.513]  And again, that points to the concerns that a lot of people have about the state of the economy.
[00:18:20.573 --> 00:18:34.505]  Even though we hear all this rosy news out of the Obama administration, even though the stock market is in a massive bubble, we see that Amazon.com lost, and I don't have the article here, I think it was something like $57 million in the first quarter.
[00:18:35.165 --> 00:18:37.507]  We see that Target closed 300 some odd stores in Canada.
[00:18:40.109 --> 00:18:47.936]  And of course the bankers are talking about how they can try to stimulate the dead economy by going to negative interest rates.
[00:18:47.996 --> 00:18:50.198]  In other words, incentivizing you to go ahead and spend your money.
[00:18:50.238 --> 00:18:51.098]  Don't save anything.
[00:18:51.178 --> 00:18:55.582]  It's not enough of a disincentive to not pay you anything for the money that's in the bank.
[00:18:55.602 --> 00:18:58.184]  So now they're going to actually punish you for saving.
[00:18:58.845 --> 00:18:59.586]  Heavily punish you.
[00:19:00.346 --> 00:19:06.171]  And as a part of that, we talked about that with Paul Joseph Watson earlier this week, instituting
[00:19:08.757 --> 00:19:13.558]  Techniques to abolish the use of cash, and of course the government is heavily into that.
[00:19:14.279 --> 00:19:23.541]  Now, we're going to talk about this Southern Poverty Law Center story and the hit piece they did on the Oath Keepers out in Oregon when Paul Joseph Watson joins us.
[00:19:24.041 --> 00:19:33.284]  I want to play a clip of what one of the people there at the Sugar Pine Mine said, what the real question is when he was talking to the Oath Keepers.
[00:19:33.324 --> 00:19:34.044]  Let's play that clip.
[00:19:34.733 --> 00:19:44.536]  Well, recently there's been some discussion in the media as to whether we were right or wrong to bring in the Oath Keepers to help protect our constitutional rights and our right to due process.
[00:19:45.317 --> 00:19:47.758]  The real question here isn't whether we were right or wrong.
[00:19:48.038 --> 00:19:56.601]  The real question that needs to be asked and discussed is why we have to seek outside help to preserve our own rights in our own country from our own government.
[00:19:58.041 --> 00:19:59.002]  That's the question.
[00:19:59.322 --> 00:20:00.042]  That's the question.
[00:20:00.462 --> 00:20:02.603]  And I can tell you what the answer to that is.
[00:20:03.323 --> 00:20:10.586]  The answer is that our Congress, long ago, long before these trade agreements, they delegated, they abdicated their authority to these bureaucracies.
[00:20:10.606 --> 00:20:11.047]  We'll be right back.
[00:20:11.067 --> 00:20:17.330]  Silver has always been nature's very own antibiotic, and only one system allows you to generate an endless supply of natural silver solutions.
[00:20:17.610 --> 00:20:18.870]  Silverlungs.com.
[00:20:19.010 --> 00:20:21.492]  You'll find no wild claims or pseudoscience.
[00:20:21.692 --> 00:20:24.473]  Just a lifetime of nano-sized pure silver solutions.
[00:20:24.673 --> 00:20:28.799]  The Silver Lungs Generator allows you to make your own, so stop paying for silver solutions.
[00:20:28.939 --> 00:20:34.266]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:20:34.506 --> 00:20:38.171]  See the Silver Lungs Generator and Lung Delivery System at SilverLungs.com.
[00:20:38.312 --> 00:20:39.814]  That's SilverLungs.com.
[00:20:40.214 --> 00:20:45.135]  When the day comes where the world changes forever, you can be ready at a moment's notice.
[00:20:45.635 --> 00:20:52.397]  With Survivalist Camps, the ultimate, fully functional, off-the-grid survival bug-out house that's completely mobile and ready to go.
[00:20:52.757 --> 00:20:56.917]  All the comforts of an RV, but custom-built to outlast any other trailer.
[00:20:57.438 --> 00:20:59.618]  Learn more at survivalistcamps.com.
[00:21:00.118 --> 00:21:03.239]  Due to overwhelming response, limited inventory is available.
[00:21:03.539 --> 00:21:05.959]  Be ready with survivalistcamps.com.
[00:21:06.099 --> 00:21:06.940]  Survivalist Camps.
[00:21:06.960 --> 00:21:09.080]  Providing your basic needs to survive.
[00:21:11.288 --> 00:21:16.252]  KatiArmor.com is your one-stop shop for the most affordable body armor period.
[00:21:16.312 --> 00:21:21.015]  With packages starting at $169.99 and free shipping on every order.
[00:21:21.055 --> 00:21:24.718]  Kati offers soft armor and rifle threat rated armor up to level 4.
[00:21:25.018 --> 00:21:29.782]  Go to KatiArmor.com and get your body armor today while you still can.
[00:21:29.882 --> 00:21:35.106]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:21:35.306 --> 00:21:37.408]  That's KatiArmor.com.
[00:21:38.048 --> 00:21:38.929]  Come and take it!
[00:21:39.369 --> 00:21:41.730]  So the news breaks, Hillary Clinton's running for president.
[00:21:41.830 --> 00:21:46.752]  My buddy Mark says to me, hey, didn't Hillary support the Brady Bill and the assault weapons ban?
[00:21:46.792 --> 00:21:52.734]  And I'm thinking, yeah, 1992 presidential campaign, oh my god, a gun grabber in the White House.
[00:21:53.314 --> 00:21:56.715]  So at Guns80.com, they've come up with a Hillary Clinton special.
[00:21:56.755 --> 00:21:57.875]  They just call it the Hillary.
[00:21:58.315 --> 00:22:02.837]  You even get two 30-round magazines for free, and it's only $4.74.95 for the whole kit.
[00:22:03.217 --> 00:22:07.238]  So get your AR-15 kit and tell Hillary, aha, 844-2GUNS80, that's Guns80.com.
[00:22:09.059 --> 00:22:13.840]  Ladies and gentlemen, Infowarslife.com is offering some of the biggest specials we've ever had.
[00:22:13.860 --> 00:22:18.681]  50% off the super high-quality Colloidal Silver Silver Bullet.
[00:22:18.841 --> 00:22:27.923]  Silver Bullet from Infowarslife.com is free of GMOs, gluten, additives, heavily concentrated in pure deionized water, electrically stabilized to improve potency.
[00:22:28.063 --> 00:22:31.044]  Can store in your preparedness pack or medicine cabinet for years.
[00:22:31.424 --> 00:22:34.124]  Silver Bullet Colloidal Silver, 30 parts per million.
[00:22:34.144 --> 00:22:34.604]  Now $14.95, down from $29.95.
[00:22:37.265 --> 00:22:39.506]  You cannot beat this deal.
[00:22:39.526 --> 00:22:42.627]  50% off on Silver Bullock Colloidal Silver and free shipping.
[00:22:42.787 --> 00:22:45.528]  Now you know that's gonna anger the control freaks.
[00:22:45.869 --> 00:22:48.650]  We've also launched the Alex Jones Challenge Pack.
[00:22:48.730 --> 00:22:52.371]  The three InfoWars Life products that help take me to the next level.
[00:22:52.591 --> 00:22:55.252]  Oxy Powder to flush out the upper and lower intestines.
[00:22:55.372 --> 00:23:02.535]  Survival Shield Nacin Ionine X2 and Super Mel Vitality fused together have given me and many others amazing results.
[00:23:02.875 --> 00:23:06.817]  Discover the groundbreaking, powerfully simple products
[00:23:08.999 --> 00:23:14.684]  It's time to build your own emergency food stockpile with the industry leader, MyPatriotSupply.
[00:23:15.224 --> 00:23:20.829]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:23:21.410 --> 00:23:25.974]  Experience the MyPatriotSupply difference today with this unbelievable offer.
[00:23:26.454 --> 00:23:31.579]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:23:31.859 --> 00:23:33.821]  That's 50% off the online price.
