[00:00:12.373 --> 00:00:13.954]  Welcome, children.
[00:02:28.277 --> 00:02:30.638]  So mommy and daddy aren't going to be able to protect you.
[00:02:32.199 --> 00:02:35.541]  Just like all the big defense contractors caught shipping kids around.
[00:02:35.561 --> 00:02:37.343]  Who do you think they feed them to?
[00:02:37.603 --> 00:02:37.683]  Us!
[00:02:39.005 --> 00:02:41.127]  We're going to ship the narcotics into your country.
[00:02:41.267 --> 00:02:42.409]  We're going to take your kids.
[00:02:42.629 --> 00:02:43.750]  We're going to do whatever we want.
[00:02:44.090 --> 00:02:53.000]  We're going to sit up there on television and in print, on the new trendy group, it's going to be people you used to call pedophiles.
[00:02:53.701 --> 00:02:56.343]  Now we're upstanding citizens and your kids belong to us.
[00:02:57.385 --> 00:02:59.447]  You better get used to that and understand it, kids.
[00:03:00.714 --> 00:03:06.637]  Just like California passed a law that kids can decide to be vaccinated, even if their parents don't want to.
[00:03:07.478 --> 00:03:10.179]  That's us, the state, getting involved with your kids.
[00:03:10.860 --> 00:03:12.881]  What do you think transgender bathrooms are about?
[00:03:13.501 --> 00:03:15.742]  We can teach five-year-olds that there's three bathrooms.
[00:03:16.043 --> 00:03:18.204]  We can teach them to be sexually confused.
[00:03:18.824 --> 00:03:25.288]  And once we set that precedent, NAMBLA, an organization of the United Nations, has accepted and promoted
[00:03:25.928 --> 00:03:30.394]  Can have its way and say that your children could be turned over to us.
[00:03:31.055 --> 00:03:33.879]  So again kids, let me show you the type of place you're going to be living in.
[00:03:34.580 --> 00:03:38.586]  You know the big orphanages we run, different facilities around the country.
[00:03:38.606 --> 00:03:41.029]  This is the type of place you're going to be living.
[00:03:41.069 --> 00:03:42.732]  You don't need your mommy and your daddy.
[00:03:43.277 --> 00:03:47.960]  You don't need the family that belongs to that bygone age of barbarism and evil.
[00:03:48.620 --> 00:03:50.561]  This is where you're going to be living, right here.
[00:03:50.962 --> 00:03:52.423]  Look how beautiful this is.
[00:03:53.243 --> 00:03:58.746]  Look how much you're going to enjoy this, because you've got the state and people like me that really, really love you.
[00:03:59.367 --> 00:04:01.888]  And you've got the papa, the pope.
[00:04:02.649 --> 00:04:04.570]  You know, we took over that organization.
[00:04:05.270 --> 00:04:06.151]  We blackmailed him.
[00:04:07.967 --> 00:04:13.951]  We told him, you let us completely run your organization, we're gonna bring you down with our networks of PVPs inside.
[00:04:14.712 --> 00:04:17.573]  And now the papa, he's come in to take over.
[00:04:18.354 --> 00:04:22.997]  He's letting folks know the state's God, he's telling Catholics, back off on abortion, damn right!
[00:04:23.537 --> 00:04:25.659]  We're gonna sell your babies' body parts.
[00:04:26.485 --> 00:04:28.367]  We're going to keep your babies alive.
[00:04:28.807 --> 00:04:33.192]  We're going to sell their organs because it's loving and it's good.
[00:04:33.572 --> 00:04:35.394]  Just look at where you're going to be living.
[00:04:36.075 --> 00:04:37.957]  Look how much you're going to be enjoying it.
[00:04:38.537 --> 00:04:41.600]  And right in here, there's even more fun.
[00:04:42.481 --> 00:04:45.744]  Because the United Nations has called for us to be broken up the family.
[00:04:45.764 --> 00:04:49.528]  We're going to start human sacrifice in public for Gaia.
[00:04:50.109 --> 00:04:55.735]  So next, little kids, we're going to start killing you in public, according to the United Nations.
[00:04:56.255 --> 00:04:59.999]  Who would have believed we'd be announcing the name Father and Mother?
[00:05:00.499 --> 00:05:02.360]  And boy or girl, if he or she is helpful.
[00:05:02.380 --> 00:05:07.481]  Because the truth is, until you submit to us, you are anathema.
[00:05:08.142 --> 00:05:14.944]  You existing and being happy and having good lives and good husbands and wives and good children is against our way of life.
[00:05:15.464 --> 00:05:17.985]  You're discriminating against us by existing!
[00:05:18.825 --> 00:05:22.787]  So again, I'm going to tell your mommies and your daddies all something right now.
[00:05:23.287 --> 00:05:24.547]  This is your new home.
[00:05:25.267 --> 00:05:26.228]  Right here with us.
[00:05:27.168 --> 00:05:28.869]  And that's why we're coming out in the courts.
[00:05:29.609 --> 00:05:35.472]  We're coming out with our good buddies, like Jimmy Savelle with his torture dungeons and his necrophilia dungeons.
[00:05:35.752 --> 00:05:37.093]  Best friends with Prince Charles.
[00:05:37.793 --> 00:05:39.914]  We're here to tell you, you belong to us.
[00:05:40.935 --> 00:05:47.598]  So when we take one of these bags after we've been torturing you for a few months, and wrap it around your head,
[00:05:49.075 --> 00:05:50.776]  And smother you and kill you!
[00:05:50.796 --> 00:05:51.777]  Ha ha ha ha!
[00:05:52.117 --> 00:05:56.880]  You still won't go to Marnie and Daddy, cause they're gonna want to haul, they're gonna rule you forever.
[00:05:57.280 --> 00:06:01.103]  Cause we're trendy, and we're liberal, and we do what we say.
[00:06:01.543 --> 00:06:11.209]  So you follow the language we say, you talk like we say, and you remember, under the Stockholm Syndrome, you need to submit to us, and do whatever we say.
[00:06:11.869 --> 00:06:15.937]  To the people of the West, you will pay for any illegal aliens, migrants.
[00:06:16.338 --> 00:06:20.886]  You will pay for all the free equipment, all the free babies, all the free welfare.
[00:06:20.926 --> 00:06:21.808]  The same thing to Europe.
[00:06:22.878 --> 00:06:30.580]  We're going to flood you with people and they openly say your women belong to us and we're going to take it from you because you want everything taken from you.
[00:06:31.101 --> 00:06:32.261]  You do whatever you're told.
[00:06:32.621 --> 00:06:34.982]  We set up a culture of submission.
[00:06:35.742 --> 00:06:37.923]  When you give in to us and do whatever you're told.
[00:06:38.623 --> 00:06:42.564]  So, mommies and daddies, show your kids where they're coming.
[00:06:42.964 --> 00:06:44.245]  This is their new heaven.
[00:06:44.625 --> 00:06:46.225]  This is the gods you worshipped.
[00:06:46.886 --> 00:06:50.287]  You think we're going to stop with 54 million aborted babies in America?
[00:06:51.087 --> 00:06:52.708]  We're gonna keep the babies alive.
[00:06:52.968 --> 00:06:54.329]  We're gonna sell their organs.
[00:06:54.629 --> 00:06:56.049]  We're gonna kill the old people.
[00:06:56.330 --> 00:06:57.470]  We're gonna kill the vets.
[00:06:57.750 --> 00:06:59.171]  We're gonna cut their funding off.
[00:06:59.411 --> 00:07:00.511]  We got death lists.
[00:07:00.752 --> 00:07:01.512]  Death panels.
[00:07:02.092 --> 00:07:02.793]  You want death?
[00:07:02.833 --> 00:07:03.633]  You're gonna get it.
[00:07:04.093 --> 00:07:05.294]  It's what you're looking for.
[00:07:05.574 --> 00:07:06.634]  It's what you're begging for.
[00:07:06.674 --> 00:07:07.835]  It's what we're gonna give you.
[00:07:08.295 --> 00:07:09.436]  This is what you asked for.
[00:07:10.356 --> 00:07:15.177]  So now a message from the former pedophiles to now the heroes.
[00:07:15.377 --> 00:07:17.558]  A message from the heroes to the slaves.
[00:07:18.298 --> 00:07:21.918]  You're gonna see us, mark my words, on ESPN getting Courage Awards.
[00:07:22.659 --> 00:07:23.679]  Mark my words.
[00:07:23.799 --> 00:07:25.579]  Put the kids over there, we'll get them in a minute.
[00:07:26.239 --> 00:07:28.700]  Another shipment.
[00:07:28.820 --> 00:07:29.980]  Suck their souls out.
[00:07:30.380 --> 00:07:32.261]  Take their innocence and destroy it.
[00:07:32.701 --> 00:07:33.801]  You're going to see us.
[00:07:36.257 --> 00:07:37.278]  We're good to go.
[00:07:37.318 --> 00:07:37.958]  We're good to go.
[00:07:57.071 --> 00:07:58.573]  Give us full control!
[00:07:58.733 --> 00:07:59.794]  Ha ha ha ha ha!
[00:08:00.595 --> 00:08:03.158]  Brought to you by the P.B.P.
[00:08:03.238 --> 00:08:03.959]  Network.
[00:08:04.520 --> 00:08:07.783]  Cause your children belong to us!
[00:08:08.104 --> 00:08:10.246]  Ha ha ha ha ha!
[00:08:10.647 --> 00:08:16.433]  DynCorp was exposed for having been involved in the buying and selling of young women and children.
[00:08:17.403 --> 00:08:30.029]  While all of this was going on, DynCorp kept the Pentagon contract to administer the smallpox and anthrax vaccines, and is now working on a plague vaccine through the Joint Vaccine Acquisition Program.
[00:08:31.250 --> 00:08:33.431]  Mr. Secretary, is it policy of the U.S.
[00:08:33.471 --> 00:08:36.893]  government to reward companies that traffic in women and little girls?
[00:08:37.572 --> 00:08:38.472]  Absolutely not.
[00:08:38.613 --> 00:08:48.617]  The policy of the United States government is clear, unambiguous, and opposed to the activities that you described.
[00:08:49.417 --> 00:08:52.679]  The second question?
[00:08:53.239 --> 00:09:02.183]  Well, how do you explain the fact that DynCorp and its successor companies have received and continue to receive government contracts?
[00:09:03.849 --> 00:09:18.539]  I would have to go and find the facts, but there are laws and rules and regulations with respect to government contracts, and there are times that corporations do things they should not do, in which case they tend to be suspended for some period.
[00:09:18.999 --> 00:09:29.446]  There are times then that under the laws and the rules and regulations passed by the Congress and implemented by the executive branch, that corporations can get off of
[00:09:30.787 --> 00:09:37.208]  Out of the penalty box, if you will, and be permitted to engage in contracts with the government.
[00:09:37.248 --> 00:09:40.369]  They're generally not barred in perpetuity.
[00:09:40.569 --> 00:09:45.050]  This contract, this company was never in the penalty box.
[00:09:45.110 --> 00:09:47.031]  If you could proceed to my second question, please.
[00:09:49.711 --> 00:09:58.213]  The second question... I've forgotten what the second question was.
[00:10:08.001 --> 00:10:15.844]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:10:16.104 --> 00:10:18.185]  All the major networks are state-run.
[00:10:18.345 --> 00:10:20.986]  We are partnering this year with the NFL.
[00:10:21.046 --> 00:10:25.148]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:10:25.468 --> 00:10:28.629]  MSNBC tells us that our children belong to the state.
[00:10:28.649 --> 00:10:35.892]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:10:36.092 --> 00:10:40.216]  It is more important than ever to realize that we are not the alternative media.
[00:10:40.396 --> 00:10:42.058]  We are the true media.
[00:10:42.198 --> 00:10:44.820]  The establishment dinosaur press is dying.
[00:10:44.920 --> 00:10:48.564]  We are in an information war, and we are losing that war.
[00:10:48.664 --> 00:10:52.788]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:10:52.988 --> 00:10:55.851]  Members can share their memberships with up to 11 people.
[00:10:55.971 --> 00:11:00.335]  By subscribing, you will literally be buying war bonds in the info war.
[00:11:00.615 --> 00:11:03.519]  To expand our operation in the face of the tyrants.
[00:11:03.819 --> 00:11:05.541]  Join us at PrisonPlanet.tv
