[00:00:11.869 --> 00:00:13.390]  The joint meeting will come to order.
[00:05:01.554 --> 00:05:08.039]  Remember when Netanyahu testified in 2002 that Saddam Hussein had weapons of mass destruction?
[00:05:08.080 --> 00:05:10.442]  There is no question whatsoever
[00:05:11.069 --> 00:05:17.572]  That Saddam is seeking and is working and is advancing towards the development of nuclear weapons.
[00:05:17.992 --> 00:05:19.572]  No question whatsoever.
[00:05:20.133 --> 00:05:24.975]  And there is no question that once he acquires it, history shifts immediately.
[00:05:25.355 --> 00:05:34.698]  A recent poll conducted by Al Jazeera America and Monmouth University reveals the demographics in our living and breathing culture of fear.
[00:05:35.279 --> 00:05:38.520]  48% disapprove of Barack Obama's job as president.
[00:05:39.460 --> 00:05:41.802]  70% disapprove of the job the U.S.
[00:05:41.862 --> 00:05:43.803]  Congress is doing.
[00:05:44.323 --> 00:05:49.005]  59% believe Iran will not abide by any nuclear agreement.
[00:05:49.566 --> 00:05:52.347]  75% think ISIS is a major threat to U.S.
[00:05:52.407 --> 00:05:53.408]  national security.
[00:05:54.849 --> 00:05:58.811]  45% expect a somewhat likely terroristic threat in the next few months.
[00:05:59.371 --> 00:06:02.132]  And 49% don't believe the U.S.
[00:06:02.212 --> 00:06:04.674]  is doing enough to curb these attacks.
[00:06:05.294 --> 00:06:13.456]  The minions of the New World Order always call for vigilance in the face of terror, as if it doesn't already exist in the United States.
[00:06:14.236 --> 00:06:25.098]  Our vigilance and unrelenting watch should be to avoid their globalist parlor tricks and focus on the few leaders that refuse to relinquish our Republic's founding principles.
[00:06:25.118 --> 00:06:34.220]  There may be a false flag incident where some ship goes down and you'd be used for the excuse to accelerate the next war.
[00:06:34.540 --> 00:06:37.422]  You've got a lot of factions in the military-industrial complex who want more war.
[00:06:37.442 --> 00:06:39.925]  You've got a lot of crazies in the Middle East who want more war.
[00:06:40.205 --> 00:06:46.690]  You've got Israel involved with the West, all guilty, like our military said two years ago, of arming al-Qaeda to attack Syria.
[00:06:47.091 --> 00:06:48.071]  A war crime!
[00:06:48.352 --> 00:06:49.272]  Killing Christians!
[00:06:49.793 --> 00:06:51.094]  I'm very angry with Israel.
[00:06:51.554 --> 00:06:53.056]  I'm very angry with our own government.
[00:06:53.356 --> 00:06:55.237]  I'm very angry with Turkey.
[00:06:57.539 --> 00:07:00.722]  See, I'm not especially angry with Israel, because I'm not...
[00:07:02.237 --> 00:07:03.139]  Mindless hater!
[00:07:03.821 --> 00:07:05.506]  John Barron for InfoWars.com
[00:07:15.674 --> 00:07:21.796]  General, what do you think about the FBI saying that there was a terror alert on Monday about a potential forfeiture situation?
[00:07:21.816 --> 00:07:25.157]  The police are shoving people, shoving Alex, shoving the crowd.
[00:07:25.217 --> 00:07:26.837]  Here we go, folks, I'm being assaulted!
[00:07:26.897 --> 00:07:33.119]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:07:33.259 --> 00:07:39.141]  Is this another false flag stage attack to take our civil liberties and put more homeless in security by sticking their hands down on the pants on the streets?
[00:07:39.301 --> 00:07:43.064]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:07:43.264 --> 00:07:46.166]  And that's what PrisonPlanet.TV is designed to do.
[00:07:46.186 --> 00:07:54.332]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:07:54.612 --> 00:07:56.654]  What we see now is a war against reality.
[00:07:56.714 --> 00:07:57.755]  It's a war against the truth.
[00:07:58.115 --> 00:08:06.864]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:08:07.064 --> 00:08:09.506]  Visit InfoWarsNews.com today.
[00:08:09.726 --> 00:08:14.031]  Become a member, share your membership, and help take the info war to the next level.
