[00:00:00.009 --> 00:00:02.970]  Infowarslife.com or call 888-253-3139.
[00:03:28.102 --> 00:03:30.163]  But then Trump went a bit further.
[00:03:30.763 --> 00:03:32.044]  As he always does.
[00:03:32.104 --> 00:03:34.466]  He's not just going to go on the defense.
[00:03:34.506 --> 00:03:36.167]  He always goes on the offense.
[00:03:36.227 --> 00:03:40.530]  And he says, what you really need to be talking about is the war on Christians.
[00:03:40.590 --> 00:03:41.670]  And we're going to talk about that.
[00:03:41.710 --> 00:03:43.772]  He's absolutely right about that.
[00:03:43.852 --> 00:03:47.074]  We've talked about that many times for a very long time here on InfoWars.
[00:03:47.094 --> 00:03:50.256]  We're going to tell you what we've said in the past, what is going on.
[00:03:50.296 --> 00:03:53.838]  We're going to tell you that, yes, there is a war on Christians worldwide.
[00:03:54.339 --> 00:03:56.840]  There's a war on Christians coming out of Washington, D.C.
[00:03:57.021 --> 00:03:57.581]  as well.
[00:03:57.961 --> 00:04:00.383]  And this should concern you even if you're not a Christian.
[00:04:01.023 --> 00:04:04.944]  It should concern you because of the way that it's being done.
[00:04:05.564 --> 00:04:13.806]  Because it's another example of how the rule of law is being shunned in favor of dictatorship, essentially.
[00:04:13.846 --> 00:04:19.267]  The dictatorship of a president, the dictatorship of a bureaucracy, the dictatorship of political correctness.
[00:04:19.467 --> 00:04:24.608]  That's why it should concern you, because it's going to be pervasive in a number of other areas.
[00:04:25.327 --> 00:04:31.189]  Now this war of religions, and of course this is a minefield, and we're not going to tiptoe through it, we're going to go running through it today.
[00:04:31.209 --> 00:04:44.112]  So I'm sure that some people are going to get upset about what we have to say, but I'm going to try to explain to you why this is a broader issue, not something that is just a war of religions.
[00:04:45.413 --> 00:04:46.053]  Earlier today,
[00:04:47.228 --> 00:04:52.311]  Unmeet the Press, they talked to Ben Carson along these same lines, and he made a very controversial statement.
[00:04:52.351 --> 00:04:54.772]  He said he didn't believe that a Muslim should be president.
[00:04:55.512 --> 00:04:59.775]  We're going to talk about that when we come back, as well as many other topics.
[00:04:59.955 --> 00:05:01.135]  Stay with us, we'll be right back.
[00:05:02.556 --> 00:05:05.538]  And we'll have Alex Jones joining us briefly at the top of this hour.
[00:05:05.558 --> 00:05:06.098]  We'll be right back.
[00:05:11.004 --> 00:05:13.665]  Breaking now at Infowars.com Top Imam!
[00:05:13.905 --> 00:05:17.387]  Muslim migrants should breed with Europeans to conquer their countries.
[00:05:17.647 --> 00:05:25.171]  Sheikh Mohammed Aid recently gave a speech in which he asserted that Muslims should use the migrant crisis to breed with European citizens to conquer their countries.
[00:05:25.451 --> 00:05:30.113]  Aid stated that European countries were not rolling out the red carpet for migrants because they were compassionate.
[00:05:30.233 --> 00:05:32.915]  But because Europe was in dire need of a new source of labor.
[00:05:33.075 --> 00:05:35.637]  Soon we will trample them underfoot, Allah willing, he said.
[00:05:35.837 --> 00:05:45.244]  The Imam's statements directly echo a philosophy born in the early 20th century called the Kalergi Plan, devised by an Austrian diplomat named Richard Codenhof Kalergi.
[00:05:45.404 --> 00:05:47.946]  He writes, the band of the future will be of mixed race.
[00:05:48.186 --> 00:05:53.290]  Today's races and classes will gradually disappear owing to the vanishing of space, time and prejudice.
[00:05:53.450 --> 00:06:00.961]  The Eurasian Negroid race of the future, similar in appearance to that of ancient Egyptians, will replace the diversity of peoples with the diversity of individuals.
[00:06:01.281 --> 00:06:04.145]  Rob Dew reporting for InfoWars.com and PrisonPlanet.tv.
[00:06:04.285 --> 00:06:10.434]  We're holding the Operation Money Bomb specials over until the end of the weekend, so log on now to InfoWars.com forward slash money bomb.
[00:06:12.478 --> 00:06:23.647]  Alex Jones here with my co-host David Knight thanking all the info warriors who in the last few days made history by donating to the 2015 Operation Money Bomb war chest.
[00:06:24.227 --> 00:06:28.511]  We have raised close to a million dollars that is absolutely essential
[00:06:29.031 --> 00:06:38.001]  To beam via satellite to thousands of UHF, VHF and cable stations around North America and all the way down into Central America.
[00:06:38.402 --> 00:06:40.824]  The world is hungry for the message of liberty.
[00:06:41.205 --> 00:06:48.974]  And one of the favorite refrains of our founding fathers was that all that evil men and tyranny to flourish is that good men and women do nothing.
[00:06:49.594 --> 00:06:52.515]  So, we're not claiming that we're going to save the world by doing this.
[00:06:53.015 --> 00:07:02.038]  But together, taking action, in little ways, small ways, big ways, huge ways, we are going to change the course of history.
[00:07:02.538 --> 00:07:05.159]  What the globalists are doing is incredibly unpopular.
[00:07:05.779 --> 00:07:07.680]  It's illegal, it's tyrannical.
[00:07:07.700 --> 00:07:11.861]  Whether it's harvesting baby parts worldwide, and China selling organs,
[00:07:12.581 --> 00:07:22.708]  Whether it's the forced inoculation agenda planetary-wide, whether it's funding radical Islamic groups to destabilize areas of the world, it's all criminal and it's all run by the same people.
[00:07:23.048 --> 00:07:31.214]  So because we've done the research, because we know who the enemy is, it's our responsibility to not just sit here and reach 20, 30 million people a week.
[00:07:31.674 --> 00:07:37.839]  So we're launching the first phase of a program to eventually have satellites covering free-to-air
[00:07:38.539 --> 00:07:40.901]  The entire populated world.
[00:07:41.361 --> 00:07:51.448]  And we've built the team now with David Knight and the other reporters and anchors and the journalist and the investigative researchers and the writers to really give the globalists a run for their money.
[00:07:51.748 --> 00:07:56.411]  We're about to update InfoWars.com and PrisonPlanet.com with new more modern designs.
[00:07:56.751 --> 00:07:58.412]  We're about to launch a lot of new things here.
[00:07:58.672 --> 00:08:06.157]  But I just wanted to thank all of you who did donate, who bought the products in the last two days because you've raised almost a million dollars.
[00:08:07.598 --> 00:08:13.422]  It's been three years since we've had a fundraiser and I want to actually reach our goal of a million dollars.
[00:08:13.462 --> 00:08:18.005]  We need to do it to be able to get a couple more reporters some of the more expensive equipment we need.
[00:08:18.285 --> 00:08:19.205]  We've paid for the satellite.
[00:08:19.226 --> 00:08:20.366]  We've paid for the closed captioning.
[00:08:20.686 --> 00:08:22.928]  We've paid for a lot of the groundwork.
[00:08:23.188 --> 00:08:24.028]  To get this going.
[00:08:24.188 --> 00:08:25.629]  We're already up on the satellite.
[00:08:25.889 --> 00:08:27.290]  Affiliates are already tuning in.
[00:08:27.630 --> 00:08:28.951]  Already signing on right now.
[00:08:29.271 --> 00:08:31.232]  So thank God and thank all of you.
[00:08:31.732 --> 00:08:37.955]  But now we need to go to that next level to ensure that over the next 12 months we're able to complete this operation.
[00:08:38.315 --> 00:08:43.537]  And my plan is to then make it self-sufficient and we'll never have another fundraiser again.
[00:08:43.818 --> 00:08:44.158]  We may.
[00:08:45.138 --> 00:08:46.679]  It was three years since I had another one.
[00:08:47.380 --> 00:08:54.305]  We want to, again, not be under the control of sponsors, not be under the control of outside advertisers.
[00:08:54.705 --> 00:08:59.989]  We want to be independent selling high quality products that you believe in, that you use, that you like.
[00:09:00.429 --> 00:09:04.732]  But, occasionally we do come to you to ask us to help bring this operation to the next level.
[00:09:05.073 --> 00:09:08.315]  But you've got to feel really good right now knowing that you've done that.
[00:09:08.635 --> 00:09:10.036]  And we've pretty much reached our goals.
[00:09:10.377 --> 00:09:12.038]  But, in the interest of that,
[00:09:13.277 --> 00:09:22.802]  We want to extend the sales, massive sales of upwards of 20% off, free shipping, you name it, on hundreds of items at InfoWareStore.com.
[00:09:23.182 --> 00:09:24.803]  You can also call 888-253-3139.
[00:09:25.063 --> 00:09:32.007]  We're going to run that through Friday, Saturday, into Sunday at 6 o'clock
[00:09:32.367 --> 00:09:33.568]  Central Standard Time.
[00:09:33.848 --> 00:09:39.733]  David's going to be hosting the Sunday show this weekend, and when it ends, we will have to turn off those specials.
[00:09:40.053 --> 00:09:49.240]  Because we're contractually, through some of these suppliers, unable to continue to offer some of these products at the prices we're offering, because it
[00:09:49.620 --> 00:09:51.602]  Hurts the competition a little too much.
[00:09:51.982 --> 00:09:53.323]  So again, I want to thank you all.
[00:09:53.764 --> 00:10:03.933]  I want to invite you to double down on this revolution against tyranny, or if you haven't donated, or if you haven't checked out the great products at InfoWarsTore.com, I want to invite you to check it out.
[00:10:04.213 --> 00:10:06.175]  David Knight, you've been here three years.
[00:10:06.675 --> 00:10:07.736]  We don't use teleprompters.
[00:10:07.796 --> 00:10:08.677]  We don't script this.
[00:10:08.978 --> 00:10:12.260]  I just called you in here five minutes ago and said, I want to thank everybody.
[00:10:12.281 --> 00:10:14.803]  I want to encourage them to be part of this.
[00:10:15.363 --> 00:10:32.900]  This is historic what we're doing and I wanted you, I'm telling you now, to speak to what it's been like for you being here three years and where you see the info war going from this point because you didn't win a contest five years ago you entered but out of that we offered to hire you, you move your family down here from the Carolinas,
[00:10:33.300 --> 00:10:38.743]  And I want you to share your experience, teleprompter free, unscripted, of what it's been like, and have a message for folks.
[00:10:39.003 --> 00:10:46.507]  But most importantly, I wanted to thank you as representative of the listeners, who don't just stand, as I've said, beside us, but at the heart of what we're doing.
[00:10:46.747 --> 00:10:50.189]  David Knight was a listener, and a family man, and a business owner, an engineer.
[00:10:50.549 --> 00:10:53.791]  And he pulled up stakes and came down here, and now he's hosting the show.
[00:10:54.031 --> 00:10:55.392]  Now he's reaching tens of millions.
[00:10:55.712 --> 00:10:59.314]  And so he's a microcosm of what supporting ideas does.
[00:11:00.254 --> 00:11:03.638]  Evil's only winning because good men and women haven't gone off the bench in the fight.
[00:11:03.858 --> 00:11:09.043]  So, David, I want you to close this out, spend a few minutes, but I love you and your family, and I appreciate you.
[00:11:09.063 --> 00:11:09.504]  Thank you.
[00:11:09.724 --> 00:11:10.004]  Thank you.
[00:11:10.044 --> 00:11:11.726]  It's amazing to work with such great people.
[00:11:11.766 --> 00:11:12.387]  Thank you so much.
[00:11:12.447 --> 00:11:21.256]  And I can tell you that what I've seen here in this amount of time is how Alex is pouring this back into expanding the information outreach.
[00:11:21.776 --> 00:11:25.080]  We're not sitting on a hoard of gold like some kind of a dragon.
[00:11:25.540 --> 00:11:26.842]  He is investing this.
[00:11:26.902 --> 00:11:37.073]  I've seen massive changes, not only expansion in the number of personnel, but also expansion in the studios that we've put there, which is essential for us to be able to reach out to people, to have something that looks professional.
[00:11:37.434 --> 00:11:39.536]  People won't tune in and listen to you.
[00:11:39.556 --> 00:11:41.879]  If you're trying to reach somebody that's never heard this message before,
[00:11:42.379 --> 00:11:47.423]  You've got a lot of obstacles in front of you because they've never heard this kind of information before.
[00:11:47.443 --> 00:11:53.708]  They're getting a very different story from the planned information that's coming out of the mainstream media.
[00:11:54.129 --> 00:11:58.752]  And so when we hit them with very different information, if we look extremely different, that's very difficult for us to reach them.
[00:11:59.073 --> 00:12:01.775]  So we have to have a certain way to present it.
[00:12:01.795 --> 00:12:04.557]  We have to have certain ways that we can reach out to people.
[00:12:05.017 --> 00:12:07.620]  That's what I've seen Alex doing, is investing in this.
[00:12:08.560 --> 00:12:08.940]  All out.
[00:12:09.120 --> 00:12:14.901]  As I said before, when we saw what happened with Sandy Hook, we knew what was going to be done with this.
[00:12:14.961 --> 00:12:17.682]  We knew this was a massive push to take away the Second Amendment.
[00:12:17.702 --> 00:12:20.322]  We know how important all of our rights are.
[00:12:20.362 --> 00:12:23.883]  But we know that the Second Amendment is guaranteeing these other rights as well.
[00:12:24.303 --> 00:12:27.444]  And I remember how it was like this money bomb effort.
[00:12:27.824 --> 00:12:33.025]  For a couple of weeks at the very beginning, it was just around the clock, pushing back against this.
[00:12:33.065 --> 00:12:33.665]  What can we do?
[00:12:33.745 --> 00:12:36.046]  How can we expose where they're going with this?
[00:12:36.086 --> 00:12:37.026]  What they're doing with this?
[00:12:38.346 --> 00:12:40.067]  We've seen this happen over and over again.
[00:12:40.127 --> 00:12:40.867]  It's going to happen again.
[00:12:41.307 --> 00:12:45.128]  There's been multiple times since I've been here that we have made a difference.
[00:12:45.628 --> 00:12:47.309]  You passing our information along.
[00:12:47.749 --> 00:12:53.050]  You being a subscriber to the nightly news when we were fighting against these expansions in the war on Syria.
[00:12:53.090 --> 00:12:55.391]  When they had the false flag attacks with the sarin gas.
[00:12:55.911 --> 00:12:57.453]  We explained that to people.
[00:12:57.914 --> 00:13:01.879]  We were leading the fight and explaining to people what was really going on there.
[00:13:01.920 --> 00:13:10.011]  Now it's breaking that our government has been working with Chechen rebels, bringing them in, training them, injecting them into Syria, going back to 2012.
[00:13:11.272 --> 00:13:12.975]  Mainstream media is reporting that now.
[00:13:13.395 --> 00:13:17.060]  Reporting the fact that we have American troops on the ground in Syria.
[00:13:17.321 --> 00:13:22.768]  A day after everybody was saying it's so dangerous and provocative that Putin is saying he's going to put Russian troops there.
[00:13:23.149 --> 00:13:28.056]  So it's very important it has real world consequences for all of us to understand
[00:13:28.556 --> 00:13:29.397]  What is behind this?
[00:13:29.637 --> 00:13:30.358]  What is happening?
[00:13:30.658 --> 00:13:36.924]  That's why it is imperative for all of us to understand what's going on and to warn our neighbors what's going on.
[00:13:37.104 --> 00:13:41.067]  There's been so many issues on which InfoWars has been a real game-changer.
[00:13:41.108 --> 00:13:44.130]  But we've made a real difference with you, with your support.
[00:13:44.170 --> 00:13:47.573]  That's why it's vital for you to join with us and support us now.
[00:13:48.114 --> 00:13:49.555]  Thank you so much for standing with us.
[00:13:49.855 --> 00:13:51.177]  Thank you so much for your support.
[00:13:51.377 --> 00:13:54.720]  Let's get that last bit of effort to finish this off.
[00:13:55.180 --> 00:13:59.086]  For FFWA's Nightly News and for the Alex Jones Radio Show, I'm David Knight.
[00:14:00.678 --> 00:14:02.439]  And again, thank you so much for your help.
[00:14:02.479 --> 00:14:06.603]  Sometime yesterday, we reached the goal of $1 million.
[00:14:07.083 --> 00:14:07.984]  Thank you so much for that.
[00:14:08.064 --> 00:14:14.268]  And as a thank you, Alex has extended free shipping on anything you want to get at the store until midnight tonight.
[00:14:15.069 --> 00:14:18.932]  It is very, very important that you've stood with us, and we cannot thank you enough.
[00:14:18.972 --> 00:14:20.773]  Your support is absolutely overwhelming.
[00:14:21.033 --> 00:14:22.995]  Now help us get on these stations.
[00:14:23.015 --> 00:14:25.617]  You can find that information there at the Money Bomb.
[00:14:25.637 --> 00:14:27.198]  There's a PDF to download.
[00:14:27.498 --> 00:14:38.421]  To let you know if you have a satellite system where you can listen to this directly, how you can do that, but also how you can approach stations and let them know there's an interest in your area.
[00:14:38.461 --> 00:14:39.221]  That is vital.
[00:14:39.702 --> 00:14:44.343]  We're confident that if we get on the stations in those areas that we will do very well.
[00:14:44.363 --> 00:14:48.044]  We've seen this happen in the past and we know that it will happen as well.
[00:14:48.064 --> 00:14:54.806]  As I mentioned in the last segment, just looking at the experience that Alex had with radio in Orlando, going head-to-head with
[00:14:55.326 --> 00:15:20.587]  Alex Jones on a station there immediately shot to number one and of course that station got sold right away after just a couple of months of that happening they got sold and changed the format of that station so Alex is joked if you want to make a profit on your station just carry his radio program and you're likely to get sold and changed over to another format just to get him off just to get him off of the competition because we have a message
[00:15:21.247 --> 00:15:25.391]  That the mainstream media, whether it's conservative or liberal, does not want you to hear.
[00:15:25.832 --> 00:15:29.295]  They have a very narrow, controlled narrative that they want to feed you.
[00:15:29.595 --> 00:15:32.878]  A very controlled this or that narrative.
[00:15:33.158 --> 00:15:34.800]  It's either this one or that one.
[00:15:34.840 --> 00:15:39.885]  But there are so many issues and the bigger picture that they do not want you to see.
[00:15:40.105 --> 00:15:41.727]  Here's some of the news that we're going to be covering today.
[00:15:42.327 --> 00:15:46.068]  Of course, there's the back and forth between Trump versus Obama, the war on Christians.
[00:15:46.308 --> 00:15:53.811]  We're also going to be looking at the comments that Ben Carson made today, earlier on Meet the Press, about whether or not there should be a Muslim president.
[00:15:54.391 --> 00:15:59.432]  We've got the United States preparing for a new war against Russia, and guess what?
[00:15:59.452 --> 00:15:59.952]  The U.S.
[00:16:00.012 --> 00:16:01.853]  keeps losing in these war games.
[00:16:02.493 --> 00:16:02.793]  Really?
[00:16:02.813 --> 00:16:03.894]  Stay with us.
[00:16:04.094 --> 00:16:04.854]  We're going to be right back.
[00:16:10.023 --> 00:16:16.184]  Another major health threat, this one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:16:16.264 --> 00:16:18.905]  Ohio's governor declaring a state of emergency.
[00:16:18.945 --> 00:16:25.707]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:16:25.987 --> 00:16:28.847]  If there's a water emergency, will you be prepared?
[00:16:28.867 --> 00:16:31.888]  Panicked residents forming long lines throughout the day.
[00:16:31.908 --> 00:16:33.908]  We're here at a supermarket in Toledo.
[00:16:33.928 --> 00:16:36.789]  You can see the shelves empty where water once was.
[00:16:36.869 --> 00:16:42.371]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:16:42.591 --> 00:16:46.072]  Water which will not be available at your local grocery store.
[00:16:46.092 --> 00:16:49.093]  There's a mad dash on right now to stock up on supplies.
[00:16:49.193 --> 00:16:56.295]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:16:56.515 --> 00:16:59.556]  Protect your family's safety during an emergency.
[00:16:59.716 --> 00:17:05.998]  Go to infowarsstore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[00:17:06.118 --> 00:17:08.039]  Or call 1-888-253-3139.
[00:17:09.801 --> 00:17:19.728]  Most of the InfoWars radio listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[00:17:19.928 --> 00:17:25.913]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[00:17:26.053 --> 00:17:31.637]  They call it their low-profile platform, PVX Muzzle Brakes, proven to help control muzzle rise.
[00:17:32.978 --> 00:17:35.519]  6061 billet material with type 3 hard coating.
[00:17:35.759 --> 00:17:39.020]  Bolt carrier group for .308 and .556 ARs.
[00:17:39.381 --> 00:17:40.641]  Custom Kydex holsters.
[00:17:40.941 --> 00:17:45.644]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[00:17:45.804 --> 00:17:47.925]  Most competitors' material use .060.
[00:17:48.805 --> 00:17:51.466]  Configure yours today at hdfirearms.com.
[00:17:51.686 --> 00:17:53.587]  And my favorite, single stage trigger.
[00:17:53.747 --> 00:17:57.149]  A home run upgrade for your AR-15 and AR-10 platforms.
[00:17:57.369 --> 00:18:00.733]  Find out more at HDFirearms.com today or call 770-485-7015.
[00:18:00.753 --> 00:18:02.014]  That's HDFirearms.com or call 770-485-7015.
[00:18:10.666 --> 00:18:11.947]  It's now more clear than ever.
[00:18:12.147 --> 00:18:15.729]  The Globalists have launched a planetary destabilization plan.
[00:18:15.970 --> 00:18:19.572]  Here at the InfoWars operation, we hope and pray that this is not the case.
[00:18:19.852 --> 00:18:23.675]  But the signs of things deteriorating around the world are unmistakable.
[00:18:23.875 --> 00:18:30.500]  For many years, I've been working with MyPatriotSupply, and we have now developed a private label called InfoWars Select.
[00:18:30.640 --> 00:18:35.383]  Look, it's important to have firearms and water filtration during a collapse, but you've also got to have food.
[00:18:35.643 --> 00:18:39.706]  InfoWars Select is a wide variety of their highest quality packages,
[00:18:40.006 --> 00:18:43.407]  At the lowest price they have ever offered before.
[00:18:43.507 --> 00:18:45.788]  It's an introductory offer for only two weeks.
[00:18:46.008 --> 00:18:57.072]  Visit InfoWarsSelect.com or InfoWarsStore.com and find out why these meals are the highest quality, longest lasting, easiest to transport food solutions you're going to find anywhere.
[00:18:57.212 --> 00:18:59.373]  Visit InfoWarsSelect.com today.
[00:18:59.533 --> 00:19:03.115]  Watch the informational videos and check out the wide selection for yourselves.
[00:19:03.235 --> 00:19:06.476]  That's InfoWarsSelect.com or InfoWarsStore.com.
[00:19:06.736 --> 00:19:08.517]  Or call 888-253-3139.
[00:19:09.177 --> 00:19:13.679]  When cells become toxic, they die early, and aging sets in.
[00:19:13.980 --> 00:19:22.003]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:19:22.223 --> 00:19:27.246]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:19:27.646 --> 00:19:29.929]  You want the best that's out there at the lowest price anywhere?
[00:19:30.169 --> 00:19:31.971]  We now have the synergistic solution.
[00:19:32.291 --> 00:19:36.476]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:19:40.539 --> 00:19:44.761]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:19:44.901 --> 00:19:48.862]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:19:49.063 --> 00:19:53.844]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:19:54.005 --> 00:19:58.546]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:19:58.666 --> 00:20:01.988]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:20:02.148 --> 00:20:05.469]  Now available in our limited first run at Infowarslife.com.
[00:20:05.609 --> 00:20:07.410]  That's Infowarslife.com or call 888-253-3139.
[00:20:13.923 --> 00:20:16.625]  You're listening to the Alex Jones Show.
[00:20:22.770 --> 00:20:31.016]  You want answers?
[00:20:31.437 --> 00:20:32.998]  Well, so does he.
[00:20:33.198 --> 00:20:34.980]  It's Alex Jones.
[00:20:40.220 --> 00:20:43.023]  Welcome back to the Alex Jones Show on this Sunday, September 20th, 2015.
[00:20:43.403 --> 00:20:45.105]  I'm David Knight, your host.
[00:20:45.826 --> 00:20:48.548]  We have a host of issues we're going to talk about today.
[00:20:48.588 --> 00:20:52.412]  Donald Trump released a new position paper on the Second Amendment.
[00:20:52.452 --> 00:20:53.734]  We're going to break that down for you.
[00:20:53.854 --> 00:21:00.340]  Earlier this morning on Meet the Press, Ben Carson was asked if a Muslim could be president.
[00:21:00.400 --> 00:21:02.382]  We're going to talk about his comments on that.
[00:21:02.402 --> 00:21:03.703]  But before we get to those issues...
[00:21:04.324 --> 00:21:12.867]  I want to go over this back and forth that's been developing over the last several days between Trump and the press, and I would say also Obama.
[00:21:12.887 --> 00:21:22.709]  Of course, he took a lot of flack because a man stood up at one of the rallies and said, you know, Obama's a Muslim, he's not even an American citizen, we've got these camps all over the place, what are you going to do about this?
[00:21:23.730 --> 00:21:27.451]  And the media was absolutely livid that he did not
[00:21:28.413 --> 00:21:34.401]  Reprimand this individual for saying that Obama was a Muslim, not an American citizen.
[00:21:34.481 --> 00:21:40.829]  To which Trump responded, I'm not morally obligated to defend Obama from the birthers.
[00:21:40.849 --> 00:21:45.014]  He says if the roles were reversed, Obama would not come to his defense.
[00:21:45.554 --> 00:21:46.315]  Absolutely right.
[00:21:46.355 --> 00:21:47.257]  Here's what he tweeted out.
[00:21:47.912 --> 00:21:50.433]  This is a story we have up on InfoWars.com from The Hill.
[00:21:50.954 --> 00:21:56.997]  Donald Trump tweeted out, am I morally obligated to defend the president every time somebody says something bad or controversial about him?
[00:21:57.457 --> 00:21:58.277]  I don't think so.
[00:21:58.297 --> 00:22:00.078]  That's right, he certainly isn't.
[00:22:00.298 --> 00:22:01.319]  And then he went on to say this.
[00:22:01.639 --> 00:22:07.822]  He said, this is the first time in my life I've caused controversy by not saying something.
[00:22:08.963 --> 00:22:15.966]  And finally he said, if someone made a nastier controversial statement about me to the president, do you really think he would come to my rescue?
[00:22:16.526 --> 00:22:17.267]  Not a chance.
[00:22:18.302 --> 00:22:26.911]  But then he went on to say something that did cause more controversy, because he pointed out that the real issue was the war on Christians.
[00:22:27.910 --> 00:22:29.211]  And the war on Christianity.
[00:22:29.451 --> 00:22:31.073]  And this is something that's going on globally.
[00:22:31.133 --> 00:22:34.796]  This is something we can see in America in terms of intolerance.
[00:22:34.876 --> 00:22:39.520]  And if you're not a Christian, if you're not a Muslim, this still should concern you.
[00:22:40.020 --> 00:22:43.323]  Because it concerns how we are going to treat different groups.
[00:22:43.343 --> 00:22:44.924]  It concerns the rule of law.
[00:22:44.944 --> 00:22:46.165]  It concerns due process.
[00:22:46.205 --> 00:22:50.029]  It concerns individual liberties and where they come in conflict.
[00:22:50.649 --> 00:22:57.296]  Is there a way that we can maintain each other's individual liberties without stomping on the other person's rights?
[00:22:57.496 --> 00:23:00.198]  And we haven't done that very well in this country so far.
[00:23:00.619 --> 00:23:05.664]  In most cases, the pendulum swings too far in one way and then swings too far back in the other way.
[00:23:05.804 --> 00:23:08.486]  Is it possible for us to find a balance?
