[00:00:19.639 --> 00:00:21.280]  Welcome to Namfo Wars Nightly News.
[00:04:53.233 --> 00:04:53.754]  Something else.
[00:04:53.794 --> 00:04:56.801]  Let's look at what Russell Means said eight years ago in 2007 on Columbus Day.
[00:05:00.179 --> 00:05:02.861]  Hillary Clinton's going to save you?
[00:05:03.621 --> 00:05:05.563]  You think she's going to stop the war?
[00:05:06.083 --> 00:05:06.884]  Hell no!
[00:05:07.564 --> 00:05:18.032]  This country, its entire economics is totally based on the armed forces of the United States of America.
[00:05:18.052 --> 00:05:25.697]  You get rid of the armed forces and you don't have an economy because they've shipped it all out, Democrats and Republicans.
[00:05:25.917 --> 00:05:29.480]  Understand you can't
[00:05:29.500 --> 00:05:35.817]  You cannot have a country that champions individual liberty like your Constitution!
[00:05:40.248 --> 00:05:43.991]  Individual liberty if you only have two political parties?
[00:05:44.111 --> 00:05:46.172]  It's impossible!
[00:05:46.232 --> 00:05:48.814]  Do the arithmetic!
[00:05:48.994 --> 00:05:53.777]  Why do you think we have police all over the place?
[00:05:54.518 --> 00:06:01.302]  Benjamin Franklin said it in 1746, 30 years before the American Revolution.
[00:06:02.263 --> 00:06:09.188]  He said, why can't we, a more civilized people, form a more perfect union
[00:06:10.009 --> 00:06:16.258]  When those savages to the North have formed a near perfect union that has endured for centuries.
[00:06:17.619 --> 00:06:25.230]  Consequently, they wrote the Constitution of the United States and the amendments championing
[00:06:26.823 --> 00:06:30.064]  Now in that short clip, you heard Russell Means touch on a lot of different subjects.
[00:06:30.104 --> 00:06:38.266]  He talked about the futility of thinking that Hillary Clinton is going to be fundamentally different from the Republicans who were full out on war.
[00:06:38.286 --> 00:06:54.970]  And of course we've seen that Barack Obama has instituted his own wars, his drone assassinations, and on and on, attacking a hospital for 30 minutes this last weekend, and actually the weekend before last, but not being bothered to even investigate what went wrong.
[00:06:55.618 --> 00:07:00.660]  So, it's futile to think that we're going to have a candidate from either of these two major parties.
[00:07:00.680 --> 00:07:04.242]  That's what he was talking about, that's going to push back against the military-industrial complex.
[00:07:04.502 --> 00:07:05.743]  He also talked about the police state.
[00:07:06.183 --> 00:07:10.505]  But he focused on individual liberty, and that's where we can find common cause.
[00:07:10.945 --> 00:07:17.689]  Benjamin Franklin found common cause with the Indians in their Bill of Rights and in other structures that they had to keep power from being concentrated.
[00:07:18.169 --> 00:07:19.210]  That's where we need to focus.
[00:07:20.370 --> 00:07:29.833]  In an essay, Russell Means had pointed out the futility of celebrating Columbus Day by saying, when he was rescued by Indians, it presented a glorious opportunity.
[00:07:30.193 --> 00:07:35.214]  The cultures of Europe and of the Americas could have merged and the beauty of both races could have flourished.
[00:07:35.614 --> 00:07:45.757]  But although his own diaries indicated that he was greeted by the Indians with the most generous hospitality he had ever known, he immediately began the enslavement and the slaughter of the Indian peoples of the Caribbean island.
[00:07:46.317 --> 00:07:57.308]  And he points out as detailed in the American Heritage Magazine, October 76, Columbus personally oversaw the genocide of the Indian nation in what is now Haiti and the Dominican Republic.
[00:07:57.969 --> 00:08:00.791]  So you understand that it is a mixed bag.
[00:08:00.831 --> 00:08:04.835]  Certainly we don't need to get tied up in defending Christopher Columbus.
[00:08:04.956 --> 00:08:06.998]  It really isn't important one way or the other.
[00:08:07.518 --> 00:08:08.619]  What he did as a man.
[00:08:08.679 --> 00:08:14.443]  What we need to focus on is what we can find in both cultures that supports individual liberty.
[00:08:14.744 --> 00:08:17.025]  That supports true multiculturalism.
[00:08:17.066 --> 00:08:21.649]  And I mean that in the sense of tolerance, not using multiculturalism as a weapon.
[00:08:22.029 --> 00:08:24.591]  But look at the way the conservatives would look at this.
[00:08:24.711 --> 00:08:26.813]  This is an article from New Republic.
[00:08:26.833 --> 00:08:28.935]  They talk about discovering Columbus's legacy.
[00:08:29.375 --> 00:08:40.960]  They point out in the New World, tribe after tribe, civilization after civilization rose to power, oppressed and enslaved its neighbors only to be oppressed and enslaved itself as soon as a new power came onto the scene.
[00:08:41.361 --> 00:08:44.582]  So in this respect, the history of the New World is no different from the history of the Old World.
[00:08:44.962 --> 00:08:50.385]  And the Spanish and other Europeans were just the latest to rise to power over the inhabitants of the Americas.
[00:08:50.945 --> 00:09:00.191]  So you understand that what happened in America had already been going on with the Aztecs, the Incans, the Spanish when they came here were brutal in their colonialization.
[00:09:00.931 --> 00:09:02.772]  How do we rise above that?
[00:09:02.872 --> 00:09:08.555]  We rise above that by taking the best of what we've produced out of the last several hundred years.
[00:09:08.616 --> 00:09:11.237]  Things like the Bill of Rights, the Constitution, the Magna Carta.
[00:09:11.757 --> 00:09:15.700]  Those are the things though that are now being destroyed and the way they're being destroyed
[00:09:16.340 --> 00:09:20.324]  is in the name of tolerance, in the name of multiculturalism.
[00:09:20.704 --> 00:09:22.306]  Look at this story from the Daily Caller.
[00:09:22.386 --> 00:09:28.132]  Former intelligence analyst says political correctness is a manipulative tool for centralizing power.
[00:09:28.232 --> 00:09:38.142]  Former intelligence analyst Stella Morabito said, if you push an agenda to centralize power, you need mass ignorance and you need effective propaganda.
[00:09:38.562 --> 00:09:47.370]  She says political correctness provides a semantic fog where manipulation can occur under the guise of being fair or non-discriminatory.
[00:09:48.151 --> 00:09:51.314]  And so what we see now is we see the shaming of people.
[00:09:51.354 --> 00:09:54.276]  We see bringing in a monolithic culture.
[00:09:54.316 --> 00:09:55.377]  It's gone full circle.
[00:09:56.129 --> 00:10:01.313]  The colonial people, the powers of Europe, are now being dissolved themselves.
[00:10:01.634 --> 00:10:03.615]  Again, being run by the same corporations.
[00:10:03.775 --> 00:10:06.818]  Not the same corporations, but similar corporations with similar methods.
[00:10:07.178 --> 00:10:09.901]  History doesn't repeat itself, but it certainly rhymes.
[00:10:10.643 --> 00:10:18.107]  We saw the mass enslavement, the destruction, the genocide of people who were in America, who were natives at the time.
[00:10:18.548 --> 00:10:22.050]  And now what we're seeing in Europe, we're seeing what used to be true multiculturalism.
[00:10:22.450 --> 00:10:32.856]  All these small countries with their own currency, their own culture, their own laws and government, all being subsumed into a monolithic instrument for the benefit of the corporations.
[00:10:33.456 --> 00:10:36.819]  And the way they're doing that is to install a new monolithic people.
[00:10:37.099 --> 00:10:39.842]  To bring those people, and that's what open borders are about.
[00:10:39.862 --> 00:10:48.349]  It's establishing a new monolithic culture that can be more easily controlled to erase the people who are in place.
[00:10:48.529 --> 00:10:50.010]  That's what's happening right now.
[00:10:50.330 --> 00:10:53.033]  And a big part of that, of course, is the trade agreement.
[00:10:53.453 --> 00:10:55.735]  An insider says that the EU and the U.S.
[00:10:55.915 --> 00:10:59.358]  must take more refugees and get rid of sovereignty.
[00:10:59.738 --> 00:11:01.079]  This is an article from The New American.
[00:11:01.099 --> 00:11:02.920]  They say Peter Sutherland, the U.N.
[00:11:03.101 --> 00:11:12.528]  Special Representative and Secretary General for International Migration, says that national sovereignty is an illusion, a mere shibboleth that must be done away with.
[00:11:13.088 --> 00:11:14.950]  Now understand the word shibboleth.
[00:11:16.016 --> 00:11:19.819]  It came from Jewish culture back in the Old Testament.
[00:11:19.839 --> 00:11:25.783]  They were talking about how some people that were from a certain area would not be able to say that word.
[00:11:26.304 --> 00:11:30.967]  And that's how they would identify the people that they wanted to let in and the people that they would destroy.
[00:11:30.987 --> 00:11:36.091]  A shibboleth essentially is a custom, a culture, something that distinguishes a people.
[00:11:36.752 --> 00:11:39.574]  Something that is now no longer important.
[00:11:40.194 --> 00:11:41.035]  That is a shibboleth.
[00:11:41.055 --> 00:11:41.835]  Here's his full quote.
[00:11:42.215 --> 00:11:42.496]  He says,
[00:12:10.274 --> 00:12:25.165]  So what he's doing is he's selling the destruction, wholesale destruction of cultures, the wholesale destruction of the rule of law, of the ideas of individual liberty that have held these civilizations together, the best of what we have created.
[00:12:25.605 --> 00:12:32.571]  He's throwing that away, and what he's going to do is give us the worst of what we experienced in the past, historically.
[00:12:33.371 --> 00:12:35.172]  Look at what's going to happen with the TPP.
[00:12:35.212 --> 00:12:38.034]  This is an article that came out just last Friday.
[00:12:38.074 --> 00:12:41.916]  TPP to kill thousands by expanding monopoly power of drug companies.
[00:12:41.976 --> 00:12:55.524]  KitDanielsInfoWars.com pointed out that three years of market exclusivity for new forms and uses of old medicines is something that is going to be showing up in the new chapter of the TPP on intellectual property rights.
[00:12:56.444 --> 00:13:02.488]  Now we've had Orrin Hatch, who I would say is not so much a senator as he is a pharmaceutical rep.
[00:13:03.322 --> 00:13:06.250]  That's what he represents, the big pharmaceutical companies.
[00:13:06.711 --> 00:13:10.481]  He criticized the TPP in its so-called final form.
[00:13:10.862 --> 00:13:12.005]  He criticized the fact that...
[00:13:13.024 --> 00:13:16.446]  That patents went from 12 to 5 years.
[00:13:17.107 --> 00:13:28.294]  But what he didn't talk about is that there is this new thing that they have brought up saying that if they discover a new use for a drug, they can extend it and get exclusive use of it for another three years.
[00:13:28.975 --> 00:13:37.581]  That might possibly be far more important than the 12-year thing that they have right now, the 12-year copyright trade agreement that they have right now.
[00:13:37.621 --> 00:13:38.922]  But you're not going to hear anything about that.
[00:13:39.522 --> 00:13:46.064]  You're going to see them wringing their hands about how they're taking a hit on copyrights, when in reality, they're extending copyrights.
[00:13:46.124 --> 00:14:02.290]  And as Kit points out, when you raise the price of drugs from a generic drug that might cost $70 per person to one that is under exclusive rights and make it $7,000 per person, a hundred times greater, people are going to die.
[00:14:03.030 --> 00:14:07.452]  Now, Europeans are waking up to what's going on with the TTIP.
[00:14:07.852 --> 00:14:11.854]  Hundreds of thousands protested this deal in Berlin this last weekend.
[00:14:12.254 --> 00:14:17.116]  They say that locals, the people who held the rally, put the crowd at 250,000.
[00:14:18.076 --> 00:14:19.817]  The Berlin police said it was 100,000.
[00:14:21.097 --> 00:14:25.359]  They banged drums, they blew whistles, they held up posters that read, yes, we can.
[00:14:25.999 --> 00:14:27.400]  Stop TTIP.
[00:14:27.821 --> 00:14:31.764]  So hundreds of thousands of people are protesting in just one European city.
[00:14:32.184 --> 00:14:33.726]  Where are the American protests?
[00:14:34.246 --> 00:14:39.291]  Do Americans understand that this is about a lot more than just jobs versus trade?
[00:14:39.811 --> 00:14:41.913]  This is about erasing sovereignty.
[00:14:41.953 --> 00:14:48.999]  The one-two punch of open borders and these trade partnerships are going to destroy our nations, are going to destroy the rule of law.
[00:14:49.640 --> 00:14:53.143]  Just as Russell Means said in his book, Where White Men Fear to Trade, he said,
[00:14:53.723 --> 00:14:57.346]  The American government has broken every treaty it ever made with the Indians.
[00:14:57.506 --> 00:15:00.468]  And he said, now they're breaking the treaty they made with you, white man.
[00:15:00.868 --> 00:15:01.609]  The Constitution.
[00:15:01.929 --> 00:15:02.570]  The Bill of Rights.
[00:15:03.010 --> 00:15:10.455]  And we need to understand that these dictators that we're allowing to be created in our country are not going to be benevolent dictators.
[00:15:11.016 --> 00:15:13.698]  Look at this shooting of a hospital, for example.
[00:15:13.758 --> 00:15:16.360]  Now we have the Pentagon saying that they're going to pay families
[00:15:16.880 --> 00:15:20.022]  But they still won't provide details of the hospital bombing.
[00:15:20.142 --> 00:15:25.025]  They won't say who was responsible, although they're assuming some financial responsibility.
[00:15:25.045 --> 00:15:27.187]  They insisted that they would pay money to the families.
[00:15:27.467 --> 00:15:33.231]  They would also work to make, quote-unquote, appropriate payments, unquote, toward the repair of the hospital.
[00:15:33.511 --> 00:15:38.994]  Now, this is a hospital that, as we pointed out before, had treated in that area 20,000 to 25,000 patients.
[00:15:39.054 --> 00:15:40.876]  But, of course, it's being shut down now.
[00:15:41.536 --> 00:15:49.142]  People who are in this war zone are not going to be able to get any trauma therapy, but they're somehow going to make this all right by throwing money at it.
[00:15:49.682 --> 00:15:52.004]  The typical Washington Pentagon solution.
[00:15:52.024 --> 00:15:58.649]  They say, this is something of an admission as the Pentagon has previously expressed confidence that the whole thing was a quote-unquote mistake.
[00:15:58.689 --> 00:16:00.270]  This is from antiwar.com.
[00:16:00.310 --> 00:16:01.231]  They say, U.S.
[00:16:01.291 --> 00:16:08.096]  rules of engagement in Afghanistan would not have permitted a strike against a protected civilian facility like the hospital.
[00:16:08.556 --> 00:16:10.997]  It couldn't have happened because we have laws against that.
[00:16:11.037 --> 00:16:19.341]  Of course, the American government would never break international laws just like they wouldn't break their own constitution or treaties that they made with the Indians.
[00:16:20.021 --> 00:16:21.261]  Look at this example.
[00:16:21.301 --> 00:16:22.342]  You think that that's bad?
[00:16:22.722 --> 00:16:26.404]  Maybe next time they could do it with drones that nobody could detect.
[00:16:26.424 --> 00:16:30.025]  You know, drones that would give them some kind of plausible deniability.
[00:16:30.505 --> 00:16:35.107]  Drones that would self-destruct and melt after they'd accomplished their mission.
[00:16:35.187 --> 00:16:36.708]  You know, like Mission Impossible.
[00:16:37.208 --> 00:16:40.251]  Well, they say, after you've read the message, they blow the thing up.
[00:16:40.391 --> 00:16:42.493]  This is precisely what DARPA wants.
[00:16:42.513 --> 00:16:45.855]  They want drones that will vanish into thin air.
[00:16:46.256 --> 00:16:48.658]  And they even call it Project Icarus.
[00:16:48.698 --> 00:16:49.098]  You remember?
[00:16:49.138 --> 00:16:51.000]  You can see that picture there of the statue.
[00:16:52.227 --> 00:16:59.933]  They even name it after the Greek mythology where you had the guy who made wings out of wax, and as he got too close to the sun, they melted and he fell to earth.
[00:17:00.273 --> 00:17:02.915]  That's precisely what they want to have happen.
[00:17:02.935 --> 00:17:10.841]  Now, this is an article from Popular Science, and of course, they always like to betray military technology in a very benign and beneficial way.
[00:17:10.881 --> 00:17:18.646]  So what they say is, DARPA envisions lightweight, cheap, and expendable single-use drones that can carry supplies to those in need.
[00:17:19.907 --> 00:17:21.688]  Supplies that they need, like bombs.
[00:17:22.188 --> 00:17:23.189]  That's exactly what this is.
[00:17:23.229 --> 00:17:26.510]  Because understand that DARPA is about creating weapons.
[00:17:26.990 --> 00:17:31.552]  They hide behind this facade of saying that this is something that's going to be used for humanitarian purposes.
[00:17:31.852 --> 00:17:33.633]  But it's always about weapons.
[00:17:34.013 --> 00:17:35.514]  That's precisely what they're going to do.
[00:17:35.534 --> 00:17:41.377]  And as I point out, when the sun starts to come out, or within four hours of their mission, they will disappear.
[00:17:41.397 --> 00:17:46.159]  And even popular science says it makes the drones as much vampire as robots.
[00:17:46.599 --> 00:17:50.528]  Now, when we come back, we're going to look at the tools that they use to accomplish this.
[00:17:50.768 --> 00:17:55.458]  And we can see this in both the races for House Speaker and for the presidential race.
[00:17:55.478 --> 00:17:56.481]  Stay with us, we'll be right back.
[00:18:16.325 --> 00:18:21.788]  Your liver can be full of fatty deposits, built-up toxins, and even dangerous objects known as liver stones.
[00:18:22.089 --> 00:18:36.518]  We worked with the top developers in the field of detox to take tried and true herbs and other compounds known to safely cleanse the liver and fuse it with the latest research and technological development on concentrating these ingredients to give you the maximum effect.
[00:18:36.778 --> 00:18:44.624]  Liver Shield is the only liver support product on the market that uses a patented Spigerex blend of powerful organic herbs that support detoxification.
[00:18:44.784 --> 00:18:50.249]  And when you visit Infowarslife.com, see the instructional video on how to do a 6-day liver detox.
[00:18:50.349 --> 00:18:53.751]  This isn't a game, and let me tell you, the results are dramatic.
[00:18:53.911 --> 00:18:57.935]  Liver Shield is totally organic and made of the safest, high-quality herbs.
[00:18:58.035 --> 00:19:01.958]  But that said, you need to consult your physician before you do the full detox.
[00:19:02.458 --> 00:19:02.918]  We're good to go.
[00:19:28.683 --> 00:19:31.846]  One of the worst things with most energy products is it's not sustainable.
[00:19:32.126 --> 00:19:32.266]  Right?
[00:19:32.286 --> 00:19:34.648]  You're going to crash and you're going to feel really bad afterwards.
[00:19:35.009 --> 00:19:38.532]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:19:38.572 --> 00:19:41.735]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:19:42.235 --> 00:19:47.019]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:19:47.560 --> 00:19:49.422]  For example, the L-theanine inside of it.
[00:19:49.782 --> 00:19:54.186]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:19:54.386 --> 00:19:56.448]  This just increases the compounds you already have.
[00:19:57.029 --> 00:19:58.530]  This is what you're actually designed to run on.
[00:19:58.650 --> 00:19:58.810]  Exactly.
[00:19:58.830 --> 00:20:02.714]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:20:03.235 --> 00:20:11.282]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:20:19.294 --> 00:20:28.704]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:20:29.024 --> 00:20:31.586]  All of our children are hit with modern mind control.
[00:20:31.606 --> 00:20:35.070]  Television, music, fast food, GMOs, sugars, you name it.
[00:20:35.290 --> 00:20:41.296]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:20:41.596 --> 00:20:46.440]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:20:46.740 --> 00:20:52.905]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:20:53.125 --> 00:21:00.571]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:21:00.851 --> 00:21:08.116]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:21:08.396 --> 00:21:11.878]  Obtain your ChildEase today at InfoWarsLife.com.
[00:21:11.999 --> 00:21:15.561]  That's ChildEase exclusively at InfoWarsLife.com.
[00:21:15.841 --> 00:21:18.103]  Knockout is back if you want
[00:21:18.783 --> 00:21:27.527]  A product that has 10 known ingredients that naturally get your body to relax, your brain to relax, so you get deep restful sleep.
[00:21:27.687 --> 00:21:28.428]  Knockouts it.
[00:21:28.828 --> 00:21:30.529]  Infowarslife.com.
[00:21:31.029 --> 00:21:40.153]  L-theanine, hops flower extract, lemon balm extract, valerian root extract, chamomile flower extract, L-tryptophan extract, melatonin, and more.
[00:21:40.553 --> 00:21:42.334]  All organic, all the natural sources.
[00:21:42.894 --> 00:21:43.775]  It's the same price.
[00:21:44.495 --> 00:21:50.378]  As leading brands of melatonin that are three milligrams a piece, it has three milligram, the standard recommended dose for an adult.
[00:21:50.918 --> 00:21:57.162]  It's got the GABA, so it would probably cost $50 to take all this as separate pills.
[00:21:57.662 --> 00:21:57.802]  It's $19.95.
[00:21:58.522 --> 00:22:00.844]  You take one or two of these,
[00:22:01.944 --> 00:22:05.230]  And it just is really clean, restful sleep is what the reviews are.
[00:22:05.571 --> 00:22:06.652]  It's what I've experienced.
[00:22:07.093 --> 00:22:09.457]  And it just synergistically puts everything in there.
[00:22:09.477 --> 00:22:11.040]  Infowarslife.com.
[00:22:11.200 --> 00:22:13.143]  That's Infowarslife.com or call 888-253-3139.
[00:22:17.611 --> 00:22:35.269]  Now just as we were talking before we went to break about DARPA's Project Icarus, a project that would allow drones to vanish, to melt away, to disappear after they finish their mission, whether that's maybe something like an assassination that they don't want people to know about, or maybe a hospital bombing that they don't want people to know about.
[00:22:36.030 --> 00:22:45.134]  We have Julian Assange who has been under house arrest in London because he exposed war crimes and atrocities through videos that were leaked by Manning.
[00:22:45.174 --> 00:22:45.994]  Manning went to jail.
[00:22:46.334 --> 00:22:48.876]  They've been trying to put Julian Assange in jail since then.
[00:22:49.076 --> 00:22:54.658]  For three years they have surrounded him in the Ecuadorian embassy in London.
[00:22:55.078 --> 00:23:01.021]  They have spent over 15 million dollars doing this, but now they have withdrawn police protection.
[00:23:01.661 --> 00:23:08.983]  This was something that many people believe was set up to punish him, accusing him of sexual assault and rape of two women.
[00:23:09.463 --> 00:23:13.164]  It looked like a honey trap to a lot of people who were watching what was going on.
[00:23:13.224 --> 00:23:16.645]  But nevertheless, they have now removed these officers.
[00:23:16.705 --> 00:23:22.066]  They say, though, that they are committed to executing the arrest warrant and presenting Julian Assange before the court.
[00:23:22.346 --> 00:23:28.188]  They vowed to deploy a number of overt and covert tactics to arrest him.
[00:23:28.948 --> 00:23:30.831]  That's precisely what we can expect.
[00:23:31.332 --> 00:23:36.739]  We can expect for whistleblowers who expose the crimes of government to be the ones who are arrested.
[00:23:37.260 --> 00:23:40.705]  And we can expect those who commit the crimes to go free.
[00:23:41.406 --> 00:23:45.232]  John Bowne has this report on how criminals are running our justice system.
[00:23:46.385 --> 00:23:57.010]  In a private meeting, Attorney General Loretta Lynch told lawyers representing media organizations that the Justice Department will not send journalists to jail for doing their job.
[00:23:57.271 --> 00:24:11.638]  A commitment that previous Attorney General Eric Holder had made after the Obama administration charged more journalists and legitimate government whistleblowers with espionage than all other presidents combined since the passage of the 1917 Espionage Act.
[00:24:11.778 --> 00:24:15.220]  You know, having good men in positions of power and authority
[00:24:16.664 --> 00:24:18.486]  We're willing to fight for what's right.
[00:24:20.048 --> 00:24:20.789]  That's a rare thing.
[00:24:21.810 --> 00:24:22.752]  That's a powerful thing.
[00:24:24.153 --> 00:24:27.618]  It's something that shapes our future in ways we don't even understand.
[00:24:28.427 --> 00:24:47.596]  Whether it was targeting CIA whistleblower John Curacao for exposing the agency's torture program, seizing Associapress phone records, prosecuting Chelsea Manning, or going after journalists James Risen and James Rosen, Holder undoubtedly oversaw the largest attack on the First Amendment in modern history.
[00:24:47.816 --> 00:24:54.762]  We have always been, and we, I believe, continue to be, in too many ways, essentially a nation of cowards.
[00:24:55.182 --> 00:25:05.570]  Holder, who was found to be the least popular politician in the United States according to a Hart Research poll, was arguably the most criminal government official within the Obama administration.
[00:25:05.791 --> 00:25:09.394]  Among his many crimes, a select few have remained at center stage.
[00:25:11.215 --> 00:25:16.437]  Darrell Issa, the congressman, has told Eric Holder, admit you knew.
[00:25:16.457 --> 00:25:27.602]  Admit you lied, because now they've got the emails, the witnesses, that Holder was running the ATF, the FBI, the DEA, and four other agencies.
[00:25:28.622 --> 00:25:38.788]  In not only ATF ordering gun shops to sell guns, but two ATF agents that were coming in and selling them to Mexican drug cartels.
[00:25:39.268 --> 00:25:55.838]  Now a top CBS News reporter says the White House screamed and swore at her over Fast and Furious and that they're actually panicking over the fact that this could bring down this mafia White House.
[00:25:56.298 --> 00:26:03.368]  Celica Still, who's in federal prison for selling a couple shotguns, he's a former DEA agent, retired school teacher, they set him up.
[00:26:04.770 --> 00:26:10.838]  Six years ago on my show, he told me that Sinaloa was allowed to ship drugs in the United States.
[00:26:12.176 --> 00:26:27.070]  And that Los Zetas that was trained at Fort Benning, Georgia, Mexican Commandos, were going to have a fake defection to the drug cartels, but really it was a covert secret war against other cartels not laundering their money through the proper Mexican and U.S.
[00:26:27.130 --> 00:26:27.411]  banks.
[00:26:27.771 --> 00:26:36.796]  That's how I knew two and a half years ago when Holder, the Attorney General, started demonizing the Second Amendment and saying we've got to restrict gun ownership because of the problems in Mexico.
[00:26:37.537 --> 00:26:44.901]  I knew from Selly and others that they were already, even before Obama got in office, shipping guns into Mexico.
[00:26:46.783 --> 00:26:46.943]  I think?
[00:27:04.609 --> 00:27:06.631]  Here it is from over a month ago.
[00:27:06.751 --> 00:27:07.272]  Documents.
