[00:00:08.986 --> 00:00:13.368]  I know that we portray Islam and all Muslims as bad.
[00:06:06.994 --> 00:06:11.656]  It's going to show some of those weapons from Benghazi ended up in the hands of ISIS.
[00:06:12.116 --> 00:06:13.517]  So we helped build ISIS.
[00:06:13.857 --> 00:06:18.659]  When they are less than 2% of the population, Muslims are friendly and kind and good neighbors.
[00:06:19.059 --> 00:06:24.081]  Following Mohammed's rule of, be a friend until you are strong enough to crush them.
[00:06:24.461 --> 00:06:28.704]  Every Friday night on Craig Baker's farm, people come to see the pigs run.
[00:06:29.205 --> 00:06:35.790]  It's a new attraction in Katy, Texas, and it's all because of a feud between Baker and his new Muslim neighbors.
[00:06:35.950 --> 00:06:43.636]  Mr. Futah said that he thought it would be a good idea if I considered packing up my stuff and moving out.
[00:06:44.096 --> 00:06:46.958]  Our vision is to have an integrated facility.
[00:06:47.739 --> 00:06:53.603]  That not only for prayers, but for all other social activities.
[00:06:53.803 --> 00:06:56.545]  So there will be a sense of a community.
[00:06:56.865 --> 00:07:00.507]  The association purchased the land next to the pig farm in September.
[00:07:00.927 --> 00:07:07.472]  Seven days later, Baker says Fatou asked him to leave his family farm or at least get rid of the pigs.
[00:07:08.132 --> 00:07:08.412]  From 5% on,
[00:07:09.853 --> 00:07:14.974]  They exercise an excessive influence in proportion to their percentage of the population.
[00:07:15.514 --> 00:07:26.357]  For example, they will push for the introduction of halal food, which is clean food by Islamic standards, thereby securing food preparation jobs for Muslims.
[00:07:27.077 --> 00:07:35.039]  They will increase pressure on supermarket chains to feature halal on their shelves, along with threats for failure to comply.
[00:07:36.139 --> 00:07:38.740]  This is occurring in... France!
[00:07:39.700 --> 00:07:47.626]  Philippines, Sweden, Switzerland, the Netherlands, Trinidad and Tobago.
[00:07:48.027 --> 00:07:52.270]  When they reach 8 to 10 percent, they become aggressive towards Jews and Christians.
[00:07:52.730 --> 00:07:59.135]  They begin forming Muslim neighborhoods where only Muslims are welcome, and begin setting up Sharia law courts.
[00:07:59.695 --> 00:08:05.080]  Street demonstrations with the signs, Islam shall rule the world, freedom go to hell.
[00:08:05.820 --> 00:08:06.160]  After 80%
[00:08:26.034 --> 00:08:49.144]  Expect daily intimidation and violent jihad, some state-run ethnic cleansing, and even some genocide, as these nations drive out the infidels and move toward 100% Muslim, such as has been experienced and in some ways is ongoing in Bangladesh, Egypt, Gaza,
[00:08:49.895 --> 00:08:58.357]  There is a major effort taking place to curb free speech in this country, irrespective of our Constitution, our Bill of Rights.
[00:08:58.977 --> 00:09:03.418]  And free speech advocates say the United Nations has come down on precisely the wrong side.
[00:09:03.898 --> 00:09:09.380]  The United Nations has adopted what it calls a resolution combating defamation of religions.
[00:09:10.040 --> 00:09:18.424]  The United Nations now wants to make that anti-blasphemy resolution binding on member nations, including, of course, our own.
[00:09:19.024 --> 00:09:25.047]  That would make it a crime in the United States if the United Nations were to have its way to criticize religion.
[00:09:25.548 --> 00:09:27.228]  In particular, Islam.
[00:09:28.009 --> 00:09:31.250]  The future must not belong to those who slander the prophet of Islam.
[00:09:31.471 --> 00:09:36.333]  I pledge you that we shall neither commit nor provoke aggression.
[00:09:37.324 --> 00:09:41.565]  That we shall neither flee nor invoke the threat of force.
[00:09:42.505 --> 00:09:45.226]  That we shall never negotiate out of fear.
[00:09:46.246 --> 00:09:48.066]  And we shall never fear to negotiate.
[00:09:48.887 --> 00:09:50.847]  Terror is not a new weapon.
[00:09:52.027 --> 00:10:00.229]  Throughout history, it has been used by those who could not prevail, either by persuasion or example.
[00:10:01.350 --> 00:10:03.170]  But, inevitably, they fail.
[00:10:04.512 --> 00:10:20.720]  Either because men are not afraid to die for a life worth living, or because the terrorists themselves came to realize that free men cannot be frightened by threats, and that aggression would meet its own response.
[00:10:21.981 --> 00:10:34.027]  And it is in the light of that history that every nation today should know, be he friend or foe, that the United States has both the will and the weapons
[00:10:34.855 --> 00:10:38.520]  To join free men in standing up to their responsibilities.
[00:10:48.820 --> 00:10:51.102]  You want the best that's out there at the lowest price anywhere?
[00:10:51.762 --> 00:10:54.224]  Well, we're bringing you a total win-win.
[00:10:54.585 --> 00:11:00.149]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the InfoWar.
[00:11:00.549 --> 00:11:07.214]  We have produced a limited run of DNA Force, and it will take up to 12 weeks to produce more once we sell out.
[00:11:07.555 --> 00:11:12.338]  Secure your DNA Force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:11:12.358 --> 00:11:13.760]  DNA Force from InfoWarsLife.
