[00:00:11.308 --> 00:00:14.131]  Hi, I'm Rex Jones, reporting for InfoWars.com.
[00:03:50.126 --> 00:03:57.611]  Nearly all CCD is being caused by either RFID radiation or Monsanto pollen that bees carry to other normal crops.
[00:03:58.511 --> 00:04:04.234]  Albert Einstein once said that if the bees were wiped out, all of humanity would vanish within four years.
[00:04:05.094 --> 00:04:16.419]  Recently, Harvard researchers linked pesticide use, specifically neonicotinoid insecticides, to act as nerve poisons and mimic the effects of nicotine as a major cause of colony collapse disorder.
[00:04:16.779 --> 00:04:21.441]  Over the last six years, American beekeepers have lost 30% of their hives each winter on average.
[00:04:23.382 --> 00:04:29.386]  And as companies like Monsanto keep producing neonicotinoid insecticides, future colony collapses are guaranteed.
[00:04:31.527 --> 00:04:34.869]  Now let's look at an unseen pollutant, nuclear radiation.
[00:04:35.909 --> 00:04:49.297]  We don't know what the exact full fallout from the nuclear bomb testing and leaks from nuclear power plants are, but the issue was brought to the forefront when the Fukushima power plant reactors melted down after a tsunami hit Japan on March 11, 2011.
[00:04:57.048 --> 00:05:02.436]  Since that time, countless gallons of radioactive cooling water has poured into the Pacific Ocean.
[00:05:02.636 --> 00:05:10.868]  Radiation spikes have been found along West Coast beaches, and there are more and more reports about massive sea life die-offs and dead zones being created in the ocean.
[00:05:10.948 --> 00:05:12.511]  You can't see the radiation.
[00:05:12.671 --> 00:05:17.115]  But the effects and the rise of cancers and birth defects in Japan is a direct result.
[00:05:17.275 --> 00:05:25.081]  It's disasters like Fukushima, Chernobyl, and Three Mile Island are a full-scale nuclear war that could potentially end all life on Earth.
[00:05:25.221 --> 00:05:27.123]  But it is not the biggest threat to our environment.
[00:05:28.416 --> 00:05:40.203]  Now that we've covered litter, runoff, CCD, particulates coming in through the jet stream, and nuclear radiation coming from places like Fukushima, I'm about to tell you what I consider the biggest threat to humanity is.
[00:05:40.884 --> 00:05:41.464]  GMOs.
[00:05:42.024 --> 00:05:44.486]  The real danger is not what is seen, but what is unseen.
[00:05:45.126 --> 00:05:58.397]  Not only have GMOs been linked to numerous health problems, but the pollen blow-off from Monsanto farms to other normal farms is causing unseen and unprecedented mutation within the normal biosphere.
[00:05:59.017 --> 00:06:03.241]  Everything that we've talked about before this, we knew the dangers and we knew how to deal with it.
[00:06:03.381 --> 00:06:06.843]  But with GMO crops, the answer still remains a mystery.
[00:06:07.064 --> 00:06:12.228]  Because we don't know what's going to happen within these mutations after three or four generations have passed.
[00:06:12.768 --> 00:06:15.851]  Here's our friend Jeffrey Smith to talk about GMOs and their dangers.
[00:06:16.811 --> 00:06:23.797]  Of all of the toxins that are released into the environment, GMOs are of a special class.
[00:06:24.778 --> 00:06:29.562]  You see, with genetic engineering, you have pollution of the gene pool.
[00:06:30.322 --> 00:06:32.804]  It's a self-propagating genetic pollution.
[00:06:33.685 --> 00:06:39.410]  The genes that we released in this generation already can outlast nuclear waste.
[00:06:40.396 --> 00:06:41.717]  They can go on forever.
[00:06:41.757 --> 00:06:45.920]  We have no technology to fully clean up this type of pollution.
[00:06:46.741 --> 00:06:55.308]  Certainly we can reduce it dramatically, but until we have some technique to identify GMOs at a distance, we are stuck with GMOs possibly forever.
[00:06:55.908 --> 00:07:03.914]  Imagine being hired by a company that says, we have a little problem, we'd like you to organize the recall of our salmon from the ocean.
[00:07:04.835 --> 00:07:07.857]  There's a company that wants to introduce genetically modified mosquitoes.
[00:07:08.518 --> 00:07:10.039]  Imagine trying to do a recall there.
[00:07:10.862 --> 00:07:15.504]  GM pollen has already contaminated the indigenous corn varieties of Mexico.
[00:07:16.305 --> 00:07:18.526]  And we have no technology to clean that up.
[00:07:19.006 --> 00:07:21.747]  What we've done is irreversible damage.
[00:07:22.608 --> 00:07:26.229]  And this is something that is highly irresponsible, unconscionable.
[00:07:27.270 --> 00:07:31.512]  And it was done over the objections of scientists, over the objections of science.
[00:07:32.364 --> 00:07:34.806]  A collusion between government and industry.
[00:07:35.186 --> 00:07:38.248]  There are two main reasons why people genetically modify foods.
[00:07:38.928 --> 00:07:41.410]  They either drink poison or produce poison.
[00:07:42.130 --> 00:07:45.292]  The poison drinkers are called herbicide tolerant.
[00:07:45.792 --> 00:07:47.853]  Most popular variety is Roundup Ready.
[00:07:48.474 --> 00:07:49.154]  Let me explain.
[00:07:49.735 --> 00:07:57.259]  Monsanto scientists found bacteria growing in a chemical waste dump near their factory, surviving in the presence of their herbicide called Roundup.
[00:07:57.879 --> 00:08:00.241]  So they had the brilliant idea, let's put it in the food supply.
[00:08:00.894 --> 00:08:09.456]  So they took the gene from the bacterium that allowed it to survive applications of Roundup, and put it into soybean, corn, cotton, canola, etc.
[00:08:09.956 --> 00:08:18.559]  So now you can spray the field with Roundup, and it kills all of the other plant biodiversity in the field, but not the Roundup-ready soy and Roundup-ready corn.
[00:08:19.519 --> 00:08:22.920]  The other variety of genetically modified crops produces a poison.
[00:08:23.673 --> 00:08:38.919]  They take a gene from a soil bacterium that produces a natural insecticide and put it into the DNA of the plant so every single cell of every single plant in millions of acres has its own little spray bottle that can kill an insect by destroying its digestive system.
[00:08:39.359 --> 00:08:48.663]  What these changes mean is that the plant might produce more allergens, more toxins, more anti-nutrients, more carcinogens, or even less of these.
[00:08:48.703 --> 00:08:49.244]  We don't know.
[00:08:49.304 --> 00:08:50.224]  It's a genetic roulette.
[00:08:50.931 --> 00:08:56.953]  In fact, the process of approval of these GM crops do not evaluate these type of changes.
[00:08:57.353 --> 00:09:14.339]  In Monsanto's own studies, which they conveniently left out of their published paper, which we will cover later, they found that in cooked GM soy, there was as much as seven times more of a known allergen called trypsin inhibitor, and about a doubling of an anti-nutrient called soy lectin, which blocks the absorption of certain nutrients.
[00:09:15.077 --> 00:09:22.462]  In fact, when they looked at that corn variety they found 43 different proteins that had significantly changed their levels of expression because of the genetic insertion.
[00:09:37.620 --> 00:09:43.447]  So these could be caught wreaking havoc with our health or the environment, but no one has evaluated them.
[00:09:43.467 --> 00:09:49.793]  Genetically modified foods and crops are one of the most dangerous health and environmental catastrophes we're facing.
[00:09:50.514 --> 00:09:52.136]  And yet very few people know about it.
[00:09:52.997 --> 00:09:57.262]  Now you know why we here at InfoWars believe that GMOs are the biggest threat to our planet today.
[00:09:58.149 --> 00:10:02.933]  We know the true dangers of a cigarette butt left flying out unattended in a field.
[00:10:03.374 --> 00:10:05.596]  But do we really know the dangers of GMOs?
[00:10:06.016 --> 00:10:07.537]  And can we trust our government to tell us?
[00:10:08.138 --> 00:10:10.280]  I'm Rex Jones reporting for InfoWars.com
[00:10:21.243 --> 00:10:29.106]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:10:29.366 --> 00:10:31.426]  All the major networks are state-run.
[00:10:31.586 --> 00:10:34.227]  We are partnering this year with the NFL.
[00:10:34.287 --> 00:10:38.389]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:10:38.709 --> 00:10:41.870]  MSNBC tells us that our children belong to the state.
[00:10:41.890 --> 00:10:49.152]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:10:49.332 --> 00:10:53.456]  It is more important than ever to realize that we are not the alternative media.
[00:10:53.656 --> 00:10:55.297]  We are the true media.
[00:10:55.457 --> 00:10:58.060]  The establishment dinosaur press is dying.
[00:10:58.160 --> 00:11:01.803]  We are in an information war, and we are losing that war.
[00:11:01.903 --> 00:11:06.026]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:11:06.247 --> 00:11:09.109]  Members can share their memberships with up to 11 people.
[00:11:09.209 --> 00:11:12.332]  By subscribing, you will literally be buying war bonds.
[00:11:12.432 --> 00:11:16.779]  We're in the info war to expand our operation in the face of the tyrants.
[00:11:17.080 --> 00:11:18.803]  Join us at PrisonPlanet.tv
