[00:00:21.713 --> 00:00:24.014]  The phenomenon is undeniable.
[00:02:59.978 --> 00:03:02.000]  Of being mugged when I was a teenager.
[00:03:02.420 --> 00:03:04.462]  Had a dream about it months before in vivid color.
[00:03:04.822 --> 00:03:06.523]  As it happened, I couldn't believe it.
[00:03:07.164 --> 00:03:09.185]  It was in living color, happening for real.
[00:03:09.786 --> 00:03:13.209]  I had a dream of a car wreck that happened exactly as I had seen it.
[00:03:13.929 --> 00:03:14.990]  Again, a few months before.
[00:03:18.173 --> 00:03:23.437]  It's probably genetic because my father and his mother had a lot of similar events like that.
[00:03:24.960 --> 00:03:33.505]  And that's beyond birds having magnetic cells in their brains that basically dial in like GPS and track magnetic lines of the earth.
[00:03:33.705 --> 00:03:37.167]  It's beyond that, but I would imagine somehow connected to it.
[00:03:38.068 --> 00:03:52.616]  And I'm sharing personal stories here with you today because on a Richter scale of 1 to 10, the feelings I'm having and the anxiety I'm having
[00:03:55.003 --> 00:03:55.543]  Is a 10.
[00:03:57.004 --> 00:04:02.027]  Compared to previous things in my life that were a 1 or a 2 that I ignored at my own peril.
[00:04:02.948 --> 00:04:04.569]  This has been going on for about 3 weeks.
[00:04:06.130 --> 00:04:12.774]  So I quietly started to talk to crew around the office but also people at the gym and family and folks at the grocery store.
[00:04:12.794 --> 00:04:16.796]  And I started asking people.
[00:04:16.816 --> 00:04:17.497]  I did this today.
[00:04:18.697 --> 00:04:21.939]  I hadn't told anybody about this except Dew who's behind the camera last week.
[00:04:22.900 --> 00:04:24.401]  I started asking people around the office
[00:04:25.407 --> 00:04:25.968]  How you doing?
[00:04:25.988 --> 00:04:26.568]  How you feeling?
[00:04:29.090 --> 00:04:48.827]  And to a person, they'd say, you know, it's really funny, I just feel like something really bad's going on, and something really bad's about to happen, and my uncle, who doesn't even listen to your show, was bringing it up to me just the other night, and this person and that person, so I talked to other people, and they all said the same thing, that there's this feeling
[00:04:52.288 --> 00:04:53.148]  We need to get ready.
[00:04:53.388 --> 00:04:54.249]  We need to get prepared.
[00:04:54.789 --> 00:04:56.410]  Something big is about to happen.
[00:04:56.730 --> 00:04:58.590]  Maybe it's already happened and we don't know.
[00:05:00.851 --> 00:05:03.912]  So I really want to just start a debate and a discussion.
[00:05:04.992 --> 00:05:13.876]  I want to create a forum at InfoWars.com and on the YouTube channel and PrisonPlanet.TV to discuss, are you picking up any sixth sense?
[00:05:14.256 --> 00:05:15.876]  What is your spider sense telling you?
[00:05:16.757 --> 00:05:19.938]  Or are you picking up peaches and cream, everything's fine?
[00:05:20.058 --> 00:05:20.778]  I'd love to hear that.
[00:05:22.307 --> 00:05:30.813]  And if you are picking up increased anxiety, what is it your subconscious is tuning into?
[00:05:31.253 --> 00:05:35.396]  We know the subconscious is conservatively a hundred times more powerful than the conscious mind.
[00:05:36.417 --> 00:05:46.984]  The cerebral cortex, the front left and right lobes only focus on limited data and then try to condense that down with tunnel vision to carry out tasks.
[00:05:49.225 --> 00:05:50.226]  But the subconscious
[00:05:52.363 --> 00:06:01.107]  It has all the data, both subliminals that the globalists are pushing and all the other information to come to larger decisions.
[00:06:01.688 --> 00:06:05.530]  And then it will prompt the conscious mind to start investigating.
[00:06:08.826 --> 00:06:20.911]  All the subliminals that we've caught, AARP and the Ad Council, the federal government, is it the subliminals preparing for martial law, where they run sub-audio so low the conscious mind can't pick it up?
[00:06:21.211 --> 00:06:22.071]  They admitted they did that.
[00:06:22.771 --> 00:06:27.053]  Or the other subliminals we've been catching, and our listeners have been catching.
[00:06:27.133 --> 00:06:27.693]  Is it that?
[00:06:28.053 --> 00:06:30.094]  Is it the system wants us to have anxiety?
[00:06:30.794 --> 00:06:31.935]  And is it just subliminals?
[00:06:32.075 --> 00:06:32.715]  I hope that's it.
[00:06:34.696 --> 00:06:37.757]  But canvassing friends, family, and others, and people that don't even listen,
[00:06:38.891 --> 00:06:45.953]  One of the most common threads I've been getting last week is, it's like the world has changed and some evil has been released.
[00:06:47.073 --> 00:06:49.673]  I've gotten that from about eight different people separately.
[00:06:50.554 --> 00:06:53.594]  And they say suddenly the propaganda has changed in the media.
[00:06:53.654 --> 00:06:55.795]  It's gotten more intense, more naked.
[00:06:57.595 --> 00:07:00.936]  Things we never would have put up with just five years ago are just in our face.
[00:07:02.536 --> 00:07:04.036]  Is it a coming war with Russia?
[00:07:04.116 --> 00:07:06.597]  Is it economic collapse as those numbers come in?
[00:07:08.513 --> 00:07:13.275]  I was talking to Rob Dew earlier today and he said it's probably something we're not expecting.
[00:07:13.295 --> 00:07:15.817]  It's probably not a huge ISIS attack.
[00:07:15.937 --> 00:07:18.638]  It's from some angle that we're not expecting.
[00:07:20.119 --> 00:07:21.379]  And I think he's probably right.
[00:07:21.499 --> 00:07:29.183]  But I think it's because of the overall background anxiety that folks are freaking out about things like Jade Helm.
[00:07:29.884 --> 00:07:36.567]  Not because it's the actual event, but because it's a focal point for people to release their anxiety.
[00:07:37.912 --> 00:07:49.179]  There's a lot of reasons to be concerned about open military drills and the fact that the Pentagon admits they're preparing for war with the people, but why would folks suddenly listen to us and get even more freaked out than we are?
[00:07:49.519 --> 00:07:56.183]  Why would governors and senators and House members say, we are concerned about martial law and we understand and we're going to try to stop it?
[00:07:58.044 --> 00:08:06.769]  I think it's because in their gut, and boy I'd love to talk to them, they understand that something big is happening and is about to happen.
[00:08:08.066 --> 00:08:12.490]  We have to go into that subconscious and have a public debate about it in the group subconscious.
[00:08:12.970 --> 00:08:17.414]  Bring it forward to the conscious level to try to discover exactly what's happening.
[00:08:17.434 --> 00:08:21.077]  This is the ultimate mystery in my lifetime.
[00:08:21.898 --> 00:08:31.285]  I feel like, in fact, I know the clock is ticking and the over-driving feeling is do something, change it, don't let this happen.
[00:08:31.766 --> 00:08:32.727]  We can save the planet.
[00:08:33.507 --> 00:08:34.228]  We can stop it.
[00:08:37.210 --> 00:08:42.153]  Is it stop the madness of humanity, the group collective going insane because the way we've been programmed?
[00:08:43.694 --> 00:08:46.736]  The way we've been told we're the zombie apocalypse, we're crap, we're over?
[00:08:49.978 --> 00:08:53.521]  Is it the subconscious realizing we're being poisoned and saying stop it?
[00:08:55.982 --> 00:09:01.806]  Is it the race consciousness of humanity wanting to be based on wholesomeness and not based on lies?
[00:09:02.247 --> 00:09:05.829]  I think it's all of those things, but something has fundamentally changed.
[00:09:07.671 --> 00:09:20.814]  Something has shifted and everyone I talk to of every race, color, and creed and age says, yeah, you ask how I'm doing, I just seem like something's wrong, something's going on.
[00:09:21.114 --> 00:09:23.815]  Is it that we know the economy is getting worse and they're lying to us?
[00:09:24.635 --> 00:09:27.436]  I think it's all of those things, but there's something else that's changed.
[00:09:28.996 --> 00:09:32.157]  One thing I heard from the dozens of folks I've talked to
[00:09:33.080 --> 00:09:34.401]  I'm not going off notes here, just memory.
[00:09:34.961 --> 00:09:38.362]  Is, yeah, the media keeps hyping that aliens are about to arrive.
[00:09:39.963 --> 00:09:40.703]  Look, I don't know.
[00:09:40.843 --> 00:09:42.684]  Or maybe AI is going to be announced.
[00:09:42.824 --> 00:09:43.245]  I don't know.
[00:09:43.845 --> 00:09:46.066]  Something's changed in our universe big time.
[00:09:46.106 --> 00:09:46.986]  It affects us all.
[00:09:48.047 --> 00:09:50.628]  And we have these instincts that have helped us survive this long.
[00:09:50.888 --> 00:09:52.489]  And mine are just redlining right now.
[00:09:54.089 --> 00:09:55.210]  Just redlining.
[00:09:56.769 --> 00:09:58.631]  I think everybody else out there can obviously feel it.
[00:09:58.691 --> 00:10:00.352]  If you're not feeling it, please let me know.
[00:10:00.392 --> 00:10:04.936]  If you are, let me know in the comments below at InfoWars.com, PrisonPlanet.com.
[00:10:05.316 --> 00:10:07.699]  We'll be covering this all tomorrow on the radio.
[00:10:09.200 --> 00:10:09.840]  I think all week.
[00:10:09.860 --> 00:10:14.785]  I think I'm going to cancel a lot of guests and really just focus on discussing what is
[00:10:16.226 --> 00:10:22.427]  The underlying unconscious saying about the world and why are so many people so freaked out right now.
[00:10:22.888 --> 00:10:23.768]  That's basically it.
[00:10:23.808 --> 00:10:25.728]  Thank you again for spending time to watch this.
[00:10:26.728 --> 00:10:28.229]  Again, I need to know what you're thinking.
[00:10:28.269 --> 00:10:29.269]  You need to know what I'm thinking.
[00:10:29.869 --> 00:10:32.970]  Let's come together and try to figure out exactly what's happening.
[00:10:33.370 --> 00:10:40.031]  I'm Alex Jones signing off for InfoWars.com and that's basically all I have to say at this point.
[00:10:40.071 --> 00:10:40.351]  Thank you.
[00:10:40.812 --> 00:10:42.052]  This is undoubtedly
[00:10:43.177 --> 00:10:44.538]  A one-of-a-kind broadcast.
[00:10:44.578 --> 00:10:47.040]  I've never come out and talked like this or been this honest.
[00:10:48.381 --> 00:10:50.222]  Desperate times need desperate measures.
[00:10:50.462 --> 00:10:53.985]  And is this my collective ghost dance for humanity?
[00:10:54.025 --> 00:10:56.807]  Maybe it is, but something bad's about to happen.
[00:10:56.907 --> 00:10:58.108]  In fact, that's another thing.
[00:10:58.368 --> 00:10:58.729]  It's bad.
[00:10:59.489 --> 00:11:00.910]  Again, it's already happening, whatever it is.
[00:11:01.431 --> 00:11:01.811]  It's bad.
[00:11:03.732 --> 00:11:04.193]  That's it, Rob.
[00:11:04.213 --> 00:11:04.393]  Thanks.
[00:11:14.457 --> 00:11:21.419]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:11:21.659 --> 00:11:31.081]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:11:31.361 --> 00:11:42.464]  When it comes to you and your family's health, InfoWarsLife.com is very excited to announce our biggest run yet of silver bullet colloidal silver, exclusively available at InfoWarsLife.com.
[00:11:43.104 --> 00:11:49.989]  Now, Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:11:50.229 --> 00:12:00.016]  Now, more than ever, it's important to stock up on high-quality silver bullet from Infowarslife.com and to help others during Christmas by teaching them about the powerful benefits of silver.
[00:12:00.276 --> 00:12:04.639]  Secure your silver bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:12:08.840 --> 00:12:10.401]  My name is Alex Jones.
[00:12:10.821 --> 00:12:16.886]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:12:17.106 --> 00:12:31.616]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running 6 miles every other day, swimming 2-3 miles a couple times a week, and lifting weights
[00:12:32.236 --> 00:12:32.616]  We're good.
[00:12:55.240 --> 00:12:57.922]  And it wasn't just that my weight loss accelerated.
[00:12:58.143 --> 00:12:59.764]  My muscle mass increased.
[00:12:59.904 --> 00:13:02.566]  My stamina, my energy levels exploded.
[00:13:02.866 --> 00:13:04.408]  Now is the time to take action.
[00:13:04.648 --> 00:13:07.510]  Start your journey today with the Alex Challenge Pack.
[00:13:07.690 --> 00:13:09.352]  It's the trifecta of change.
[00:13:09.612 --> 00:13:14.996]  Secure yours today and get free shipping for a limited time at Infowarslife.com or 888-253-3139.
[00:13:24.707 --> 00:13:27.890]  This week we have a defining moment in world history.
[00:13:28.651 --> 00:13:36.839]  A moment that's going to determine whether or not we're going to have governments throughout the world or whether we're going to have a single world government in the name of trade.
[00:13:36.879 --> 00:13:37.900]  That's the way it's coming to us.
[00:13:37.960 --> 00:13:41.924]  We've talked many times about the Trans-Pacific Partnership, the Trans-Atlantic Partnership.
[00:13:42.464 --> 00:13:47.970]  This week we will see whether or not they're going to fast track a trade promotion authority.
[00:13:48.010 --> 00:13:48.911]  That's what they're calling it.
[00:13:49.827 --> 00:13:59.351]  This is something that, if we could take a historical analogy, I think is very much like the moment at Runnymede, where the nobility forced the Magna Carta on the king.
[00:13:59.912 --> 00:14:03.593]  It was really a recognition that power had already transferred.
[00:14:04.114 --> 00:14:07.315]  They put this before him, and they said, sign it.
[00:14:07.955 --> 00:14:13.838]  At that point, power was devolved from that monarchical king to a small oligarchy.
[00:14:14.238 --> 00:14:16.019]  And it continued to devolve for a while.
[00:14:16.059 --> 00:14:17.760]  We had democratic republics.
[00:14:18.240 --> 00:14:25.884]  We even had a constitutional republic that was created with a sovereign treaty between 13 sovereign states.
[00:14:25.964 --> 00:14:28.625]  Now we have a treaty, the first one that's coming up.
[00:14:28.645 --> 00:14:30.526]  The Trans-Pacific Partnership is being brought up.
[00:14:30.986 --> 00:14:32.587]  It is 12 nations.
[00:14:33.148 --> 00:14:36.449]  It will be one of the largest trading blocs we have.
[00:14:36.489 --> 00:14:39.431]  I think it includes about 40% of the world's economies.
[00:14:40.211 --> 00:14:44.052]  This is, however, nothing but a secret corporate takeover.
[00:14:44.472 --> 00:14:48.133]  Being negotiated in secret, and it is a secret corporate takeover.
[00:14:48.153 --> 00:14:48.913]  Make no doubt about it.
[00:14:49.153 --> 00:14:50.574]  That's what Joseph Stiglitz calls it.
[00:14:51.014 --> 00:14:55.115]  He says, such pacts like this used to be called free trade agreements.
[00:14:55.635 --> 00:14:58.275]  In fact, they were always managed trade agreements.
[00:14:58.595 --> 00:15:00.256]  They were tailored to corporate interests.
[00:15:00.596 --> 00:15:01.916]  They were largely in the U.S.
[00:15:02.036 --> 00:15:02.856]  and the European Union.
[00:15:02.876 --> 00:15:08.718]  Today, such deals are more often referred to as partnerships, as in the Trans-Pacific Partnership.
[00:15:09.585 --> 00:15:12.028]  But they are not partnerships of equals.
[00:15:12.148 --> 00:15:18.836]  No, actually, as he points out, perhaps the most invidious, most dishonest part of this agreement is investor protections.
[00:15:19.617 --> 00:15:20.698]  This is not something new.
[00:15:21.119 --> 00:15:22.841]  This is not something that we haven't seen before.
[00:15:22.861 --> 00:15:24.342]  Of course, we saw this with NAFTA.
[00:15:25.003 --> 00:15:34.728]  We saw not only the removal of jobs from the United States, the loss of over 600,000 jobs after we had been promised the gain of 200 within just a couple of years.
[00:15:34.768 --> 00:15:37.369]  No, we have seen about 600,000 jobs lost.
[00:15:37.649 --> 00:15:42.552]  We have also seen how these state investor arbitrations work out.
[00:15:42.912 --> 00:15:43.993]  There have been literally
[00:15:44.933 --> 00:15:49.217]  Several hundred of them, not only in the European Union, but also in the NAFTA Union.
[00:15:49.858 --> 00:15:53.301]  And as they refer to them, they don't talk about them as being arbitrations.
[00:15:53.561 --> 00:15:57.064]  They talk about them as being investment treaty claims.
[00:15:57.584 --> 00:15:58.826]  And that's a key point here.
[00:15:59.446 --> 00:16:05.571]  When you look at the loss of sovereignty, the initial step towards world government, it's not just an agreement.
[00:16:06.252 --> 00:16:08.032]  You know, language means a great deal.
[00:16:08.072 --> 00:16:09.033]  And it's not just an agreement.
[00:16:09.053 --> 00:16:12.993]  We're going to talk a bit more about the difference between an agreement and a treaty.
[00:16:13.313 --> 00:16:14.534]  But first of all, what's going to happen?
[00:16:14.574 --> 00:16:18.575]  Well, last week we had a filibuster by the Democrats that was shut down on Thursday.
[00:16:18.615 --> 00:16:21.935]  They moved to foreclosure to go to a vote.
[00:16:22.475 --> 00:16:25.116]  And Mitch McConnell says that's going to happen this week.
[00:16:25.696 --> 00:16:26.996]  He says, yes, we will pass it.
[00:16:27.116 --> 00:16:28.797]  We will pass it later this week, he said today.
[00:16:29.197 --> 00:16:31.337]  And of course, he's talking about the fast-track legislation.
[00:16:31.837 --> 00:16:34.998]  They are simply going to give Congress an up-or-down vote.
[00:16:35.678 --> 00:16:40.462]  Now, if this was a treaty, it would require 67 votes in the Senate.
[00:16:41.503 --> 00:16:49.450]  If it's going to be in the fast-track trade authorization that they give with the Trade Promotion Authority, it will be a simple up-or-down vote.
[00:16:50.011 --> 00:16:53.694]  So instead of 61 votes to pass this, it will only need 51 in the Senate.
[00:16:53.854 --> 00:17:00.538]  But of course they're going to throw in the House for good measure, except the House is overwhelmingly in support of it, as are the Republicans.
[00:17:00.578 --> 00:17:07.321]  It's pretty much breaking down along party lines, unfortunately, although the leadership of both parties is very heavy to do this.
[00:17:08.022 --> 00:17:13.705]  They will then have, as part of the fast track, two weeks to show us this secret agreement that they have been working with.
[00:17:13.885 --> 00:17:17.107]  Corporate lawyers have been putting this together for several years now.
[00:17:17.667 --> 00:17:20.288]  And so just like the Magna Carta, the King had not written that.
[00:17:20.328 --> 00:17:21.429]  The King had not seen that.
[00:17:21.469 --> 00:17:22.770]  This was not a negotiation.
[00:17:23.649 --> 00:17:25.069]  This was something that was already written.
[00:17:25.109 --> 00:17:26.710]  They came to him and they said, sign it.
[00:17:27.390 --> 00:17:28.210]  We have the power.
[00:17:29.030 --> 00:17:30.150]  That is what's going on here.
[00:17:30.651 --> 00:17:33.831]  For years they've been doing these trade partnerships.
[00:17:34.511 --> 00:17:37.652]  Now they're about to present it to the Congress and say, sign it.
[00:17:38.512 --> 00:17:41.653]  We're going to take your power at this point, if you don't give it up.
[00:17:42.273 --> 00:17:44.374]  We haven't been allowed to see that.
[00:17:44.554 --> 00:17:47.874]  Our congressmen and senators have not been allowed to tell us about it, to take notes.
[00:17:48.134 --> 00:17:50.195]  They can go and read it, but they cannot talk about it.
[00:17:51.052 --> 00:17:55.516]  Where is the law that says that Congress cannot discuss a treaty?
[00:17:56.396 --> 00:17:59.479]  Now they tell us, don't worry, we're going to have two weeks to take a look at it.
[00:18:00.259 --> 00:18:03.242]  There will be no amendments, however, during that period of time.
[00:18:03.822 --> 00:18:13.050]  However, one of the few senators who has bothered to take a look at it, and very few have, Jeff Sessions, looked at it and said, this is a living document.
[00:18:14.167 --> 00:18:23.257]  Anything that is put in there can be changed at will by the same secret process that we've seen to create this in the first place.
[00:18:23.898 --> 00:18:29.364]  So there will be no amendments by the Congress, yet once it passes, it can be amended
[00:18:30.405 --> 00:18:30.745]  Forever.
[00:18:31.326 --> 00:18:31.966]  Continuously.
[00:18:32.446 --> 00:18:33.507]  By other people.
[00:18:33.807 --> 00:18:35.888]  They are surrendering their authority.
[00:18:35.908 --> 00:18:45.054]  And of course, we had an article about a week ago, by Phyllis Schlafly, that was originally on WND, TPP trade deal, Congress is giving away its authority.
[00:18:45.494 --> 00:18:47.235]  Precisely, that is what they're doing.
[00:18:47.475 --> 00:18:56.841]  They will not be allowed to amend it, it will be an up or down vote, and then it can be amended at will, by whoever the trade authorities are, whoever is in authority with that, at that point.
[00:18:57.441 --> 00:19:00.122]  Now she also talks about, again, going back to this being a treaty.
[00:19:00.883 --> 00:19:10.228]  She says, by not calling it a treaty, even though it involves 12 countries on three continents, the globalists induced the Senate to abandon the 67-vote threshold for a treaty ratification.
[00:19:10.288 --> 00:19:13.990]  Even the 60-vote threshold they usually use for important legislation.
[00:19:14.030 --> 00:19:15.331]  Now, let me ask you.
[00:19:16.334 --> 00:19:18.275]  Is this a treaty or is it an agreement?
[00:19:18.476 --> 00:19:21.318]  Let me read you the definition of what a treaty is.
[00:19:21.918 --> 00:19:31.885]  A treaty is a formal agreement negotiated between two or more nations in reference to peace, commerce, or other international relations.
[00:19:33.046 --> 00:19:34.627]  That is precisely what this is.
[00:19:34.747 --> 00:19:35.468]  This is a treaty.
[00:19:35.728 --> 00:19:43.814]  And as I mentioned, in investor-state relations that are going on now within the EU as well as within NAFTA, they talk about
[00:19:44.682 --> 00:19:49.525]  It being treaty claims, international investor treaty claims in this arbitration court.
[00:19:50.285 --> 00:19:51.686]  They know full well that it's a treaty.
[00:19:51.706 --> 00:19:54.087]  They play games with the language as always.
[00:19:54.547 --> 00:20:03.192]  If you want another analogy besides the Magna Carta, take a look at the enabling acts that put Adolf Hitler in absolute control in 1933.
[00:20:04.133 --> 00:20:13.778]  At that point in time, the Reichstag, which was the legislative body in the Weimar Republic, voted to hand over all legislative power to Adolf Hitler.
[00:20:14.738 --> 00:20:16.201]  They basically just gave it away.
[00:20:17.310 --> 00:20:27.293]  Our Congress has been doing that with the bureaucracies, but they're going to give away not only trade agreements, and as we pointed out, this is not a free trade agreement, this is managed trade.
[00:20:27.333 --> 00:20:34.615]  It is not free market, it is crony capitalism, just like the bank bailouts, just like the mortgage scams that we saw.
[00:20:34.635 --> 00:20:42.597]  It is law that is being written in secret by corporations and handed to the Congress and say, sign away your power.
[00:20:43.377 --> 00:20:44.838]  And it appears that they're ready to do so.
[00:20:45.868 --> 00:20:52.770]  Now one of the other things that we learned in this process is that this is not simply going to be for these two trade agreements.
[00:20:53.530 --> 00:20:56.271]  This is also, this is going to run for six years.
[00:20:57.051 --> 00:21:09.014]  It will give that authority to subsequent presidents, and that's why Mitch McConnell can barely contain his glee, talking about how he and Obama are now good buddies, passing back and forth secret notes.
[00:21:09.034 --> 00:21:16.396]  Well, you know, there's a lot of secret notes that are passing back and forth between them and these corporations probably, and some of those notes are colored green, I think.
[00:21:17.182 --> 00:21:19.904]  Finally, this comment about treaties.
[00:21:20.265 --> 00:21:21.646]  This is, in fact, a treaty.
[00:21:21.766 --> 00:21:26.470]  And in preparation for this, we have an article from Conservative Tribune that says, this is unreal.
[00:21:26.490 --> 00:21:29.292]  The Obama administration says that treaties trump the U.S.
[00:21:29.332 --> 00:21:29.933]  Constitution.
[00:21:31.015 --> 00:21:39.520]  There are many aspects of this treaty that are not about trade, that are about sovereignty, and this is one of them, saying that this is a treaty and not an agreement in their words.
[00:21:39.580 --> 00:21:45.684]  Now, we have a case going on right now with the Justice Department arguing this very fact.
[00:21:45.764 --> 00:21:51.508]  As Washington Examiner pointed out, the Justice Department attorneys are advancing an argument at the Supreme Court right now.
[00:21:52.068 --> 00:21:59.212]  That could allow the government to invoke international treaties as a legal basis for policies like gun control that conflict with the U.S.
[00:21:59.252 --> 00:22:01.693]  Constitution, according to Senator Ted Cruz.
[00:22:01.973 --> 00:22:06.015]  Their argument is that a law implementing an international treaty signed by the U.S.
[00:22:06.056 --> 00:22:11.899]  allows the federal government to prosecute a criminal case that would normally be handled by state or local authorities.
[00:22:12.399 --> 00:22:13.800]  Now, you understand.
[00:22:14.588 --> 00:22:20.733]  That even if there isn't any language in there about gun control, it can always be added at a later date.
[00:22:21.014 --> 00:22:23.356]  We just pointed out that this is a living document.
[00:22:24.156 --> 00:22:29.321]  And of course, if it's guns that are passing across borders, they could very easily say that that is an item of trade.
[00:22:30.541 --> 00:22:40.791]  And if the Obama administration is successful in arguing before the Supreme Court that treaties supersede the Constitution, we're going to have a very difficult time with this.
[00:22:41.452 --> 00:22:48.279]  One last article to show you how bad this is, as they're giving carte blanche to the multinational corporations to do as they wish.
[00:22:48.919 --> 00:22:53.924]  We now see that Congress is about ready to crack down on homemade soap.
[00:22:54.943 --> 00:22:58.184]  They have an act called the Personal Care Products Safety Act.
[00:22:58.704 --> 00:23:14.450]  This would give the Food and Drug Administration Authority to regulate ingredients in personal care products, not only for the big name brand ones that are made by big companies and that go across state lines, but also for homemade products, like all natural soap, that are made in home businesses across America.
[00:23:14.950 --> 00:23:18.231]  You see, if they were watching the Constitution, paying any attention at all to it,
[00:23:19.008 --> 00:23:21.149]  Then they would not have the authority to do that.
[00:23:21.610 --> 00:23:26.973]  They would only have the authority to regulate personal care products that travel across state boundaries.
[00:23:27.033 --> 00:23:28.334]  That's the way the Constitution is written.
[00:23:28.374 --> 00:23:30.516]  But we don't pay any attention to that anymore.
[00:23:31.356 --> 00:23:38.882]  And this illustrates the fact that they are going to come down with a hammer on all of the small national businesses.
[00:23:39.022 --> 00:23:45.126]  This is about giving everything to the multinational corporations and taking everything from us.
[00:23:45.626 --> 00:23:46.127]  Well, stay with us.
[00:23:46.147 --> 00:23:49.810]  When we come back, we're going to talk about Bank of America's dire predictions.
[00:23:49.830 --> 00:23:51.532]  They say we're in a twilight zone.
[00:23:51.912 --> 00:23:53.053]  Grab your cash.
[00:23:53.274 --> 00:23:54.194]  Grab your gold.
[00:23:54.214 --> 00:23:54.915]  We'll be right back.
[00:23:54.935 --> 00:23:55.816]  Stay with us.
[00:23:55.836 --> 00:24:02.943]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:24:03.083 --> 00:24:05.224]  But it's not just the air outside that's toxic.
[00:24:05.444 --> 00:24:10.647]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:24:10.807 --> 00:24:15.930]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:24:16.050 --> 00:24:19.152]  There are more than 42 million smokers in the United States.
[00:24:19.432 --> 00:24:23.356]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:24:23.576 --> 00:24:27.880]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:24:27.960 --> 00:24:38.109]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:24:38.330 --> 00:24:40.872]  Made with organic and wild cultivated herbs,
[00:24:41.152 --> 00:24:41.953]  We're good to go.
[00:24:56.089 --> 00:24:56.870]  We're good to go.
[00:25:14.744 --> 00:25:19.970]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:25:20.270 --> 00:25:25.856]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:25:26.237 --> 00:25:31.042]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:25:31.182 --> 00:25:34.786]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:25:35.106 --> 00:25:41.369]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:25:41.710 --> 00:25:46.712]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:25:46.872 --> 00:25:50.394]  Now available in our limited first run at Infowarslife.com.
[00:25:50.594 --> 00:25:52.515]  That's Infowarslife.com or call 888-253-3139.
[00:26:01.769 --> 00:26:09.052]  Today Bank of America and Merrill Lynch put out an advisory for investors, warning them that we're up for some very shaky times.
