[00:00:01.749 --> 00:00:02.911]  Well, it is surreal.
[00:06:37.290 --> 00:06:46.117]  Every year, millions of Americans are unknowingly letting government institutions and megacorporations steal billions of dollars of their money.
[00:06:46.317 --> 00:06:52.602]  And it's all possible because in the hustle and bustle of daily life, we forget to use those holiday gift cards.
[00:06:52.822 --> 00:06:54.344]  The numbers are staggering.
[00:06:54.504 --> 00:07:01.069]  In the past five years alone, $41 billion of consumer gift cards went completely unspent.
[00:07:01.229 --> 00:07:04.490]  That's $41 billion taken directly from our back pockets.
[00:07:04.770 --> 00:07:05.811]  Don't let them win.
[00:07:06.131 --> 00:07:15.615]  Instead, use your gift cards to help support the InfoWar and get 15% off when you use the promo code GIFTFIFTEEN at checkout at InfoWarStore.com.
[00:07:15.855 --> 00:07:18.816]  Many gift cards are universal and work just like credit cards.
[00:07:18.996 --> 00:07:25.039]  But don't worry, if yours doesn't, just to promote the concept of using the money on your gift cards,
[00:07:25.219 --> 00:07:28.423]  The discount goes to everybody that uses the promo code.
[00:07:28.523 --> 00:07:30.465]  That's promo code GIFT15.
[00:07:30.665 --> 00:07:32.347]  Don't donate your money to the banksters.
[00:07:32.488 --> 00:07:36.733]  Visit Infowarsstore.com and help fund the tip of the spear in the fight for human liberty.
[00:08:00.356 --> 00:08:04.660]  You're listening to the Alex Jones Show, what I call InfoWars Live.
[00:08:05.181 --> 00:08:09.124]  We just kicked off one of the final transmissions of 2015.
[00:08:09.485 --> 00:08:15.310]  It is the 30th day of December, 2015, on this Wednesday broadcast.
[00:08:15.830 --> 00:08:23.497]  Two-time Pulitzer Prize winner Seymour Hersh exposing what many experts have called a soft coup by the Pentagon.
[00:08:24.278 --> 00:08:33.844]  Trying to block the neocons and the Obama crowd from openly backing Al Qaeda groups all over the Middle East to bring in their Wahhabist Sharia law tyranny.
[00:08:35.005 --> 00:08:37.506]  That is in the third hour today.
[00:08:38.147 --> 00:08:46.632]  Former editor, the editor of the Wall Street Journal, former head of policy, Department of Treasury, the father of Reaganomics, will be popping in for 30 minutes as well.
[00:08:46.692 --> 00:08:51.415]  Dr. Paul Craig Roberts wrote a very important article dealing with the fact
[00:08:52.793 --> 00:08:57.176]  That Donald Trump is challenging the establishment and they are coming after him.
[00:08:57.977 --> 00:09:03.221]  So that's going to be looked at coming up in the second hour today.
[00:09:03.241 --> 00:09:04.883]  We'll also try to open the phones up.
[00:09:05.743 --> 00:09:16.091]  There is a big Daily Beast article, that of course is Newsweek, that's getting picked up by the talking heads on the controlled corporate globalist press.
[00:09:17.369 --> 00:09:30.313]  Demonizing Donald Trump and Matt Drudge and saying how horrible it is that Matt Drudge has been following Donald Trump and claiming he's being supportive of Donald Trump.
[00:09:31.654 --> 00:09:37.615]  Well, I'll let Matt Drudge speak for himself, but Donald Trump looks like he's the only candidate that can beat Hillary Clinton.
[00:09:38.736 --> 00:09:41.877]  And so, do you want Hillary Clinton in office?
[00:09:43.052 --> 00:09:44.794]  Donald Trump just gets better and better.
[00:09:44.834 --> 00:09:50.999]  He's come out and said he's sick of Obama being on vacation up to four months a year, worse than any other president before.
[00:09:51.239 --> 00:09:52.480]  I was a big critic of Bush for it.
[00:09:52.880 --> 00:09:54.662]  Obama's almost done double what Bush did.
[00:09:55.783 --> 00:10:07.473]  As he was about to go to Hawaii for another month-long vacation, he made the announcement that, oh, the most important thing I'll be doing, quote, is watching the new Star Wars movie.
[00:10:07.493 --> 00:10:10.596]  I guess the president gets an advance copy or doesn't have to go to the theater.
[00:10:12.841 --> 00:10:18.509]  They're having press briefings with, you know, R2-D2 and C-3PO at the White House.
[00:10:19.190 --> 00:10:20.993]  Just nothing but pop garbage.
[00:10:21.714 --> 00:10:28.504]  Even liberal comedians are coming out, like David Spade and saying, you know, you need to not be on reality TV.
[00:10:28.524 --> 00:10:29.064]  You need to not...
[00:10:30.583 --> 00:10:31.984]  Be so degraded as the President.
[00:10:32.024 --> 00:10:33.145]  That's the whole point.
[00:10:33.586 --> 00:10:34.586]  Is to degrade the country.
[00:10:34.967 --> 00:10:36.728]  And to divert people off into mindless garbage.
[00:10:36.748 --> 00:10:38.029]  But even liberals are getting it.
[00:10:38.309 --> 00:10:42.453]  Even liberal members of Congress, David Knight covered this yesterday, are saying Hillary destroyed Libya.
[00:10:43.053 --> 00:10:44.374]  Launched the attack on Syria.
[00:10:47.517 --> 00:10:52.121]  Obama will spend $470,000 a day while he is in Hawaii on this vacation.
[00:10:53.102 --> 00:10:54.963]  And again, there's a lot bigger stuff going on.
[00:10:55.323 --> 00:10:59.367]  But it illustrates, as Trump said, while we're in a major war
[00:11:00.382 --> 00:11:12.934]  With ISIS, Al-Qaeda, Al-Nusra, same group that is attacking five or six countries, or more actually, it's up to ten, but currently five or six the last month have been attacked in Africa.
[00:11:13.175 --> 00:11:24.726]  Hundreds dead, Middle East, thousands dead every month, attacking Syria, attacking Libya, overthrowing it, attacking and overthrowing for a time Egypt, our government backing it.
[00:11:26.701 --> 00:11:27.984]  This is order out of chaos.
[00:11:28.024 --> 00:11:31.912]  This is globalism using America to destabilize the world as well as NATO.
[00:11:33.365 --> 00:11:37.667]  And Trump comes out and says, you need to be at the White House fighting ISIS.
[00:11:38.327 --> 00:11:41.948]  You need to be working hard like a lot of other presidents.
[00:11:42.008 --> 00:11:48.171]  I mean, Bill Clinton was a pretty bad guy doing horrible stuff, but he reportedly worked about 15 hours a day carrying on his evil agenda.
[00:11:48.631 --> 00:11:52.712]  People like Nixon worked up to 18 to 20 hours a day.
[00:11:53.053 --> 00:11:55.193]  And by the way, actually believed he was trying to help the country.
[00:11:55.473 --> 00:11:56.474]  That's been well documented.
[00:11:57.148 --> 00:12:01.631]  He was a twisted guy, had problems, but he was a saint.
[00:12:01.752 --> 00:12:02.672]  A saint!
[00:12:03.613 --> 00:12:09.918]  That's why the establishment took him down with a Naval Intelligence and a CIA officers over at the Washington Bilderberg Post.
[00:12:11.379 --> 00:12:18.684]  And by the way, Nixon did a lot of bad stuff, but he actually tried to be president, and they said, uh-uh, just like Kennedy tried to be president, and they said, no.
[00:12:20.586 --> 00:12:21.887]  You die, is what they said.
[00:12:22.187 --> 00:12:24.489]  Well, they had a soft coup, basically, on Nixon.
[00:12:25.526 --> 00:12:26.667]  And you could argue he deserved it.
[00:12:26.687 --> 00:12:27.547]  He did some bad things.
[00:12:28.107 --> 00:12:42.935]  Nothing compared to what Barack Hussein Obama... In fact, even Jonathan Turley, other liberal constitutional lawyers have said, Obama has done more than Bush by an order of three times.
[00:12:43.535 --> 00:12:44.876]  Three times worse.
[00:12:45.917 --> 00:12:49.659]  Three times worse in violating the Constitution and Bill of Rights.
[00:12:50.560 --> 00:12:51.320]  That was his job.
[00:12:51.661 --> 00:12:53.201]  Put the liberals to sleep.
[00:12:53.702 --> 00:12:56.763]  Of course an attack on liberty is going to come from a liberal angle.
[00:12:57.363 --> 00:13:05.747]  Because traditionally, American liberals were more like Thomas Jefferson and really did stand up for basic human rights and freedoms and due process.
[00:13:07.608 --> 00:13:09.429]  That's what you could expect from a Democratic Party.
[00:13:10.169 --> 00:13:11.070]  Not anymore, folks.
[00:13:11.810 --> 00:13:17.253]  Fascistic with a communist icing is the best way to describe it.
[00:13:18.294 --> 00:13:23.718]  And they are freaking out all over the media saying it could be Matt Drudge that gets Donald Trump elected.
[00:13:23.778 --> 00:13:27.922]  Well, this is what Matt Drudge is really able to do as the number one news site in the world.
[00:13:30.264 --> 00:13:36.008]  To show people a mosaic of really what's going on, linking to the establishment and what people actually said.
[00:13:36.949 --> 00:13:42.914]  They'll come out and say that, you know, Trump said he hates all Mexicans and thinks they should all be deported and then Drudge will just link to the actual clip where he didn't say that.
[00:13:46.371 --> 00:13:52.474]  So, Drudge just brings up things that aren't in the establishment narrative, that don't go along with their talking points.
[00:13:53.494 --> 00:13:57.616]  And so, then what Drudge puts out ends up becoming a major talking point.
[00:13:58.796 --> 00:14:07.200]  Because the slaves in mainstream media have to follow talking points they're given, they don't even know how to come up with their own views of the world, their own talking points.
[00:14:08.578 --> 00:14:10.398]  They don't even see through their own rose color darkly.
[00:14:10.438 --> 00:14:11.079]  None of us are perfect.
[00:14:11.239 --> 00:14:17.220]  They just go with whatever is handed down to them that is the supposed angle or narrative.
[00:14:19.941 --> 00:14:21.361]  And so they then go.
[00:14:21.381 --> 00:14:27.103]  I mean, how many times do you see photos in the background of the Washington Post, New York Times, LA Times, MSNBC, CNN, Fox News?
[00:14:27.303 --> 00:14:29.943]  There's the Drudge Report on a TV screen or on computers.
[00:14:31.784 --> 00:14:36.585]  They don't even know how to go through their own email or even go to like 10 or 15 other sites or go to foreign sites.
[00:14:37.645 --> 00:14:39.987]  They just go to drudge, which is good.
[00:14:40.828 --> 00:14:52.140]  But imagine, to them it's so fantastical that someone's linking to Japanese and South African and Russian and Mexican news and alternative media or some lady who shot a cell phone video.
[00:14:53.783 --> 00:14:56.184]  Without commentary, just, here it is, what do you think?
[00:14:56.964 --> 00:15:01.266]  Here's ten articles about, you know, cameras going up on street corners that face scan you.
[00:15:01.827 --> 00:15:03.187]  Oh, you crazy conspiracy theorist!
[00:15:03.627 --> 00:15:07.989]  All he's doing is linking to mainstream media, but he's showing, connecting the dots, how it's rolling out.
[00:15:08.309 --> 00:15:17.073]  Or all these Pentagon people admitting robots will replace all combat troops within ten years, and then he links to top scientists in mainstream news, saying we're going to be taken over by computers.
[00:15:17.293 --> 00:15:20.575]  They go, look at Drudge, fear-mongering out about robot takeovers.
[00:15:21.295 --> 00:15:24.717]  Oh, it was linked to a spectrum of it to show you it's a trend.
[00:15:26.138 --> 00:15:30.080]  But it's the end of the establishment if you start thinking for yourself.
[00:15:30.100 --> 00:15:35.182]  And I'm going to get into all the news, but it's important to look at this because they attack Drudge, they attack Trump.
[00:15:35.202 --> 00:15:41.786]  Let me show people the article of your TV viewer, Infowars.com forward slash show to find the free video feeds.
[00:15:43.907 --> 00:15:46.288]  And it says, Make America Great Again.
[00:15:46.388 --> 00:15:50.050]  And they stick a Drudge hat on Donald Trump.
[00:15:51.681 --> 00:16:04.475]  And of course Trump's committing a war crime, according to the Globalist and the Infowar, by admitting the plan is to not make America great, the plan is to slowly suck us dry while our blood, sweat and tears builds the big tax-exempt global government.
[00:16:06.417 --> 00:16:10.161]  And the article goes on, why is Matt Drudge boosting Donald Trump?
[00:16:11.684 --> 00:16:14.546]  Donald Trump hit the zeitgeist six, eight months ago.
[00:16:15.066 --> 00:16:18.808]  Donald Trump is saying what the American people are feeling and witnessing.
[00:16:19.048 --> 00:16:20.249]  And Drudge is feeling the same thing.
[00:16:20.429 --> 00:16:21.970]  So he's just dialing into it.
[00:16:24.053 --> 00:16:26.534]  But they act like, oh, it's all Drudge's fault.
[00:16:26.634 --> 00:16:28.234]  Oh, it's such a terrible thing.
[00:16:28.294 --> 00:16:31.055]  See, if he could just be dealt with, and let me tell you where this is going.
[00:16:31.455 --> 00:16:46.078]  This is going in campaign finance reform, as multiple members of the FCC board have said on both sides, that they are going to try next year to pass laws and get the Supreme Court to rule that Matt Drudge
[00:16:47.403 --> 00:16:50.264]  cannot even exist because he's political.
[00:16:50.624 --> 00:16:52.044]  Well, everybody is political.
[00:16:52.104 --> 00:16:53.285]  Everybody has their free speech.
[00:16:53.625 --> 00:16:58.566]  He should be able to link to a clip of Obama saying that there's 57 states.
[00:17:01.927 --> 00:17:06.048]  But see, that's where all of this is going, and he had a Supreme Court justice tell him.
[00:17:09.109 --> 00:17:14.430]  Next year, we've been told that basically they have the votes, they're gonna rule to shut you down.
[00:17:15.888 --> 00:17:18.110]  And by the way, that means talk radio, and that means this show.
[00:17:18.331 --> 00:17:34.829]  So Drudge comes here, comes out of the shadows, after all the behind-the-scenes harassment he's gone through, and I'll just leave it at that, comes on this show, in the shadows, right over there, 20 feet away, behind the cameras, and lays all this out, and they make fun of it.
[00:17:39.352 --> 00:17:51.783]  It goes on, the public evidence we have is the big and very rare interview Drudge gave back in October to wing nut, oh look they use a term like wing nut, how original, radio host Alex Jones where he delivered gems like this one.
[00:17:52.223 --> 00:18:00.090]  You've got to be the greatest you can be now before this country is so completely altered and we're left with Hillary's brain in the Oval Office in a jar.
[00:18:00.611 --> 00:18:02.352]  Because that's what we're getting.
[00:18:02.592 --> 00:18:04.875]  She is old, she is sick, she is not a contender.
[00:18:05.933 --> 00:18:10.475]  They're making her a contender with these propped up Saturday Night Live things.
[00:18:10.535 --> 00:18:12.376]  It's like a head on a stick.
[00:18:13.716 --> 00:18:17.398]  And the Today Show, a head on a stick.
[00:18:17.478 --> 00:18:22.960]  She is not viable, vibrant leader for this country of 300, including the illegal 380 million Americans.
[00:18:23.220 --> 00:18:25.741]  So the media is trying to put us to sleep.
[00:18:26.963 --> 00:18:29.725]  And then he goes on to warn about their coming for our free speech.
[00:18:29.765 --> 00:18:30.585]  We've got a rally.
[00:18:30.605 --> 00:18:31.385]  We've got to take action.
[00:18:31.405 --> 00:18:37.249]  This is the biggest guy when it comes to actual power in the U.S.
[00:18:37.309 --> 00:18:39.110]  media, arguably the world media.
[00:18:39.870 --> 00:18:42.691]  I mean, who's more influential to put a big story out and get it covered?
[00:18:42.731 --> 00:18:43.532]  Vladimir Putin?
[00:18:43.912 --> 00:18:44.653]  Matt Drudge?
[00:18:45.873 --> 00:18:47.874]  Then what, a Rush Limbaugh and Alex Jones after that?
[00:18:49.355 --> 00:18:51.896]  And thank God I'm not one of the very top people.
[00:18:52.457 --> 00:18:54.318]  It's scary enough up at these heights, believe me.
[00:18:55.185 --> 00:19:00.168]  It's like floating around at 10,000 feet in a hot air balloon, and you got gremlins crawling around on the top, poking it with needles.
[00:19:01.810 --> 00:19:04.852]  Literally scurrying around everywhere, step on them every day.
[00:19:04.872 --> 00:19:08.414]  I'm like climbing around on top of the balloon, trying to swat them off.
[00:19:08.474 --> 00:19:12.757]  I mean, it's just, the public's like zombies wandering around, having no idea this huge war is going on.
[00:19:13.057 --> 00:19:15.179]  Oh, I'm a wingnut, is that why Cy Hirsch is coming on?
[00:19:15.199 --> 00:19:18.541]  Is that why the former chief editor of the Wall Street Journal is about to come on?
[00:19:19.021 --> 00:19:19.782]  Oh, is that why...
[00:19:21.411 --> 00:19:29.023]  Donald Trump came on, is that why you people just think you can just lazily throw out a term, demonize people, and then no one's gonna listen?
[00:19:29.243 --> 00:19:32.087]  You're so discredited, all it does is make everybody tune in.
[00:19:32.368 --> 00:19:33.149]  So keep it up!
[00:19:33.429 --> 00:19:36.293]  Send what little audience you have left, Daily Beast, to me!
[00:19:37.663 --> 00:19:44.368]  Something just happened that has explained why survival food is literally flying off the shelves and has sold out in many areas of the country.
[00:19:44.729 --> 00:19:48.392]  It caught me totally by surprise, and it involves FEMA.
[00:19:48.732 --> 00:19:51.714]  I couldn't believe FEMA tried this until I saw proof.
[00:19:52.135 --> 00:19:57.219]  Revealing their secret could land me in hot water, but I think you deserve to know exactly what they're doing.
[00:19:57.819 --> 00:20:01.841]  Watch the viral video at FEMA3.com before it disappears again.
[00:20:02.182 --> 00:20:07.785]  But be warned, it's really disturbing because the fact is, they must know something we don't.
[00:20:08.345 --> 00:20:18.351]  Go to FEMA3.com to see the number one item you should be hoarding and why supplies of this critical item are so low or even completely sold out at many stores across America.
[00:20:19.071 --> 00:20:19.951]  Don't miss out.
[00:20:20.292 --> 00:20:25.014]  Watch the controversial video that thousands of other smart patriots have already seen in recent days.
[00:20:25.494 --> 00:20:30.756]  Go to FEMA3.com and discover the number one most critical item in a crisis.
[00:20:31.096 --> 00:20:34.398]  Watch the shocking video right now at FEMA3.com.
[00:20:34.738 --> 00:20:35.838]  Again, that's FEMA3.com.
[00:20:37.973 --> 00:20:39.214]  911, what is your emergency?
[00:20:39.274 --> 00:20:40.234]  There's somebody in my house.
[00:20:40.774 --> 00:20:41.495]  Hurry, please.
[00:20:42.035 --> 00:20:44.676]  A home break-in happens every 22 seconds.
[00:20:44.997 --> 00:20:49.259]  Homes without a security system are up to three times more vulnerable to a burglary.
[00:20:49.419 --> 00:20:51.020]  That's why they're SimpliSafe.
[00:20:51.340 --> 00:20:56.182]  In an emergency, our advanced wireless technology alerts police up to 10 times faster.
[00:20:56.342 --> 00:21:01.985]  And your connection to emergency services can't be cut because SimpliSafe doesn't rely on landlines.
[00:21:02.245 --> 00:21:05.607]  SimplySafe costs less than half what traditional companies charge.
[00:21:05.707 --> 00:21:09.490]  Just $14.99 a month and there's no commitment to an annual contract.
[00:21:09.630 --> 00:21:12.452]  Protect your family with the highest caliber security.
[00:21:12.752 --> 00:21:19.337]  Go now to SimplySafeDefense.com and get 10% off with free shipping and a three-year warranty.
[00:21:19.617 --> 00:21:22.119]  Hurry and you'll also receive a keychain remote worth $25.
[00:21:23.360 --> 00:21:25.542]  Try SimpliSafe for a full 60 days.
[00:21:25.682 --> 00:21:29.084]  You'll feel confident that your family is safe or your money back.
[00:21:29.264 --> 00:21:32.587]  Go to SimpliSafeDefense.com right now.
[00:21:33.067 --> 00:21:35.289]  SimpliSafeDefense.com
[00:21:37.287 --> 00:21:46.593]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:21:46.713 --> 00:21:51.016]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:21:51.136 --> 00:21:57.940]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:21:58.140 --> 00:21:59.841]  Buy now at DefenderShield.com.
[00:22:00.001 --> 00:22:02.242]  For 10% off, use promo code GCN.
[00:22:02.403 --> 00:22:05.945]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:06.903 --> 00:22:14.664]  If you or someone you care about loves outdoor adventure, then check out slingbow.com for some unique holiday gift ideas.
[00:22:15.284 --> 00:22:23.386]  That's slingbow.com, where we have some innovative new products for the archer, hunter, or bow fishing enthusiast in your family.
[00:22:23.926 --> 00:22:28.607]  Now through January, use the promo code HOLIDAY to get free shipping in the U.S.
[00:22:28.647 --> 00:22:29.287]  or Canada.
[00:22:29.787 --> 00:22:35.688]  And from all of us at Slingbow Industries, have a safe, joyous, and peaceful holiday season.
[00:22:36.667 --> 00:22:37.567]  Hey, Berky Guy here.
[00:22:37.647 --> 00:22:39.347]  Are you still drinking unfiltered tap water?
[00:22:39.487 --> 00:22:41.168]  Does your water contain chlorine or fluoride?
[00:22:41.248 --> 00:22:43.088]  Will you have drinkable water in an emergency?
[00:22:43.208 --> 00:22:49.069]  The Berky Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:22:49.189 --> 00:22:52.750]  We offer Berky Water Purification Systems at the lowest available prices online.
[00:22:52.850 --> 00:22:54.750]  Don't go another moment without Berky System.
[00:22:54.810 --> 00:22:57.811]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:22:57.911 --> 00:23:01.111]  Join them by visiting GoBerky.com or call me, the Berky Guy, at 877-886-3653.
[00:23:01.151 --> 00:23:01.331]  That's 877-886-3653.
[00:23:06.272 --> 00:23:07.773]  Are you looking to sell body armor?
[00:23:07.853 --> 00:23:10.774]  Want to make extra money selling body armor at your local gun shows?
[00:23:10.914 --> 00:23:14.476]  With low minimum buys and great returns, KD Armor is the answer.
[00:23:14.576 --> 00:23:16.237]  Make money in your spare time.
[00:23:16.257 --> 00:23:23.161]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[00:23:23.541 --> 00:23:25.202]  And they'll ship it to you for free.
[00:23:25.442 --> 00:23:28.003]  If you own a business, give them a call today at 855-488-KD.
[00:23:28.023 --> 00:23:28.423]  That's 855-488-2284.
[00:23:28.543 --> 00:23:29.504]  Or go to KDArmor.com.
[00:23:29.524 --> 00:23:30.304]  Come and take it.
[00:23:56.192 --> 00:23:58.173]  Monday through Friday from 11 a.m.
[00:23:58.193 --> 00:23:58.714]  to 3 p.m.
[00:23:58.734 --> 00:23:59.414]  Central.
[00:23:59.814 --> 00:24:00.335]  We're here live.
[00:24:00.595 --> 00:24:02.136]  You're listening to the Alex Jones Show.
[00:24:02.676 --> 00:24:03.757]  I'm your host Alex Jones.
[00:24:03.777 --> 00:24:10.241]  All right, I want to burrow into the news at the start of the next segment, but this one is short, six minutes long.
[00:24:10.261 --> 00:24:21.928]  I want to talk about the real cosmology of the world, which is in the history books, which is in common sense, which is in all the basic literature.
[00:24:22.816 --> 00:24:23.997]  Both fiction and non-fiction.
[00:24:24.017 --> 00:24:25.217]  We know how humans operate.
[00:24:25.577 --> 00:24:26.798]  We know the basic rules.
[00:24:27.458 --> 00:24:30.119]  We know what our species has done, generation after generation.
[00:24:33.501 --> 00:24:38.003]  And you watch mainstream media, it is at war with common sense.
[00:24:39.484 --> 00:24:40.144]  And why is that?
[00:24:41.545 --> 00:24:48.728]  Because our forebearers weren't perfect, but they lived closer to the ground, closer to the weather, closer to the bandits on the road.
