[00:00:00.392 --> 00:00:01.220]  Let's show.
[00:07:16.185 --> 00:07:20.490]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:07:20.771 --> 00:07:28.480]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:07:28.720 --> 00:07:33.945]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:07:34.245 --> 00:07:39.830]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:07:40.191 --> 00:07:45.015]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:07:45.155 --> 00:07:48.739]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:07:49.079 --> 00:07:55.363]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:07:55.683 --> 00:08:00.686]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:08:00.846 --> 00:08:04.328]  Now available in our limited first run at Infowarslife.com.
[00:08:04.568 --> 00:08:06.469]  That's Infowarslife.com or call 888-253-3139.
[00:08:27.586 --> 00:08:33.669]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:34.049 --> 00:08:35.590]  It's Alex Jones.
[00:08:44.113 --> 00:08:48.995]  It is Friday, 7-17, the 17th day of July, 2015.
[00:08:49.035 --> 00:08:53.537]  I am your host, Alex Jones.
[00:08:53.818 --> 00:08:56.719]  We have several very important guests joining us today.
[00:08:58.581 --> 00:09:06.824]  We're going to break down the tragic Chattanooga shootings that left four Marines dead, three wounded, and the sole gunman reportedly dead.
[00:09:08.545 --> 00:09:19.970]  I am going to be breaking down for you here today exactly what I think about this situation and what is going to come in the aftermath.
[00:09:22.884 --> 00:09:33.848]  We have a House committee that passed legislation to create a special domestic terror unit the day before the Chattanooga shooting.
[00:09:37.249 --> 00:09:44.832]  That Homeland Security and the FBI say their main target is gun owners, veterans, conservatives, Christians, libertarians.
[00:09:45.432 --> 00:09:46.232]  That's on record.
[00:09:46.952 --> 00:09:49.293]  So they're going domestic.
[00:09:49.353 --> 00:09:51.214]  We told you after 9-11 it would be used.
[00:09:52.199 --> 00:09:54.182]  To overturn the Bill of Rights and Constitution.
[00:09:54.202 --> 00:09:58.649]  9-11 has definitely done that.
[00:09:58.669 --> 00:10:01.353]  15 years after 9-11, roughly, we have a 200,000 plus person army
[00:10:07.063 --> 00:10:25.615]  Ranging around the Middle East, overthrowing our allies, murdering Christians, murdering non-radical extremist Muslims, and attacking multiple times in France, multiple times in North Africa, all over Kaleid, and now two attacks inside the United States.
[00:10:25.815 --> 00:10:31.959]  The attack, of course, in Garland a month and a half ago, and now the attack in Chattanooga, Tennessee.
[00:10:33.580 --> 00:10:34.561]  Now, that said,
[00:10:37.631 --> 00:11:06.478]  in the political correct world that we live in and that the average American is bombarded with when a deranged young man on amnesiac drugs goes into a Charleston, South Carolina church and brutally murders nine innocent black people at point-blank range because they were black
[00:11:08.726 --> 00:11:12.348]  And he shows photos of himself with a Confederate flag.
[00:11:12.768 --> 00:11:14.589]  They have pulled it down in multiple states.
[00:11:15.349 --> 00:11:19.011]  They are banning it off of most stores.
[00:11:19.371 --> 00:11:21.752]  They are banning people from selling it on eBay.
[00:11:22.112 --> 00:11:23.313]  They are demonizing it.
[00:11:23.353 --> 00:11:26.714]  They're calling for taking down statues of Confederate generals.
[00:11:28.075 --> 00:11:30.496]  They're calling for getting rid of the Maryland state song.
[00:11:33.473 --> 00:11:39.937]  Separately, all over the U.S., they're removing the word boy and girl in school, saying it's hurtful to people that aren't boys or girls.
[00:11:40.938 --> 00:11:50.945]  They're removing the name father or mother in California and other states, or husband or wife, because the fact that someone could be a husband and wife and they're not included, well, it has to be banned.
[00:11:51.365 --> 00:11:52.065]  Well, you know what?
[00:11:52.426 --> 00:12:03.093]  What if you feel it's hurtful that record numbers of Muslims are being brought in from countries known to be radicalized and to hate Westerners, to hate liberals, to hate
[00:12:03.893 --> 00:12:11.416]  Gays, who hate women being free, and who want to attack U.S.
[00:12:11.456 --> 00:12:15.358]  military installations, and who want to attack soft targets.
[00:12:16.739 --> 00:12:23.581]  ISIS is a real multi-hundred thousand person army, 15 years after 9-11, giving up so many of our liberties.
[00:12:23.601 --> 00:12:24.662]  Did we get more security?
[00:12:24.762 --> 00:12:25.022]  No.
[00:12:25.902 --> 00:12:27.023]  And our border is wide open.
[00:12:28.163 --> 00:12:31.685]  Because the terror threats are being used to take our freedoms.
[00:12:32.915 --> 00:12:40.837]  The Patriot Act is used 99 plus percent of the time against non-terror related cases to overturn the Bill of Rights and Constitution.
[00:12:42.818 --> 00:12:47.900]  Now that said, political correctness, if anything is hurtful to anyone, they're saying it's banned.
[00:12:48.340 --> 00:12:49.680]  That's totalitarianism.
[00:12:51.441 --> 00:12:58.343]  So what we need is some strong medicine to force the logical point, to force the debate,
[00:13:00.250 --> 00:13:08.677]  To have the controlled trader media attack us for making this point, and then to have the American public have a logical discussion.
[00:13:09.938 --> 00:13:12.380]  Now they will take what I'm about to say out of context.
[00:13:13.081 --> 00:13:14.061]  This is a big announcement.
[00:13:17.064 --> 00:13:20.266]  But it's not done satirically, it's done
[00:13:21.710 --> 00:13:37.103]  At a level of logical discussion, if we're going to ban paper bags that are brown in Seattle government because someone might be hurt that they're brown bags, no one ever said brown bags, anything to do with racism, they just say it to set the precedent they can ban or restrict whatever they want.
[00:13:37.363 --> 00:13:49.033]  If we're going to tell kids nationwide in public schools under No Child Left Behind, you're purple penguins, you can't be a boy or girl, it might hurt someone that doesn't identify as a boy or girl, if you can't have your identity
[00:13:49.713 --> 00:13:51.636]  Because it might hurt someone else.
[00:13:51.997 --> 00:13:56.163]  That is the greatest form of oppression psychologically I could imagine.
[00:13:56.403 --> 00:14:03.674]  That's the wildest cult programming that I could ever even envision in my mind.
[00:14:05.136 --> 00:14:05.557]  Period.
[00:14:08.510 --> 00:14:20.454]  So to assault these people, we have to point out that what they're doing is unconstitutional, it's tyrannical, it's totalitarian, it's oppressive, it's cultic, but also it can't be selectively enforced.
[00:14:21.034 --> 00:14:22.174]  It can't be discriminatory.
[00:14:24.135 --> 00:14:36.359]  And so, if we have radical Muslims being brought in by the hundreds of thousands a year, from everywhere from Turkey,
[00:14:37.637 --> 00:14:52.400]  Saudi Arabia, Kuwait, areas of Northeastern Africa like Somalia, who are then constantly getting caught trying to carry out attacks or who are carrying out attacks.
[00:14:53.553 --> 00:14:54.634]  Against soft targets.
[00:14:55.234 --> 00:14:57.396]  Well, if it's hurtful to people, they're doing that.
[00:14:57.797 --> 00:15:09.907]  And if we blame all white people for the shooter in Charleston, the deranged shooter, and if we blame the Confederate battle flag for that, then I'm calling for all Muslim symbols to be removed?
[00:15:11.089 --> 00:15:14.750]  And I'm calling for all mosques in the United States to be shut down.
[00:15:15.790 --> 00:15:25.994]  And I'm calling for all self-identifying Muslims of any type to be deported to their original country of origin, even if they've been here 200 years.
[00:15:26.574 --> 00:15:29.095]  I want all Muslims deported now.
[00:15:30.655 --> 00:15:44.508]  And I want all Muslims to have their mosques shut down, and their minarets removed, and their symbols removed, and anyone wearing a crescent moon around their neck, I want them arrested.
[00:15:46.450 --> 00:15:52.455]  Because we've got police showing up at swap meets, you know, saying they're there to arrest people selling rebel flags.
[00:15:52.816 --> 00:15:53.616]  Total tyranny!
[00:15:53.957 --> 00:15:54.957]  Hardcore oppression!
[00:15:55.851 --> 00:15:57.072]  Well then, let's see it!
[00:15:57.753 --> 00:16:02.857]  Let's see if the controlled left won't just edit what I just said and will take it in context.
[00:16:03.297 --> 00:16:08.201]  Because the truth is, most Muslims aren't radicals, most Muslims aren't terrorists.
[00:16:08.561 --> 00:16:17.709]  The truth is that, in general, the people coming to this country just want to work and be successful and are fleeing the oppression of radical Islam.
[00:16:18.812 --> 00:16:19.794]  I know a lot of Muslims.
[00:16:19.894 --> 00:16:21.115]  I went to school a lot of Muslims.
[00:16:22.117 --> 00:16:25.061]  I don't support blaming all Muslims for what just happened.
[00:16:25.421 --> 00:16:26.162]  But you know what?
[00:16:27.004 --> 00:16:29.627]  There have been a lot of Muslim groups allied with the left.
[00:16:30.626 --> 00:16:38.072]  Who are calling to remove the Confederate flag, and who are getting into this whole anti-Anglo-Saxon, anti-white garbage.
[00:16:38.372 --> 00:16:48.700]  And so it's time for white people, and anyone else that doesn't want to be oppressed, to say, I'm not going to be blamed for what somebody else does.
[00:16:49.340 --> 00:16:51.301]  But if you want to play by that game,
[00:16:52.242 --> 00:17:01.769]  We know statistically over 95% of terrorism in the world is carried out by Islamic extremists.
[00:17:02.189 --> 00:17:04.711]  The rest by criminal groups who want ransoms.
[00:17:06.332 --> 00:17:07.854]  They'll point towards Oklahoma City.
[00:17:08.254 --> 00:17:10.836]  That's come out in mainstream news, was as phony as a $3 bill.
[00:17:11.096 --> 00:17:12.177]  Totally set up.
[00:17:13.738 --> 00:17:16.620]  Southern Poverty Law Center running a white supremacist compound.
[00:17:20.049 --> 00:17:38.619]  But separate from that, this is the logic, this is what they're pushing, and so, if one man killing nine people, one degenerate, white person, who couldn't even get the Klan to follow him,
[00:17:39.889 --> 00:17:47.501]  If they've committed that heinous act, then ladies and gentlemen, we have to remove the Confederate flag next to the American flag.
[00:17:47.741 --> 00:17:49.264]  Now they're calling to remove Mount Rushmore.
[00:17:49.905 --> 00:17:50.346]  You know what?
[00:17:52.526 --> 00:17:55.547]  Let's remove every symbol somebody uses in a wrong way.
[00:17:56.127 --> 00:18:06.149]  If somebody runs over somebody with a Ford truck, I want Ford to change its symbol, change its name, and I want, by law, every Ford symbol removed, and if you don't, $10,000 fine.
[00:18:06.429 --> 00:18:11.090]  And there have been people that have used Chevy cars to kill people in crowds.
[00:18:11.450 --> 00:18:12.571]  I want Chevy banned.
[00:18:13.131 --> 00:18:15.691]  There have been people that have used Toyotas to run down crowds.
[00:18:16.412 --> 00:18:18.432]  One guy, I remember in California, that killed like 16 people.
[00:18:19.052 --> 00:18:21.733]  I want that, I want Toyota banned!
[00:18:22.927 --> 00:18:23.407]  Right now!
[00:18:25.628 --> 00:18:30.250]  And if a Smith & Wesson gun is used, sue Smith & Wesson, shut them down.
[00:18:30.610 --> 00:18:31.711]  That's what's happening right now.
[00:18:32.471 --> 00:18:34.372]  Bushmasters being sued by Bloomberg groups.
[00:18:35.152 --> 00:18:41.575]  By this logic, if anyone that works for Bloomberg ever commits a crime, he needs to be arrested as well.
[00:18:41.875 --> 00:18:43.796]  You see, totalitarianism works that way.
[00:18:44.276 --> 00:18:50.359]  If your neighbor or a guy down the street committed a crime in Nazi Germany or in Soviet Russia, you would get in trouble too.
[00:18:51.892 --> 00:18:52.852]  And that's how this works.
[00:18:53.732 --> 00:18:55.433]  Someone's offended by an American flag.
[00:18:55.613 --> 00:19:00.194]  So now all over the country they tell kids don't wear American flags at school on Cinco de Mayo or whatever.
[00:19:00.214 --> 00:19:00.974]  I mean, that's a joke.
[00:19:03.275 --> 00:19:04.455]  This is divide and conquer.
[00:19:08.816 --> 00:19:12.157]  So now, ladies and gentlemen, we stand at the crossroads.
[00:19:13.826 --> 00:19:30.241]  And if we have to blame all whites for what the shooter did in South Carolina, and everybody from CNN to MSNBC to Salon to Raw Story said that, all whites are guilty, all whites basically deserve to be ashamed of themselves.
[00:19:30.642 --> 00:19:35.146]  MTV has shows about white people and how inherently bad they are.
[00:19:36.468 --> 00:19:40.610]  Even though most white people aren't related to anybody that ever had slaves, most white people came here after slavery.
[00:19:40.970 --> 00:19:43.131]  Doesn't matter, just white people are guilty, well then fine.
[00:19:43.691 --> 00:19:58.918]  All Muslims are guilty for the latest shooting, and they need to be deported to their country of origin, and their symbols need to be banned, and we need to put up tape around all the mosques.
[00:20:00.137 --> 00:20:01.919]  And ban all their books as well?
[00:20:03.000 --> 00:20:03.360]  Burn them!
[00:20:03.721 --> 00:20:04.562]  Burn all their books!
[00:20:04.882 --> 00:20:05.703]  Burn the Koran!
[00:20:05.943 --> 00:20:06.644]  Get rid of all of it!
[00:20:06.664 --> 00:20:07.204]  It's racist!
[00:20:07.445 --> 00:20:07.965]  It's hateful!
[00:20:08.165 --> 00:20:08.806]  It's murderous!
[00:20:08.946 --> 00:20:09.567]  Everybody's guilty!
[00:20:10.555 --> 00:20:16.240]  It's time to build your own emergency food stockpile with the industry leader, My Patriot Supply.
[00:20:16.781 --> 00:20:22.385]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:20:22.946 --> 00:20:27.530]  Experience the My Patriot Supply difference today with this unbelievable offer.
[00:20:27.990 --> 00:20:33.135]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:20:33.395 --> 00:20:35.377]  That's 50% off the online price.
[00:20:35.857 --> 00:20:39.319]  Call 800-274-3070 to claim yours.
[00:20:39.759 --> 00:20:41.760]  Limit two per caller while supplies last.
[00:20:42.220 --> 00:20:48.003]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:20:48.023 --> 00:20:52.725]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:20:58.988 --> 00:21:02.371]  Call 800-274-3070 right now.
[00:21:02.672 --> 00:21:07.416]  That's 800-274-3070 to claim yours while supplies last.
[00:21:07.756 --> 00:21:08.317]  Don't wait.
[00:21:08.597 --> 00:21:09.498]  Call today.
[00:21:10.098 --> 00:21:17.005]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:21:17.305 --> 00:21:26.687]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:21:26.987 --> 00:21:33.869]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:21:34.349 --> 00:21:41.810]  InfoWarsLife.com developed a silver bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:21:42.170 --> 00:21:45.431]  We set out to bring you the very best at the lowest price.
[00:21:45.831 --> 00:21:50.573]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[00:21:50.813 --> 00:21:54.874]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:21:55.234 --> 00:21:58.315]  No survival chest is complete without Silver Bullet.
[00:21:58.335 --> 00:22:01.176]  Exclusively available at Infowarslife.com.
[00:22:01.376 --> 00:22:05.698]  Secure your Silver Bullet today at Infowarslife.com or by calling toll-free 888-253-3139.
[00:22:10.640 --> 00:22:11.721]  We've all heard the news stories.
[00:22:12.201 --> 00:22:12.922]  Another shooting.
[00:22:13.322 --> 00:22:14.583]  And they're getting worse.
[00:22:15.044 --> 00:22:18.266]  That's why Infidel Body Armor introduces Infidel Fridays.
[00:22:18.607 --> 00:22:23.270]  Exclusive 24-hour insider deals to save you money and possibly save your life.
[00:22:23.611 --> 00:22:26.733]  Make it a favorite when you log on to InfidelBodyArmor.com.
[00:22:26.913 --> 00:22:32.638]  Then be sure to visit each and every Infidel Friday to get special insider pricing, but for 24 hours only.
[00:22:32.778 --> 00:22:34.479]  That's InfidelBodyArmor.com.
[00:22:34.720 --> 00:22:37.422]  Infidel Body Armor just won't quit.
[00:22:39.261 --> 00:22:40.141]  Hey, Berkey Guy here.
[00:22:40.241 --> 00:22:41.922]  Are you still drinking unfiltered tap water?
[00:22:42.062 --> 00:22:43.763]  Does your water contain chlorine or fluoride?
[00:22:43.823 --> 00:22:45.664]  Will you have drinkable water in an emergency?
[00:22:45.784 --> 00:22:51.646]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:22:51.787 --> 00:22:55.328]  We offer Berkey water purification systems at the lowest available prices online.
[00:22:55.428 --> 00:22:57.349]  Don't go another moment without a Berkey system.
[00:22:57.389 --> 00:23:00.410]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:00.510 --> 00:23:03.732]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:03.752 --> 00:23:03.932]  That's 877-886-3653.
[00:23:09.944 --> 00:23:11.325]  Hi, this is Walt Augustinowicz.
[00:23:11.766 --> 00:23:13.728]  I'm the founder and CEO of ID Stronghold.
[00:23:14.288 --> 00:23:17.912]  By now you've heard our commercials about wallets that protect you from electronic pickpocketing.
[00:23:18.152 --> 00:23:26.620]  Ten years ago, I created a way to protect my own cards from prying eyes after government officials started talking about issuing a national ID card with a built-in radio chip called RFID.
[00:23:26.980 --> 00:23:30.243]  I felt having to broadcast my personal information was an invasion of privacy.
[00:23:31.124 --> 00:23:34.206]  Soon after, it was also announced that credit cards, debit cards, U.S.
[00:23:34.246 --> 00:23:38.888]  passports, hotel room keys, and even transit passes would all soon incorporate RFID.
[00:23:39.629 --> 00:23:43.851]  It was then I formed IDStronghold to share my inventions in blocking RFID signals with the world.
[00:23:44.552 --> 00:23:47.353]  There are a lot of misconceptions out there today about RFID.
[00:23:47.693 --> 00:23:49.995]  I encourage everyone to get informed and get protected.
[00:23:50.795 --> 00:23:57.039]  Please go to idstronghold.com and get the facts and the wallets, sleeves, or badge holders you need to protect your personal financial data.
[00:23:57.819 --> 00:24:03.043]  You'll be pleasantly surprised that through our direct sales model, you won't pay more than other comparable unprotected wallets.
[00:24:03.423 --> 00:24:05.125]  It is as though the protection is free.
[00:24:05.785 --> 00:24:07.467]  Visit idstronghold.com today.
[00:24:18.775 --> 00:24:20.317]  Alex Jones here back live.
[00:24:21.798 --> 00:24:25.861]  This broadcast is straight talk on steroids.
[00:24:27.790 --> 00:24:29.471]  You can't have your cake and eat it too.
[00:24:29.511 --> 00:24:47.400]  You can't say we're a free society, but then we ban every symbol and persecute Christians and say that white people are inherently bad and are guilty of crimes that other white people commit, but then say that black people aren't guilty for the crimes that other black people commit.
[00:24:49.861 --> 00:24:56.264]  Or it's racist to want to stop criminals fleeing Latin American justice coming up here when it's a fact that's happening.
[00:24:57.389 --> 00:25:00.511]  And so, I don't say it tongue-in-cheek, I want to be clear.
[00:25:00.952 --> 00:25:11.339]  I say it along the twisted logic of the controlled fascistic left that wants to remove freedom of speech that you can't have your cake and eat it too.
[00:25:12.640 --> 00:25:23.769]  If you want to sue Bushmaster because somebody supposedly used a Bushmaster in a crime, when it's legal to sell those guns, well then you've got to ban
[00:25:25.307 --> 00:25:28.088]  The car companies and the cars that are used in crime.
[00:25:28.328 --> 00:25:29.628]  And you've got to ban knives.
[00:25:30.448 --> 00:25:31.448]  That's your twisted logic.
[00:25:31.468 --> 00:25:37.650]  And if you want to say the word father or mother is hurtful and ban it, well it's hurtful to get shot and killed if you're four Marines.
[00:25:39.490 --> 00:25:42.671]  And just instinctively, I would never go out and attack a government facility.
[00:25:43.671 --> 00:25:44.271]  Offensively.
[00:25:44.951 --> 00:25:50.892]  But just hypothetically, I would go out and look for another group of armed people to engage.
[00:25:51.832 --> 00:25:54.353]  But see, that's just the innate chivalry that I have.
[00:25:55.503 --> 00:26:01.906]  And that's why I'm against these drones and the rest of it, and robots killing people, because it takes the humanity and the empathy out of it.
[00:26:02.546 --> 00:26:03.487]  It's very dishonorable.
[00:26:03.887 --> 00:26:05.768]  And we will end up facing these drones as well.
[00:26:06.348 --> 00:26:08.569]  And the West has done terrible things to the Middle East.
[00:26:08.889 --> 00:26:18.934]  The most terrible is funding and protecting Saudi Arabia, and giving them the weapons, and then allowing them to carry out 9-11, and then covering it up,
[00:26:19.634 --> 00:26:35.220]  And the deal Saudi Arabia gets is they get to take over Iraq, they get to take out Iran, they get to launch their proxy armies, funded by them publicly, to take over the Middle East, and now their proxy armies and their fellow travelers, they're bots.
[00:26:36.812 --> 00:26:42.137]  Start attacking soft targets here, and they go, oh, we've set up a new domestic extremist group.
[00:26:42.397 --> 00:26:50.504]  Their main focus is veterans, gun owners, and people like that, and Christians and conservatives, and the White House is persecuting Christians and veterans and libertarian groups.
[00:26:51.645 --> 00:26:51.986]  You see?
[00:26:52.867 --> 00:27:00.393]  You see how I told you hundreds of times in the last four years they would use the Free Syrian Army to equip a new Al-Qaeda base, because that's who they are.
[00:27:00.694 --> 00:27:02.856]  They changed the name to Islamic State and ISIS.
[00:27:04.076 --> 00:27:21.587]  They launch attacks domestically, they launch attacks all over the world, and government uses that to get more funding and more power while leaving the borders open and bringing in unskilled radical Muslims who are now on the streets in Michigan and in London.
[00:27:22.688 --> 00:27:32.420]  In the news, coming up and beating up people, drinking at outside bars, and telling women, put on longer skirts, you're in a Muslim area.
[00:27:33.201 --> 00:27:35.543]  And then it's on local news, but nowhere else.
[00:27:36.204 --> 00:27:41.791]  They're bringing in intolerant people that have a Stone Age version of Islam.
[00:27:42.051 --> 00:27:45.112]  You can debate all day whether Islam is warlike or peaceful.
[00:27:45.812 --> 00:27:47.553]  I've read both the Koran and the Bible.
[00:27:47.933 --> 00:27:51.014]  The Bible's got passages about war and exterminating everybody.
