[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[00:05:57.040 --> 00:05:58.962]  I'm Margaret Halve reporting for InfoWars.com.
[00:06:00.191 --> 00:06:01.912]  I'm Alex Jones with a simple question.
[00:06:01.912 --> 00:06:06.195]  Will you and your family be financially protected if there's another economic meltdown?
[00:06:06.195 --> 00:06:09.778]  Like many experts, I believe another devastating crash is coming.
[00:06:09.778 --> 00:06:11.820]  I think it's a matter of when, not if.
[00:06:11.820 --> 00:06:14.722]  Don't wait for another crisis that could wipe out your hard-earned money.
[00:06:14.722 --> 00:06:20.246]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[00:06:20.246 --> 00:06:21.627]  It's a company I trust.
[00:06:21.627 --> 00:06:27.411]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[00:06:27.711 --> 00:06:30.912]  I'm talking real money, not paper or worthless stocks.
[00:06:30.912 --> 00:06:35.353]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[00:06:35.353 --> 00:06:41.195]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[00:06:41.195 --> 00:06:41.875]  Don't delay.
[00:06:41.875 --> 00:06:48.897]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[00:06:48.897 --> 00:06:53.378]  These are dangerous times and you need to make financial protection a priority.
[00:06:53.678 --> 00:06:56.320]  I personally own these survival packs, and you should too.
[00:06:56.320 --> 00:07:00.063]  Pick up the phone and call 844-541-ALEX-NOW.
[00:07:00.063 --> 00:07:05.727]  InfoWars is proud to announce the official InfoWars Live app, available now for iPhone and Android.
[00:07:05.727 --> 00:07:13.893]  InfoWars Live allows you to watch a live, high-definition feed of the Alex Jones Show 24-7 and get the latest breaking InfoWars reports straight to your phone.
[00:07:14.153 --> 00:07:17.174]  Want to read the latest exclusives on InfoWars.com?
[00:07:17.174 --> 00:07:18.995]  Or do you want to catch up on world news?
[00:07:18.995 --> 00:07:22.116]  Now you can do so with InfoWars Live anywhere you go.
[00:07:22.116 --> 00:07:24.436]  You can browse the news, share content, and more.
[00:07:24.436 --> 00:07:27.617]  And best of all, it's free to download at InfoWars.com.
[00:07:27.617 --> 00:07:29.038]  The app is brand new.
[00:07:29.038 --> 00:07:30.278]  This is the first release.
[00:07:30.278 --> 00:07:32.619]  And it was completely built from the ground up.
[00:07:32.619 --> 00:07:36.180]  We've seen example after example of cable news networks attempting to deceive you.
[00:07:36.440 --> 00:07:45.307]  In short, the mainstream media is being covertly manipulated by well-financed political forces who are trying to sway public opinion and in a natural direction that only serves establishment agendas.
[00:07:45.307 --> 00:07:50.352]  But InfoWars Live is the solution to the controlled press that is rapidly losing influence.
[00:07:50.352 --> 00:07:57.698]  So download InfoWars Live today at InfoWars.com and learn what's really going on instead of being spoon-fed lies by the mainstream media.
[00:08:17.504 --> 00:08:22.988]  If you are receiving this transmission, you are the resistance.
[00:08:22.988 --> 00:08:30.512]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:30.512 --> 00:08:38.217]  It's hard to believe we are now just T-minus seven days, one week, from the deciding election.
[00:08:38.217 --> 00:08:40.999]  Americanism versus Globalism.
[00:08:42.119 --> 00:09:07.819]  I'm your host Alex Jones and I really want to endeavor in between guests today that are joining us to open the phones up with your specifics of whether or not you've been able to vote and not had your vote flipped from straight ticket to straight Democratic ticket or from Donald Trump to Hillary Clinton because those reports are coming in to mainstream news, CBS, ABC.
[00:09:07.819 --> 00:09:09.160]  They're being forced to report it.
[00:09:10.421 --> 00:09:20.175]  From Maryland to Colorado, from Texas to Florida, it's happening all over the country.
[00:09:20.175 --> 00:09:25.824]  And front and center is the fact that we have in the WikiLeaks Donna Brazile caught a second time.
[00:09:27.782 --> 00:09:31.424]  Giving questions to Hillary before the event happened.
[00:09:31.424 --> 00:09:39.428]  We've even got the video of one of the Democratic debates where the very question then got posed and she has the nerve to continue to lie.
[00:09:39.428 --> 00:09:41.750]  This is just indicative of how it's all staged.
[00:09:41.750 --> 00:09:51.575]  We have them in the WikiLeaks just a week and a half ago admitting that their over-polling was their plan a year and a half ago to make Hillary look invincible.
[00:09:51.575 --> 00:09:55.457]  And to have the news media they control, literally control,
[00:09:57.927 --> 00:10:01.250]  Think about that.
[00:10:01.250 --> 00:10:04.252]  Sit there and add 7 to 20 to 30 to 40 points in.
[00:10:04.252 --> 00:10:06.674]  It is simply unbelievable.
[00:10:06.674 --> 00:10:09.417]  When I tell people on the street, they say, hey, do you think Trump's going to win?
[00:10:09.417 --> 00:10:13.060]  I notice he's ahead of Hillary in a couple of polls now, or neck and neck with her.
[00:10:13.060 --> 00:10:19.025]  And I say, do you understand that those very polls, if you read the methodology, are adding 9, 12, 15, 20, 25, 30, 40, 45, depending on the poll.
[00:10:19.025 --> 00:10:20.026]  Some ABC and CNN polls
[00:10:25.794 --> 00:10:27.235]  I mean, think about it.
[00:10:27.235 --> 00:10:28.015]  You're up there at 80.
[00:10:28.015 --> 00:10:30.477]  This lady's maybe 30, 40 points, maybe 35 if she's lucky.
[00:10:30.477 --> 00:10:32.318]  There is absolute disgust for her across the board.
[00:10:53.985 --> 00:10:57.349]  We've got a loaded roster today.
[00:10:57.349 --> 00:10:59.951]  Bev Harris joins us in the second hour.
[00:10:59.951 --> 00:11:01.073]  She is the nonpartisan.
[00:11:01.073 --> 00:11:04.757]  She's a Democrat, but she's nonpartisan in her investigations.
[00:11:04.757 --> 00:11:12.705]  Top expert, undoubtedly, in the modern era on election fraud, but also on voter fraud.
[00:11:12.705 --> 00:11:15.909]  But she'll tell you election fraud is really nine-tenths of it, generally.
[00:11:17.628 --> 00:11:19.810]  She's got huge new information out today.
[00:11:19.810 --> 00:11:22.072]  We're going to be premiering here in the second hour.
[00:11:22.072 --> 00:11:26.437]  Roger Stone is going to be popping in each day until the election and right through the election.
[00:11:26.437 --> 00:11:34.345]  Lou Rockwell is going to be joining us as well as David Knight hosting the fourth hour of Overdrive.
[00:11:34.345 --> 00:11:37.768]  But I specifically want to hear from you just boom!
[00:11:37.768 --> 00:11:39.089]  Did you have trouble?
[00:11:39.089 --> 00:11:40.030]  Where was it?
[00:11:40.030 --> 00:11:40.511]  What happened?
[00:11:42.594 --> 00:11:47.577]  Send us screenshots, send us photos, send us video when you're in the voting booth.
[00:11:47.577 --> 00:11:51.079]  Vote at InfoWars.com is the place.
[00:11:51.079 --> 00:11:57.784]  And we're getting a lot of these videos coming in of not being able to vote Republican, of having your votes flipped if you vote straight ticket.
[00:11:57.784 --> 00:11:59.865]  This morning I went in to see my allergy doctor.
[00:12:02.802 --> 00:12:13.727]  And the nurse began to tell me, who's a very nice lady I've known for about three years, that basically a large percentage of her patients are coming in there saying their votes are being flipped.
[00:12:13.727 --> 00:12:20.450]  And she was even kind enough to start reaching out to some of them, and we're going to work on having some of those folks on that it's happened to.
[00:12:20.450 --> 00:12:25.632]  A couple of them prominent people.
[00:12:25.632 --> 00:12:27.893]  I mean, this looks like this is epidemic.
[00:12:27.893 --> 00:12:31.935]  What do they do if Trump's really 15, 20, 30 points ahead, depending on the state?
[00:12:33.106 --> 00:12:35.188]  In a state like Texas, probably 25 points ahead.
[00:12:35.188 --> 00:12:37.490]  A state like Florida, 15, 20 points ahead.
[00:12:37.490 --> 00:12:38.791]  A lot of polls show.
[00:12:38.791 --> 00:12:43.394]  If you take out the oversampling, he's clearly 20 points ahead in Florida.
[00:12:43.394 --> 00:12:47.558]  You take out the oversampling in Ohio, he's 10 points ahead.
[00:12:47.558 --> 00:12:51.761]  Now you add 9, 10, 15 points, he's neck and neck.
[00:12:51.761 --> 00:12:52.782]  This is how they're doing it.
[00:12:52.782 --> 00:12:57.906]  And look, I know you know that, but the public is still not fully aware of this.
[00:12:57.906 --> 00:13:00.308]  Now I did notice this weekend we posted an article
[00:13:01.365 --> 00:13:07.791]  Dealing with the fact that in a whole bunch of big polls, so-called scientific polls, Donald Trump was now neck-and-neck with Hillary.
[00:13:07.791 --> 00:13:18.901]  And the commenters were flipping out, saying, Alex Jones, you need to point out that these are over-sampled polls, and this is creating the perception that he's not really ahead.
[00:13:18.901 --> 00:13:21.723]  How dare you do this?
[00:13:21.723 --> 00:13:25.046]  I don't ride herd over my writers and the folks that post articles.
[00:13:25.046 --> 00:13:25.807]  They do a great job.
[00:13:28.206 --> 00:13:38.050]  We are undoubtedly more than anybody out there, the main people exposing the fact, along with Drudge and a few others, that oversampling is the key to the whole scam.
[00:13:38.050 --> 00:13:39.530]  We've published the WikiLeak.
[00:13:39.530 --> 00:13:40.891]  We've covered it.
[00:13:40.891 --> 00:13:43.732]  Obviously, we're going to put snippets of mainstream news up.
[00:13:43.732 --> 00:13:47.413]  It's up to you to know the disinfo.
[00:13:47.413 --> 00:13:54.296]  And their argument is, well, other people that come on the site won't know that and will be deceived.
[00:13:56.383 --> 00:13:59.366]  That's what we're doing here is trying to expose the mainstream media.
[00:13:59.366 --> 00:14:06.254]  But if I try to decipher every lie they tell, it would be impossible.
[00:14:06.254 --> 00:14:07.575]  It just cannot be done.
[00:14:07.575 --> 00:14:11.419]  But it's kind of like comments I see like, you need to expose the Federal Reserve being private.
[00:14:11.419 --> 00:14:12.901]  Never talk about that.
[00:14:12.901 --> 00:14:15.383]  You need to expose 9-11 and the shadowy forces involved.
[00:14:16.272 --> 00:14:18.333]  All we've done is put that on the map.
[00:14:18.333 --> 00:14:20.154]  But I digress.
[00:14:20.154 --> 00:14:26.537]  I get people's frustration because we're dealing with a wall of corruption, a wall of lies.
[00:14:26.537 --> 00:14:39.824]  And when Roger Stone joins us, coming up at the bottom of this hour, I'm going to ask him front and center, not just about strategy to win, or not just what he expects to happen on Election Day, I want to get into the next shoe to drop.
[00:14:39.824 --> 00:14:42.626]  Because they claim they have
[00:14:44.631 --> 00:15:00.166]  Scores of hours of this biographer of Trump, and that they've sent nine interesting hours over to the news media in the last few months, and that they're waiting to release something they claim is critical of black people.
[00:15:00.166 --> 00:15:04.350]  Now we have Hillary Schiff saying she said the N-word and hates minorities and everybody else.
[00:15:05.325 --> 00:15:07.707]  We have all these other witnesses to it as well.
[00:15:07.707 --> 00:15:13.550]  We know their history in the Dixie Mafia, and connections to the KKK, and Robert Byrd.
[00:15:13.550 --> 00:15:26.319]  We know the whole background of doubling black unemployment and running all these scams, and the Clintons helping get payday loans into place to hurt poor people across the board.
[00:15:26.319 --> 00:15:31.902]  But clearly the last tape on Trump was edited, but he never made that point.
[00:15:31.902 --> 00:15:33.744]  You can hear the jump cuts in the audio.
[00:15:34.724 --> 00:15:37.465]  To make it sound like something that it wasn't.
[00:15:37.465 --> 00:15:40.886]  To make it sound a lot worse.
[00:15:40.886 --> 00:15:43.107]  Now, who knows if they really have this tape.
[00:15:43.107 --> 00:15:56.230]  I think they would have released this tape by now, with seven days out, if, if they really had it, or if it wasn't weak.
[00:15:56.230 --> 00:15:57.871]  They probably got something
[00:16:00.455 --> 00:16:06.900]  They probably edited something together, but we have the WikiLeaks calling black people dumb.
[00:16:06.900 --> 00:16:07.960]  Clinton.
[00:16:07.960 --> 00:16:14.865]  Calling Bernie Sanders supporters basement dwellers and baristas.
[00:16:14.865 --> 00:16:16.707]  By the way, nothing wrong with being a barista.
[00:16:16.707 --> 00:16:19.008]  That's one of the best paid jobs and service you can get.
[00:16:19.008 --> 00:16:23.732]  I know bartenders make $100,000 a year, but whatever!
[00:16:23.732 --> 00:16:26.274]  You're sitting here looking at this.
[00:16:26.274 --> 00:16:27.555]  We're down to the final stretch.
[00:16:27.555 --> 00:16:28.936]  What do you think the dirty tricks may be?
[00:16:30.219 --> 00:16:36.625]  And clearly, if they release some tape on election day or the day before, it's not meant to change the election.
[00:16:36.625 --> 00:16:39.887]  It's meant to put the whole thing into question, because they know Hillary's losing.
[00:16:39.887 --> 00:16:53.759]  And the false flag, the triggering event, will be the civil unrest they've primed and prepared in the last eight years, funding all these different racist and radical groups that are George Soros-controlled.
[00:16:54.753 --> 00:16:58.658]  So bottom line, we are in an incredibly critical time right now.
[00:16:58.658 --> 00:17:04.724]  A time for gut checks, a time for focus, and a time to understand.
[00:17:04.724 --> 00:17:10.591]  Hillary is a literal crime boss, as the former deputy director of the FBI has come out and said.
[00:17:10.591 --> 00:17:13.875]  She represents an international mafia combine.
[00:17:14.844 --> 00:17:25.910]  And a vote for her is a vote for a methodology and political system that operates out of making people poor and controlled by a central government that's above the law.
[00:17:25.910 --> 00:17:31.934]  So quite frankly, I'm not a lesser of two evils person, but it could come out with Donald Trump
[00:17:32.964 --> 00:17:44.828]  saying racist things and I would repudiate it, but I would move on and I'd say Hillary is the racist in her real action and in who she hires and what she does and what she stood for.
[00:17:44.828 --> 00:17:47.069]  She's anti-human, period.
[00:17:47.069 --> 00:18:00.453]  It's gotten to the point where she is so evil and such next-level bad that they could pull out, you know, some woman that claims Trump raped her or who knows what they'll make up or half-bake or twist.
[00:18:01.960 --> 00:18:12.126]  I'm going with Donald Trump because I know this is a referendum against world government, a referendum against tyranny, a referendum against crony capitalism and gangsterism.
[00:18:12.126 --> 00:18:13.407]  And here's the bottom line.
[00:18:13.407 --> 00:18:18.870]  Trump has done things that are irrevocably damaging to the global power structure.
[00:18:18.870 --> 00:18:25.634]  He has savaged them with incredible stamina, with incredible courage, with incredible truth.
[00:18:26.618 --> 00:18:38.810]  He has absolutely paved the way for the Americana system that was the greatest system the world has ever seen that will guaranteed make anybody who wants to work
[00:18:40.805 --> 00:18:44.487]  Even the wealthiest poor people compared to other parts of the world.
[00:18:44.487 --> 00:18:47.228]  And our middle class, the biggest the world has ever seen.
[00:18:47.228 --> 00:18:51.290]  It's a guarantee that we've been sold out by globalism.
[00:18:51.290 --> 00:18:54.512]  It's a guarantee we've been economically captured.
[00:18:54.512 --> 00:19:01.295]  It's a guarantee now they want to finish the job, dumb us down, make us poor, break up our families.
[00:19:01.295 --> 00:19:02.295]  UT has a 29 point
[00:19:03.496 --> 00:19:13.804]  program you have to go through to wear a Halloween costume and they're saying the police nationwide are going to be called to arrest you if someone thinks your costume is hurtful.
[00:19:13.804 --> 00:19:16.266]  This is an attempt at authoritarianism.
[00:19:16.266 --> 00:19:23.851]  It has to be repudiated and America has to come together and understand that this is make it or break it time.
[00:19:23.851 --> 00:19:24.792]  There it is.
[00:19:24.792 --> 00:19:29.916]  Check out the University of Texas Insane 27 point checklist on Halloween costumes.
[00:19:31.553 --> 00:19:34.095]  This is the culture of control.
[00:19:34.095 --> 00:19:38.198]  This is treating people like they're children and bullying them into submission.
[00:19:38.198 --> 00:19:44.782]  This is the control freak religion of fascist liberalism bullying us into submission.
[00:19:44.782 --> 00:19:46.063]  They know they're bullies.
[00:19:46.063 --> 00:19:47.404]  They know they're scum.
[00:19:47.404 --> 00:19:49.225]  They're horrible.
[00:19:49.225 --> 00:19:50.887]  Forget saying they're racist.
[00:19:50.887 --> 00:19:54.169]  They're anti-humans who admit they want to be rich.
[00:19:54.169 --> 00:19:55.770]  They want to make us poor.
[00:19:55.770 --> 00:19:58.372]  They hate seeing success that isn't theirs.
[00:19:58.372 --> 00:19:59.673]  They're the ultimate scumbags.
[00:20:00.655 --> 00:20:05.437]  In these uncertain times, it makes sense to have a sustainable backup method to cook food and boil water.
[00:20:05.437 --> 00:20:11.320]  If your current plan includes using a fuel-burning stove or cooking over an open fire, then there's a much better way.
[00:20:11.320 --> 00:20:17.844]  The Minuteman Rocket Stove is a biomass-burning cooking stove that only requires small quantities of sticks and twigs for fuel.
[00:20:17.844 --> 00:20:21.886]  The Minuteman Stove is easy to use, smokeless, portable, powerful, and sustainable.
[00:20:21.886 --> 00:20:28.129]  For the finest in survival cooking stoves and fire starters made right here in the USA, go to MinutemanStove.com.
[00:20:28.129 --> 00:20:29.890]  That's MinutemanStove.com.
[00:20:30.350 --> 00:20:32.992]  Do you ever wonder what happened?
[00:20:32.992 --> 00:20:34.313]  Change has come to America!
[00:20:34.313 --> 00:20:40.758]  When I was a boy, it was okay to be proud of the flag, heritage, and beef.
[00:20:40.758 --> 00:20:42.559]  What's for supper?
[00:20:42.559 --> 00:20:45.381]  Revelation, dawn of global government.
[00:20:45.381 --> 00:20:49.284]  Starring Alex Jones, Charlie Daniels, General Jerry Boykin.
[00:20:49.284 --> 00:20:51.126]  Theatrical screenings on demand.
[00:20:51.126 --> 00:20:52.687]  DVDs now available.
[00:20:52.687 --> 00:20:56.229]  Wanna shed some tears over the red, white, and blue?
[00:20:56.229 --> 00:20:57.951]  Revelation, the movie.
[00:20:57.951 --> 00:20:59.612]  Info, let's fix it.
[00:21:00.209 --> 00:21:01.610]  Hi, this is Ted Anderson.
[00:21:01.610 --> 00:21:06.314]  Investment Rarities, a 43-year-old company, has created the best silver offer ever.
[00:21:06.314 --> 00:21:07.014]  Get a U.S.
[00:21:07.014 --> 00:21:12.378]  Silver Eagle, Canadian Maple Leaf, Austrian Philharmonic, OPM Pure Bar, and Silver Round.
[00:21:12.378 --> 00:21:15.200]  Have all five for $99 postpaid.
[00:21:15.200 --> 00:21:16.001]  You heard me right.
[00:21:16.001 --> 00:21:18.182]  Five ounces of silver below cost.
[00:21:18.182 --> 00:21:19.483]  No credit card fees.
[00:21:19.483 --> 00:21:20.084]  Free shipping.
[00:21:20.464 --> 00:21:25.950]  Just $99 and you'll have a great start on what it takes to survive even the worst economic storm.
[00:21:25.950 --> 00:21:31.737]  Act now and receive Jim Cook's exclusive paper explaining how it's possible to make a fortune in silver today.
[00:21:31.737 --> 00:21:33.339]  Don't miss this opportunity.
[00:21:33.339 --> 00:21:33.619]  Call 800-328-1860.
[00:21:35.962 --> 00:21:39.766]  Read how the above-ground supply of silver has dropped below even gold.
[00:21:39.766 --> 00:21:41.308]  The secret is being suppressed.
[00:21:41.308 --> 00:21:43.530]  The price could explode at any time.
[00:21:43.530 --> 00:21:44.231]  Call today at 800-328-1860.
[00:21:44.231 --> 00:21:45.352]  Get 5 ounces of silver for only $99.
[00:21:45.352 --> 00:21:47.594]  Find them on the web at InvestmentRarities.com or call 800-328-1860.
[00:21:47.594 --> 00:21:48.615]  Call now before it's too late.
[00:21:48.615 --> 00:21:48.655]  800-328-1860.
[00:21:59.795 --> 00:22:00.775]  Reality check.
[00:22:00.775 --> 00:22:01.615]  Rampant hacking.
[00:22:01.615 --> 00:22:02.436]  Identity theft.
[00:22:02.436 --> 00:22:03.296]  Mass surveillance.
[00:22:03.296 --> 00:22:05.316]  Defending yourself today is not an option.
[00:22:05.316 --> 00:22:06.257]  It's a requirement.
[00:22:06.257 --> 00:22:09.497]  Introducing the ConcealShield Travel Pack from Defendershield.com.
[00:22:09.497 --> 00:22:15.759]  ConcealShield is cutting-edge wireless blocking technology that eliminates all signals including EMF, GPS, and RFID.
[00:22:15.759 --> 00:22:20.680]  Place cell phones, credit cards, IDs, and other trackable items into the ConcealShield and they become totally invisible.
[00:22:20.680 --> 00:22:23.021]  Get ConcealShield now at Defendershield.com.
[00:22:23.021 --> 00:22:24.921]  Use promo code CONCEAL for 10% off.
[00:22:24.921 --> 00:22:28.522]  Guard your privacy, secure your data, and protect your health with ConcealShield.
[00:22:29.406 --> 00:22:37.513]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[00:22:37.513 --> 00:22:43.758]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:22:43.758 --> 00:22:49.362]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:22:49.362 --> 00:22:54.326]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:22:54.326 --> 00:22:56.568]  Go to LibertyOnCall.org.
[00:22:56.568 --> 00:22:58.409]  That's LibertyOnCall.org.
[00:22:59.250 --> 00:23:04.051]  Will the government protect your family from Iran and North Korea's newest weapon, EMP?
[00:23:04.051 --> 00:23:05.931]  We buy guns to protect ourselves.
[00:23:05.931 --> 00:23:08.212]  Home, health, and car insurance for accidents.
[00:23:08.212 --> 00:23:09.912]  Maybe you also have food storage.
[00:23:09.912 --> 00:23:13.953]  But how would you keep your refrigerator running in a long-term EMP blackout?
[00:23:13.953 --> 00:23:22.255]  Using tested military designs, the Solark EMP-hardened solar generator protects and powers your critical appliances for years.
[00:23:22.475 --> 00:23:25.980]  Without burying items underground or wrapping them in aluminum foil.
[00:23:25.980 --> 00:23:31.427]  Unlike other preps, SOLARC is used every day to help offset your electric bill automatically.
[00:23:31.427 --> 00:23:36.374]  Visit PortableSolarLLC.com to learn how easily expandable the system is.
[00:23:36.374 --> 00:23:39.558]  SOLARC is the most affordable and powerful solution on the market.
[00:23:39.778 --> 00:23:44.661]  The whole system even fits in the back of a pickup or SUV and can install in less than an hour.
[00:23:44.661 --> 00:23:50.445]  See for yourself why Solark beats other off-grid systems at PortableSolarLLC.com.
[00:23:50.445 --> 00:23:51.846]  Don't wait for the government.
[00:23:51.846 --> 00:23:57.750]  Go to PortableSolarLLC.com to learn why Solark is energy insurance for your family.
[00:23:57.750 --> 00:24:07.397]  I can see for miles and miles and miles and
[00:24:16.200 --> 00:24:23.666]  Now coming up, we're going to cover a smorgasbord of important intel with Roger Stone as I run a lot of this past him.
[00:24:23.666 --> 00:24:37.136]  But Matt was making the point this morning, and it's a great one, one of the producers, that Uma Abedin, reportedly with his laptop, with 650,000 emails, that sounds like you're trying to collect things.
[00:24:40.469 --> 00:24:42.230]  In fact, it doesn't sound like it, it looks like it.
[00:24:42.230 --> 00:24:51.538]  And what if we said the number one issue with Hillary having a private server with classified information, what is the number one issue in that?
[00:24:51.538 --> 00:24:59.225]  It's called espionage and then it's called blackmail by private individuals, corporate actors, state actors.
[00:24:59.225 --> 00:25:04.810]  And Uma Abedin, her little confidant, hooked in with the Muslim Brotherhood, the Saudi Arabians, most
[00:25:06.050 --> 00:25:15.213]  Of the big brains out there have always fingered her or pointed her out or called her out as a Saudi operative.
[00:25:15.213 --> 00:25:17.614]  And someone who's done that is Roger Stone.
[00:25:17.614 --> 00:25:22.295]  So during the last break, Matt was bringing this up to me and I said, you know, you're right.
[00:25:22.295 --> 00:25:26.597]  And Stone says his sources point towards her being a serious operative.
[00:25:26.597 --> 00:25:31.339]  Her mother is the main author worldwide.
[00:25:31.339 --> 00:25:32.319]  She is the maven.
[00:25:33.314 --> 00:25:35.235]  She is the queen.
