[00:00:00.710 --> 00:00:03.715]  ...already is deeply concerned.
[00:02:22.867 --> 00:02:26.909]  It's Monday, November 7th, 2016.
[00:02:26.909 --> 00:02:29.590]  Less than 24 hours out.
[00:02:29.590 --> 00:02:33.332]  We have now reached the critical crossroads in history.
[00:02:33.332 --> 00:02:35.152]  The twilight of liberty.
[00:02:35.152 --> 00:02:37.913]  The long, dark night of tyranny.
[00:02:37.913 --> 00:02:39.954]  Or the rebirth of human freedom.
[00:02:39.954 --> 00:02:41.715]  Not just in the United States, but worldwide.
[00:02:44.065 --> 00:03:02.162]  Coming to you live from the Infowars.com news studios in Austin, Texas, and broadcasting worldwide, this is the 52-hour live, uninterrupted, global broadcast covering the 2016 elections.
[00:03:02.162 --> 00:03:05.485]  I was there and I saw what you did.
[00:03:05.485 --> 00:03:07.407]  So you can wipe that smile off your face.
[00:03:08.780 --> 00:03:10.441]  It's all been a big pack of lies.
[00:03:10.441 --> 00:03:12.542]  Yeah, that's the promo from yesterday.
[00:03:12.542 --> 00:03:16.465]  We're now here in the Space Time Continuum on November 8th, 2016.
[00:03:16.465 --> 00:03:18.927]  The big day.
[00:03:18.927 --> 00:03:20.368]  Two years in the making.
[00:03:20.368 --> 00:03:21.729]  Campaigns start earlier and earlier.
[00:03:21.729 --> 00:03:25.491]  It's kind of like Christmas ends and the build-up to the next Christmas begins.
[00:03:25.491 --> 00:03:26.532]  Well, we're here.
[00:03:26.532 --> 00:03:30.574]  They always say each election is the most important ever.
[00:03:30.574 --> 00:03:34.937]  This is undoubtedly the second or third most important.
[00:03:34.937 --> 00:03:35.518]  Maybe the first.
[00:03:36.806 --> 00:03:53.234]  But George Washington, the colonies defeating the British, George Washington leaving office after two terms and not becoming king as they wanted him to be, that was probably the greatest election because we survived infancy.
[00:03:53.234 --> 00:03:56.536]  But now the republic was very old and on its deathbed.
[00:03:56.536 --> 00:04:02.519]  But nations can rise again like the phoenix, rediscovering the spirit of liberty.
[00:04:02.519 --> 00:04:05.621]  We could have come from the ashes and we still have a chance.
[00:04:06.834 --> 00:04:11.817]  But I will tell you, scanning mainstream controlled press, they're putting the narrative out that Hillary's going to win.
[00:04:11.817 --> 00:04:14.038]  Now remember, they said he could never get the nomination.
[00:04:14.038 --> 00:04:17.140]  They said that he was going to step down.
[00:04:17.140 --> 00:04:18.921]  So they're not all powerful.
[00:04:18.921 --> 00:04:22.203]  But they're putting out the pre-narrative that Trump's going to lose.
[00:04:22.203 --> 00:04:23.424]  I look at the scientific data.
[00:04:23.424 --> 00:04:29.868]  It shows Trump winning big time, taking blue states, taking almost all the swing states.
[00:04:32.645 --> 00:04:34.086]  Roger Stone's plane is landing any minute.
[00:04:34.086 --> 00:04:35.626]  He's going to be with us, riding shotguns throughout the day.
[00:04:35.626 --> 00:04:37.927]  We have a huge broadcast here.
[00:04:37.927 --> 00:04:39.708]  This is a 52-hour transmission.
[00:04:39.708 --> 00:04:42.529]  We're now 24 hours into it.
[00:04:42.529 --> 00:04:46.190]  So we're already past the halfway point here, roughly.
[00:04:46.190 --> 00:04:50.632]  And we'll be here right through 3 o'clock tomorrow and the Nightly News tomorrow as well.
[00:04:50.632 --> 00:04:52.533]  Paul Joseph Watson, I want to put a bookend on this.
[00:04:52.533 --> 00:04:55.434]  You've just been broadcasting for several hours and a great job.
[00:04:55.434 --> 00:04:57.615]  What is the essence of what you're seeing right now?
[00:04:59.326 --> 00:05:02.689]  Well, I mean, a lot of the early anecdotal indications are good, Alex.
[00:05:02.689 --> 00:05:07.732]  You've got, you know, Fox News going out to a diner in Florida saying, who are you voting for?
[00:05:07.732 --> 00:05:09.514]  It's 20 to 1 Trump.
[00:05:09.514 --> 00:05:14.878]  You've got people lining up the block, you know, around the block before 7 a.m.
[00:05:14.878 --> 00:05:15.979]  in droves.
[00:05:15.979 --> 00:05:20.422]  You've got CNN reporters saying in Virginia that turnouts are bigger than 2008, not 2012, 2008.
[00:05:24.125 --> 00:05:29.691]  And again, you've got a lot of people wearing red, a lot of reports out of Michigan of people wearing red at the polls.
[00:05:29.691 --> 00:05:31.753]  So again, those indications are good.
[00:05:31.753 --> 00:05:38.321]  The problem is, in places like Philadelphia now, breaking, you've got obvious intimidation and vote fraud.
[00:05:38.321 --> 00:05:45.348]  And this is what, I'm going to put an article out on this as soon as I get off air, you've got Trump poll watchers being thrown out of
[00:05:46.409 --> 00:05:48.650]  Polling places in Philadelphia.
[00:05:48.650 --> 00:05:50.811]  You've got votes.
[00:05:50.811 --> 00:05:53.492]  This is just breaking right now.
[00:05:53.492 --> 00:05:58.775]  Trump poll watchers having certificates physically grabbed from them in Philadelphia.
[00:05:58.775 --> 00:06:03.357]  Machines having calibration issues not registering votes for Trump.
[00:06:03.357 --> 00:06:04.318]  We've seen concerns about that.
[00:06:04.318 --> 00:06:05.558]  And we knew it would be Philadelphia.
[00:06:05.558 --> 00:06:09.080]  All the experts have chosen that as the real site of fraud this year.
[00:06:10.811 --> 00:06:11.292]  Exactly.
[00:06:11.292 --> 00:06:13.273]  So people being harassed.
[00:06:13.273 --> 00:06:16.236]  We've got a report which I posted about in Brooklyn.
[00:06:16.236 --> 00:06:20.500]  You've got a guy wearing a Black Lives Matter shirt intimidating Trump voters.
[00:06:20.500 --> 00:06:25.064]  So this is already happening in the places where people are being left alone.
[00:06:25.064 --> 00:06:27.086]  It's the indication is quite good.
[00:06:27.086 --> 00:06:27.427]  But again.
[00:06:27.967 --> 00:06:30.148]  These people, as I said, they don't play by the rules.
[00:06:30.148 --> 00:06:32.130]  We've seen by the O'Keefe videos.
[00:06:32.130 --> 00:06:32.970]  They're underhanded.
[00:06:32.970 --> 00:06:33.691]  They're dirty.
[00:06:33.691 --> 00:06:35.152]  They're gonna pull these kind of tricks.
[00:06:35.152 --> 00:06:35.732]  They admit fraud.
[00:06:35.732 --> 00:06:37.553]  They admit they're trying to steal the election.
[00:06:37.553 --> 00:06:39.134]  They stole it from Bernie Sanders.
[00:06:39.134 --> 00:06:40.255]  You're absolutely right.
[00:06:40.255 --> 00:06:42.396]  Paul Watson at InfoWars.com.
[00:06:42.396 --> 00:06:45.679]  We hungrily await the latest intel from your dispatches, my friend.
[00:06:45.679 --> 00:06:47.040]  Please keep it up.
[00:06:47.040 --> 00:06:47.320]  Okay.
[00:06:47.320 --> 00:06:48.300]  Thanks, Alex.
[00:06:48.300 --> 00:06:49.661]  I'm Alex Jones.
[00:06:49.661 --> 00:06:50.262]  Get ready.
[00:06:50.262 --> 00:06:51.983]  This is the Info War.
[00:06:51.983 --> 00:06:54.665]  We cannot lose as long as we engage the enemy.
[00:06:54.665 --> 00:06:55.825]  They're corrupt.
[00:06:55.825 --> 00:06:56.606]  We have the high ground.
[00:06:59.585 --> 00:07:05.547]  This is Joe Biggs with InfoWars.com, and this is one of the most amazing times to be alive right now in history.
[00:07:05.547 --> 00:07:10.349]  Something your grandchildren will look back on and go, Grandpa, Grandma, you were a part of that?
[00:07:10.349 --> 00:07:12.110]  That is mind-blowing.
[00:07:12.110 --> 00:07:13.050]  Think about this.
[00:07:13.050 --> 00:07:18.572]  In 24 hours, we will know who the next President of the United States is.
[00:07:18.572 --> 00:07:20.773]  This is so crazy.
[00:07:20.773 --> 00:07:22.094]  This is down to the wire.
[00:07:22.094 --> 00:07:25.155]  Let's look at some of these headlines that are happening right now on
[00:07:25.455 --> 00:07:25.775]  We're good.
[00:07:43.993 --> 00:07:47.658]  WikiLeaks server under hack attack as DMC emails released.
[00:07:47.658 --> 00:07:48.519]  Think about this.
[00:07:48.519 --> 00:07:49.501]  This is our Brexit.
[00:07:49.501 --> 00:07:51.303]  They're telling us we can't win.
[00:07:51.303 --> 00:07:53.887]  George Washington Brexited before it was cool.
[00:07:53.887 --> 00:07:57.552]  This has been Joe Biggs with InfoWars.com and we will prevail.
[00:07:59.428 --> 00:08:02.651]  Do you ever wonder what happened to America?
[00:08:02.651 --> 00:08:06.736]  Because of what we did on this day, change has come to America.
[00:08:06.736 --> 00:08:09.398]  Something's wrong, and we all know it.
[00:08:09.398 --> 00:08:12.241]  I'm Charlie Daniels, and I'm here to tell you about it.
[00:08:12.241 --> 00:08:17.426]  The nation has been hijacked by international forces, bent on global governance.
[00:08:17.967 --> 00:08:24.176]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[00:08:24.176 --> 00:08:30.464]  God was in school, morality had a future, and beef was for supper.
[00:08:30.464 --> 00:08:33.028]  Revelation, dawn of global government.
[00:08:33.388 --> 00:08:34.569]  We're the solution!
[00:08:34.569 --> 00:08:35.509]  Americans!
[00:08:35.509 --> 00:08:37.070]  Ain't nothing more to it than that!
[00:08:37.070 --> 00:08:42.474]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[00:08:42.474 --> 00:08:44.095]  Theatrical screenings on demand.
[00:08:44.095 --> 00:08:45.696]  DVDs now available.
[00:08:45.696 --> 00:08:49.618]  Wanna shed some tears over the red, white, and blue?
[00:08:49.618 --> 00:08:52.440]  Revelation, the movie, dot info.
[00:08:52.440 --> 00:08:55.222]  Americans need to see this film.
[00:08:55.222 --> 00:08:57.883]  Revelation, the movie, dot info.
[00:08:57.883 --> 00:08:58.764]  Let's fix it.
[00:08:59.244 --> 00:09:05.926]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:09:05.926 --> 00:09:08.987]  Dr. Group, you took years for you to develop DNA Force for us.
[00:09:08.987 --> 00:09:14.569]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:09:14.569 --> 00:09:20.691]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:09:20.691 --> 00:09:23.972]  Telomeres are the little cups on the end of our chromosomes.
[00:09:23.972 --> 00:09:25.432]  And when it runs out, you start dying.
[00:09:25.632 --> 00:09:29.954]  We chose the PQQ because it has over 175 different clinical trials.
[00:09:29.954 --> 00:09:32.895]  It's one of the most effective substances in the world.
[00:09:32.895 --> 00:09:34.556]  It works like an antioxidant.
[00:09:34.556 --> 00:09:37.997]  It works to repair nerve growth factor.
[00:09:37.997 --> 00:09:40.598]  So this is a formula to deliver the maximum amount.
[00:09:40.598 --> 00:09:41.659]  It's in powder form.
[00:09:41.659 --> 00:09:44.540]  We have so many five-star reviews.
[00:09:44.540 --> 00:09:45.240]  I take this.
[00:09:45.240 --> 00:09:47.061]  This is the product that I take.
[00:09:47.061 --> 00:09:49.022]  Infowarslife.com and the profit we make.
[00:09:49.862 --> 00:09:50.643]  We fight the Globals.
[00:09:50.643 --> 00:09:51.804]  We fight the New World Order.
[00:09:51.804 --> 00:09:55.967]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:10:03.055 --> 00:10:06.418]  It's time for new believable people.
[00:10:06.418 --> 00:10:08.300]  And we must do it.
[00:10:08.300 --> 00:10:13.305]  If we don't control insiders, this will be over and over.
[00:10:13.305 --> 00:10:16.969]  To lead by an A. Pick that love.
[00:10:16.969 --> 00:10:18.370]  Find common ground.
[00:10:18.370 --> 00:10:21.173]  To halt the spread of lies.
[00:10:21.173 --> 00:10:22.294]  And we must do it.
[00:10:22.294 --> 00:10:24.356]  Pick that love.
[00:10:24.356 --> 00:10:25.757]  Find common ground.
[00:10:25.757 --> 00:10:27.599]  To halt the spread of lies.
[00:10:36.647 --> 00:10:37.748]  Much better.
[00:10:37.748 --> 00:10:38.888]  Believable.
[00:10:38.888 --> 00:10:39.629]  People.
[00:10:39.629 --> 00:10:40.949]  And we must do it.
[00:10:40.949 --> 00:10:42.350]  Non-fatal.
[00:10:42.350 --> 00:10:43.531]  Communication.
[00:10:43.531 --> 00:10:45.192]  Very much higher.
[00:10:45.192 --> 00:10:46.512]  America first.
[00:10:46.512 --> 00:10:48.433]  To lead, fight, and aid.
[00:10:48.433 --> 00:10:50.655]  Insiders fighting for insiders.
[00:10:50.655 --> 00:10:52.135]  Time to stop.
[00:10:52.135 --> 00:10:54.397]  Insiders fighting for insiders.
[00:10:54.397 --> 00:10:55.837]  More of.
[00:10:55.837 --> 00:10:58.059]  Insiders fighting for insiders.
[00:10:58.059 --> 00:10:59.520]  Time to stop.
[00:10:59.520 --> 00:11:01.441]  Insiders fighting for insiders.
[00:11:10.161 --> 00:11:14.904]  That's Pogo, the online music artist with the voice of Donald Trump.
[00:11:14.904 --> 00:11:18.827]  And if you're watching the video, Steven Crowder added something to it.
[00:11:18.827 --> 00:11:24.871]  And I thought we'd open the show, the broadcast, with something, you know, funny and a little bit happy.
[00:11:24.871 --> 00:11:29.894]  Because this is a very, very dark time for this country, but it's also a very, very positive time.
[00:11:29.894 --> 00:11:31.235]  It's the best of times, worst of times.
[00:11:31.235 --> 00:11:33.016]  Things are always paradoxical in this universe.
[00:11:34.326 --> 00:11:39.449]  And a lot of horrible things have happened, a lot of horrible things are going on, a lot of horrible things are coming to light.
[00:11:39.449 --> 00:11:47.453]  In fact, I'm never pleased when a WikiLeak comes out and it proves something horrible that I had been talking about.
[00:11:47.453 --> 00:11:51.435]  Because 95% of what I talk about, I'm sure of, and it's already public.
[00:11:51.435 --> 00:11:58.478]  But there's that 5% where I really stare into the abyss and go, okay, I think this is the next step of what they're doing.
[00:11:58.478 --> 00:11:59.879]  And then word for word,
[00:12:02.125 --> 00:12:07.708]  What I was thinking they were up to is what they're doing, and then I realized, oh my God.
[00:12:07.708 --> 00:12:14.611]  I'm inside these people's heads, or they're inside mine, and I can see the next steps, and then every time I'm right, I'm right.
[00:12:14.611 --> 00:12:17.352]  I'm like, oh no, no, no.
[00:12:17.352 --> 00:12:21.174]  Then I pull back and I, wait a minute.
[00:12:21.174 --> 00:12:22.775]  I'm not even that smart.
[00:12:22.775 --> 00:12:23.915]  This is history.
[00:12:23.915 --> 00:12:25.656]  Humans do the same stuff over and over again.
[00:12:26.889 --> 00:12:30.790]  So I'm just rediscovering what our ancestors have been through over and over again.
[00:12:30.790 --> 00:12:41.995]  The problem is, there's bioweapons, there's chemical weapons, there's nuclear weapons, there's seven and a half billion people, and let's be honest, including myself, very lazy and very stupid.
[00:12:41.995 --> 00:12:43.355]  I'm lazy.
[00:12:43.355 --> 00:12:45.716]  I'm stupid compared to, say, my dad's dad.
[00:12:47.130 --> 00:12:48.470]  Who was a man?
[00:12:48.470 --> 00:13:06.595]  He could skin a buck, run a trot line, run a combine, fix a combine, do electricity, kick somebody's ass if he needed to, and be charming, and square dance, and play a really good round of golf, and be a patriot, and a World War II vet, and it went on and on.
[00:13:06.595 --> 00:13:09.936]  Today, electricity ain't working, I'm like, call the handyman.
[00:13:12.520 --> 00:13:13.621]  And I don't know how to fix it.
[00:13:13.621 --> 00:13:19.068]  So when I sit here and say we're soft, we're dumb, hey, I'm not looking at you like you're down below me.
[00:13:19.068 --> 00:13:25.836]  And I realize the way to defeat this is farming, is ranching, is metallurgy, is electronics, is high-tech, low-tech.
[00:13:25.836 --> 00:13:28.500]  It's all just becoming human and producing things ourselves.
[00:13:30.998 --> 00:13:32.299]  I mean, you talk to men or women.
[00:13:32.299 --> 00:13:34.200]  Humans always did this in every culture.
[00:13:34.200 --> 00:13:44.485]  Sewing is rhythmic, and you zen out, and has been proven to lower blood pressure, and most of the oldest people in the world, it's not just diet.
[00:13:44.485 --> 00:13:46.126]  You find these women sew.
[00:13:46.126 --> 00:13:48.508]  You're like, oh wow, the answer is sewing.
[00:13:48.508 --> 00:13:48.828]  I'm sick.
[00:13:48.828 --> 00:13:50.749]  This is what our ancestors did.
[00:13:50.749 --> 00:13:51.589]  It's what we've done.
[00:13:51.589 --> 00:13:54.131]  It's ingrained in us to even make our own clothes.
[00:13:54.131 --> 00:13:55.511]  You're like, that's stupid.
[00:13:55.511 --> 00:13:56.472]  I go to the mall.
[00:13:56.472 --> 00:13:59.133]  But isn't it kind of cool to make your own clothes?
[00:13:59.133 --> 00:13:59.814]  See what I'm getting at?
[00:14:00.933 --> 00:14:10.699]  We're these creatures that make our houses and make our clothes and make art and literature and music and make love and make war.
[00:14:10.699 --> 00:14:12.841]  Instead, we just sit here and are programmed.
[00:14:12.841 --> 00:14:14.041]  And who are we programmed by?
[00:14:14.041 --> 00:14:17.323]  DrudgeReport.com has the article up there who's programming us.
[00:14:17.323 --> 00:14:18.064]  It's Lady Gaga!
[00:14:19.440 --> 00:14:24.081]  In a Nazi uniform at a Hillary rally, and people are saying, what is this?
[00:14:24.081 --> 00:14:25.781]  This is horrible, this will blow up in Hillary's face.
[00:14:25.781 --> 00:14:26.681]  No it won't.
[00:14:26.681 --> 00:14:38.184]  This is the classical projection of power and fascism and is the externalization of the method and was 100% guaranteed to have been authorized at the highest level of her campaign.
[00:14:38.184 --> 00:14:41.505]  Hillary was there.
[00:14:41.505 --> 00:14:48.106]  Because it's a woman with a fascist hairstyle in a Hugo Boss Nazi uniform.
[00:14:48.106 --> 00:14:48.406]  It's a
[00:14:50.034 --> 00:14:51.195]  Woman!
[00:14:51.195 --> 00:14:52.136]  In charge!
[00:14:52.136 --> 00:14:54.057]  The dictator!
[00:14:54.057 --> 00:14:58.200]  They're telling you, we're going to steal this election.
[00:14:58.200 --> 00:15:03.644]  And the fascistic iconography is everywhere.
[00:15:03.644 --> 00:15:14.172]  And Hillary is saying, I'm coming for your guns, I'm coming for your free speech, I'm coming for everything.
[00:15:14.172 --> 00:15:17.795]  Now they show a photo of Michael Jackson wearing a more Spanish style
[00:15:20.177 --> 00:15:25.483]  Imperial uniform from 300 years ago and go, oh, but it's okay, Michael Jackson wore a Nazi uniform.
[00:15:25.483 --> 00:15:30.388]  No, that's a Spanish or Portuguese uniform from 300 years ago.
[00:15:30.388 --> 00:15:31.389]  I know, look it up.
[00:15:31.389 --> 00:15:33.271]  That's what it is.
[00:15:33.271 --> 00:15:34.392]  If it was blue, it'd be French.
[00:15:34.392 --> 00:15:35.053]  If it was red, it'd be...
[00:15:37.363 --> 00:15:37.703]  British.
[00:15:37.703 --> 00:15:39.644]  I mean, it's just the ignorance of the public.
[00:15:39.644 --> 00:15:53.992]  Lady Gaga is wearing a proto-fascist Hugo Boss style female fascista Nazi uniform on TV with Hillary Clinton.
[00:15:53.992 --> 00:15:57.414]  That's how dumb they think you are!
[00:16:00.233 --> 00:16:01.654]  Because people don't have culture.
[00:16:01.654 --> 00:16:02.455]  They don't have history.
[00:16:02.455 --> 00:16:04.117]  They don't know where stuff comes from.
[00:16:04.117 --> 00:16:10.744]  They don't know I'm wearing a 150-year-old design of a British classic sports jacket.
[00:16:10.744 --> 00:16:14.848]  I'm not even into all that stuff, but I have to know what the iconography is, because it's all a message.
[00:16:20.620 --> 00:16:36.861]  All of this, when they, when they wear these, when Hillary wears literal imperial class, and I say that because that's what they are, they're literally class, communist outfits that the high-level inner party central committee women of China wear,
[00:16:38.041 --> 00:16:43.563]  At ruling party events, man, she's saying, I am China's bitch.
[00:16:43.563 --> 00:16:46.284]  I belong to China and you belong to China.
[00:16:46.284 --> 00:16:50.326]  That's why China's so arrogant going, we're taking over all six Hollywood studios.
[00:16:50.326 --> 00:16:51.547]  We're taking over TV.
[00:16:51.547 --> 00:16:52.827]  We're taking over radio.
[00:16:52.827 --> 00:16:54.528]  We're taking over Facebook.
[00:16:54.528 --> 00:16:56.649]  We're meeting with Zuckerberg.
[00:16:56.649 --> 00:17:04.532]  And oh, two days later, Congress complained and China said, we own your debt and laughed at Congress and said, we own you, bitch.
[00:17:06.889 --> 00:17:11.150]  You see, it's the criminal energy of letting us know they own us.
[00:17:11.150 --> 00:17:15.591]  She's wearing Mao Zedong outfits from China.
[00:17:15.591 --> 00:17:17.031]  Silk outfits.
[00:17:17.031 --> 00:17:17.411]  1960s.
[00:17:17.411 --> 00:17:19.392]  Cicero.
[00:17:19.392 --> 00:17:23.593]  Gaga's over here in Nazi uniforms.
[00:17:23.593 --> 00:17:27.834]  This is all about throwing it in our face.
[00:17:27.834 --> 00:17:34.015]  And notice Hillary wore a red, more fascist style slash Chinese outfit, which is the modern style in China.
[00:17:34.969 --> 00:17:37.952]  And it's the Communist Chinese Red next to the fascists.
[00:17:37.952 --> 00:17:39.333]  They are telling you.
[00:17:39.333 --> 00:17:39.934]  And look at Bill Clinton.
[00:17:39.934 --> 00:17:41.435]  Looks like he's on another planet.
[00:17:41.435 --> 00:17:43.717]  That idiot Bon Jovi's on stage with him.
[00:17:43.717 --> 00:17:47.821]  You know, Hillary has to get all these old has-beens to have her rallies.
[00:17:47.821 --> 00:17:48.742]  And then Bruce Springsteen.
[00:17:50.851 --> 00:17:56.652]  I mean, Bruce Springsteen is the most empty, just kind of elevator music rock.
[00:17:56.652 --> 00:17:58.073]  I mean, I hear it, it sounds good.
[00:17:58.073 --> 00:18:02.033]  I wouldn't buy an album from Bruce Springsteen, but it's listenable.
[00:18:02.033 --> 00:18:03.714]  But I mean, it's just like, oh really?
[00:18:03.714 --> 00:18:04.734]  Now I hate you.
[00:18:04.734 --> 00:18:06.014]  Forever.
[00:18:06.014 --> 00:18:07.895]  If I hear you on the radio, it's going off.
[00:18:07.895 --> 00:18:14.116]  I mean, Matt Damon, can't I just go see your movies without you telling me to turn my gun in when you've got a bunch of bodyguards?
[00:18:14.116 --> 00:18:15.676]  You're such hypocrites.
[00:18:15.676 --> 00:18:17.577]  I don't want to hate you, but I have to.
[00:18:17.577 --> 00:18:19.297]  Because you want to own me and my family.
[00:18:24.571 --> 00:18:26.813]  Some of the images we're showing are pretty powerful.
[00:18:26.813 --> 00:18:30.517]  She literally wears stuff that doesn't even have buttons on it.
[00:18:30.517 --> 00:18:36.962]  Just type in Hillary Clinton wearing Chinese Communist garb, or Hillary Clinton wearing Maoist era garb, and it's unbelievable.
[00:18:36.962 --> 00:18:37.543]  Yeah, there you go.
[00:18:37.543 --> 00:18:43.048]  That is silk from China, absolute inner party member uniform.
[00:18:44.718 --> 00:18:45.739]  Boom!
[00:18:45.739 --> 00:18:50.542]  I mean, it's Kim Jong... The only place that's still in style is in North Korea with Kim Jong-un.
[00:18:50.542 --> 00:18:56.867]  The women in North Korea is the only place they're still wearing 60s style communist outfits.
[00:18:56.867 --> 00:18:59.368]  And again, in Hollywood shows Dr. Evil dress like it.
[00:18:59.368 --> 00:19:00.569]  Kim Jong-un dresses like it.
[00:19:00.569 --> 00:19:01.410]  So does she.
[00:19:01.410 --> 00:19:03.511]  This is who we're dealing with.
[00:19:03.511 --> 00:19:07.394]  They're wearing communist and fascist regalia.
[00:19:07.394 --> 00:19:11.097]  Alright, let me give you the big news here.
[00:19:13.473 --> 00:19:21.598]  Oh yeah, they've got articles out where Trump's leading 32 to 25 in New Hampshire in the first polls that are coming out.
[00:19:21.598 --> 00:19:28.662]  There are lines around the block, when people are being canvassed, they're mainly standing there for Trump.
[00:19:28.662 --> 00:19:31.624]  But see, nobody needs to show up for Hillary.
[00:19:31.624 --> 00:19:36.247]  Not even buses of illegals and dead people, which they're catching all over the country, people voting in the name of dead people.
[00:19:36.247 --> 00:19:39.369]  The arrests are being made from Colorado to Florida.
[00:19:39.369 --> 00:19:41.290]  So that stuff that didn't exist, of course does exist.
[00:19:43.715 --> 00:19:48.496]  What they've got is the fraction magic that's on machines, and George Soros is paramount involved.
[00:19:48.496 --> 00:19:53.418]  Bev Harris is on tomorrow, in the aftermath of this, to fractionally go in and carve things up.
[00:19:53.418 --> 00:19:54.158]  But here's the deal.
[00:19:54.158 --> 00:19:55.859]  Trump's going to sue.
[00:19:55.859 --> 00:19:57.459]  He's going to get into the machines.
[00:19:57.459 --> 00:20:04.001]  We've already got lawsuits going that are going to make him save the screenshot they do of the real ballot.
[00:20:04.001 --> 00:20:06.222]  And Trump's going to fight.
[00:20:06.222 --> 00:20:10.743]  And it's the animating contest of the fight is how we win.
[00:20:10.743 --> 00:20:13.064]  We just give up and roll over.
[00:20:14.380 --> 00:20:15.660]  They win!
[00:20:15.660 --> 00:20:17.401]  But we are in the animating contest of liberty.
[00:20:17.401 --> 00:20:18.681]  Think of where we were two years ago.
[00:20:18.681 --> 00:20:20.301]  I'm going to skip this break.
[00:20:20.301 --> 00:20:20.701]  Look at that.
[00:20:20.701 --> 00:20:24.462]  Leaked documents reveal expansive Soros funding to manipulate federal elections.
[00:20:24.462 --> 00:20:25.803]  He doesn't hide it.
[00:20:25.803 --> 00:20:27.183]  But yes, it's in new documents.
[00:20:27.183 --> 00:20:29.464]  That's up on DrudgeReport.com and InfoWars.com.
[00:20:29.464 --> 00:20:35.165]  Then I have a video from a month ago where I said just that and showed the previous document.
[00:20:35.165 --> 00:20:38.546]  So my video with the article go together nicely.
[00:20:38.546 --> 00:20:43.007]  From PJ Media.
[00:20:43.007 --> 00:20:43.807]  So here's what I'm getting at.
[00:20:46.041 --> 00:20:50.062]  How do you know when Coke's coming out or Pepsi's coming out with a new flavor?
[00:20:50.062 --> 00:21:01.826]  Or, here, how do you know, let's say you live in Austin, Texas or Manhattan, New York, how do you know when Taylor Swift's coming to town?
[00:21:01.826 --> 00:21:02.246]  How do you know?
[00:21:02.246 --> 00:21:06.067]  Because there'll be billboards for Taylor Swift a month before.
[00:21:06.067 --> 00:21:08.748]  You'll listen to the radio, you'll hear Taylor Swift's gonna play at the end, you know.
[00:21:10.495 --> 00:21:13.800]  Grand Prix M1 racetrack outside Austin.
[00:21:13.800 --> 00:21:15.583]  You almost get sick of it, you hear it so much.
[00:21:15.583 --> 00:21:19.650]  Now, if you're unconscious, you just really don't think, hey, she's coming to town.
[00:21:19.650 --> 00:21:20.852]  You just think, hey, I might want to go see that.
[00:21:21.869 --> 00:21:22.790]  But that's what I'm getting at.
