[00:00.000 --> 00:11.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the info war.
[08:12.000 --> 08:15.000]  So I'm going to cover that at the start of the next segment.
[08:15.000 --> 08:22.000]  Then it's a very sad article, but you know, I show you vaccine inserts and I show you all the statistics
[08:22.000 --> 08:29.000]  and the millions that have been paid out, secret funds out of the vaccine damage system set up in 1984
[08:29.000 --> 08:33.000]  that is classified but part of its public. People won't care about that.
[08:33.000 --> 08:38.000]  As Stalin said, one man dying is a tragedy, a million dying is a statistic.
[08:38.000 --> 08:43.000]  Well, former UFC fighter Morn's son who died for vaccine injections.
[08:43.000 --> 08:46.000]  And it's always the same story.
[08:46.000 --> 08:51.000]  And it's all part of the chemical lobotomy we give our boys.
[08:51.000 --> 08:58.000]  But when they have a bad reaction, the side effect is death as in grim reaper.
[08:58.000 --> 09:00.000]  And again, there are two people in this building.
[09:00.000 --> 09:03.000]  I know whose children died from vaccines and they admitted it.
[09:03.000 --> 09:06.000]  And just every day I see someone else's child that dies.
[09:06.000 --> 09:12.000]  And, you know, they just they're running around happy. Get the third round and it's bye bye, Bluebird.
[09:12.000 --> 09:15.000]  So we're going to be looking at that.
[09:15.000 --> 09:21.000]  Then we're going to also continue to get into the war on men.
[09:21.000 --> 09:27.000]  We'll get to the latest on what's happening with China, with the government shut down a bunch of Trump tweets.
[09:27.000 --> 09:33.000]  And we have a whole bunch of guests that are listed up at info wars.com in the show area.
[09:33.000 --> 09:40.000]  But we have Raheem Kasama coming on Dan Lyman and Paul Joseph Watson.
[09:40.000 --> 09:47.000]  And also want to try to open the phones up some today to get your take on the shutdown and Trump and the economy and where all this is going.
[09:47.000 --> 09:52.000]  And another big caravan is on its way.
[09:52.000 --> 09:54.000]  Now, you know, I know how to translate their lives.
[09:54.000 --> 09:57.000]  This is hundreds of Hondurans.
[09:57.000 --> 10:04.000]  That's what ABC News, News Trust, AP, hundreds of Hondurans set off towards the United States and New Caravan.
[10:04.000 --> 10:08.000]  And so when you go look up the actual photos in those countries, it's thousands.
[10:08.000 --> 10:14.000]  Just like they said that the tens of thousands that ripped down the gates in Mexico and all the rest of it were were hundreds.
[10:14.000 --> 10:22.000]  And they'll find a little corner group of a couple of women, always a close shot of a woman with a child and say, oh, this is all there is.
[10:22.000 --> 10:24.000]  This is the non-existent threat.
[10:24.000 --> 10:33.000]  You pull back the camera and it's 10,000, 20,000, 30,000, 40,000, 50,000, all UN funded.
[10:33.000 --> 10:35.000]  So that's how this works.
[10:35.000 --> 10:38.000]  And that's how the globalists get this job done.
[10:38.000 --> 10:42.000]  And they know there's free welfare, everything else up here.
[10:42.000 --> 10:44.000]  And so they're on the way, but they're smart.
[10:44.000 --> 10:47.000]  They get the paycheck on average and get the welfare.
[10:47.000 --> 10:53.000]  So that's the trick that the illegal aliens engage in.
[10:53.000 --> 11:00.000]  And there's just endless, endless hours of armed men climbing into the United States, smuggling drugs.
[11:00.000 --> 11:07.000]  And we have video of the left bringing them food and water to the drug cartels.
[11:07.000 --> 11:12.000]  And a lot of the leftists are now being hired to be drug mules.
[11:12.000 --> 11:16.000]  Yes, it's so wonderful.
[11:16.000 --> 11:19.000]  All because they went and saw a machete funded by the federal government.
[11:19.000 --> 11:26.000]  That turned out where Don Johnson's wearing a cowboy hat, shooting Hispanic pregnant women in the stomach.
[11:26.000 --> 11:32.000]  And then like little birds imprinting the leftist watch all that and believe it.
[11:32.000 --> 11:36.000]  And then they go to the border and help smuggle people in.
[11:36.000 --> 11:38.000]  And the coyotes say, thank you.
[11:38.000 --> 11:42.000]  We only rape 80% of the women that come through here and kill people and cut their heads off and have drugs.
[11:42.000 --> 11:45.000]  But you're such a dumbass gringo.
[11:45.000 --> 11:49.000]  How about you help carry this package to my mama?
[11:49.000 --> 11:55.000]  And a lot of them end up being drug mules and they're so stupid they don't even know they're carrying drugs.
[11:55.000 --> 12:03.000]  Yes, ladies and gentlemen, leftist virtue signaling to coyotes who per capita are the most murderous,
[12:03.000 --> 12:09.000]  rape driven group of criminals the planet has ever seen since the telethon.
[12:09.000 --> 12:14.000]  But Don Johnson shot a pregnant Mexican in the stomach in a fantasy world.
[12:14.000 --> 12:17.000]  But don't worry, machete killed him, cut their heads off.
[12:17.000 --> 12:20.000]  Machete doesn't go help Mexican women and Honduran women being raped.
[12:20.000 --> 12:24.000]  He kills gringos.
[12:24.000 --> 12:29.000]  And Robert Rodriguez is a, he fits the part of flaming anti-white, super racist.
[12:29.000 --> 12:36.000]  Some people that know him just has cussing fits at what he was raised by white people that took terror and funded him and all that.
[12:36.000 --> 12:38.000]  And dates white women.
[12:38.000 --> 12:42.000]  But just a, but see, Nazi ideology is fun.
[12:42.000 --> 12:46.000]  But see, Hispanics can be Nazi, whites can be Nazi, blacks can be Nazi.
[12:46.000 --> 12:50.000]  And you go around most of the world, if you don't look like them, they're going to kill you.
[12:50.000 --> 12:54.000]  If you're black and you show up, say, in Tajikistan, you're dead.
[12:54.000 --> 12:58.000]  If you're a white woman, you show up in Tajikistan or a Christian, your, your head's getting chopped off,
[12:58.000 --> 13:02.000]  but not before you get gang raped.
[13:02.000 --> 13:11.000]  And then if you're in Tajikistan and you show up and say, Nigeria and you're a Muslim, they're going to kill you.
[13:11.000 --> 13:17.000]  K.I. double hockey sticks dead.
[13:17.000 --> 13:22.000]  You go down to somewhere in Mexico, start waving American flag around at a soccer game and booing their team.
[13:22.000 --> 13:28.000]  You're going to get knifed 100% or you get your head bashed in.
[13:28.000 --> 13:32.000]  And the police are going to laugh at you when you're getting put in the ambulance if you're still alive.
[13:32.000 --> 13:40.000]  But that's, but oh here, you have, Steve King says we should be proud of Western culture and not have it under attack.
[13:40.000 --> 13:44.000]  And that illegals are double the number of crime rate.
[13:44.000 --> 13:49.000]  That's the white supremacism.
[13:49.000 --> 13:51.000]  It's coming up next segment.
[13:51.000 --> 13:54.000]  I'm going to stop right there and just put a call out to the listeners.
[13:54.000 --> 13:55.000]  I want to thank the listeners.
[13:55.000 --> 14:02.000]  If you hadn't been funding us, there are all these attacks and all the censorship and the attempts to shut us down and all the fake lawsuits and everything.
[14:02.000 --> 14:03.000]  We wouldn't be here.
[14:03.000 --> 14:07.000]  But because of you in the last couple of years that have been hell, we're still here.
[14:07.000 --> 14:14.000]  And last year was a good year in many ways because nationalism and patriotism is coming back into bloom and it's spreading.
[14:14.000 --> 14:17.000]  But for those of us at the tip of the spear, it's hard.
[14:17.000 --> 14:23.000]  Please remember that you have info wars in this operation of my crew in your hands.
[14:23.000 --> 14:32.000]  And when you do simple things like get high quality concentrated, fluoride free, to loyal silver iodine four to five tooth paste.
[14:32.000 --> 14:42.000]  And info wars.com. And when you get the immune gargle that's excellent for battling the viruses and bacteria this time of year is especially powerful.
[14:42.000 --> 14:51.000]  You get the immune gargle with silver and iodine fortification that you are helping yourself, your family, but also this operation.
[14:51.000 --> 14:55.000]  We have it in three different bottle sizes and info wars.com.
[14:55.000 --> 15:02.000]  And when you get t-shirts and books, you're informing yourself, you can then share the book, you can share the video and you're funding this operation.
[15:02.000 --> 15:12.000]  When you get a capitalist walk their dog, socialist eat them t-shirt with Alexander Cortez on the cover as a meth mouth, anti-American demon.
[15:12.000 --> 15:16.000]  Well, you spread the word and actually trigger libtards.
[15:16.000 --> 15:24.000]  But whatever you do, you need to know that really some of our flagship products are things like X3 that has all three, the deep earth crystal iodine.
[15:24.000 --> 15:25.000]  We secured that source.
[15:25.000 --> 15:33.000]  But talking to chemists, they said why not add the other two types and a little bit of intimacy to stabilize it because studies show it helps it be uploaded even better.
[15:33.000 --> 15:39.000]  And we have the last round of supermail, superfumile vitality, cold press because it's so hard to get the wildcrafted herbs.
[15:39.000 --> 15:41.000]  It's a best seller, but we just can't procure it anymore.
[15:41.000 --> 15:47.000]  But I still haven't been 50% off so you can try them and see how great they are and support the broadcast.
[15:47.000 --> 15:55.000]  Whatever you do, there's an infowarstore.com today and that's how InfoWars continues on and it's a 360 win for the products are game changing.
[16:17.000 --> 16:24.000]  Fast, free and direct in discrete packaging. Read thousands of five star reviews. Click the bestedpill.com.
[16:24.000 --> 16:29.000]  That's T-H-E bestedpill.com, the online doctor's office.
[16:29.000 --> 16:31.000]  Heart disease is on the rise.
[16:31.000 --> 16:37.000]  Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you.
[16:37.000 --> 16:38.000]  But the symptoms are there.
[16:38.000 --> 16:46.000]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[16:46.000 --> 16:52.000]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[16:52.000 --> 16:56.000]  My blood pressure has normalized. My diabetes has totally improved.
[16:56.000 --> 17:01.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[17:01.000 --> 17:03.000]  I recommend heart and body extract to everyone.
[17:03.000 --> 17:11.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:11.000 --> 17:16.000]  Order your two months supply today by calling 866-295-5305.
[17:16.000 --> 17:22.000]  That's 866-295-5305 or order online hbextract.com.
[17:22.000 --> 17:50.000]  Heart and Body Extract 866-295-5305 or hbextract.com.
[17:50.000 --> 17:53.000]  The Deep State began with World War One.
[17:53.000 --> 18:00.000]  The United States of Empire by James Dunn, available at Amazon Books.
[18:00.000 --> 18:05.000]  Infowars Life is bringing you a breakthrough in modern medicine, introducing pollen block.
[18:05.000 --> 18:17.000]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort and respiratory function.
[18:17.000 --> 18:26.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[18:26.000 --> 18:37.000]  They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:37.000 --> 18:51.000]  Pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:51.000 --> 18:54.000]  Go outside and enjoy the air you breathe.
[18:54.000 --> 18:59.000]  Head to InfowarsLife.com and grab a pack of our pollen block chewable tablets.
[18:59.000 --> 19:08.000]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck even take your dog for a walk.
[19:08.000 --> 19:14.000]  Believe me, I know I spend hours in front of a screen and then hours in front of bright lights every day.
[19:14.000 --> 19:19.000]  But thanks to SupermailVitality at InfowarsStore.com, I still have that energy.
[19:19.000 --> 19:30.000]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern-day lifestyle with the screen time and the extended hours,
[19:30.000 --> 19:40.000]  to still have the stamina and endurance, energy, and drive to get to the gym, get to the park, and get exercise that you need for your health.
[19:40.000 --> 19:48.000]  So go to InfowarsStore.com and get SupermailVitality before it's gone. This is actually our last run of SupermailVitality.
[19:48.000 --> 19:53.000]  So I want you to experience SupermailVitality before it's too late.
[19:53.000 --> 20:11.000]  Unleash the Supermail in you with SupermailVitality at InfowarsStore.com.
[20:23.000 --> 20:39.000]  I am Alex Jones, your host, and the globalists want me off the air because I pierce into how they construct their lives.
[20:39.000 --> 20:46.000]  Mainstream corporate Decepticon media knows that we're awake.
[20:46.000 --> 20:54.000]  It knows that we can go dissect single lives easily, and we know they're a pack of liars.
[20:54.000 --> 20:59.000]  They've been national polls where mainstream media has 7% approval rating.
[20:59.000 --> 21:05.000]  So it's the most hated group in the world. All over the world, people know that corporate media lies.
[21:05.000 --> 21:19.000]  But they construct whole universes, whole false realities, like Times Square bombarding you with the disinfo, and there they're able to deceive.
[21:19.000 --> 21:32.000]  And the Republican Party's cowardice, but also the fact that a lot of Republicans are playing ball with the establishment,
[21:32.000 --> 21:36.000]  that is what allows this to continue on.
[21:36.000 --> 21:48.000]  So what's happened to Congressman Steve King, who's had a lot of courage to defend this nation against globalist Hollywood and chai-com demoralization,
[21:48.000 --> 21:52.000]  and who has helped quarterback Trump's message.
[21:52.000 --> 21:56.000]  That's the one thing the corporate media got right.
[21:56.000 --> 22:00.000]  He has been targeted as I have been targeted and others have been targeted for destruction.
[22:00.000 --> 22:09.000]  And so the leader of the minority in the House and others have really rolled over to the disinformation in a big way.
[22:09.000 --> 22:13.000]  So right now, this is so illustrative. This is such an important segment.
[22:13.000 --> 22:20.000]  We're live on air. We'll post it later to infowords.com. Get this out to everyone, you know, because this is damning information.
[22:20.000 --> 22:31.000]  Remember Sarah Young, she's on the board at the New York Times, got on there last year. She helps coordinate taking conservatives off the Internet.
[22:31.000 --> 22:33.000]  That's admitted. Project Veritas got that on video.
[22:33.000 --> 22:41.000]  She says she can't wait till whites are bred out, that whites are horrible, that whites are dogs, that whites are goblin creatures that live in holes,
[22:41.000 --> 22:44.000]  that she loves being mean to white people.
[22:44.000 --> 22:47.000]  The New York Times said we back it and we think it's a good thing.
[22:47.000 --> 23:00.000]  Okay, then this same criminal group run by Mexican narcotics money, you name it, on record, the enemy of the people, the enemy of America,
[23:00.000 --> 23:05.000]  the enemy of sovereignty, they put out a fake quote interview.
[23:05.000 --> 23:07.000]  And I've had the New York Times do this to me.
[23:07.000 --> 23:13.000]  Headline, Alex Jones threatened to use quote, battle rifles on the media.
[23:13.000 --> 23:19.000]  I said, battle rifles had nothing to do with the media. I said, if Antifa comes to your house to try to kill you, you should have your battle rifle ready.
[23:19.000 --> 23:23.000]  That turns into kill the media had nothing to do with it.
[23:23.000 --> 23:26.000]  Total deception.
[23:26.000 --> 23:28.000]  So King puts a statement out.
[23:28.000 --> 23:37.000]  He says, clearly, I didn't say that I have prepared remarks about how Western civilization being proud of it is not white supremacy.
[23:37.000 --> 23:40.000]  And that we should be proud of it.
[23:40.000 --> 23:43.000]  The New York Times is a criminal group.
[23:43.000 --> 23:45.000]  They've done this to me and everyone else.
[23:45.000 --> 23:48.000]  They are a lie factory.
[23:48.000 --> 23:51.000]  They remove the word there out of the quote.
[23:51.000 --> 23:57.000]  Now they're removing it and cutting it even down more to one word and two words.
[23:57.000 --> 24:05.000]  Peter King said quotes around it, white supremacist quotes around it, white nationalist.
[24:05.000 --> 24:10.000]  So now they're even cutting it down to two words, not wanting you to have the context of anything.
[24:10.000 --> 24:13.000]  That is pure evil.
[24:13.000 --> 24:18.000]  But the Republican leadership,
[24:18.000 --> 24:23.000]  they want to virtue signal.
[24:23.000 --> 24:29.000]  So here it is, GOP Senator, Representative King's white supremacy remarks hurt the nation.
[24:29.000 --> 24:31.000]  Well, that's old Mitt Romney getting some good points.
[24:31.000 --> 24:34.000]  The best Democrat the Republicans have.
[24:34.000 --> 24:40.000]  House GOP leaders removed Steve King from committee assignments.
[24:40.000 --> 24:42.000]  Now here's where they really get into it.
[24:42.000 --> 24:45.000]  A history of Steve King's racist remarks.
[24:45.000 --> 24:47.000]  So see, they don't have a real quote.
[24:47.000 --> 24:49.000]  We have his real statement.
[24:49.000 --> 24:54.000]  He should sue the New York Times.
[24:54.000 --> 24:56.000]  I'm certainly thinking about it myself.
[24:56.000 --> 24:59.000]  They've done this to me and I've got them on tape.
[24:59.000 --> 25:01.000]  But it's the Republican cowardice.
[25:01.000 --> 25:04.000]  And here's where they do the alchemy, watch this closely.
[25:04.000 --> 25:07.000]  He didn't say white supremacy is a good thing and he endorses it.
[25:07.000 --> 25:11.000]  He said it's not the same as Western culture and being proud of it.
[25:11.000 --> 25:14.000]  But then they quote real things he said.
[25:14.000 --> 25:20.000]  Now that they've said this is white supremacy and now they start teaching you illegal aliens are breaking the law to get here.
[25:20.000 --> 25:23.000]  They have doubled the crime rate of the average citizen.
[25:23.000 --> 25:27.000]  And now you're, oh, that's white supremacy too.
[25:27.000 --> 25:30.000]  See how they do it?
[25:30.000 --> 25:35.000]  That's how they create one line, get everybody to accept it and then attach it to 100 others,
[25:35.000 --> 25:41.000]  but then direct it at real quotes and then define those as that.
[25:41.000 --> 25:43.000]  So let's read these evil quotes.
[25:43.000 --> 25:45.000]  There's like five pages of them. Listen to this.
[25:45.000 --> 25:48.000]  Breathlessly at a rally in Las Vegas,
[25:48.000 --> 25:55.000]  Mr. King calls the deaths of Americans at the hands of undocumented immigrants a slow-motion holocaust, which it is.
[25:55.000 --> 25:58.000]  200,000 dead Mexicans alone.
[25:58.000 --> 26:02.000]  He claims that 25 Americans died daily because of undocumented immigrants.
[26:02.000 --> 26:03.000]  That's a very low number.
[26:03.000 --> 26:07.000]  An unsupported and ideological leap, there's no link to their proof,
[26:07.000 --> 26:11.000]  from government statistics, which years later influenced talking points for President Trump.
[26:11.000 --> 26:13.000]  That's the racism. Oh my gosh.
[26:13.000 --> 26:18.000]  On the House floor, Mr. King demonstrated a model for a 12-foot concrete border wall
[26:18.000 --> 26:21.000]  topped with electrified wire that he designed.
[26:21.000 --> 26:24.000]  Oh my gosh.
[26:24.000 --> 26:28.000]  They got electric barbed wire around rich people's houses.
[26:28.000 --> 26:30.000]  We need to do a few other things.
[26:30.000 --> 26:33.000]  Oh my gosh, it's so evil.
[26:33.000 --> 26:37.000]  Preventing babies being born is not medicine.
[26:37.000 --> 26:40.000]  That's not construction to our culture and our civilization.
[26:40.000 --> 26:44.000]  If we let our birthrate go down below the replacement rate, we're a dying civilization.
[26:44.000 --> 26:49.000]  Yes, Europe, here, everywhere, Japan, 1.2, 1.3 replacement rate.
[26:49.000 --> 26:54.000]  Saying it's okay for white people to continue to exist. That's not racist.
[26:54.000 --> 27:03.000]  But according to the hateful, anti-white, vicious, chai-com funded, demoralized America corporate media, it is.
[27:03.000 --> 27:09.000]  Because the Chinese are totally ethnocentric, completely maximum racist in the nation itself
[27:09.000 --> 27:11.000]  compared to anybody else on the planet.
[27:11.000 --> 27:17.000]  And they know that Western civilization threatens their hegemony and their funding through Hollywood on record.
[27:17.000 --> 27:23.000]  All these movies were whites existing as bad and expanding on that.
[27:23.000 --> 27:26.000]  Where there's race war in America and division between men and women.
[27:26.000 --> 27:29.000]  And how you teach your kid how to be gay or be transgendered.
[27:29.000 --> 27:31.000]  They execute you for that in China.
[27:31.000 --> 27:36.000]  But China owns six of the eight big production houses and they demand.
[27:36.000 --> 27:39.000]  That is a talking point on record.
[27:39.000 --> 27:40.000]  You're a foreign enemy.
[27:40.000 --> 27:44.000]  If you teach people that men being masculine is bad and have Gillette ads saying,
[27:44.000 --> 27:48.000]  don't have masculine men, turns out that's the agreement we now learn.
[27:48.000 --> 27:52.000]  Procter and Gamble just got allowed into China a month ago.
[27:52.000 --> 27:55.000]  Oh!
[27:55.000 --> 27:57.000]  The chai-coms mean, Bidness.
[27:57.000 --> 28:01.000]  And then it continues on here, ladies and gentlemen, with other quotes.
[28:01.000 --> 28:04.000]  Other evil racist quotes.
[28:04.000 --> 28:09.000]  He's the chief sponsor of a law making English the official language of Iowa.
[28:09.000 --> 28:14.000]  He said we should respect America's greatness and that it's been by Christianity,
[28:14.000 --> 28:17.000]  free enterprise, capitalism and western civilization.
[28:17.000 --> 28:21.000]  So these are real things he said that are good things.
[28:21.000 --> 28:22.000]  We're out of time.
[28:22.000 --> 28:23.000]  We come back.
[28:23.000 --> 28:25.000]  I'm going to finish up here with his actual statement.
[28:25.000 --> 28:28.000]  But then when you see the news, the New York Times, the Washington Post, CNN,
[28:28.000 --> 28:33.000]  even Republicans are like, he wouldn't walk back saying white supremacy is good.
[28:33.000 --> 28:37.000]  Even though he never said it, the New York Times just took the word there out.
[28:37.000 --> 28:39.000]  You can see it.
[28:39.000 --> 28:42.000]  And then they continue to put it out there.
[28:42.000 --> 28:46.000]  Well, you know, he's still defending the fact that he's white supremacist
[28:46.000 --> 28:48.000]  and they won't show you what he really said.
[28:48.000 --> 28:50.000]  That's what they do when they assassinate your character.
[28:50.000 --> 28:53.000]  They lie about you, you cowards that join in with it.
[28:53.000 --> 28:55.000]  So they won't be next.
[28:55.000 --> 28:59.000]  Unbelievable scum.
[28:59.000 --> 29:01.000]  Know someone with a drinking or drug problem?
[29:01.000 --> 29:04.000]  Learn how to get sober after we share these stories.
[29:04.000 --> 29:09.000]  I was 35 with two beautiful children when my life and addiction started to spiral out of control.
[29:09.000 --> 29:14.000]  After my divorce, I went into a depression cycle and started drinking more often
[29:14.000 --> 29:16.000]  and using prescription drugs.
[29:16.000 --> 29:21.000]  After my second EWI and arrest, my ex-husband threatened to take our children away from me.
[29:21.000 --> 29:25.000]  I was 17 when I became addicted to heroin and meth.
[29:25.000 --> 29:28.000]  I thought I could quit on my own, but I couldn't.
[29:28.000 --> 29:31.000]  It hit me when I was arrested.
[29:31.000 --> 29:36.000]  Get sober now. Your private insurance may cover costs and we'll get you here.
[29:36.000 --> 29:40.000]  It's simple. Just call Elite Rehab Placement right now.
[29:40.000 --> 29:43.000]  Please, don't wait. Your life matters to us.
[29:43.000 --> 29:54.000]  800-213-9264, 800-213-9264, 800-213-9264.
[29:54.000 --> 29:56.000]  Call right now before it's too late.
[29:56.000 --> 30:00.000]  800-213-9264.
