[00:00.000 --> 00:19.000]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[17:31.000 --> 17:40.000]  We set out to bring you the very best at the lowest price. Find out more about the proprietary development of silver bullet at InfoWarsLife.com.
[17:40.000 --> 17:51.000]  In these times, it's essential to have high-quality, colloidal silver on hand. No survival chest is complete without silver bullet, exclusively available at InfoWarsLife.com.
[17:51.000 --> 17:59.000]  Secure your silver bullet today at InfoWarsLife.com or by calling toll-free 888-253-3139.
[17:59.000 --> 18:03.000]  Alex Jones here with a very important news alert for InfoWars listeners.
[18:03.000 --> 18:14.000]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[18:14.000 --> 18:17.000]  So prices are going up and it's very hard to secure it.
[18:17.000 --> 18:26.000]  We have been able to secure a limited supply of the pure Deep Earth Crystals and have now been able to produce more Survival Shield Nacin iodine X2.
[18:26.000 --> 18:30.000]  This is the good halogen. This is the opposite of the bad halogens like fluoride.
[18:30.000 --> 18:42.000]  Now we at InfoWarsLife.com are bringing you the only source of clean, pure 99.99 ultra-pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[18:42.000 --> 18:50.000]  Watch the informational videos at InfoWarsLife.com to discover how transformational pure iodine can be for you and your family.
[18:50.000 --> 18:59.000]  Folks, this hidden hype. Read the reviews for yourself at InfoWarsLife.com or call 888-253-3139.
[18:59.000 --> 19:09.000]  Most of the InfoWars radio-listening audience is aware of the high-quality, affordable firearms available that are made right here in America at HDFirearms.com.
[19:09.000 --> 19:15.000]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[19:15.000 --> 19:21.000]  They call it their low-profile platform, PVX muzzle brakes, proven to help control muzzle rise.
[19:21.000 --> 19:30.000]  6061 billet material with type 3 hard coating, bolt carrier group for 308 and 556 ARs, custom kydex holsters.
[19:30.000 --> 19:35.000]  Ideal for concealed carry with.080 thick kydex to ensure durability.
[19:35.000 --> 19:41.000]  Most competitors' material use.060. Configure yours today at HDFirearms.com.
[19:41.000 --> 19:47.000]  And my favorite, single-stage trigger, a home run upgrade for your AR-15 and AR-10 platforms.
[19:47.000 --> 19:54.000]  Find out more at HDFirearms.com today or call 770-485-7015.
[19:54.000 --> 20:21.000]  HDFirearms.com or call 770-485-7015.
[20:21.000 --> 20:25.000]  You are listening to an InfoWars.com frontline report.
[20:25.000 --> 20:28.000]  It's Alex Jones.
[20:28.000 --> 20:30.000]  And this is the Sunday Transmission.
[20:30.000 --> 20:33.000]  We're here live every Sunday, 4 to 6 p.m. Central.
[20:33.000 --> 20:37.000]  Back weekdays, 11 a.m. to 2 p.m. Central time as well.
[20:37.000 --> 20:40.000]  InfoWars.com is the main site.
[20:40.000 --> 20:47.000]  Backed up by PrisonPlanet.com, the Facebook, the Twitter, the YouTube channels, PrisonPlanet.tv and more.
[20:47.000 --> 20:52.000]  So I have all this other world news. It's all very important. The good news, the bad news, the ugly news.
[20:52.000 --> 21:00.000]  But here are just the stack of articles today, many of which are up on InfoWars.com with extended videos,
[21:00.000 --> 21:04.000]  detailing how big a deal this is to have Donald Trump doing what he's doing.
[21:04.000 --> 21:11.000]  Because I can tell, you can tell, a $3 bill from pretty far away.
[21:11.000 --> 21:21.000]  And the fact that Trump is now eviscerating Hillary and Jeb Bush, the fact that he is now basically saying he's a criminal
[21:21.000 --> 21:32.000]  and telling her to step down, the fact that Biden is preparing to enter the race, shows that Clintons are falling apart in front of us.
[21:32.000 --> 21:36.000]  It's so wonderful. And it's not some personal vendetta I have with him.
[21:36.000 --> 21:40.000]  This is a very dangerous criminal duo.
[21:40.000 --> 21:44.000]  And I'm personally on their enemies list. That's been in the newspapers.
[21:44.000 --> 21:49.000]  Hundreds of other people are. I've been persecuted. I'm sick of them. They're a particularly nasty group.
[21:49.000 --> 21:56.000]  They've been running Obama the whole time. And the fact that they're in deep trouble could not be more deserved.
[21:56.000 --> 22:01.000]  I mean, it would be a devastating victory for this country if both of them got indicted.
[22:01.000 --> 22:05.000]  Because they're both involved in crimes that go around the world.
[22:05.000 --> 22:11.000]  And here are the headlines. Trump on Clinton emails. It's a criminal probe. I'm going to play a clip of that in a moment.
[22:11.000 --> 22:16.000]  That's from CNN. An incredibly bold statement.
[22:16.000 --> 22:21.000]  Trump better watch it in his helicopters and jets because.
[22:21.000 --> 22:31.000]  And by the way, I'm not saying Trump's ever been perfect, but he makes his money again off the free market being successful and the country being wealthy.
[22:31.000 --> 22:37.000]  And if he is an actor, he's even better than Obama. He looks seriously concerned when he talks about loss of jobs.
[22:37.000 --> 22:41.000]  When he talks about the country rotting. He's the type of peacock.
[22:41.000 --> 22:46.000]  It's not bad to be a narcissist peacock who wants to be great.
[22:46.000 --> 22:50.000]  There were a lot of Caesars in Rome where they had big booms.
[22:50.000 --> 22:56.000]  Where the Caesar actually wanted to have free market and wealth and power and public works projects that didn't want to suppress the middle class.
[22:56.000 --> 22:59.000]  And it wasn't jealous of having a middle class.
[22:59.000 --> 23:03.000]  And I don't think Donald Trump is afraid of success for the people.
[23:03.000 --> 23:11.000]  The Cloward and Piven Insider Ford Foundation Clinton types want you poor so they can control you.
[23:11.000 --> 23:18.000]  And when Trump says cut taxes by 40% and more tax money will come in, the average person doesn't understand.
[23:18.000 --> 23:23.000]  When you cut taxes massively, it increases tax receipts because people start building.
[23:23.000 --> 23:25.000]  They start spending. They start investing.
[23:25.000 --> 23:32.000]  It's fact. Kennedy cut taxes by 50% in the main tax bracket.
[23:32.000 --> 23:36.000]  Biggest boom this country's seen post-World War II.
[23:36.000 --> 23:40.000]  And the deficit went down.
[23:40.000 --> 23:44.000]  Okay, I've read one headline. Trump on Clinton emails, it's a criminal problem.
[23:44.000 --> 23:52.000]  So there becomes a point where whether Trump's good or bad, what he's doing is, as the number one media person in the country now,
[23:52.000 --> 23:58.000]  getting all this attention, he is destroying Hillary Clinton.
[23:58.000 --> 24:04.000]  Putting it over the top as all this comes out and then giving everybody cover to go after her.
[24:04.000 --> 24:07.000]  Because if you individually go after them, they come after you.
[24:07.000 --> 24:13.000]  But if everybody goes after them, they can be destroyed.
[24:13.000 --> 24:17.000]  And then that scares all the other crooks to not be so arrogant.
[24:17.000 --> 24:20.000]  Trump on Clinton emails, it's a criminal probe.
[24:20.000 --> 24:23.000]  Hillary, we're going to play this clip, putting on her con game.
[24:23.000 --> 24:26.000]  And I've told you the arrogance is because they're scared.
[24:26.000 --> 24:30.000]  That's meant to put the perception on everything's fine, keeping up appearances.
[24:30.000 --> 24:36.000]  Hillary on Snapchat, I love how messages disappear all by themselves and her sickening,
[24:36.000 --> 24:40.000]  fawning, totalitarian cult members giggle and laugh.
[24:40.000 --> 24:46.000]  And the media admits she's rubbing it in everyone's face with a confidence game.
[24:46.000 --> 24:50.000]  I saw hundreds of headlines when I searched her quote today for the show.
[24:50.000 --> 24:53.000]  It was just hundreds of headlines, only scanned 20 of them or so.
[24:53.000 --> 24:57.000]  All going, Hillary makes jokes about disappearing emails.
[24:57.000 --> 25:01.000]  Hillary arrogantly puts on a good face.
[25:01.000 --> 25:03.000]  And you're like, okay, anybody can tell that.
[25:03.000 --> 25:05.000]  Used to mainstream media wouldn't call her out.
[25:05.000 --> 25:07.000]  See, now it's safe.
[25:07.000 --> 25:10.000]  Most people in the system don't like the corruption.
[25:10.000 --> 25:12.000]  They're scared, though.
[25:12.000 --> 25:14.000]  What did Mark Twain say, my favorite quote?
[25:14.000 --> 25:19.000]  In the beginning, a patriot is a scarce man, hated, feared and scorned.
[25:19.000 --> 25:25.000]  But in time, when his cause succeeds, the timid join him because then it costs nothing to be a patriot.
[25:25.000 --> 25:30.000]  Info wars job, drudges job, world net daily job and others like that.
[25:30.000 --> 25:37.000]  Our job as constitutional libertarian types is to tell it like it is against both parties,
[25:37.000 --> 25:42.000]  hit the barbed wire and make it safe for other people to follow behind us.
[25:42.000 --> 25:44.000]  That's what leadership is.
[25:44.000 --> 25:48.000]  Doing the right thing no matter what other people think about you.
[25:48.000 --> 25:52.000]  And look how it continues to pay off.
[25:52.000 --> 25:54.000]  Forgetting the truth out.
[25:54.000 --> 25:57.000]  And now look at Trump engaging in real leadership.
[25:57.000 --> 26:00.000]  And I know it's this constituents putting heat on him.
[26:00.000 --> 26:02.000]  Hillary on Snapchat, we're going to play that.
[26:02.000 --> 26:06.000]  Donald Trump, it would be a miracle if Hillary continues to run NBC News.
[26:06.000 --> 26:07.000]  I've got that clip.
[26:07.000 --> 26:11.000]  Exclusive, Donald Trump expects to face VP Joe Biden in general election.
[26:11.000 --> 26:15.000]  Hillary Clinton's big league email scandal will force her out.
[26:15.000 --> 26:17.000]  I just love it.
[26:17.000 --> 26:20.000]  Joe Biden said to be considering one term presidency.
[26:20.000 --> 26:22.000]  Boom.
[26:22.000 --> 26:28.000]  Number of Hillary emails fly for classified data grows to 60 as review continues.
[26:28.000 --> 26:33.000]  Petraeus was indicted and had to plea bargain to felonies.
[26:33.000 --> 26:39.000]  To a suspended prison sentence for talking to his girlfriend about classified stuff that didn't matter.
[26:39.000 --> 26:48.000]  I'm not defending Petraeus, but literally, literally he had like a little bit of milk dripped on his tie.
[26:48.000 --> 26:52.000]  Or a little catch up and they try to put him in prison for it.
[26:52.000 --> 27:02.000]  And then this woman takes money from third world dictators at the State Department to her foundation and then removes the export ban on heavy weapons.
[27:02.000 --> 27:08.000]  You know, any tank missiles?
[27:08.000 --> 27:10.000]  Amazing.
[27:10.000 --> 27:12.000]  So there's some of the news on that front.
[27:12.000 --> 27:14.000]  It begins actually didn't begin.
[27:14.000 --> 27:15.000]  I saw these a year ago.
[27:15.000 --> 27:16.000]  I'm going to put a t-shirt out that said it.
[27:16.000 --> 27:17.000]  We're going to do it.
[27:17.000 --> 27:18.000]  It begins.
[27:18.000 --> 27:20.000]  Hillary for prison signs spotted in Missouri.
[27:20.000 --> 27:21.000]  Yeah, they're popping up all over.
[27:21.000 --> 27:25.000]  In fact, I'm going to emergency print up Hillary for prison signs.
[27:25.000 --> 27:30.000]  2016 and bumper stickers and we're going to sell them at cost.
[27:30.000 --> 27:32.000]  So months ago told the crew to do this.
[27:32.000 --> 27:34.000]  I don't know if the production crew ever did it.
[27:34.000 --> 27:35.000]  They may have even done it.
[27:35.000 --> 27:40.000]  But we're going to put these out because I saw it months ago, a guy in Austin driving around with one.
[27:40.000 --> 27:41.000]  Absolutely.
[27:41.000 --> 27:50.000]  And if a Republican acts like this, we're going to put out, you know, Jeb Bush for prison signs if he does stuff like this.
[27:50.000 --> 27:59.000]  There's a new national poll out and the Hill was reporting on a majority of Americans believe she lied about having sensitive national intelligence on her private email server.
[27:59.000 --> 28:03.000]  Yeah, why did the head of the EPA remember her a few years ago to step down?
[28:03.000 --> 28:07.000]  She had a gnome to plume, a pen name with secret emails.
[28:07.000 --> 28:18.000]  They engage in secret emails and use code names like Hillary was using because they're engaged in criminal activity outside of the four year system.
[28:18.000 --> 28:19.000]  We're going to go to Blake.
[28:19.000 --> 28:24.000]  When we come back, I'm going to play Donald Trump on Clinton email says it's a criminal problem.
[28:24.000 --> 28:28.000]  Donald Trump goes on to then say it'd be a miracle if she continues to run.
[28:28.000 --> 28:34.000]  And then Hillary making the sickening joke about her disappeared emails.
[28:34.000 --> 28:42.000]  I mean, she professionally wiped the hard drives because the stuff's all still really on there.
[28:42.000 --> 28:44.000]  So she had it professionally wiped.
[28:44.000 --> 28:48.000]  That's called felony obstruction of justice.
[28:48.000 --> 29:00.000]  Four to 10 years in federal prison on its face for each email she erased to abscond justice.
[29:00.000 --> 29:04.000]  The FBI has arrested a pair of ISIS wannabes in Mississippi.
[29:04.000 --> 29:07.000]  The newlyweds allegedly claimed via social media.
[29:07.000 --> 29:10.000]  They plan to travel to Syria and join ISIS.
[29:10.000 --> 29:15.000]  This follows the arrest of another ISIS wannabe in New Jersey earlier this week.
[29:15.000 --> 29:23.000]  This latest incident follows a now well established pattern engaging in online conversations with FBI agents posing as terrorists.
[29:23.000 --> 29:35.000]  In May, declassified defense documents from 2012 revealed the U.S. and its partners in the Gulf States and Turkey supported the Islamic State and plan to establish a Salafist principality in Syria.
[29:35.000 --> 29:50.000]  And in 2011, a report revealed the FBI organizes nearly all terror plots in the U.S. FBI agents and operatives find suspects that could potentially carry out lone wolf attacks and then more or less encourage them to do so.
[29:50.000 --> 29:54.000]  Only to bust them before any of the events fully materialize.
[29:54.000 --> 30:19.000]  You can find more reports at infowars.com.
[30:19.000 --> 30:27.000]  We're here at a supermarket in Toledo. You can see the shelves empty where water once was.
[30:27.000 --> 30:33.000]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[30:33.000 --> 30:36.000]  Water which will not be available at your local grocery store.
[30:36.000 --> 30:39.000]  There's a mad dash on right now to stock up on supplies.
[30:39.000 --> 30:49.000]  The Pro Pure Pro 1 G2.0 water filtration system is a must have for every modern independently minded household. Protect your family's safety during an emergency.
