[00:00:00.049 --> 00:00:05.365]  Click on Join Now and experience ACT, the healthy, feel-good energy drink, today!
[00:11:11.866 --> 00:11:25.619]  This guy is an admitted crisis creator for Western intelligence and his family were one of the first families set up in business with Lawrence of Arabia and British intelligence when they set up the House of Saad.
[00:11:27.145 --> 00:11:35.651]  The truth is, the Saudi Arabians and the radical Wahhabist Al-Qaedaites, the Al-Qaeda Brigades, are an arm of British intelligence.
[00:11:35.651 --> 00:11:37.292]  Steve?
[00:11:37.292 --> 00:11:41.114]  Well, that's right, and they're the best enemies money can buy, aren't they?
[00:11:41.114 --> 00:11:56.524]  I mean, it was revealed in the W1999 document that the FBI themselves were told to back off the bin Laden's because, and they put this in their own document, quote, connections between the CIA and Saudi Arabia.
[00:11:57.119 --> 00:11:59.341]  And the Bush men and the Bin Laden's.
[00:11:59.341 --> 00:12:02.743]  That's why they were told to back off investigating them.
[00:12:02.743 --> 00:12:21.218]  And the documents that have been, that we've covered today, that have just been released, the FBI says that they're not important because they looked into members of the Bin Laden family and they didn't find any terrorist links or any terrorist connections.
[00:12:21.218 --> 00:12:23.540]  But the document, the 1999 document released in November 2001,
[00:12:26.783 --> 00:12:35.674]  Specifically states that a brother of Osama Bin Laden was connected to the World Assembly of Muslim Youth, which is a terrorist organization.
[00:12:35.674 --> 00:12:39.900]  So there you've got a direct contradiction as well.
[00:12:42.177 --> 00:12:46.160]  Well, they're highly tied into New York and London and Paris social life.
[00:12:46.160 --> 00:12:52.784]  I mean, we've got Bin Laden's sister posing and, you know, walking down the runway and in Glamour magazines.
[00:12:52.784 --> 00:13:00.609]  I mean, they need to all be arrested if we believe that, you know, they're in any way connected to the 9-11 attacks, which, of course, they're not really.
[00:13:00.609 --> 00:13:03.671]  They're just there as patsies to, you know, to take the blame.
[00:13:03.671 --> 00:13:10.215]  Bin Laden, of course, we know from CIA and Council on Foreign Relations sources, died shortly after 9-11 of kidney failure.
[00:13:10.755 --> 00:13:23.006]  So he's the perfect boogeyman and he kind of took the hit to be a hero in the Muslim world, a hero to a hobbyist, and at the same time to be the boogeyman for the West.
[00:13:23.006 --> 00:13:34.217]  Yeah, in this article I've put a picture of the Bin Laden family, you know, all dressed in western garb, gathered around a nice big pink Cadillac.
[00:13:34.972 --> 00:13:38.294]  And Osama Bin Laden's there, smiling away.
[00:13:38.294 --> 00:13:45.640]  And that's an admitted authentic photo, and the point here is, is that when he goes and puts on the Wahhabi Halloween costume, that's all it is.
[00:13:45.640 --> 00:13:48.442]  No offense to Muslims that actually wear that, and I respect that.
[00:13:48.442 --> 00:13:51.043]  My point is, to him, it's a Halloween costume.
[00:13:51.043 --> 00:13:55.486]  It's just as authentic if I dressed up in it and said I was a Wahhabi, as which I'm not.
[00:13:55.486 --> 00:13:57.628]  Okay, go ahead, Steve, sorry.
[00:13:57.628 --> 00:14:01.891]  Yeah, the point is that they are business people, and they, you know, they're
[00:14:02.577 --> 00:14:09.160]  They're not people that live in caves in Afghanistan like a lot of people seem to think they are.
[00:14:09.160 --> 00:14:11.781]  No, they're the folks that did the air conditioning job on Mecca.
[00:14:11.781 --> 00:14:16.182]  They're the people that have built, up until 9-11, every major U.S.
[00:14:16.182 --> 00:14:17.923]  military base in the Middle East.
[00:14:17.923 --> 00:14:19.563]  Every major facility.
[00:14:19.563 --> 00:14:20.884]  I mean, every major facility.
[00:14:21.385 --> 00:14:24.808]  There were a few previously built before them, but I mean every major new facility.
[00:14:24.808 --> 00:14:31.393]  They even got the contracts to fix some of the buildings supposedly bombed by some of Bin Laden in Saudi Arabia.
[00:14:31.393 --> 00:14:33.534]  He bombs it, the family rebuilds it.
[00:14:33.534 --> 00:14:43.942]  This is a complete joke, and press reported that the Bin Laden stock went up through, and they made basically three billion dollars in extra money off of their assets surrounding what happened on 9-11.
[00:14:43.942 --> 00:14:47.265]  I mean, this is sick.
[00:14:47.265 --> 00:14:51.028]  Yeah, and you know, not a mention of this in any of the investigations.
[00:14:51.482 --> 00:14:58.646]  This is why it's absolutely imperative that an independent investigation takes place and these kind of things are looked into.
[00:14:58.646 --> 00:15:05.830]  Because once you look into them, beyond the surface, you know, it's like an underground cavern.
[00:15:05.830 --> 00:15:16.477]  It just opens up and there's vast amounts of space and, you know, all this information is down there and all you've got to do is look below the surface and there it is.
[00:15:16.477 --> 00:15:18.278]  My friend, I heartily agree with you.
[00:15:19.620 --> 00:15:23.265]  Uh, just looking forward to how the mainstream media here is going to try to handle it.
[00:15:23.265 --> 00:15:31.177]  Do you think they'll either A, ignore it, or B, try to poo-poo it and make excuses and create some type of, uh, smokescreen?
[00:15:32.248 --> 00:15:34.910]  And then after that question, where is it all going in the future?
[00:15:34.910 --> 00:15:45.617]  I mean, how is the establishment going to deal with senior emergency managers in New York coming out and saying there were bombs and explosions going off in Building 7 before the second plane even hit?
[00:15:45.617 --> 00:15:53.982]  How are they going to deal with any of this as just more and more mountains, more and more eyewitnesses, more and more people go public?
[00:15:53.982 --> 00:15:59.846]  Well, firstly, with this one, I think, from what I've seen so far, they're going to try and ignore it.
[00:16:01.818 --> 00:16:03.038]  But you can't.
[00:16:03.038 --> 00:16:04.539]  There's no excuse here.
[00:16:04.539 --> 00:16:08.080]  The FBI, all they've said is, no, there's nothing to see here.
[00:16:08.080 --> 00:16:10.041]  This is nothing new.
[00:16:10.041 --> 00:16:11.761]  I mean, it blatantly is.
[00:16:11.761 --> 00:16:12.982]  They even say, move along.
[00:16:12.982 --> 00:16:15.522]  They don't even try to decipher or discredit the info.
[00:16:15.522 --> 00:16:18.663]  They just say, move along, move along.
[00:16:18.663 --> 00:16:19.103]  That's right.
[00:16:19.103 --> 00:16:22.384]  I mean, there's, you know, there's no excuse.
[00:16:22.384 --> 00:16:26.466]  They can't, there's nothing they can say apart from, no, I'm just flat denying it.
[00:16:26.466 --> 00:16:30.267]  So I think the mainstream media is going to have to just ignore it.
[00:16:31.531 --> 00:16:33.753]  Um, but we'll see.
[00:16:33.753 --> 00:16:35.834]  Secondly, what are they going to do?
[00:16:35.834 --> 00:16:37.856]  Where's it going?
[00:16:37.856 --> 00:16:44.020]  Well, we know for a fact now that they can't ignore it anymore.
[00:16:44.020 --> 00:16:51.866]  I mean, Prison Planet is now, I think, the highest in the rankings it's ever been.
[00:16:51.866 --> 00:16:58.871]  It's just daily, I'm absolutely deluged with information and I can't write enough stories.
[00:16:58.871 --> 00:16:59.311]  You know, I could
[00:17:00.382 --> 00:17:04.065]  If I could sit here and have no sleep, I would just churn them out.
[00:17:04.065 --> 00:17:05.006]  But I can't do that.
[00:17:05.006 --> 00:17:10.971]  But the point is, the information is out there and it can't be ignored.
[00:17:10.971 --> 00:17:12.973]  So, what are they going to do about it?
[00:17:12.973 --> 00:17:17.957]  Well, we've seen people like Tony Blair calling for total restriction of the internet.
[00:17:17.957 --> 00:17:27.185]  And we've put an article out, Paul put an article out from China, detailing what restrictions they have in place.
[00:17:28.095 --> 00:17:36.939]  We've written reports before where we show that what is being called for over here has happened already over there because that's the model.
[00:17:36.939 --> 00:17:40.281]  So that's what I expect to see.
[00:17:40.281 --> 00:17:45.784]  The only way they can stop the information is to literally just restrict it.
[00:17:46.460 --> 00:17:47.001]  Stay there.
[00:17:47.001 --> 00:17:49.344]  Let's do one more segment with Steve Watson.
[00:17:49.344 --> 00:17:55.832]  Then we'll start the second hour, get into Congress's 14% approval rating, and take your calls at 1-800-259-9231.
[00:17:55.832 --> 00:17:59.076]  I'm Alex Jones.
[00:17:59.076 --> 00:18:03.181]  We're talking to Steve Watson of Infowars.net and PrisonPlanet.com.
[00:18:10.501 --> 00:18:11.161]  It's here.
[00:18:11.161 --> 00:18:16.305]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:18:16.305 --> 00:18:24.650]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:18:24.650 --> 00:18:31.654]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:18:32.074 --> 00:18:43.832]  TerrorStorm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:18:43.832 --> 00:18:47.298]  TerrorStorm is the definitive guide to the history of government-sponsored terrorism.
[00:18:47.778 --> 00:18:50.041]  It's an anthology of government crimes.
[00:18:50.041 --> 00:18:54.505]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:18:54.505 --> 00:19:01.493]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:19:07.563 --> 00:19:10.804]  Are terrorist cells or prime terror targets located near you?
[00:19:10.804 --> 00:19:13.905]  Where are military bases and hazardous waste sites located?
[00:19:13.905 --> 00:19:20.468]  How do you find the best area for solar, average rainfalls, fish contamination advisories, and major transportation routes?
[00:19:20.468 --> 00:19:27.970]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:19:27.970 --> 00:19:32.092]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[00:19:32.352 --> 00:19:38.075]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:19:38.075 --> 00:19:51.382]  Complete with over 3 gigabytes of detailed information on each of the 3,000-plus counties in the U.S., including 550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[00:19:51.382 --> 00:19:55.405]  Get this hard-to-find information by ordering Fruit and Places U.S.A.
[00:19:55.405 --> 00:19:59.687]  now for only $29 plus shipping and handling by calling New Millennium
[00:20:07.212 --> 00:20:09.154]  Hello friends, Alex Jones here.
[00:20:09.154 --> 00:20:13.177]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:20:13.177 --> 00:20:22.263]  An intruder has taken your personal possessions, credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:20:22.263 --> 00:20:27.147]  What's worse is you realize he got it through your front door because you left it unlocked.
[00:20:27.347 --> 00:20:36.712]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[00:20:36.712 --> 00:20:42.675]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[00:20:42.975 --> 00:20:46.136]  Turn your internet on and off with one simple switch.
[00:20:46.136 --> 00:20:49.598]  There's no software to load, and it's so easy to install.
[00:20:49.598 --> 00:20:55.480]  Right now, you can order your NET7 security switch from NET7 Technologies for only $39.95.
[00:20:55.480 --> 00:20:59.001]  For a limited time, receive free shipping with your order.
[00:20:59.001 --> 00:21:01.122]  Visit net7tech.com.
[00:21:01.122 --> 00:21:06.184]  That's NET, the number 7, tech.com, and start protecting yourself today.
[00:21:09.051 --> 00:21:12.272]  I think a parasitic dream will never come back.
[00:21:12.272 --> 00:21:17.495]  It painted my hands and my face blue.
[00:21:17.495 --> 00:21:21.216]  And suddenly the wind blew me away.
[00:21:21.216 --> 00:21:24.998]  And made me fly in the infinite sky.
[00:21:24.998 --> 00:21:25.078]  Fly!
[00:21:43.724 --> 00:21:45.846]  All right, welcome back.
[00:21:45.846 --> 00:21:47.687]  Going to Steve Watson.
[00:21:47.687 --> 00:21:47.907]  Steve?
[00:22:03.576 --> 00:22:05.057]  This shows a major victory.
[00:22:05.057 --> 00:22:07.798]  I mean, for them, we know they're trying to restrict the web.
[00:22:07.798 --> 00:22:08.898]  We know they're trying to tax it.
[00:22:08.898 --> 00:22:12.680]  We know it's for reasons of censorship and because we are hurting them.
[00:22:12.680 --> 00:22:21.864]  But to have Tony Blair and now have Trent Lott come out and say, not only is talk radio running America, but he means alternative, not the neocon.
[00:22:21.864 --> 00:22:28.947]  And to declare that the web's running America and to have all these politicians saying, we've got to shut it down, we've got to do something.
[00:22:28.947 --> 00:22:32.008]  A, this shows that we're really hurting them and that they're now starting to get scared.
[00:22:32.771 --> 00:22:39.955]  But B, I liked it when they had Hubris and thought they were invincible because I knew history and I knew we could beat them and I knew the inroads we were making.
[00:22:39.955 --> 00:22:47.839]  I think now they're actually listening to their technicians and their think tank people that have been warning them for a decade that it's probably already too far gone for them.
[00:22:47.839 --> 00:22:52.781]  But now their counter-strike or their empire strikes back against us.
[00:22:52.781 --> 00:22:58.064]  I'm really worried about it with Tony Blair and Bush and all of them talking about censoring the internet, Democrats talking about it.
[00:22:58.904 --> 00:22:59.304]  Well, I mean,
[00:23:24.597 --> 00:23:36.985]  It's, you know, it's hard to say what's going to happen, but from what we see happening at the moment, we are having major victories and, you know, the information's getting out to more and more people.
[00:23:36.985 --> 00:23:42.228]  More and more people are doing their own research into it off the back of what we put out.
[00:23:42.228 --> 00:23:52.394]  So, like I said before, the only thing that they can do to stop that spread of information is literally to start shutting down avenues where it's being spread, such as the internet.
[00:23:53.340 --> 00:24:14.553]  And if they try and do that, then they're going to face a lot of opposition, so although they are striking back, it's very hard to see that they're going to be able to do that kind of thing, but we have to keep being vigilant and just keep spreading the information as far and wide as we can get it.
[00:24:17.501 --> 00:24:20.449]  But to be clear here, they struck free humanity first.
[00:24:20.449 --> 00:24:21.511]  We began fighting them.
[00:24:21.511 --> 00:24:22.694]  They drew first blood.
[00:24:22.694 --> 00:24:25.802]  But again, they're now... I see it in their eyes, the fear.
[00:24:25.802 --> 00:24:26.925]  They were arrogant a few years ago.
[00:24:27.891 --> 00:24:34.917]  I'm concerned that they're now realizing how much damage we've done to them because now they're actually going to mobilize and get more serious.
[00:24:34.917 --> 00:24:36.158]  So we're in for a fight, folks.
[00:24:36.158 --> 00:24:37.419]  You better understand that.
[00:24:37.419 --> 00:24:40.341]  It's kind of like a boxing match where they've beaten us into a bloody pile.
[00:24:40.341 --> 00:24:44.825]  We rallied, got up, punched them in the chin, knocked them down, but now they're getting back up.
[00:24:44.825 --> 00:24:50.289]  And so you better just get ready to gut up and go in full bore, America, England, worldwide, everybody.
[00:24:50.289 --> 00:24:56.094]  From France to Russia to China to Japan to Nicaragua and El Salvador and Venezuela.
[00:24:56.594 --> 00:25:00.235]  Yeah, you can see that they are bleeding, as you say, because, you know, we're hurting them.
[00:25:22.904 --> 00:25:31.186]  The more we can spread this information around and get it out to more people, then the harder impact we're going to have on them.
[00:25:31.186 --> 00:25:37.787]  In the same vein, the harder they're going to fight back, so it is becoming more intense in that way.
[00:25:37.787 --> 00:25:41.448]  But the more they fight back, the more they show themselves as tyrants.
[00:25:41.448 --> 00:25:44.809]  Alright, Steve Watson looking for that other big report coming up today.
[00:25:44.809 --> 00:25:47.269]  God bless you.
[00:25:47.269 --> 00:25:50.090]  If you would like a copy of this show, come to GCNlive.com
