[00:00:00.000 --> 00:00:17.000]  You there? Yeah. Did you hear the news? Nuh-uh. Um, uh, Gary Webb supposedly killed himself.
[00:06:44.000 --> 00:06:50.000]  Uh, the first time I found out was from an investigator.
[00:06:50.000 --> 00:06:56.000]  They had been stealing money and robbing people, so I went to my lawyer and I told him about it, and he didn't believe me.
[00:06:56.000 --> 00:06:59.000]  So what he told me that I should do is hire an investigator.
[00:06:59.000 --> 00:07:03.000]  So I hired an investigator to start investigating the cops.
[00:07:03.000 --> 00:07:07.000]  And then he came back and he said, hey, these cops have your name.
[00:07:07.000 --> 00:07:11.000]  And I said, they have my name? I, I know they got my name, you know.
[00:07:11.000 --> 00:07:13.000]  They, they chasing me all over town.
[00:07:13.000 --> 00:07:16.000]  And then he said, no, they're the Ricky Ross Task Force.
[00:07:16.000 --> 00:07:20.000]  And then it was like, what the, you know, it was like, just blew me out the water.
[00:07:20.000 --> 00:07:26.000]  Well, hearing the news about Gary, I mean, I mean, do you ever fear for yourself on that level?
[00:07:26.000 --> 00:07:33.000]  Uh, people mention that to me all the time, but I don't really fear death.
[00:07:33.000 --> 00:07:35.000]  Yeah, that's cool.
[00:07:35.000 --> 00:07:43.000]  You know, I feel like I've lived past all my dreams, you know, the things that I wanted out of life.
[00:07:43.000 --> 00:07:48.000]  And, you know, when the time comes, you know, I'm going to accept it.
[00:07:48.000 --> 00:07:50.000]  It's just a part of living.
[00:07:50.000 --> 00:07:55.000]  So I'm not worried about that, and it's, you know, it'll be out of my control anyway.
[00:07:55.000 --> 00:08:02.000]  Yeah, but I mean, besides whether, besides the fact whether you're afraid of dying, I mean, do you ever think that, you know,
[00:08:02.000 --> 00:08:08.000]  I mean, do you think that they're ever worried about, like, what you still know or what you still might say?
[00:08:08.000 --> 00:08:11.000]  Or do you think they don't care about you anymore?
[00:08:11.000 --> 00:08:12.000]  I don't really know.
[00:08:12.000 --> 00:08:14.000]  You know, people mention that to me all the time.
[00:08:14.000 --> 00:08:16.000]  I mean, guys right here, you know, like, man, what are you going to do?
[00:08:16.000 --> 00:08:19.000]  You should leave the country and things of that nature.
[00:08:19.000 --> 00:08:24.000]  But I try not to, I guess I try not to focus on that.
[00:08:24.000 --> 00:08:27.000]  But I know it's possible, you know, I've been beaten up by the cops.
[00:08:27.000 --> 00:08:28.000]  I've been shot at them.
[00:08:28.000 --> 00:08:37.000]  And, you know, I've been through some of the similar situations, and I know that they'll go through basically anything to get who they want.
[00:08:37.000 --> 00:08:38.000]  Yeah.
[00:08:38.000 --> 00:08:46.000]  I mean, you know, even with the way I got arrested on this case, you know, I think they went through a lot to put me back in here when they really didn't need to.
[00:08:46.000 --> 00:08:48.000]  So.
[00:08:48.000 --> 00:08:54.000]  Hey, well, so, hey, well, before the phone disconnects, I mean, like, someone would, um.
[00:08:54.000 --> 00:08:56.000]  That's through a curve in the plan.
[00:08:56.000 --> 00:09:01.000]  It's like, uh, reading from this thing, like, some blame Oliver North, President Ronald Reagan.
[00:09:01.000 --> 00:09:10.000]  Talk about then what, uh, I mean, what do you, what do you think Gary Webb's contribution was then to the black community and to everybody then?
[00:09:10.000 --> 00:09:18.000]  Well, he was kind of like a voice that we had long needed, you know, that would put out what actually happened.
[00:09:18.000 --> 00:09:23.000]  He wasn't, it seemed like Gary wasn't afraid, you know, he wasn't afraid of losing his job.
[00:09:23.000 --> 00:09:29.000]  He wasn't afraid of putting his life on the line, because there was another guy, uh, uh, who had did some reporting.
[00:09:29.000 --> 00:09:30.000]  He came up dead.
[00:09:30.000 --> 00:09:32.000]  I think he came up dead in a car accident.
[00:09:32.000 --> 00:09:36.000]  So Gary was, from what I felt, that Gary wasn't afraid.
[00:09:36.000 --> 00:09:45.000]  I mean, even with the prosecutor and the DA agent, you know, he even fronted them head on in the hallway one day, you know, and was telling them.
[00:09:45.000 --> 00:09:48.000]  And they were saying, well, why are you printing this story?
[00:09:48.000 --> 00:09:51.000]  And he was like, well, why are you guys using this guy?
[00:09:51.000 --> 00:09:58.000]  You know, this guy's one of the dirtiest guys in the world and all the stuff that he's been through, and I want to talk to him and I want to talk to you guys about him.
[00:09:58.000 --> 00:10:01.000]  So he wasn't afraid to go head to head with you.
[00:10:01.000 --> 00:10:02.000]  Right.
[00:10:02.000 --> 00:10:06.000]  You know, and to me, you know, that means a lot.
[00:10:06.000 --> 00:10:11.000]  Well, what do you think Gary's contribution was in terms of, like, fighting the drug war?
[00:10:11.000 --> 00:10:13.000]  Well, he did a lot of exposure.
[00:10:13.000 --> 00:10:17.000]  He let people know what's going on with it.
[00:10:17.000 --> 00:10:28.000]  The real ins and outs, you know, don't let them brainwash you to think that the government is against drugs all the way when they're not.
[00:10:28.000 --> 00:10:30.000]  They're sanctioning it for some people.
[00:10:30.000 --> 00:10:36.000]  You know, they're letting the big fish basically do what they want to do, and then they're locking up all the little fish.
[00:10:36.000 --> 00:10:45.000]  Because, you know, he printed in his stories, he talked about how the young black kids are getting for an ounce of cocaine, they're getting ten years in prison.
[00:10:45.000 --> 00:10:50.000]  And then here's this guy, Danilo Blandone, who's been working with the government all his life.
[00:10:50.000 --> 00:10:54.000]  He gets caught with 10,000 keys, and he walks away with 28 months in prison.
[00:10:54.000 --> 00:10:59.000]  So he's showing them that the system is not just, that it wasn't fair.
[00:10:59.000 --> 00:11:04.000]  I mean, he's a hero in the jailhouse, all these guys in here.
[00:11:04.000 --> 00:11:06.000]  Everybody in here thinks that he's a hero.
[00:11:06.000 --> 00:11:10.000]  Yeah, because there's going to be some sad guys here that don't know him.
[00:11:10.000 --> 00:11:12.000]  Because they read his book in here all the time.
[00:11:12.000 --> 00:11:15.000]  How many copies of that book do you think sold?
[00:11:15.000 --> 00:11:17.000]  I'm not for sure. I think a few hundred thousand.
[00:11:17.000 --> 00:11:21.000]  Yeah, so it wasn't like a big hit, but it was pretty popular then, huh?
[00:11:21.000 --> 00:11:26.000]  Yeah. Well, I don't think that it was really publicized either the way it could have been.
[00:11:26.000 --> 00:11:28.000]  To make it a better seller.
[00:11:28.000 --> 00:11:35.000]  And I guess, supposedly, Chico was telling me that some big producer in L.A. had tried to get the rights to it or something.
[00:11:35.000 --> 00:11:39.000]  I know there's some other story he told me, this is changing the channel real quick.
[00:11:39.000 --> 00:11:47.000]  Was there somebody at some point that was wanting to do a film about your story?
[00:11:47.000 --> 00:11:51.000]  And then the government came in and screwed with them?
[00:11:51.000 --> 00:11:59.000]  Well, you know what? Me and Gary had went in, we were talking to an agent about doing a movie with Touchstone.
[00:11:59.000 --> 00:12:04.000]  And they raided the agent's office and everything. Yeah, they did that.
[00:12:04.000 --> 00:12:11.000]  So what would be the reason for doing that, thinking that you may have told them some stories or given them some information?
[00:12:11.000 --> 00:12:17.000]  I don't know, because it was in the beginning stages. They had just sent out contracts and offers and stuff.
[00:12:17.000 --> 00:12:23.000]  So I don't know what exactly they had thought that they were going to get from raiding a guy's office.
[00:12:23.000 --> 00:12:28.000]  I just know that they did, they talked about it in court, that they had went in his office and raided it and stuff.
[00:12:28.000 --> 00:12:30.000]  I think it's about to cut off.
[00:12:30.000 --> 00:12:31.000]  Yep.
