[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting world-wide, it's Alex Jones.
[09:48.000 --> 10:00.000]  Obama set up the fall of Ukraine overthrowing it and triggered the Russians having to come in to take control of the area they've had for 500 years where Russia was founded in the area of eastern Ukraine.
[10:00.000 --> 10:07.000]  All of this is now accelerating as the economy comes back, as sovereignty comes back, as political correctness begins to get its back broken.
[10:07.000 --> 10:16.000]  It had to happen because we were going into the endgame of globalism, breaking up families, bankrupting people, making people poor, taking full control.
[10:16.000 --> 10:25.000]  Now from a Machiavellian view, you could say this was all set up and sold to the world to make China and all these other countries think they'd be part of the world government and dominate the U.S.
[10:25.000 --> 10:34.000]  But really it was a globalist corporate plan to infiltrate them for their final take down. That's not what was really being planned.
[10:34.000 --> 10:39.000]  The globalists were double-crossing us, moving everything to China. China was breaking all its agreements about military expansion.
[10:39.000 --> 10:45.000]  They were supposed to get the Panama Canal, all the Deepwater ports, all the major trade, 98% of the rare earth minerals.
[10:45.000 --> 10:50.000]  They were to dominate that, kind of the globalist rollerball model of the interconnected, interdependent world.
[10:50.000 --> 10:57.000]  The U.S. was to be this big global military police power, but deindustrialized. These were all mainline CFR agreements.
[10:57.000 --> 11:06.000]  But we were betrayed at every point by the authoritarian EU, that's the new Soviet Union, by the communist Chinese who are the biggest mass murders in history.
[11:06.000 --> 11:18.000]  Hollywood sold out to them because the left has a hatred for America and a hatred for Christians and a hatred for the West because they want to dominate it because it's more powerful and more beautiful than they are with their sick demonic culture of globalism.
[11:18.000 --> 11:32.000]  And so they openly want to destroy that, so that sickness inside globalism kept sabotaging even the better aims of globalism because it was always sabotaging the West that was the progenitor and the fount of all their great success.
[11:32.000 --> 11:48.000]  So that's been recognized, the cancer of the leftist Saul Olensky communist globalism founded by the big foundations, funded by the Rockefellers and others, and their beef with Christianity and their beef with the West and their beef wanting to dominate it, subvert it and control it.
[11:48.000 --> 12:02.000]  As an act of dominance because the West is so much open, so beautiful, so great, so productive, they can't compete with an open free market society. They are monopoly men, as John D. Rockefeller the first said, and competition is a sin.
[12:02.000 --> 12:10.000]  So I'm going to show you amazing photos and amazing articles here for a few minutes that will totally and absolutely blow you away. We're checking out of this hotel right now.
[12:10.000 --> 12:23.000]  Was that the car getting here? Okay, tell them we'll be there. And so I'm going to finish this up real quick, but more is coming tonight. I know it's already, you know, eight, nine o'clock at night, you know, in the United States.
[12:23.000 --> 12:32.000]  I'm out here in the Pacific Ocean with my family, but I'm working the whole time because history is happening. But let's go ahead and go to this right now.
[12:32.000 --> 12:44.000]  Now, a picture tells a trillion words. The media is trying to spin this to make it look like, oh, Trump made them come to him and oh, Merkel tweeted this. This is the EU globalist.
[12:44.000 --> 12:58.000]  Their bureaucracy is unelected, allied with the Vatican, allied with radical Islam, invading Europe as their open plan, lined up against Japan, South Korea, leaders from Eastern Europe over here,
[12:58.000 --> 13:07.000]  and Trump. And Trump's there with his arms crossed saying, I don't care what you say, you invaded Ukraine, you overthrew Ukraine,
[13:07.000 --> 13:17.000]  but you made the Russians come into Eastern Ukraine, an area that they've controlled for 500 years. That's where Russia was founded. That's your fault. Things wouldn't have happened like this if I would have been president.
[13:17.000 --> 13:23.000]  And it shows how these people were set up by the globalist in the United States after World War II with the Marshall Plan.
[13:23.000 --> 13:30.000]  They were totally under U.S. control, but then we had our power, our money, our infrastructure transferred to them. We've been paying for Europe for 65 years.
[13:30.000 --> 13:41.000]  They were set up as the socialist globalist utopia, supposedly to be our example, paid for by the robber barons that had full control of their nations when we took control of it with the Marshall Plan.
[13:41.000 --> 13:53.000]  The Soros is called for Marshall Plan for Europe again. Trillions of dollars through him after he triggered the fall of the elected president of Ukraine, which he bragged about on Fareed Zakaria's program on CNN.
[13:53.000 --> 14:00.000]  So there it is. They're all basically on their knees to the king, and the media is calling him the king. Time magazine is coming out.
[14:00.000 --> 14:10.000]  He's not a king in that he's not elected. He's a king in that he is the final breath and maybe a new breath, a new lease on life for the West, if we accept it and take it.
[14:10.000 --> 14:17.000]  Using the real power, the real influence the U.S. had before it was fully transferred to the communist Chinese and destroyed.
[14:17.000 --> 14:25.000]  So Trump is grabbing, with the liberty movement, victory from the jaws of defeat, and all of you that are against America, all of you that hate flyover country,
[14:25.000 --> 14:32.000]  Bill Maher last night saying he hopes America falls apart and goes bankrupt. He actually said that. He says he hopes the economy crashes to stop this,
[14:32.000 --> 14:40.000]  because these are all sympathizers and globalists hired and brought in and put in place to go along with the collaboration. You have to hate America to be part of this.
[14:40.000 --> 14:47.000]  Why should we sell out America? Why should we implode it? Why should we turn it over to the communist Chinese all because they work with the Rockefellers?
[14:47.000 --> 14:55.000]  In 1949, our government put him in power. That's all declassified. So here's some of the other articles. Here's Drudge Report.
[14:55.000 --> 15:04.000]  Soros. Everything has gone wrong. He says he's living in his own bubble. That's right. You're living in your own bubble.
[15:04.000 --> 15:11.000]  You thought you'd have a global corporate private government. He's a major Rothschild agent, and that you'd loot all these countries through oligarchs you controlled,
[15:11.000 --> 15:19.000]  and that you'd always be tax exempt, and you'd be above the law, and you'd have diplomatic immunity, and then your son would be on TV at Alistair Crowley Rituals.
[15:19.000 --> 15:26.000]  Half the Google images are in Alistair Crowley Rituals, and you'd be involved in all this horrible crap and funding cop killing and funding racism,
[15:26.000 --> 15:33.000]  and you'd bully me and sue me and shut us all up, and you'd bully Hungary and you'd bully Poland and you'd bully everywhere, every election.
[15:33.000 --> 15:41.000]  From Italy to you name it, they're overthrowing you. They're turning against you. You thought you'd march in 10 million Islamic age men the last six years,
[15:41.000 --> 15:46.000]  and then march in 20 million after that and let them rape and kill and say it's okay and use political correctness.
[15:46.000 --> 15:49.000]  You may have some of the Stockholm syndrome people going along with it.
[15:49.000 --> 15:57.000]  Alright, that's Alex Jones breaking it all down again. Trump standing up for America to the globalist. You've seen the famous memes. It's glorious.
[15:57.000 --> 15:59.000]  We'll be right back with Alex Jones.
[15:59.000 --> 16:05.000]  You know, if I tried to sit here and tell you about the 60 plus products, we haven't in Fuller's life. It'd take hours.
[16:05.000 --> 16:14.000]  Michael ZX Plus now has a lower price. It's stronger. It's the other equation in probiotics. It knocks out the yeast, the mold, the candida.
[16:14.000 --> 16:22.000]  It's back in stock. The real red pill, it's been sold out for months. It's got the preglonone. That's the precursor to all the natural hormones in your body.
[16:22.000 --> 16:26.000]  Then it's got all the minerals and the vitamins and amino acids. So you can upload it.
[16:26.000 --> 16:35.000]  Our latest product that goes great with the super blue colloidal silver and iodine fortified toothpaste is super blue silver immune gargle.
[16:35.000 --> 16:43.000]  That's a spray you do. You can also swallow it. It's a supplement with iodine, super high quality silver and a lot more.
[16:43.000 --> 16:51.000]  Without you, we couldn't do it. So thank you all for remembering infowarstore.com and remembering that it's not just you that's already awake,
[16:51.000 --> 16:54.000]  but it's other people that aren't awake and it's so essential to spread the word.
[16:54.000 --> 16:58.000]  Again, thank you so much for being part of the Second American Revolution.
[17:01.000 --> 17:08.000]  This is the last week to get free shipping on all of our best selling items at infowarstore.com.
[17:08.000 --> 17:18.000]  We also have some of the biggest sales in our history on super high quality supplements and other products at infowarstore.com as well as infowarslife.com.
[17:18.000 --> 17:27.000]  Body's ultimate turmeric formula has the strongest curcuminin level of any other brand you're going to find out there at 95%.
[17:27.000 --> 17:31.000]  Leading competitors have a curcuminin level of 3%.
[17:31.000 --> 17:40.000]  From there, we've got dozens and dozens and dozens of other game-changing products that you and your family will absolutely love and will help support the broadcast.
[17:40.000 --> 18:02.000]  It is critical that you go to infowarstore.com and look at some of those items for yourself, whether it's water filtration, air filtration, non-GMO heirloom seeds, X2, it's all there at infowarstore.com or infowarslife.com.
[18:02.000 --> 18:12.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[18:12.000 --> 18:23.000]  Based off hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and wake up America Patriot Blend coffee.
[18:23.000 --> 18:34.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean. Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:34.000 --> 18:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:49.000]  You can even choose to start your morning healthier with the immune support blend infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 19:00.000]  It's time to take care of your morning routine. Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:19.000 --> 19:37.000]  I'm on the X2 SuperMail Vitality Decay Man, the real Red Pill, Micro ZX Body, it's all amazing.
[19:37.000 --> 19:50.000]  Yeah, and I wanted to say that by following you so much, it's like you're just detoxing the mind, you're detoxing the body, you're detoxing the spirit, and it's just the more you know God, the more you fear God, but the more you chase God.
[19:50.000 --> 20:11.000]  And I wanted to say that it's an honor to stand side by side with you, the crew, and the listeners out there, 1776 worldwide.
[20:20.000 --> 20:42.000]  From the front lines of the Information War, it's Alex Jones.
[20:42.000 --> 20:50.000]  All right, and we're going back to Alex Jones, who's breaking down the latest from the G7 Summit.
[21:12.000 --> 21:16.000]  One magnificent photo sums up Donald Trump's G7 visit.
[21:16.000 --> 21:25.000]  They try to spin it like this shows Trump is weak. No, in negotiation, they have no cards. They're bankrupt. They're a joke. We're in the best political position, the best in composition.
[21:25.000 --> 21:36.000]  They were planning on dictating like the unelected head of EU Yunker, the Nazi air said, I'll destroy Trump in one year. The Communist Chinese president a year and a half ago went to Davos and said, I will defeat America with you.
[21:36.000 --> 21:38.000]  They all signed on.
[21:38.000 --> 21:49.000]  So this is the alignment of power. Communist China, with all of our industry and jobs moved there by globalist design, they all brag about the Chinese century is over for America for 50 years.
[21:49.000 --> 22:04.000]  China, a billion, 800 million radical Islamists, the EU, unelected bureaucracy, Hollywood and the big banks, but none of that means anything when populations know you're authoritarian frauds.
[22:04.000 --> 22:11.000]  So there it all is, ladies and gentlemen, and that's up on Real Alex Jones on Twitter. Please retweet that image.
[22:11.000 --> 22:22.000]  This image tells everybody what they should know, understand what's happening to Soros, understand that they understand that, yes, we are the rise of anti-establishment.
[22:22.000 --> 22:35.000]  You know what's scaring them in Italy and Brazil? They have coalition governments forming of liberals and conservatives against Soros, against globalism, against foreign banks, against these foreign outside groups running our lives.
[22:35.000 --> 22:45.000]  It is simply over the top that this is happening. People get, wait, foreign megabanks that don't pay taxes are telling me about women's issues and telling me about gay rights.
[22:45.000 --> 22:52.000]  And while they bring in radical Muslims that throw us off buildings, wait, wait, the economy's coming back and how did Trump do this?
[22:52.000 --> 23:01.000]  Because there were artificial systems meant to make us poor, to control us, study feudalism, search that term. Well, this is neo feudalism.
[23:01.000 --> 23:08.000]  This is neo feudalism. This is a new system in their own words of the ancient system.
[23:08.000 --> 23:16.000]  As Soros says, he recently minted the rise of President Trump, the anti-established parties across the globe, saying everything that could go wrong has gone wrong.
[23:16.000 --> 23:20.000]  Soros made the comment and interviewed the Washington Post.
[23:20.000 --> 23:32.000]  This is a guy that overthrew more than 15 countries, looted their treasuries. He was known as a total criminal to the 90s, and then he spent billions in PR about what a great, wonderful person he is.
[23:32.000 --> 23:45.000]  Look, hey Trump, what magic wand do you have to get us past a 3% growth rate? High unemployment, gone, record low unemployment, bad trade deals, gone.
[23:45.000 --> 23:53.000]  Paris Climate Accord, total fraud, one-sided for the West, gone. High taxes, regulations massively cut. Obama's legacy, boom, boom.
[23:53.000 --> 24:01.000]  And for the next act, Hillary levitated into prison. Hillary for prison. Who launched that program? Yours truly.
[24:01.000 --> 24:14.000]  So people ask, how are we doing this? It's a want for freedom and a renaissance. And it's in corporations, it's in private individuals, it's in churches, it's in families of every race, color, and creed.
[24:14.000 --> 24:26.000]  It beats in the human breast the desire. And it is in U.S. intelligence agencies and British intelligence agencies and foreign intelligence agencies, not at the top, but at every other level that know the truth.
[24:26.000 --> 24:31.000]  The globalists thought they'd use the Internet to control us and track us, and they got great power and made trillions off of it.
[24:31.000 --> 24:39.000]  But we woke up in the process, and humanity has bigger plans than the Rockefellers, and all these people that are already dead and are in the ash pit of history.
[24:39.000 --> 24:47.000]  Their whole program thought we were such country bumpkins that we couldn't grasp big multinational systems ruling our lives from afar through different layers of bureaucracy.
[24:47.000 --> 24:55.000]  We had 1776 over a faraway king, and fake courts ruling over us. America's instincts are against this.
[24:55.000 --> 25:01.000]  And that's all I am is America's instinct coming back. And you look at that photo of Trump.
[25:01.000 --> 25:07.000]  He left, he was there a day and a half, he left just hours ago, and he said, trade war with all of you that have one-sided deals.
[25:07.000 --> 25:14.000]  He said, you say we're putting in tariffs? Canada, you've got massive tariffs. Germany, you've got double the tariffs. France, you've got tariffs.
[25:14.000 --> 25:20.000]  You cut those tariffs by half, or we're going to have a trade war. Oh my God, you can't do that. We have no tariffs.
[25:20.000 --> 25:27.000]  They have a tariff. If it's a $30,000 car we sell, it's $60,000 when it translates to euros. Same as the dollar.
[25:27.000 --> 25:34.000]  The euro's a little bit below the dollar. I mean, it's double. We don't put any damn tariffs on it.
[25:34.000 --> 25:39.000]  Germany puts emission standards that the EU does that we can't even follow, and then they don't follow them themselves.
[25:39.000 --> 25:44.000]  It's all called a screw job. China's got dozens of ghost cities that millions of people could live in.
[25:44.000 --> 25:50.000]  They're just building giant highways and maglev rails everywhere off our money, off the $900 billion.
[25:50.000 --> 26:03.000]  And Fareed Zakaria goes on. Bill Maher goes, Trump just hates Chinese people. No, he hates communist ally with our globalist controllers screwing us over.
[26:03.000 --> 26:10.000]  And that's all these guys have got. Parlang, America in 1955, had half the world's wealth and was 4% of the world's population.
[26:10.000 --> 26:19.000]  96% had the other half. People go, oh my God, redistributed. We could have distributed our ideas of capitalism to them, the better sections of it,
[26:19.000 --> 26:26.000]  and freed everything, and even lowered population. That's in the world population report the UN put out. In 49, they knew all this.
[26:26.000 --> 26:34.000]  But they decided on this path to exploit the third world, balloon giant populations, then turn them as leftist ideology against the West,
[26:34.000 --> 26:42.000]  and in reverse colonization bring down the West, but have globalist corporations above the law separate from those corporations and separate from those systems above the law.
[26:42.000 --> 26:52.000]  And Trump is destroying it all with precision, with the patriots backing him and the original global plan of 1776 worldwide.
[26:52.000 --> 26:59.000]  But to lead that plan, America has to come back to dominance. We have to come back as an example of telling the truth where people can trust us.
[26:59.000 --> 27:06.000]  Suddenly everybody wants to do deals with us again, because we're not treacherous, and then we could export our ideas and our technology and all the stuff we've suppressed.
[27:06.000 --> 27:12.000]  Because the globalists have been holding back. They didn't give China one-tenth of what we got. I mean, America is the place.
[27:12.000 --> 27:20.000]  It's divine right, ladies and gentlemen. It's real. It's providence. It is manifest destiny. And Info Wars is part of that manifest destiny,
[27:20.000 --> 27:25.000]  that I would start Info Wars, that I would come out of Texas, that I would do all this without any people behind me or anything.
[27:25.000 --> 27:31.000]  But now it's all synced up, like they say on Bill Maher. I'm synced up with Trump because they are freaked out,
[27:31.000 --> 27:37.000]  because I can tell you what Trump's going to say before he says it, because it's all part of a mission that's next level.
[27:37.000 --> 27:44.000]  We don't have to write it down. We don't have to do anything. It's already there. The Japanese and the Koreans, South Koreans, everybody else,
[27:44.000 --> 27:53.000]  to line up against Trump. And when all the globalists in the EU and the Communist Chinese came over in that photo, they've already drawn the battle lines.
[27:53.000 --> 27:59.000]  They already know the truth. Here it is. The battle lines are drawn, ladies and gentlemen.
[27:59.000 --> 28:08.000]  The battle lines are drawn with Eastern Europe, the Japanese, the South Koreans, everybody with Trump in the United States,
[28:08.000 --> 28:13.000]  with the unelected EU and the Chinese Chinese. There's wider videos of Chinese communists.
[28:13.000 --> 28:20.000]  Anyways, it's all there. And the battle lines are drawn, ladies and gentlemen, and people are going to decide what side they're on.
[28:20.000 --> 28:27.000]  All we want is fairness. All we want is free market. All we want is an open society and not to be overthrown by the guy that calls his group,
[28:27.000 --> 28:31.000]  the open society, because it's the opposite. Soros is a devil. Whatever he says, it's the opposite.
[28:31.000 --> 28:37.000]  Ladies and gentlemen, that's it for this live transmission. Trump is delivering. He's representing America.
[28:37.000 --> 28:42.000]  But by doing that, it's killing the big global parasite. It's set up as an end goal.
[28:42.000 --> 28:49.000]  Okay, of course, that's not it for the live Sunday show here. That was Alex recording live earlier, breaking the G7 down.
[28:49.000 --> 28:55.000]  We'll be right back on the other side where Alex breaks down the information that he's been receiving on Anthony Bourdain.
[28:55.000 --> 29:20.000]  You're not going to want to miss this.
[29:26.000 --> 29:32.000]  If you don't know what it's done for me and so many others for stamina, focus, libido, it does so many things.
[29:32.000 --> 29:38.000]  X2, even though we're having trouble sourcing the deep earth crystals of the good halogen iodine,
[29:38.000 --> 29:45.000]  I am blowing out the stockpile of it we have at least for another few days at 50% off.
[29:45.000 --> 29:49.000]  And then after that, it's going to go back to full price until we secure more of it.
[29:49.000 --> 29:59.000]  M4WarsLife.com, M4Store.com, or AAA-253-3139. And thank you all for helping fund the Second American Global Revolution.
[30:20.000 --> 30:26.000]  And that's why you've been on the team supporting us, praying for us and spreading the word. You are the M4Wars.
[30:26.000 --> 30:35.000]  And now because of their intensifying censorship, it's more important than ever that everyone go to M4Wars.com forward slash newsletter and sign up via email.
[30:35.000 --> 30:42.000]  So there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[30:42.000 --> 30:50.000]  So now I ask you more than ever to share the M4Wars.com articles, to share the videos, to tell people by the local stations you're listening to.
[30:50.000 --> 30:57.000]  The bare minimum you can do is sign up for the free newsletter at M4Wars.com forward slash newsletter.
[30:57.000 --> 31:00.000]  We are the Renaissance and we are winning.
[31:00.000 --> 31:04.000]  Guaranteeing your food independence is a crucial part of prepping.
[31:04.000 --> 31:11.000]  Between debt crisis, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[31:11.000 --> 31:18.000]  With M4Wars life-selects storable food, you can make sure you and your family are ready for any emergency.
[31:18.000 --> 31:28.000]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[31:28.000 --> 31:35.000]  Including meals such as traveler's stew, homestyle potato soup, and a variety of other meals for breakfast, lunch, and dinner.
[31:35.000 --> 31:40.000]  M4Wars life-selects storable food will help you eat comfortably in a time of need.
[31:40.000 --> 31:42.000]  They even work great for camping.
[31:42.000 --> 31:49.000]  Simply pack a 72-hour kit to go and you have easy to cook and transport food for you and your loved one's trip.
[31:49.000 --> 31:51.000]  Don't be caught surprised by an emergency.
[31:51.000 --> 31:59.000]  Make sure you're stocked up today with all the food you need for an affordable price with M4Wars life-selects storable foods.
[31:59.000 --> 32:03.000]  M4Wars life is bringing you a breakthrough in modern medicine.
[32:03.000 --> 32:11.000]  Introducing pollen block. We have found an extraordinary new, natural way to alleviate seasonal distress symptoms including
[32:11.000 --> 32:17.000]  promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[32:17.000 --> 32:26.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[32:26.000 --> 32:34.000]  They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet
[32:34.000 --> 32:37.000]  that helps alleviate seasonal distress symptoms.
[32:37.000 --> 32:41.000]  Pollen block is natural and effective. It is not an antihistamine.
[32:41.000 --> 32:46.000]  In fact, current research has found that it actually acts by blocking the activity of triptase,
[32:46.000 --> 32:51.000]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[32:51.000 --> 32:54.000]  Go outside and enjoy the air you breathe.
[32:54.000 --> 33:00.000]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[33:25.000 --> 33:29.000]  If you are receiving this transmission, you are the resistance.
[33:37.000 --> 33:49.000]  This gentleman Alex Jones here live broadcasting from my hotel room with an emergency transmission update that is absolutely critical.
[33:49.000 --> 33:56.000]  Now, I want to be clear. I got up because I'm here in Hawaii at about 4 a.m.
[33:56.000 --> 34:07.000]  and I noticed that an army source of mine had sent me a link that Anthony Bordeaux had just died
[34:07.000 --> 34:14.000]  and that they were saying it was a suicide out of the gates and that that was suspicious when they say something's a suicide when it's first announced.
[34:14.000 --> 34:19.000]  They always say police are looking into it, at least for a day or so, and then you hear suicide.
