[00:00:04.375 --> 00:00:05.997]  Here we are.
[00:04:18.502 --> 00:04:26.728]  The head of Pfizer, Fauci, Gates, all of them aren't laughing anymore because it's blown up in their face.
[00:04:26.728 --> 00:04:29.450]  They knew there'd be opposition, but not at the level they thought.
[00:04:29.450 --> 00:04:29.831]  Now listen.
[00:04:31.098 --> 00:04:34.259]  I just did a 40-minute interview, commercial-free, with General Flynn.
[00:04:34.259 --> 00:04:37.720]  It'll be posted in the next few hours at Bandot Video.
[00:04:37.720 --> 00:04:46.483]  We've got excerpts coming up, though, this hour, where he warns of imminent false flag in America to bring in martial law against the American people and a civil emergency.
[00:04:46.483 --> 00:04:48.104]  This is serious business.
[00:04:48.104 --> 00:04:50.705]  Tomorrow's news today, my Paul Reveres.
[00:04:50.705 --> 00:04:53.125]  So here's your mission, if you choose to accept it.
[00:04:53.125 --> 00:04:57.367]  Take the live feeds at Bandot Video and InfoWars.com and share them now!
[00:05:01.468 --> 00:05:10.656]  Nootropics is a fancy way of saying brain pill, and it is the fastest growing market in supplements in the world, for good reason.
[00:05:10.656 --> 00:05:17.983]  There are a lot of amazing compounds out there, some healthy, some not, that do incredible things in our brains.
[00:05:17.983 --> 00:05:27.352]  And we've tried them all, we've researched them all, and we will not sell you anything that is linked to any problems or any type of toxicity or any type of extreme hangovers.
[00:05:27.972 --> 00:05:32.794]  I mean, because I'm not saying some of our brain products, you won't have a little bit of a letdown once you take them, but that would just be a lie.
[00:05:32.794 --> 00:05:37.216]  But these are very, very clean with compounds that God gave us that are good for you.
[00:05:37.216 --> 00:05:44.739]  And one of our best sellers is back in stock, Brain Force Plus, a good, clean nootropic, a good, clean brain pill.
[00:05:44.739 --> 00:05:46.740]  You can find something stronger, but it's not good for you.
[00:05:46.740 --> 00:05:48.781]  This is a high quality system.
[00:05:48.781 --> 00:05:50.862]  It's available at InfoWareStore.com.
[00:05:50.862 --> 00:05:53.603]  It's sold out for a long time at 40% off.
[00:05:53.603 --> 00:05:57.405]  So get your Brain Force Plus today at InfoWareStore.com and help keep us on air.
[00:05:57.705 --> 00:06:02.808]  Thank you so much, and I'll see you out there.
[00:06:02.808 --> 00:06:04.509]  Big Brother.
[00:06:04.509 --> 00:06:06.831]  Mainstream media.
[00:06:06.831 --> 00:06:08.612]  Government cover-ups.
[00:06:08.612 --> 00:06:10.673]  You want to stop tyranny?
[00:06:10.673 --> 00:06:12.835]  Well, so does he.
[00:06:12.835 --> 00:06:20.880]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:20.880 --> 00:06:22.441]  Well, Canada is now
[00:06:24.758 --> 00:06:45.208]  The epicenter of human awakening and human resistance as millions of people take to the streets to cheer on a convoy estimated between 700,000 and a million truckers now beginning to enter the capital of the once great nation of Canada now under Davos Group command.
[00:06:46.178 --> 00:06:54.885]  Now under Bilderberg Group command, Klaus Schwab brags on TV that he has penetrated Canada and now has the cabinet under his control.
[00:06:54.885 --> 00:06:58.288]  These aren't James Bond villains in a movie.
[00:06:58.288 --> 00:07:02.931]  These are James Bond villains for real.
[00:07:02.931 --> 00:07:09.657]  And they're normalizing their corporate world government dictatorship, but China's turning against the New World Order.
[00:07:09.657 --> 00:07:10.738]  Doesn't mean China's good.
[00:07:12.165 --> 00:07:14.727]  Russia's turning against the New World Order.
[00:07:14.727 --> 00:07:16.408]  The American people have turned against it.
[00:07:16.408 --> 00:07:19.230]  We don't want the corporate world government.
[00:07:19.230 --> 00:07:21.452]  We say no.
[00:07:21.452 --> 00:07:25.494]  Now, I'm going to come in here tomorrow and I'm going to do a live show.
[00:07:25.494 --> 00:07:34.080]  We usually do tape to air on Saturday where I'll tape an hour, two, three, four hours in the early morning or afternoon and then we'll air it in the afternoon or evening.
[00:07:34.080 --> 00:07:40.225]  I'm going to come in tomorrow and we're going to go live at 2 p.m.
[00:07:40.225 --> 00:07:40.545]  Central.
[00:07:42.245 --> 00:07:42.645]  2 p.m.
[00:07:42.645 --> 00:07:58.390]  Central for at least two hours, commercial-free, to take calls and to play clips of people in Ottawa and in this historic event, and also chronicle all the other resistance movements that are peacefully standing up and taking action across the world.
[00:07:58.390 --> 00:07:59.510]  So, 2 p.m.
[00:07:59.510 --> 00:08:01.051]  Central, 3 p.m.
[00:08:01.051 --> 00:08:03.251]  Eastern, 1 p.m.
[00:08:03.251 --> 00:08:06.172]  Mountain, noon Pacific.
[00:08:06.172 --> 00:08:11.294]  And I want everybody to know that link will be at the front page of InfoWars.com.
[00:08:12.689 --> 00:08:25.880]  And this is not a spectator sport, this is a full contact sport in the info war to get off the bench and to share that link and cause a chain reaction tomorrow and tell those that you share it to for them to share it and tell them to share it and them to share it.
[00:08:25.880 --> 00:08:27.421]  And will we save the world tomorrow?
[00:08:27.421 --> 00:08:31.525]  No, but together, every little bit we do will.
[00:08:31.525 --> 00:08:33.466]  And we're so close, you know.
[00:08:33.466 --> 00:08:36.489]  It is a bizarre, very surreal thing
[00:08:38.041 --> 00:08:53.251]  To now see the true talking points against the globalists and the Great Reset coming out of senators and congressmen and governors' mouths and all the big top podcast hosts and the top Fox hosts everywhere.
[00:08:53.251 --> 00:08:55.793]  We have done it, ladies and gentlemen.
[00:08:55.793 --> 00:09:00.556]  Infowars, that is you the audience of activists and our guests and this whole family.
[00:09:02.748 --> 00:09:14.057]  Have successfully launched a worldwide resistance to the globalists by being aware of them and understanding that submission to their program is death, resistance to their program is life.
[00:09:14.057 --> 00:09:24.905]  We still have important work to do into the future, but I must tell you that we should at a minimum see this as a milestone
[00:09:26.866 --> 00:09:38.355]  Of how far we have come together and that things will be much, much worse if you hadn't been there doggedly over the years praying for this broadcast and spreading the articles and videos and praying for us.
[00:09:38.355 --> 00:09:42.078]  So I want you to sink in and I want you to get chills.
[00:09:42.078 --> 00:09:44.480]  You are the tip of the spear.
[00:09:44.480 --> 00:09:46.121]  You are the sword of truth.
[00:09:46.121 --> 00:09:49.023]  You are the resistance to this evil.
[00:09:49.023 --> 00:09:52.246]  And God loves you and sees you and appreciates you.
[00:09:53.177 --> 00:10:01.420]  So as we feel the enemy's will thrown against us, and as we experience all the spiritual death and pain they're creating, that's their weapon.
[00:10:01.420 --> 00:10:04.001]  Because we care, we have souls, we feel it.
[00:10:04.001 --> 00:10:16.626]  And as they throw all this at us, know that God will take that evil energy and will translate it and will transform it and will use it for good and that that is
[00:10:17.608 --> 00:10:19.089]  God's great mysteries.
[00:10:19.089 --> 00:10:21.631]  And that is how the Lord works mysterious ways.
[00:10:21.631 --> 00:10:24.694]  So you're not going to defeat the New World Order by yourself.
[00:10:24.694 --> 00:10:27.196]  You're going to do it through God in you.
[00:10:27.196 --> 00:10:34.883]  And when I say that to you, I say that to myself because knowing all this is extremely painful.
[00:10:34.883 --> 00:10:42.009]  And I know why a lot of people just go into denial and just go into distractions and diversions because it is very hard
[00:10:43.308 --> 00:10:46.270]  To really face up to the fact that there's this much evil on the planet.
[00:10:46.270 --> 00:10:51.153]  Now, let me issue an emergency warning right now.
[00:10:51.153 --> 00:10:55.156]  Obviously, we walked into a trap on January 6th.
[00:10:55.156 --> 00:10:58.979]  We had been to so many big Trump rallies around the country with almost no violence.
[00:10:58.979 --> 00:11:01.841]  Always, if there was violence, it was the other side.
[00:11:01.841 --> 00:11:08.105]  Literally, you could count on one hand the times Trump supporters did something wrong or were the people starting a fight.
[00:11:09.622 --> 00:11:25.849]  We had rallies with hundreds of thousands, half a million people, weeks before January 6th, and I just figured, well the police won't stand down, the Secret Service won't stand down, surely they've refused Trump wanting National Guard, he should have overridden that, but I was like, this is going to be okay.
[00:11:25.849 --> 00:11:36.694]  But I had such a bad feeling that morning, while I was sitting there listening to all these boring Republican speeches and then Trump got up there and it was an okay speech, that I had a horrible foreboding feeling and I thought, quit being paranoid,
[00:11:37.938 --> 00:11:42.919]  Maybe you're just coming down with something, because I felt sick.
[00:11:42.919 --> 00:11:59.963]  And, of course, I was picking up what was about to happen, that we were being led into a trap, and that this was extremely dangerous, and that if it could have triggered a bigger, true riot, true violent confrontation, that could have actually triggered a civil war, and potentially millions of dead out of that.
[00:12:00.885 --> 00:12:14.792]  But thank God that the globalist provocateur operatives were not able to really get the riot going the way they wanted, and that their minions and useful idiots were unable to actually capture any of the members of Congress.
[00:12:14.792 --> 00:12:21.415]  Because if that would have happened, they would have brought in a civil emergency and martial law on the back of it, and that was the Deep State's plan.
[00:12:21.415 --> 00:12:28.099]  They're planning that again, and I interviewed, right before we went live, for 40 minutes, commercial free, General Flynn.
[00:12:29.238 --> 00:12:51.300]  Extremely powerful interview on Russia and Ukraine and Hunter Biden and Burisma and China and nuclear war and then he got into false flags and said that he is extremely concerned that the deep state is preparing with all their preparation and brainwashing a major false flag to declare a civil emergency in martial law.
[00:12:51.300 --> 00:12:53.042]  Because that's the endgame of this takeover.
[00:12:54.278 --> 00:12:56.799]  And they've been telegraphing that, and they've been saying that.
[00:12:56.799 --> 00:13:01.081]  So, that interview is going to air in full today.
[00:13:01.081 --> 00:13:05.543]  It'll fit in the fourth hour.
[00:13:05.543 --> 00:13:14.248]  And right around that same time, we will post the full interview to band.video so that you can share it.
[00:13:14.248 --> 00:13:20.891]  But General Flynn issues an emergency false flag warning of a new January 6th.
[00:13:20.891 --> 00:13:23.252]  And obviously that now leads us to the beautiful
[00:13:24.571 --> 00:13:34.536]  Capital of Canada, Ottawa, where I went and covered the Bilderberg Group in 2006, and I got detained there and arrested for a day, and then they had to release me.
[00:13:34.536 --> 00:13:40.778]  This was a big protest, because back then, even mainstream media said you shouldn't, you know, arrest a journalist coming to cover something.
[00:13:40.778 --> 00:13:53.024]  And the first trucks of upwards of a million, with F. Trudeau on the side, are arriving at the beautiful neo-Gothic Parliament building
[00:13:54.142 --> 00:13:54.422]  I don't
[00:14:14.542 --> 00:14:17.945]  The globalists are going to try to provocateur to try to make Trudeau look good.
[00:14:17.945 --> 00:14:26.612]  They're going to try to make this look violent and you know they're going to try to provocateur a group to actually try to go in and occupy the Parliament.
[00:14:26.612 --> 00:14:30.875]  Now the left does that all the time and burns down cities and the media says it's a good thing.
[00:14:30.875 --> 00:14:36.460]  They even just drop charges against somebody that, you know, firebombed the Portland building.
[00:14:36.460 --> 00:14:40.103]  They just said, well he's an activist so he's allowed to do that.
[00:14:40.103 --> 00:14:41.264]  The last thing we want
[00:14:44.113 --> 00:14:45.534]  Is anybody to be violent?
[00:14:45.534 --> 00:14:55.402]  And learning from January 6, the Canadians that I've heard call in to the other shows, that's why we're going to do a special show tomorrow from
[00:14:56.533 --> 00:15:07.201]  At least 2 to 4 p.m., commercial-free, taking your calls from Canada, from the event, from the trucks arriving, from the citizens arriving, and everybody that lives in Canada.
[00:15:07.201 --> 00:15:24.615]  You need to go there and peacefully document, and take photos, and shoot videos, and do interviews, and put it all out on every platform you can, and explain that Trudeau is a globalist, that Trudeau admits he wants a dictatorship, that Trudeau admits he works for Klaus Schwab, and Klaus Schwab brags about it.
[00:15:24.915 --> 00:15:25.115]  I think?
[00:15:47.751 --> 00:15:50.153]  This event will be nothing but a pure victory.
[00:15:50.153 --> 00:15:53.457]  So we've got to keep it peaceful, and we've got to stop any provocateurs.
[00:15:53.457 --> 00:16:00.163]  Because you know, the Ottawa police are going to stand down and let the provocateurs attack.
[00:16:00.163 --> 00:16:11.414]  Whether they were present that day, or were otherwise criminally responsible for the assault on our democracy, we will follow the facts wherever they lead.
[00:16:14.560 --> 00:16:17.183]  The days of independent media are numbered.
[00:16:17.183 --> 00:16:20.266]  The government has made it illegal to oppose them.
[00:16:20.266 --> 00:16:23.168]  They are now debanking us behind the scenes.
[00:16:23.168 --> 00:16:26.952]  They want to bankrupt us and make us go away quietly.
[00:16:26.952 --> 00:16:32.097]  With practically half the population wanting to lock the unvaccinated up in camps.
[00:16:32.097 --> 00:16:35.020]  The traitors know they can shut us down by force.
[00:16:35.020 --> 00:16:38.603]  But that would accelerate the awakening exponentially.
[00:16:38.603 --> 00:16:39.123]  So be it.
[00:16:40.084 --> 00:16:42.465]  Make them silence us by force.
[00:16:42.465 --> 00:16:45.486]  This is the final battle of the information war.
[00:16:45.486 --> 00:16:46.746]  Give now.
[00:16:46.746 --> 00:16:48.267]  Buy products.
[00:16:48.267 --> 00:16:49.447]  Donate.
[00:16:49.447 --> 00:16:51.268]  Before everything changes.
[00:16:51.268 --> 00:16:54.129]  We need you to carry us through to the end.
[00:16:54.129 --> 00:16:55.489]  Victory or death.
[00:16:55.489 --> 00:16:57.330]  Go now to infowarestore.com
[00:16:59.568 --> 00:17:05.351]  Well, I'm very excited for several reasons that two of our very popular products are back in stock.
[00:17:05.351 --> 00:17:20.361]  Whole Food Multivitamin Essential Nutrient Multivitamin from Natural Healthy Sources, not synthetic, and Vitamin C and Zinc with Rosehips, the classic Linus Pauling Nobel Prize winning formula to supercharge your immune system and every cell in your body.
[00:17:20.361 --> 00:17:24.143]  They're both back in stock, sold out for more than four months at 40% off.
[00:17:26.204 --> 00:17:32.151]  Another reason I'm very, very excited about this is, this will fund our operation and keep us on air.
[00:17:32.151 --> 00:17:41.521]  So again, it's a 360 win, but whatever you do, go out and get an organic, whole food, multivitamin, anti-vitamin C, anti-zinc.
[00:17:42.122 --> 00:17:45.305]  We also have some great vitamin D products at InfoWareStore.com that you can use as well.
[00:17:45.305 --> 00:17:48.828]  But whatever you do, defend your body's immune system.
[00:17:48.828 --> 00:17:51.451]  We want to keep patriots in the game against the New World Order.
[00:17:51.451 --> 00:17:52.712]  So it's a 360 win.
[00:17:52.712 --> 00:17:59.018]  Get something essential for your body and your health and your longevity and your immune system while funding the InfoWare at InfoWareStore.com.
[00:17:59.343 --> 00:18:01.484]  I want to tell you about a sale that we've just launched.
[00:18:01.484 --> 00:18:05.706]  Especially if you have not properly prepped for a disaster.
[00:18:05.706 --> 00:18:10.268]  10% off all storable foods at Infowarsstore.com.
[00:18:10.268 --> 00:18:12.289]  It's insurance you can eat.
[00:18:12.289 --> 00:18:17.692]  The globalists have prepped out of the shadows and are now openly trying to destabilize the entire planet.
[00:18:18.252 --> 00:18:28.437]  And in my opinion, now is the most crucial time to stock up on scorable food and get ready for the next big crisis because these Democrats have already shown they're not holding anything back.
[00:18:28.437 --> 00:18:39.643]  In response to this communist sabotage of humanity, the team over at MyPatriotSupply has agreed to allow us to offer our customers 10% off all scorable foods.
[00:18:39.643 --> 00:18:41.164]  But this deal can't last long.
[00:18:41.164 --> 00:18:43.765]  This is only available for a limited time.
[00:18:43.765 --> 00:18:44.766]  Your decision now
[00:18:45.026 --> 00:18:51.471]  I have the greatest sense of loss, deep in my heart, deep in my soul, I've ever had in my 47 years on this planet.
[00:18:51.471 --> 00:18:52.773]  I've had a lot of loss.
[00:18:52.773 --> 00:18:53.273]  Everybody else has.
[00:19:11.647 --> 00:19:24.522]  And it's because it's a loss of ancestral freedom that so many people fought and died and bled and sweat for.
[00:19:24.522 --> 00:19:26.264]  And now we're just throwing it all away.
[00:19:27.884 --> 00:19:36.692]  And I see the general public in a medically-induced, scientifically-induced, behavioral, psychologically-controlled trance.
[00:19:36.692 --> 00:19:41.336]  And I know we're being fed into this globalist meat grinder, and it's so incredibly sad.
[00:19:41.336 --> 00:19:51.025]  But this is the process of birth, and then growth, and then falling apart, and then degenerating and collapsing, and then coming back to life again.
[00:19:52.185 --> 00:20:00.577]  It's just the globalists are actively trying to steer and control this process of decadence and collapse to actually end the species as we know it.
[00:20:00.577 --> 00:20:06.485]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:26.041 --> 00:20:35.605]  How do you train the population that they're all suspects, they're all criminals, they're all bad, they all should be locked up and tracked and traced and controlled?
[00:20:35.605 --> 00:20:51.311]  Well, cook up a virus and release it, and then set the testing system where people that don't even have it are marked as guilty, and create an enemy that can never be defeated, the common cold, and roll out your depopulation weapon through a so-called vaccine.
[00:20:52.500 --> 00:21:04.028]  And now you've got your world ID, now you've got your pretext to put things in people's bodies, now you've got another way to divide humanity against each other while the corrupt globalists consolidate all the power and the control.
[00:21:04.028 --> 00:21:13.394]  And if you want to illustrate how serious this is, there's a very important article on InfoWars.com by Paul Joseph Watson everybody should go look at.
[00:21:13.394 --> 00:21:17.357]  This is so Orwellian that when you see the video of it, it just stuns you.
[00:21:19.284 --> 00:21:26.046]  Canadian Walmarts install vaccine passport scanner booths to screen customers.
[00:21:26.046 --> 00:21:33.168]  So the same thing's happening in Australia, New Zealand at their big stores, their grocery stores, and Canada.
[00:21:33.168 --> 00:21:35.949]  All a beta test to go everywhere else.
[00:21:35.949 --> 00:21:38.630]  And now Germany is installing scanners.
[00:21:38.630 --> 00:21:39.270]  Oh!
[00:21:39.270 --> 00:21:40.830]  No humans needed!
[00:21:40.830 --> 00:21:46.432]  You step into a box, it scans you, you're a good little slave, and then it lets you in.
[00:21:48.243 --> 00:21:54.193]  And of course, what do the unvaccinated and the triple-jabbed or the quadruple-jabbed all have in common?
[00:21:54.193 --> 00:21:57.999]  You're never fully vaccinated.
[00:21:57.999 --> 00:21:58.500]  Unbelievable.
[00:21:59.719 --> 00:22:00.580]  Unbelievable.
[00:22:00.580 --> 00:22:09.524]  And then they say it's the American thing to do to censor people and not let medical doctors speak out and warn of all the heart attacks and cancer.
[00:22:09.524 --> 00:22:14.427]  Oh, and then Pfizer goes to the FDA and says, don't release the documents for 75 years.
[00:22:14.427 --> 00:22:24.073]  And the first documents the judge orders released three months ago say, thousands killed by the shot and thousands of miscarriages in the first few weeks.
[00:22:24.073 --> 00:22:27.394]  And now the judge orders 50,000 pages released.
[00:22:27.394 --> 00:22:27.775]  That was just 300.
[00:22:30.219 --> 00:22:32.500]  And they say, we're not doing it.
[00:22:32.500 --> 00:22:33.640]  We can't.
[00:22:33.640 --> 00:22:42.423]  We have a secret agreement that President Trump signed, that other governments signed, where we don't have to, under national security, for liability reasons.
[00:22:42.423 --> 00:22:44.484]  Because they did it, folks.
[00:22:44.484 --> 00:22:48.665]  They launched a bio-synthetic chem attack.
[00:22:48.665 --> 00:22:52.987]  It's really not biological, it's synthetic biology, it's nanotech.
[00:22:52.987 --> 00:22:57.068]  So it's bio-chem, nano-attack.
[00:22:57.068 --> 00:22:59.069]  And let that sink in, ladies and gentlemen.
[00:23:00.123 --> 00:23:12.805]  So humanity needs to not just galvanize against the lockdowns and the mask and being told they're not essential and forcing us into debt for the Great Reset, for the World Social Credit Score and Universal Basic Income to control every aspect of our lives.
[00:23:12.805 --> 00:23:15.486]  It's about killing us.
[00:23:15.486 --> 00:23:17.306]  And so here are the images.
[00:23:17.306 --> 00:23:23.287]  Canadian Walmarts install vaccine passport scanner booths to screen customers.
[00:23:23.287 --> 00:23:26.848]  Did you ever want to know what the Antichrist system would look like?
[00:23:29.002 --> 00:23:37.434]  Did you ever want to know what it would be like when the Walmarts become the FEMA camps?
[00:23:37.434 --> 00:23:39.057]  And there you go.
[00:23:39.057 --> 00:23:41.140]  Amazon, Walmart, Target.
[00:23:44.738 --> 00:23:55.908]  They'll be staffed by on-site nurses, and if you're not allowed in, they'll just usher you over, it says, and inject you free of charge because they care so much about you.
[00:23:55.908 --> 00:24:00.532]  That's why they created it at Wuhan, and that's why they suppressed all the scientists that pointed out it was man-made.
[00:24:00.532 --> 00:24:05.217]  And that's why I told you Peter Daszak was CIA, and now that's been declassified.
[00:24:06.218 --> 00:24:18.461]  Obama developed the weapon, scientists protested in 2015, they moved it to Wuhan, and it is the deep state globalists that hate our country that control Obama that launched the attack.
[00:24:18.461 --> 00:24:32.525]  And we're looking at the third administration of Obama where he has his puppet in there who will take all the blame while the globalists carry out the total destruction and bankruptcy and bio-attack, chem-attack on the people.
[00:24:35.782 --> 00:24:51.394]  This is a very standard operation throughout history to have globalists carry out operations like this, and they've now done it yet again in a high-tech way.
[00:24:51.394 --> 00:24:52.695]  They are the most selfish people
[00:24:54.178 --> 00:24:57.721]  You could ever imagine in your life.
[00:24:57.721 --> 00:25:08.111]  And they believe that they get to have their great lifestyles of huge palatial farms and ranches and seaside resorts and private aircraft and all of it.
[00:25:08.111 --> 00:25:12.355]  As long as they kill a bunch of us.
[00:25:12.355 --> 00:25:15.158]  And we sit here and we take it and we sit here.
[00:25:15.158 --> 00:25:19.522]  Those of you that work for the system and pretend you're getting ahead by playing along with it.
[00:25:23.487 --> 00:25:29.091]  Just to be clear, Biden announced that 1.2 million un-vaxxed illegal aliens cross the border.
[00:25:29.091 --> 00:25:30.392]  He legalized them.
[00:25:30.392 --> 00:25:33.374]  Outside of law, the number is eight times that according to Border Patrol.
[00:25:33.374 --> 00:25:35.896]  Because they turn back.
[00:25:35.896 --> 00:25:37.717]  They say turnbacks are 80% when they're not.
[00:25:37.717 --> 00:25:39.438]  They're not even 5%.
[00:25:39.438 --> 00:25:41.360]  That number is much higher.
[00:25:41.360 --> 00:25:45.022]  But won't allow un-vaxxed truckers to cross the border.
[00:25:45.022 --> 00:25:50.186]  Well, that's because you're a productive, good little slave that does what you're told and you've got to be tracked and traced.
[00:25:50.186 --> 00:25:53.008]  You've got to get used to them putting in your body what they want.
[00:25:53.618 --> 00:25:55.719]  We're good to go.
[00:26:16.112 --> 00:26:19.954]  Views that will, quote, not be tolerated.
[00:26:19.954 --> 00:26:24.857]  I will not tolerate your views of me and what I'm doing to you!
[00:26:24.857 --> 00:26:33.741]  And Klaus Schwab goes on C-SPAN and says, the greatest example of our control is Trudeau.
[00:26:33.741 --> 00:26:36.543]  We've penetrated and controlled his cabinet.
[00:26:36.543 --> 00:26:39.985]  We control the other cabinets.
[00:26:39.985 --> 00:26:42.186]  They are believers in what we are doing.
[00:26:45.154 --> 00:26:51.816]  Absolutely creepy, evil cult.
[00:26:51.816 --> 00:26:53.717]  But what did General Flynn say?
[00:26:53.717 --> 00:26:58.258]  We've got a short clip of it coming up next segment and the full interview will air in the fourth hour.
[00:26:58.258 --> 00:26:59.519]  What did General Flynn warn of?
[00:27:00.410 --> 00:27:08.499]  The next stage is false flags, not just here but around the world, to blame the anti-lockdown, to blame the anti-vax.
[00:27:08.499 --> 00:27:09.701]  That's the next move.
[00:27:09.701 --> 00:27:16.549]  And they're telling you the anti-vaxxers, who are just anti-Nuremberg violation, anti-GMO forced injection.
[00:27:18.379 --> 00:27:18.759]  Are you sure?
[00:27:42.179 --> 00:27:43.500]  Did the Russians implode the U.S.
[00:27:43.500 --> 00:27:43.941]  border?
[00:27:43.941 --> 00:27:44.881]  No.
[00:27:44.881 --> 00:27:47.504]  Did the Russians have drag queen pedophile story time?
[00:27:47.504 --> 00:27:48.204]  No.
[00:27:48.204 --> 00:27:49.665]  Did the Russians devalue the dollar?
[00:27:49.665 --> 00:27:50.326]  No.
[00:27:50.326 --> 00:27:54.229]  Did the Russians invent fentanyl at MIT, give it to China and allow it to be shipped in?
[00:27:54.229 --> 00:27:58.653]  No.
[00:27:58.653 --> 00:28:00.335]  Did the Russians do any of that?
[00:28:00.335 --> 00:28:00.715]  No.
[00:28:00.715 --> 00:28:03.658]  I mean, I wish it was the Russians, because then we could do something about it.
[00:28:04.653 --> 00:28:07.294]  That's a clear and outside group.
[00:28:07.294 --> 00:28:10.934]  But no, it's people posing as if they're Americans and as if they're our leaders.
[00:28:10.934 --> 00:28:15.095]  But they've all gone to the alumni of Klaus Schwab.
[00:28:15.095 --> 00:28:19.596]  They went to the Bilderberg Group's Young Leaders Seminar.
[00:28:19.596 --> 00:28:21.856]  And they got vetted.
[00:28:21.856 --> 00:28:23.177]  And they got prepared.
[00:28:23.177 --> 00:28:23.897]  And they got put in.
[00:28:23.897 --> 00:28:29.518]  And now all over the news, oh, the power grid, it's eminent American right-wingers.
[00:28:30.959 --> 00:28:33.880]  Are preparing with Putin to turn the power off.
[00:28:33.880 --> 00:28:38.981]  Meanwhile, Schwab's like, Soon the power will be turned off and you will die.
[00:28:38.981 --> 00:28:41.002]  It will be so good for Earth.
[00:28:41.002 --> 00:28:43.983]  We also need climate lockdowns and rolling blackouts.
[00:28:43.983 --> 00:28:46.624]  But Putin will turn your power off.
[00:28:46.624 --> 00:28:47.404]  It is Putin.
[00:28:47.404 --> 00:28:50.145]  He will do it.
[00:28:50.145 --> 00:28:51.865]  Unbelievable times be alive, folks.
[00:28:51.865 --> 00:28:54.786]  Have you shared the live link at InfoWars.com forward slash show?
[00:28:54.786 --> 00:28:56.347]  Have you shared the link from Bandai Video?
[00:28:56.347 --> 00:28:57.667]  Because if you haven't, huh.
[00:29:00.646 --> 00:29:06.212]  Reset Wars has been a great tool.
[00:29:06.212 --> 00:29:19.044]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines, but about all of us as a human species coming together.
[00:29:19.044 --> 00:29:20.426]  I'm a combat veteran.
[00:29:20.846 --> 00:29:26.428]  And, uh, I mean, that brought me close to God, but what Alex goes through brought me even closer.
[00:29:26.428 --> 00:29:28.009]  I can feel God in my life now.
[00:29:28.009 --> 00:29:36.592]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and install new.
[00:29:36.592 --> 00:29:41.194]  Reset Wars is a step beyond what you already get in regular InfoWars broadcasts.
[00:29:41.414 --> 00:29:47.722]  It's an academic level course that will raise your awareness and help you live a more conscious and self-determined life.
