[00:00:00.741 --> 00:00:03.483]  News on the hour.
[00:04:49.064 --> 00:05:01.327]  They're not for free market, they're monopoly men, to come in and buy up our government and other governments, and then seize control of our governments, and use them as engines of global domination for those corporations, not for the American people.
[00:05:01.747 --> 00:05:10.491]  I mean, it'd be one thing if we really had a government that was giving us some of the spoils of going in and sacking Iraq, or giving us some of the spoils of all this.
[00:05:10.491 --> 00:05:17.275]  But the very people doing all of this are the ones dismantling the country itself, as fast as they can.
[00:05:17.275 --> 00:05:23.118]  They are the ones destroying the sovereignty, killing the Bill of Rights that is the heart and soul of the nation.
[00:05:24.344 --> 00:05:33.474]  Regardless, I want the people out there who are for the Iraq War, because from a young age they were brought up that war is manly and war is tough.
[00:05:33.474 --> 00:05:39.320]  And it's patriotic to be for a war, any war, even if you can't find the country you're attacking, on a map.
[00:05:39.800 --> 00:05:41.261]  And they're wedded to it.
[00:05:41.261 --> 00:05:44.644]  I want them to know that it doesn't matter if you're for the war.
[00:05:44.644 --> 00:05:47.246]  You see, they think they're making Americans go to war.
[00:05:47.246 --> 00:05:58.695]  This is the average good old boy out there, and that they're all part of the power system, and they've got all this personal power, and it's George Bush and them together, you know, making the American people do this because they know best.
[00:05:58.695 --> 00:06:00.136]  You don't run anything.
[00:06:00.136 --> 00:06:02.098]  George Bush doesn't run anything.
[00:06:02.098 --> 00:06:03.099]  They're total puppets.
[00:06:03.499 --> 00:06:22.309]  Okay, because if you say this is a free society, which it isn't in many respects, if 78% of Americans in major scientific polls, that number has come up several times, but high 70s, won us out, and 70% of the troops in Gallup polls won out, why hasn't it happened if the people's will is what happens in this country?
[00:06:23.070 --> 00:06:29.615]  Okay, and it isn't just that they lied about WMDs, like, oh, they thought they were there.
[00:06:29.615 --> 00:06:37.961]  We have the White House memo, published public, from six months before the war, with Tony Blair and Bush, where they're saying we can stage WMD fines.
[00:06:37.961 --> 00:06:40.803]  That's a big crime, staging weapons.
[00:06:40.803 --> 00:06:43.025]  Oh, it's there, the exact minutes of it.
[00:06:43.025 --> 00:06:47.208]  And they say that we can sell the public with fake defectors, we can fly U.S.
[00:06:47.208 --> 00:06:52.512]  planes, paint it up like the UNLO, try to get Saddam to shoot them down, like we did with Tonkin and everything else.
[00:06:53.881 --> 00:07:02.193]  Or they go further and talk about how they're going to claim that they know he has WMDs even though they don't.
[00:07:02.193 --> 00:07:08.781]  You see, they premeditatedly, knowingly lied to us.
[00:07:08.781 --> 00:07:09.723]  Knowingly!
[00:07:10.638 --> 00:07:15.862]  And then they'll try to say, well, the Democrat evil commies, they're not for the war!
[00:07:15.862 --> 00:07:17.543]  Hillary wants to attack Iran.
[00:07:17.543 --> 00:07:19.464]  Chuckie Schumer wants to attack Iran.
[00:07:19.464 --> 00:07:21.886]  Lieberman wants to attack Iran.
[00:07:21.886 --> 00:07:29.171]  Democrats, in some cases, are outvoting Republicans with Bush to push the whole police state.
[00:07:29.171 --> 00:07:30.532]  They're voting for the Patriot Act.
[00:07:30.532 --> 00:07:31.673]  They're voting for open borders.
[00:07:31.673 --> 00:07:33.775]  They're voting for assault weapons ban.
[00:07:33.775 --> 00:07:35.916]  Everything Bush wants.
[00:07:35.916 --> 00:07:38.398]  And, you know, it's phony conservatives out there listening.
[00:07:39.125 --> 00:07:42.148]  You saying Bush is pro-Second Amendment doesn't make it so.
[00:07:42.148 --> 00:07:47.072]  You lying to yourself and saying he didn't lobby and didn't push the assault weapons ban didn't make it so.
[00:07:48.126 --> 00:07:50.087]  You know, he did push for that.
[00:07:50.087 --> 00:07:51.547]  You see?
[00:07:51.547 --> 00:08:05.472]  And so you need to understand that you need to get off your little power trip, because I know that's what it's all about when you swagger and stumble around with plastic desecrated American flags made by Chinese slaves, all over your car, and your cult members, your Kool-Aid drinkers.
[00:08:05.472 --> 00:08:10.414]  I want you to understand, okay, that 78% of the American people don't want the war.
[00:08:10.414 --> 00:08:12.295]  The generals don't want the war.
[00:08:12.295 --> 00:08:14.956]  Every statistician has said that it is a disaster.
[00:08:15.572 --> 00:08:22.557]  But because defense contractors are making a hundred plus billion dollars a year, it's going to go on and on and on and on.
[00:08:22.557 --> 00:08:35.285]  So don't worry, your junior's got a chance to tromp off and breathe some depleted uranium and be given some experimental shots and get shot up so you can feel like you're a man and your son's a man and you can feel like you're a bunch of tough heroes.
[00:08:35.285 --> 00:08:40.648]  While the borders are wide open, the country's totally imploding, the dollar's imploding, and then now companies all over the U.S.
[00:08:40.648 --> 00:08:43.310]  are going to start trading in pesos and we'll be using pesos.
[00:08:44.083 --> 00:08:48.675]  And they're going to make Texas school children speak in Spanish in one of their primary courses.
[00:08:49.520 --> 00:08:57.246]  Okay, so I just want you to understand that 97% of Texans don't want toll roads on existing roads.
[00:08:57.246 --> 00:08:58.687]  They're going to do it anyways.
[00:08:58.687 --> 00:09:02.670]  And I want you to know that 90% of Americans want the borders shut and controlled.
[00:09:02.670 --> 00:09:03.770]  It isn't going to happen.
[00:09:03.770 --> 00:09:06.693]  And I want you to know 78% don't want this war.
[00:09:06.693 --> 00:09:08.234]  It's going to keep happening.
[00:09:08.234 --> 00:09:16.240]  And I want you to know that 97% of Americans don't want a national ID card, but they put it in as the state ID standardized.
[00:09:16.240 --> 00:09:16.840]  It's happening.
[00:09:17.541 --> 00:09:35.307]  Okay, so just get off your power trip that it's you and the fake conservatives winning, because you know best, and we've got to fight them over there instead of over here, and you're running something, and you're part of the system, because you drive a big truck, and you know how to stick your belly out like it's a weapon at people.
[00:09:35.307 --> 00:09:39.329]  I want you to know you don't run anything!
[00:09:39.329 --> 00:09:39.769]  Okay?
[00:09:39.769 --> 00:09:42.530]  I want you to know you're a slave, just like I am.
[00:09:43.647 --> 00:09:53.000]  And then maybe you can start getting your little brain cells rubbed together and figure out if you really want to defend this country, you better find out you've been scammed and conned!
[00:09:53.000 --> 00:09:54.943]  But a lot of you don't want to admit that.
[00:09:54.943 --> 00:09:57.667]  I'm Alex Jones, PrisonPlanet.com's website.
[00:09:57.667 --> 00:09:58.628]  We'll be right back!
[00:10:10.282 --> 00:10:12.304]  You know what I'm really mad about?
[00:10:12.304 --> 00:10:13.885]  What's got me the most angry?
[00:10:35.211 --> 00:10:42.257]  Is that I didn't think fake conservative talk radio to get any more traitorous or disgusting.
[00:10:42.257 --> 00:10:44.499]  And lose, of course, most of our audience.
[00:10:44.499 --> 00:10:46.841]  As many of the national hosts are doing right now.
[00:10:46.841 --> 00:10:49.423]  They're plunging us.
[00:10:49.423 --> 00:10:53.387]  Websites like PrisonPlanet.com and InfoWars.com are rising.
[00:10:53.387 --> 00:10:55.508]  Just like the fake liberal sites are all imploding.
[00:10:55.508 --> 00:10:56.809]  You know, that's the good news.
[00:10:56.809 --> 00:10:58.631]  The elite's getting what they wanted.
[00:10:58.631 --> 00:10:59.772]  Their world government
[00:11:00.609 --> 00:11:04.515]  But in the process they're waking a lot of people up.
[00:11:04.515 --> 00:11:07.039]  The establishment isn't fooling everybody anymore.
[00:11:07.039 --> 00:11:09.823]  They're fooling less and less people every single day.
[00:11:11.855 --> 00:11:16.477]  And I listen to national talk show hosts, and I also read what they write and the things they say and do.
[00:11:16.477 --> 00:11:18.038]  Take Michael Medved.
[00:11:18.038 --> 00:11:21.139]  He's attacked me and said I should be arrested on air for the things I say.
[00:11:21.139 --> 00:11:26.742]  And Newt Gingrich is out giving speeches now saying we should have banned the First Amendment and arrest people that criticize the government.
[00:11:26.742 --> 00:11:29.403]  I mean, I've got transcripts of it, I've played audio of it.
[00:11:29.403 --> 00:11:31.424]  Oh yeah, land of the free, home of the brave!
[00:11:31.424 --> 00:11:34.305]  Let's just ban free speech, you know, because they can't beat us!
[00:11:34.785 --> 00:11:35.966]  We're going to beat them!
[00:11:35.966 --> 00:11:37.606]  And please try to ban it!
[00:11:37.606 --> 00:11:38.466]  Please arrest me!
[00:11:38.466 --> 00:11:38.947]  Please!
[00:11:38.947 --> 00:11:40.047]  Do whatever you're going to do to me!
[00:11:40.047 --> 00:11:41.768]  Just make me a big fat martyr!
[00:11:41.768 --> 00:11:44.549]  Because all I care about is this country and my family that lives in it.
[00:11:44.549 --> 00:11:46.149]  I'm actually red, white, and blue.
[00:11:46.149 --> 00:11:48.450]  I actually bleed red, white, and blue, ladies and gentlemen.
[00:11:48.450 --> 00:11:53.992]  That's why I'm so mad I could just grind my teeth off in absolute anger right now.
[00:11:53.992 --> 00:11:57.153]  I've been able to get through to a lot of people, but not everybody.
[00:11:57.153 --> 00:12:00.394]  And I mean, I've been on national talk shows, like Lars Larson.
[00:12:03.172 --> 00:12:10.175]  Lars was sitting there admitting there was a North American Union, but saying I was a liberal because I was against it.
[00:12:10.175 --> 00:12:13.417]  I mean, pretty soon it'll be, you're a liberal if you're for the Second Amendment.
[00:12:13.417 --> 00:12:14.157]  There's nothing to do with it.
[00:12:14.157 --> 00:12:15.198]  It's just labels.
[00:12:15.198 --> 00:12:16.598]  They just throw around.
[00:12:16.598 --> 00:12:18.139]  That's all they do!
[00:12:18.139 --> 00:12:25.282]  And Michael Bedman, I have the transcript of what he said about Aaron Russo, who I was interviewing yesterday down in Houston.
[00:12:25.282 --> 00:12:27.383]  He's down there getting some medical treatments.
[00:12:27.383 --> 00:12:28.964]  Aaron Russo, famous Hollywood producer.
[00:12:30.464 --> 00:12:35.346]  Made a film about the fact that the private Federal Reserve runs our country.
[00:12:35.346 --> 00:12:38.867]  And Medved saying he's a traitor and needs to be arrested.
[00:12:38.867 --> 00:12:41.508]  Because he made a film saying the IRS is a scam.
[00:12:41.508 --> 00:12:43.368]  I mean, Ronald Reagan said that.
[00:12:43.368 --> 00:12:45.769]  They had a congressional commission that said that.
[00:12:45.769 --> 00:12:48.910]  And even if it wasn't true, Aaron Russo's got a right to say it.
[00:12:48.910 --> 00:12:50.671]  I mean, what's all this arrest talk?
[00:12:51.195 --> 00:12:53.278]  That's going on.
[00:12:53.278 --> 00:12:57.382]  And then he went on to attack, Medved went on to attack Jerome Corsi.
[00:12:57.382 --> 00:13:00.867]  Dr. Jerome Corsi is as Republican and right-wing as you can get.
[00:13:00.867 --> 00:13:03.370]  I mean, he's the guy saying, nuke the Middle East.
[00:13:03.370 --> 00:13:05.492]  I don't agree with him on that, but I agree with him on a bunch of other stuff.
[00:13:05.492 --> 00:13:06.734]  I interview him all the time.
[00:13:06.734 --> 00:13:10.078]  You hear him all over national shows and all over CNN and Fox.
[00:13:10.758 --> 00:13:11.739]  Constantly.
[00:13:11.739 --> 00:13:15.622]  Jerome Corsi went and got all the official documents of the North American Union.
[00:13:15.622 --> 00:13:18.123]  Stuff we already had, but he got attention.
[00:13:18.123 --> 00:13:20.305]  And he writes for Human Events and World Net Daily.
[00:13:20.305 --> 00:13:25.509]  And Medved's doing the same thing, saying he's a traitor, he's a liar.
[00:13:25.509 --> 00:13:27.190]  Medved gives no facts.
[00:13:27.190 --> 00:13:29.031]  So, so, so, this is what I'm saying.
[00:13:29.031 --> 00:13:30.132]  I'm not going to mention all the names.
[00:13:30.132 --> 00:13:32.013]  You know who we're talking about.
[00:13:32.013 --> 00:13:36.837]  There is no CFR, there is no world government, there is no North American Union.
[00:13:36.837 --> 00:13:38.438]  It doesn't exist.
[00:13:38.438 --> 00:13:40.079]  And if you say it does, you're a traitor.
[00:13:41.212 --> 00:13:42.013]  You're a terrorist.
[00:13:42.013 --> 00:13:45.656]  I mean, this is bizarre.
[00:13:45.656 --> 00:13:47.517]  This is bizarre.
[00:13:47.517 --> 00:13:49.679]  But no wonder they're now losing their audiences.
[00:13:49.679 --> 00:13:51.380]  You can go look at the trends.
[00:13:51.380 --> 00:13:54.142]  In just the last year, of course they're losing their audiences.
[00:13:54.142 --> 00:14:00.467]  You can't fool... You know, the average person out there listening to conservative talk radio is not that stupid.
[00:14:00.467 --> 00:14:03.289]  And they're not buying into it anymore.
[00:14:03.289 --> 00:14:04.410]  Okay?
[00:14:04.410 --> 00:14:07.313]  And the fraud has been exposed.
[00:14:08.217 --> 00:14:18.726]  Just to have them denying that they signed the North American Union almost a year and a half ago, that we're in the North American Union, that they're merging the agencies.
[00:14:18.726 --> 00:14:23.050]  The Army Times is reporting that.
[00:14:23.050 --> 00:14:27.194]  And then they come out and say, well, 20% of our ground forces are now foreigners.
[00:14:27.194 --> 00:14:33.459]  We're going to have them be as many as half in a new expansion by late 2010, so four years from now.
[00:14:36.861 --> 00:14:39.683]  I mean, this is admitted!
[00:14:39.683 --> 00:14:42.305]  You can't make up this type of Twilight Zone stuff.
[00:14:42.305 --> 00:14:43.926]  We post it on the websites.
[00:14:43.926 --> 00:15:01.637]  All we do is go collect and collate, mainly mainstream news, where it's admitted, but we take all the stuff that's in the back of the paper, the stuff that's really important, and we ignore Jay-Z, and we ignore Paris Hilton not wearing underpants, and we ignore the things that don't matter, and we take all the stuff that does.
[00:15:01.637 --> 00:15:05.940]  Like, oh, here's the AP saying they quadrupled the level of mercury in the vaccines.
[00:15:06.693 --> 00:15:09.034]  We already knew that, but here's AP saying it.
[00:15:09.034 --> 00:15:11.194]  Why are they telling you they took it out?
[00:15:11.194 --> 00:15:13.474]  Oh, by the way, here they are admitting it causes autism.
[00:15:13.474 --> 00:15:19.756]  We're just mainstream people that don't buy the propaganda anymore and who are mad about it.
[00:15:19.756 --> 00:15:23.357]  I mean, I'm so mad about this, I can barely do this radio show today.
[00:15:23.357 --> 00:15:29.118]  I was driving up here in my car, not thinking about quitting, but just so disgusted.
[00:15:29.118 --> 00:15:30.398]  I have so much evidence.
[00:15:31.184 --> 00:15:34.265]  So many facts!
[00:15:34.265 --> 00:15:43.647]  Maybe I should just start taking one lie per show and then just slicing through it, dissecting it into thousands of little pieces for you.
[00:15:43.647 --> 00:15:50.868]  Because I know, for everything I say, you've been preconditioned with a comeback that's based on disinfo.
[00:15:50.868 --> 00:15:55.309]  I mean, it's just the psychological warfare the American people have been under.
[00:15:57.981 --> 00:16:01.905]  Back 12 years ago, I talked about the North American Union and how it was coming.
[00:16:01.905 --> 00:16:05.649]  The people said it didn't exist, it was totally delusional.
[00:16:05.649 --> 00:16:10.173]  Now the North American Union is here, we're in it!
[00:16:10.173 --> 00:16:20.884]  The country is being dismantled, the dollar is being dismantled, companies are starting to trade in pesos on the streets of Texas, in businesses, and our military is going to be mainly foreigner.
[00:16:22.601 --> 00:16:30.548]  And now the neocons are on talk radio saying, okay, well it exists, but it's good.
[00:16:30.548 --> 00:16:45.501]  After all these years denying it, now it's good, but what we need to say, you know, open borders, total blanket amnesty is good, guest worker program is good, that's conservative, and then it's bad
[00:16:49.068 --> 00:16:50.069]  To have First Amendment.
[00:16:50.069 --> 00:16:53.094]  It's bad to not want to have your mail read without warrants.
[00:16:53.094 --> 00:16:56.037]  It's bad to not want to be tracked and traced.
[00:16:56.037 --> 00:16:58.501]  I mean, it's just, we're in a lot of trouble, folks.
[00:16:58.501 --> 00:17:02.406]  I mean, look at the stories I've got here in front of me today.
[00:17:02.406 --> 00:17:05.130]  This is the Associated Press, also of ABC News here.
[00:17:06.266 --> 00:17:07.187]  Two different articles.
[00:17:07.187 --> 00:17:07.607]  Bush!
[00:17:07.607 --> 00:17:13.792]  Government can open your mail, President Bush said, and the government can read American's mail without a judge's warrant.
[00:17:13.792 --> 00:17:20.658]  In a signing statement attached to a postal reform bill, critics say he's wrong.
[00:17:20.658 --> 00:17:24.081]  Because they've been reading our mail without warrants, U.S.
[00:17:24.081 --> 00:17:25.222]  citizens internally.
[00:17:25.222 --> 00:17:27.784]  I'm talking about mail going out of the country, or mail coming in.
[00:17:28.875 --> 00:17:33.460]  And then when they got caught doing it, now remember, this is the same guy who's a total puppet.
[00:17:33.460 --> 00:17:36.083]  Let's be clear, he runs nothing, Hillary runs nothing.
[00:17:36.083 --> 00:17:40.327]  That's why I don't care if it's Pelosi or Hillary or any of these people.
[00:17:40.327 --> 00:17:42.049]  It does not matter.
[00:17:42.049 --> 00:17:51.339]  Frankly, Democrats might be better in office because Republicans on the grassroots will wake up to the fact that they're evil and then maybe we can get something done here.
[00:17:52.262 --> 00:18:01.568]  I mean, when you put a Republican in, it's like some kind of sleeping gas and everybody goes to sleep for four or eight years and wakes up and the country's gone because a Republican wouldn't hurt us!
[00:18:01.568 --> 00:18:03.750]  Some big government Democrats!
[00:18:03.750 --> 00:18:04.831]  Big government!
[00:18:04.831 --> 00:18:06.812]  Government grows more when Republicans are in!
[00:18:06.812 --> 00:18:09.374]  Go look at the graphs!
[00:18:09.374 --> 00:18:09.654]  Folks...
[00:18:11.189 --> 00:18:13.313]  Getting your freedom isn't going to be simple sound bites.
[00:18:13.313 --> 00:18:19.322]  It isn't going to be just simple liberal conservative terminology and then you just go over the next hill and go to sleep forever.
[00:18:19.322 --> 00:18:23.930]  It's going to take you getting informed, getting involved, and learning what's happening in the world.
[00:18:25.223 --> 00:18:26.184]  But look at this.
[00:18:26.184 --> 00:18:31.046]  Dallas-based food chain, they're right here in Austin, to accept Mexican pesos.
[00:18:31.046 --> 00:18:42.392]  Starting Monday, patrons of the Dallas-based pizza patron chain, which caterers heavy to Latinos, will be able to purchase American pizzas for Mexican pesos.
[00:18:42.392 --> 00:18:49.255]  Our troops are going to be firing, our currency's firing, our currency's imploding, our sovereignty is disappearing.
[00:18:49.255 --> 00:18:50.876]  We'll come back and take calls.
[00:18:50.876 --> 00:18:52.237]  I've got so much news.
[00:18:53.050 --> 00:18:56.239]  You got a much better chance of being struck by lightning than killed by terrorists.
[00:18:56.239 --> 00:18:59.428]  Why don't they have a show on 24 where he fights lightning bolts?
[00:18:59.428 --> 00:19:00.089]  We'll be right back.
[00:19:00.089 --> 00:19:00.430]  Stay with us.
[00:19:14.957 --> 00:19:16.639]  The odds of a child becoming a professional athlete are 1 in 16,000.
[00:19:16.639 --> 00:19:17.099]  Far-fetched?
[00:19:17.099 --> 00:19:17.439]  Maybe.
[00:19:17.439 --> 00:19:20.042]  But did you know the odds of a child being diagnosed with autism are 1 in 166?
[00:19:20.042 --> 00:19:21.904]  To learn the signs of autism, go to AutismSpeaks.org.
[00:19:21.904 --> 00:19:23.105]  Brought to you by Autism Speaks and the Ad Council.
[00:19:49.308 --> 00:19:50.571]  Rush Limbaugh.
[00:19:50.571 --> 00:19:51.915]  New rules.
[00:19:51.915 --> 00:19:54.744]  Make firms track emails and instant messages.
[00:19:55.450 --> 00:20:13.055]  As you're composing your emails and your chats, you're going back and forth with friends, even if it has nothing to do with business, just make sure that you never write anything that you wouldn't want read back to you while you sit on the stand in court in front of a jury.
[00:20:13.055 --> 00:20:14.936]  This is unbelievable.
[00:20:14.936 --> 00:20:19.237]  Rush is live weekdays from 11 to 2 on News Radio 590.
[00:20:24.125 --> 00:20:25.866]  The Mack Drives Radio Show.
[00:20:25.866 --> 00:20:27.446]  Tonight, 9 to midnight.
[00:20:27.446 --> 00:20:31.147]  On News Radio 590 KLBJ.
[00:20:31.147 --> 00:20:33.208]  Raging for the truth.
[00:20:33.208 --> 00:20:35.148]  Exposing corruption.
[00:20:35.148 --> 00:20:38.869]  Dismantling a false left-right paradigm.
[00:20:38.869 --> 00:20:40.450]  He's Alex Jones.
[00:20:43.118 --> 00:20:46.239]  Alright, Jeffrey, Scott, Rudy, and many others that are patiently holding.
[00:20:46.239 --> 00:20:48.419]  We're going to be going to your calls here in just a few minutes.
[00:20:48.419 --> 00:20:55.201]  The toll free number is 877-590-5525 all over the country, or 836-0590 here locally.
[00:20:55.201 --> 00:20:58.681]  Here in Texas, if you're listening to the mothership, 590 AM.
[00:20:58.681 --> 00:21:03.362]  Here, Kelby J. Alright, just finishing up with the whole war thing.
[00:21:03.362 --> 00:21:10.984]  If this is a free country, if the people make the rules, if the people make the decisions, if what we want is what is carried out, and you've got 78%
[00:23:24.566 --> 00:23:26.407]  Don't believe me!
[00:23:26.407 --> 00:23:28.328]  Don't learn how you're getting scammed.
[00:23:28.328 --> 00:23:30.109]  Don't learn how you're getting lied to.
[00:23:30.109 --> 00:23:32.650]  Don't learn how so much in this world is a fraud.
[00:23:32.650 --> 00:23:37.392]  Don't check into Comprehensive Annual Financial Reports.
[00:23:37.392 --> 00:23:38.973]  C-A-F-R.
[00:23:38.973 --> 00:23:52.840]  Don't type C-A-F-R into Google, because you'll be at the state of Texas website, state of Kentucky website, state of California, the cities, the tens of thousands of school districts and water districts.
[00:23:53.576 --> 00:23:56.578]  And you'll learn they've got a double set of books.
[00:23:56.578 --> 00:23:58.680]  And you'll learn the government has plenty of money.
[00:23:58.680 --> 00:24:01.001]  And you'll find out how you've been scammed.
[00:24:01.001 --> 00:24:10.308]  And you'll find out the master plan to bankrupt the government and then have foreign corporations come in and buy up everything and become the government.
[00:24:10.308 --> 00:24:11.169]  Oh, no, no, no.
[00:24:11.169 --> 00:24:16.012]  Then you might have to do something like save your bank account and save your future.
[00:24:16.012 --> 00:24:17.874]  No, no, no, no, no, no, no, no.
[00:24:17.874 --> 00:24:19.135]  Just don't listen to me.
[00:24:19.135 --> 00:24:20.576]  Diamonds are really precious.
[00:24:21.588 --> 00:24:24.050]  Okay, and the Iraq War is really good.
[00:24:24.050 --> 00:24:25.911]  And amnesty isn't.
[00:24:25.911 --> 00:24:28.052]  I'm excuse me.
[00:24:28.052 --> 00:24:29.693]  Sorry, Freudian slip there.
[00:24:29.693 --> 00:24:34.156]  The guest worker program is not an amnesty program.
[00:24:34.156 --> 00:24:36.818]  And Bush wasn't for the assault weapons ban.
[00:24:36.818 --> 00:24:40.080]  And they're not recruiting foreigners for our military.
[00:24:40.080 --> 00:24:42.401]  Everything's fine.
[00:24:42.401 --> 00:24:43.001]  Okay?
[00:24:43.001 --> 00:24:43.982]  There, there.
[00:24:43.982 --> 00:24:45.243]  That makes it a lot easier.
[00:24:46.320 --> 00:24:49.425]  I mean, I hear these people, the same old story.
[00:24:49.425 --> 00:24:52.449]  George Bush appointed the Iraq Study Group.
