[00:00:00.402 --> 00:00:01.444]  Brother.
[00:01:42.482 --> 00:01:46.986]  It is then that all peoples of the world will plead to deliver them from this evil.
[00:01:46.986 --> 00:01:49.709]  The one thing every man fears is the unknown.
[00:01:49.709 --> 00:01:57.718]  When presented with the scenario, individual rights will be willingly relinquished for the guarantee of their well-being granted to them by the world government.
[00:01:58.098 --> 00:02:19.008]  David Rockefeller wrote in his book Memoirs, if the Council on Foreign Relations raises the hackles of the conspiracy theorists, the Bilderberg meetings must induce apocalyptic visions of omnipotent international bankers plotting with unscrupulous government officials to impose cunning schemes on an ignorant and unsuspecting world.
[00:02:20.069 --> 00:02:39.212]  At the 1991 Bilderberg meeting at Badon, Germany, a meeting also attended by Bill Clinton, David Rockefeller said, We are grateful to the Washington Post, the New York Times, Time Magazine, and other great publications whose directors have attended our meetings and respected their promises of discretion for almost 40 years.
[00:02:40.553 --> 00:02:47.981]  It would have been impossible for us to develop our plan for the world if we had been subjected to the lights of publicity during those years.
[00:02:47.981 --> 00:02:52.786]  But the world is more sophisticated and prepared to march towards a world government.
[00:02:52.786 --> 00:03:01.936]  The supranational sovereignty of an intellectual elite and world bankers is surely preferable to the national auto-determination practiced in past centuries.
[00:03:02.837 --> 00:03:06.358]  And David Rockefeller from his book, Memoirs, again.
[00:03:06.358 --> 00:03:21.302]  Some even believe we are part of a secret cabal working against the best interests of the United States, characterizing my family and me as internationalists, and conspiring with others around the world to build a more integrated global political and economic structure.
[00:03:21.302 --> 00:03:23.282]  One world, if you will.
[00:03:23.282 --> 00:03:26.503]  If that's the charge, I stand guilty, and I am proud of it.
[00:03:26.923 --> 00:03:36.529]  Already we've seen leading members of Congress used to always attend the Speaker of the House of Representatives, ranking Senators would attend.
[00:03:36.529 --> 00:03:42.033]  Now they don't dare because they get mail from their own constituents.
[00:03:42.033 --> 00:03:47.376]  Voters in their own congressional district are in their home state from the Senators saying if you
[00:03:49.158 --> 00:03:54.121]  Do business with these criminals anymore, we'll never vote for you again.
[00:03:54.121 --> 00:03:56.503]  We'll vote for anybody else.
[00:03:56.503 --> 00:04:00.286]  And they've been politically frightened out of the ballgame.
[00:04:00.286 --> 00:04:09.953]  19th century politician and historian Lord Acton said the issue which has swept down the centuries and which will have to be fought sooner or later is the people
[00:04:10.613 --> 00:04:12.535]  Versus the Banks.
[00:04:12.535 --> 00:04:19.282]  The ruthless and cunning behavior of the attendees of the Bilderberg Conference can be summed up in the Machiavelli quote,
[00:04:27.731 --> 00:04:40.438]  We can see the ripples of secrecy in the Bilderberg group and that of President Obama's TPP and Adam Weishaupt, founder of the Illuminati's quote, the great strength of our order lies in its concealment.
[00:04:40.438 --> 00:04:42.219]  Let it never appear in any place.
[00:04:42.219 --> 00:04:51.363]  That is just half of the in-depth report, Bilderberg evil in their own words, that is on InfoWars.com and PrisonPlanet.com.
[00:04:51.363 --> 00:04:52.584]  Big transmission coming up.
[00:04:53.993 --> 00:05:00.755]  You've probably heard that synthetic ingredients in your food could be harmful to your health, but what about the clothes on your back?
[00:05:00.755 --> 00:05:05.296]  In the article, The Hidden Toxins in Your Closet, Dr. Group breaks it down.
[00:05:05.296 --> 00:05:14.458]  Popular clothing stores like H&M, Levi's, and Gap are beginning to turn their attention toward producing healthier and more environmentally friendly clothing.
[00:05:14.998 --> 00:05:23.662]  Increased consumer awareness around the dangers of synthetic dyes as well as other things are fueling a drastic revolution in the fashion industry.
[00:05:23.662 --> 00:05:33.966]  Keeping in line with current trends, clothing retailers are finally attempting to appeal to health-conscious buyers as well as appease international health organizations.
[00:05:33.966 --> 00:05:39.208]  And as with any movement, the best way to have your voice heard is to vote with your dollars.
[00:05:39.788 --> 00:05:44.871]  Support companies who make clothing out of bamboo, organic cotton, or flax.
[00:05:44.871 --> 00:05:48.393]  And always choose clothes produced using natural dyes.
[00:05:48.393 --> 00:05:50.674]  You can find more reports on InfoWars.com
[00:05:54.136 --> 00:05:59.881]  Your liver can be full of fatty deposits, built-up toxins, and even dangerous objects known as liver stones.
[00:05:59.881 --> 00:06:14.314]  We worked with the top developers in the field of detox to take tried and true herbs and other compounds known to safely cleanse the liver and fuse it with the latest research and technological development on concentrating these ingredients to give you the maximum effect.
[00:06:14.574 --> 00:06:22.578]  Liver Shield is the only liver support product on the market that uses a patented Spigerex blend of powerful organic herbs that support detoxification.
[00:06:22.578 --> 00:06:28.060]  And when you visit InfoWarsLife.com, see the instructional video on how to do a six-day liver detox.
[00:06:28.060 --> 00:06:31.702]  This isn't a game, and let me tell you, the results are dramatic.
[00:06:31.702 --> 00:06:35.844]  Liver Shield is totally organic and made of the safest, high-quality herbs.
[00:06:35.844 --> 00:06:39.706]  But that said, you need to consult your physician before you do the full detox.
[00:06:40.146 --> 00:06:44.288]  Liver Shield can also be used daily by itself for overall upkeep of the liver.
[00:06:44.288 --> 00:06:49.351]  Secure your Liver Shield today exclusively at InfoWarsLife.com for the lowest price available.
[00:06:49.351 --> 00:06:52.672]  That's InfoWarsLife.com or call 888-253-3139.
[00:06:52.672 --> 00:07:04.158]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade.
[00:07:04.358 --> 00:07:11.463]  My favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:11.463 --> 00:07:16.346]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:07:16.346 --> 00:07:19.988]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:07:21.209 --> 00:07:22.009]  We're good to go.
[00:07:45.183 --> 00:07:51.464]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:07:51.464 --> 00:08:05.387]  Available at Infowarslife.com.
[00:08:05.387 --> 00:08:13.129]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:18.178 --> 00:08:23.483]  It's already Wednesday, the 17th day of June 2015.
[00:08:23.483 --> 00:08:27.668]  I'm your host Alex Jones.
[00:08:27.668 --> 00:08:38.538]  And the news today is absolutely piercing how it exposes the planetary program to bring an absolute dehumanization.
[00:08:38.538 --> 00:08:42.302]  Just look at these three articles I'm about to cover.
[00:08:43.567 --> 00:09:09.831]  New York State Senator Proposes Using GPS Implants Implants To Track Violent Convicts New York State Senator Proposes Using GPS Implants To Track Violent Convicts That's CBS News Now it dovetails with this article out of the London Independent
[00:09:11.030 --> 00:09:15.352]  Self-driving cars may have to be programmed to kill you.
[00:09:15.352 --> 00:09:22.517]  Auto manufacturers and Google and others are admitting, as soon as I read the headline I knew what it was going to say.
[00:09:22.517 --> 00:09:27.639]  The needs of the many outweigh the needs of the one or the few.
[00:09:27.639 --> 00:09:29.560]  That's collectivist thinking.
[00:09:29.560 --> 00:09:36.805]  Self-driving cars may have to be programmed to kill you if it means killing you will save others.
[00:09:37.745 --> 00:09:43.788]  And of course, we know for a long time they've been killing folks with remote control aircraft, remote control automobiles.
[00:09:43.788 --> 00:09:50.031]  All of the new aircraft since about six years ago, all the big commercial ones, have remote control technology in them.
[00:09:50.031 --> 00:09:51.531]  That's in industry publications.
[00:09:51.531 --> 00:09:56.253]  In fact, that's an old story that could be new, because most people don't know about it.
[00:09:56.253 --> 00:10:03.817]  We should pull up those documents to get into a story for the nightly news about, did you know that passenger liners are already remote controlled?
[00:10:03.817 --> 00:10:04.117]  They are.
[00:10:05.266 --> 00:10:09.150]  Bush, one day after 9-11 was in New York, gave a press conference.
[00:10:09.150 --> 00:10:14.235]  He gave one on top of the rubble pile, gave another later at a police headquarters.
[00:10:14.235 --> 00:10:20.542]  And he got up there, and we can't find the video again, but we found the transcript on PBS from a front line.
[00:10:21.772 --> 00:10:26.479]  And he said, well, the great part about it is, is that the planes are remote control.
[00:10:26.479 --> 00:10:29.964]  In fact, these planes were, but we just didn't think about it.
[00:10:29.964 --> 00:10:33.469]  And then they grab him by the arm and tell him to shut up.
[00:10:33.469 --> 00:10:35.312]  Because obviously presidents have real bosses.
[00:10:37.793 --> 00:10:40.014]  And of course the planes were remote controlled.
[00:10:40.014 --> 00:10:41.634]  There was nerve gas released inside.
[00:10:41.634 --> 00:10:47.855]  We don't know the full story, but the only real air phone calls, not the other fake calls the FBI admitted to their credit, were all fake.
[00:10:47.855 --> 00:10:51.116]  There was no calls to the Solicitor General from his wife.
[00:10:51.116 --> 00:10:51.856]  None of that was true.
[00:10:51.856 --> 00:10:53.637]  That came out in CNN even.
[00:10:53.637 --> 00:11:01.139]  But there were two air calls from two aircraft, choking, can't breathe, there's gas, people passing out, help us!
[00:11:01.139 --> 00:11:07.060]  You release nerve gas, or knockout gas, we're not sure which one, you remote control those babies right in.
[00:11:08.370 --> 00:11:09.030]  Whoever did it.
[00:11:09.030 --> 00:11:12.431]  We just know the official story is a fairy tale.
[00:11:12.431 --> 00:11:13.491]  We've got the calls.
[00:11:13.491 --> 00:11:14.792]  Gas can't breathe.
[00:11:14.792 --> 00:11:17.132]  Help!
[00:11:17.132 --> 00:11:20.033]  Self-driving cars may have to be programmed to kill you.
[00:11:20.033 --> 00:11:22.574]  How loving!
[00:11:22.574 --> 00:11:24.094]  We're going to be breaking that down.
[00:11:24.094 --> 00:11:27.355]  That dovetails with this little goblet of news from the Daily Mail.
[00:11:27.355 --> 00:11:31.056]  Will your car or will your job be stolen by a robot?
[00:11:31.056 --> 00:11:33.516]  Will your job be stolen by a robot?
[00:11:33.516 --> 00:11:35.637]  Calculator reveals the likelihood of a droid
[00:11:37.006 --> 00:11:39.687]  Sitting at your desk in the future.
[00:11:39.687 --> 00:11:47.331]  And again, Australia's robot-led future put squeeze on humans, BBC.
[00:11:47.331 --> 00:11:51.293]  How Google turned Alameda into a mad science laboratory.
[00:11:51.293 --> 00:12:00.097]  The decision has been made to build a world not designed for humans.
[00:12:00.097 --> 00:12:02.038]  By all the technocrats.
[00:12:02.038 --> 00:12:06.500]  16 years ago, Bill Joy said this a thousand times, I'll say it again, or more,
[00:12:09.053 --> 00:12:14.474]  Went to a globalist confab with 200 top tech owners and leaders, a bunch of billionaires.
[00:12:14.474 --> 00:12:19.616]  And they had a meeting about, do we kill everybody because humans aren't needed?
[00:12:19.616 --> 00:12:25.997]  Or do we give them toys and games and TV shows and reality shows to watch and virtual reality?
[00:12:25.997 --> 00:12:28.278]  And the decision was made to exterminate.
[00:12:30.728 --> 00:12:41.375]  The decision was made to exterminate, exterminate, like Doctor Who's little bot robots, the Daleks, that go around killing people.
[00:12:41.375 --> 00:12:46.038]  But these aren't your grandpa's or daddy's Daleks.
[00:12:46.038 --> 00:12:53.903]  And I just sit here warning everyone that Wozniak, the founder of Apple, said the same thing.
[00:12:53.903 --> 00:12:58.546]  The creator of the internet has come out and said the same thing.
[00:12:58.546 --> 00:12:59.667]  I forget his name, he's a British.
[00:13:00.487 --> 00:13:01.869]  British royalty now.
[00:13:01.869 --> 00:13:04.531]  He's been, you know, promoted because of inventing the internet.
[00:13:04.531 --> 00:13:05.352]  It wasn't Al Gore.
[00:13:05.352 --> 00:13:10.157]  I mean, they're just all out there warning everyone.
[00:13:10.157 --> 00:13:13.540]  In fact, they're actually good people.
[00:13:13.540 --> 00:13:16.844]  They're telling you the elite have made the decision.
[00:13:16.844 --> 00:13:19.706]  Apple co-founder, Washington Post, on artificial intelligence.
[00:13:19.706 --> 00:13:22.089]  The future is scary and very bad for people.
[00:13:24.485 --> 00:13:34.169]  And you can argue these guys really aren't good, that there's a metaphysical rule that they've got to warn you and tell you what they're doing to you before they do it.
[00:13:34.169 --> 00:13:41.732]  But I've actually talked to a lot of high-level people, and they're completely freaked out.
[00:13:41.732 --> 00:13:43.093]  The owner of Tesla.
[00:13:44.918 --> 00:13:52.066]  I happen to know is a listener and has told people, mutual friends, that he's a listener and he's totally freaked out.
[00:13:52.066 --> 00:13:55.670]  And you see him running around warning everybody as well.
[00:13:55.670 --> 00:14:01.457]  I mean, basically, Stephen Hawking's out there saying the exact same thing because it's a fact.
[00:14:03.237 --> 00:14:08.720]  Humans are supposed to take control of their environment and control it and build a future for humans.
[00:14:08.720 --> 00:14:17.085]  The elite have decided to steal the future from humans, act like they're a new species, break away and merge with machines.
[00:14:17.085 --> 00:14:24.329]  One of the few people not pushing this, warning people, is Ray Kurzweil.
[00:14:24.329 --> 00:14:27.151]  He says, the head of Google technology development, he said,
[00:14:29.704 --> 00:14:32.286]  Doesn't matter if you don't merge with machines.
[00:14:32.286 --> 00:14:34.188]  We'll just step on you like you're a bug.
[00:14:34.188 --> 00:14:35.489]  You won't even count.
[00:14:35.489 --> 00:14:38.191]  You'll be lucky to try to merge with the machines.
[00:14:38.191 --> 00:14:44.617]  There's going to be a race to become the human-AI hybrid, and all of you that don't understand that are left in the dust.
[00:14:44.617 --> 00:14:47.259]  The decision has been made.
[00:14:50.782 --> 00:14:51.943]  I'm going to say that again.
[00:14:51.943 --> 00:15:03.835]  The decision has been made to build a dystopic anti-human system that is so hellish you beg to be euthanized.
[00:15:05.540 --> 00:15:13.666]  And you'll be told in a ritual, the UN's already developing this, that you're actually being uploaded, your consciousness and your wisdom to the cloud.
[00:15:13.666 --> 00:15:23.132]  You're going to shed your body and loved ones will be able to talk to their mother and their father and their brother and their sister who've already decided to go on.
[00:15:23.132 --> 00:15:29.777]  It'll look and sound just like you in a hologram and people are going to believe it and just basically walk into the bug zapper.
[00:15:31.718 --> 00:15:52.254]  Because the resources are going to be turned off, the economy is going to be gamed and tilted and jilted and stilted to where it's so hellish, by design, you can only live biologically by giving up all of your sovereignty and merging with nanotech, genetic engineering and hypercomputing.
[00:15:53.615 --> 00:16:10.729]  And everything will be organized and run by IBM and Google's Watson computer, named after the progenitor of the Holocaust, Thomas Watson, who advised and ran the entire Hitler operation, basically, from the United States.
[00:16:13.297 --> 00:16:20.861]  And right now it runs the extermination operations against the vets, the don't treat list, off your political actuaries, as a beta test.
[00:16:20.861 --> 00:16:32.447]  And now it's rolling out in the next few years, system-wide, planetary-wide, total control, down to the treatment your dog gets at the vet is now under Watson's control in most areas.
[00:16:32.447 --> 00:16:37.410]  The treatment that your doctor can give you is now under Watson's control.
[00:16:37.410 --> 00:16:39.571]  You cannot make up the full magnitude.
[00:16:39.571 --> 00:16:41.412]  Jade Helm is a Watson computer
[00:16:42.708 --> 00:16:49.510]  Algorithm codenamed Mastering the Human Domain.
[00:16:49.510 --> 00:16:54.371]  And it's not codenamed anymore.
[00:16:54.371 --> 00:17:04.014]  And those that are smart enough to even physically resist down the road or try to sabotage fiber optic or try to jam systems, then they'll dispatch special forces to kill you.
[00:17:05.288 --> 00:17:10.192]  As the special forces families die of cancer and their children are mentally retarded.
[00:17:10.192 --> 00:17:24.182]  I mean soon, half the public is going to be basically mentally retarded or have serious disabilities and then it's going to be 70-80% and by then, just 15-20 years from now, robots are going to be everywhere.
[00:17:28.530 --> 00:17:30.831]  I mean, you want a hell future, baby?
[00:17:30.831 --> 00:17:33.851]  Implantable microchips, you name it, to buy and sell.
[00:17:33.851 --> 00:17:34.612]  It's all here.
[00:17:34.612 --> 00:17:36.152]  It's all being announced.
[00:17:36.152 --> 00:17:39.173]  It isn't Alex Jones telling you 18 years ago or 20 years ago.
[00:17:39.173 --> 00:17:41.373]  It's CBS News with a straight face.
[00:17:41.373 --> 00:17:44.454]  It's the news announcing worldwide forced inoculations.
[00:17:44.454 --> 00:17:46.775]  It's the churches hailing world government.
[00:17:46.775 --> 00:17:54.737]  It's the Catholic Church, the Pope, calling for planetary government to enforce carbon taxes and carbon credits and carbon regimes.
[00:17:54.737 --> 00:17:56.037]  I mean, it's here.
[00:18:02.150 --> 00:18:08.013]  And if it wasn't for the hand of God, even the elect would be deceived.
[00:18:08.013 --> 00:18:11.735]  DARPA is announcing brain chips to, quote, get rid of bad memories.
[00:18:11.735 --> 00:18:15.877]  They're already, for six years, been implanting them in troops publicly.
[00:18:15.877 --> 00:18:18.019]  We knew about it 15 years ago.
[00:18:18.019 --> 00:18:24.682]  They take troops with PTSD and tell them, we'll give you unlimited private health care and everything if you just accept this.
[00:18:24.682 --> 00:18:26.623]  And then after that, it gets even worse.
[00:18:26.623 --> 00:18:30.145]  They give them viral injections that eat part of their brain.
[00:18:30.145 --> 00:18:31.686]  You name it, it's all here.
[00:18:34.898 --> 00:18:37.500]  You cannot make up where we're already at.
[00:18:37.500 --> 00:18:40.503]  It's already far worse than I even know.
[00:18:40.503 --> 00:18:42.604]  It's always worse than I even know.
[00:18:42.604 --> 00:18:43.925]  People think I'm exaggerating.
[00:18:43.925 --> 00:18:44.806]  It's the opposite.
[00:18:44.806 --> 00:18:46.327]  It's far worse.
[00:18:46.327 --> 00:18:47.849]  And I'm not trying to be negative here.
[00:18:47.849 --> 00:18:50.791]  The only way to beat this is to face how far we've fallen.
[00:18:50.791 --> 00:18:52.572]  Oh, I just mentioned three articles.
[00:18:52.572 --> 00:18:56.336]  I've got over 160 articles.
[00:18:56.336 --> 00:18:57.817]  Each one of them more insane than the last.
[00:19:00.305 --> 00:19:04.787]  We told you Europe was designed to implode and then continue the consolidation.
[00:19:04.787 --> 00:19:14.171]  Well now, it's in mainstream news that the next great European financial crisis has begun.
[00:19:14.171 --> 00:19:17.973]  But don't worry, the NSA is not in trouble for illegal spying.
[00:19:17.973 --> 00:19:22.775]  The Cardinals are being investigated for hacking into Astro's database.
[00:19:22.775 --> 00:19:28.718]  That's right, because people only care about sports, so they'll give you a government that goes after scandals in soccer and in baseball.
[00:19:29.907 --> 00:19:34.890]  And in football... What a joke.
[00:19:34.890 --> 00:19:42.814]  Well, meanwhile... 90 plus percent of technocrats say, we're sorry the decision's been made to kill you.
[00:19:42.814 --> 00:19:44.935]  Don't let your children have iPads.
[00:19:44.935 --> 00:19:46.516]  It's there to brain damage them.
[00:19:46.516 --> 00:19:48.557]  I'm Steve Jobs.
[00:19:48.557 --> 00:19:50.598]  And I approve this message.
[00:19:50.598 --> 00:19:52.399]  So they feel okay about what they're doing.
[00:19:54.568 --> 00:20:00.793]  It's time to build your own emergency food stockpile with the industry leader, MyPatriotSupply.
[00:20:00.793 --> 00:20:06.957]  Once you try them, you'll know why so many Americans like you have made them part of their emergency preparedness plan.
[00:20:06.957 --> 00:20:12.001]  Experience the MyPatriotSupply difference today with this unbelievable offer.
[00:20:12.001 --> 00:20:17.405]  Right now, a four-week food supply is only $99, and that includes free shipping.
[00:20:17.405 --> 00:20:19.387]  That's 50% off the online price.
[00:20:19.867 --> 00:20:23.728]  Call 800-274-3070 to claim yours.
[00:20:23.728 --> 00:20:26.229]  Limit two per caller while supplies last.
[00:20:26.229 --> 00:20:32.031]  This offer isn't available online, so you want to make sure and grab this opportunity to get prepared today.
[00:20:32.031 --> 00:20:36.753]  800-274-3070 to get your four-week food supply for the incredible price of only $99, and it'll be shipped to you completely free.
[00:20:42.995 --> 00:20:46.677]  Call 800-274-3070 right now.
[00:20:46.677 --> 00:20:51.760]  That's 800-274-3070 to claim yours while supplies last.
[00:20:51.760 --> 00:20:52.621]  Don't wait.
[00:20:52.621 --> 00:20:54.021]  Call today.
[00:20:54.021 --> 00:20:56.002]  It's absolutely heartbreaking.
[00:20:56.002 --> 00:21:05.668]  All over America, people are suffering from issues related to angina pain, high blood pressure, congestive heart failure, irregular heartbeat, clogged arteries, and high cholesterol.
[00:21:05.888 --> 00:21:11.452]  Can you live your life free from sickness, pain, and fear and experience your body healing itself?
[00:21:11.452 --> 00:21:16.515]  Look to Heart and Body Extract, an all-natural supplement that aids ailing bodies.
[00:21:16.515 --> 00:21:20.318]  It has an exclusive formula of wild-crafted and organic herbs.
[00:21:20.318 --> 00:21:23.620]  End the pain without all the side effects of prescription drugs.
[00:21:23.620 --> 00:21:26.642]  People 20 years younger will envy your vitality.
[00:21:26.642 --> 00:21:28.323]  Want a happier, healthier you?
[00:21:28.323 --> 00:21:32.245]  Then go to heartandbody.com or call toll-free 866-295-5305 for free information.
[00:21:34.747 --> 00:21:40.131]  Heart and Body Extract offers a lifetime guarantee with no price increase in over 14 years.
[00:21:40.131 --> 00:21:41.272]  What are you waiting for?
[00:21:41.272 --> 00:21:46.897]  Call Heart and Body now at 866-295-5305 for your free information.
[00:21:46.897 --> 00:21:47.878]  Go to heartandbody.com.
[00:21:47.878 --> 00:21:47.978]  866-295-5305.
[00:21:47.978 --> 00:21:49.599]  Distributor inquiries welcome.
[00:21:53.939 --> 00:21:55.721]  Honey, it's time for dinner.
[00:21:55.721 --> 00:21:57.583]  What are you doing over there on your computer?
[00:21:57.583 --> 00:21:59.064]  I'm shopping for a new wallet.
[00:21:59.064 --> 00:22:00.626]  Mine is falling apart.
[00:22:00.626 --> 00:22:06.772]  Hey, did you know there's a company called ID Stronghold that makes shielded wallets to prevent electronic pickpocketing?
[00:22:06.772 --> 00:22:10.015]  Oh, I didn't realize there was such a thing as electronic pickpocketing.
[00:22:10.015 --> 00:22:10.536]  What is that?
[00:22:10.836 --> 00:22:20.384]  Well, apparently many of the new credit and debit cards being issued have radio chips inside them called RFID to transmit our banking information to card readers when we pay.
[00:22:20.384 --> 00:22:29.112]  Unfortunately, a bad guy can also get one of these readers and go around the city scanning people, collecting their credit card numbers and personal information without us knowing it.
[00:22:29.112 --> 00:22:29.732]  Wow!
[00:22:29.732 --> 00:22:31.053]  That sounds scary.
[00:22:31.053 --> 00:22:35.497]  Since you're getting a new wallet anyway, you should definitely get an ID Stronghold shielded wallet.
[00:22:35.497 --> 00:22:36.318]  Are they more expensive?
[00:22:36.758 --> 00:22:37.258]  No.
[00:22:37.258 --> 00:22:44.943]  In fact, I can get a shielded leather wallet from IDStronghold.com for the same price or less than regular unshielded wallets from other stores.
[00:22:44.943 --> 00:22:46.144]  Sounds great!
[00:22:46.144 --> 00:22:48.765]  My wallet isn't falling apart yet, but let me pick one out too.
[00:22:48.765 --> 00:22:52.848]  I want to be protected, and these wallets at IDStronghold.com look fantastic!
[00:22:53.424 --> 00:22:54.404]  Hey, Berky Guy here.
[00:22:54.404 --> 00:22:56.225]  Are you still drinking unfiltered tap water?
[00:22:56.225 --> 00:22:57.985]  Does your water contain chlorine or fluoride?
[00:22:57.985 --> 00:22:59.925]  Will you have drinkable water in an emergency?
[00:22:59.925 --> 00:23:05.927]  The Berky Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:05.927 --> 00:23:09.547]  We offer Berky Water Purification Systems at the lowest available prices online.
[00:23:09.547 --> 00:23:11.528]  Don't go another moment without Berky System.
[00:23:11.528 --> 00:23:14.628]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:14.628 --> 00:23:17.889]  Join them by visiting GoBerky.com or call me, the Berky Guy, at 877-886-3653.
[00:23:17.889 --> 00:23:18.069]  That's 877-886-3653.
[00:23:24.502 --> 00:23:29.543]  KDArmor.com is your one-stop shop for the most affordable body armor period.
[00:23:29.543 --> 00:23:34.284]  With packages starting at $169.99 and free shipping on every order.
[00:23:34.284 --> 00:23:38.505]  KD offers soft armor and rifle threat rated armor up to level 4.
[00:23:38.505 --> 00:23:43.106]  Go to KDArmor.com and get your body armor today while you still can.
[00:23:43.106 --> 00:23:48.507]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:23:48.507 --> 00:23:51.268]  That's KDArmor.com.
[00:23:51.268 --> 00:23:52.148]  Come and take it!
[00:24:04.068 --> 00:24:11.040]  AI smart dust, smart meters, the RFID implanted, the cameras, the microphones.
[00:24:14.028 --> 00:24:23.475]  It's all being announced on mainstream news that, oh, your iPhone's gonna watch you, your droid's gonna watch you, and if you're in trouble, it's gonna call the police.
[00:24:23.475 --> 00:24:28.378]  But don't worry, it's just some artificially intelligent tech that knows when there's a problem.
[00:24:28.378 --> 00:24:31.060]  Oh, the new car is coming out.
[00:24:31.060 --> 00:24:35.743]  They're gonna have sensors of humans in it, and it gets too hot, and it's gonna call the cops.
[00:24:35.743 --> 00:24:39.026]  There won't be any kids overheating and dying in the car anymore.
[00:24:40.675 --> 00:24:42.897]  Oh, the cameras on the highways.
[00:24:42.897 --> 00:24:46.641]  Computers are monitoring those and will flag suspicious activity.
[00:24:46.641 --> 00:24:50.285]  This has already been going on for years, but now it's rolling out.
[00:24:50.285 --> 00:25:02.496]  And then when you're 11-year-olds playing in the backyard at 5 o'clock, the police will come and take them away from you and put them in foster care, saying it's neglect.
[00:25:02.496 --> 00:25:02.737]  You see,
[00:25:04.013 --> 00:25:08.236]  This nanny state is run by the globalist and is evil.
[00:25:08.236 --> 00:25:10.377]  That's why it's so bad.
[00:25:10.377 --> 00:25:23.206]  And we're paying for it and they didn't ask us, they just put the Trojan horse techs, the Trojan horse tech in everything.
[00:25:23.206 --> 00:25:26.569]  And this just hit me again this morning how hardcore this is.
[00:25:30.914 --> 00:25:36.458]  I have trouble even talking, realizing that the elite have made the decision to do this.
[00:25:36.458 --> 00:25:39.380]  In fact, put that back on screen if you can.
[00:25:39.380 --> 00:25:47.066]  National News last week, 11-year-old boy played in his yard, CPS took him, felony charges for parents.
[00:25:47.066 --> 00:25:51.929]  See, it was worse than my memory had had.
[00:25:51.929 --> 00:25:57.293]  They didn't just take the child, they charged the parents with felonies.
[00:25:57.293 --> 00:25:57.934]  That's in Florida.
[00:26:00.748 --> 00:26:05.170]  And I just go back to that because it illustrates everything we're talking about.
[00:26:05.170 --> 00:26:09.052]  This is a hellhole for everybody.
[00:26:09.052 --> 00:26:23.799]  And ahead of the machine takeover, the chemicals, the biologicals are in the food and water, with powdered eggs and bread and other processed foods having 300 to 700 plus
[00:26:27.898 --> 00:26:34.079]  Parts per million of hydrofluorosilicic acid in powder form.
[00:26:34.079 --> 00:26:36.500]  That's strong enough to kill roaches.
