[00:00:00.089 --> 00:00:04.812]  I've blown up at people and been disparaging, whereas I shouldn't have been.
[00:14:12.410 --> 00:14:15.831]  It's not all the diversions and the tabloids and all the rest of the crap.
[00:14:15.831 --> 00:14:17.051]  They're talking about it.
[00:14:17.051 --> 00:14:21.873]  Do you watch C-SPAN on a regular basis, governmental channels, and watch them?
[00:14:21.873 --> 00:14:23.474]  They're taking over our government.
[00:14:23.474 --> 00:14:29.336]  They created these unelected, unaccountable bureaucracies that now owe their allegiance to foreign nations.
[00:14:29.336 --> 00:14:30.937]  Later, I'm going to read an executive order.
[00:14:30.937 --> 00:14:37.259]  In fact, I'll do it now before I forget to get to this.
[00:14:37.259 --> 00:14:38.499]  This is an executive order.
[00:14:38.499 --> 00:14:39.460]  You can go to the Clinton
[00:14:40.765 --> 00:14:42.086]  Excuse me, the U.S.
[00:14:42.086 --> 00:14:45.749]  White House website, check this out.
[00:14:45.749 --> 00:14:49.192]  It is Executive Order 13107.
[00:14:49.192 --> 00:14:55.997]  And it talks a real good game about human rights until you get down into Section 29 and below.
[00:14:56.678 --> 00:15:05.206]  Article 29 states that these rights and freedoms may in no case be exercised contrary to the purposes and principles of the United Nations.
[00:15:05.206 --> 00:15:11.811]  In other words, these rights or freedoms only go as far as if you speak for the UN and nobody else.
[00:15:11.811 --> 00:15:18.978]  They'll give you all these rights and then say, but if it's against our, what we're for, it's a global government, it's empire, it's Rome!
[00:15:20.000 --> 00:15:26.242]  You think a bunch of guys with handmade robes and spears and chariots can take over half the known world?
[00:15:26.242 --> 00:15:29.443]  Well, dammit guys, these people have taken over.
[00:15:29.443 --> 00:15:34.384]  And the European Union just went online this Monday.
[00:15:34.384 --> 00:15:38.745]  It actually went online over the weekend, but today is when it went online in actuality.
[00:15:38.745 --> 00:15:42.026]  I mean, you guys need to wake up and realize the threat we're dealing with.
[00:15:43.203 --> 00:15:45.624]  You need to find out what's really happening.
[00:15:45.624 --> 00:15:52.367]  I mean, gentlemen, ladies, this is the most hardcore decision you are ever going to make in your life.
[00:15:52.367 --> 00:15:53.748]  We have had incredible wars
