[00:00.000 --> 00:29.000]  Don't bother, they're here.
[07:03.000 --> 07:10.000]  Let me do this. Let me just read you some of the headlines out of the 200 or so articles and the 100 or so video clips I've got here in front of me.
[07:10.000 --> 07:16.000]  Let me just do that for you and then I'll go through as much of it as I can.
[07:16.000 --> 07:18.000]  Let me just go right over here.
[07:18.000 --> 07:20.000]  This is the Washington Post yesterday.
[07:20.000 --> 07:25.000]  We are testing too many vaccinated people who lack COVID symptoms.
[07:25.000 --> 07:30.000]  And they're saying the PCR test is 90 plus percent false positive.
[07:30.000 --> 07:40.000]  And so they should just stop testing the people that have had the vaccine and only make those of us that haven't take the test so they can then restrict us, which they admits a fraud.
[07:40.000 --> 07:51.000]  They admit criminal evil activity. That's just one article. Oh, and they admit Trump was right the whole time when Trump wants you to believe coronavirus cases are up because they test.
[07:51.000 --> 07:54.000]  He's wrong. Really? That was October of last year.
[07:54.000 --> 07:58.000]  That headline aged quite well, didn't it?
[07:58.000 --> 08:01.000]  Trump said more COVID-19 testing creates more cases.
[08:01.000 --> 08:05.000]  Gee, we did the math and he's wrong, says the news.
[08:05.000 --> 08:09.000]  No, so that's a big story right there, huh?
[08:09.000 --> 08:13.000]  Get it? You're going to be tested because you haven't been injected with the poison.
[08:13.000 --> 08:18.000]  They're going to say you're positive the contact traces are going to take you away.
[08:18.000 --> 08:23.000]  By the way, that was announced on Austin News last night.
[08:23.000 --> 08:26.000]  I got home last night after a business dinner.
[08:26.000 --> 08:35.000]  The first thing I saw was oh, it's a fiasco with the town hall that it ended with Biden as he publicly basically dies on stage.
[08:35.000 --> 08:41.000]  That's all that on purpose is to rub it into our faces. This is a sick joke for the globalist and moralizes.
[08:41.000 --> 08:50.000]  Before I did that, I looked at this KXAN news piece that sounds like something like a 1980s movie like Running Man and a Future dystopic thing.
[08:50.000 --> 08:57.000]  It's like we're coming with the contact tracers to take you out of your house. Please comply with the contact tracers.
[08:57.000 --> 09:03.000]  And then the contact tracers we've got in Texas are controlled by Google and the Clinton Foundation.
[09:03.000 --> 09:06.000]  Just can't make that up. That's a headline.
[09:06.000 --> 09:11.000]  Austin Public Health gets tested for COVID-19.
[09:11.000 --> 09:16.000]  Comply with contact tracers to help stop the spread. It's not the illness now.
[09:16.000 --> 09:19.000]  It's the spread that a fake computer says you have.
[09:19.000 --> 09:25.000]  That's just one article on a whole stack.
[09:25.000 --> 09:33.000]  We've got in other news massive looting going on all over the country in Democrat cities who passed laws allowing looting.
[09:33.000 --> 09:37.000]  Watch California shoplifter stroll out of TJ Maxx with arms full of merchandise.
[09:37.000 --> 09:40.000]  One of them looks like Santa Claus with a huge bag over their back.
[09:40.000 --> 09:46.000]  Eric Clapton says he won't play shows where proof of vaccine is required. That's how you push back.
[09:46.000 --> 09:48.000]  That's just some of the news.
[09:48.000 --> 09:53.000]  Let me plow through some more of the COVID takeover news because that's everything.
[09:53.000 --> 09:57.000]  This is a video Senator Ron Johnson unloads on Fauci.
[09:57.000 --> 09:59.000]  We're going to play this next segment.
[09:59.000 --> 10:02.000]  He's culpable. He's lying. He needs to be held accountable.
[10:02.000 --> 10:04.000]  And Johnson's one of the best guys we got up there.
[10:04.000 --> 10:12.000]  He goes, this is the big media, the big corporations doing this to take our rights, suppressing treatments, suppressing news, using fake testing.
[10:12.000 --> 10:17.000]  This is a criminal takeover. Yes, where this is 21st century war.
[10:17.000 --> 10:19.000]  This is the modern warfare attack.
[10:19.000 --> 10:23.000]  Let's wake up to that and let's understand that.
[10:23.000 --> 10:30.000]  Austin Public Health get tested for COVID-19 comply with contact tracers to help stop the spread.
[10:30.000 --> 10:33.000]  And that ties in to the next story.
[10:33.000 --> 10:41.000]  Biden administration considering urging vaccinated people to start wearing face masks again as delta variant spreads and vaccine rollout stalls.
[10:41.000 --> 10:44.000]  You see, you must always take the shots to leave your house.
[10:44.000 --> 10:46.000]  There will always be new variants.
[10:46.000 --> 10:48.000]  You must always take new shots to leave your house.
[10:48.000 --> 10:52.000]  And then you still can't leave your house as they get ready to announce new lockdowns.
[10:52.000 --> 11:00.000]  Biden gets ready for mask mandates for children under 12 because they know they're not going to end up approving it under 12.
[11:00.000 --> 11:03.000]  There's just some little speck of humanity left.
[11:03.000 --> 11:09.000]  And so, oh, we're just going to muzzle them and with two masks and teach them that they're slaves.
[11:09.000 --> 11:16.000]  Meanwhile, Democrat who features in infamous massless flight pick calls for universal mask wearing.
[11:16.000 --> 11:18.000]  Of course they do.
[11:18.000 --> 11:19.000]  And it's all over the world.
[11:19.000 --> 11:24.000]  English care homes could lose 70,000 staff over mandatory COVID jab.
[11:24.000 --> 11:29.000]  It's all fraudulent and huge developments on that front.
[11:29.000 --> 11:30.000]  Shock.
[11:30.000 --> 11:35.000]  Doctor warns the majority of vaccinated patients could have permanent heart damage.
[11:35.000 --> 11:37.000]  Some may die within three years.
[11:37.000 --> 11:39.000]  That's what the studies show.
[11:39.000 --> 11:43.000]  Very powerful.
[11:43.000 --> 11:48.000]  List of UK venues that could mandate vaccine passports already expanding.
[11:48.000 --> 11:49.000]  Oh, don't worry.
[11:49.000 --> 11:50.000]  It's only a few places.
[11:50.000 --> 11:51.000]  Oh, now it's the grocery store.
[11:51.000 --> 11:53.000]  That'll come here as well.
[11:53.000 --> 11:56.000]  That's majority of Cape Cod COVID clusters were vaccinated.
[11:56.000 --> 11:58.000]  That whole stack of all the world.
[11:58.000 --> 12:02.000]  It's the vaccinated that are mainly dying and mainly getting sick with the actual numbers.
[12:02.000 --> 12:03.000]  But don't worry.
[12:03.000 --> 12:12.000]  Fauci is all over the news saying 99% of the new cases and the deaths are the unvaccinated lying to you.
[12:12.000 --> 12:18.000]  And each one of these is a inch and a half stack of articles we're going to be getting to.
[12:18.000 --> 12:26.000]  More on Ron Paul's double down saying Rand Paul is double down saying that he wants criminal charges against Fauci.
[12:26.000 --> 12:33.000]  Fauci's clearly been caught lying about funding gain of function caught as red handed as anyone ever was.
[12:33.000 --> 12:36.000]  That ties into communist China really getting upset.
[12:36.000 --> 12:45.000]  They don't want investigation of Wuhan but then starting to threaten that, hey, we had an agreement with Fort Dietrich and Obama to transfer these viruses to us.
[12:45.000 --> 12:51.000]  So when they say, hey, the Pentagon's involved, that's true under Obama.
[12:51.000 --> 12:54.000]  Trump was not involved in this by just defending Trump.
[12:54.000 --> 12:55.000]  It's a fact.
[12:55.000 --> 13:01.000]  2017 he killed these programs to the outrage of the New World Order.
[13:01.000 --> 13:04.000]  But China's like, hey, if you're going to bust us, we're going to bust you.
[13:04.000 --> 13:09.000]  We're really getting to that critical point where it's very pregnant right now, nine months pregnant.
[13:09.000 --> 13:12.000]  They're not going to be able to keep the truth from being born.
[13:12.000 --> 13:17.000]  So very explosive point to be at.
[13:17.000 --> 13:20.000]  Right now we're going to be talking about all of that.
[13:20.000 --> 13:23.000]  Obviously we're talking about the.
[13:23.000 --> 13:36.000]  Designed Cyop to demoralize us of having Biden continually for an hour and a half or however long it lasted, it seemed like 10 hours long of the town hall last night.
[13:36.000 --> 13:46.000]  Self-destructing melting down actual dementia on stage, not knowing where he was completely full of horse crap.
[13:46.000 --> 13:50.000]  Again, I've had family members die in front of me that were more cogent than this.
[13:50.000 --> 13:54.000]  I mean, this was this.
[13:54.000 --> 13:57.000]  They're all laughing at him, too.
[13:57.000 --> 14:02.000]  And by the way, they mainly only had Democrat party staff, they admit now.
[14:02.000 --> 14:08.000]  And they also had people that work for the network that hosted the town hall.
[14:08.000 --> 14:12.000]  They're in attendance, but they were laughing at Joe Biden.
[14:12.000 --> 14:14.000]  I mean, because it's all about laughing in America.
[14:14.000 --> 14:16.000]  That's coming up.
[14:16.000 --> 14:20.000]  And I've only scratched the surface of what we're going to be breaking down.
[14:20.000 --> 14:23.000]  There's also an excellent article at zero hedge.
[14:23.000 --> 14:28.000]  Klaus Schwab, the humanist versus Klaus Schwab, the terrorist.
[14:28.000 --> 14:35.000]  And that's really what they are as environmental terrorists who claim they're doing all this to bring down human society to save the earth from us.
[14:35.000 --> 14:38.000]  But really they're transhumanist playing God.
[14:38.000 --> 14:41.000]  That is all coming up as well.
[14:41.000 --> 14:52.000]  And we've got Biden regime promotes racial justice guide, pushing students and teachers to quote disrupt whiteness and remove whiteness from America.
[14:52.000 --> 14:55.000]  Sounds a lot like genocide.
[14:55.000 --> 14:58.000]  So that's all going to be broken down.
[14:58.000 --> 15:07.000]  But the first thing I want to hit is big tech and the big media working in this combine.
[15:07.000 --> 15:16.000]  And it ties into the short little piece we're going to play of Senator Ron Johnson talking about the culpability of Fauci and others.
[15:16.000 --> 15:21.000]  How big tech isn't just censoring, they're murdering people.
[15:21.000 --> 15:24.000]  They're murdering your ability to get medical care.
[15:24.000 --> 15:26.000]  They're murdering your ability to get the truth.
[15:26.000 --> 15:32.000]  They're murdering your ability to get treatments that are basically 100% effective and they are murdering our republic.
[15:32.000 --> 15:33.000]  And they are criminals.
[15:33.000 --> 15:34.000]  They are terrorists.
[15:34.000 --> 15:37.000]  They are terrorists.
[15:37.000 --> 15:47.000]  They are now banning mainline news sites that point out vaccine injection, experimental injection of children without protocols since illegal.
[15:47.000 --> 15:49.000]  YouTube is now banning that.
[15:49.000 --> 15:51.000]  I mean, they are raping us.
[15:51.000 --> 15:57.000]  They are suppressing us while this depopulation sterilization operations carried out.
[15:57.000 --> 15:59.000]  They are terrorists.
[15:59.000 --> 16:10.000]  There's one central fact of criminal psychology that criminologists all agree on and that its criminals are extremely pathological.
[16:10.000 --> 16:14.000]  Even more the general public, they do the same things over and over again.
[16:14.000 --> 16:19.000]  And criminals like to commit the same types of crimes over and over again.
[16:19.000 --> 16:32.000]  Well, guess what? It was Anthony Fauci and Eugenice's globalist that ran the rollout of HIV and the mistreatment of it with AZT and other chemicals that actually killed more people than HIV.
[16:32.000 --> 16:41.000]  And they were the ones involved in viral research of viruses that would actually go attack the T lymphocytes in the body and create autoimmune disorders.
[16:41.000 --> 16:47.000]  The problem for them was the viruses would then break down and would be non-lethal down the road.
[16:47.000 --> 16:56.000]  That's why they need to roll out the COVID-19 and the vaccine because now they admit the COVID-19 vaccine destroys your immune system, basically giving you the equivalent of HIV.
[16:56.000 --> 17:17.000]  That's right, ladies and gentlemen.
[17:26.000 --> 17:52.000]  That's right, ladies and gentlemen.
[17:52.000 --> 18:21.000]  You're listening to the Alex Jones show.
[18:21.000 --> 18:26.000]  You are listening to an infowars.com frontline report.
[18:26.000 --> 18:32.000]  If you are receiving this transmission, you are the resistance.
[18:32.000 --> 18:36.000]  All right, finally, finally, Congress gets the big picture.
[18:36.000 --> 18:55.000]  It's a premeditated, launched multinational globalist, UN, big tech, Fortune 100, Chi-Com Alliance, New World Ordered Attack on the Western world, on the middle class, on small businesses, on ranchers, on farmers, on what's left of the Western world.
[18:55.000 --> 18:56.000]  This is a consolidation of power.
[18:56.000 --> 18:59.000]  China's doubled its power, doubled its profits the last year.
[18:59.000 --> 19:07.000]  Some of all the big techs, some of all the big banks, they are assaulting us viciously, preparing another forced worldwide lockdown.
[19:07.000 --> 19:08.000]  And look at this.
[19:08.000 --> 19:17.000]  YouTube deletes family research council video about vaccinating minors against parental consent so they can cover up the criminal activity going on.
[19:17.000 --> 19:26.000]  YouTube deletes 15 videos from Brazilian President Bolsonaro channel for COVID, quote, misinformation, which, again, says it came out of the lab and says Hydroxychloroquine helps you.
[19:26.000 --> 19:30.000]  They want to suppress you. They want to terrorize you. They want to literally rape you.
[19:30.000 --> 19:32.000]  And so that's what we're going to be raking down.
[19:32.000 --> 19:35.000]  But first, I want to point this out.
[19:35.000 --> 19:40.000]  This video on Facebook, on Twitter, on Instagram had millions and millions of views, different versions.
[19:40.000 --> 19:43.000]  They've been pulling it down, calling it vaccine disinfo.
[19:43.000 --> 19:47.000]  So vaccine disinfo from a time machine three years ago.
[19:47.000 --> 19:49.000]  I'm going to play this clip next segment.
[19:49.000 --> 19:53.000]  Watch Alex Jones predict a lockdown from manufactured virus pandemic in 2018.
[19:53.000 --> 19:57.000]  They're not banning it because it's false. They're banning it because it's true.
[19:57.000 --> 20:01.000]  So now if somebody wrote a book 100 years ago about a stage pandemic, would you ban it?
[20:01.000 --> 20:05.000]  Viva Vendetta is about that.
[20:05.000 --> 20:08.000]  You're going to ban Viva Vendetta now? This is how controlled they are.
[20:08.000 --> 20:13.000]  Here's part of Senator Johnson knocking it out of the park on Fox News.
[20:13.000 --> 20:18.000]  Blying here, Senator, it is you.
[20:18.000 --> 20:25.000]  Wow. Senator Rand Paul says that now fashion will be the subject of a criminal referral in a new letter to the Department of Justice.
[20:25.000 --> 20:28.000]  Trotomy right now with more on this is Wisconsin Senator,
[20:28.000 --> 20:33.000]  member of the Senate Homeland Security, Foreign Relations, Budget Committees, Ron Johnson.
[20:33.000 --> 20:37.000]  Senator, it's wonderful to see you again. Thanks very much for being here.
[20:37.000 --> 20:41.000]  Way in on what you just heard in terms of gain of function research.
[20:41.000 --> 20:45.000]  Was it taking place in the Wuhan lab of virology?
[20:45.000 --> 20:51.000]  Good morning, Maria. And of course, Dr. Fauci funded gain of function research.
[20:51.000 --> 20:56.000]  He can deny it all he wants. He can have his staff, who are beholden to him for their jobs,
[20:56.000 --> 21:03.000]  claim that somehow what is clearly gain of function research isn't gain of function research, but it was.
[21:03.000 --> 21:08.000]  He's culpable. He's lying about it. And he needs to be held accountable for it.
[21:08.000 --> 21:15.000]  We've written letters to Francis Collins, I guess his ultimate boss, the director of NIH.
[21:15.000 --> 21:20.000]  We're getting no response whatsoever. So the federal government, these federal health agencies,
[21:20.000 --> 21:27.000]  agencies have to become transparent. And I, for one, really appreciate what Senator Paul did in that hearing to expose
[21:27.000 --> 21:33.000]  really his equivocation on this, his lying about what he did and didn't fund,
[21:33.000 --> 21:41.000]  and his potential role in the development of a chimeric coronavirus that is now infecting the world.
[21:41.000 --> 21:47.000]  So you're calling for accountability. What do you want to see happen to Anthony Fauci?
[21:47.000 --> 21:52.000]  And also, I mean, look, they're not being transparent. You're calling for transparency.
[21:52.000 --> 21:56.000]  They're not being transparent. And social media and much of the media is going along with it,
[21:56.000 --> 22:01.000]  censoring all of this information, leaving the American people in the dark.
[22:01.000 --> 22:05.000]  Well, first of all, the evidence that this has been hiding in plain sight for months,
[22:05.000 --> 22:10.000]  actually probably for years. All people really had to do is take a look at it.
[22:10.000 --> 22:16.000]  And that's what is so disingenuous about Dr. Fauci right now trying to disclaim any involvement
[22:16.000 --> 22:20.000]  in gain of function research. And quite honestly, I think it's pretty obvious, too,
[22:20.000 --> 22:26.000]  that this coronavirus was not naturally occurring. It was man-made. It's a chimeric virus.
[22:26.000 --> 22:31.000]  Again, that has been obvious for months. So the American people deserve the truth.
[22:31.000 --> 22:34.000]  Really, the people of the world deserve the truth on this.
[22:34.000 --> 22:39.000]  And unfortunately, because of the cabal between social media, mainstream media,
[22:39.000 --> 22:43.000]  and our federal health agencies and big government, we're not getting the truth.
[22:43.000 --> 22:48.000]  The truth has been covered up for months, whether we're talking about gain of function research,
[22:48.000 --> 22:51.000]  whether we're talking about the effectiveness of early treatment.
[22:51.000 --> 22:56.000]  I can't explain all this, Maria. All I know is something has gone off the rails here,
[22:56.000 --> 23:00.000]  and I'm trying to look for answers. It just doesn't make sense to me.
[23:00.000 --> 23:06.000]  Well, it's interesting because the other day, Jen Psaki pretty much admitted that,
[23:06.000 --> 23:11.000]  said, oh, yes, we in the administration are in very close contact with social media
[23:11.000 --> 23:16.000]  to pretty much censor information that they didn't want out there.
[23:16.000 --> 23:21.000]  Will there be accountability on big tech?
[23:21.000 --> 23:26.000]  That's really up to the public to hold them accountable, to start switching their alliance
[23:26.000 --> 23:31.000]  from these platforms to other platforms that actually allow free speech,
[23:31.000 --> 23:35.000]  that won't cooperate and collaborate and collude with big government.
[23:35.000 --> 23:40.000]  Social media has become big brother. It's the big brother arm of big government,
[23:40.000 --> 23:46.000]  and it's your concern and frighten every American.
[23:46.000 --> 23:48.000]  Let me know what you're going to do about it.
[23:48.000 --> 23:50.000]  I mean, the Republicans talk about this.
[23:50.000 --> 23:57.000]  Is there any way you can actually do something about it to bring these companies down to size?
[23:57.000 --> 24:02.000]  We know that there's this fake fight going on between President Biden and Facebook,
[24:02.000 --> 24:05.000]  which I'm not buying because they're working together.
[24:05.000 --> 24:12.000]  What are your thoughts in terms of Section 230 or legislatively changing the prospects
[24:12.000 --> 24:16.000]  for these companies that have become incredibly dominant?
[24:16.000 --> 24:19.000]  Well, because the media is colluding with the Democrat Party,
[24:19.000 --> 24:24.000]  favors the Democrats, the legislative, we're probably not going to be able to do a whole lot about this,
[24:24.000 --> 24:26.000]  not in the near future.
[24:26.000 --> 24:28.000]  What we need to do is we need to expose the truth.
[24:28.000 --> 24:33.000]  It's one of the reasons I held an event where I just allowed five women and a 13-year-old girl
[24:33.000 --> 24:36.000]  tell this story about possible vaccine injuries.
[24:36.000 --> 24:38.000]  And, of course, you know how that went over,
[24:38.000 --> 24:43.000]  instead of showing any, even an ounce of sympathy for these people to at least have acknowledged
[24:43.000 --> 24:47.000]  that it might be a vaccine so you get to the root cause and develop effective treatments.
[24:47.000 --> 24:51.000]  Instead, news media attacked me for allowing them to tell their stories.
[24:51.000 --> 24:59.000]  I just received this morning data out of Israel that shows the population is about 84% vaccinated,
[24:59.000 --> 25:06.000]  but the new cases of COVID in Israel are about 84% with vaccinated individuals.
[25:06.000 --> 25:11.000]  It's certainly looking like the Pfizer vaccine is not working against the Delta variant.
[25:11.000 --> 25:14.000]  Now, that's not being talked about here in the U.S. media.
[25:14.000 --> 25:17.000]  Ron Johnson's a great guy.
[25:17.000 --> 25:21.000]  I'd love to be president, but he's also a very good person, so he has blind spots.
[25:21.000 --> 25:25.000]  I guess he doesn't have a wicked streak down his back like I do, so I see all these enemies' operations.
[25:25.000 --> 25:27.000]  Like I said, I'm in Satan's brain.
[25:27.000 --> 25:31.000]  And I think you're in Satan's brain as well because God's given you discernment.
[25:31.000 --> 25:36.000]  We said over a year and a half ago they're going to say new variants are the reason the vaccine doesn't work.
[25:36.000 --> 25:38.000]  You can't have a vaccine for a cold virus.
[25:38.000 --> 25:42.000]  There's thousands of different types every year.
[25:42.000 --> 25:45.000]  And Gates's own documents said they'll be yearly boosters.
[25:45.000 --> 25:46.000]  They knew that.
[25:46.000 --> 25:47.000]  It's a fraud.
[25:47.000 --> 25:51.000]  It gets rid of your immune system.
[25:51.000 --> 25:55.000]  And Johnson's like, can't I have a Senate hearing with families?
[25:55.000 --> 25:57.000]  Why does Google censor it? Why does Twitter censor it?
[25:57.000 --> 25:59.000]  Because they're all going to go to prison if it comes out.
[25:59.000 --> 26:01.000]  They're all invested in Big Tech.
[26:01.000 --> 26:05.000]  Big Tech is heavily invested in Big Pharma.
[26:05.000 --> 26:10.000]  And you have the warnings on the shots they can give you heart attacks and strokes and Guillain Barre.
[26:10.000 --> 26:16.000]  But, see, the senator's still at the point of, oh, can't we just have a hearing to see if it's hurting somebody?
[26:16.000 --> 26:21.000]  Why don't you have a hearing of pouring a gallon of gasoline on yourself and lighting it hurts?
[26:21.000 --> 26:23.000]  Or maybe he catches fire.
[26:23.000 --> 26:25.000]  We don't need a hearing about it.
[26:25.000 --> 26:27.000]  We know damn well what's going on.
[26:27.000 --> 26:31.000]  We need hearings about how we need to take back the FBI and the federal government
[26:31.000 --> 26:34.000]  and arrest the heads of Google, Facebook, and the rest of them.
[26:34.000 --> 26:39.000]  I mean, seriously, they are assaulting the living hell out of everybody.
[26:39.000 --> 26:43.000]  I read to you Operation Lockstep three years ago on air.
[26:43.000 --> 26:46.000]  And again, 10 years ago, we wrote articles about it when it first came out.
[26:46.000 --> 26:54.000]  And now they're deleting stuff that's reposted on Facebook and Twitter that I said three years ago about disinformation about this currently,
[26:54.000 --> 26:56.000]  because I called their ass out.
[26:56.000 --> 27:19.000]  MIRRORS!
[27:26.000 --> 27:30.000]  And he says it'll be whatever Pfizer cooks up and wants to put in your body.
[27:30.000 --> 27:32.000]  This is the Rockefeller Foundation.
[27:32.000 --> 27:34.000]  They developed this whole plan with Bill Gates.
[27:34.000 --> 27:36.000]  They're now implementing it.
[27:36.000 --> 27:40.000]  And now they've announced that U.S. policy is set by the private Rockefeller Foundation.
[27:40.000 --> 27:45.000]  Of course, the Rockefeller Foundation by the 30s was the main funder of Adolf A. Lois Hitler
[27:45.000 --> 27:50.000]  and the eugenics at Cold Springs Harbor that trained the Coserville Home Institute in Germany.
[27:50.000 --> 27:52.000]  And Volvers will continue to selflessly fight this.
[27:52.000 --> 27:53.000]  I don't know how long we can.
[27:53.000 --> 27:56.000]  The enemy's coming for us all now. God bless and good luck.
[27:56.000 --> 27:58.000]  I would begin to get right with God right now.
[28:02.000 --> 28:04.000]  Jacob in Ohio, welcome. Go ahead.
[28:04.000 --> 28:05.000]  Hey, how's it going, Alex?
[28:05.000 --> 28:06.000]  Good, bro.
[28:06.000 --> 28:07.000]  It's great last call.
[28:07.000 --> 28:10.000]  I just wanted to start with plugging your sleep supplements.
[28:10.000 --> 28:16.000]  It's basically the only way I get sleep anymore with all the gaslighting, the moralization, and absurdity.
[28:16.000 --> 28:18.000]  It's like we're living in a twilight zone.
[28:18.000 --> 28:21.000]  All right, Eric's in New Hampshire. Eric, thanks for calling. Go ahead.
[28:21.000 --> 28:25.000]  Hey, Alex, thanks for taking my call. If I could, I just want to throw a quick plug out for one of the product.
[28:25.000 --> 28:28.000]  The X2 does wonders. They recommend it to everybody.
[28:28.000 --> 28:32.000]  You're on the fence about it. Get off the fence. Get the product. Support the M4.
[28:32.000 --> 28:35.000]  Tyler in Maine. You're on the year. Thanks for holding. Go ahead.
[28:35.000 --> 28:38.000]  Hey, Alex. It's great to be on with you. It's an honor.
[28:38.000 --> 28:39.000]  Honored to talk to you.
[28:39.000 --> 28:43.000]  Awesome. So, first thing I wanted to do is say I love the product.
[28:43.000 --> 28:47.000]  Alpha Power, even at 29, if you ask my better half, she loves it.
[28:47.000 --> 28:51.000]  And it helps with the bedroom. So, just number one for a few years later.
[28:51.000 --> 28:53.000]  Well, it definitely works. It's not a joke.
[28:53.000 --> 29:22.000]  Absolutely.
[29:23.000 --> 29:25.000]  We finally got them back in stock, the highest rated.
[29:25.000 --> 29:31.000]  They fit almost all types of androids and iPhones at 50% off, $14.95.
[29:31.000 --> 29:35.000]  They sell these babies for $29.95 all day long.
[29:35.000 --> 29:42.000]  We've got a private label with it full wars on them for $14.95 because I want you to get them
