[00:00:01.000 --> 00:00:15.000]  Intro
[00:07:28.359 --> 00:07:33.359]  last two and a half years where I predict specifically the globals are
[00:07:33.359 --> 00:07:40.080]  going to target the power grid and blame the American people slash Russians I
[00:07:40.080 --> 00:07:45.039]  specifically said they're going to claim that the right wing who are now Nazis
[00:07:45.039 --> 00:07:49.599]  according to them so not just they're gonna call us Nazis who cares about that
[00:07:49.599 --> 00:07:54.559]  you know that's a fraud it's a designation with the government to come
[00:07:54.559 --> 00:08:02.159]  after us and to imprison us I mean this is run by a leftist think-tank spy grid
[00:08:02.159 --> 00:08:04.799]  the ADL
[00:08:03.190 --> 00:08:06.870]  outlawing their political opposition.
[00:08:06.870 --> 00:08:10.050]  I mean, on a scale of one to 10, this is a 10.
[00:08:10.050 --> 00:08:13.350]  I mean, this is Soviet purge stuff.
[00:08:13.350 --> 00:08:14.730]  This is Nazi purge stuff.
[00:08:14.730 --> 00:08:18.890]  I mean, this is the stuff of takeovers of societies,
[00:08:18.890 --> 00:08:23.610]  the stuff of Venezuela, the stuff of North Korea,
[00:08:23.610 --> 00:08:25.290]  the stuff of communist China.
[00:08:26.590 --> 00:08:31.250]  So, in the first press conference in January of 2021,
[00:08:31.810 --> 00:08:35.410]  21, Jen Psaki and Homeland Security,
[00:08:35.410 --> 00:08:37.610]  we played the clips here over and over again,
[00:08:37.610 --> 00:08:40.050]  got up on TV and said,
[00:08:40.050 --> 00:08:44.490]  all of our opposition are white supremacists.
[00:08:44.490 --> 00:08:48.550]  And any white supremacist will be outlawed.
[00:08:48.550 --> 00:08:50.990]  And we are gonna have directives with Homeland Security
[00:08:50.990 --> 00:08:53.470]  for all the agencies, including the CIA,
[00:08:53.470 --> 00:08:55.450]  which again is illegal domestically,
[00:08:55.450 --> 00:08:57.330]  to go after them because the number one threat
[00:08:57.330 --> 00:08:58.170]  is white supremacist.
[00:08:58.170 --> 00:08:59.810]  And people said, well, this is ridiculous.
[00:08:59.810 --> 00:09:02.570]  It's like MSNBC calling everybody a white supremacist
[00:09:02.570 --> 00:09:04.810]  or saying Trump says he hates all Mexicans.
[00:09:04.810 --> 00:09:06.110]  Never said that.
[00:09:06.110 --> 00:09:08.150]  You laugh at it because it's like saying,
[00:09:08.150 --> 00:09:09.970]  oh, I'm a Russian agent, ha, ha, ha.
[00:09:09.970 --> 00:09:10.890]  You know, it's not true.
[00:09:10.890 --> 00:09:12.690]  You laugh, they don't care.
[00:09:12.690 --> 00:09:14.310]  The agencies come after you.
[00:09:15.170 --> 00:09:16.410]  It's just the pretext they need
[00:09:16.410 --> 00:09:18.890]  to declare open season on America.
[00:09:18.890 --> 00:09:23.110]  So then in June of that same year,
[00:09:23.110 --> 00:09:25.730]  now two years ago, right at two years ago,
[00:09:26.690 --> 00:09:30.290]  they put out that Homeland Security directive,
[00:09:30.290 --> 00:09:32.250]  executive order by the president
[00:09:32.250 --> 00:09:33.690]  saying the number one terror threat
[00:09:33.690 --> 00:09:35.490]  and the main directive of Homeland Security
[00:09:35.490 --> 00:09:39.130]  and U.S. agencies is not China, not Russia,
[00:09:39.130 --> 00:09:40.770]  not open borders, not human trafficking.
[00:09:40.770 --> 00:09:43.090]  It is right-wing white supremacists
[00:09:43.090 --> 00:09:44.650]  who are imminently gonna attack
[00:09:44.650 --> 00:09:46.010]  under the number one terror threat
[00:09:46.010 --> 00:09:47.590]  and the number one crime.
[00:09:47.590 --> 00:09:49.610]  And of course, statistics don't show that.
[00:09:49.610 --> 00:09:51.670]  It's one of the rarest crimes, but they just said,
[00:09:51.670 --> 00:09:52.810]  no, it's the number one crime.
[00:09:52.810 --> 00:09:54.010]  You see all of the news now,
[00:09:54.010 --> 00:09:55.210]  white supremacy is just everywhere.
[00:09:55.730 --> 00:09:57.010]  It's like raining out of the sky.
[00:09:57.010 --> 00:09:59.490]  And then they define it as questioning lockdowns,
[00:09:59.490 --> 00:10:02.170]  questioning force injections, questioning open borders,
[00:10:02.170 --> 00:10:05.770]  questioning censorship, questioning election fraud.
[00:10:05.770 --> 00:10:07.410]  And then they added on to that since then,
[00:10:07.410 --> 00:10:08.990]  questioning the Afghan withdrawal,
[00:10:08.990 --> 00:10:10.490]  white supremacism, officially.
[00:10:11.390 --> 00:10:15.490]  So if you complain and say global warming isn't real,
[00:10:15.490 --> 00:10:17.410]  they now say that's white supremacism.
[00:10:17.410 --> 00:10:18.290]  And it's all over the news.
[00:10:18.290 --> 00:10:20.650]  Oh, white supremacist conspiracy theorists
[00:10:20.650 --> 00:10:23.010]  targeting meteorologists by emailing them
[00:10:23.010 --> 00:10:27.410]  and arguing with them that CO2 isn't bad.
[00:10:27.410 --> 00:10:28.250]  This is all over the news.
[00:10:28.250 --> 00:10:30.250]  It's just like, oh, you don't believe in global warming?
[00:10:30.250 --> 00:10:33.090]  Well, you're a white supremacist, you're a white supremacist.
[00:10:33.090 --> 00:10:34.770]  And then now they put this report last week
[00:10:34.770 --> 00:10:37.170]  or two weeks ago with the state department saying,
[00:10:37.170 --> 00:10:38.210]  yes, we're gonna have all the agencies
[00:10:38.210 --> 00:10:39.890]  target the white supremacists.
[00:10:39.890 --> 00:10:41.569]  All white supremacism will be banned
[00:10:41.569 --> 00:10:43.490]  and we'll prosecute them.
[00:10:43.490 --> 00:10:44.890]  What's the state department have to do with that?
[00:10:44.890 --> 00:10:47.210]  And thank you ADL for designing this.
[00:10:47.210 --> 00:10:52.210]  And then they say, and we are going to, again,
[00:10:53.090 --> 00:10:54.569]  go after anyone that's a white supremacist
[00:10:54.569 --> 00:10:56.370]  and everything is white supremacist.
[00:10:57.329 --> 00:11:00.490]  So the last big piece of this,
[00:11:01.450 --> 00:11:05.170]  as I've explained about a thousand times, no joke, okay?
[00:11:05.170 --> 00:11:09.050]  And, but when I saw this today,
[00:11:09.050 --> 00:11:11.170]  this article came out today,
[00:11:11.170 --> 00:11:13.050]  it was like a punch in the stomach.
[00:11:13.050 --> 00:11:15.090]  And we'll put the Kellyanne McBrain article
[00:11:15.090 --> 00:11:17.690]  on screen, it's at infowars.com.
[00:11:17.690 --> 00:11:18.530]  One of the middle of the night,
[00:11:18.530 --> 00:11:22.050]  I'm having to move back to the front page of infowars.com.
[00:11:22.050 --> 00:11:26.210]  False flag alert, mainstream corporate media
[00:11:26.210 --> 00:11:28.250]  is putting out a Homeland Security report
[00:11:29.490 --> 00:11:33.770]  that it's imminent that right-wingers working with Russia
[00:11:33.770 --> 00:11:38.530]  slash white supremacist are going to blow up the power grid
[00:11:38.530 --> 00:11:40.329]  and plunge us into total darkness.
[00:11:40.329 --> 00:11:42.850]  And they tell you how easy it is to take down the grid.
[00:11:42.850 --> 00:11:44.530]  False flag alert, media and Homeland Security
[00:11:44.530 --> 00:11:46.569]  warn right-wing extremists or Russia
[00:11:46.569 --> 00:11:47.610]  to attack power grid.
[00:11:47.610 --> 00:11:50.050]  So there you have it.
[00:11:50.050 --> 00:11:53.810]  Now I'll go into this in great detail this hour,
[00:11:53.810 --> 00:11:56.650]  but do I need to go get you the,
[00:11:56.650 --> 00:11:59.930]  no exaggeration, 500 times at least.
[00:11:59.930 --> 00:12:01.490]  So, I mean, I say it about.
[00:12:01.356 --> 00:12:07.556]  Three, four times a week, and this has been over two years.
[00:12:07.556 --> 00:12:10.996]  Specifically, that they're gonna blame right wingers working with Russia.
[00:12:10.996 --> 00:12:16.476]  Exactly those words, and we'll find it probably today, post the site.
[00:12:16.476 --> 00:12:19.116]  Now, this is not a drill, this is not a joke, okay?
[00:12:20.276 --> 00:12:21.915]  The new world order wants to destroy this country.
[00:12:23.036 --> 00:12:25.636]  They need to blend their political opposition while they do it.
[00:12:25.636 --> 00:12:31.036]  And so the main move would be a massive limited shutdown
[00:12:31.036 --> 00:12:32.996]  of, say, one of the five grids in the US.
[00:12:32.996 --> 00:12:34.876]  I don't think they'll hit the whole thing at first.
[00:12:34.876 --> 00:12:37.276]  They'll probably bring down the east coast.
[00:12:37.276 --> 00:12:40.036]  Then they'll get more hysterical and beg for tear anymore.
[00:12:40.036 --> 00:12:40.996]  Or maybe the west coast.
[00:12:42.915 --> 00:12:45.956]  They'll hit it, or they may even hit somewhere like Texas.
[00:12:45.956 --> 00:12:49.716]  And the Texas grid that goes over six states, you know, teach us a lesson.
[00:12:49.716 --> 00:12:54.196]  And then say, we've got to shut down the internet to stop the cyber attack
[00:12:54.196 --> 00:12:58.516]  that's loading it into the computers with the Stuxnet type system.
[00:12:58.556 --> 00:13:03.836]  And, or whatever BS they make up, is already pre-programming this.
[00:13:03.836 --> 00:13:08.276]  We will have to shut down the internet to stop the computer virus.
[00:13:08.276 --> 00:13:10.796]  And this will be far worse than COVID, and
[00:13:10.796 --> 00:13:15.356]  will destroy civilization, but better than never working again.
[00:13:16.996 --> 00:13:19.596]  So they've already done their martial law test with a virus.
[00:13:19.596 --> 00:13:21.156]  Now they're gonna do it with a computer virus.
[00:13:21.156 --> 00:13:23.716]  And then they're gonna blame their political enemies while they're at it.
[00:13:23.716 --> 00:13:25.316]  And then piss off the public.
[00:13:25.316 --> 00:13:30.436]  And then have some weird 27-year-old computer hacker nerd who's on meth that
[00:13:30.436 --> 00:13:33.196]  they've had in a dungeon for two years brainwashing him.
[00:13:33.196 --> 00:13:34.436]  He'll have no memory.
[00:13:34.436 --> 00:13:37.236]  He'll come out and say, yes, I launched the cyber attack.
[00:13:37.236 --> 00:13:39.356]  I did it because of Trump and Alex Jones.
[00:13:39.356 --> 00:13:41.276]  I mean, it's already prepared.
[00:13:41.276 --> 00:13:43.396]  It's already ready, guaranteed.
[00:13:43.396 --> 00:13:47.596]  The guy's in a laboratory right now, you know, with headphones on,
[00:13:47.596 --> 00:13:50.996]  a face mask on, being programmed, letting him know who he is.
[00:13:50.996 --> 00:13:51.956]  They're ready to roll it out.
[00:13:51.956 --> 00:13:53.476]  They can launch tomorrow, they can launch next week,
[00:13:53.476 --> 00:13:55.036]  they can launch in six months.
[00:13:55.076 --> 00:13:56.556]  But they've got patsies loaded.
[00:13:56.556 --> 00:13:57.796]  They've got everything prepared.
[00:13:57.796 --> 00:13:59.276]  The whole thing's scripted.
[00:13:59.276 --> 00:14:03.756]  Because when you see Klaus Schwab and the globalists running around everywhere
[00:14:05.156 --> 00:14:08.516]  saying it's imminent, the power grid's gonna go down, but don't worry,
[00:14:08.516 --> 00:14:10.636]  we're gonna take over and shut the web off.
[00:14:10.636 --> 00:14:13.276]  And when we turn the web back on, there'll be internet IDs,
[00:14:13.276 --> 00:14:16.675]  a global social credit score to protect you and stop the hackers.
[00:14:17.956 --> 00:14:19.996]  And now they put you into the internet control.
[00:14:19.996 --> 00:14:21.716]  They shut all their opposition down.
[00:14:21.716 --> 00:14:23.516]  They demonize their opposition.
[00:14:23.516 --> 00:14:27.236]  And they get you trained that the power's gonna be going off more and more
[00:14:27.236 --> 00:14:30.675]  as they shut off the power plants, shut off the coal mines, shut off the grid.
[00:14:30.675 --> 00:14:33.556]  And they say, oh, it's the right wing has been attacking.
[00:14:33.556 --> 00:14:34.876]  That's why none of it's working.
[00:14:34.876 --> 00:14:37.076]  Oh, your electric car won't charge, there's no power.
[00:14:37.076 --> 00:14:39.356]  There's the right wing, they're attacking.
[00:14:39.356 --> 00:14:43.556]  Goldstein is in the computers, oh yes, attacking.
[00:14:43.556 --> 00:14:44.516]  That's why this is all happening.
[00:14:44.516 --> 00:14:47.076]  While they shut off the pipelines, while they shut off the grids,
[00:14:47.076 --> 00:14:49.316]  while they implode the borders, while they're shipping more people.
[00:14:49.316 --> 00:14:52.116]  This is all a post-industrial world for all of us.
[00:14:52.116 --> 00:14:56.156]  But all their government groups and all of their corporate reservations,
[00:14:56.156 --> 00:14:58.396]  they all will still get power when it's off your area.
[00:14:58.396 --> 00:15:00.356]  It's already set up where they're essential.
[00:15:00.356 --> 00:15:02.436]  So they'll get power, but you won't get power.
[00:15:02.436 --> 00:15:08.316]  But then again, there'll be this metaphor or this background noise that,
[00:15:08.316 --> 00:15:11.356]  it was all because the right wing attacked the grid.
[00:15:11.356 --> 00:15:14.476]  But who's attacking the power grids worldwide, the left?
[00:15:14.476 --> 00:15:18.556]  Who two years ago when Texas said, I didn't have enough power and
[00:15:18.556 --> 00:15:21.836]  told the coal plants, you can't get an emergency authorization
[00:15:21.836 --> 00:15:24.956]  to turn the power up when the power was going down?
[00:15:24.956 --> 00:15:25.636]  The feds.
[00:15:25.636 --> 00:15:28.516]  So they're the ones shutting it down, but that's not even the issue.
[00:15:28.516 --> 00:15:30.716]  The pre-programming by Klaus Schwab and the globalists,
[00:15:30.716 --> 00:15:32.076]  the cyber attacks are imminent.
[00:15:32.076 --> 00:15:34.116]  Your whole way of life's gonna change when this happens.
[00:15:34.116 --> 00:15:35.956]  But don't worry, we'll take the internet over and
[00:15:35.956 --> 00:15:39.836]  have an internet ID to control you once we have to shut the web off
[00:15:39.836 --> 00:15:42.476]  to protect the grid for a few months or a few years.
[00:15:42.476 --> 00:15:46.196]  And then once you accept the new system, you'll be allowed back online and
[00:15:46.236 --> 00:15:48.876]  back to your Netflix and back to the rest of it.
[00:15:48.876 --> 00:15:50.756]  And then the final piece was the right wingers and
[00:15:50.756 --> 00:15:52.636]  the Russians are the ones that are gonna cut the power off.
[00:15:52.636 --> 00:15:56.716]  So now they've got the final piece as they roll out the Americans are terrorists,
[00:15:56.716 --> 00:15:58.996]  and the ADL has died, and now they're preparing to fall slack.
[00:16:00.156 --> 00:16:02.716]  Sold out for more than a year.
[00:16:02.716 --> 00:16:06.796]  We now have back in stock a limited run of our extremely popular
[00:16:06.796 --> 00:16:11.036]  tooth whitening coral calcium toothpaste, full of essential oils.
[00:16:11.036 --> 00:16:13.675]  Back in stock and infowarestore.com.
[00:16:13.675 --> 00:16:16.196]  Another great product, sold out for almost a year,
[00:16:16.196 --> 00:16:19.956]  is our activated charcoal essential oil toothpaste as well.
[00:16:19.956 --> 00:16:23.076]  These are both incredible for your gums, polish your teeth,
[00:16:23.076 --> 00:16:26.195]  amazing to counter gingivitis, and they fund the Infowar.
[00:16:26.195 --> 00:16:28.756]  There are no fillers in these products.
[00:16:28.756 --> 00:16:33.756]  These are fluoride free, next level toothpaste, 10,000 of each tube,
[00:16:33.756 --> 00:16:38.076]  limited run, available exclusively at infowarestore.com.
[00:16:38.076 --> 00:16:42.636]  And your purchase funds the operation, plus these are incredible products you need.
[00:16:42.636 --> 00:16:46.036]  So the Coral Calcium Tooth Whitening and the Activated Charcoal Essential Oil
[00:16:46.036 --> 00:16:50.915]  Toothpaste are now both back in stock at infowarestore.com.
[00:16:50.915 --> 00:16:52.316]  I thank you for your support.
[00:16:52.316 --> 00:16:54.476]  But regardless, these are great products you need.
[00:16:54.476 --> 00:16:55.756]  So take action now.
[00:16:55.756 --> 00:17:00.116]  Go to infowarestore.com for both this great toothpaste back in stock.
[00:17:00.116 --> 00:17:03.636]  Turbo Force is back, sold out for eight months.
[00:17:03.636 --> 00:17:07.276]  And it's Turbo Force Plus, we made it even stronger.
[00:17:07.276 --> 00:17:10.996]  The strongest long term energy you're gonna find anywhere.
[00:17:10.996 --> 00:17:17.836]  Turbo Force is back in stock at infowarestore.com or 888-253-3139.
[00:17:17.836 --> 00:17:24.316]  It's not just wide spectrum natural herbs that time release over 10 hours.
[00:17:24.316 --> 00:17:26.036]  Should be called 10 hour energy.
[00:17:26.036 --> 00:17:30.156]  It has a bunch of vitamins and minerals and a bunch of other key things,
[00:17:30.156 --> 00:17:34.916]  and amino acids that turbo charge everything and are good for your heart,
[00:17:34.916 --> 00:17:38.916]  your brain, your liver, you name it.
[00:17:38.916 --> 00:17:41.116]  It is the super fuel.
[00:17:41.116 --> 00:17:42.596]  Rain Force Plus is great.
[00:17:42.596 --> 00:17:43.516]  Rain Force Ultra is great.
[00:17:43.516 --> 00:17:44.436]  They're two different nootropics.
[00:17:44.436 --> 00:17:45.636]  They go good with this.
[00:17:45.636 --> 00:17:48.396]  But this is the King Kong.
[00:17:48.396 --> 00:17:49.876]  This is the boss.
[00:17:49.876 --> 00:17:54.356]  Turbo Force, back in stock, discounted, infowarestore.com.
[00:17:54.356 --> 00:17:56.755]  More power, more strength, more energy.
[00:18:01.116 --> 00:18:04.596]  I talk a lot about the great successes InfoWars has had.
[00:18:04.596 --> 00:18:06.516]  I don't think anybody can deny it.
[00:18:06.516 --> 00:18:10.516]  And it is because of listeners and viewers supporting us.
[00:18:10.516 --> 00:18:13.276]  When we talk about the crew at InfoWars, people behind the scenes,
[00:18:13.276 --> 00:18:19.396]  the researchers, the writers, they really have been the MVPs in this fight.
[00:18:19.396 --> 00:18:22.436]  And when you look at Harrison Smith and Owen Schroer and the hard work they
[00:18:22.436 --> 00:18:28.196]  engage in every day, five, six, seven days a week, it's really just incredible.
[00:18:28.196 --> 00:18:31.876]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:18:31.876 --> 00:18:36.196]  I only encourage you now to realize that InfoWars cannot stay on air if you do
[00:18:36.196 --> 00:18:37.676]  not support us.
[00:18:37.676 --> 00:18:38.636]  I know you spread the word.
[00:18:38.636 --> 00:18:39.556]  I know you pray for us.
[00:18:39.556 --> 00:18:40.116]  That's wonderful.
[00:18:40.116 --> 00:18:40.676]  Keep doing it.
[00:18:40.676 --> 00:18:45.516]  But most viewers and listeners never go to InfoWarsStore.com, and you never buy
[00:18:45.516 --> 00:18:48.436]  great products that enrich and empower your life, all at the same time,
[00:18:48.436 --> 00:18:49.676]  keep us on air.
[00:18:49.676 --> 00:18:53.916]  I know that less than 1% of our listeners actually go buy products at InfoWarsStore.com.
[00:18:53.916 --> 00:18:57.476]  If just 1% more of you took action and went to InfoWarsStore.com,
[00:18:57.476 --> 00:18:58.916]  our funding problems will be over.
[00:18:58.916 --> 00:19:00.836]  Please take action now.
[00:19:00.836 --> 00:19:04.276]  InfoWars, tomorrow's news today.
[00:19:04.276 --> 00:19:05.996]  This is their big move.
[00:19:05.996 --> 00:19:09.796]  So yeah, you say, why doesn't Biden address the disasters in the United States?
[00:19:09.796 --> 00:19:11.516]  He doesn't care.
[00:19:11.516 --> 00:19:12.755]  That's not his job.
[00:19:12.755 --> 00:19:14.516]  He's not the President of the United States.
[00:19:14.516 --> 00:19:18.316]  He's a puppet operating for the globalists.
[00:19:18.316 --> 00:19:22.876]  Appetites of the autocrat cannot be appeased.
[00:19:22.876 --> 00:19:24.636]  They must be opposed.
[00:19:24.636 --> 00:19:25.516]  And that's who he works with.
[00:19:25.516 --> 00:19:30.755]  Autocrats only understand one word, no, no, no.
[00:19:30.755 --> 00:19:31.716]  Exactly.
[00:19:31.716 --> 00:19:34.156]  And that's why we say no to your vaccines.
[00:19:35.156 --> 00:19:38.276]  We say no to you shutting down our businesses.
[00:19:38.276 --> 00:19:40.755]  We say no to you taking our firearms.
[00:19:40.755 --> 00:19:43.235]  We say no to you censoring our free speech.
[00:19:43.235 --> 00:19:46.836]  We say no to you selling us out to the World Health Organization.
[00:19:46.836 --> 00:19:49.396]  We say no to you getting us into World War III.
[00:19:49.396 --> 00:19:50.036]  You're right.
[00:19:50.036 --> 00:19:52.956]  We stand against autocrats like you, Joe Biden.
[00:19:52.956 --> 00:19:54.796]  And we say no.
[00:19:54.796 --> 00:19:56.636]  And we say no to your war.
[00:19:56.636 --> 00:20:05.076]  Leading a frontal assault on the lies of the New World Order.
[00:20:05.076 --> 00:20:06.836]  It's Alex Jones.
[00:20:06.836 --> 00:20:29.436]  America, the people of our once great nation, have a decision to make.
[00:20:29.436 --> 00:20:35.436]  And this decision will really decide the fate, not just of our republic,
[00:20:35.436 --> 00:20:37.716]  but the world itself.
[00:20:37.716 --> 00:20:41.836]  Our country has had an intelligence agency private corporate coup
[00:20:41.836 --> 00:20:45.836]  take control of it entirely in the last 30 years.
[00:20:45.836 --> 00:20:48.516]  It was in partial control before.
[00:20:48.516 --> 00:20:49.916]  They know the American people are waking up,
[00:20:49.916 --> 00:20:52.396]  so they're trying to outlaw their opposition
[00:20:52.396 --> 00:20:54.996]  and demonize us as terrorists
[00:20:54.996 --> 00:20:59.076]  and divide and conquer the country with race war systems.
[00:20:59.076 --> 00:21:01.755]  And now they're saying with zero evidence that
[00:21:01.755 --> 00:21:04.116]  the right wing is imminently going to launch
[00:21:04.116 --> 00:21:11.476]  cyber attacks on the Russians to bring down the U.S. power grid.
[00:21:11.476 --> 00:21:13.556]  But they've already pre-programmed it all,
[00:21:13.556 --> 00:21:16.876]  that they want to take down the power grid
[00:21:16.876 --> 00:21:19.436]  to then blame it on outside enemies
[00:21:19.436 --> 00:21:23.076]  as a pretext to then bring in a shutdown of the web
[00:21:23.076 --> 00:21:27.356]  and then a Web 3.0 that's totally controlled with Internet IDs
[00:21:27.356 --> 00:21:29.516]  and a social credit score.
[00:21:29.516 --> 00:21:30.636]  It's all been beta tested.
[00:21:30.636 --> 00:21:31.476]  It's all prepared.
[00:21:31.476 --> 00:21:32.636]  It's already rolling out in Europe.
[00:21:32.676 --> 00:21:34.916]  It's already rolling out in Australia, New Zealand.
[00:21:34.916 --> 00:21:35.836]  It's already in China.
[00:21:35.836 --> 00:21:36.956]  It's already in South Korea.
