[00:00:00.000 --> 00:00:07.000]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:53.000 --> 00:07:03.000]  So essentially the hotel services, the mechanical, electrical, plumbing and HVAC and the medical system.
[00:07:03.000 --> 00:07:09.000]  Wow, in 48 hours having a system with power and water and everything.
[00:07:09.000 --> 00:07:10.000]  That's correct.
[00:07:10.000 --> 00:07:18.000]  So what do you have like trucks that have nodules of different services and then they all show up, put the frame together and then stick the appliances in?
[00:07:18.000 --> 00:07:19.000]  That is correct.
[00:07:19.000 --> 00:07:28.000]  In the case of the heating, ventilation, air conditioning, the HVAC provider that's really being done by Albany Cat.
[00:07:28.000 --> 00:07:33.000]  They're called Albany Cat Rental Solutions of Elk Ridge, Maryland and they are a Caterpillar provider.
[00:07:33.000 --> 00:07:45.000]  So there is a system there devised by Caterpillar at York that is a self-contained HVAC system that can come along and provide either heating or air conditioning to the facility.
[00:07:45.000 --> 00:07:53.000]  Okay, now I understand you're in the composite materials and the new solutions and the infrastructure of this.
[00:07:53.000 --> 00:07:55.000]  And on the planning side, that's correct.
[00:07:55.000 --> 00:07:58.000]  We cover and track this occasionally here on the show.
[00:07:58.000 --> 00:08:00.000]  I have Detroit Free Press.
[00:08:00.000 --> 00:08:02.000]  I have Newsmax.
[00:08:02.000 --> 00:08:04.000]  I have Rocky Mountain News.
[00:08:05.000 --> 00:08:15.000]  FEMA last year by January 1st of this year wanted three one million man emergency cities already set up.
[00:08:15.000 --> 00:08:18.000]  Were you aware of those contracts or are you involved in those?
[00:08:18.000 --> 00:08:23.000]  No, we're not either aware of them nor a part of them.
[00:08:23.000 --> 00:08:26.000]  I wonder why they need one million person facilities.
[00:08:26.000 --> 00:08:27.000]  That's pretty big.
[00:08:27.000 --> 00:08:35.000]  Well, I think the HRSA requirement from Health and Human Services is actually a surge capacity nationwide for a variety of reasons,
[00:08:35.000 --> 00:08:42.000]  including natural disasters, simply for 500 beds per million population.
[00:08:42.000 --> 00:08:43.000]  And beyond that I can't tell you.
[00:08:43.000 --> 00:08:48.000]  And so what does that translate out to with the 290 million people?
[00:08:48.000 --> 00:08:50.000]  Five hundred times?
[00:08:50.000 --> 00:08:51.000]  Times the 285, 290.
[00:08:51.000 --> 00:08:52.000]  That's correct.
[00:08:52.000 --> 00:08:53.000]  Yeah.
[00:08:53.000 --> 00:08:55.000]  Well, you're talking about multi-millions then.
[00:08:55.000 --> 00:08:57.000]  It's a fair amount.
[00:08:57.000 --> 00:09:01.000]  So what are the local FEMA people more worried about?
[00:09:01.000 --> 00:09:05.000]  SARS naturally occurring or smallpox?
[00:09:05.000 --> 00:09:10.000]  Well, I don't think I can speak or even know what FEMA's position is on this.
[00:09:10.000 --> 00:09:14.000]  Our interface is actually not with FEMA.
[00:09:14.000 --> 00:09:20.000]  Ours is through the Allegheny County and the working group there.
[00:09:20.000 --> 00:09:24.000]  So we're not directly involved with FEMA nor are we a part of their planning.
[00:09:24.000 --> 00:09:31.000]  Well, let's say somebody had smallpox and they're trying to bust down of the quarantine facility.
[00:09:31.000 --> 00:09:32.000]  And obviously that happens.
[00:09:32.000 --> 00:09:34.000]  That's what they've talked about.
[00:09:34.000 --> 00:09:38.000]  I just read the feds saying they're going to have secure facilities for this.
[00:09:38.000 --> 00:09:41.000]  But you're saying your facility wouldn't be for that?
[00:09:41.000 --> 00:09:43.000]  Or what I'm asking is will one of these...
[00:09:43.000 --> 00:09:47.000]  Yes, it would be for that application in the case of smallpox.
[00:09:47.000 --> 00:09:55.000]  And that's probably the worst case scenario that we have used for determining what our requirements are before the system itself.
[00:09:55.000 --> 00:09:59.000]  Is the National Guard training on how to put in your system or...
[00:09:59.000 --> 00:10:07.000]  We have had some interface with the National Guard and we would like to see them have a role in this particular system.
[00:10:07.000 --> 00:10:09.000]  As of now they do not.
[00:10:09.000 --> 00:10:16.000]  So they may be training for something but they're not training for the use of our system nor are they directly interfacing with us.
[00:10:16.000 --> 00:10:17.000]  Wow.
[00:10:17.000 --> 00:10:19.000]  You guys have got a couple different websites.
[00:10:19.000 --> 00:10:26.000]  You're a company that's been involved, here the news says, in a lot of key infrastructure projects around the world.
[00:10:26.000 --> 00:10:31.000]  What site would you recommend for my listeners around the country to visit?
[00:10:31.000 --> 00:10:37.000]  Well, the first site that will be meaningful will actually be the site in Pittsburgh.
[00:10:37.000 --> 00:10:43.000]  We have a very small structure prototype close to us in Newington, Virginia.
[00:10:43.000 --> 00:10:46.000]  And this is the datalisproject.com?
[00:10:46.000 --> 00:10:47.000]  That's correct.
[00:10:47.000 --> 00:10:52.000]  And we have a link to news articles that have links to your website if folks can't spell datalisp.
[00:10:52.000 --> 00:10:53.000]  Right.
[00:10:53.000 --> 00:10:55.000]  Doctor, tell us a little bit about yourself in the last 60 seconds.
[00:10:55.000 --> 00:10:58.000]  How did you get involved in this and what's your background?
[00:10:58.000 --> 00:11:00.000]  I'm essentially the developer of this.
[00:11:00.000 --> 00:11:03.000]  I am a planner developer.
[00:11:03.000 --> 00:11:05.000]  I've been involved on the material side.
[00:11:05.000 --> 00:11:15.000]  And this is, as I said, principally focused upon our desire to participate in the emerging markets of the developing world.
[00:11:15.000 --> 00:11:19.000]  So it was just an odd application, not one that we were really seeking.
[00:11:19.000 --> 00:11:28.000]  But when we saw the opportunity, then we moved on that to define the requirements and then to meet those requirements through this type of facility.
[00:11:28.000 --> 00:11:32.000]  So now you're just going to demonstrate this to government and the public.
[00:11:32.000 --> 00:11:41.000]  Well, if I were you, Doctor, I would reach out to FEMA because, I mean, they've got a three million man capacity system.
[00:11:41.000 --> 00:11:49.000]  I mean, I think if you haven't heard about that, you need to go to Infowars.com.
[00:11:49.000 --> 00:11:54.000]  Absolutely, because our news from last Friday, just click on the archive.
[00:11:54.000 --> 00:11:55.000]  Thanks for joining us, Doctor.
[00:11:55.000 --> 00:11:56.000]  Take care.
[00:11:56.000 --> 00:11:57.000]  Certainly.
[00:11:57.000 --> 00:11:58.000]  All right.
[00:11:58.000 --> 00:11:59.000]  We'll be right back, folks.
