[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[03:06.000 --> 03:28.000]  It's not that. It's not the classic bad responses and then them covering that up, but it's on the inserts. No, this is a system that literally goes in and manipulates and damages your body to start attacking a protein that is in the uterus, that is in the ovaries, that is in the testicles, that is in the heart, that is in the brain, that is in the lungs, that is in the arteries.
[03:28.000 --> 03:38.000]  And they know damn well it's a slow death death sentence that will cost hundreds of different illnesses that again the criminal medical system will get incredible power out of.
[03:38.000 --> 03:49.000]  So this is crossing the Rubicon. This is throwing down the gauntlet. This is coming after our children and you know damn well they've already had a bunch of people quit in Europe, in the UK, in Australia, in New Zealand, in the U.S.
[03:49.000 --> 04:00.000]  And they don't care that the experts quit and said don't do this. They've got experts like the current head of the FDA that legalized OxyContin for children and legalized fentanyl, you know that lady.
[04:00.000 --> 04:07.000]  They've got people that will do anything that will sign our death warrant because America is under biological attack.
[04:07.000 --> 04:14.000]  The same people that cooked up the Wuhan virus, the China virus, the same ones that released it are the same ones that block the medical treatments for it.
[04:14.000 --> 04:19.000]  And they're the same ones that are now censoring members of Congress when they speak about our members of parliament.
[04:19.000 --> 04:26.000]  Yeah, it's not coming out YouTube, it's censoring members of the parliament in the UK that are just against lockdowns and against vaccine passports.
[04:26.000 --> 04:37.000]  This is a corporate takeover. This is a corporate takeover for depopulation. Climate changes the pretext to make all carbon based life forms the enemy.
[04:37.000 --> 04:45.000]  If I was writing a science fiction book about this, I'd say aliens ran our government that are anti-carbon that are terraforming the planet to change it to the way they want it.
[04:45.000 --> 04:50.000]  But regardless, the facts are in. Our governments are out of control and want to kill us. We'll be right back.
[04:50.000 --> 05:07.000]  I want to be very clear. The fact that Info Wars is having trouble funding itself is not the fault of our amazing listeners and supporters.
[05:07.000 --> 05:18.000]  It is the fault of the globalists. When we can get enough of our great supplements of the products in, we're able to sell enough of it to stay on air and quite frankly even expand in the face of the new world war.
[05:18.000 --> 05:27.000]  But because of the supply chain breakdowns that were very easy to predict from the global lockdowns, who are designed to do that, we have had real problems getting our best selling products in.
[05:27.000 --> 05:34.000]  Some of them take up to 10 months to get in. We've had to discontinue some of our products because we just can't get the ingredients anymore.
[05:34.000 --> 05:51.000]  It's pretty scary stuff, so please take advantage of sales we're running for one week only. There's only one week left from October 11th for 7 days, kicks off October 11th on things like DNA Force Plus at 40% off, Winter Sun at 50% off, Ultra-12 at 50% off and more.
[05:51.000 --> 06:15.000]  At infowarstore.com, one week left, check out these incredible deals.
[06:15.000 --> 06:28.000]  In addition to the midterms, then you would think our country is Mad Max Thunderdome. This guy is like, they're coming from Guatemala, they're coming from Mexico.
[06:28.000 --> 06:31.000]  There's a liberal mob that's coming.
[06:31.000 --> 06:46.000]  You want to drop? You want to drop? Yeah!
[06:46.000 --> 07:07.000]  What's the point? Muzzles.
[07:07.000 --> 07:12.000]  And then you would think everybody in the countries is like to the bunker.
[07:12.000 --> 07:17.000]  It's Friday, October 15th, 2021.
[07:43.000 --> 07:48.000]  I want to explain this again and we're not bragging, we're just stating survival facts here.
[07:48.000 --> 08:02.000]  This broadcast is the most hated, most demonized, most lied about pro-human transmission on Earth and reaches the largest audience that any pro-human message has ever reached in the history of our species.
[08:02.000 --> 08:15.000]  That's just a fact. There are more people alive today, there are more people dialed into telecommunications, and quite frankly, even 40 years ago, maybe one out of a thousand understood the globalist plan because it was embryonic at that point.
[08:15.000 --> 08:23.000]  Now it is operational, now it is in our face. It is no longer in the Rockefeller's UN womb.
[08:23.000 --> 08:33.000]  It is a healthy, psychotic young man of 18 years of age with a battle axe wielding him at us. So that's the allegory, that's the analogy.
[08:33.000 --> 08:44.000]  So here's the big news. You notice William Shatner, who went to space yesterday and returned back, said to Bezos when he returned,
[08:44.000 --> 08:54.000]  I saw death, I see death down there. Now the full quote is, he said, I saw how fragile the Earth is and how much danger it's in.
[08:54.000 --> 09:04.000]  And then when he looked at the Earth, he said, I see death down there. And then he finished his little satanic riddle, and I'm not saying he himself is a bad person.
[09:04.000 --> 09:14.000]  I don't know Shatner. I can't judge him. I know people that know him well. They say he's a very nice, smart, caring man. And I certainly think he's entertaining and funny, and I've been watching him since I was a little kid.
[09:14.000 --> 09:21.000]  But that said, I've gone and seen his one-man show several times. So I like William Shatner.
[09:21.000 --> 09:29.000]  But that said, what he said, whether he was told to say it or whether he heard people say it and didn't know exactly what they were talking about,
[09:29.000 --> 09:36.000]  but you have to understand these globalists have a religion that they are overseeing the Earth, that they are guardians of the Earth,
[09:36.000 --> 09:42.000]  but not guardians the way you would think to save the Earth and be good shepherds of the Earth, as Genesis tells us to do,
[09:42.000 --> 09:54.000]  but that they are here to use the Earth as like a chrysalis or like an egg yolk to basically use its energy and its populations, not just human,
[09:54.000 --> 10:04.000]  but to have this metamorphosis from the caterpillar into the butterfly of whatever that's supposed to be.
[10:04.000 --> 10:13.000]  And they talk about it being this electrochemical synthetic computer that merges with silicon, and that's what they talk about, the AI gods.
[10:13.000 --> 10:21.000]  I mean, this is the real cult that they follow. I've been talking about it 25 years, but it's come out in mainline literature, unless 15 or so.
[10:21.000 --> 10:30.000]  And so what did William Shatter say? Let me just repeat this. He said, when he looked up the window, he saw how fragile the Earth was,
[10:30.000 --> 10:42.000]  and he saw death. In fact, that's the order. I see the Earth is fragile. I see death. I contemplate death looking at the Earth.
[10:42.000 --> 10:54.000]  And then he went on NBC News and several other channels and made the statement that soon a great catastrophe is coming.
[10:54.000 --> 11:02.000]  In fact, the exact quote is even more chilling. The coming catastrophic event.
[11:02.000 --> 11:07.000]  Did William Shatter just mess up and tell the world something that we weren't supposed to know?
[11:07.000 --> 11:16.000]  He was just doing an interview today with NBC News, and in that interview, he started talking about the quote, coming catastrophic event.
[11:16.000 --> 11:18.000]  Here, listen for yourself.
[11:18.000 --> 11:21.000]  And it had everything. We're so happy that you're here.
[11:21.000 --> 11:34.000]  It had everything. And the realization once again, the fragility of this planet, the coming catastrophic event, and we all have to clean this act up now.
[11:34.000 --> 11:40.000]  The coming catastrophic event. What?
[11:40.000 --> 11:50.000]  The coming catastrophic event, looking down on the Earth and seeing mass death because the Earth is so fragile and the humans are hurting it.
[11:50.000 --> 12:01.000]  You know, you could say these are just the ramblings of a 90-year-old man who's just been on top of a rocket, blasted into subspace and then came hurtling back down.
[12:01.000 --> 12:10.000]  Being born in popularity out of the twilight zone and then Star Trek and then actually living to the year 2021 and seeing that unfold, it must be incredible.
[12:10.000 --> 12:12.000]  And I have to say I'm envious.
[12:12.000 --> 12:17.000]  But it's not just Shatner saying all this apocalyptic and other world stuff.
[12:17.000 --> 12:21.000]  He's not like some crazy guy with a beard on the side of the road saying it.
[12:21.000 --> 12:26.000]  He's William Shatter. And he goes to these globalist conferences, the transhumanist conferences.
[12:26.000 --> 12:36.000]  There are people that are rich and powerful billionaires that have been to these. They're kind of the outside feeder groups into the deeper levels of the New World Order where they go and hear from Ray Kurzweil,
[12:36.000 --> 12:44.000]  the head of Google Futurist programs and learn how they must give up their humanity and how humanity must be overwritten.
[12:44.000 --> 12:47.000]  And then again, out of that comes this beautiful metamorphosis.
[12:47.000 --> 12:50.000]  So it's not just him saying it. It's the UN.
[12:50.000 --> 12:58.000]  It's all the major corporate media. It's AOC and Beto O'Rourke saying two years ago, the Earth ends in 12 years.
[12:58.000 --> 13:00.000]  The Earth ends in 12 years.
[13:00.000 --> 13:05.000]  Why would they say in 2019 the Earth ends in 11 years?
[13:05.000 --> 13:07.000]  She said 11 years. He said 12 years.
[13:07.000 --> 13:10.000]  And then they shortened and said 10 years.
[13:10.000 --> 13:11.000]  Why did they do that?
[13:11.000 --> 13:16.000]  Because they've all been told the end of the world's coming in 2030 as we know it.
[13:16.000 --> 13:18.000]  The third world's going to starve to death.
[13:18.000 --> 13:25.000]  There's going to be mass families. There's going to be new deadly viruses that are created by global warming that are going to kill billions.
[13:25.000 --> 13:29.000]  Because they're not being brought in on the fact that this is being done by design.
[13:29.000 --> 13:33.000]  They're not being brought in on the fact that it's not global warming collapsing the third world. It was the lockdowns.
[13:33.000 --> 13:40.000]  They're not being brought in on the fact that it's Peter Dazik and Gates-funded programs with Fauci creating these viruses and releasing them in China.
[13:40.000 --> 13:45.000]  They're just being told, hey, the end of the world's coming. We've got to cut off resources. We've got to dig in.
[13:45.000 --> 13:51.000]  At the same level, you know, you would have a giant asteroid was coming that you knew was going to kill 3 billion people.
[13:51.000 --> 13:55.000]  And the rest of the population is going to be running around like maniacs, burning and killing and stealing.
[13:55.000 --> 13:59.000]  And so you go ahead and decide to depopulate them before it actually hits.
[13:59.000 --> 14:06.000]  This is the situational ethics they're using with these people and telling them that the end of the world is imminent.
[14:06.000 --> 14:12.000]  So you've got to accept global government. You've got to accept censorship. You've got to accept authoritarianism.
[14:12.000 --> 14:18.000]  You've got to accept forced inoculations and you've got to accept mass death and carnage because it's all for a greater good.
[14:18.000 --> 14:25.000]  Because you've been led into the managerial class of the world government and you're going to be protected with those bunkers.
[14:25.000 --> 14:32.000]  They've built in Northern Canada and in New Zealand and in Kauai, Hawaii and in Tasmania and in all these other places.
[14:32.000 --> 14:35.000]  But of course, you're really not going to be protected.
[14:35.000 --> 14:42.000]  They want to keep the intelligentsia that isn't fully on board with them close to them knowing only part of the story.
[14:42.000 --> 14:52.000]  And so that's why this is so chilling. That's why my film Endgame, blueprint for global enslavement, is so important because it's their master plan laid out 15 years ago.
[14:52.000 --> 14:55.000]  And now we've left beta and are in operational.
[14:55.000 --> 15:01.000]  So just remember with all we're going to cover today, the backdrop of the fact is William Shatner sees death on the face of Earth,
[15:01.000 --> 15:06.000]  like the Four Horsemen of the Apocalypse and he wrote on the White Horse was named death.
[15:06.000 --> 15:10.000]  That's what he sees in your future. That's what he reads off that tarot card seeing the planet.
[15:10.000 --> 15:18.000]  He tells you because the Earth is so fragile and the coming great catastrophe is about to take place because this is their ethos.
[15:18.000 --> 15:22.000]  This is the new myth they're being given them that they're going to be on Noah's Ark like Moonraker.
[15:22.000 --> 15:28.000]  They're going to survive but all the rest of us have to die and there's going to be a nostalgia for us but it was for a greater good.
[15:28.000 --> 15:33.000]  Oh, William Shatner and the elites didn't kill us. The viruses came because of global warming because we were bad.
[15:33.000 --> 15:39.000]  That's why we died not because it was cooked up in a lab released on us 12 monkey style.
[15:39.000 --> 15:46.000]  The attack has already begun. If we don't reverse it now, most of us listening and most of us watching this program today will be dead very, very soon.
[15:46.000 --> 16:05.000]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year.
[16:05.000 --> 16:10.000]  Here's why. We now have a small number of solar generators back in stock.
[16:10.000 --> 16:16.000]  These emergency backup systems provide life-saving backup power when you need it most.
[16:16.000 --> 16:24.000]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes and produce an endless supply of free electricity from the sun.
[16:24.000 --> 16:33.000]  Whether it's wildfires, dangerous weather, power grid issues or just getting off the grid, you'll never have to suffer through painful power outages again.
[16:33.000 --> 16:43.000]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too. Go to mysolarbackup.com to learn more and check availability.
[16:43.000 --> 16:45.000]  That's mysolarbackup.com.
[16:45.000 --> 16:53.000]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk and medicines stay safe and cool in any power outage.
[16:53.000 --> 17:04.000]  Yours free at mysolarbackup.com.
[17:24.000 --> 17:31.000]  For listeners who know higher food prices are coming and want an inflation hedge, you can actually eat if you want to.
[17:31.000 --> 17:43.000]  It gets even better. With your permission and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world, period.
[17:43.000 --> 17:56.000]  Go to soupbeansurvival.com that's soupbeansurvival.com and discover the real reason we're giving this unusual superfood away at soupbeansurvival.com that's soupbeansurvival.com.
[18:14.000 --> 18:23.000]  When you have the organic form of it, it does amazing things. It actually makes your telomeres last longer. It doesn't make them grow, but makes them last longer, the space of the same thing.
[18:23.000 --> 18:35.000]  So it's as close to the fountain of youth as you're going to get. Well, DNA Force Plus has been sold out for six months. It's back in stock, the highest quality, PQQ, CoQ10 and so much more.
[18:35.000 --> 18:48.000]  This entire formula is about cleaning out your cells and helping your body last longer and that is so incredibly important. We have it at 40% off despite the fact it's been sold out for six months at infowarstore.com.
[18:48.000 --> 18:57.000]  It's amazing. If you haven't tried DNA Force Plus, you really should. And for those of you that love it, it's back in stock 40% off exclusively at infowarstore.com.
[18:57.000 --> 19:07.000]  DNA Force Plus. The engineers at BioProse are very excited to announce a major expansion of new products into the retail consumer market.
[19:07.000 --> 19:33.000]  Since their rollout of their first product almost a year ago, they come out with four new products. BioDrain Pro, BioRV Pro, BioMarine Pro and BioPortaPro. For decades, oil companies and other major chemical corporations have been using patented, naturally occurring, specially bred bacteria to eat oil spills and other toxic waste disasters.
[19:33.000 --> 19:47.000]  That's how powerful these naturally occurring microbes are. The BioProse system is light years better than traditional enzymes that only work once. These bacteria begin to breed and live in your septic tank.
[19:47.000 --> 20:01.000]  And now it's available for the general public's use for the first time on the retail market exclusively available at thebioprose.com.
[20:01.000 --> 20:05.000]  You're listening to the Alex Jones show.
[20:31.000 --> 20:59.000]  Welcome back to this Friday edition. Owen Schreuer is about to take over here on the Alex Jones show. But if you're listening, this is a life and death emergency SOS for all of us.
[20:59.000 --> 21:18.000]  The globalists are buying up all the companies. They are devaluing all the major currencies. They are undermining production worldwide to purposely sabotage the carrying capacity of the planet so that the industrialized society we've built cannot produce enough food and medicine for the general population.
[21:18.000 --> 21:28.000]  This has been tested out under sanctions in countries like Iraq where the sanctions were estimated over 15 years to kill more than 2 million people, most of them children.
[21:28.000 --> 21:45.000]  And so when William Shatner talks about the big cataclysmic event he's talking about, he's talking about the globalists pulling the plug on civilization and then throwing out some voodoo of how, oh, it happened because the earth was too warm and new viruses emerged from the jungles that were really cooked up in laboratories.
[21:45.000 --> 21:52.000]  If we don't figure this out, if we don't expose this, if people don't paradigm shift and realize this is a new type of warfare, they're going to win.
[21:52.000 --> 22:01.000]  It's going to become increasingly obvious to everyone that this is real and not my opinion. It's from their own documents. Listen to me or prepare to die in the next decade.
[22:01.000 --> 22:10.000]  I would not be laying these things out. I would not be saying these things if they were not true. And I know it sounded crazy 25 years ago or even 15 years ago when I made Endgame, but now it's out in the open.
[22:10.000 --> 22:23.000]  The globalists have decided to carry this out. They've already implemented so much of the collapse that it may be too late to even turn things back now for the general public. And we're going to see billions starve to death in the chain reaction in the third world alone.
[22:23.000 --> 22:35.000]  And the globalists, again, are going to organize those people through the UN. They're going to pose as the savior over the survivors and use them as a political cultural invasion force in a permanent underclass they're going to manage and control.
[22:35.000 --> 22:50.000]  That's just one part of this organized global collapse that they're carrying out that gets more dystopic as it expands, not less, but at each leg of it, they're going to promise to make things better if you just give up more rights and more freedom.
[22:50.000 --> 23:06.000]  And you have to understand that what I said earlier is the key to all of this. A, get close to God, realize it's a spiritual fight. That's most important. But B, they cannot carry this out. There is a mass awakening and epiphany and understanding of government's control by major
[23:06.000 --> 23:15.000]  corporations in control of crisis management, creating an exacerbating crisis to get more power and control and to sever and shut down any stabilized society.
[23:15.000 --> 23:26.000]  That's why they block medicine, antivirals that end up killing tens of millions of people. That's why they order lockdowns. They know we're going to starve to death the third world where most people live hand to mouth.
[23:26.000 --> 23:37.000]  All of this is very, very simple if you understand geopolitical systems, economic systems, and cultural systems. And so we're already 10% in to their operational phase.
[23:37.000 --> 23:45.000]  We've been in beta since the end of World War II. Now, in just the last few years, and they've said this at the UN, Biden said this. They've all said it.
[23:45.000 --> 23:56.000]  This is going to be a transformative decade to bring in the new world order, to bring in the great reset to build back better. And that means after they collapse our civilization, after they make you a popper, after they make you extremely poor,
[23:56.000 --> 24:07.000]  extremely poor, even lucky enough to live, they will then dictate biological control over your body. And you're already seeing them put a deadly shot in your body, trying to make you have it to keep your job or travel.
[24:07.000 --> 24:15.000]  You're already seeing where they want to take you with this in Canada and Australia and other areas, and it's all directed by the UN. So again, it's not coming, it's here.
[24:15.000 --> 24:25.000]  And it gets worse, not better. But that's what they do it by increments. They take a little freedom, then tell you it's okay. Take a little more, patch on the head, tell you don't rebel, don't stand up.
[24:25.000 --> 24:33.000]  And by the time you turn around, everything has been taken from you and you've been chained down. You've been prepared for extermination, which is their final plan.
[24:33.000 --> 24:42.000]  They don't just want to have a big mass of poor people they control. That was the old feudalist model of control. This is a post-industrial, post-human, exterminist operation.
[24:42.000 --> 24:52.000]  They didn't have votes at the UN in Rio de Janeiro in 1992 to put this in place. They were playing games. They didn't make all those quotes, make all those statements I put in the film Endgame because they were playing games.
[24:52.000 --> 25:00.000]  These are the most powerful people on earth, but the only way they get away with it is posing as the saviors while they implement this crisis.
[25:00.000 --> 25:17.000]  And if they can sell the guilt trip on you and your family that you're a bad person, that the super viruses are appearing and that the fires are appearing and the floods are appearing, not from weather weapons, not from bio weapon labs, but from you, you having a car, you having a child, you living.
[25:17.000 --> 25:25.000]  So these people are absolutely evil. They are selfish to the core. They want life-sensitive technologies. They want to use us as guinea pigs.
[25:25.000 --> 25:31.000]  They've already been killing us en masse with these poison vaccines. They've already been killing people en masse with these lockdowns around the world.
[25:31.000 --> 25:36.000]  And now that is just an order to the main course and we are the main course.
[25:36.000 --> 25:46.000]  Now Owen Schroder is about to take over the balance of the broadcast. There's so much more to get to. Later I may call into the show because this whole thing with Joe Rogan in Gupta is so big and it's so important.
[25:46.000 --> 26:01.000]  And there's so much other incredible news taking place and it didn't make national news, but in Florida they're kicking the police chief Art Acevedo out in Miami because he tried to force me to inoculate the police all over the country from Dallas to Chicago to L.A.
[26:01.000 --> 26:09.000]  The police are saying no, that's good. The firefighters are saying no. The nurses are saying no. The military is trying to say no and Biden is threatening to court martial law.
[26:09.000 --> 26:17.000]  I mean humanity is struggling. Humanity is fighting for its life and that's a good thing, but we have to come together, black, white, old, young.
[26:17.000 --> 26:22.000]  We have to come together and realize that they're dividing us and they're conquering us and we've got our own differences. We can settle those later.
[26:22.000 --> 26:30.000]  But the globalists are coming down on everyone and they're targeting everyone and it's up to us to realize that if we don't do it, nobody will.
[26:30.000 --> 26:39.000]  So listen, listeners, you know it's not a game. That's why you tune in, but your friends and family know it's not a game now too. They're ready to wake up, so now is the time.
[26:39.000 --> 26:48.000]  Now is the time to plant the seeds. Now is the time to tell people about Bandod video and freeworldnews.tv and m4wars.com and to be proud of those sites.
[26:48.000 --> 26:54.000]  They've been proven right. They've been proven correct. You've been proven correct promoting it. You've been proven correct supporting it.
[26:54.000 --> 27:10.000]  And to give people that life saving information, the people perish for lack of knowledge. So again, however you can, whenever you can, tell people the truth lives at m4wars.com, newswars.com and Bandod video and yes, help keep us on the air.
[27:10.000 --> 27:22.000]  Go to m4wars.com. The sale ends this Sunday. 40% off on DNA Force Plus that cleans out your mitochondria in your cells and helps your telomeres last longer and with the PQQ and the CoQ10 and so much more.
[27:22.000 --> 27:32.000]  It's 40% off despite the fact it's going to sell out in the next month. I'm keeping it on that sale till Monday morning. X2 is on sale. So good for you. The Essential Deep Earth Crystalline.
[27:32.000 --> 27:44.000]  Ultra 12. Winter Sun. If you haven't experienced what these things do and the fog that personally takes me out of and I remember to take them, you need to experience it for yourself because you know it funds this operation.
[27:44.000 --> 27:56.000]  You know it keeps the tip of the spear on the air. You know it's a victory there. It can be a straight up donation. It'd be a victory. But instead, you also get an incredible product back that makes you healthier, wealthier and wiser and for you and your family.
[27:56.000 --> 28:07.000]  So I know you as an audience know this, but if your friends and neighbors and families and perfect strangers don't know how important vitamin D is or vitamin 12 or they don't know about iodine deficiency, it's up to you to warn people and up to you to let them know.
[28:07.000 --> 28:16.000]  And they don't get it from us. Get it somewhere else. Just make sure it's high quality. Make sure it's real. But back when we started promoting real Deep Earth Crystalline 10 years ago, nobody even had it.
[28:16.000 --> 28:24.000]  Now it's a huge industry. A lot of the folks are putting it out. That's great. That's our job is to be trailblazers. Yes, now Joe Rogan, as I told you a year ago, is red-pilled.
[28:24.000 --> 28:31.000]  He woke up really a year ago, a little over a year ago. I told you he was going to get hardcore. People thought I was making that up. Now you see he's hardcore.
[28:31.000 --> 28:40.000]  And it's the same thing with so many other people. It's our job to be trailblazers. It's our job to be icebreakers. It's our job to hit the bar bar first.
[28:40.000 --> 28:49.000]  And that's what we've done. So please support InfoWars and support your own future. Remember God's watching. So whatever you do, let the Holy Spirit guide you. InfoWars.com.
[28:49.000 --> 28:57.000]  Tomorrow's news today. Now a hand of a ton to Owen Schreuer and the great InfoWars crew and the ATX.
[28:57.000 --> 29:02.000]  Hey everybody. Confused about staying healthy in a crazy COVID culture? Me too.
[29:02.000 --> 29:09.000]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[29:09.000 --> 29:16.000]  It's that immune system health can literally be the difference between life and death. You probably already believe that. I certainly do.
[29:16.000 --> 29:26.000]  So here's the thing. I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[29:26.000 --> 29:33.000]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com. No curious treatments there.
[29:33.000 --> 29:42.000]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10x.
[29:42.000 --> 29:50.000]  In the best part, you can go to the StrongerDefense website right now and claim your own supply of Immune 10x without paying anything today.
[29:50.000 --> 29:58.000]  Crazy, right? Learn more about this unusual limited time offer at StrongerDefense.com. That's StrongerDefense.com.
[29:58.000 --> 30:06.000]  People ask me all the time, Alex, the last three months or so you've had explosive energy on top of your already very intense level of energy.
[30:06.000 --> 30:10.000]  What's happening? Well, it's the things that are happening in the world right now. That's got my blood up.
[30:10.000 --> 30:16.000]  But also, I've gotten back in the groove of religiously taking three products every single day.
[30:16.000 --> 30:25.000]  DNA Force Plus that's back in stock. Also, X2, deep-growth crystal iodine that's essential for your immune system, your whole body.
[30:25.000 --> 30:36.000]  And of course, at nighttime, down and out sleep aid that makes me have deeper, cleaner, restful sleep that, again, boosts my immune system and is good for every cell in my body and great for the spirit.
[30:36.000 --> 30:45.000]  All three of these products are in stock right now. They are 40% off in the case of DNA Force Plus and 50% off for one week only on Survival Shield X2.
[30:45.000 --> 30:58.000]  And yes, until supplies last, we have down and out 50% off at infowarstore.com. This is their trifecta. I suggest you check it out and experience what this does for your body today.
[30:58.000 --> 31:21.000]  Infowar's emergency supply chain breakdown sale is only running for one week from Monday, October 11th for seven days. That's because a bunch of these products that we have in stock are limited supply because obviously the supply chain breakdown that I've been warning you of now for 20 months,
[31:21.000 --> 31:29.000]  because that's part of the great reset and part of the global's plan, and that's what global lockdowns have been triggered. So we've not lowered the quality of any of our products.
[31:29.000 --> 31:42.000]  That means some of them have been sold out more than six months, like DNA Force Plus. It is 40% off, but coming up in one week, it will go back to full price and we probably won't have more for up to six months, ladies and gentlemen.
[31:42.000 --> 31:53.000]  So it's a chance to support the broadcast to get incredible products at the same time. Winner's Sun, Ultra 12, they're both 50% off. They're going to go back to 10% off in a week as well. They're 50% off right now.
[31:53.000 --> 32:17.000]  Find these and more at infowarstore.com and fund the Info World, making your life a lot healthier.
[32:23.000 --> 32:31.000]  And many of their own reports and internal meetings were leaked. You see, then I was tracking the Bilderberg Group, whose head at the time was Klaus Schwab.
[32:31.000 --> 32:41.000]  And our sources inside were confirming to us that they were indeed planning to launch this great reset. Well, we're now living in the purposeful collapse of the third world and the first world,
[32:41.000 --> 32:56.000]  not attached to the tyrannical corporate world government, the total censorship, no due process, destruction of the family, and then incrementally more and more deadly injections of poison mass creating as vaccines to poisonous in the populace.
[32:56.000 --> 33:18.000]  This is what Info Wars is fighting. We're fighting for the future.
[33:18.000 --> 33:33.000]  Live from the InfoWars.com studios, you're listening to the Alex Jones show. And now your host, Owen Shroyer.
[33:33.000 --> 33:49.000]  We are now live from the InfoWars World headquarters here in Austin, Texas. Owen Shroyer now live from the desk. We will be rejoined by Alex later. And I've got just stacks and stacks of news on my desk here.
[33:49.000 --> 34:04.000]  A lot, of course, as usual, dealing with the vaccines and with COVID, where now in Taiwan, I guess they're just being honest about everything in Taiwan.
[34:04.000 --> 34:16.000]  And they're saying, since they've been issuing the vaccines, that more people have died from the vaccine than COVID.
[34:16.000 --> 34:26.000]  Now, do you think that's exclusive to Taiwan? Or are they just the only country that's being honest about what's going on?
[34:26.000 --> 34:41.000]  Do you really think there's only one country on earth that has been vaccinating its citizens that's having more death from the vaccines than COVID? Do you really believe that?
[34:41.000 --> 35:00.000]  So I've got that news clip and that news report coming up. Now, if you recall, they're doing everything they can to try to erase the past, which is Fauci and Dasik and the rest of these people and Michael Specter.
[35:00.000 --> 35:18.000]  We played the clips. We've replayed a lot of it on the American Journal this morning. They're doing everything they can to erase their past of them bragging about the gain of function research, them bragging about the spillover research,
[35:18.000 --> 35:31.000]  them saying, this is a quote from Michael Specter saying, wouldn't it have been better if more people died during this wine flu so we could force more people to get vaccines? It sounds shocking.
[35:31.000 --> 35:37.000]  You can't believe it, but he said it. I mean, I've seen the clips. We've played the clips. So they're trying to erase that.
[35:37.000 --> 35:47.000]  And they've been caught engaged in a lot of their criminal activity, but then they just kind of shrugged their shoulders and say, oh, oh, we're sorry, hold on, we'll do better next time.
[35:47.000 --> 35:57.000]  So they launched their investigation about a year ago into the Wuhan lab, where the virus originated, where Fauci is running operations out of.
[35:57.000 --> 36:06.000]  And it was all interior people, people that Dasik was friends with, people that were interior in the Wuhan lab.
[36:06.000 --> 36:20.000]  And so then even people in the World Health Organization and others said, well, wait a second, this is an investigation that is corrupted just on its face because this is the potential people that need investigation investigating themselves.
