[00:00:00.149 --> 00:00:01.049]  And so on.
[00:04:51.188 --> 00:05:04.050]  So he brings up FEMA camps that are openly admitted, openly all over the news, and then he acts like he's the only person talking about it, then he makes a joke about it, and then next cuts to Vladimir Putin is going to attack us, and we've got to learn to, you know, single out evil,
[00:05:05.550 --> 00:05:07.692]  And Russia wants to go after the United States.
[00:05:07.692 --> 00:05:17.778]  Meanwhile, as you know, on 888, last year, a sneak attack was launched against Georgia, and then Russia came in with forces, and World War III almost commenced.
[00:05:17.778 --> 00:05:24.122]  You know, it's just incredible propaganda out of the sky, and some people in the comments section are like,
[00:05:26.564 --> 00:05:28.445]  You know, we ought to be glad Beck's coming out.
[00:05:28.445 --> 00:05:31.327]  Well, he's not coming out against the New World Order.
[00:05:31.327 --> 00:05:34.709]  I mean, this is Fox News, ladies and gentlemen.
[00:05:34.709 --> 00:05:42.973]  This is a psy-op, and every time he covers something true, to get people's confidence, he then slips in a bunch of disinfo.
[00:05:42.973 --> 00:05:46.355]  So, Glenn Beck says he doesn't know if the FEMA camps exist or not.
[00:05:46.355 --> 00:05:48.696]  He also says maybe they're good.
[00:05:48.696 --> 00:05:49.517]  Maybe they're good.
[00:05:49.517 --> 00:05:51.018]  That's a quote.
[00:05:51.018 --> 00:05:51.938]  You know, maybe they're good.
[00:05:51.938 --> 00:05:52.679]  Maybe we need them.
[00:05:53.779 --> 00:05:54.620]  No, we don't need them.
[00:05:54.620 --> 00:05:58.305]  So coming up at the start of the next hour, we're live at PrisonPlanet.tv.
[00:05:58.305 --> 00:06:00.768]  I'm going to detail it.
[00:06:00.768 --> 00:06:02.130]  Hello, this is Steve Schenck.
[00:06:02.130 --> 00:06:04.533]  Alex has told you you have to get a supply of food.
[00:06:04.533 --> 00:06:08.698]  But Alex and I have decided that there are some of you that we really don't want to have food.
[00:06:08.698 --> 00:06:10.640]  If you're a politician who voted for the bailout,
[00:06:16.016 --> 00:06:24.863]  If you think growing food for cars is better than feeding people, don't get food.
[00:06:24.863 --> 00:06:31.228]  If you think waiting for a cop to show up after a crime is better than defending yourself and preventing the crime, don't call eFoodsDirect.
[00:06:31.228 --> 00:06:34.831]  If you believe the official report on 9-11, you won't need food.
[00:06:34.831 --> 00:06:38.974]  If you think the warnings on the Alex Jones Show are foolish, don't call eFoodsDirect.
[00:06:46.943 --> 00:06:49.804]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:06:49.804 --> 00:06:51.025]  And we knew what to do.
[00:06:51.025 --> 00:06:52.605]  Or at least we thought we did.
[00:06:52.605 --> 00:06:56.407]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:07:16.934 --> 00:07:25.466]  Whitman, EPA Director on the 18th made a statement that the air was safe to breathe.
[00:07:25.834 --> 00:07:32.941]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:07:32.941 --> 00:07:36.124]  He had his hand over the radio while he was getting a countdown.
[00:07:36.124 --> 00:07:41.889]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[00:07:41.889 --> 00:07:44.972]  This is an emergency transmission worldwide.
[00:07:44.972 --> 00:07:51.698]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[00:07:56.700 --> 00:08:08.910]  Of the 3 million plus edible food plants that grow on Earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:08:08.910 --> 00:08:14.035]  At HempUSA.org, we ship worldwide these nutritional products with free shipping to the U.S.
[00:08:14.035 --> 00:08:14.915]  and Canada.
[00:08:14.915 --> 00:08:21.441]  At HempUSA.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:08:21.983 --> 00:08:25.387]  Our powder is 50% protein and does not contain gluten.
[00:08:25.387 --> 00:08:27.829]  Gluten impairs the cells from absorbing nutrients.
[00:08:27.829 --> 00:08:34.436]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:08:34.436 --> 00:08:37.960]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:08:37.960 --> 00:08:41.824]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:08:45.007 --> 00:08:48.168]  The body will react and heal itself given the proper nutrition.
[00:08:48.168 --> 00:08:50.369]  This superfood will be your greatest asset.
[00:08:50.369 --> 00:08:54.030]  So try it today, store it today, and change your life.
[00:08:54.030 --> 00:09:00.452]  Call 908-691-2608 or order from hempusa.org.
[00:09:00.452 --> 00:09:05.854]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:09:05.854 --> 00:09:08.135]  Because there's a war on for your mind.
[00:09:25.282 --> 00:09:32.268]  Coming up in 52 minutes, I'm going to do a 30-minute report on the FEMA camps.
[00:09:32.268 --> 00:09:36.031]  I'm not going to spend the whole time getting into Glenn Beck.
[00:09:36.031 --> 00:09:45.100]  But we're going to lay out the facts about the FEMA camps in the United States in our prison population period, how this is a military-industrial prison complex.
[00:09:47.329 --> 00:09:54.565]  And then I'll break down the propaganda coming out of the mainstream media because now it is hundreds of articles per day.
[00:09:54.565 --> 00:09:57.511]  I mean hundreds of articles per day.
[00:09:59.056 --> 00:10:22.028]  You can go to Google, type in New World Order, click Google News, and there will be over a hundred articles that are just published per day, all saying the New World Order is here, it will be ruled by a world bank owned by private interest, you will pay carbon taxes to it, this is the only way to get the economy going again.
[00:10:22.028 --> 00:10:24.009]  See, they're giving us an offer we can't refuse.
[00:10:24.009 --> 00:10:27.391]  They implode the economy by design, the central bank set this up,
[00:10:29.298 --> 00:10:33.759]  And then now they are openly announcing that it is a world government.
[00:10:33.759 --> 00:10:43.361]  And of course they have a few little voices in the mainstream media so it keeps some semblance of credibility who will mildly criticize the new world order.
[00:10:43.361 --> 00:10:50.482]  But in the case of Glenn Beck, we've found like four of these now where he keeps saying, I'm going to see if these FEMA camps are real.
[00:10:50.482 --> 00:10:55.603]  Then he makes little jokes and we're going to see if it's really happening and he makes more jokes.
[00:10:55.603 --> 00:10:58.104]  And then he says in one of the clips, he says, well,
[00:11:02.591 --> 00:11:07.513]  Well, you know, depending on how you look at the government, maybe these FEMA camps are a good thing.
[00:11:07.513 --> 00:11:09.674]  He said that on Fox and Friends.
[00:11:09.674 --> 00:11:16.077]  In fact, Jaren, we don't have time to play all these clips here, but on the Fox and Friends clip, just watch it.
[00:11:16.077 --> 00:11:17.978]  I think it's a couple minutes in.
[00:11:17.978 --> 00:11:19.479]  He starts talking about the FEMA camps.
[00:11:20.639 --> 00:11:26.386]  And everybody really does look freaked out on Fox News because they've all been told this is real, we're really going into martial law probably.
[00:11:26.386 --> 00:11:29.269]  And he then says, maybe they're a good thing.
[00:11:29.269 --> 00:11:30.710]  Maybe the camps are a good thing.
[00:11:30.710 --> 00:11:34.194]  Because he says, I've been trying to discredit them, but I really can't.
[00:11:34.194 --> 00:11:37.898]  But then he goes, but maybe they're a good thing.
[00:11:37.898 --> 00:11:39.640]  And this is the guy.
[00:11:42.620 --> 00:11:47.843]  Who said over and over again we need to use the army against the American people.
[00:11:47.843 --> 00:11:51.646]  You swear an oath when you're in the army to fight all enemies foreign and domestic.
[00:11:54.346 --> 00:11:56.889]  And, well, the Army needs to deal with these Ron Paul supporters.
[00:11:56.889 --> 00:11:58.350]  They're dangerous.
[00:11:58.350 --> 00:12:01.213]  And then he'll say, what do we do about the collapsing economy, the New World Order?
[00:12:01.213 --> 00:12:02.834]  You know, the good old boys, what are they going to do?
[00:12:02.834 --> 00:12:04.316]  They've got guns!
[00:12:04.316 --> 00:12:10.762]  See, it's, it's, it's, it's, he'll admit, oh, there's a New World Order, but maybe the camps are good, and maybe the good old boys need to be dealt with.
[00:12:10.762 --> 00:12:12.744]  The Ron Paul people need to be arrested.
[00:12:12.744 --> 00:12:16.548]  He mixes this thing in one day, and the next day it's Ron Paul on.
[00:12:18.288 --> 00:12:19.869]  Well, and Congressman, what do you think of these FEMA camps?
[00:12:19.869 --> 00:12:29.217]  And Ron Paul goes, well, you know, they've only introduced a bill for the camps, but I think there is a concern because the government's so out of control.
[00:12:29.217 --> 00:12:30.939]  I mean, just incredible.
[00:12:30.939 --> 00:12:37.985]  But I'm not going to spend too much of the time next hour on Glenn Beck himself.
[00:12:37.985 --> 00:12:44.651]  I thought that I would get into the admission of the camps, the camps already built,
[00:12:45.950 --> 00:12:56.157]  Where you can find 24 of the Army camps, according to Army.mil, and just hopefully finally clear the air here for people.
[00:12:56.157 --> 00:13:00.200]  I mean, I've made, I don't know, five of my films get into the FEMA camps.
[00:13:00.200 --> 00:13:02.662]  Oh, I forgot one more clip I want you to get.
[00:13:02.662 --> 00:13:03.502]  He's in there with dozens.
[00:13:03.502 --> 00:13:05.224]  We'll never get to them all.
[00:13:05.224 --> 00:13:15.491]  Just Google Oliver North FEMA camps, the same one you played on Burmese's show last night, and we'll play some Senate hearings, House-Senate joint sessions, or ANCONTRA.
[00:13:16.874 --> 00:13:26.699]  Colonel North, I read in the Miami Papers and other papers about your plan to suspend the Constitution and hold Americans in detention centers.
[00:13:26.699 --> 00:13:30.361]  Congressman Jack Brooks.
[00:13:30.361 --> 00:13:42.468]  And then they cut to the Chairman in a way and he says, that is classified information, we will not discuss that now, if you'd like to discuss that, arrangements can be made to discuss it upon executive session.
[00:13:47.293 --> 00:13:58.139]  So that's going on there.
[00:13:58.139 --> 00:14:04.463]  But you have to understand that what they do psychologically is they deny the camps, they deny the New World Order, they deny
[00:14:06.223 --> 00:14:06.403]  I think?
[00:14:37.244 --> 00:14:43.132]  Until you acquiesce to NORTHCOM brigades on the streets of America.
[00:14:43.132 --> 00:14:49.580]  Until you acquiesce to local FEMA camps merging with your local police and state police and clergy.
[00:14:49.580 --> 00:14:53.585]  Until you acquiesce to total control and everything you do being micromanaged.
[00:14:54.690 --> 00:15:05.594]  And then the government's there with handouts and mortgage help and welfare cards, now going to just the mainline general public and the middle class as they implode down into total poverty.
[00:15:05.594 --> 00:15:09.175]  They're saying, yeah, we don't like it, but what do we do?
[00:15:09.175 --> 00:15:21.619]  And suddenly all these operatives like Pat Robertson and others, supposedly conservatives, come out and say, we all need to accept that socialism is good and will save America, and that Obama is unstoppable.
[00:15:21.619 --> 00:15:22.860]  God told me!
[00:15:25.885 --> 00:15:29.818]  And suddenly you have all these supposed other conservative leaders saying, well, it's what we've got to do.
[00:15:29.818 --> 00:15:32.526]  It's, you know, that or a crisis turning into a catastrophe.
[00:15:35.424 --> 00:15:37.925]  Meanwhile, you have all this other news.
[00:15:37.925 --> 00:15:39.326]  Russian scholar says U.S.
[00:15:39.326 --> 00:15:41.127]  will collapse in the next year.
[00:15:41.127 --> 00:15:44.589]  Now, the Pentagon says they're planning to collapse the U.S.
[00:15:44.589 --> 00:15:46.110]  They're preparing for it.
[00:15:46.110 --> 00:15:47.371]  The Army War College says it.
[00:15:47.371 --> 00:15:49.112]  The British Ministry of Defense says it.
[00:15:49.112 --> 00:15:50.433]  All these big corporations say it.
[00:15:50.433 --> 00:15:52.494]  All these top trends forecasters say it.
[00:15:52.494 --> 00:15:58.617]  But when Fox News and the Wall Street Journal and My News Corp report on it, it's the dirty Russians.
[00:15:58.617 --> 00:16:00.579]  They are making America collapse.
[00:16:00.579 --> 00:16:02.220]  They want America to collapse.
[00:16:03.379 --> 00:16:04.779]  That's what Beck will do.
[00:16:04.779 --> 00:16:06.580]  It's a talking point, a psych warfare point.
[00:16:06.580 --> 00:16:08.800]  I see it everywhere.
[00:16:08.800 --> 00:16:16.903]  You know it's a talking point when they all say it in unison.
[00:16:16.903 --> 00:16:26.785]  They come out and they say, New World Order, World Bankers, World Government, FEMA Camps, Martial Law, and then they go, Russia, Iran.
[00:16:26.785 --> 00:16:32.487]  They'll just flip gears and say, yeah, it's really dangerous, and go right into, with no connection,
[00:16:34.312 --> 00:16:39.457]  To Iran and Russia and other nations the globalists want to attack.
[00:16:39.457 --> 00:16:54.473]  They get you all scared, oh there's an enemy, there's a new world order, and then they just flip-flop it, thinking you're so weak-minded you won't notice it, and without even making an intellectual connection, they just segue right into, we're being menaced by Russia, we're being menaced by Iran, we're being menaced by all these other countries.
[00:16:59.414 --> 00:17:00.435]  This is what they do.
[00:17:00.435 --> 00:17:17.163]  Meanwhile, the globalists have planned to collapse this economy and bring us into the New World Order instead of, as they collapse the economy, having the states declare sovereignty on the 9th and 10th Amendment and reconstitute the federal government under a constitutional system and arrest all these criminals that run our government.
[00:17:17.163 --> 00:17:18.524]  Those are the two
[00:17:20.916 --> 00:17:22.517]  Options, we really have.
[00:17:22.517 --> 00:17:24.939]  There are a few other sub-options.
[00:17:24.939 --> 00:17:28.381]  Russian scholar says US will collapse next year, Fox News.
[00:17:28.381 --> 00:17:34.926]  If you're inclined to believe Igor Panarin and the Kremlin, wouldn't mind if you did.
[00:17:34.926 --> 00:17:36.267]  Oh, the Kremlin.
[00:17:36.267 --> 00:17:38.768]  The President Barack Obama will order martial law this year.
[00:17:38.768 --> 00:17:40.409]  Sorry, we're already under martial law.
[00:17:40.409 --> 00:17:46.233]  Congress has been told they can't see congressional documents, that they can't see White House documents.
[00:17:46.233 --> 00:17:48.335]  The cover sheet says the President's a dictator.
[00:17:50.114 --> 00:17:52.056]  P-51 and others.
[00:17:52.056 --> 00:17:53.377]  Let's see, oh, it's about the Russians.
[00:17:53.377 --> 00:17:54.238]  They say it.
[00:17:54.238 --> 00:17:58.122]  So, see, when anybody else talks about this now, people go, that's ruski propaganda!
[00:17:58.122 --> 00:18:00.184]  Meanwhile, the Pentagon's been planning it all.
[00:18:00.184 --> 00:18:10.114]  NORTHCOM is the receivership physical thug, the soldier, for the Mafia to carry this out.
[00:18:10.114 --> 00:18:12.157]  Barack Obama will order martial law this year.
[00:18:12.157 --> 00:18:12.517]  The U.S.
[00:18:12.517 --> 00:18:13.238]  will split into six
[00:18:16.340 --> 00:18:24.622]  Rump states before 2011 and Russia and China will become the backbones of a new world order.
[00:18:24.622 --> 00:18:26.242]  Yeah, over in Russia, it's openly discussed.
[00:18:26.242 --> 00:18:30.443]  They say, well, you want a world government, but we're going to run the world government.
[00:18:30.443 --> 00:18:32.884]  It's just openly discussed who's going to run the world government.
[00:18:32.884 --> 00:18:38.565]  Meanwhile, the average neocon is still sending me emails saying it doesn't exist because Pillhead Limbaugh says it doesn't.
[00:18:41.650 --> 00:18:52.951]  Panarin might be easy to ignore, but for the fact that he is the Dean of the Foreign Military School for Future Diplomats, and a regular on Russian state-guided TV channels, like Fox News is a state-guided,
[00:18:53.931 --> 00:18:58.173]  And his predictions fit into an anti-American storyline of the Kremlin leadership.
[00:18:58.173 --> 00:19:05.717]  No, the Kremlin, when they source this, say that the European Union and the Anglo-American establishment want to break the U.S.
[00:19:05.717 --> 00:19:15.603]  up into the FEMA regions, and want to create sectarian violence with Latin Americans that are filling the Southwest, and that the British Ministry of Defense says they're setting this up.
[00:19:15.603 --> 00:19:18.564]  But see, they don't actually link to those reports.
[00:19:18.564 --> 00:19:19.765]  They don't want you to know that.
[00:19:20.345 --> 00:19:28.573]  That Russia is in horror at this, saying, please don't move weapon systems around us, please don't attack us.
[00:19:28.573 --> 00:19:34.158]  There is a high probability that the collapse of the United States will occur by 2010.
[00:19:34.158 --> 00:19:44.868]  Panarin told dozens of students, professors, and diplomats Tuesday at the Diplomatic Academy, a lecture of the ministry, pointedly invited the Associated Press and foreign media to attend.
[00:19:47.415 --> 00:19:57.245]  The prediction by Panarin, a former spokesman for Russia's Federal Space Agency, and reportedly an ex-KGB analyst, matches the negative view of the U.S.
[00:19:57.245 --> 00:20:03.150]  that has been flowing from the Kremlin in recent years, in particular from Vladimir Putin.
[00:20:03.150 --> 00:20:10.918]  Putin, the former president, who is now Prime Minister, is liking the United States and Nazi Germany's Third Reich, and blames Washington for the global financial crisis that pounded the Russian economy.
[00:20:14.338 --> 00:20:17.959]  And the article goes on to say that the Russian analyst didn't give any details.
[00:20:17.959 --> 00:20:22.620]  Yes he did, and his writings are everywhere.
[00:20:22.620 --> 00:20:37.263]  So see, the globalists have hijacked the United States, they're starting World War III, and they want to introduce this that they're going to collapse the United States, and they're going to blame it on Russia, not the bankers.
[00:20:37.263 --> 00:20:37.963]  See how this works?
[00:20:39.181 --> 00:20:41.102]  And they are going to implode things, I have no doubt.
[00:20:41.102 --> 00:20:43.464]  Riots, martial law, you name it.
[00:20:43.464 --> 00:20:46.265]  It's pretty clear they're going to go ahead and pull the trigger on us.
[00:20:46.265 --> 00:20:53.289]  And then they'll tell you Putin did it on the news, and the public will go to the red lines and throw rocks at pictures of Putin.
[00:20:53.289 --> 00:20:54.390]  I mean, it's just unbelievable.
[00:21:02.162 --> 00:21:04.004]  Life Change Tea sets the standard.
[00:21:04.004 --> 00:21:11.089]  Have you heard on radio all the new teas with funny names, movie stars, celebrities endorsing these products and so on?
[00:21:11.089 --> 00:21:12.691]  Have you checked the results?
[00:21:12.691 --> 00:21:16.074]  Not the pictures of the bikini babes and such, but the results.
[00:21:16.074 --> 00:21:21.418]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:21:21.418 --> 00:21:22.619]  Have you checked their results?
[00:21:22.619 --> 00:21:23.700]  Oh, that's right, I said that.
[00:21:23.700 --> 00:21:26.162]  Did you check the ingredients and you check for caffeine?
[00:21:26.162 --> 00:21:26.662]  Yeah!
[00:21:27.423 --> 00:21:29.284]  Life Change Tea is the real deal.
[00:21:29.284 --> 00:21:34.305]  Not a new yippee-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:21:34.305 --> 00:21:35.766]  And it will clean your body.
[00:21:35.766 --> 00:21:37.086]  Our middle name is Results.
[00:21:37.086 --> 00:21:39.467]  You can pay more and you can have a celebrity smile.
[00:21:39.467 --> 00:21:40.567]  Or you can get results.
[00:21:40.567 --> 00:21:41.128]  Your call.
[00:21:41.128 --> 00:21:43.388]  Or should I say, make the call.
[00:21:43.388 --> 00:21:44.069]  Get the tea at 928-308-0408.
[00:21:44.069 --> 00:21:44.389]  That's 928-308-0408.
[00:21:44.389 --> 00:21:46.429]  Or you can order online at GetTheTea.com.
[00:21:46.429 --> 00:21:47.350]  That's GetTheTea.com.
[00:21:57.253 --> 00:21:59.054]  Order now for real results.
[00:22:09.815 --> 00:22:11.356]  But who is the enemy?
[00:22:11.356 --> 00:22:12.176]  Bin Laden.
[00:22:12.176 --> 00:22:13.197]  This is his M.O.
[00:22:13.197 --> 00:22:14.538]  We have to look to the Middle East.
[00:22:14.538 --> 00:22:16.519]  We have to look to Osama Bin Laden.
[00:22:16.519 --> 00:22:23.683]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:22:23.683 --> 00:22:24.163]  Some U.S.
[00:22:24.163 --> 00:22:29.807]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:22:30.507 --> 00:22:34.008]  I'm aware that some Israeli citizens have been detained.
[00:22:34.008 --> 00:22:36.809]  Either you are with us, or you are with the terrorists.
[00:23:00.666 --> 00:23:04.728]  Have you ever felt like the United States government knows way too much about your financial affairs?
[00:23:04.728 --> 00:23:10.612]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[00:23:10.612 --> 00:23:11.732]  It makes me wonder if the U.S.
[00:23:11.732 --> 00:23:15.775]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[00:23:16.435 --> 00:23:30.247]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[00:23:30.247 --> 00:23:35.852]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[00:23:35.852 --> 00:23:41.677]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[00:23:42.478 --> 00:23:43.759]  Call for your free copy at 1-800-686-2237.
[00:23:43.759 --> 00:23:45.481]  When investing, always proceed with caution.
[00:23:45.481 --> 00:23:45.901]  Again, call 1-800-686-2237.
[00:23:45.901 --> 00:23:47.943]  Exercise your legal right to trade metals privately.
[00:23:47.943 --> 00:23:48.003]  1-800-686-2237.
[00:24:00.484 --> 00:24:02.465]  Heart disease is on the rise.
[00:24:02.465 --> 00:24:09.447]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:24:09.447 --> 00:24:17.830]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:24:17.830 --> 00:24:23.552]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:24:23.732 --> 00:24:25.573]  My blood pressure has normalized.
[00:24:25.573 --> 00:24:27.754]  My diabetes has totally improved.
[00:24:27.754 --> 00:24:32.297]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:24:32.297 --> 00:24:34.518]  I recommend Heart and Body Extract to everyone.
[00:24:34.518 --> 00:24:41.982]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:24:42.142 --> 00:24:42.602]  I'm healthy.
[00:25:12.506 --> 00:25:26.350]  You know, I made some preparations last night to go over the FEMA camps, and the problem I've got is I literally have hundreds of documents and news articles printed off here in front of me.
[00:25:26.350 --> 00:25:29.151]  It's over a hundred.
[00:25:29.151 --> 00:25:41.454]  The bills, the executive orders, the presidential decision directives, the mainstream news admitting that Bush wanted to become a dictator and get rid of posse commentatus, which they've done, and make the president a dictator.
[00:25:43.677 --> 00:25:45.300]  They talk about banning free speech.
[00:25:45.300 --> 00:25:47.886]  It's all public.
[00:25:47.886 --> 00:25:52.175]  And then, meanwhile, Glenn Beck, as if he's the arbiter of all of this, comes on and says,
[00:25:53.658 --> 00:25:54.679]  I'm investigating it.
[00:25:54.679 --> 00:25:56.960]  I'll let you know if it's true or not, but I've been looking at it.
[00:25:56.960 --> 00:25:58.561]  It looks like it's true.
[00:25:58.561 --> 00:26:00.282]  Looks like it's true.
[00:26:00.282 --> 00:26:02.404]  Never giving any evidence when it's all there.
[00:26:02.404 --> 00:26:05.266]  And then saying, but maybe it's a good idea.
[00:26:05.266 --> 00:26:06.767]  In fact, John, I forgot to ask you during the break.
[00:26:06.767 --> 00:26:08.908]  We're going to be playing some video clips in the next hour.
[00:26:08.908 --> 00:26:10.669]  We have to limit that because of time.
[00:26:10.669 --> 00:26:16.893]  Did you pull out that specific audio clip of him talking about it being a good idea I sent you?
[00:26:16.893 --> 00:26:19.495]  Let's go ahead and play some of that right now.
[00:26:21.287 --> 00:26:23.689]  Okay, so it's coming up.
