[00:00.000 --> 00:04.740]  Gavin McInnis is back with his all-new online network, FreeSpeech.tv.
[15:55.740 --> 16:00.740]  Now, the story's up on InfoWare.com with that headline. Report.
[16:00.740 --> 16:26.740]  City of Austin now microchipping the homeless. We'll give you the rest of the story when we come back.
[16:30.740 --> 16:37.740]  We'll give you the rest of the story when we come back.
[17:01.740 --> 17:07.740]  Right on the East Bank of the Mississippi. Because of the flooding, we've had to move a lot of our inventory to a temporary location.
[17:07.740 --> 17:15.740]  And rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[17:15.740 --> 17:23.740]  So here's what you should do right now. Check out the PPX Microgrid System at myownpowergrid.com. That's myownpowergrid.com.
[17:23.740 --> 17:31.740]  Over $1,000 in great off-the-grid gear and a ton of bonuses too. In the best part, you're not going to pay $750 or $500 or even $200.
[17:31.740 --> 17:54.740]  Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[18:01.740 --> 18:18.740]  It is now an admitted fact. Fluoride out of the water has caused tens of millions of Americans to be brain damaged and to have infertility and low IQs.
[18:18.740 --> 18:31.740]  And it doesn't matter if the Journal of American Medical Association comes out and says it's terrible, still the city's put it in the water because the ruling globalists want you and your family poisoned and stupid.
[18:31.740 --> 18:40.740]  And they sure don't want you to know about the good allergen, iodine, that absolutely increases IQ and fertility and makes life so wonderful and opens up your consciousness, your mind, everything.
[18:40.740 --> 18:49.740]  Thank God. Thank God. I discovered this eight years ago. Of course, the enemy knows all about it and they hope you don't discover it. They hope you just roll over and die.
[18:49.740 --> 18:56.740]  So whatever you do, don't visit mforestore.com and get 60% off right now on the Wake Up the World to the Iodine Conspiracy Combo.
[18:56.740 --> 19:04.740]  60% off with X2 and X3 together with your bottle of Biotrusilinium. Whatever you do, don't go to mforestore.com. Just give up America. Give up Christians.
[19:04.740 --> 19:10.740]  Drink your fluoride and die. Give in to Satan. Give him up.
[19:10.740 --> 19:22.740]  Here are the facts. Iodine raises IQ and across the board makes you more healthy in thousands of top studies, including the American Medical Journal.
[19:22.740 --> 19:28.740]  Every type of fluoride lowers IQ, massively increases cancer and destroys fertility.
[19:28.740 --> 19:36.740]  That's the facts. Learn about the iodine conspiracy and then once you've learned about it, protect yourself and your family.
[19:36.740 --> 19:42.740]  The reason I'm so hot on this is the globalists put the fluoride in the water while making sure we don't get the iodine.
[19:42.740 --> 19:48.740]  In China, they put the iodine in the water and ban the fluoride because they've already got their people under their control.
[19:48.740 --> 19:52.740]  The globalists are targeting us here. Please go to mforestore.com.
[19:52.740 --> 19:58.740]  Experience iodine and Biotrusilinium that goes with it together and then once you see the great results, warn others.
[19:58.740 --> 20:26.740]  This is the Achilles' Hill of the Globalist. It's a win-win situation. The only way you lose is not taking action. Take action now.
[20:26.740 --> 20:48.740]  Welcome back, ladies and gentlemen. I am your host, Alex Jones.
[20:48.740 --> 20:58.740]  If you're a TV viewer, as you can see, there's the article at newswords.com. Report Austin Homeless being implanted with trackable microchips.
[20:58.740 --> 21:06.740]  Program rolled out in Latin America and third world countries now coming to Texas.
[21:06.740 --> 21:10.740]  And the nation is being hit with thousands of tons of fentanyl.
[21:10.740 --> 21:20.740]  Enough if you took an overdose of it to kill tens of billions of people, each shipment, and you've got people just laid out like the old opium dens in China
[21:20.740 --> 21:25.740]  on the sides of the street all over leftist blue cities.
[21:25.740 --> 21:33.740]  Think about that, ladies and gentlemen. Think about how incredibly dangerous that is and how humanity is being targeted
[21:33.740 --> 21:44.740]  and how medical doctors push all these different forms of opiates and impediments on the general population.
[21:44.740 --> 21:54.740]  Now, let me sit down here for a minute and start going over these articles and more detail for folks and then just tell the listeners what is coming up today
[21:54.740 --> 21:59.740]  and what's going to be unfolding here.
[21:59.740 --> 22:04.740]  I'm going to put together a special report for tomorrow that just has a compilation the last year.
[22:04.740 --> 22:08.740]  And I'm going to show you some of the articles where you can actually find the reports.
[22:08.740 --> 22:14.740]  ABC News, CBS News, Yahoo News, all the big establishment news, New York Times, Washington Post saying,
[22:14.740 --> 22:19.740]  you will get a microchip in the next few years to buy and sell.
[22:19.740 --> 22:23.740]  And you will get one in your brain. And it's just real easy.
[22:23.740 --> 22:29.740]  If you just get them all, it's like getting in pierced ears. It's no big deal. No big deal.
[22:29.740 --> 22:34.740]  You'll have a big mega corporation. Most of their systems based in China put a bunch of wires directly in your brain
[22:34.740 --> 22:38.740]  and have Elon Musk saying, don't worry, AI will take you over. That's a quote.
[22:38.740 --> 22:42.740]  But not right away. And then he started laughing.
[22:42.740 --> 22:47.740]  So, Austin Homeless being implanted with trackable chips.
[22:47.740 --> 22:57.740]  Mike Adams article posted up on infowars.com also with the live feed of the show.
[22:57.740 --> 23:02.740]  And it's all being pushed as vaccines. Oh, it's an implantable microchip vaccine.
[23:02.740 --> 23:14.740]  Everyone knows don't oppose vaccines. Vaccine now just means something being put into your body by the state, by the government.
[23:14.740 --> 23:23.740]  Something mandated that a government with a breakaway civilization mad scientist technocracy that was caught in Peru
[23:23.740 --> 23:27.740]  and caught in Nigeria and caught in the United States.
[23:27.740 --> 23:37.740]  The UN was caught putting all sorts of pathogens in vaccines like syphilis giving you live syphilis.
[23:37.740 --> 23:46.740]  But again, the media only told you about the black people. I guess that's institutional racism thinking, oh, it's just the black people.
[23:46.740 --> 23:55.740]  So this plan is absolutely rolling out in the past. It was secret, you know, five years ago, 10 years ago.
[23:55.740 --> 24:04.740]  Now it's all out in the open.
[24:04.740 --> 24:11.740]  Vaccines now being used to harvest biometric identities of everyone. Big brother merges with big pharma.
[24:11.740 --> 24:17.740]  That's what this is all about. And Google has basically been buying up big pharma. So has Facebook.
[24:17.740 --> 24:22.740]  This is the merger. You think it's just devices in your house that watch and listen to you and report on you?
[24:22.740 --> 24:28.740]  Oh, no, no, no, that's nothing. Mark Zuckerberg teases AI brain chip.
[24:28.740 --> 24:32.740]  But it'll be different than Elon Musk. That's the New York observer.
[24:32.740 --> 24:42.740]  Mexicans get microchips over kidnapping fears. New scientists. That was a decade ago.
[24:42.740 --> 24:51.740]  This company invests microchips in employees and they love it. Sweden's talking about making everyone do it to use mass transit for all taxi drivers.
[24:51.740 --> 24:57.740]  USA Today three years ago, you'll get chipped eventually.
[24:57.740 --> 25:03.740]  Why you're probably getting microchip implant someday. The Atlantic.
[25:03.740 --> 25:07.740]  Elon Musk hopes to put a computer in your brain. Who wants one?
[25:07.740 --> 25:14.740]  Singing in in July and must shows you how easy it is. And the headline was it's an easy procedure on Monday.
[25:14.740 --> 25:22.740]  AP was reporting on others. Star was reporting on as well. And there was the headline soon AI computers will be your judges.
[25:22.740 --> 25:26.740]  They'll be totally fair. Oh, really? Who programs them? What a joke.
[25:26.740 --> 25:32.740]  Oh, everything will be automated. The computer will decide what job you have or how long you live or how much healthcare you get.
[25:32.740 --> 25:41.740]  How wonderful. And the technocrats will program it all. What a nightmare on its face. Who would accept this? Who would want to be part of this?
[25:41.740 --> 25:49.740]  And now we have tens of thousands of homeless, the mayor saying, hey, they can sleep whatever they want, including, you know, basically in your yard.
[25:49.740 --> 25:54.740]  And then there's a big crisis and now they need medical care and now they did everything and they're just laid out on drugs.
[25:54.740 --> 25:59.740]  Most of them aren't even mentally ill. Used to get some homeless, hobos, mentally ill, folks that fell through the cracks.
[25:59.740 --> 26:05.740]  But now people just want to take their opium. They want to take their heroin. They want to take their oxy cotton.
[26:05.740 --> 26:11.740]  They want to take their fentanyl being shipped in by the Chinese government officially to sabotage the United States.
[26:11.740 --> 26:17.740]  And how dare Trump try to stop it? How dare him try to interdict it?
[26:17.740 --> 26:25.740]  Just how dare President Trump, because, again, enough fentanyl got caught coming into the U.S. to kill 10,608 million people.
[26:25.740 --> 26:30.740]  Remember that a few months ago? And we first hit the math here.
[26:30.740 --> 26:35.740]  And later I picked up nationally. They looked at it and said, yeah, this would kill. They said 11 billion people in the national news.
[26:35.740 --> 26:41.740]  They rounded up. They all took a killer dose, an overdose amount of that amount that came in.
[26:41.740 --> 26:47.740]  They broke it all up into one dose for each person that would be an overdose and kill 11 billion people.
[26:47.740 --> 26:54.740]  Well, there's only seven and a half billion people on this big blue ball spinning through. God knows what.
[26:54.740 --> 27:01.740]  So here we are, ladies and gentlemen, this is the real world. So I'll be talking more about this, but this is all being built up.
[27:01.740 --> 27:08.740]  It's been prepared and now the system's making its move. Sterilizing little boys in Texas at age seven. That's in the news.
[27:08.740 --> 27:15.740]  Men whimming, the women's sporting events everywhere. Men going in little girls' bathrooms with their schlongs hanging out.
[27:15.740 --> 27:23.740]  All of it just in your face. Killer recalling anybody that opposes their Russian agent, including Tulsi, all of this insanity.
[27:23.740 --> 27:30.740]  They're just doing it. They're coming after the family. They're coming after everything. They're making their move.
[27:30.740 --> 27:37.740]  They're admittedly spying on us all. And this technotronic ruling class believes they're above the law and Godlike.
[27:37.740 --> 27:44.740]  What a time to be alive. And Elon Musk and Zuckerberg are doing press conferences saying you'll come in a little medical thing.
[27:44.740 --> 27:50.740]  It only takes about an hour and we're going to put wires in your brain. Brain surgery.
[27:50.740 --> 27:58.740]  And it's all just a new phase. Yes, they've created our evolution, this evolutionary path into de-evolution, into a technocracy.
[27:58.740 --> 28:05.740]  And all the statistics show the phones and the wires and the computers all make us more depressed, more alone.
[28:05.740 --> 28:11.740]  The suicide rates in young people double. They just doubled. People are, well, struggling, you know why?
[28:11.740 --> 28:17.740]  Because the society's breaking down. It's being shut down. People don't have relationships. They don't exercise. They don't go outside.
[28:17.740 --> 28:27.740]  We don't have barbecues with the neighbors anymore. We watch TV shows or we click on phones all day for dopamine, but we're getting more sickly, more depressed.
[28:27.740 --> 28:32.740]  Our brains are being rewired the bad way. We've been given technology by design.
[28:32.740 --> 28:36.740]  One of the former heads of Facebook, Sean Parker, works for Zuckerberg.
[28:36.740 --> 28:42.740]  He said, we designed it to depress you and take control of your life. And now you have avatar bots that are your friends.
[28:42.740 --> 28:48.740]  Most of the friends on Facebook aren't real. And they're there to influence you and take control of you and make you more depressed.
[28:48.740 --> 28:53.740]  And then they get you deeper into the labyrinth. Until finally you check out and say, give me a pleasure chip.
[28:53.740 --> 28:57.740]  Make me a PKD wire head. Put me in the matrix. I want out of this.
[28:57.740 --> 29:06.740]  The matrix was mirroring Pentagon papers on this from the 70s. It didn't invent the ideas. We'll be right back.
[29:28.740 --> 29:34.740]  My blood pressure has normalized. My diabetes has totally improved.
[29:34.740 --> 29:41.740]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[29:41.740 --> 29:49.740]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[29:49.740 --> 29:57.740]  Order your two months supply today by calling 866-295-5305. That's 866-295-5305.
[29:57.740 --> 30:06.740]  Or order online hbextract.com. Heart and body extract 866-295-5305. Or hbextract.com.
[30:08.740 --> 30:16.740]  Again, I'm not talking down to the Info Wars audience, but I've been banging my head against a wall for a long time on this.
[30:16.740 --> 30:19.740]  And I'm talking about fluoride and I'm talking about I and I.
[30:19.740 --> 30:29.740]  Now, if you have a boat, a motorboat, let's say an old glass-tron boat, and you want to take it on the lake, you've got to have a lake to put it in.
[30:29.740 --> 30:34.740]  If you're a human being, you've got to have oxygen to live. Okay, it's the same thing.
[30:34.740 --> 30:40.740]  Well, ladies and gentlemen, the bad halogen is fluoride. That's why in every Western nation, they put it in the water.
[30:40.740 --> 30:45.740]  They're going to teach us Christians lay down and die. The chai comms don't put it in the water. They'd execute you if you did that.
[30:45.740 --> 30:53.740]  They put iodine in the water because it's the good halogen and increases fertility and lifespan and intelligence and everything else.
[30:53.740 --> 30:59.740]  So again, learn about the iodine conspiracy at infowarstore.com. We have all the documents and articles linked.
[30:59.740 --> 31:04.740]  And then get good iodine for yourself because the globalists are fighting to make sure you don't.
[31:04.740 --> 31:07.740]  Again, get iodine at infowarstore.com.
[31:08.740 --> 31:11.740]  Info Wars presents Alex Jones.
[31:11.740 --> 31:16.740]  In August of 2019, JAMA, or the Journal of the American Medical Association,
[31:16.740 --> 31:22.740]  the most prestigious came out and said, oh my gosh, just a little bit of fluoride in the water causes lowered IQs,
[31:22.740 --> 31:26.740]  massive infertility, and a lot of babies dying in the womb, and it causes cancer.
[31:26.740 --> 31:29.740]  That was just one of thousands of studies admitting this.
[31:29.740 --> 31:36.740]  You know, it's illegal to have even one part per billion in the water in places like California unless it's part of adding fluoride.
[31:36.740 --> 31:43.740]  And then they have a waiver and can add thousands of deadly chemicals to your water because the liberals love you
[31:43.740 --> 31:45.740]  and they want to sexualize your children.
[31:45.740 --> 31:51.740]  So whatever you do, drink lots of fluoride and don't get the thing that counters iodine at infowarstore.com.
[31:51.740 --> 31:54.740]  Drink fluoride and die.
[31:54.740 --> 31:57.740]  Drink fluoride, dirty Americans, and roll over.
[31:57.740 --> 32:01.740]  Do not visit infowarstore.com and get high quality iodine to counter it.
[32:01.740 --> 32:04.740]  No, roll over and die, dirty Americans.
[32:04.740 --> 32:08.740]  infowarstore.com forward slash show.
[32:08.740 --> 32:11.740]  Welcome back to NPR here today.
[32:11.740 --> 32:13.740]  I'm Wilbur Snakeland.
[32:13.740 --> 32:20.740]  I just want you to know that when you hear the intro of the show and it's the Rockefeller Foundation and the Carnegie Foundation,
[32:20.740 --> 32:26.740]  don't look into the 1920s and 30s documents where they said that to be free from war,
[32:26.740 --> 32:36.740]  we must end the family and masculinity and that we must put chemicals in the food and water to make the men subservient and the women infertile.
[32:36.740 --> 32:46.740]  A real terrorist, Alex Jones, has been on air with that gravely evil male voice telling you to look into how iodine's good for your body and essential
[32:46.740 --> 32:48.740]  and how fluoride's bad.
[32:48.740 --> 32:51.740]  Listen, that's a conspiracy theory, okay?
[32:51.740 --> 32:53.740]  There's no medical journals.
[32:53.740 --> 32:54.740]  There's no facts.
[32:54.740 --> 32:56.740]  You need fluoride.
[32:56.740 --> 33:25.740]  Make extra fluoride and then you don't have to think anymore and just go to sleep when I talk to you real soft like this.
[33:26.740 --> 33:31.740]  Testing worldwide, it's Alex Jones.
[33:31.740 --> 33:35.740]  I'm just an average man with an average life.
[33:35.740 --> 33:37.740]  I work from nine to five.
[33:37.740 --> 33:39.740]  Hell, I pay the price.
[33:39.740 --> 33:43.740]  All I want is to be left alone in my average home.
[33:43.740 --> 33:51.740]  But why do I always feel like I'm in the twilight soon and I'd always feel like somebody's watching me.
[33:51.740 --> 33:56.740]  The article's live at infowars.com and it's got the company there bragging about it.
[33:56.740 --> 34:01.740]  They've been implanting the homeless with microchips for years down in Latin America and now they're doing it here.
[34:01.740 --> 34:09.740]  It gives them privacy, it says, part of the blockchain and their medical records and they just scan.
[34:09.740 --> 34:21.740]  That article's at infowars.com and newswars.com from the great researcher and incredible investigative journalist Mike Adams.
[34:21.740 --> 34:22.740]  What a sleuth, ladies and gentlemen.
[34:22.740 --> 34:27.740]  Now, let me tie it in to the attack on the heart of America.
[34:27.740 --> 34:28.740]  You know, they want your guns.
[34:28.740 --> 34:29.740]  They admit they're going to take your guns.
[34:29.740 --> 34:30.740]  That's their plan.
[34:30.740 --> 34:31.740]  They want your children.
[34:31.740 --> 34:32.740]  They want it all.
[34:32.740 --> 34:34.740]  They're called control freak authoritarians.
[34:34.740 --> 34:36.740]  Well, look right here.
[34:36.740 --> 34:40.740]  Men arrested for speech in Connecticut.
[34:40.740 --> 34:46.740]  Men were charged under Connecticut statute, making it a crime to ridicule certain people.
[34:46.740 --> 34:51.740]  Someone caught them in a parking lot out a window.
[34:51.740 --> 34:55.740]  It looks like maybe singing a rap song or something.
[34:55.740 --> 35:00.740]  And it looks like these guys are not even from the U.S. recently.
[35:00.740 --> 35:05.740]  So it's popular, obviously all over the world, especially the Middle East, to sing rap songs.
[35:05.740 --> 35:09.740]  I guess they didn't get the memo that you can't sing songs.
[35:09.740 --> 35:11.740]  Again, ladies and gentlemen, they're banning all the speech.
[35:11.740 --> 35:17.740]  And it's the same Democrats in Connecticut shooing me wanting to overturn the First Amendment.
[35:17.740 --> 35:19.740]  This is real tyranny.
[35:19.740 --> 35:23.740]  UConn students arrested for ridiculing speech.
[35:23.740 --> 35:24.740]  That's right.
[35:24.740 --> 35:25.740]  You can't ridicule.
[35:25.740 --> 35:32.740]  Tyranny 2.0, Proud Boys sentenced to four years in prison for defending themselves from antifa attack.
[35:32.740 --> 35:39.740]  There's also folks trying to pass laws banning the word bitch.
[35:39.740 --> 35:42.740]  Now, it's on record the Proud Boys were followed, attacked.
[35:42.740 --> 35:44.740]  Some of the antifa was arrested, attacking others.
[35:44.740 --> 35:47.740]  But because these guys fought back and kicked their butt,
[35:47.740 --> 35:53.740]  well, fighting back a leftist method is the greatest crime there is, fighting back against a bully.
[35:53.740 --> 36:00.740]  And so they're facing now major prison sentences and were railroaded in the deep blue sea of New York City.
[36:00.740 --> 36:02.740]  They've got me in the deep blue sea of Connecticut.
[36:02.740 --> 36:05.740]  They've got Roger Stone in 12 days.
[36:05.740 --> 36:10.740]  Those in front of Obama's hanging judge getting railroaded.
