[00:00.000 --> 00:01.200]  We'll protect voting rights.
[09:48.800 --> 09:54.160]  to show up control like Venezuela did, so you never have another free election again.
[09:54.160 --> 09:58.480]  How many times have I said that a thousand times the last two years?
[09:58.480 --> 10:02.880]  And now they've inverted the truth, I said, and simply turn it on its head.
[10:02.880 --> 10:07.600]  But the average person at a subconscious level knows we're in a tyranny, knows they've just
[10:07.600 --> 10:08.600]  been through authoritarianism.
[10:08.600 --> 10:15.720]  But the average leftist goes into learned helplessness and normalcy bias and mass.com syndrome and
[10:15.720 --> 10:23.160]  claps and praises, yes, lock me up, make me take shots, take my job away, sterilize my
[10:23.160 --> 10:29.600]  kids, ship fentanyl in, demoralize me, devalue my dollar, fly around on private jets and
[10:29.600 --> 10:33.120]  live in mansions while they say that we can't have cars or air conditioning.
[10:33.120 --> 10:40.480]  And then I'm just going to praise and clap like a trained seal when you say it.
[10:40.480 --> 10:46.080]  When, or Schloss or how he says name, hysterically warns the Republicans when our children will
[10:46.080 --> 10:49.080]  be arrested and conceivably killed.
[10:49.080 --> 10:55.160]  Meanwhile, Rand Paul vows to introduce Bill to stop government and big tech colluding
[10:55.160 --> 10:57.080]  to censor speech to make it illegal.
[10:57.080 --> 10:58.080]  It's already illegal.
[10:58.080 --> 11:05.680]  Go talk to a constitutional lawyer, I've had judges on Napolitano and others and Judge
[11:05.680 --> 11:06.680]  Joe Brown.
[11:06.680 --> 11:10.280]  It's illegal on dozens of fronts and they admit in the federal document we got to keep
[11:10.280 --> 11:11.280]  the secret.
[11:11.280 --> 11:12.280]  It's illegal.
[11:12.280 --> 11:16.320]  Was he legal for Loris Lerner to target hundreds of thousands of conservatives with audits
[11:16.320 --> 11:18.360]  just because they were conservatives?
[11:18.360 --> 11:19.360]  Yeah.
[11:19.360 --> 11:23.480]  Richard Nixon had a list of a hundred and something names in his safe that he never
[11:23.480 --> 11:28.800]  used, but he was thinking about using the IRS on and boy, he had to leave office.
[11:28.800 --> 11:33.080]  That was one of the main reasons.
[11:33.080 --> 11:36.440]  But you have this reign of terror with the government illegally doing stuff.
[11:36.440 --> 11:37.440]  It's already legal.
[11:37.440 --> 11:42.080]  And I have other private corporations and groups involved with government power secretly
[11:42.080 --> 11:48.520]  is racketeering organized crime, intelligence operations against the American people.
[11:48.520 --> 11:56.400]  This is the swarmy bureaucrat bureaucracy, deep state that has gotten away with murder
[11:56.400 --> 12:00.840]  literally and figuratively and thinks they can just bring in a high tech tyranny and
[12:00.840 --> 12:01.840]  defeat us.
[12:01.840 --> 12:04.200]  But the awakening is huge.
[12:04.200 --> 12:07.760]  Cabin Newsome warns Democrats, red waves coming Tuesday.
[12:07.760 --> 12:10.600]  He positions himself to run in 2024.
[12:10.600 --> 12:14.120]  So we're going to play these clips.
[12:14.120 --> 12:17.240]  Hell, we'll start playing some of them right now.
[12:17.240 --> 12:23.240]  Here's the MSNBC historian on they are going to put you in a camp and kill your children.
[12:23.240 --> 12:24.800]  Now what did I say in the last two days?
[12:24.800 --> 12:28.520]  They're going to put you in a camp, but actually have reports and documents.
[12:28.520 --> 12:31.080]  They're building them and who they want to put in them all over the world saying COVID
[12:31.080 --> 12:32.080]  deniers.
[12:32.080 --> 12:35.960]  But don't go along with the next lockdown from Australia to the UK to the US.
[12:35.960 --> 12:37.320]  They're admittedly setting that up.
[12:37.320 --> 12:38.320]  That's on record.
[12:38.320 --> 12:43.360]  And there's all these pathologists and coroners coming out saying 40 plus percent death rate
[12:43.360 --> 12:45.240]  increase insurance tax worries.
[12:45.240 --> 12:47.400]  That's real proof they're killing us.
[12:47.400 --> 12:51.320]  They're building real camps saying they're for us listing David Icke as a terrorist saying
[12:51.320 --> 12:53.400]  I've got to be put in jail or taken off the air.
[12:53.400 --> 12:56.800]  They're doing all this illegal surveillance and bullying and then they turn around and
[12:56.800 --> 13:02.040]  point their finger at us, who are the underdogs, who are the rebels, who are the Americans,
[13:02.040 --> 13:07.440]  who are the patriots and say, we are the bad guys.
[13:07.440 --> 13:08.440]  We're the Nazis.
[13:08.440 --> 13:12.880]  They say, meanwhile, their main funder, one of their kingpins, one of their field marshals,
[13:12.880 --> 13:15.840]  George Soros, literally told 60 minutes.
[13:15.840 --> 13:19.960]  The best time of his life was helping round up Jews for the Nazis because he could infiltrate
[13:19.960 --> 13:21.320]  and find where the Jews were hiding.
[13:21.320 --> 13:23.840]  He went around finding Anne Franks on record.
[13:23.840 --> 13:31.920]  It's like, oh, ADL loves him because that's who they are.
[13:31.920 --> 13:34.720]  You cannot get more evil than people like George Soros, ladies and gentlemen.
[13:34.720 --> 13:39.680]  They're committed to evil and they want to hurt and kill everybody.
[13:39.680 --> 13:40.680]  Look at Israel.
[13:40.680 --> 13:44.560]  It has some of the most draconian controls in the world after China with lockdowns and
[13:44.560 --> 13:47.360]  forced injections and mass death.
[13:47.360 --> 13:52.480]  Oh, Israel loves Jews so much, but the people running it follow the New World Order orders
[13:52.480 --> 13:57.560]  to AT and now Jews are dying in mass.
[13:57.560 --> 14:01.320]  I've studied history and when these globalists do this, they do a double cross and then right
[14:01.320 --> 14:06.920]  at the end, they turn and wipe out everybody and particularly the Jews.
[14:06.920 --> 14:10.840]  And so, yeah, there's about anti-Semitism coming, death of Jews is coming, absolutely.
[14:10.840 --> 14:13.760]  At the hands of the New World Order and the hands of the globalists, just like George
[14:13.760 --> 14:18.680]  Soros did, I predict this isn't turned around that the globalists will not just wipe out
[14:18.680 --> 14:23.840]  80% of the population, they will particularly hunt down the Jews.
[14:23.840 --> 14:24.840]  Look, Israel.
[14:24.840 --> 14:28.840]  Oh, but the Jews all think they're safe there.
[14:28.840 --> 14:34.800]  It's revelation, again, this is all deception upon deception upon deception.
[14:34.800 --> 14:40.720]  Come on, come on and wake up, baby, hold your eye back.
[14:40.720 --> 14:46.800]  The Republicans, if you elect them, are going to put you in jail and murder your children.
[14:46.800 --> 14:50.160]  Say the mouthpieces of the New World Order.
[14:50.160 --> 14:54.080]  Remember everything they say is the opposite.
[14:54.080 --> 14:56.920]  Their religion is backwards.
[14:56.920 --> 15:00.200]  Everything is an inversion of God's plan.
[15:00.200 --> 15:05.120]  Hear it from the mouth of one of these monsters.
[15:05.120 --> 15:10.640]  And a historian, 50 years from now, if historians are allowed to write in this country, and
[15:10.640 --> 15:15.800]  if there are still free publishing houses and a free press, which I'm not certain of,
[15:15.800 --> 15:22.240]  but if that is true, a historian will say, what was at stake tonight and this week was
[15:22.240 --> 15:27.080]  the fact, whether we will be a democracy in the future, whether our children will be arrested
[15:27.080 --> 15:33.040]  and conceivably killed, we're on the edge of a brutal authoritarian system, and it could
[15:33.040 --> 15:35.800]  be a week away.
[15:35.800 --> 15:40.200]  If you vote, voting is now tyranny.
[15:40.200 --> 15:41.200]  Did you hear what he said?
[15:41.200 --> 15:43.880]  It's the same exact talking point everywhere put out by Hillary, put out by Obama, put
[15:43.880 --> 15:46.400]  out by Biden, put out everywhere.
[15:46.400 --> 15:53.680]  They're everywhere calling it book banning demonstrations in Michigan in places where
[15:53.680 --> 15:57.240]  you can't even read at city council what's in the books.
[15:57.240 --> 16:04.440]  Christie Lee last year and others tried to go read at the AISD and others, the actual
[16:04.440 --> 16:09.400]  book that's in the middle school where her child was going, and it's a famous book and
[16:09.400 --> 16:10.400]  she showed it to me.
[16:10.400 --> 16:15.000]  I'd read about the book, I'd read the excerpts, but I'd never seen in my life images of adults
[16:15.000 --> 16:16.640]  having sex with children.
[16:16.640 --> 16:19.960]  I've been blessed enough to never because they pollute the internet with it to ever
[16:19.960 --> 16:22.120]  run into any child porn.
[16:22.120 --> 16:29.120]  And I was looking at a graphic novel cartoon book that was anatomically correct, you know,
[16:29.120 --> 16:36.920]  like a cartoon book, it was a cartoon with children eight, nine years old being picked
[16:36.920 --> 16:42.720]  up in their backyards and their adult neighbor taking them in a shed and raping them.
[16:42.720 --> 16:49.880]  Oh, and they love it, of course, literal kidnapper porn.
[16:49.880 --> 16:54.720]  And I've got all these clips from city councils and county commissions, you've seen them,
[16:54.720 --> 16:59.600]  where people start trying to read what's given in some cases to elementary students.
[16:59.600 --> 17:03.680]  Parents aren't told these books are put in mass on the shelves and they spin it and call
[17:03.680 --> 17:04.680]  it.
[17:04.680 --> 17:09.680]  Oh, the Republicans and the Christians and the people that just don't like pedophilia,
[17:09.680 --> 17:15.200]  they're trying to ban books, no, I guess you can put out a book that has a graphic novel
[17:15.200 --> 17:16.200]  of pedophilia.
[17:16.200 --> 17:21.640]  I don't think that probably should be illegal, certainly when it's promoting it, but that
[17:21.640 --> 17:24.040]  starts to get into the First Amendment.
[17:24.040 --> 17:25.880]  But that isn't banned.
[17:25.880 --> 17:27.400]  Alex Jones is banned.
[17:27.400 --> 17:35.040]  And I guarantee you folks ought to try to go place at your local high schools.
[17:35.040 --> 17:36.040]  The great reset.
[17:36.040 --> 17:40.480]  The pastor should go go to the library, try to donate it to the school library and see
[17:40.480 --> 17:41.480]  if they try to block it.
[17:41.480 --> 17:44.200]  And I guarantee in leftist jurisdictions, they'll say, oh, no, you can't have Alex
[17:44.200 --> 17:52.040]  Jones's book here, but you can have a book that I told Christy Lee, I said, you can't
[17:52.040 --> 17:54.240]  show that on air.
[17:54.240 --> 17:55.760]  And she rightfully came and asked permission.
[17:55.760 --> 17:58.160]  She said, you think I should show this?
[17:58.160 --> 18:02.840]  And she handed me the book and I went in my office and opened it up and I'll be completely
[18:02.840 --> 18:03.840]  honest with you.
[18:03.840 --> 18:06.600]  I only went through like 20 pages of it.
[18:06.600 --> 18:10.800]  It was like a hundred and something pages long.
[18:10.800 --> 18:12.280]  But I forget the name of that book.
[18:12.280 --> 18:13.440]  It's a bit of a big controversy.
[18:13.440 --> 18:14.440]  You call her.
[18:14.440 --> 18:15.440]  Yes, the name of it.
[18:15.440 --> 18:20.880]  And there it was with the AISD library sticker on the back of the damn thing.
[18:20.880 --> 18:22.840]  So what am I getting at here?
[18:22.840 --> 18:27.680]  Everything they say is a lie.
[18:27.680 --> 18:33.720]  And it was so surreal to open a book up that is adult men and also children having sexual
[18:33.720 --> 18:43.000]  relationships with each other and images of men performing oral sex on little kids and
[18:43.000 --> 18:50.920]  bending them over and sodomizing them for the first and only time of my life.
[18:50.920 --> 18:52.960]  I have seen child porn.
[18:52.960 --> 18:57.160]  I am brutalized by this.
[18:57.160 --> 18:58.160]  Gender queers what it's called.
[18:58.160 --> 19:00.600]  Yeah, show the cover of the book.
[19:00.600 --> 19:04.160]  You know what, go ahead and pull it up online.
[19:04.160 --> 19:05.160]  I know it's online.
[19:05.160 --> 19:06.160]  Reportedly.
[19:06.160 --> 19:07.160]  I don't know.
[19:07.160 --> 19:08.160]  Don't do it.
[19:08.160 --> 19:09.160]  Folks, I'm just telling you.
[19:09.160 --> 19:10.160]  You type that in.
[19:10.160 --> 19:11.160]  You click Google images.
[19:11.160 --> 19:12.160]  Okay.
[19:12.160 --> 19:16.320]  So they found blurred out copies of it.
[19:16.320 --> 19:17.640]  So you just get it off the screen.
[19:17.640 --> 19:19.160]  Get it off the screen.
[19:19.160 --> 19:20.160]  Sorry.
[19:20.160 --> 19:21.480]  I don't want to put it up with them.
[19:21.480 --> 19:22.480]  I'm just kidding.
[19:22.480 --> 19:23.760]  I'm not going to put it up there.
[19:23.760 --> 19:31.320]  So and in these books and others, it's about men kidnapping children.
[19:31.320 --> 19:36.600]  Now, you may be able to lure a 10 year old boy in the back of your van promising him
[19:36.600 --> 19:39.160]  you've got Legos or whatever or a puppy.
[19:39.160 --> 19:43.320]  But even if you can consensually trick them into having so-called sex with you, it's still
[19:43.320 --> 19:44.320]  kidnapping.
[19:44.320 --> 19:46.480]  It's still rape because they're not of age to do that.
[19:46.480 --> 19:53.560]  You pedophile monsters, pedophile publications are in school boards all over the country
[19:53.560 --> 19:58.560]  including where I live.
[19:58.560 --> 20:00.520]  And that's just five seconds of his line.
[20:00.520 --> 20:02.920]  Oh, they want to ban books.
[20:02.920 --> 20:05.000]  You know, they're going to kill our kids.
[20:05.000 --> 20:06.920]  They're going to kill us.
[20:06.920 --> 20:10.680]  When the Democrats today were overpopulated, where the Democrats today there's too many
[20:10.680 --> 20:14.560]  of us, where the Democrats want to abort everybody.
[20:14.560 --> 20:16.120]  So it goes on and on and on.
[20:16.120 --> 20:22.240]  Yeah, this particular video is from a week ago where the father is reading what his middle
[20:22.240 --> 20:36.720]  school daughter came in contact with and it describes two teenage boys raping a girl.
[20:36.720 --> 20:45.040]  They also in these books tell kids how to go sign up at sex sites, sex dating sites like
[20:45.040 --> 20:50.120]  and then they list the main names of them.
[20:50.120 --> 20:54.360]  So ladies and gentlemen, this is a direct pedophile attack on our children and they
[20:54.360 --> 20:58.720]  even have people go to the city councils in Texas, Mississippi, Louisiana, Florida, New
[20:58.720 --> 20:59.720]  York.
[20:59.720 --> 21:03.480]  You've seen the videos where they show up at the city council a lot of times dressed
[21:03.480 --> 21:08.920]  like hit the clown and say, we are going to get access to your children.
[21:08.920 --> 21:13.840]  We're going to groom them and you can't stop us.
[21:13.840 --> 21:19.560]  Remember the choir, the big city funded choir in San Francisco.
[21:19.560 --> 21:20.560]  We're going to get your children.
[21:20.560 --> 21:27.160]  We're going to take them.
[21:27.160 --> 21:39.280]  Remember Jocelyn elders 30 years ago was nominated to be the surgeon general by Bill Clinton
[21:39.280 --> 21:46.320]  and then they released the transcripts and testimony she'd given or she said the important
[21:46.320 --> 21:52.360]  thing when she talked for school is to take the two year olds and teach them to masturbate
[21:52.360 --> 21:57.480]  and we need the teachers to reach down and touch it and do it.
[21:57.480 --> 22:01.440]  And you're listening to this, I mean, and by the way, there's a bounty forever can find
[22:01.440 --> 22:02.440]  it.
[22:02.440 --> 22:10.880]  I heard Rush Limbaugh in 1993 when she was nominated play those clips and I and you cannot
[22:10.880 --> 22:12.200]  find them for a while.
[22:12.200 --> 22:15.960]  You couldn't find the Soros clips, but finally people found them and got them out.
[22:15.960 --> 22:17.440]  He's got to find Jocelyn elders.
[22:17.440 --> 22:28.240]  And my point is, is that this is a scientific, Schenarian psychological takeover plan to
[22:28.240 --> 22:32.960]  ruin children because all the research shows if you can sexualize a child when they're
[22:32.960 --> 22:40.160]  six, seven, eight, nine, 10 years old, you could screw them up for life.
[22:40.160 --> 22:42.120]  But I'm only analyzed five seconds of the club.
[22:42.120 --> 22:43.120]  I'm sorry.
[22:43.120 --> 22:47.440]  I can play the full 30 seconds to get an analyze all the other lives in it, but the total inversion
[22:47.440 --> 22:49.600]  and they're saying this on all the channels.
[22:49.600 --> 22:54.200]  Now, there it is Newsweek, Jocelyn elders suggested last week that schools might teach
[22:54.200 --> 22:57.920]  masturbation and safe sex.
[22:57.920 --> 22:59.920]  She did a lot more than that.
[22:59.920 --> 23:07.640]  She said the teachers would give hand jobs to the children and get all the little girls.
[23:07.640 --> 23:11.280]  Sorry, we're going to talk about this, folks, but your children can't protect themselves
[23:11.280 --> 23:18.120]  Yeah, she said, we're going to put condoms in the launch trays.
[23:18.120 --> 23:19.120]  Yes.
[23:19.120 --> 23:23.800]  And what the Boy Scouts did a few years ago, now that bankrupted them and now condoms.
[23:23.800 --> 23:26.840]  All right, Alex Jones here back live.
[23:26.840 --> 23:31.720]  This burst loss guy is echoing the talking point that's everywhere.
[23:31.720 --> 23:34.240]  And it's only a 30 second clip.
[23:34.240 --> 23:40.760]  You notice I just spent like 10 minutes on five seconds of it because every part of their
[23:40.760 --> 23:43.120]  talking points is a complete inversion.
[23:43.120 --> 23:46.320]  You flip it back around and it's exactly who they are.
[23:46.320 --> 23:47.480]  They're going to put you in death camps.
[23:47.480 --> 23:49.160]  They're going to kill your kids.
[23:49.160 --> 23:52.520]  Told you that on Monday and Tuesday people like Jones is going too far.
[23:52.520 --> 23:55.000]  Now what do they say invert?
[23:55.000 --> 23:56.000]  They are inverting.
[23:56.000 --> 23:57.800]  We flip it back.
[23:57.800 --> 23:58.800]  Very simple.
[23:58.800 --> 24:00.320]  I don't know the enemy battle plan.
[24:00.320 --> 24:01.320]  They can't help it.
[24:01.320 --> 24:02.320]  They are Satanist.
[24:02.320 --> 24:05.720]  Even they're not officially practicing them practicing it.
[24:05.720 --> 24:08.840]  They follow it at a spiritual level.
[24:08.840 --> 24:10.640]  So notice they're censoring us.
[24:10.640 --> 24:11.640]  They're watching us.
[24:11.640 --> 24:12.640]  They're controlling us.
[24:12.640 --> 24:13.640]  They're bullying us.
[24:13.640 --> 24:14.640]  They're demanking us.
[24:14.640 --> 24:15.640]  They're locking us down.
[24:15.640 --> 24:18.840]  They're trying to force inject us with poisonous shots.
[24:18.840 --> 24:20.760]  All of this incredible stuff.
[24:20.760 --> 24:24.560]  And then they say we're going to kill them and they say we're going to censor and burn
[24:24.560 --> 24:26.280]  the books.
[24:26.280 --> 24:34.960]  It's not banning books to not let eight year olds read about Billy getting picked up by
[24:34.960 --> 24:40.680]  a van and how fun it was to have an adult man screw him and they rear end.
[24:40.680 --> 24:41.680]  Yeah.
[24:41.680 --> 24:45.840]  And I'm sorry to have to talk like this folks.
[24:45.840 --> 24:49.960]  This is going on in the schools.
[24:49.960 --> 24:52.360]  And I've seen the video around the country and it happened here in Austin where when
[24:52.360 --> 24:56.440]  you try to show that book the police take you out.
[24:56.440 --> 24:58.320]  You don't show it to the adults.
[24:58.320 --> 25:01.480]  We got to secretly do it to the kids.
[25:01.480 --> 25:05.200]  In liberal jurisdictions the cops have their little special leftist that you work at the
[25:05.200 --> 25:08.400]  city councils as you know the cops outside might be good but the ones inside have been
[25:08.400 --> 25:13.240]  chosen usually because they're on board with the cult.
[25:13.240 --> 25:22.120]  So that's only five seconds of the 30 seconds let's play the 30 seconds again unedited and
[25:22.120 --> 25:24.080]  then I'm going to go back through it piece by piece.
