[00:00.000 --> 00:29.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[03:45.000 --> 03:54.000]  So this is what the establishment wants. And Beyonce and all these other groups act like they're all gangster and they're tough and they're cool.
[03:54.000 --> 04:09.000]  They're on Sumner Redstone's Viacom, MTV, the biggest news corporation, biggest media corporation in the world, own CBS, you name it. They are on the Super Bowl, Fox.
[04:09.000 --> 04:19.000]  And this is what they're pushing as we sit here and critique this garbage being pointed at children, being pushed to the population, fireballs going off, anarchy.
[04:19.000 --> 04:26.000]  In real world, a woman running around doing this will get shot. Just like the lady we saw two weeks ago with a battle axe, trying to kill a cop.
[04:26.000 --> 04:35.000]  And the Black Lives Matter people freaked out. She'd already battle-axed one person, tried to battle-ax the cop, he shot her, and people said it was wrong.
[04:35.000 --> 04:46.000]  You've got her as a wild-eyed woman running around, and you've got Michelle Obama. It's all a script, out saying, how dare Louisiana and other states pass laws saying Christians can't be persecuted.
[04:46.000 --> 04:58.000]  She's all upset and mad about it, a commencement speech, and all these foreign countries are canceling trips to the U.S., but not to Muslim countries where they behead homosexuals. That's okay.
[05:16.000 --> 05:23.000]  We're also able to get items that are out of stock when you sign up for auto-ship because we hold back a surplus for auto-ship customers.
[05:23.000 --> 05:28.000]  Number three, we're giving you free shipping on all orders above $50.
[05:28.000 --> 05:34.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[05:34.000 --> 05:42.000]  Just go to infoorstore.com, select your favorite product or products, click on auto-ship, and choose how often you want us to send you another order.
[05:42.000 --> 05:49.000]  As you know, I coined the term 360WIN, and with the new auto-ship feature at infoorstore.com, this is a sure win.
[05:49.000 --> 05:54.000]  10% off on auto-ship. Win, win, win at infoorstore.com, free shipping on orders above $50.
[05:54.000 --> 05:59.000]  And all auto-stock items are never out of stock when you sign up for auto-ship.
[05:59.000 --> 06:17.000]  We are on the march. The empire is on the run. Alex Jones and the GCN Radio Network.
[06:30.000 --> 06:36.000]  A little sister who's the only one.
[06:50.000 --> 06:57.000]  Hard to believe it's already Sunday, the 24th day of April 2016. I'm your host, Alex Jones.
[06:57.000 --> 07:00.000]  We're going to be here for the next two hours as we are every Sunday, 4 to 6 p.m.
[07:00.000 --> 07:03.000]  The weekday broadcast, 11 a.m. to 3 p.m. Central.
[07:03.000 --> 07:08.000]  InfoWars, family news, 7 o'clock, all-time Central. InfoWars.com, forward slash show.
[07:08.000 --> 07:16.000]  Find affiliates, listings, free iPhone apps, Android apps, podcast links, video podcast links,
[07:16.000 --> 07:19.000]  and so much more. InfoWars.com, forward slash show.
[07:19.000 --> 07:26.000]  Or when you're on infowars.com, just go up to the radio show tab, and that will give you links to everything.
[07:26.000 --> 07:29.000]  Including the free video feeds, audio feeds, and more.
[07:29.000 --> 07:33.000]  So you can also send that out on your email, Facebook, Twitter.
[07:33.000 --> 07:40.000]  The power of you, the audience, taking action and getting other folks to tune into the broadcast,
[07:40.000 --> 07:44.000]  to watch the videos, to read the reports, to look at the legislation we're covering.
[07:44.000 --> 07:50.000]  We'll be earth-shattering. InfoWars, in its 21-year history, has already had a gigantic effect.
[07:50.000 --> 08:00.000]  And we've only begun to fight the metrics at which we operate are exponential, are compounding,
[08:00.000 --> 08:04.000]  and are extremely, extremely effective thanks to you taking action.
[08:04.000 --> 08:09.000]  So I salute the listeners and viewers who are not behind us, but are, again, as I've said many times,
[08:09.000 --> 08:16.000]  right beside us and at the heart of what we do.
[08:16.000 --> 08:22.000]  I was watching a report on infowars.com yesterday, the David Knight filed,
[08:22.000 --> 08:26.000]  where he was talking about why do we even have public restrooms.
[08:26.000 --> 08:30.000]  The original term from a restroom is a privy, meaning private.
[08:30.000 --> 08:37.000]  And why in this so-called nation, or in the West for that matter, is the biggest issue we discuss,
[08:37.000 --> 08:42.000]  people changing their sex, and who can go in what bathroom?
[08:42.000 --> 08:46.000]  I mean, this is comical. This is the total joke.
[08:46.000 --> 08:51.000]  While our collective bill of rights is being shredded, our collective freedoms are being destroyed,
[08:51.000 --> 08:57.000]  our sovereignty is being destroyed, trillions and trillions and trillions and trillions of taxpayer dollars
[08:57.000 --> 09:04.000]  are signed on to prop up foreign banks, our government is opening our borders up to radical jihadists,
[09:04.000 --> 09:14.000]  there's an open attack on the family, and all we hear about all day is about how this company or that company
[09:14.000 --> 09:22.000]  or this public school or that public school are creating new bathrooms or saying men can go in women's
[09:22.000 --> 09:29.000]  and women can go in men's. This is all just a way you confuse a species.
[09:29.000 --> 09:34.000]  And in the globalist research, in the globalist think tank documents going back to the 50s and 60s,
[09:34.000 --> 09:41.000]  they talk about confusing the sexes for depopulation, opening salvo, pushing homosexuality.
[09:41.000 --> 09:46.000]  That's a fact. We always preface this with we're not against gay people.
[09:46.000 --> 09:52.000]  I'm not going to use the politically correct word because as soon as you start using the politically correct word,
[09:52.000 --> 09:55.000]  next it's you can't say mother or father because someone may not have a mother or father,
[09:55.000 --> 10:01.000]  or someone may not be a he or she, so you can't say that. This is happening. This is the takeover of language.
[10:01.000 --> 10:07.000]  And I shouldn't have to or David Knight shouldn't have to preface. Listen, we're not against transgenders,
[10:07.000 --> 10:16.000]  but this whole agenda is about total federal and international control and you in laws about what type of bathrooms you have.
[10:16.000 --> 10:22.000]  Now, there's the headline from a year ago. Schoolchildren told to call kids purple penguins because boys and girls
[10:22.000 --> 10:28.000]  are not inclusive to transgender. See, your identity can't exist. You must be assimilated.
[10:28.000 --> 10:35.000]  And that's the real message pushed by all the big TV shows and movies for decades.
[10:35.000 --> 10:38.000]  I would wonder what is all this transgender stuff getting pushed?
[10:38.000 --> 10:41.000]  And I thought it was just some Hollywood fetish or something.
[10:41.000 --> 10:48.000]  No, then I read it into think tank documents that we've covered here and it's all about coming in,
[10:48.000 --> 10:54.000]  ending the family, the nuclear family, making the state in control, reducing population.
[10:54.000 --> 10:59.000]  And that's what's going on here.
[10:59.000 --> 11:06.000]  And the West, that's the most open and the most historically liberal is being targeted.
[11:06.000 --> 11:12.000]  The British government came out two weeks ago and said, do not travel to the North Carolina or to Louisiana
[11:12.000 --> 11:19.000]  because they have root laws against you. All it says is Christians can't be persecuted for their beliefs.
[11:19.000 --> 11:25.000]  But even British newspapers went, but wait a minute, the very same British government doesn't tell you to go to Saudi Arabia
[11:25.000 --> 11:33.000]  or don't go to Dubai or wherever where you'll be killed if you're a homosexual.
[11:33.000 --> 11:40.000]  Or Cirque du Soleil out of Canada canceled trips to the U.S. saying that our people are in danger of being attacked.
[11:40.000 --> 11:47.000]  Oh, bull, but are still going to Dubai and Saudi Arabia.
[11:47.000 --> 11:54.000]  You there to CNN UK issues travel warning about anti-LGBT laws in the U.S.
[11:54.000 --> 12:00.000]  So we have people running around having hissy-fitch and getting caught getting fake cakes,
[12:00.000 --> 12:06.000]  that they get a cake from a store and then put insults about themselves on it just to get attention.
[12:06.000 --> 12:11.000]  And every day people get caught putting swastikas in their front yard or swastikas in their dorms
[12:11.000 --> 12:19.000]  or shame lacrosse team rape them and it always 99% of the time turns out to be pure bull.
[12:19.000 --> 12:22.000]  So this is what's going on.
[12:22.000 --> 12:27.000]  And then you see Beyonce in her new music video that's up on infowars.com.
[12:27.000 --> 12:29.000]  It's also on drugsreport.com.
[12:29.000 --> 12:35.000]  Urban terrorists in new video baseball bat rampage shows little girls skipping behind her
[12:35.000 --> 12:42.000]  while she runs around blowing up buildings, burning things down, beating up cars with a baseball bat.
[12:42.000 --> 12:45.000]  And she looks hideously ugly.
[12:45.000 --> 12:48.000]  She just be that ugly, it's weird.
[12:48.000 --> 12:53.000]  The most establishment Viacom, the most establishment Fox,
[12:53.000 --> 12:58.000]  the most establishment attack the police riot, burn stuff.
[12:58.000 --> 13:03.000]  And it's all these cheering black people saying how great she is.
[13:03.000 --> 13:05.000]  This is what they're selling.
[13:05.000 --> 13:08.000]  And then even two of my friends have seen this in Austin the last few months.
[13:08.000 --> 13:17.000]  Groups of young black kids coming up to baseball fields and parts screaming for white people to get out and to leave.
[13:17.000 --> 13:22.000]  And you see the racial attacks in the news all over the country, but they try to spin it and say it isn't.
[13:22.000 --> 13:26.000]  And they sing the Beyonce songs when they do it.
[13:26.000 --> 13:34.000]  And this is just the government and the system dividing and conquering just like all the transsexual business.
[13:34.000 --> 13:38.000]  And then I was watching David Nye's report and I meant to actually print this article.
[13:38.000 --> 13:40.000]  I had even seen this a week ago and I hadn't even covered it.
[13:40.000 --> 13:50.000]  A federal judge ruled that boys in elementary school, middle school, high school can use the girls' showers and vice versa
[13:50.000 --> 13:54.000]  if they see themselves as a girl even with males in Italia.
[13:54.000 --> 14:02.000]  But then I remember another story about another federal judge got caught drunk in a parking lot peeing.
[14:02.000 --> 14:05.000]  I think a lot of people probably done that.
[14:05.000 --> 14:08.000]  And he got lost his job.
[14:08.000 --> 14:10.000]  Remember last year, I'm going to pull up both those articles for me.
[14:10.000 --> 14:11.000]  I forgot to tell you, sorry.
[14:11.000 --> 14:14.000]  When we come back, I'll give people examples, actual names.
[14:14.000 --> 14:17.000]  I forgot to pull up from my stack.
[14:17.000 --> 14:24.000]  He lost his job for indecent exposure even though it was an adult cop driving by someone's door open peeing.
[14:24.000 --> 14:27.000]  Nobody could see it.
[14:27.000 --> 14:30.000]  Yeah, there's the headline we'll put up on screen right now for TV viewers.
[14:30.000 --> 14:34.000]  California citizen's secret referendum to block transgender public bathroom use.
[14:34.000 --> 14:36.000]  Petition currently bottled up in court.
[14:36.000 --> 14:37.000]  Yeah, that's another case.
[14:37.000 --> 14:43.000]  The one with the federal judge was ruled that boys can use girls' showers and vice versa.
[14:43.000 --> 14:48.000]  Now imagine you've got an 11-year-old daughter and there's somebody that thinks they're a girl
[14:48.000 --> 14:50.000]  and they walk in and they have male genitals.
[14:50.000 --> 14:53.000]  This is meant to just, this is the new rights, though.
[14:53.000 --> 14:54.000]  The NSA is going to spy on you.
[14:54.000 --> 14:55.000]  The border is going to be wide open.
[14:55.000 --> 14:57.000]  Foreign banks can rob you.
[14:57.000 --> 14:58.000]  Yeah, there it is.
[14:58.000 --> 15:01.000]  Federal court order school to allow girls to use boys' restroom.
[15:01.000 --> 15:03.000]  Yeah, that's just the one on that.
[15:03.000 --> 15:05.000]  It's showers this last week.
[15:05.000 --> 15:08.000]  They ruled showers.
[15:08.000 --> 15:10.000]  The ruling actually says showers.
[15:10.000 --> 15:13.000]  So, see, they give you all these faux rights.
[15:13.000 --> 15:16.000]  You have a right in Travis County where I live to pay for other people's abortions.
[15:16.000 --> 15:20.000]  They actually have a hospital tax tagged on your property tax.
[15:20.000 --> 15:27.000]  You have the right in San Francisco and many other cities to pay for 10, 20, 30 thousand dollar sex changes
[15:27.000 --> 15:30.000]  and plastic surgery, fake breasts and everything.
[15:30.000 --> 15:34.000]  Hey, if a guy wants to have it cut off and have fake breasts, knock yourself out, bro.
[15:34.000 --> 15:37.000]  The point is I shouldn't have to, oh, I'm good.
[15:37.000 --> 15:39.000]  If I don't give you money, I'm a bigot.
[15:39.000 --> 15:41.000]  This is the mental illness.
[15:41.000 --> 15:43.000]  And this is psychologically done.
[15:43.000 --> 15:44.000]  How does America the Great Fall?
[15:44.000 --> 15:45.000]  How does Europe fall?
[15:45.000 --> 15:49.000]  All discussing where they poo poo and pee pee in their wee-wees.
[15:49.000 --> 15:51.000]  I mean, this is what we've become.
[15:51.000 --> 15:57.000]  It's a rest of development in the population that we're given this mass mental illness.
[15:57.000 --> 16:00.000]  Yeah, first of all, I want to say,
[16:00.000 --> 16:04.000]  Secret 12 acts to super mail, brain force, prostagart, silverboard.
[16:04.000 --> 16:05.000]  I use them all.
[16:05.000 --> 16:06.000]  They're phenomenal.
[16:06.000 --> 16:07.000]  They work.
[16:07.000 --> 16:08.000]  Buy them folks.
[16:08.000 --> 16:09.000]  Thank you, brother.
[16:09.000 --> 16:11.000]  Thank you guys for putting those out there.
[16:11.000 --> 16:17.000]  I am a relatively short-time listener and I'm quite a supporter of your fine, fine products.
[16:17.000 --> 16:19.000]  Welcome to the Info War.
[16:19.000 --> 16:24.000]  It's so easy to get these incredible nutraceuticals that support your health and the Info War at the same time.
[16:24.000 --> 16:26.000]  I'm a nine-year listener.
[16:26.000 --> 16:29.000]  I buy all the nutraceuticals, Casio FX, Nace and I.
[16:29.000 --> 16:31.000]  Let me ask you a question. Have they worked for you?
[16:31.000 --> 16:34.000]  They're the most unbelievable products I've ever had in my life.
[16:34.000 --> 16:35.000]  What products are you taking?
[16:35.000 --> 16:43.000]  Everything from super mail to brain force to winter sun, X2, even got a little DNA force.
[16:43.000 --> 17:08.000]  So when I just free up everything and I just went to auto-fill.
[17:08.000 --> 17:28.000]  I was there telling you how to prepare yourself and your family.
[17:28.000 --> 17:35.000]  Now in 2016, even more information has been revealed concerning the connection between iodine and the gut,
[17:35.000 --> 17:41.000]  which many experts are now saying could be the biggest revelation ever concerning iodine.
[17:41.000 --> 17:43.000]  You can pull these studies up for yourself.
[17:43.000 --> 17:49.000]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[17:49.000 --> 18:16.000]  Stock up on Survival Shield X2 Today at infowarslife.com or by calling 888-253-3139.
[18:16.000 --> 18:22.000]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[18:22.000 --> 18:27.000]  Extracted directly from the wild herb and sealed in easy to use capsules,
[18:27.000 --> 18:31.000]  you will no longer need to endure the burning of liquid oregano on the tongue.
[18:31.000 --> 18:37.000]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[18:37.000 --> 18:44.000]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[18:44.000 --> 18:49.000]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[18:49.000 --> 18:52.000]  Now available at infowarslife.com.
[18:52.000 --> 19:18.000]  That's infowarslife.com or call 888-253-3139.
[19:23.000 --> 19:28.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[19:28.000 --> 19:34.000]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives
[19:34.000 --> 19:41.000]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[19:41.000 --> 19:45.000]  you need to check out infowarsteam.com.
[19:45.000 --> 19:47.000]  Give your body the gift of good nutrition.
[19:47.000 --> 19:49.000]  Head over to infowarsteam.com.
[19:49.000 --> 19:51.000]  Your body will be very grateful.
[19:51.000 --> 19:54.000]  Call on the web at infowarsteam.com.
[19:54.000 --> 20:23.000]  That's infowarsteam.com.
[20:24.000 --> 20:38.000]  We're going to have open phones in the second hour.
[20:38.000 --> 20:40.000]  Maybe even by the last segment of this hour.
[20:40.000 --> 20:42.000]  I'll give the number out in the next segment.
[20:42.000 --> 20:44.000]  Again, I'm your host Alex Jones.
[20:44.000 --> 20:47.000]  The news website is infowars.com.
[20:47.000 --> 20:49.000]  If that site's ever down, which it rarely is,
[20:49.000 --> 20:55.000]  it's prismplanet.com's the backup. It's not just a mirror, it has some original content as well.
[20:55.000 --> 20:57.000]  It's also very important for all the viewers,
[20:57.000 --> 21:02.000]  unless you're staying in contact with us with more and more censorship happening on Twitter, Facebook, even YouTube,
[21:02.000 --> 21:05.000]  and big efforts to try to shut us up and others up that's been all over the news.
[21:05.000 --> 21:08.000]  This attack on free speech worldwide is intensifying.
[21:08.000 --> 21:11.000]  Email's one of the hardest ways for them to block us.
[21:11.000 --> 21:15.000]  It's very important we send out a lot of exclusive content, news articles, videos,
[21:15.000 --> 21:18.000]  you name it, at infowars.com.
[21:18.000 --> 21:21.000]  Just put your email in there, or a new email you create,
[21:21.000 --> 21:24.000]  and we will send you a lot of really exclusive information,
[21:24.000 --> 21:27.000]  including a lot of promo codes, coupons, you name it,
[21:27.000 --> 21:30.000]  for the store, infowarsstore.com.
[21:30.000 --> 21:36.000]  They carry some of the best books, videos, pro-liberty apparel, Hillary for Prison shirts,
[21:36.000 --> 21:41.000]  incredible nutraceuticals, and more, including the new Make America Free again.
[21:41.000 --> 21:43.000]  I've made a hat pretty much like Trump's Made America,
[21:43.000 --> 21:45.000]  a blue one, a camo one, and a red one.
[21:45.000 --> 21:50.000]  They're Made America Super High Quality, and we have those now available at infowarsstore.com.
[21:50.000 --> 21:53.000]  It's an example of why it's important to sign up for the free newsletter,
[21:53.000 --> 21:56.000]  because there's a lot of promo codes that are in that hint, hint.
[21:56.000 --> 22:02.000]  Sometimes specials up to 50% just for people that are members of the info wars insider newsletter
[22:02.000 --> 22:06.000]  at infowars.com forward slash newsletter.
[22:06.000 --> 22:10.000]  The system does a lot to try to block folks from tuning into the broadcast,
[22:10.000 --> 22:14.000]  so I suggest everybody do their best to get as many people to tune in as you can,
[22:14.000 --> 22:18.000]  especially people that are tuning in on AM and FM stations around the country.
[22:18.000 --> 22:22.000]  It's so easy to tell your neighbors, your coworkers, folks at church,
[22:22.000 --> 22:26.000]  you name it, to tune in to the local station you're listening to right now.
[22:26.000 --> 22:30.000]  You can send out the free iPhone app, droid app links to anybody as well.
[22:30.000 --> 22:33.000]  This is how we reach more people. It's simply amazing.
[22:33.000 --> 22:36.000]  Okay, let me just tell you in this segment what is coming up.
[22:36.000 --> 22:40.000]  I kind of went off on a jag about the whole transgender stuff.
[22:40.000 --> 22:42.000]  We're going to get into huge news.
[22:42.000 --> 22:47.000]  Senator investigating Clinton email says FBI could possibly leak info
[22:47.000 --> 22:52.000]  if the Justice Department does not call for her indictment.
[22:52.000 --> 22:57.000]  Clinton has also stormed Connecticut with an anti-gun message.
[22:57.000 --> 22:59.000]  A hilarious video and audio we're going to play.
[22:59.000 --> 23:03.000]  Donald Trump does hilarious impression of crooked Hillary as a robot
[23:03.000 --> 23:06.000]  reading off teleprompters.
[23:06.000 --> 23:09.000]  Oh, the 9-11 commission tries to confuse the public and says,
[23:09.000 --> 23:13.000]  no Saudi smoking gun. The news has been running with this all weekend.
[23:13.000 --> 23:18.000]  The 9-11 commission took a report from the Bushes basically and certified it.
[23:18.000 --> 23:21.000]  That's not the congressional commission.
[23:21.000 --> 23:26.000]  And now Obama says, oh, he's going to release parts of it.
[23:26.000 --> 23:28.000]  No, the whole thing. We know it's in it.
[23:28.000 --> 23:33.000]  We know about the FBI and defense intelligence whistleblowers that were in Congress.
[23:33.000 --> 23:35.000]  I've interviewed a bunch of them.
[23:35.000 --> 23:41.000]  They know about the NORAD stand down and the hijackers from Saudi Arabia being protected.
[23:41.000 --> 23:43.000]  I've had the head of the embassy on you.
[23:43.000 --> 23:45.000]  They were told these guys are CIA.
[23:45.000 --> 23:47.000]  I don't care if it says they're all kind of let them in.
[23:47.000 --> 23:49.000]  They were protected.
[23:49.000 --> 23:52.000]  The Clintons and the Bushes protected them and they protected them right up to 9-11.
[23:52.000 --> 23:55.000]  And that needs to come out. We're going to break that down.
[23:55.000 --> 24:03.000]  The really big news memo, CDC officials warned of safety risk diseases and immigrant influx.
[24:03.000 --> 24:05.000]  That story is on drugreport.com.
[24:05.000 --> 24:07.000]  Right hand column. It's an info wars.com.
[24:07.000 --> 24:09.000]  Don Salazar article.
[24:09.000 --> 24:11.000]  And it's a sensational memo.
[24:11.000 --> 24:13.000]  We're going to get to that in a moment.
[24:13.000 --> 24:17.000]  Hillary considers all female ticket by choosing woman as vice president nominee.
[24:17.000 --> 24:21.000]  But in Telegraph UK, isn't that just special?
[24:21.000 --> 24:23.000]  Yeah, the stunt of, you know, we've had the black guy.
[24:23.000 --> 24:25.000]  Now it's the woman. Isn't about who's qualified.
[24:25.000 --> 24:27.000]  Isn't about who's a constitutionalist.
[24:27.000 --> 24:29.000]  No, no, no.
[24:29.000 --> 24:37.000]  It's about who is a woman. And in case Donald Trump or somebody nominates a VP woman while she wants to be all women.
[24:37.000 --> 24:45.000]  I'd go for two women if it was, say, and I'm not saying Michelle Bachman or a, or a, you know, another person is perfect.
[24:45.000 --> 24:48.000]  Like Sarah Palin, but they're better than Hillary and whoever she's going to pick.
[24:48.000 --> 24:52.000]  Maybe Hillary will pick her girlfriend who's her chief of staff or whatever.
[24:52.000 --> 24:55.000]  So it's just all about total mindless stunts.
[24:55.000 --> 24:57.000]  Hey, look, I'm a woman. I love you.
[24:57.000 --> 25:00.000]  Oh, yeah. But she covered up all the rapes, of course.
[25:00.000 --> 25:05.000]  And the rest of it that her husband was involved in, very well known.
[25:05.000 --> 25:07.000]  So that's coming up as well.
[25:07.000 --> 25:10.000]  That's just some of what's coming up of a big science and technology stack.
[25:10.000 --> 25:15.000]  But since I mentioned this, let's get to this. Let's get to this right now.
[25:15.000 --> 25:20.000]  Remember, oh, back in 2000, and it was reported on 2002.
[25:20.000 --> 25:24.000]  ABC News got the memos and to their credit actually published it.
[25:24.000 --> 25:29.000]  Where the head of the CDC and this whole boardroom of top execs of the centers
[25:29.000 --> 25:34.000]  of disease control was meeting and said, look, we got millions of kids with autism
[25:34.000 --> 25:37.000]  directly linked to the bunch of our own studies to the vaccines causing some type
[25:37.000 --> 25:40.000]  of autoimmune response in the brain and the gut.
[25:40.000 --> 25:44.000]  I won't give this to my grandkids. We got to warn our kids not to take it.
[25:44.000 --> 25:48.000]  But if we tell the public they're going to revolt, we've got to get the heads of
[25:48.000 --> 25:50.000]  industry in and clean these things up.
[25:50.000 --> 25:56.000]  Now, you can just type in CDC, you know, secret meeting 2000 ABC News.
[25:56.000 --> 25:59.000]  It'll come up.
[25:59.000 --> 26:03.000]  The reason I mentioned that is here's another one.
[26:03.000 --> 26:05.000]  But this is on diseases.
[26:05.000 --> 26:10.000]  Now, folks, they have drug resistant and drug immune TB in Latin America
[26:10.000 --> 26:13.000]  and in Pakistan in places.
[26:13.000 --> 26:17.000]  They've got it in Brazil, Nicaragua, El Salvador, places in India
[26:17.000 --> 26:22.000]  that no drug will treat and that you get locked up for years until they quote
[26:22.000 --> 26:27.000]  find some drug and the drugs are so toxic, they'll eat your liver half the time.
[26:27.000 --> 26:31.000]  I mean, they got antibiotics out now. They're so deadly, it's just over the top.
[26:31.000 --> 26:35.000]  It's almost like chemotherapy. Yeah, it'll kill the TB. It'll also kill you.
[26:35.000 --> 26:41.000]  So memo, CDC officials warned of safety risk diseases among immigrant influx.
[26:41.000 --> 26:49.000]  Now, listen, this is from the CDC internal high level email that judicial watch
[26:49.000 --> 26:53.000]  superstars with their lawsuits got via a four year lawsuit.
[26:53.000 --> 27:03.000]  We might as well plan on many of the kids having TB reads a redacted 2014 CDC email.
[27:03.000 --> 27:12.000]  Imagine what they redacted if this was in there. An internal memo circulated within the Centers for Disease Control and Prevention in 2014
[27:12.000 --> 27:17.000]  shows the agency was well aware of many illegal alien minors and young adults entering the U.S.
[27:17.000 --> 27:22.000]  Harvard communicable diseases. Yeah, you go to jail, they test you for TB.
[27:22.000 --> 27:28.000]  They do the antibody test and then they isolate you if you have it, but not your public school
[27:28.000 --> 27:32.000]  because that'd be politically incorrect.
[27:32.000 --> 27:40.000]  And of course, you could type in tuberculosis explodes in U.S. schoolchildren CDC and pull those articles up.
[27:40.000 --> 27:45.000]  In a memo obtained by the government watchdog judicial watch following a lawsuit against the Department of Homeland Security
[27:45.000 --> 27:50.000]  of Refugee Information Act request a high level government official urged employees to assume a large number of detained,
[27:50.000 --> 27:54.000]  undocumented children at the Southwest border had tuberculosis.
[27:54.000 --> 27:59.000]  We might as well plan on many of the kids having TB reads a redacted 2016 email from Centers for Disease Control,
[27:59.000 --> 28:11.000]  Environmental Health Specialists Alaric C. Denton to Indiana Health Services Industrial Hygiene and Safety Management Board.
[28:11.000 --> 28:18.000]  Denton's email also spoke to the overwhelming, the close quote, scope of health efforts as well as he warned employees to be wary
[28:18.000 --> 28:25.000]  of personal safety as many UACs, that's the undocumented, were not children but young adults.
[28:25.000 --> 28:29.000]  And then it goes on to protect yourselves, you know, wear a mask, whatever.
[28:29.000 --> 28:33.000]  But don't tell the schools that you integrate them into.
[28:33.000 --> 28:41.000]  Like Anderson High, Maya Alma Mater, 231 Syrian refugees, children.
[28:41.000 --> 28:48.000]  Of them were told it's only a few thousand nationwide bullets thousands in Oslo and I checked they don't even test them, nothing.
[28:48.000 --> 28:53.000]  They just bring them in, they don't even know what planet they're on, just hacking and coughing all over the place.
[28:53.000 --> 28:58.000]  But it's okay, okay, because we're politically correct now, we're putting in bathrooms.
[28:58.000 --> 29:05.000]  A recent story by the Financial Times confirms that Daesh, also known as the Islamic State, was created in part by the Saudis.
[29:05.000 --> 29:11.000]  According to the late Saudi Foreign Minister, Islamic State was cobbled together in response to the Shia government in Iraq
[29:11.000 --> 29:15.000]  following the U.S. invasion of the country and the execution of Saddam Hussein.
[29:15.000 --> 29:24.000]  The story ignores the fact the Saudis collaborated with the CIA and Pakistani intelligence to create the Afghan Arabs, which will become al-Qaeda.
[29:24.000 --> 29:31.000]  Other factions of the CIA organized and Saudi-funded Mujahideen coalesced into another fanatical Wahhabi group, the Taliban.
[29:31.000 --> 29:37.000]  In 2006, al-Qaeda in Iraq merged with several other Sunni Wahhabi groups to form the Islamic State of Iraq.
[29:37.000 --> 29:41.000]  When the group moved into Syria in 2013, it became ISIS.
