[00:00:05.875 --> 00:00:10.418]  July 4th!
[00:03:41.542 --> 00:03:44.323]  And, uh, you know, said he really appreciates what I say and what I do.
[00:03:44.323 --> 00:03:48.805]  And then I ran into two cops that were listeners and I got mobbed.
[00:03:49.864 --> 00:03:53.327]  I mean, I've never been mobbed like this in Austin.
[00:03:53.327 --> 00:03:55.568]  That's the closest other place.
[00:03:55.568 --> 00:03:58.070]  In the middle of the Caribbean?
[00:03:58.070 --> 00:04:00.792]  South of Cuba?
[00:04:00.792 --> 00:04:03.735]  Again, I'm not saying I'm a big shot.
[00:04:03.735 --> 00:04:12.601]  What I'm saying is, freedom is incredibly popular, so on July 4th, 2014, I want to give you the good message.
[00:04:12.601 --> 00:04:17.585]  Yesterday, we had Professor Daryl Hamamoto on.
[00:04:17.585 --> 00:04:18.366]  Incredible!
[00:04:19.628 --> 00:04:21.550]  He contacted us and said, I've heard that name before.
[00:04:21.550 --> 00:04:22.651]  I've seen him all over TV.
[00:04:22.651 --> 00:04:29.416]  He's a sociologist, I guess you'd call it anthropologist, political scientist.
[00:04:29.416 --> 00:04:33.999]  And he's just basically Rockefeller Foundation originally awarded.
[00:04:33.999 --> 00:04:40.444]  And he's an insider blowing the whistle and just conferring and augmenting with data everything we already know.
[00:04:40.444 --> 00:04:43.747]  And he said a bunch of the other professors know the truth and are about to go public.
[00:04:43.747 --> 00:04:46.209]  They're threatening his job right now, but he doesn't care.
[00:04:46.209 --> 00:04:47.290]  He was happy!
[00:04:47.290 --> 00:04:48.611]  Because that's the spirit of liberty.
[00:04:50.205 --> 00:04:52.629]  That's the spirit that can't be stopped.
[00:04:52.629 --> 00:04:55.132]  That's the spirit that gets me fired up.
[00:04:55.132 --> 00:04:57.396]  Because nothing makes me more angry than a bunch of bullies.
[00:04:59.508 --> 00:05:05.632]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forward situation?
[00:05:05.632 --> 00:05:08.914]  The police are shoving people, shoving Alex, shoving the crowd.
[00:05:08.914 --> 00:05:10.695]  Here we go folks, I'm Major Sargent.
[00:05:10.695 --> 00:05:17.079]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:05:17.079 --> 00:05:22.963]  Is this another false flag stage attack to take our civil liberties and put more homeless security by sticking their hands down on the streets?
[00:05:23.123 --> 00:05:27.086]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:05:27.086 --> 00:05:30.148]  And that's what PrisonPlanet.TV is designed to do.
[00:05:30.148 --> 00:05:38.434]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:05:38.434 --> 00:05:40.516]  What we see now is a war against reality.
[00:05:40.516 --> 00:05:41.577]  It's a war against the truth.
[00:05:41.937 --> 00:05:50.880]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:05:50.880 --> 00:05:53.541]  Visit InfoWarsNews.com today.
[00:05:53.541 --> 00:05:57.843]  Become a member, share your membership, and help take the info war to the next level.
[00:05:59.940 --> 00:06:02.262]  Hi, I'm Dr. Edward Group.
[00:06:02.262 --> 00:06:09.686]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:06:09.686 --> 00:06:20.494]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:06:20.494 --> 00:06:29.760]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:06:30.480 --> 00:06:34.543]  It's the strongest nascent iodine on the market today.
[00:06:34.543 --> 00:06:38.286]  It delivers 650 micrograms per drop.
[00:06:38.286 --> 00:06:40.348]  Experience the new formula.
[00:06:40.348 --> 00:06:42.930]  Experience the ancient purity.
[00:06:42.930 --> 00:06:44.271]  Shield your family.
[00:06:44.271 --> 00:06:46.092]  Survival Shield X2.
[00:06:46.092 --> 00:06:49.254]  Available now at Infowarslife.com.
[00:06:49.254 --> 00:06:53.217]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:06:58.470 --> 00:07:01.253]  Alex Jones here for InfoWars.com.
[00:07:01.253 --> 00:07:05.939]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:07:05.939 --> 00:07:08.061]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:07:08.061 --> 00:07:09.303]  We have the new belt buckles that
[00:07:14.949 --> 00:07:15.209]  I think?
[00:07:33.618 --> 00:07:41.182]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[00:07:41.182 --> 00:07:45.064]  That's more than five months free off the regular price.
[00:07:45.064 --> 00:07:51.687]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:07:51.687 --> 00:07:56.750]  Molon Labe, you can take my gun from my cold, dead hands.
[00:08:10.256 --> 00:08:16.342]  You let one ant stand up to us, then they all might stand up.
[00:08:16.342 --> 00:08:21.328]  Those puny little ants outnumber us a hundred to one.
[00:08:21.328 --> 00:08:26.193]  And if they ever figure that out, there goes our way of life.
[00:08:26.193 --> 00:08:28.175]  It's not about food.
[00:08:28.175 --> 00:08:30.778]  It's about keeping those ants in line.
[00:08:37.432 --> 00:08:39.554]  The Alex Jones Show.
[00:08:39.554 --> 00:08:44.319]  Because there is a war on for your mind.
[00:08:44.319 --> 00:08:47.743]  And we are waging war on corruption.
[00:08:47.743 --> 00:08:56.192]  We are crashing through the lies and disinformation on this July 4th, 2014, worldwide transmission.
[00:08:56.192 --> 00:08:57.553]  Calls are coming up at the bottom of the hour.
[00:08:58.541 --> 00:09:02.542]  We're going to go into the archive in the second and third hour and have David Icke retransmitted.
[00:09:02.542 --> 00:09:05.302]  A few weeks ago he was on, I think it was the best interview ever.
[00:09:05.302 --> 00:09:09.023]  I keep saying each new interview is the best ever, but they just get better and better.
[00:09:09.023 --> 00:09:14.384]  So, that's coming up, and I'll be back this Sunday, 4 to 6 p.m.
[00:09:14.384 --> 00:09:18.405]  You know, I want to read a little bit from the Declaration of Independence, and I forgot to get it out of the printer out there.
[00:09:18.405 --> 00:09:20.486]  They'll bring it to me in a few minutes.
[00:09:20.486 --> 00:09:21.946]  But, there's a part in there
[00:09:23.732 --> 00:09:32.776]  We tend to forget the Declaration of Independence exists, but it's as important or more important than the Bill of Rights, and way more important than the Constitution.
[00:09:32.776 --> 00:09:47.544]  I mean, we think of the Constitution as all those documents, but the Constitution isn't as good as the Declaration of Independence or the Bill of Rights, because it had all the states involved, the former colonies, in 1798, and there was some lawyer stuff snuck into there.
[00:09:47.544 --> 00:09:49.925]  It's still diametrically opposed to tyranny.
[00:09:49.925 --> 00:09:51.426]  The globalists hate it and demonize it 24-7.
[00:09:53.914 --> 00:10:01.536]  It's just not a fount of goodness like the Bill of Rights or the Declaration of Independence.
[00:10:01.536 --> 00:10:03.576]  And here it is.
[00:10:03.576 --> 00:10:14.599]  Down in the second paragraph it says, Prudence indeed will dictate that governments long established should not be changed for lighter transient causes.
[00:10:14.599 --> 00:10:16.140]  And then they go on.
[00:10:16.140 --> 00:10:21.141]  And that's if you really studied history, most revolutions turn into something worse.
[00:10:22.967 --> 00:10:25.468]  Hell, they have, you know, revolutions all the time in African countries.
[00:10:25.468 --> 00:10:26.728]  It generally gets worse.
[00:10:26.728 --> 00:10:28.088]  There's no stability.
[00:10:28.088 --> 00:10:29.948]  They have them in, you know, Latin America all the time.
[00:10:29.948 --> 00:10:31.989]  It just gets worse.
[00:10:31.989 --> 00:10:35.930]  They've had them in Europe and things just got worse.
[00:10:35.930 --> 00:10:46.012]  One reason Europe had the Renaissance, and I'm not calling for culling of the population, but the elites mainly live in the cities, about half the population, it's estimated, on the high end, a third on the low end,
[00:10:46.994 --> 00:11:04.640]  died in the great plague, or waves of the black death, bubonic plague, and it wiped out so many of the elites that they couldn't spend all their time for about a hundred years persecuting everyone out in the countryside and making sure no one sold goods that weren't stamped by the king.
[00:11:04.640 --> 00:11:06.581]  The monopoly, the crony capitalists.
[00:11:06.581 --> 00:11:16.244]  The crony capitalists were busy getting bled and taking all their quack cures while the people on the countryside, practicing what they call witchcraft, it really wasn't, herbs, lived.
[00:11:17.435 --> 00:11:24.559]  You know, ring around the rosie, pocket full of posies, ashes to ashes, we all fall down.
[00:11:24.559 --> 00:11:26.400]  Is that how it goes?
[00:11:26.400 --> 00:11:27.161]  That's correct.
[00:11:27.161 --> 00:11:28.181]  That's how the song goes.
[00:11:28.181 --> 00:11:31.863]  That's the song about, you get the red marks, you die.
[00:11:31.863 --> 00:11:39.088]  Ring around the rosie, pocket full of posies, ashes to ashes, we all fall down.
[00:11:39.088 --> 00:11:43.270]  It wasn't that Europe had ever really been any better than anybody else.
[00:11:43.270 --> 00:11:46.452]  It's that they had some of the Roman technologies still in the
[00:11:48.564 --> 00:11:49.084]  We're good to go.
[00:12:13.237 --> 00:12:16.721]  And you had a revolution of the people, kind of like a new frontier.
[00:12:16.721 --> 00:12:36.800]  Like the American frontier experience, Manifest Destiny, had all its own problems, but for all of its issues, there were a few cases of groups being able to have freedom away from government and have a wildcat economy, so it created the most inventions, the most science, the most freedom, in comparison to the other tyrannies.
[00:12:37.657 --> 00:12:40.859]  But I'm kind of gone off the deep end ranting about that.
[00:12:40.859 --> 00:12:46.122]  The point is America has been exceptional in much of its history.
[00:12:46.122 --> 00:12:48.283]  Exceptionally bad and exceptionally good.
[00:12:48.283 --> 00:12:51.765]  And it wasn't Americans that said that, it was other people around the world.
[00:12:51.765 --> 00:12:55.047]  And they wanted to get here because it was so much better.
[00:12:55.047 --> 00:13:05.613]  Now we're going the way of stagnation, of gang-run government, of oligarchy, of kleptocracy, of truly totalitarianism or total tyranny.
[00:13:07.614 --> 00:13:16.356]  And so there's a real hunger for freedom again, but there's an establishment understanding that there is that hunger, so they're trying to suppress it.
[00:13:16.356 --> 00:13:20.737]  But everything you try to suppress ends up just exploding.
[00:13:20.737 --> 00:13:24.498]  You try to bury the truth, it explodes that much stronger.
[00:13:24.498 --> 00:13:33.540]  To use a cheesy line from episode four of Star Wars, the tighter you squeeze, Governor Tark, the more star systems will slip through your fingers.
[00:13:33.540 --> 00:13:34.560]  These are cliches
[00:13:36.035 --> 00:13:36.936]  But they're true.
[00:13:36.936 --> 00:13:46.903]  And so governments shouldn't be changed for light or transient reasons, transient causes, to quote the text correctly.
[00:13:46.903 --> 00:14:00.433]  But when you've got a eugenicist-based, New World Order, globalist-based, truly anti-human, psychopathic system, playing everyone off against each other, trying to dumb the population down, it isn't a right.
[00:14:00.433 --> 00:14:01.494]  It isn't a duty.
[00:14:01.494 --> 00:14:04.356]  It is an absolute survival imperative.
[00:14:05.523 --> 00:14:08.447]  That you resist it.
[00:14:08.447 --> 00:14:14.656]  And you resist it peacefully, because the pen is mightier than the sword, as long as you can.
[00:14:14.656 --> 00:14:18.161]  But there may come a time, as Winston Churchill said, where you have no other choice.
[00:14:19.178 --> 00:14:21.620]  But to physically resist it.
[00:14:21.620 --> 00:14:27.544]  And that is why the American people instinctively are buying guns and food and preparing, not because they want to fight.
[00:14:27.544 --> 00:14:31.167]  They're saying, just leave us alone, you know, to quote Howard Beale in our living rooms.
[00:14:31.167 --> 00:14:35.210]  Let me have my toaster and my steel-belted radios and, you know, we'll leave you alone.
[00:14:35.210 --> 00:14:38.953]  Well, I'm not going to leave you alone!
[00:14:38.953 --> 00:14:41.295]  We've got to get out of our trance.
[00:14:41.295 --> 00:14:44.337]  I don't have all the answers, but we've got to get out of our comfort zone.
[00:14:44.337 --> 00:14:45.578]  We've got to get mad.
[00:14:45.578 --> 00:14:47.280]  We've got to say, I'm a human being!
[00:14:47.280 --> 00:14:48.541]  My life has value!
[00:14:49.727 --> 00:14:51.909]  That's what it comes down to.
[00:14:51.909 --> 00:15:05.444]  In the USA, ladies and gentlemen, look at these headlines from Austin to Albuquerque, New Mexico to California to peaceful students sitting out at UC Davis being sprayed with pepper spray.
[00:15:05.444 --> 00:15:06.905]  For no reason.
[00:15:06.905 --> 00:15:10.009]  You try to chalk the sidewalk in front of your own house, you get arrested in Austin.
[00:15:10.871 --> 00:15:12.471]  It's totally protected speech.
[00:15:12.471 --> 00:15:13.732]  It's a public commons.
[00:15:13.732 --> 00:15:16.072]  People have always drawn on the walls and the ground.
[00:15:16.072 --> 00:15:17.533]  Rome tried to ban it and they could.
[00:15:17.533 --> 00:15:19.893]  They don't want the little people having speech.
[00:15:19.893 --> 00:15:21.534]  They don't want you being free on the internet.
[00:15:21.534 --> 00:15:22.774]  They don't want talk radio.
[00:15:22.774 --> 00:15:27.835]  They don't want InfoWars.com or DrudgeReport.com or anything else they don't control.
[00:15:27.835 --> 00:15:28.755]  Look at these headlines.
[00:15:28.755 --> 00:15:32.876]  Santa arrested in Austin for drawing on sidewalk with chalk.
[00:15:32.876 --> 00:15:34.417]  Huffington Post.
[00:15:34.417 --> 00:15:35.297]  Review Journal.
[00:15:35.297 --> 00:15:36.197]  Sidewalk chalk.
[00:15:36.197 --> 00:15:37.657]  This is Las Vegas.
[00:15:37.657 --> 00:15:39.898]  Could land four protesters in jail for a year.
[00:15:41.064 --> 00:15:42.165]  A year!
[00:15:42.165 --> 00:15:46.288]  You know, people ask what I'm going to do today as I take this Thursday.
[00:15:46.288 --> 00:15:55.616]  I'm going out with a video camera tomorrow morning with my slave phone, my iPhone, and I'm going to chalk.
[00:15:55.616 --> 00:15:57.397]  And if I get arrested, I do.
[00:15:57.397 --> 00:15:59.118]  And if I'm a bad guy because of that, so be it.
[00:15:59.118 --> 00:16:00.680]  That's what I'm doing July 4th.
[00:16:00.680 --> 00:16:09.507]  Everybody listening to my voice should go to the store, whatever you got to do, and chalk that we have a First Amendment, we have freedom, and we have a Second Amendment, and we're not backing down.
[00:16:13.263 --> 00:16:15.643]  Jail for using chalk on sidewalks.
[00:16:15.643 --> 00:16:18.804]  City needs to erase this error.
[00:16:18.804 --> 00:16:21.164]  That's out of Orlando.
[00:16:21.164 --> 00:16:21.885]  That's Florida.
[00:16:21.885 --> 00:16:22.885]  Sidewalk chalk.
[00:16:22.885 --> 00:16:27.485]  Artists acquitted after facing 13 years in jail over vandalism.
[00:16:27.485 --> 00:16:28.506]  International Business Times.
[00:16:28.506 --> 00:16:30.326]  See, it's backfiring.
[00:16:30.326 --> 00:16:32.826]  Look at this from last July 4th.
[00:16:32.826 --> 00:16:34.347]  July 4th park rules.
[00:16:34.347 --> 00:16:36.367]  No generators, propane grills.
[00:16:36.367 --> 00:16:37.007]  Number one.
[00:16:37.007 --> 00:16:37.467]  Number two.
[00:16:37.467 --> 00:16:38.347]  No tents or shelters.
[00:16:38.347 --> 00:16:39.027]  Number three.
[00:16:39.027 --> 00:16:41.288]  Police will be conducting searches of bags and coolers.
[00:16:42.216 --> 00:16:45.459]  For reasons of public safety, yeah, we're going to take your freedom for your safety.
[00:16:45.459 --> 00:16:46.500]  That's the greatest danger.
[00:16:46.500 --> 00:16:49.102]  Number four, no alcoholic beverages at any time.
[00:16:49.102 --> 00:16:52.925]  No personal fireworks, including novelty fireworks and sparklers.
[00:16:52.925 --> 00:16:55.667]  No dogs or pets allowed all day.
[00:16:55.667 --> 00:17:00.991]  Skate park, baseball court, tennis court, and kids' cove will be closed at 7 p.m.
[00:17:00.991 --> 00:17:04.274]  Notice the entire park is under video surveillance.
[00:17:04.274 --> 00:17:08.658]  And you can argue it's for your safety, except that it and angels run in this system.
[00:17:08.658 --> 00:17:10.179]  Angels don't play this harp.
[00:17:10.179 --> 00:17:11.060]  It's the globalist.
[00:17:12.631 --> 00:17:16.874]  So that's just some of the news on that front.
[00:17:16.874 --> 00:17:18.615]  And then you've got what's happening now.
[00:17:18.615 --> 00:17:21.157]  California gun confiscation bill passes.
[00:17:21.157 --> 00:17:23.818]  Approves $24 million to expedite illegal gun seizure.
[00:17:23.818 --> 00:17:28.782]  Now they're saying if one person says they're scared of your guns, even if you did nothing wrong, they'll take your guns.
[00:17:28.782 --> 00:17:31.944]  NYPD cracks down on long guns that hold more than five rounds.
[00:17:31.944 --> 00:17:33.205]  Now they're trying to ban those.
[00:17:33.205 --> 00:17:38.728]  Obama administration proposes new executive gun background checks.
[00:17:38.728 --> 00:17:41.250]  With executive orders, just like open borders with executive orders.
[00:17:43.502 --> 00:17:46.343]  It goes on and on and on, what they're doing.
[00:17:46.343 --> 00:17:48.483]  And then I get into all the other stacks.
[00:17:48.483 --> 00:18:02.146]  The TSA upping security for the 4th of July to grope your genitals because terrorists might be everywhere when the government publicly funds ISIS and Al-Qaeda that's hurting the whole Middle East and much of Africa over to them.
[00:18:02.146 --> 00:18:04.947]  It's absolutely ridiculous.
[00:18:06.889 --> 00:18:09.011]  That this is happening, that this is unfolding.
[00:18:09.011 --> 00:18:11.252]  And again, I don't even blame the poor TSA people.
[00:18:11.252 --> 00:18:13.434]  They're there to just break our will.
[00:18:13.434 --> 00:18:15.115]  They're not sophisticated to know that.
[00:18:15.115 --> 00:18:17.077]  The general public isn't sophisticated enough.
[00:18:17.077 --> 00:18:21.760]  And I'm here to decompartmentalize people so they understand what's happening.
[00:18:21.760 --> 00:18:22.480]  Look at this headline.
[00:18:22.480 --> 00:18:26.563]  North Dakota man sentenced to jail in controversial drone arrest case.
[00:18:27.324 --> 00:18:29.105]  He's the first American to be sentenced to jail.
[00:18:29.105 --> 00:18:31.946]  Because cows kept coming on his property under the law there.
[00:18:31.946 --> 00:18:33.986]  The third time, you get to keep the cows.
[00:18:33.986 --> 00:18:34.586]  We own cows.
[00:18:34.586 --> 00:18:35.107]  We know the rules.
[00:18:35.107 --> 00:18:36.467]  We've had our cows taken.
[00:18:36.467 --> 00:18:37.988]  They kept getting to the fence.
[00:18:37.988 --> 00:18:40.508]  Third time, neighbor gets the cows.
[00:18:40.508 --> 00:18:44.090]  You go back to get the cows, they go, sorry, they keep coming over here and having sex with my prized cows.
[00:18:44.090 --> 00:18:45.330]  Your bull does.
[00:18:45.330 --> 00:18:47.471]  I'm keeping your bull and I'm selling him for hamburger meat.
[00:18:47.471 --> 00:18:52.832]  In fact, we even have like, hillbilly, what do you call it?
[00:18:52.832 --> 00:18:54.013]  The Hathcocks and the McCoys.
[00:18:55.148 --> 00:19:00.131]  I mean, we literally have like 30-year running deals with people that have taken some of our cows.
[00:19:00.131 --> 00:19:08.477]  But, you know, my grandpa didn't do anything, because his bull was over there, you know, getting a little strange, as they say.
[00:19:08.477 --> 00:19:12.039]  I'm sorry, ladies and gentlemen.
[00:19:12.039 --> 00:19:18.223]  Now Homeland Security goes after you with a predator drone, and you go to jail.
[00:19:18.223 --> 00:19:18.984]  And they sent a SWAT team.
[00:19:20.540 --> 00:19:22.301]  I mean, look at what they're doing to your bank deposits.
[00:19:22.301 --> 00:19:24.602]  Tracking everything you do, making you pay for them.
[00:19:24.602 --> 00:19:27.423]  That's what the whole cashless society is about.
[00:19:27.423 --> 00:19:29.984]  The NSA admittedly spying on everything you do.
[00:19:29.984 --> 00:19:32.565]  Microphones going up from Chicago to Austin, Texas.
[00:19:32.565 --> 00:19:39.308]  We're going to come back with Obama's abuses of power, the police armored vehicles they're buying, Big Brother and NSA surveillance.
[00:19:42.637 --> 00:19:46.120]  We're also going to look at some of the positive things that's happened in the U.S.
[00:19:46.120 --> 00:19:51.684]  But we've gone from number one in every category to near the end of the pack or dead last almost every other.
[00:19:51.684 --> 00:19:57.048]  Under big government, under socialism, under crony capitalism, under insider deals.
[00:19:57.048 --> 00:19:59.370]  It's time to change course back towards America.
[00:19:59.850 --> 00:20:01.230]  You know about RVs.
[00:20:01.230 --> 00:20:02.711]  You've heard about bunkers.
[00:20:02.711 --> 00:20:05.451]  But surviving is not recreation.
[00:20:05.451 --> 00:20:08.211]  And man wasn't made to live underground.
[00:20:08.211 --> 00:20:10.372]  Introducing Survivalist Camps.
[00:20:10.372 --> 00:20:19.073]  The ultimate fully functional off-the-grid survival bug-out house that's mobile, well-equipped, and custom-built to outlast any other RV or trailer.
[00:20:19.073 --> 00:20:22.074]  Go to survivalistcamps.com to learn more.
[00:20:22.074 --> 00:20:24.414]  That's survivalistcamps.com.
[00:20:24.414 --> 00:20:26.995]  Providing your basic needs to survive.
[00:20:26.995 --> 00:20:28.315]  survivalistcamps.com
[00:20:30.066 --> 00:20:30.887]  This is Dan Pilla.
[00:20:30.887 --> 00:20:32.668]  Do you owe the IRS money you can't pay?
[00:20:32.668 --> 00:20:34.309]  Are tax debts crippling you?
[00:20:34.309 --> 00:20:37.151]  I've defended people from the IRS for over 30 years.
[00:20:37.151 --> 00:20:39.433]  I've helped thousands and I can help you too.
[00:20:39.433 --> 00:20:43.936]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:20:43.936 --> 00:20:47.899]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:20:47.899 --> 00:20:51.662]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:20:51.662 --> 00:20:52.102]  Call 800-34-NO-TAX.
[00:20:52.102 --> 00:20:53.723]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:20:59.372 --> 00:21:02.156]  Alex Jones here for InfoWars.com.
[00:21:02.156 --> 00:21:06.862]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:21:06.862 --> 00:21:08.845]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:21:14.292 --> 00:21:18.995]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[00:21:18.995 --> 00:21:20.656]  There's only 500 of each.
[00:21:20.656 --> 00:21:24.839]  We're talking about made in America belt buckles and nickel brass.
[00:21:24.839 --> 00:21:27.080]  This is more than a summer blowout special.
[00:21:27.080 --> 00:21:29.982]  This is a new declaration of independence.
[00:21:30.202 --> 00:21:36.287]  But to expand the Info Orb, we're offering the equivalent of more than five months free.
[00:21:36.287 --> 00:21:41.892]  Right now, when you get a membership at PrisonPlanet.tv, for a limited time, only $39.95 a year.
[00:21:41.892 --> 00:21:45.755]  That's more than five months free off the regular price.
[00:21:45.755 --> 00:21:52.361]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:21:52.361 --> 00:21:57.405]  Molon Labe, you can take my gun from my cold, dead hands.
[00:21:58.894 --> 00:22:02.355]  A 30-day GMO-free emergency food supply for only $99?
[00:22:02.355 --> 00:22:11.777]  At 30dayfoodsupply.com, you can purchase Oregon Trail Foods' one-month supply of high-quality, nutritious, and healthy emergency meals.
[00:22:11.777 --> 00:22:20.320]  For less than $100, these vegetarian meals are naturally high in fiber, carbs, and protein, and they're packed with oxygen absorbers in Mylar pouches.
[00:22:20.320 --> 00:22:21.160]  They're completely free.
[00:22:21.320 --> 00:22:23.102]  of any artificial flavors and colorings.
[00:22:23.102 --> 00:22:27.646]  Have a 20-year shelf life and take up to 70% less space than number 10 cans.
[00:22:27.646 --> 00:22:29.848]  They even offer a gluten-free option.
[00:22:29.848 --> 00:22:32.810]  Oregon Trail Foods and 30dayfoodsupply.com.
[00:22:32.810 --> 00:22:37.654]  Keep prices low by buying directly from the producers in Oregon and then passing the savings to you.
[00:22:37.654 --> 00:22:45.521]  Purchase a 30-day, 90-serving emergency food supply for only $99 this month and $10 ships your entire order.
[00:22:45.521 --> 00:22:46.382]  Visit the website
[00:22:46.722 --> 00:22:50.163]  Hey folks, this is Larry Crist for BabyBoomerBackupPlan.com.
[00:22:50.163 --> 00:22:53.183]  I don't have to tell you, this economy sucks!
