[00:00.000 --> 00:26.000]  Infowars, the most banned network in the world.
[10:50.000 --> 10:59.000]  And it doesn't act like a regular virus, it doesn't mutate, it just keeps replicating the poison and they released a bunch of other viruses as well.
[10:59.000 --> 11:03.000]  So we have that backdrop. Now let's move into what's currently happening.
[11:03.000 --> 11:10.000]  The UN starts their meetings on the 23rd of the 28th in Switzerland in Geneva.
[11:10.000 --> 11:17.000]  They signed a deal two weeks ago that the World Economic Forum will direct them, so private corporations are now in direct control of the UN.
[11:17.000 --> 11:24.000]  They say the treaty is secret, but Tedros and Gates, we played the clips all over the news, have said yes,
[11:24.000 --> 11:34.000]  Biden has gone in and gotten a copy of the treaty and has demanded that the UN be given power over nation states to sanction, even with military operations,
[11:34.000 --> 11:37.000]  anyone that doesn't follow the UN's orders.
[11:37.000 --> 11:47.000]  So this is a world government treaty putting the UN in control of the major western militaries to enforce the new lockdown that will make the last one look like,
[11:47.000 --> 11:54.000]  walk in the park even compared to what you saw in places like Australia and New Zealand and Canada.
[11:54.000 --> 11:58.000]  So you have that going on and what is their pretext going to be?
[11:58.000 --> 12:01.000]  And that's the new big story.
[12:01.000 --> 12:08.000]  And this has been going on for a few weeks and back last year and earlier this year, I said it over and over again,
[12:08.000 --> 12:15.000]  I said these criminals always telegraph what they're going to do to hide it in plain view and to be confident to their criminal armies
[12:15.000 --> 12:18.000]  who are involved in this that they're going to get away with it.
[12:18.000 --> 12:21.000]  This is what psychos do. They love to brag.
[12:21.000 --> 12:25.000]  So that's basic criminology.
[12:25.000 --> 12:32.000]  That's why in all the supervillain cartoons and Marvel cartoons and James Bond movies, the villain always monologues.
[12:32.000 --> 12:34.000]  And you think, why do they monologue?
[12:34.000 --> 12:36.000]  Well, because that's actually what villains do.
[12:36.000 --> 12:41.000]  When Lex Luthor has got Superman tied up with Kryptonite, he walks around and brags about it.
[12:41.000 --> 12:49.000]  They put that in fiction because that's how real criminology works.
[12:49.000 --> 12:54.000]  That's why Dr. Evil looks like Dr. Evil.
[12:54.000 --> 12:57.000]  That's why Dr. Evil looks like Klaus Schwab.
[12:57.000 --> 12:59.000]  That's what they look like.
[12:59.000 --> 13:01.000]  That's how they talk.
[13:01.000 --> 13:03.000]  That's who they are.
[13:03.000 --> 13:11.000]  Literal James Bond archetype specter supervillain.
[13:11.000 --> 13:13.000]  So let me make the announcement and it's already all over the place.
[13:13.000 --> 13:15.000]  Everybody's already figured it out.
[13:15.000 --> 13:20.000]  I wasn't ready to hit it yesterday because I wanted to spend hours last night and hours today going over it.
[13:20.000 --> 13:22.000]  And I've overdone it as usual.
[13:22.000 --> 13:25.000]  I've got hundreds of documents, studies, all the damn proof here.
[13:25.000 --> 13:30.000]  And when I'm sitting here reading this in private, I mean, I'm not even angry at these people anymore.
[13:30.000 --> 13:37.000]  My cells, my guts, my brain, my soul is, you're going to stop these people, Jones, or you're to blame.
[13:37.000 --> 13:46.000]  I'm pissed at myself when I'm reading this because I've got clips of Gates bragging last year that they'll soon be smallpox and monkeypox
[13:46.000 --> 13:49.000]  and giggling and laughing and say, the next pandemic will be far worse.
[13:49.000 --> 13:54.000]  Then they put in all the orders for the new monkeypox vaccine.
[13:54.000 --> 14:02.000]  Biden just bought tens of millions of doses yesterday and then magically right on time, right as the vaccines delivered,
[14:02.000 --> 14:10.000]  monkeypox pops up in more than 20 countries all over Europe, all over the U.S., all over everywhere,
[14:10.000 --> 14:17.000]  where you have people taking AstraZeneca, AstraZeneca, and J&J.
[14:17.000 --> 14:24.000]  Ladies and gentlemen, because what is AstraZeneca and J&J?
[14:24.000 --> 14:31.000]  They're virus vectors that inject the genome of a chimpanzee into your cells
[14:31.000 --> 14:38.000]  and then orders your cells to replicate under those orders using a virus to deliver the package.
[14:38.000 --> 14:42.000]  So ladies and gentlemen, did you hear what I just said?
[14:42.000 --> 14:48.000]  And we saw this last year, I said Gates is preparing to release smallpox and or monkeypox.
[14:48.000 --> 14:57.000]  Then the FBI in some storage facility at a lab that was shut down finds smallpox in a refrigerator.
[14:57.000 --> 14:58.000]  They're just putting that out there.
[14:58.000 --> 15:06.000]  Then a truck crashes in Pennsylvania with a bunch of monkeys that have monkeypox and then the woman gets it, but it all gets shut down.
[15:06.000 --> 15:07.000]  Do you believe any of this?
[15:07.000 --> 15:09.000]  Oh, a truck dumped over.
[15:09.000 --> 15:14.000]  Yeah, that's where, so they're laying the groundwork. Gates says smallpox, monkeypox is coming.
[15:14.000 --> 15:16.000]  They start making the vaccine.
[15:16.000 --> 15:18.000]  He says terrorists are going to release it.
[15:18.000 --> 15:22.000]  He's right. He's the terrorist leader, James Bond villain.
[15:22.000 --> 15:32.000]  And then all hell breaks loose right as the UN Global Treaty is about to be signed on to by the countries that puts us under UN control.
[15:32.000 --> 15:34.000]  I mean, it's all premeditated.
[15:34.000 --> 15:35.000]  It's all pre-packaged.
[15:35.000 --> 15:40.000]  It's all in your face and it's all right here.
[15:40.000 --> 15:50.000]  Unbelievable because the virus they use to inject the chimpanzee ape DNA is what causes smallpox.
[15:50.000 --> 15:59.000]  They're injecting people with a damn smallpox knowing it would cause smallpox.
[15:59.000 --> 16:10.000]  Ladies and gentlemen, there are a lot of natural compounds out there that turbocharge and boost our stamina, our energy, our libido that are also amazing pre or post workouts.
[16:10.000 --> 16:15.000]  And we went out and looked at the top brands, the top reviews and came out with alpha power.
[16:15.000 --> 16:22.000]  Now it's so hard to source good, clean herbs like we have in this that it's been sold out for more than six months.
[16:22.000 --> 16:27.000]  But now alpha power is back in stock at infowarstore.com at 40% off.
[16:27.000 --> 16:33.000]  Go to infowarstore.com and read about these compounds and ingredients for yourself and then try it for yourself.
[16:33.000 --> 16:38.000]  Now the formula is made for men, but it does amazing things for women as well.
[16:38.000 --> 16:43.000]  Find out what just one of the ingredients does, LJ100 and then go on from there.
[16:43.000 --> 16:50.000]  Alpha power, exclusively available right now, 40% off at infowarstore.com and it funds the info war.
[16:50.000 --> 16:54.000]  You are really missing out if you don't experience what alpha power does.
[16:54.000 --> 16:59.000]  It has improved my life and so many others just incredible levels.
[16:59.000 --> 17:04.000]  I want to thank all of you over the years who have supported info wars financially with word of mouth and prayer.
[17:04.000 --> 17:12.000]  All the success that we've had together against the globalists and the fact that we're not caught flat footed during their major takeover is because of you.
[17:12.000 --> 17:15.000]  Humanity has a real fighting chance.
[17:15.000 --> 17:22.000]  I just want to thank you all for buying products and infowarstore.com like books and films and supplements and water filtration, air filtration so much more.
[17:22.000 --> 17:29.000]  But for those of you that want to actually give us a straight donation so we get almost 100% of the money to fund our operation during this critical time,
[17:29.000 --> 17:35.000]  go to infowarstore.com and right at the top you'll see a link to make a straight donation.
[17:35.000 --> 17:41.000]  A one-time donation of $5, $10, $50 or a recurring donation you can cancel anytime.
[17:41.000 --> 17:43.000]  I want to thank all of you that have donated.
[17:43.000 --> 17:49.000]  I want to encourage those of you out there that want to support freedom to take action now and be part of the global awakening,
[17:49.000 --> 17:56.000]  the new renaissance that's counter the great reset by going to infowarstore.com and clicking on the donate button and giving today.
[17:56.000 --> 17:59.000]  Thank you so much for your support. Please take action.
[17:59.000 --> 18:03.000]  Introducing the newest product from infowarslife.com.
[18:03.000 --> 18:07.000]  We are so proud of infowarslife immune support.
[18:07.000 --> 18:14.000]  It is concentrated herbs that are known on record to supercharge our body's natural defenses.
[18:14.000 --> 18:19.000]  Ladies and gentlemen, this is something that is essential and everyone should get.
[18:19.000 --> 18:23.000]  And on top of it, it funds the info war so that's a 360 win.
[18:23.000 --> 18:25.000]  Let me tell you what is in this amazing product.
[18:25.000 --> 18:34.000]  Concentrated elderberry, concentrated echinacea, concentrated astragalus root, angelica root, loatium root and more.
[18:34.000 --> 18:36.000]  This product is incredible.
[18:36.000 --> 18:44.000]  The info wars immune support exclusively available at infowarstore.com is funding the tip of the spear, the info wars operation.
[18:44.000 --> 18:52.000]  It is a 360 win. The only way you fail is by not taking action and getting this product to boost your body's natural defenses and keep info wars on the air.
[18:52.000 --> 18:57.000]  The globalists are hoping you don't take action. Take action now infowarstore.com.
[18:59.000 --> 19:01.000]  Mike in California, thanks for calling.
[19:01.000 --> 19:05.000]  I think we're barking up the wrong tree calling this gain of function research.
[19:05.000 --> 19:17.000]  If you read the actual 2014 legislation, the US government gain of function, deliberative process and research funding pause on selected gain of function research involving influenza, MERS and SARS viruses.
[19:17.000 --> 19:24.000]  There's nothing about SARS like viruses and if the research funding pause, it's not a stop, it's not a prohibition.
[19:24.000 --> 19:29.000]  It's when you come to a four-way intersection, there's the stops sign, you stop, you look both ways and then you proceed.
[19:29.000 --> 19:34.000]  And so it's also it doesn't pause all gain of function, just selected gain of function.
[19:34.000 --> 19:38.000]  But they'll argue that this is actually characterization and qualification research.
[19:38.000 --> 19:44.000]  So, you know, Rand and others, you know, maybe Fauci was right. They don't quite know what they're talking about calling it gain of function.
[19:44.000 --> 19:47.000]  You know, that's why he didn't perjure himself. That's why he hasn't been arrested.
[19:47.000 --> 19:51.000]  Because they're literally creating new synthetic life forms that mimic what the viruses do.
[19:51.000 --> 19:54.000]  But in the main definition, it's still a gain of function.
[19:54.000 --> 19:57.000]  You're making something deadly that spreads more easily to hurt people.
[19:57.000 --> 19:59.000]  Thank you, Mike. We love you.
[19:59.000 --> 20:08.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[20:08.000 --> 20:23.000]  Music
[20:23.000 --> 20:29.000]  Dr. Peter McCullough will be here at 1230 Central for an hour and a half with a special guest with him.
[20:29.000 --> 20:42.000]  The layout, huge breaking news and information about what's really going on with COVID-19 and the new UN global government planetary lockdown digital ID market to be system that is being launched.
[20:42.000 --> 20:52.000]  Now, next segment, I'm going to crawl through and just show you these studies and these mainline headlines and the documents of what I'm about to lay out right now.
[20:52.000 --> 20:55.000]  And I'll start getting to some of it in a moment.
[20:55.000 --> 21:00.000]  But if you just tuned in, you need to call your friends, your family, your neighbors, everybody you know.
[21:00.000 --> 21:06.000]  Because Gates has said in the next pandemic, which they've already launched, ahead of the midterms, it's building now.
[21:06.000 --> 21:13.000]  And just like you didn't hear much at first in China, then it got huge. It's already begun. It's monkeypox.
[21:13.000 --> 21:16.000]  And they told you it would be smallpox, monkeypox.
[21:16.000 --> 21:19.000]  They knew that their so-called vaccines would cause this.
[21:19.000 --> 21:30.000]  And they preordered the monkeypox vaccine. Biden just got delivery of a bunch of it yesterday. It is going down.
[21:30.000 --> 21:38.000]  Now, here's Bill Gates last year talking about terrorists that are going to release smallpox.
[21:38.000 --> 21:40.000]  And I'll show you the dates and the articles in a moment.
[21:40.000 --> 21:48.000]  And we'll go to another clip here of Gates in 2020 saying the next pandemic will get attention this time.
[21:48.000 --> 21:54.000]  And here he is, the guy involved in masterminding all of it and quarterbacking it.
[21:54.000 --> 22:01.000]  The man that says he wants to depopulate you and your family, who's sworn that his own life, going back to his grandfather in Planned Parenthood.
[22:01.000 --> 22:10.000]  Here he is, letting you know what's coming next.
[22:10.000 --> 22:23.000]  And so I'm hoping in five years I can write a book called We Are Ready for the Next Pandemic. But it'll take tens of billions in R&D that the U.S. and the U.K. will be part of that.
[22:23.000 --> 22:35.000]  It'll take probably about a billion a year for a pandemic task force at the WHO level, which is doing the surveillance and actually doing what I call germ games, where you practice.
[22:35.000 --> 22:45.000]  You say, okay, what if a bioterrorist brought smallpox to 10 airports? How would the world respond to that?
[22:45.000 --> 22:54.000]  There's nothing to really cause epidemics and bioterrorism to cause epidemics that could even be way worse than what we experienced today.
[22:54.000 --> 23:01.000]  And yet the advances in medical science should give us tools that we could do dramatically better.
[23:01.000 --> 23:14.000]  So you'd think this would be a priority. The next year will be where those allocations have to get made, including this global pandemic task force.
[23:14.000 --> 23:19.000]  Which is the UN Global Treaty that takes over all the nation's sovereignty on record. That's mainstream news.
[23:19.000 --> 23:23.000]  Biden had it officially changed, but they won't show you the full text.
[23:23.000 --> 23:32.000]  Wow, incredible. There he is, predicting last year exactly what's unfolding.
[23:32.000 --> 23:38.000]  Oh, and they put the order in for the monkeypox vaccine, and lo and behold, monkeypox is here.
[23:38.000 --> 23:44.000]  And he directed, with Peter Dadsik, to AstraZeneca and J&J, the type of vaccine they would design.
[23:44.000 --> 23:52.000]  They gave them the blueprint and said, make this, and then they made the mRNA for Pfizer and Moderna, and gave them the blueprint of what to make and what to do.
[23:52.000 --> 24:04.000]  And then magically, lo and behold, surprise, surprise, it's upon us right as they're bringing in the World Government Treaty and right ahead of the midterms.
[24:04.000 --> 24:13.000]  Here is Gates. Again, the year before that in 2020 threatens the next pandemic will get the attention this time.
[24:13.000 --> 24:19.000]  And he also said on other programs that terrorists would also release smallpox or monkeypox.
[24:19.000 --> 24:28.000]  That was a clip on NBC, the same clip where he admitted that 80% of those in their test of the vaccine had serious side effects with just the Pfizer and Moderna alone.
[24:28.000 --> 24:41.000]  He just knows everything before it happens, kind of like the CDC in October of 2020, before the vaccine was even being given out, the so-called vaccine, said they're going to be heart attacks, microcarditis, infertility, the whole damn list.
[24:41.000 --> 24:55.000]  And they put it on their website. Wow. Isn't that nice of them? Rubbing it in the whole time while blocking therapeutics and saying, oh, you don't need any, you know, antibiotics or steroids or you don't need anything.
[24:55.000 --> 25:03.000]  You can just go home and then you come back and they put you on a ventilator and you die. And some people say, why are you saying antibiotics?
[25:03.000 --> 25:10.000]  Well, because bacteria can carry the viruses. That's why you do that as well with a viral attack like this. But here is Bill Gates.
[25:10.000 --> 25:21.000]  We didn't actually do the simulation to think about, okay, what about nursing homes? What about getting factories ready? What about the testing regime?
[25:21.000 --> 25:34.000]  In fact, the testing could have been ramped up very quickly in a few countries that have almost avoided the epidemic entirely, like Taiwan, New Zealand, Australia.
[25:34.000 --> 25:45.000]  They took their experience and actually prepared, and so they moved a lot faster. So we will have to prepare for the next one.
[25:45.000 --> 25:51.000]  That, I'd say, will get attention this time.
[25:51.000 --> 26:04.000]  Oh, he's so happy. We talked about endless lockdowns at masturbation. He giggle and laugh on the shows as well while he hides it in plain view that he's your doctor and Ted Rose said yesterday, the head of the WHO.
[26:04.000 --> 26:13.000]  He does what Bill Gates says. He trusts Bill Gates. Aren't these some really nice, nice people?
[26:13.000 --> 26:33.000]  Well, the next one will really get your attention. And now, right on time, like a German train pulling into the station in countries all over the western world,
[26:33.000 --> 26:44.000]  the monkeypox has showed up in who the vaccinated who took the virus vector vaccine that isn't a vaccine either to gene therapy.
[26:44.000 --> 26:54.000]  But instead of programming the outside of the cell to program a nuclei, it fires a virus carrying a DNA payload of a chimpanzee.
[26:54.000 --> 27:07.000]  You can send one to your cell with a whole package of God knows what our good little friends did for us.
[27:07.000 --> 27:14.000]  And, oh, rare monkeypox outbreak. And people that hadn't been to Africa, people that hadn't been any other, and they hadn't been around.
[27:14.000 --> 27:20.000]  They just, but they all had the shot. And I have scientists and health heads even saying we think it's the shot.
[27:20.000 --> 27:24.000]  We have deputy heads of major countries health departments right here.
[27:24.000 --> 27:29.000]  Madrid's deputy minister of public health claims cases of hepatitis of young kids are related to COVID-19 vaccine.
[27:29.000 --> 27:41.000]  Funny, I've got the studies right here. Oh, isn't it nice? And, oh, it's also AstraZeneca and J&J, the ones linked to that.
[27:41.000 --> 27:53.000]  So they go after your liver and give you smallpox. And then the mRNA goes after your blood and your cardiac system, your respiratory system.
[27:53.000 --> 28:00.000]  There's studies right there. Multi-country acute surreptitus of unknown origin in children, but it turns out, I've got the studies right here.
[28:00.000 --> 28:05.000]  I'll show them to you when we come back. They took the AstraZeneca or the J&J.
[28:05.000 --> 28:14.000]  And I had Dr. Fleming on last week, or was it this week? It all runs together now. Was it last Friday?
[28:14.000 --> 28:20.000]  And he showed the studies about that. And I'm going to show them all to you when we come back.
[28:20.000 --> 28:25.000]  And you can write down the headline. You can look every damn one of them up yourself like I do.
[28:25.000 --> 28:30.000]  And then you can sit back and ask yourself, man, that Bill Gates is smart.
[28:30.000 --> 28:37.000]  He just knew monkeypox was coming. And it's just spreading all over the world to people that hadn't even been traveling.
[28:37.000 --> 28:44.000]  And they've all had the shot, but now they've got to have the treaty and take all your rights and make you take more shots.
[28:44.000 --> 28:48.000]  They do all sorts of good things for you down the road.
[28:48.000 --> 28:52.000]  But Bill Gates has always said he cares about humanity and wants to save people.
[28:52.000 --> 28:59.000]  Actually, he says he wants to kill everybody, but that's okay. Just trust him.
[28:59.000 --> 29:06.000]  Here at InfoWars, our slogan is tomorrow's news today, whether it's politics or health or spirituality.
[29:06.000 --> 29:13.000]  We're about bringing you the very best documented, accurate, real-world information.
[29:13.000 --> 29:21.000]  And when it comes to our supplements, they are so game-changing for your body, for your health, your immunity, your libido, your middle clarity.
[29:21.000 --> 29:27.000]  They're incredible. And out of all the products, X2 is definitely the most amazing.
[29:27.000 --> 29:31.000]  It is the purest, highest-quality, atomic iodine you're going to find.
[29:31.000 --> 29:39.000]  Most other iodine out there is bound to other minerals and compounds so you don't absorb it at all or fully.
[29:39.000 --> 29:44.000]  Ladies and gentlemen, we've got a limited supply, and it's been sold out for months because the supply chain right now is.
[29:44.000 --> 29:48.000]  But despite that, we're selling it at 25% off for one more week.
[29:48.000 --> 29:50.000]  Then it goes back to full price.
[29:50.000 --> 29:52.000]  Within two weeks, the current sales rate is going to sell out.
[29:52.000 --> 29:57.000]  Experience X2 for yourself today at InfoWarsTour.com. X2.
[29:57.000 --> 29:59.000]  At InfoWarsTour.com, take action now.
[29:59.000 --> 30:03.000]  We are now proud to release the Redux Line of Faraday Bags.
[30:03.000 --> 30:08.000]  This line features quick roll-down and Velcro seal closures with discrete branding.
[30:08.000 --> 30:15.000]  With six different sizes to choose from, they have a signature reduction solution for all of your electronic device needs.
[30:15.000 --> 30:23.000]  Redux specializes in quick-access weatherproof nylon Faraday bags with signal-blocking Faraday shielding technology.
[30:23.000 --> 30:31.000]  Specifically designed for electronic devices, carried in unsecured locations to instantly block all wireless signals
[30:31.000 --> 30:35.000]  and protect them from remote wiping, tracking, and tampering.
[30:35.000 --> 30:47.000]  Redux is dedicated to producing and selling cost-effective signature reduction products for professionals needing to secure devices from wireless threats and more.
[30:47.000 --> 30:59.000]  So check out Redux to instantly block cellular Wi-Fi, Bluetooth, RFID, camera, EMP, weather, and even GPS today.
[30:59.000 --> 31:08.000]  Ladies and gentlemen, we have contracted with one of the top companies in the United States that supplies the Pentagon, the military, the CIA, the FBI, you name it,
[31:08.000 --> 31:16.000]  with super high-quality Faraday cages for cell phones, laptops, iPads, even huge bags for multiple desktops.
[31:16.000 --> 31:19.000]  This is so critical, ladies and gentlemen.
[31:19.000 --> 31:24.000]  Going into the future with contact tracers and the New World Order, everything is about tracking you and your family.
[31:24.000 --> 31:34.000]  And we have this high-quality Made America product line exclusively available, private-labeled by us, known as Redux at infowarstore.com.
[31:34.000 --> 31:37.000]  So go to infowarstore.com and check out Redux.
[31:37.000 --> 31:39.000]  It's our first big run.
[31:39.000 --> 31:48.000]  We've made a major investment to have this produced and ready, and it's now exclusively available to you at a very low price at infowarstore.com.
