[00:00:08.820 --> 00:00:13.774]  Crashing through the lies and disinformation, it's Alex Jones.
[00:03:34.466 --> 00:03:36.227]  Here's what they don't want you to see.
[00:03:36.227 --> 00:03:38.228]  Now, what does that mean?
[00:03:38.228 --> 00:03:40.670]  If they're really afraid of the information we're covering,
[00:03:42.605 --> 00:03:46.869]  That obviously it's the most effective information because it's true.
[00:03:46.869 --> 00:03:49.251]  And so they're trying to suppress it, our enemies.
[00:03:49.251 --> 00:03:49.892]  What do we want to do?
[00:03:49.892 --> 00:03:50.833]  We want to promote it.
[00:03:50.833 --> 00:03:53.075]  I know everybody gets that.
[00:03:53.075 --> 00:04:00.802]  But they are moving to just like I'm a Jew in Nazi Germany in a ghetto that can't buy or sell.
[00:04:00.802 --> 00:04:06.147]  They are moving and as I told everybody hundreds and hundreds of times the last six weeks since I got deplatformed everywhere.
[00:04:07.429 --> 00:04:13.132]  Next up is your veterans group, or your church, or your conservative group, or your Christian group.
[00:04:13.132 --> 00:04:19.475]  Facebook has banned thousands and thousands and thousands, so has Twitter, of conservative and libertarian and Christian groups the last few months.
[00:04:19.475 --> 00:04:25.639]  But now it's thousands a day, since Thursday, purging basically everyone.
[00:04:25.639 --> 00:04:32.542]  So they try to get everybody to be conditioned and follow along with their globalism, or they'd be shut down.
[00:04:32.542 --> 00:04:33.003]  But now,
[00:04:34.301 --> 00:04:37.604]  They're just going ahead and deleting everybody.
[00:04:37.604 --> 00:04:43.188]  Before, they would try to just condition you and bully you into submitting, or they'd take you down.
[00:04:43.188 --> 00:04:48.492]  Now, they're just taking everybody down, period, with 23 days out from this historic election.
[00:04:48.492 --> 00:04:50.514]  Because they're losing the debate.
[00:04:50.514 --> 00:04:58.881]  They're losing the debate, and the last refuge of cowardly tyrants is censorship and oppression, and they've now been forced into that, and now they're in big trouble.
[00:05:00.441 --> 00:05:05.705]  Words cannot describe how big the stakes are for the future of humanity right now.
[00:05:05.705 --> 00:05:14.392]  InfoWars is being openly targeted by the Democratic Party, leftist CIA operatives, the corrupt Justice Department, and the entire Soros crime syndicate.
[00:05:14.392 --> 00:05:16.354]  People say, why would you start a fight with them?
[00:05:16.354 --> 00:05:19.836]  Because they were already dominating and running America into the ground.
[00:05:19.836 --> 00:05:22.458]  And I knew we had no future if we didn't do this.
[00:05:22.458 --> 00:05:23.940]  So we've already had incredible success.
[00:05:24.720 --> 00:05:37.134]  But if you will simply realize how epic this is, and understand how real this fight is and why we've been made the main target, and if you financially support us, and if you spread the word about our articles and videos, InfoWars.com,
[00:05:38.314 --> 00:05:42.015]  We won't just continue to stand up against these brutal scumbags.
[00:05:42.015 --> 00:05:43.215]  We'll win.
[00:05:43.215 --> 00:05:46.036]  We have huge sales at InfoWars4.com right now.
[00:05:46.036 --> 00:05:53.258]  And we're still able to operate the shopping cart and get stuff shipped out to you despite the fact we're trying to block our commerce and your right to the market.
[00:05:53.258 --> 00:05:56.939]  But if you don't stand up and support us financially, Soros the Globeless may win.
[00:05:56.939 --> 00:05:58.179]  This is InfoWars Darkest Hour.
[00:05:58.179 --> 00:05:59.380]  We need your support.
[00:05:59.380 --> 00:05:59.920]  I'm counting on you.
[00:06:07.332 --> 00:06:16.458]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the Infowar.
[00:06:37.037 --> 00:06:40.640]  The ramping up of the left's crazy barometer is mind-numbing.
[00:06:40.640 --> 00:06:44.223]  So let's take a look at what has happened in just a couple of weeks.
[00:06:44.223 --> 00:06:49.947]  Rand Paul recently warned on WHAS's Leland Conway show... This is dangerous.
[00:06:49.947 --> 00:06:54.811]  I think what people need to realize is that when people like Cory Booker say, get up in their face,
[00:06:55.527 --> 00:07:04.671]  He may think that that's okay, but what he doesn't realize is that for about every thousand person that might want to get up in your face, one of them is going to be unstable enough to commit violence.
[00:07:04.671 --> 00:07:05.951]  We don't want to encourage them.
[00:07:05.951 --> 00:07:15.275]  We have to somehow ratchet it down and say, we're not encouraging that violence is ever okay, ever a reason for or a means for trying to resolve things.
[00:07:15.855 --> 00:07:17.836]  I feel that there's going to be an assassination.
[00:07:17.836 --> 00:07:31.519]  I really worry that someone is going to be killed and that those who are ratcheting up the conversation, those who are ratcheting up saying get in their face, they have to realize that they bear some responsibility if this elevates to violence.
[00:07:31.519 --> 00:07:36.060]  While Michael Savage took a more hands-on and immediate approach.
[00:07:36.060 --> 00:07:40.661]  Do you believe Antifa should be deemed a terrorist, a domestic terrorist organization?
[00:07:42.381 --> 00:07:46.483]  I think they have declared themselves to be a terrorist organization.
[00:07:46.483 --> 00:08:05.155]  Last week we saw, on the Drudge Reporter link, where they claimed that they were going to pretend during the day that they were for all the people, but at night they were going to engage in activities of assassination towards their political enemies, meaning all those who are not communists and leftists of any kind.
[00:08:05.155 --> 00:08:07.336]  I'm talking assassination.
[00:08:07.336 --> 00:08:09.217]  This went out from Antifa people.
[00:08:09.989 --> 00:08:12.050]  They're absolutely domestic terrorist group.
[00:08:12.050 --> 00:08:14.552]  What else would anyone call them?
[00:08:14.552 --> 00:08:21.035]  So what should the Attorney General, what should the FBI, what should they do about that?
[00:08:21.035 --> 00:08:25.918]  Well, if you're in a terrorist organization, we have a Department of Homeland Security, don't we?
[00:08:26.932 --> 00:08:33.816]  If you have a group within the United States that says they're going to assassinate political enemies, you round up the leadership and arrest them.
[00:08:33.816 --> 00:08:34.536]  What else do you do?
[00:08:34.536 --> 00:08:36.017]  Wait for them to kill people?
[00:08:36.017 --> 00:08:42.180]  Meanwhile, Trump derangement syndrome and the fast-approaching midterm sent the left into a bloodthirsty rampage.
[00:08:42.180 --> 00:08:49.184]  On the heels of the Kavanaugh national disgrace, the Democratic staffer accused of leaking personal details of GOP lawmakers
[00:08:49.364 --> 00:08:53.246]  During the Kavanaugh hearings, was ordered held without bond on Tuesday.
[00:08:53.246 --> 00:09:06.632]  Additionally, investigators said they found cocaine and methamphetamine during a search and claimed Costco may have been under the influence when, according to them, he used his credentials to dock several lawmakers by leaking their personal addresses and phone numbers.
[00:09:06.632 --> 00:09:12.255]  And Maxine Waters continued to manipulate the Democratic base while denying any sense of wrongdoing.
[00:09:12.515 --> 00:09:23.723]  We're not going to allow them to take this false message that they're trying to carry to the American people, trying to make them believe that we're an angry mob.
[00:09:23.723 --> 00:09:25.564]  We're not going to let them get away with that.
[00:09:25.564 --> 00:09:30.568]  You cannot be civil with a political party that wants to destroy
[00:09:31.408 --> 00:09:33.751]  What you stand for, what you care about.
[00:09:33.751 --> 00:09:42.502]  That's why I believe if we are fortunate enough to win back the House and or the Senate, that's when civility can start again.
[00:09:42.502 --> 00:09:49.490]  But until then, the only thing that the Republicans seem to recognize and respect is strength.
[00:09:50.472 --> 00:09:51.813]  What do you think of that?
[00:09:51.813 --> 00:09:52.994]  Well, I like that.
[00:09:52.994 --> 00:09:59.881]  And we are not saying we're gonna kill anybody, we're gonna hit anybody, or we're gonna cause anybody any harm.
[00:09:59.881 --> 00:10:01.002]  That's a lie.
[00:10:01.002 --> 00:10:07.188]  Yes, I have thought an awful lot about blowing up the White House.
[00:10:09.281 --> 00:10:17.624]  Hillary Clinton and Eric Fast and Furious Holder lit a fuse so dangerous, they will have to be held accountable for the uncertain chaos ahead.
[00:10:17.624 --> 00:10:20.405]  Meanwhile, that chaos is unfolding.
[00:10:20.405 --> 00:10:28.028]  FBI agents today continued searching a home just north of New York City, where yesterday they discovered a 200-pound bomb.
[00:10:28.028 --> 00:10:32.650]  Prosecutors say Paul Rosenfeld planned to detonate that bomb in Washington, D.C.
[00:10:32.650 --> 00:10:33.830]  on Election Day.
[00:10:33.830 --> 00:10:37.672]  He allegedly wanted to kill himself and draw attention to his political beliefs.
[00:10:38.212 --> 00:10:42.924]  But Michelle Wood says that, you know, when they go low, we go high.
[00:10:42.924 --> 00:10:43.566]  No.
[00:10:43.566 --> 00:10:43.766]  No.
[00:10:43.766 --> 00:10:46.493]  When they go low, we kick them.
[00:10:56.981 --> 00:10:58.802]  That's what this new Democratic Party is about.
[00:10:58.802 --> 00:11:03.105]  The National Review asks, who will save the Democrats from their leaders?
[00:11:03.105 --> 00:11:07.427]  Writing, when they go low, that's where they are sure to find Eric Holder.
[00:11:07.427 --> 00:11:21.816]  Sometimes, the former Attorney General is helping a Democratic President commute the sentences of hard left terrorists whose only regret was failure to shoot it out against police who interrupted another bombing spree in their war against the United States.
[00:11:22.116 --> 00:11:26.378]  But if there is anyone who knows about going low, it is Mr. Holder.
[00:11:26.378 --> 00:11:32.981]  He is, after all, the first Attorney General in American history to be held in contempt of Congress.
[00:11:32.981 --> 00:11:36.483]  Antifa is following Hillary and Holder's advice to the letter, writing,
[00:11:42.045 --> 00:11:46.207]  Those of good conscience and clear mind know this state of oppression cannot remain.
[00:11:46.207 --> 00:11:46.907]  The U.S.
[00:11:46.907 --> 00:11:56.490]  fascist political system is one of the most savage institutions in history and we will combat it relentlessly until all are free of American barbarism.
[00:11:56.490 --> 00:12:00.292]  This after vandalizing the New York City GOP headquarters.
[00:12:00.292 --> 00:12:02.433]  Hey Democrats, we get it.
[00:12:02.433 --> 00:12:07.295]  You hate America and everyone enjoying its freedoms or what's left of them.
[00:12:07.295 --> 00:12:08.475]  John Bowne reporting.
[00:12:13.539 --> 00:12:16.925]  What are champions made of?
[00:12:16.925 --> 00:12:18.066]  Here's a man who can show you.
[00:12:24.648 --> 00:12:26.529]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[00:12:26.529 --> 00:12:28.850]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[00:12:28.850 --> 00:12:31.132]  AAA-253-3139 is the InfoWars store hotline.
[00:12:31.132 --> 00:12:32.292]  AAA-253-3139 is the InfoWars store... Wait!
[00:12:32.292 --> 00:12:33.473]  AAA-253-3139 is the InfoWars store hotline.
[00:12:33.473 --> 00:12:34.774]  AAA-253-3139 is the InfoWars store...
[00:12:50.863 --> 00:12:54.304]  InfoWarsStore.com is simply the best.
[00:12:54.304 --> 00:12:57.345]  InfoWarsStore.com beats out all the rest.
[00:12:57.345 --> 00:12:59.185]  888-253-3139, 888-253-3139, 888-253-3139, you see InfoWarsStore online.
[00:12:59.185 --> 00:13:00.386]  888-253-3139, 888-253-3139, 888-253-3139, that's InfoWarsStore.com.
[00:13:00.386 --> 00:13:01.126]  We're now only
[00:13:19.782 --> 00:13:24.904]  23 days out from this incredible election, and the globalists are going to pull out all the stops.
[00:13:24.904 --> 00:13:27.985]  False flag attacks here domestically, I believe.
[00:13:27.985 --> 00:13:30.606]  They just foiled a leftist with a 200-pound bomb.
[00:13:30.606 --> 00:13:36.728]  He admits he's planning to detonate the National Mall in front of the Washington Monument to bring in martial law.
[00:13:36.728 --> 00:13:39.629]  Yes, my friends, you can see how panicked and scared they are.
[00:13:39.629 --> 00:13:44.010]  You can see how the globalists are pushing total division on this country, but it's not working.
[00:13:44.010 --> 00:13:46.671]  Humanity is coming out of a deep, long sleep.
[00:13:48.314 --> 00:13:55.696]  But now, the real fight, politically, is about to begin, and because they're losing, they plan to make it violent.
[00:13:55.696 --> 00:14:04.078]  You know, I tend to not hype things up, even though we break a lot of really gigantic news here, but I do want to hype up what you're going to learn in the next hour.
[00:14:04.078 --> 00:14:14.940]  I have made quite a few phone calls to sources I have, the military, sources in Washington, and I've done a lot of research the last week, and I've held my tongue.
[00:14:14.940 --> 00:14:16.581]  I wasn't sure about what was going on,
[00:14:17.691 --> 00:14:26.556]  With this murder of this very prominent Cy Hirsch level Saudi journalist.
[00:14:26.556 --> 00:14:40.543]  And then when I talked to a frequent guest on the show, Zach, who's been in the military in special operations and also works a lot of prominent people like Kanye West and Elon Musk and others.
[00:14:40.543 --> 00:14:44.305]  And I've confirmed that separately with those folks.
[00:14:47.847 --> 00:14:50.849]  When I talked to him a few days ago and I said, you know exactly what's going on?
[00:14:50.849 --> 00:14:51.449]  He wasn't sure.
[00:14:51.449 --> 00:14:52.950]  He said, let me make some phone calls.
[00:14:52.950 --> 00:15:00.135]  Then he went and played golf with some prominent generals yesterday and sent photos like he does.
[00:15:00.135 --> 00:15:03.297]  They don't want their names on there, but they were confirming it.
[00:15:03.297 --> 00:15:13.283]  And he laid out what I was thinking was going on, but I wasn't sure a week ago, but what I separately got when I called other individuals.
[00:15:14.454 --> 00:15:19.515]  Some of which have been on the show before, but they get in so much trouble when they come on, they don't come on now.
[00:15:19.515 --> 00:15:22.496]  People can probably think who some of those folks might be.
[00:15:22.496 --> 00:15:43.220]  But I have this from a lot of people at a very high level, what happened, and why they're hyping this show big, the murder of the journalist, and how it ties into Mattis, and the word that he may be leaving according to Trump, and the Iran deal, and it's basically Hillary and Obama in the deep state are trying to sabotage Trump's peace deal with Saudi Arabia.
[00:15:44.349 --> 00:15:54.443]  And it's an inside job false flag against the Saudi areas of the regime and the new crown prince that Trump's trying to work with to embarrass Trump into breaking up the peace deal.
[00:15:54.443 --> 00:15:57.928]  So it's a staged event to ruin our relationship with Saudi Arabia.
[00:15:59.662 --> 00:16:04.504]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[00:16:04.504 --> 00:16:13.428]  With changes in diet, unnatural ingredients and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[00:16:13.428 --> 00:16:18.770]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[00:16:18.770 --> 00:16:27.033]  The new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects
[00:16:27.133 --> 00:16:27.453]  I think so.
[00:16:59.415 --> 00:17:05.799]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[00:17:05.799 --> 00:17:09.022]  Discover the power of ancient medicine with Bades.
[00:17:09.022 --> 00:17:12.725]  Bades contains one of the most potent forms of turmeric available.
[00:17:12.725 --> 00:17:17.428]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[00:17:17.428 --> 00:17:20.691]  It is well known in traditional medicine for its soothing properties.
[00:17:21.571 --> 00:17:32.577]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[00:17:32.577 --> 00:17:41.101]  Regular turmeric root from the store only contains 1-5% of active ingredients, but our turmeric root extract contains over 95% of the active ingredients.
[00:17:42.742 --> 00:17:51.789]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[00:17:51.789 --> 00:17:56.073]  Try Bodies today at Infowarslife.com or call us at 1-888-253-3139.
[00:18:00.720 --> 00:18:04.324]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:04.324 --> 00:18:06.086]  Introducing Pollen Block.
[00:18:06.086 --> 00:18:17.357]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:18.138 --> 00:18:27.183]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:27.183 --> 00:18:33.286]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:18:33.286 --> 00:18:37.848]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:38.348 --> 00:18:40.991]  Pollen Block is natural and effective.
[00:18:40.991 --> 00:18:42.713]  It is not an antihistamine.
[00:18:42.713 --> 00:18:52.704]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.704 --> 00:18:55.366]  Go outside and enjoy the air you breathe.
[00:18:55.366 --> 00:19:00.072]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:00.638 --> 00:19:09.021]  It's really hard to have the energy at the end of the day to still get to the gym, or to go for a run, or go to the park, or heck, even take your dog for a walk.
[00:19:09.021 --> 00:19:10.501]  Believe me, I know.
[00:19:10.501 --> 00:19:15.203]  I spend hours in front of a screen and then hours in front of bright lights every day.
[00:19:15.203 --> 00:19:18.284]  But thanks to Super Male Vitality at InfoWareStore.com,
[00:19:18.764 --> 00:19:20.425]  I still have that energy.
[00:19:20.425 --> 00:19:40.573]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[00:19:41.093 --> 00:19:44.855]  So go to Infowarsstore.com and get Supermail Vitality before it's gone.
[00:19:44.855 --> 00:19:48.757]  This is actually our last run of Supermail Vitality.
[00:19:48.757 --> 00:19:53.759]  So I want you to experience Supermail Vitality before it's too late.
[00:19:53.759 --> 00:19:56.480]  Unleash the Supermail in you.
[00:19:56.480 --> 00:20:03.423]  Supermail Vitality from Infowarsstore.com.
[00:20:03.423 --> 00:20:06.065]  You're listening to the Alex Jones Show.
[00:20:29.153 --> 00:20:29.693]  Welcome back.
[00:20:29.693 --> 00:20:30.954]  I'm your host, Alex Jones.
[00:20:30.954 --> 00:20:32.916]  We're here Monday through Friday from 11 a.m.
[00:20:32.916 --> 00:20:33.636]  to 3 p.m.
[00:20:33.636 --> 00:20:35.397]  Central.
[00:20:35.397 --> 00:20:36.898]  And then Sundays, 4 to 6 p.m.
[00:20:36.898 --> 00:20:39.100]  Central Live.
[00:20:39.100 --> 00:20:43.543]  And I'm hosting, obviously, the two hours here today.
[00:20:43.543 --> 00:20:50.988]  Here's my problem, and I keep trying to make this point before I go to the news, but I'm going to really try to make it crystal clear here.
[00:20:50.988 --> 00:20:55.911]  I'm quite the history buff because history is so interesting.
[00:20:55.911 --> 00:20:58.813]  So I've read a lot of history, and I've also studied a lot about our government.
[00:21:00.194 --> 00:21:05.335]  A lot about how it works, and we are not in normal times.
[00:21:05.335 --> 00:21:07.555]  We are not in normal territory.
[00:21:07.555 --> 00:21:18.358]  Now, most of you are saying, yeah, tell us the sky's blue, dude, and the grass is green, and the bluebirds are blue, and that Santa Claus wears a red and white outfit with black boots.
[00:21:18.358 --> 00:21:18.818]  We know.
[00:21:18.818 --> 00:21:21.478]  I know you know.
[00:21:21.478 --> 00:21:29.900]  But are you responding to the oppression and the tyranny by resisting it and standing up to it, or are you just getting used to it?
[00:21:32.705 --> 00:21:41.928]  Because studying psychological warfare, it was always right there in front of me how they were hitting us.
[00:21:41.928 --> 00:21:46.850]  How these multinational globalists, these soulless corporate groups working with communist China, how they were operating.
[00:21:46.850 --> 00:21:57.594]  But it wasn't until they were flying me first class to be on The View, and I say that because I was in first class with one of the heads of one of the biggest banks in the U.S.
[00:21:59.625 --> 00:22:01.927]  And he said, we have an off-record conversation.
[00:22:01.927 --> 00:22:03.828]  Just don't say my name, but I want you to know something.
[00:22:03.828 --> 00:22:15.156]  You'll never beat us because the public will adapt and overcome to our system.
[00:22:15.156 --> 00:22:18.578]  They won't adapt and overcome it by stopping it.
[00:22:18.578 --> 00:22:19.659]  They will put up with it.
[00:22:19.659 --> 00:22:21.780]  They will learn to go along with it.
[00:22:21.780 --> 00:22:24.322]  As long as we take it away from you slowly,
[00:22:26.297 --> 00:22:30.139]  As long as we kill you softly, you'll never know.
[00:22:30.139 --> 00:22:35.822]  And he laughed at me.
[00:22:35.822 --> 00:22:37.703]  Yeah, maybe we should play the scene from Network.
[00:22:37.703 --> 00:22:40.465]  Let's cue that up, we'll do that in a minute.
[00:22:40.465 --> 00:22:46.448]  You have meddled with the tidal forces of nature, Mr. Beale, and you will atone.
[00:22:46.448 --> 00:22:49.110]  But see, they're meddling with the tidal forces of nature.
[00:22:49.110 --> 00:22:54.453]  Trying to end the family, trying to end free market, trying to end prosperity, trying to end upward mobility.
[00:22:55.752 --> 00:23:06.639]  You know, I think President Trump has made a mistake when he said he wouldn't go see First Man because somebody told him it didn't have the planning of the flag.
[00:23:06.639 --> 00:23:16.905]  It does have the flag in it, and it's a powerful moment, but Trump made the fact that they don't make a huge issue out of it, a problem for him, which I think is fine.
[00:23:16.905 --> 00:23:21.288]  It points it out, but the movie itself gives you an idea of what historically happened.
[00:23:21.288 --> 00:23:21.868]  It's very good.
[00:23:21.868 --> 00:23:22.689]  I saw it today with my wife.
[00:23:24.016 --> 00:23:24.216]  All right.
[00:23:39.332 --> 00:23:39.793]  We're good to go.
[00:23:56.031 --> 00:24:00.513]  of Wild Wild West and the stars and humanity being on some great quest.
[00:24:00.513 --> 00:24:03.294]  They don't want us looking down and seeing how small the planet is.
[00:24:03.294 --> 00:24:13.097]  They want you in a smartphone, in a computer screen, in a virtual reality created by the big tech companies in Hollywood.
[00:24:13.097 --> 00:24:18.319]  So it's a very good, wholesome, pro-family, pro-male energy movie.
[00:24:18.319 --> 00:24:20.380]  Very, very well done.
[00:24:20.380 --> 00:24:25.122]  It's long, 2 hours 18 minutes, but I can only say bravo and it's very historically accurate.
[00:24:28.567 --> 00:24:36.370]  And so I would tell the President, get behind the movie, because compared to the rest of the poison that comes out of Hollywood, it is a very, very good thing.
[00:24:36.370 --> 00:24:37.291]  And, you know, that's another thing.
[00:24:37.291 --> 00:24:46.875]  I've offered a million dollars for anybody that can find video where I say, get your battle rifles ready and attack the media.
[00:24:46.875 --> 00:24:48.695]  It doesn't exist.
[00:24:48.695 --> 00:24:50.816]  Unedited.
[00:24:50.816 --> 00:24:52.417]  Remember, they banned me off Twitter for that.
[00:24:52.417 --> 00:24:54.238]  The first time.
[00:24:54.238 --> 00:24:55.718]  And it was on every channel in the country.
[00:24:55.718 --> 00:24:57.439]  Jones says, get rifles, kill the press.
[00:25:00.147 --> 00:25:08.933]  And then they use the New York Times, Washington Post, with battle rifles, in quotes, and then media from 20 minutes later.
[00:25:08.933 --> 00:25:23.523]  I said, if Antifa comes to your house, you're a member of Congress, if you've been doxed as federal law enforcement, if they've exposed your location, which they're doing, and they say they're going to come to your house like Congressman Scalise was shot and kill you, I said, if you've been doxed, they may really come after you before the election or after.
[00:25:23.523 --> 00:25:27.966]  You better have your own protection, your battle rifle ready.
[00:25:27.966 --> 00:25:29.347]  That turns in to kill the media?
[00:25:31.351 --> 00:25:34.673]  One million dollars if you can find me saying that.
[00:25:34.673 --> 00:25:35.933]  You can't.
[00:25:35.933 --> 00:25:44.277]  Even Jordan Soros' Media Matters shows a clip that doesn't even show me saying that, but they go with the battle rifles quote.
[00:25:44.277 --> 00:25:47.118]  Put the other words by it, don't have quotes by it.
[00:25:47.118 --> 00:25:56.343]  But that's what they send to Apple and Google and, you know, to PayPal and say, you've got a guy on there saying kill the media.
[00:25:56.343 --> 00:25:56.843]  Total hoax.
[00:25:58.240 --> 00:26:03.402]  I'll also offer this, a million dollars if you can show me saying we never went to the moon.
[00:26:03.402 --> 00:26:04.842]  It isn't true.
[00:26:04.842 --> 00:26:09.924]  A million dollars if you can show me saying there are Martian slave children, human slaves on Mars.
[00:26:09.924 --> 00:26:11.264]  Never said that.
[00:26:11.264 --> 00:26:13.265]  Never came out of my mouth.
[00:26:13.265 --> 00:26:14.305]  I said I disagreed with that.
[00:26:16.374 --> 00:26:17.955]  Somebody else said.
[00:26:17.955 --> 00:26:21.397]  See, they don't show the quotes because they're defrauding you.
[00:26:21.397 --> 00:26:23.158]  That's what they think of you.
[00:26:23.158 --> 00:26:25.539]  One million dollars I say we didn't go to the moon.
[00:26:25.539 --> 00:26:30.661]  One million dollars I said use battle rifles and kill the press or attack the press.
[00:26:30.661 --> 00:26:37.665]  One million dollars that I said there are human slaves on Mars.
[00:26:37.665 --> 00:26:39.426]  And everybody sees that about me everywhere.
[00:26:39.426 --> 00:26:43.528]  That's them executing lies against you because here's the key to everything.
[00:26:44.617 --> 00:26:48.078]  Understanding what we've done to Infowars is the key to what's going to come next.
[00:26:48.078 --> 00:26:54.601]  As I warned you, and is now happening with thousands of conservative sites banned in the last four days.
[00:26:54.601 --> 00:26:58.802]  Michelle Malkin's Facebook, you name it, it's all going away.
[00:26:58.802 --> 00:27:04.505]  Millions of followers per page.
[00:27:04.505 --> 00:27:07.846]  Independent filmmakers, anti-war liberals, they're being banned too.
[00:27:07.846 --> 00:27:09.867]  Just anybody who's anti-establishment.
[00:27:09.867 --> 00:27:13.008]  Thousands and thousands and thousands and thousands and thousands and thousands.
[00:27:14.474 --> 00:27:19.717]  So, let's get back to what I was focusing on here.
[00:27:19.717 --> 00:27:22.699]  Because this is the answer to all of it.
[00:27:22.699 --> 00:27:25.180]  We had a huge victory getting Trump in.
[00:27:25.180 --> 00:27:30.263]  Two years later, or 23 months later after his election, not even a swearing in.
[00:27:30.263 --> 00:27:37.407]  It's like 24 months till his swearing in.
[00:27:37.407 --> 00:27:41.890]  Less than two years after he got elected, and was just president-elect,
[00:27:47.568 --> 00:27:49.789]  You have the economy and so many things coming back.
[00:27:49.789 --> 00:27:59.113]  And so this victory is so beautiful and so good, they have to change the subject and build these straw men about Trump, that he's a racist and says the N-word.
[00:27:59.113 --> 00:28:01.314]  No video, no audio, no proof.
[00:28:01.314 --> 00:28:06.816]  It was on Saturday Night Live last night.
