[00:00.000 --> 00:06.000]  The D-Rex of political talk. Alex Jones on the GCN radio network.
[08:31.000 --> 08:41.000]  Well, here's what they won't tell you, Alex, is that if you type into your search engine the word witchcraft, 341,000 sites pop up for these children.
[08:41.000 --> 08:57.000]  If you type in necromancis, talking to the dead, 13,400 sites. And by the way, you've got John Edwards who's supposed to talk to the dead and then they also have another program on WGN, Beyond, and these people are supposed to communicate with the dead.
[08:57.000 --> 09:04.000]  Look, I can't even sit down with my wife now and watch a national dog show because I like dog shows. I like dogs.
[09:04.000 --> 09:05.000]  Yeah.
[09:05.000 --> 09:07.000]  And they'll go, we're calling in the pet psychic now.
[09:08.000 --> 09:21.000]  Oh, absolutely. So it seems like everything, but you have to understand, as we're getting closer to the end of the ages, kind of related to a football game or a basketball game, you can always tell.
[09:21.000 --> 09:22.000]  Sucking death over time, yeah.
[09:22.000 --> 09:30.000]  You better believe it. You can see the intensity in the final inning. You can see the intensity in the last two minutes of a basketball, football game.
[09:30.000 --> 09:35.000]  It intensifies because they know that they only have a short time to get it done.
[09:35.000 --> 09:40.000]  All right, now my producer brought this up to you and I'm going to bring it up right now. Let's tell the truth.
[09:40.000 --> 09:44.000]  And I'm going to send you this film because you have a big effect. You do a lot of interviews, David.
[09:44.000 --> 09:45.000]  Yes.
[09:45.000 --> 09:50.000]  I'm talking to David Benoit. I snuck into Bohemian Grove. I've done reports on Skull and Bones. Are you aware of Skull and Bones?
[09:50.000 --> 09:51.000]  Oh, absolutely, yeah.
[09:51.000 --> 09:56.000]  Okay, George Bush is a member, his father, his father, three presidents, a bunch of CIA directors.
[09:56.000 --> 10:01.000]  Well, I snuck in and it was on international television when I got the footage. It hadn't been on in America.
[10:01.000 --> 10:07.000]  And I snuck in and caught world leaders worshiping Molech at Bohemian Grove. Some of the most conservative leaders we supposedly have.
[10:07.000 --> 10:12.000]  This is real, but a lot of Christians cannot believe it even when they read it in the newspaper.
[10:12.000 --> 10:21.000]  Yeah, well, the thing about it is, and you have to understand this, I mean, even when I've talked about Bill Clinton and Hillary Clinton,
[10:21.000 --> 10:26.000]  you know, Hillary talked, supposedly talked to Gandhi from the dead, was supposed to...
[10:26.000 --> 10:27.000]  Eleanor Roosevelt.
[10:27.000 --> 10:40.000]  Yeah, and, you know, I've got a woman that I talk about in my presentation and she's a witch and from Laurie Cabot.
[10:40.000 --> 10:49.000]  It was known as the official witch of Salem. She was nominated the official witch of Salem by Michael Dukakis when he was running for the president of the United States of America.
[10:49.000 --> 10:52.000]  He said it would be good for his political campaign to nominate a witch.
[10:52.000 --> 10:57.000]  Well, America is really hurting when you have to nominate a witch to be married to one to get in the White House.
[10:57.000 --> 11:01.000]  Well, it's amazing, but getting back to this, it's not just the Democrats.
[11:01.000 --> 11:11.000]  No, no. You know, also, it was very well known that Mrs. Reagan went to astrologers and things like that as well. So, I mean...
[11:11.000 --> 11:17.000]  So where does it end? I mean, the only religion that's bad in America, they say, is Christianity, but everything else, they're promoting it.
[11:17.000 --> 11:23.000]  Doctor, I'm sure you saw the articles where hundreds of school districts bused elementary school students to see Harry Potter, Time Warner paid for it.
[11:23.000 --> 11:33.000]  Oh, absolutely. And see, here's the thing. Here's an article from the USA Today, December 19, 2001. This is the atrocity.
[11:33.000 --> 11:45.000]  Well, stay there. We'll hear about that article when we get back. I want to get more into the history of Halloween and how these Satanists are using the softer forms, the original softer forms of the occult to chuck people into their ranks.
[11:45.000 --> 11:53.000]  It's exploding. I've even had run-ins with these people. They're in a lot of positions of power. We'll talk about it with our guest, David Benoit, when we get back.
[11:53.000 --> 11:56.000]  And your calls are coming up as well. Stay with us.
[11:56.000 --> 12:06.000]  And through the lies and disinformation, it's Alex Jones, only on the GCN Radio Network.
[12:06.000 --> 12:18.000]  That's right, my friends, waging war on corruption, Monday through Friday from 11 a.m. until 2 p.m., Central Standard Time, back from 9 to midnight, Central Standard Time.
[12:18.000 --> 12:22.000]  We broadcast from 1 a.m. to 4 a.m. as well on these same grade stations.
[12:22.000 --> 12:30.000]  All right, we're talking to David Benoit, Laurie Ministries, the website, LaurieMinistries.com, link through, edinfowars.com, obviously.
[12:30.000 --> 12:37.000]  David, you know, great evils are hidden right out in plain view, 50 million abortions, all this stuff.
[12:37.000 --> 12:43.000]  And now the government will report, yeah, we tested biologicals on the troops, but so what, and that's in the back of the paper.
[12:43.000 --> 12:48.000]  This government itself, this system, this world is in the sway of the wicked one, that's obvious.
[12:49.000 --> 12:57.000]  Number one, more history on Halloween that many people aren't aware of, and then how do we protect our children from this system?
[12:57.000 --> 13:01.000]  Well, I'll tell you what. First of all, I think information is always crucial.
[13:01.000 --> 13:07.000]  You know, I think that people need to understand what the whole thing is all about.
[13:07.000 --> 13:15.000]  As a matter of fact, you know, I wrote a track last year entitled Halloween, a Trick or a Treat.
[13:15.000 --> 13:22.000]  And I give the different traditions, like, for example, trick or treat, where did that come from?
[13:22.000 --> 13:26.000]  And I talk about the jack-o'-lantern, you know, that that came from Great Britain,
[13:26.000 --> 13:33.000]  and Jack was supposed to have sold the soul to the devil and reneged on it and ended up having to get a coal,
[13:33.000 --> 13:39.000]  and he tricked the devil, and he put it into a turnip, and then he had to walk to the face of the earth and stuff like that.
[13:39.000 --> 13:47.000]  They would wear masks because they would be afraid that after going to the bonfire that they'd be afraid,
[13:47.000 --> 13:51.000]  so they figured they'd scare the ghosts or scare the spirits away by wearing masks.
[13:51.000 --> 13:59.000]  Now, the Associated Press reported last year that the bonfire was a human sacrifice for, in many cases, animals to be roasted.
[13:59.000 --> 14:02.000]  They would read the sign in their burning body.
[14:02.000 --> 14:10.000]  Oh, absolutely. So, I mean, the whole, again, when you get right down to talking about the dead and talking to the dead,
[14:10.000 --> 14:15.000]  and to show you, here's the thing that really gets me, Alex, is that there's the obvious.
[14:15.000 --> 14:23.000]  And when I've done things on rock music for years and stuff, I've been interviewed by NBC, ABC, CNN News, and things like that,
[14:23.000 --> 14:31.000]  and, you know, I've talked about the obvious, but the most subtle, for example, like Talking to the Dead.
[14:31.000 --> 14:38.000]  There are movies like Sixth Sense and where a boy is supposed to see spirits and stuff. Nobody can assume but him.
[14:38.000 --> 14:44.000]  And then you've got Ghost where they've had some, they've talked about that.
[14:44.000 --> 14:52.000]  But also in the movie Lion King, Simba talks to his father who is dead.
[14:52.000 --> 14:55.000]  And there are a lot of Christians who say, well, I don't see anything wrong with it.
[14:55.000 --> 15:02.000]  You know, I had one guy at a Christian college one day say, well, Mr. Benoit didn't see it that way.
[15:02.000 --> 15:09.000]  The way I saw it was that Simba was like Jesus and he was talking to his heavenly father.
[15:09.000 --> 15:14.000]  Well, it's the same thing with E.T. E.T. rises from the dead. They worship him with a stained glass window.
[15:14.000 --> 15:18.000]  You know, it's the same message everywhere.
[15:18.000 --> 15:23.000]  Exactly. And the thing about it is what I told him, I said, well, what about Rafiki?
[15:23.000 --> 15:29.000]  He said, well, he was the Holy Spirit. I said, the Holy Spirit? I said, he was a witch doctor.
[15:29.000 --> 15:34.000]  I said, see, you only miss one minor problem with that analogy and that's it.
[15:34.000 --> 15:42.000]  And that's this, is that Simba's father died and ascended to be a god. That's the New Age movement.
[15:42.000 --> 15:50.000]  Jesus' father has always been God, he's always been in heaven, and therefore he's never had to die and ascend to be an ascended master.
[15:50.000 --> 15:54.000]  So, how do we protect our children from this? Get them out of the public schools, I would say, number one.
[15:54.000 --> 16:01.000]  One of the ways is to get them out of that. And you know what I found interesting also is
[16:01.000 --> 16:06.000]  I was called by a lady from Knoxville, Tennessee, and she said, Miss Benoit, my daughter has to go
[16:06.000 --> 16:11.000]  under the Hogwarts School for Witchcraft and Wizardry to get into her room.
[16:11.000 --> 16:14.000]  And so when I told the principal, I didn't want my daughter there.
[16:14.000 --> 16:19.000]  And he said, okay, then write her a little note and we'll take her out of the class.
[16:19.000 --> 16:28.000]  Well, you know what my suggestion was to that is, if Harry Potter offends you, you can get a little note and go out of class.
[16:28.000 --> 16:32.000]  Well, why don't we say that to those who are offended about prayer in school?
[16:32.000 --> 16:37.000]  Yeah, why don't we sue them, but more importantly, just let them have their system, get them out of there.
[16:37.000 --> 16:42.000]  But the point is, they ostracize the children. You're a weirdo for leaving.
[16:42.000 --> 16:46.000]  Oh, exactly. And she said, no, that, but they called them muggles.
[16:46.000 --> 16:55.000]  They called her a muggle. A muggle is a non, in Harry Potter's books, is supposed to be a non-witch or sorcerer.
[16:55.000 --> 16:58.000]  It's a natural person, someone who doesn't believe in magic.
[16:58.000 --> 17:02.000]  So when the girl left the room, they called her muggle, muggle, muggle, muggle.
[17:02.000 --> 17:10.000]  Now, could you imagine what kind of uprising would have been if someone like a Hindu or say a Muslim
[17:10.000 --> 17:16.000]  and didn't want to pledge allegiance to the flag or didn't want to say, in God we trust, or had to pray,
[17:16.000 --> 17:20.000]  and they had to leave and everybody said, muggle, muggle, muggle, muggle.
[17:20.000 --> 17:23.000]  Oh, there have been all kinds of lawsuits.
[17:23.000 --> 17:29.000]  But see, you know why it is, Alex, is because Christians don't say anything.
[17:29.000 --> 17:35.000]  Well, I hear a lot of these Christian talk shows, lay down to it, go along with it, you know, it's sick.
[17:35.000 --> 17:37.000]  Well, see, that's the thing, is that...
[17:37.000 --> 17:39.000]  Do five more minutes with us on the other side, sir.
[17:39.000 --> 17:42.000]  I've got a few other questions for you, and then I'm going to go to your calls on the news, folks.
[17:42.000 --> 17:43.000]  Stay with us.
[17:43.000 --> 17:49.000]  Stay right there, David.
[17:49.000 --> 17:50.000]  We're on the march.
[17:50.000 --> 17:52.000]  The Empire is on the run.
[17:52.000 --> 17:59.000]  Alex Jones and the GCN Radio Network.
[17:59.000 --> 18:06.000]  The Genesis Communications Radio Network promptly presents the Alex Jones Show
[18:06.000 --> 18:10.000]  because there's a war on for your mind.
[18:10.000 --> 18:12.000]  All right, folks, we're back live.
[18:12.000 --> 18:15.000]  We're talking to David Benoit of Glory Ministries.
[18:15.000 --> 18:20.000]  And, look, even the secular history admits what this Day of the Dead is being celebrated in the public schools
[18:20.000 --> 18:26.000]  in California, the Aztec Day of the Dead, a black altar, simulated sacrifices going on.
[18:26.000 --> 18:29.000]  People know what Halloween is, where it goes back to, the same thing.
[18:29.000 --> 18:35.000]  And it's funny, the Aztecs and the Druids celebrated the Day of Death on the same day.
[18:35.000 --> 18:40.000]  Same things going on all over the world in ancient times and going on today.
[18:40.000 --> 18:43.000]  It's horrible.
[18:43.000 --> 18:48.000]  So we have this young girl in Knoxville, Tennessee, where we're on the radio, by the way, on WBCR,
[18:48.000 --> 18:52.000]  being kicked out or being told, okay, bring your note and leave the class.
[18:52.000 --> 18:58.000]  And they call her names as she leaves, but that's okay and sweet and cute, I guess, according to the ACLU.
[18:58.000 --> 19:08.000]  Right, see, the thing about it is, you know, these principles and everything are taught how to handle us rowdies.
[19:08.000 --> 19:10.000]  See, they're taught how to handle us.
[19:10.000 --> 19:13.000]  I mean, we're the weird ones, we're the strange ones.
[19:13.000 --> 19:15.000]  They say, well, you need to be a free thinker.
[19:15.000 --> 19:23.000]  Well, you know, if you think that's the case, then why don't you let the teachers teach the Left Behind series to their children?
[19:23.000 --> 19:25.000]  Or at least read Christian novels.
[19:25.000 --> 19:28.000]  I mean, there are some good Christian novels that are out there and stuff like that.
[19:28.000 --> 19:35.000]  Well, they'd never think about that, but they can teach witchcraft and occultism and say there's nothing wrong with it.
[19:35.000 --> 19:40.000]  Which leads into drugs and the occult and violence and all of this.
[19:40.000 --> 19:41.000]  Oh, exactly.
[19:41.000 --> 19:43.000]  And you've got all these meditations.
[19:43.000 --> 19:50.000]  As a matter of fact, I've got a letter from a witch right here who is a girl that came to hear me, and she comes from a Christian home.
[19:51.000 --> 19:55.000]  And she says, Dear Reverend, I understand you're staying on witchcraft, but I have a question for you.
[19:55.000 --> 20:00.000]  Have you ever put your arms around a tree and let that inanimate object strength absorb your pain as you prayed?
[20:00.000 --> 20:06.000]  Well, the first thing I see right here is that she's been indoctrinated into pantheism.
[20:06.000 --> 20:08.000]  She believes that grant has spirit.
[20:08.000 --> 20:09.000]  Or anonism, yeah.
[20:09.000 --> 20:10.000]  Oh, exactly.
[20:10.000 --> 20:12.000]  So, same thing with Pocahontas.
[20:12.000 --> 20:16.000]  The 3,000 year old grandmother Willow could comfort Pocahontas.
[20:16.000 --> 20:24.000]  So, what a lot of people thought was just a movie, a harmless movie, this girl's asking me if I believe in that.
[20:24.000 --> 20:26.000]  Well, this also dehumanizes people.
[20:26.000 --> 20:34.000]  It destroys the base and trains us to be dehumanized, and the U.N. is pushing this whole occult line.
[20:34.000 --> 20:42.000]  Is it heartening to see parents getting their children out of the schools at record numbers and also people counter-suming them for what they're doing in the government training centers?
[20:42.000 --> 20:43.000]  Absolutely.
[20:43.000 --> 20:54.000]  And I think that, you know, to make this as an analogy, I think it's very important, is, you know, I read the other day where, you know, those daddy long-leg spiders,
[20:54.000 --> 20:59.000]  they have, their venom is more powerful than the black widow.
[20:59.000 --> 21:09.000]  But the reason why most people don't know that is because the daddy long-leg spider cannot open its mouth wide enough to inflict the fangs into the human.
[21:09.000 --> 21:15.000]  And you know when I heard that and read that? You know what I said, Alex? I said, that's just like Christianity.
[21:15.000 --> 21:18.000]  We're more powerful than the homosexuals. You just don't say anything.
[21:18.000 --> 21:24.000]  We're more powerful than the atheists. We just won't say anything. We're more powerful than the one-worlders. We just won't say anything.
[21:24.000 --> 21:29.000]  You know, people say, oh, you could never get prayer back in school. Let me tell you something, you blow up a couple of buildings, everybody wants to pray.
[21:29.000 --> 21:32.000]  Where were they else, the ACLU at that time?
[21:32.000 --> 21:38.000]  You know, America is loaded with Christianity. They just don't, they just bow down to everything.
[21:38.000 --> 21:44.000]  Well, I go in a lot of Christian stations and some of them, it's just don't speak out, be quiet, go along.
[21:44.000 --> 21:54.000]  Oh yeah, just make them feel good and stuff. And I know I have the same exact situation that happens with me, you know, that you're just overreacting and stuff like that.
[21:54.000 --> 21:59.000]  But again, it's been a process of changing people's minds.
[21:59.000 --> 22:00.000]  Of desensitization.
[22:00.000 --> 22:01.000]  Exactly.
[22:01.000 --> 22:08.000]  See, it's like I was speaking in a church the other day that's 156 years old. They were celebrating their 156th anniversary.
[22:08.000 --> 22:16.000]  And I said, could you imagine if I came to this church 156 years ago and said that there would be a boy named Harry Potter
[22:16.000 --> 22:20.000]  and that he was going to be attending the Hogwarts School for Witchcraft and Wizardry
[22:20.000 --> 22:27.000]  and that children would be reading the book in church, youth pastors would be having activities surrounding that.
[22:27.000 --> 22:35.000]  I said, the people in that church would have thought I was crazy, but they're not anymore. They're doing it all over the country.
[22:35.000 --> 22:43.000]  And we're bad for saying it's bad. And another thing, you try to imagine, you know, the front page of 50 papers last week,
[22:43.000 --> 22:50.000]  implantable microchips going in 100 cities and plantation centers. They're going to pay folks to take it.
[22:50.000 --> 22:55.000]  They're training kids in public schools to take microchips. I've read 50 articles on there and on that over the years.
[22:55.000 --> 23:00.000]  That's so bizarre, though, that we're weird for reporting it and saying it's bad.
[23:00.000 --> 23:06.000]  Well, see, the thing about it is there's a fine line, Alex, and you'll understand that there's a fine line for people saying,
[23:06.000 --> 23:12.000]  oh, come on, nobody believes that. Well, everybody's doing it. You know what I'm talking about?
[23:12.000 --> 23:18.000]  Oh, I know. Yeah, five years ago I was talking about a world government, a world criminal court with no juries, campaign caricusers,
[23:18.000 --> 23:22.000]  a world tax. I was a lying kook as I read the UN Zone documents.
[23:22.000 --> 23:26.000]  Now that it's announced all over the news, oh, yeah, big deal, get over it.
[23:26.000 --> 23:34.000]  I mean, that is, that's the trick. It's so far-fetched when we report it, but when they start saying it,
[23:34.000 --> 23:38.000]  people have heard us say it and they go, well, so what? Everybody's doing it.
[23:38.000 --> 23:42.000]  You see, that's the fine line that we deal with every day, Alex.
[23:42.000 --> 23:46.000]  So we're only a few years away from the Aztec kingdom where everybody was doing it.
[23:46.000 --> 23:47.000]  Yeah.
[23:47.000 --> 23:51.000]  We're only a few years away from euthanasia that's already in Northern Europe.
[23:51.000 --> 23:54.000]  We're only a few years away. It's already here.
[23:54.000 --> 24:00.000]  Exactly. And see, so when you start reporting it, you're crazy.
[24:00.000 --> 24:06.000]  And yet when Walter Cronkite or when somebody else gets up there or, you know...
[24:06.000 --> 24:07.000]  Dan Rather.
[24:07.000 --> 24:12.000]  Dan Rather or Ted Koppel or somebody like that, oh, yeah, well, that's something, huh?
[24:12.000 --> 24:16.000]  Boy, isn't that amazing? And, you know, I've been talking about these microchips.
[24:16.000 --> 24:21.000]  As a matter of fact, do you realize that when Harry Potter first came to America as far as the book,
[24:21.000 --> 24:29.000]  they sent out 365,000 little stickers and, you know, Harry Potter has a lightning bolt on his forehead.
[24:29.000 --> 24:35.000]  And it's a scar. And so all these children got these little bitty stickers
[24:35.000 --> 24:39.000]  and they were all putting them right on their forehead just like Harry Potter.
[24:39.000 --> 24:47.000]  You see, so that, you start looking at that and even in Lion King where Simba was anointed on his forehead,
[24:47.000 --> 24:53.000]  I show pictures of that and then, you know, the U.S. News and World Report some time ago
[24:53.000 --> 24:58.000]  had a child on his front cover with a bar mark right on his forehead, bar code right on his forehead.
[24:58.000 --> 25:02.000]  So, I mean, you start seeing it over and over again, it's almost like when you talk about witches,
[25:02.000 --> 25:06.000]  witches were bad and then all of a sudden, well, they're not so bad.
[25:06.000 --> 25:10.000]  But we're kooks to even say they're out there evangelizing.
[25:10.000 --> 25:15.000]  Exactly. See, there was a long time that people said, oh, witches are just make-believe.
[25:15.000 --> 25:19.000]  When they jumped that line from witches are make-believe to now, well, so what?
[25:19.000 --> 25:22.000]  I mean, freedom of speech, freedom of religion in America.
[25:22.000 --> 25:29.000]  And they're grabbing our kids and doing this. Well, the website, gloryministries.com, a link to it on info-wars.com.
[25:29.000 --> 25:33.000]  What will you be doing this Samhain, this Halloween night tomorrow?
[25:33.000 --> 25:40.000]  Well, tomorrow night I will actually be traveling and I'll be doing some programs down in Florida.
[25:40.000 --> 25:45.000]  And so I'll be out of pocket tomorrow.
[25:45.000 --> 25:52.000]  But I'll tell you what, it's not that I won't be praying about some things because I realize there are a lot of children.
[25:52.000 --> 25:58.000]  And here's another thing, even if, Alex, this was not an occult practice or occult day,
[25:58.000 --> 26:05.000]  anybody will take their children and walk through the neighborhood taking candy from anybody who will open up a door is stupid.
[26:05.000 --> 26:10.000]  Yeah, the whole thing is bad news, but again, everybody's doing it so it must be good.
[26:10.000 --> 26:14.000]  Well, you know, Casey had to live in somebody's neighborhood, you know.
[26:14.000 --> 26:19.000]  And all these rapists and these pedophiles, they live in people's neighborhoods.
[26:20.000 --> 26:28.000]  You know, and you stop and think about that, that for 364 days of the year we tell our children not to take anything from a stranger.
[26:28.000 --> 26:33.000]  And then one night of the year we walk around picking out anything that can hand something out.
[26:33.000 --> 26:38.000]  Well, law enforcement numbers show it. A massive amount of children are kidnapped the week before.
[26:38.000 --> 26:45.000]  It's the biggest upsurge of the year. Before Halloween and the years later they find them in some patch for their poor little skeletons.
[26:45.000 --> 26:50.000]  And they put that in the back of the paper, which shows me there's an agenda to cover this up.
[26:50.000 --> 26:57.000]  Well, they don't need to kidnap children. I mean, all they got to do is perform human sacrifice to buy abortion. That happens every day.
[26:57.000 --> 27:02.000]  $15 million. Thanks for joining us, David Benoit. A lot of great info on your site. We appreciate you.
[27:02.000 --> 27:04.000]  Thank you so much, Alex. God bless y'all.
[27:04.000 --> 27:06.000]  You bet. Take care.
[27:06.000 --> 27:09.000]  Well, that's the bottom line. Let's talk to Frank and Alex.
