[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[05:51.000 --> 05:57.000]  It's time to see what krill oil can do for you with ultimate krill oil now available at infowarstore.com.
[06:21.000 --> 06:40.000]  Ladies and gentlemen, it is Tuesday, the second day of October, 2018.
[06:40.000 --> 06:41.000]  I'm your host, Alex Jones.
[06:41.000 --> 06:48.000]  We are 35 days out from the midterms that are obviously much bigger than just the midterms.
[06:48.000 --> 06:56.000]  I'm going to dive straight into the Brett Kavanaugh fiasco.
[06:56.000 --> 07:09.000]  And I'm not going to get into the latest Georgetown professors saying that they want to kill Kavanaugh
[07:09.000 --> 07:15.000]  or attack Kavanaugh and have his testicles cut off.
[07:15.000 --> 07:22.000]  I'm going to get to that later on the fact that of course Georgetown would probably give this professor a medal
[07:22.000 --> 07:28.000]  or the fact that they're actually putting on the news anonymous letters sent to Congress
[07:28.000 --> 07:35.000]  saying Brett Kavanaugh and another man raped a woman in a car.
[07:35.000 --> 07:39.000]  Well, hell, on the show Homeland, a character they admit is supposedly Alex Jones,
[07:39.000 --> 07:43.000]  is a racist and tries to bomb the White House.
[07:43.000 --> 07:47.000]  People running to me on the street and they think I'm the homeland character.
[07:47.000 --> 07:51.000]  They actually are mad at me for the TV show on Showtime.
[07:51.000 --> 07:53.000]  That's the mental illness.
[07:53.000 --> 07:55.000]  That's the mind control.
[07:55.000 --> 07:57.000]  No, I'm not going to get into that.
[07:57.000 --> 08:00.000]  I'm not going to get into the end of innocent until proven guilty.
[08:00.000 --> 08:07.000]  I'm not going to get into all of the Hollywood harpies running around foaming at the mouth saying,
[08:07.000 --> 08:17.000]  believe women, all men are pigs, all men are monsters.
[08:17.000 --> 08:21.000]  This is all divide and conquer mind control.
[08:21.000 --> 08:30.000]  Oh, and surprise, surprise.
[08:30.000 --> 08:41.000]  When you research all this and you look deeply into it, hiding in plain view,
[08:41.000 --> 08:49.000]  the most incredible information is right there in front of us.
[08:49.000 --> 09:03.000]  And the fact that they would try something like this is the most outrageous crap I have ever seen, period.
[09:03.000 --> 09:05.000]  In fact, it's so stunning, I can't even be on air right now.
[09:05.000 --> 09:06.000]  I'm going to have to go off here.
[09:06.000 --> 09:08.000]  Seriously, I'm not doing this for dramatic purposes.
[09:08.000 --> 09:11.000]  I'm going to have to compose myself and be able to cover this.
[09:11.000 --> 09:14.000]  And I will need document shots when I do it.
[09:14.000 --> 09:19.000]  So, I am going to go off here at this point, and I'm going to come back in the next segment,
[09:19.000 --> 09:27.000]  and I'm going to do my very, very best to be on air, and I'm going to do my very, very best.
[09:27.000 --> 09:34.000]  I'm going to do my very, very best to cover this information here on air.
[09:34.000 --> 09:38.000]  And, you know, you talk about dropping the ball.
[09:38.000 --> 09:43.000]  This has been hiding in plain view the entire time.
[09:43.000 --> 09:53.000]  And the fact that they would try something like this, it just shows how stupid they think we are.
[09:53.000 --> 10:00.000]  So, I'm going to start the next segment, and I'm going to get into this information.
[10:00.000 --> 10:08.000]  And then, I'm going to get into China's worst nightmare, our IMPACT 2020, the South China Sea Drill.
[10:08.000 --> 10:14.000]  I'm going to get into six-year-old school pupils write gay love letters to learn to accept diversity
[10:14.000 --> 10:19.000]  as the sexualization and brutalization of children accelerates and intensifies.
[10:19.000 --> 10:26.000]  We're going to get into the NAFTA renegotiation and the surge in U.S. economy.
[10:26.000 --> 10:28.000]  We're going to look at so many angles.
[10:28.000 --> 10:37.000]  Also, Millie Weaver got footage last night that's going to be going up on infowars.com.
[10:37.000 --> 10:41.000]  Because that's part of our reporters sending in videos to us.
[10:41.000 --> 10:43.000]  It's putting it on infowars.com.
[10:43.000 --> 10:45.000]  I'm going to go make sure that happens.
[10:45.000 --> 10:52.000]  Of a man who lost some of his family to illegal aliens confronting a bunch of pro-illegal alien demonstrators
[10:52.000 --> 10:54.000]  who are out there protesting Trump.
[10:54.000 --> 11:01.000]  So, that's extremely powerful footage as well that we're going to be airing here today.
[11:01.000 --> 11:14.000]  And there's a lot more as well.
[11:14.000 --> 11:19.000]  I want to first get into this report by John Bowne.
[11:19.000 --> 11:24.000]  Antifa's new blend-in and attack strategy.
[11:24.000 --> 11:29.000]  Because this is the new public preparation they're making on Facebook and Twitter
[11:29.000 --> 11:32.000]  with large organizations run by major professors,
[11:32.000 --> 11:37.000]  organizing the next phase, especially if they don't win the election,
[11:37.000 --> 11:44.000]  of going out and engaging in massive attacks like we saw on the congressional baseball team,
[11:44.000 --> 11:47.000]  resulting in consciousness, police almost dying.
[11:47.000 --> 11:50.000]  The attacks you've seen on Rand Paul and many others, that's their plan.
[11:50.000 --> 11:53.000]  So, here's the latest report up on infowars.com.
[11:53.000 --> 11:54.000]  So, you can share it.
[11:54.000 --> 11:57.000]  Antifa's new blend-in and attack strategy.
[11:57.000 --> 12:02.000]  Alex Jones on Twitter posted this week what essentially is a video calling for people
[12:02.000 --> 12:07.000]  to get their battle rifles ready against the media, saying it's time to act.
[12:07.000 --> 12:09.000]  It's got to be done now.
[12:09.000 --> 12:11.000]  Move criminally against people.
[12:11.000 --> 12:13.000]  Send a chill up my spine.
[12:13.000 --> 12:14.000]  How about yours?
[12:14.000 --> 12:15.000]  It did.
[12:15.000 --> 12:23.000]  I mean, there's a number of actions that we believe help a call to incitement to violence.
[12:23.000 --> 12:27.000]  And those are the things that we need to make sure that we're taking action on.
[12:27.000 --> 12:33.000]  California's omniscient social media royalty would protect us all from questioning the narrative.
[12:33.000 --> 12:37.000]  But when it comes to fueling the violence of the left, all bets are off.
[12:37.000 --> 12:41.000]  Hey, quick little question for military-minded lefties.
[12:41.000 --> 12:48.000]  Should leftists train, organize in an insurgent focus where they blend into a civilian population
[12:48.000 --> 12:54.000]  for potential attacks or a more militia structure focused on holding, maintaining turf.
[12:54.000 --> 13:00.000]  He then suggests using concealable weapons as Antifa blends into the general populace
[13:00.000 --> 13:02.000]  in order to do more covert damage.
[13:02.000 --> 13:09.000]  From the guillotine podcast, which has 250 Patreon supporters and 15,000 Facebook followers,
[13:09.000 --> 13:16.000]  Dr. Bones openly calls for leftist terrorism to be waged against an innocent American citizenry,
[13:16.000 --> 13:22.000]  simply exercising their rights with the hopes of, as one responded to the Dr. Bones Twitter account
[13:22.000 --> 13:24.000]  regarded as a big kill.
[13:24.000 --> 13:29.000]  Mike Adams warns conservative senators, Supreme Court justices, Unchanged left-planning kill team,
[13:29.000 --> 13:32.000]  home invasions to execute you and your family.
[13:32.000 --> 13:33.000]  That's his headline.
[13:33.000 --> 13:34.000]  I'd make it even better.
[13:34.000 --> 13:36.000]  Mike Adams isn't warning you.
[13:36.000 --> 13:42.000]  Mainstream leftist Democrat websites that Twitter allows to operate are openly planning.
[13:42.000 --> 13:47.000]  Democrats publicly plan kill teams to kill Republican and conservative leaders.
[13:47.000 --> 13:48.000]  That's your real headline.
[13:48.000 --> 13:49.000]  With Mike's headline, it's great.
[13:49.000 --> 13:50.000]  I'm glad he wrote the article.
[13:50.000 --> 13:54.000]  I'm just saying, it's not him saying it.
[13:54.000 --> 13:55.000]  It's not him warning.
[13:55.000 --> 14:22.000]  They're the ones saying they're going to do it.
[14:22.000 --> 14:25.000]  Yes, remember folks, it isn't just the health keepers.
[14:25.000 --> 14:31.000]  They are looking to train other groups, such as the Proud Boys and the Patriot Prayer,
[14:31.000 --> 14:36.000]  which they love so much, in military tactics, how to run neighborhood watches,
[14:36.000 --> 14:42.000]  which at least in Florida is code for keep black people out of our community with guns,
[14:42.000 --> 14:47.000]  how to run security, how to put down leftists.
[14:47.000 --> 14:50.000]  These people are training to kill you.
[14:50.000 --> 14:56.000]  You know, a lot of people say, oh, bones, you know, you're just being too, you're just too much.
[14:56.000 --> 15:01.000]  I don't know how more clear you want.
[15:01.000 --> 15:05.000]  The corporate globalist media is deliberately driving Americans into a bloody civil war
[15:05.000 --> 15:09.000]  in a desperate attempt to destabilize the nation, invoke shooting on the streets,
[15:09.000 --> 15:13.000]  and ultimately call for the United Nations peacekeeping troops that will depose President
[15:13.000 --> 15:18.000]  Trump under Strong Cities Initiative, and attempt to disarm the entire U.S. civilian population,
[15:18.000 --> 15:22.000]  for America, the people on 100 plus million firearms and have a Second Amendment right
[15:22.000 --> 15:25.000]  to defend their nation against foreign invaders, period.
[15:25.000 --> 15:31.000]  According to his website, Marxism and Satanism are synonymous with his openly violent rhetoric
[15:31.000 --> 15:34.000]  calling for the slaughter of innocent Americans.
[15:34.000 --> 15:39.000]  Of course, this appears to be fine and dandy to the self-righteous tech gods in Silicon Valley,
[15:39.000 --> 15:47.000]  who are distracted by their laser focus on banning information that doesn't follow the Mockingbird media narrative.
[15:47.000 --> 15:49.000]  John Bown reporting.
[16:17.000 --> 16:23.000]  We hear how heart and body extract is making a difference in thousands of people's lives across America.
[16:23.000 --> 16:27.000]  My blood pressure has normalized, my diabetes has totally improved.
[16:27.000 --> 16:31.000]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[16:31.000 --> 16:33.000]  I recommend heart and body extract to everyone.
[16:33.000 --> 16:39.000]  Anybody over 40 in the North American continent should be using this product as a preventative
[16:39.000 --> 16:41.000]  to keep their cardiovascular system healthy.
[16:41.000 --> 16:49.000]  Order your two-month supply today by calling 866-295-5305 at 866-295-5305
[16:49.000 --> 16:52.000]  or order online hbextract.com.
[16:52.000 --> 17:19.000]  Heart and Body Extract 866-295-5305 or hbextract.com.
[17:19.000 --> 17:25.000]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[17:25.000 --> 17:50.000]  In Liberty, David Hall, Diamond Gussett Gene Company.
[17:55.000 --> 18:00.000]  And that's libertyoncall.org.
[18:26.000 --> 18:34.000]  To generate the world's finest coffee beans, carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:34.000 --> 18:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:45.000]  You can even choose to start your morning healthier with the immune support blend,
[18:45.000 --> 18:49.000]  infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 18:51.000]  It's time to take care of your morning routine.
[18:51.000 --> 19:00.000]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:00.000 --> 19:06.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself
[19:06.000 --> 19:10.000]  and a gift to the Info War to fight the globalist and limited free society.
[19:10.000 --> 19:15.000]  Several years ago, I set out with top formulators in the US to create the strongest,
[19:15.000 --> 19:22.000]  most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[19:22.000 --> 19:27.000]  I know from using this myself the last few months and from seeing my friends and family use it
[19:27.000 --> 19:34.000]  that this new product is going to end up being the number one best-selling product at infowarslife.com because it works so well.
[19:34.000 --> 19:42.000]  This is a gift you want to give yourself and then rest assured you're fighting the Info War so it's a total absolute sure win, no lose equation.
[19:42.000 --> 19:47.000]  Try Alpha Power exclusively available at infowarslife.com for yourself.
[19:47.000 --> 19:49.000]  Ladies and gentlemen, it's non-GMO.
[19:49.000 --> 19:53.000]  It's for your brain, it's for sports, it's for activities and it's made in the USA.
[19:53.000 --> 19:56.000]  Get your Alpha Power today at infowarslife.com.
[19:56.000 --> 20:23.000]  Everybody needs to try Alpha Power today.
[20:23.000 --> 20:28.000]  Defending the Republic from enemies, foreign and domestic.
[20:28.000 --> 20:43.000]  It's Alex Jones, live from Austin, Texas broadcasting worldwide from the InfoWars.com studios.
[20:43.000 --> 20:48.000]  It is Tuesday, October 2, 2018.
[20:48.000 --> 20:53.000]  On Friday they're set to confirm Kavanaugh.
[20:53.000 --> 21:00.000]  The left, as they're known, really the deep state and the private intelligence agencies that have hijacked this country
[21:00.000 --> 21:12.000]  are going into complete and total terroristic overdrive to destroy, due process to destroy, basic freedoms that we hold near and dear like innocent until proven guilty.
[21:12.000 --> 21:20.000]  We have female professors, Hollywood stars everywhere saying kill Kavanaugh, cut his testicles off, all men are bad, especially white men.
[21:20.000 --> 21:23.000]  This is an attempt to divide and conquer this country.
[21:23.000 --> 21:31.000]  It's in the WikiLeaks, but more importantly it's in CIA, public manuals and others on how to control population.
[21:31.000 --> 21:33.000]  Now get ready for this.
[21:33.000 --> 21:43.000]  I knew that Dr. Ford's, grandfather, father, brother and brother-in-law all worked high level CIA.
[21:43.000 --> 21:45.000]  That had come out.
[21:45.000 --> 21:47.000]  That's part of the course with these psychology professors.
[21:47.000 --> 21:53.000]  Then it came out that she ran recruiting programs at Stanford and one other college.
[21:53.000 --> 21:57.000]  She was involved in the recruiting.
[21:57.000 --> 22:02.000]  Then it got even worse.
[22:02.000 --> 22:12.000]  I saw a media matters article over the weekend attempting to debunk it and it went ahead and admitted it all and more and said, and how dare them.
[22:12.000 --> 22:17.000]  Yeah, she was in some programs to help people forget memories or have new false memories.
[22:17.000 --> 22:26.000]  There were several articles and I went and read the study she wrote and ladies and gentlemen.
[22:26.000 --> 22:39.000]  Turns out she coauthored and headed up major classic MK Ultra style mind control programs.
[22:39.000 --> 22:48.000]  We're talking erasing memories, implanting false memories, programming people openly at Stanford.
[22:48.000 --> 22:52.000]  I'm going to get into the actual program, show TV viewers the actual document.
[22:52.000 --> 22:55.000]  We posted it on infowars.com.
[22:55.000 --> 22:58.000]  Mike Adams did an excellent job at naturalnews.com, breaking it down.
[22:58.000 --> 23:07.000]  But I read this last night when he sent it to me and got physically ill because I already knew all about this.
[23:07.000 --> 23:14.000]  And that's why when they have these big events, you've got to look and see are there leftist foundation groups involved because most of the time there are.
[23:14.000 --> 23:20.000]  And before I get into this, let me give you just a few things I pulled up during that four minute break.
[23:20.000 --> 23:23.000]  I thought let me give them some background first like I always do.
[23:23.000 --> 23:26.000]  Psychology today.
[23:26.000 --> 23:30.000]  Psychology today.
[23:30.000 --> 23:35.000]  Harvard's experiment on the Unabomber, class of 62.
[23:35.000 --> 23:49.000]  Theodore Kaczynski disappeared for three years into the MK Ultra secret assassination brainwashing program.
[23:49.000 --> 23:53.000]  You can go read it out of psychology today, LA Times, you name it.
[23:53.000 --> 23:56.000]  This all broke back in the 90s.
[23:56.000 --> 23:58.000]  That's psychology today.
[23:58.000 --> 24:00.000]  Let me give you another one.
[24:00.000 --> 24:03.000]  Shooter James Holmes and DARPA, Weird Science.
[24:03.000 --> 24:08.000]  Kurt Nimmer wrote about it and it links to mainstream news articles in fullwars.com.
[24:08.000 --> 24:18.000]  His father is Lieutenant Colonel Robert Holmes, the head of the Space Command NASA Army Language School Defense Language Institute.
[24:18.000 --> 24:21.000]  All of it.
[24:21.000 --> 24:32.000]  Complete and total interface with computers plugged directly into your brain for mind control.
[24:32.000 --> 24:35.000]  I'm going to keep going.
[24:35.000 --> 24:45.000]  Guess who Timothy McVeigh's doctor was until the day he was executed at Terre Haute, Indiana?
[24:45.000 --> 24:48.000]  Yes, Jolly and West.
[24:48.000 --> 24:50.000]  Do you know who Jolly and West was on record?
[24:50.000 --> 24:56.000]  Number two scientist in MK Ultra and MK Naomi and other secret NASA programs.
[24:56.000 --> 24:59.000]  But wait, it gets more powerful.
[24:59.000 --> 25:01.000]  He headed up an even more secret program.
[25:01.000 --> 25:07.000]  The name was never discovered in Canada with over 10,000 kidnapped children.
[25:07.000 --> 25:10.000]  Even the history channel has shows about it.
[25:10.000 --> 25:22.000]  He worked for Dr. Ewing Cameron, the former head of all mind control operations for the Central Intelligence Agency.
[25:22.000 --> 25:30.000]  And then you've got Dr. Ford, who remembers being raped by Brett Kavanaugh.
[25:30.000 --> 25:35.000]  How in the hell is this not a giant issue?
[25:35.000 --> 25:40.000]  Now, we're going to get into her papers and her program.
[25:40.000 --> 25:46.000]  And it is the most hardcore public mind control I've ever heard of.
[25:46.000 --> 25:49.000]  I know a lot of it's going on at the University of Texas Psychology Department.
[25:49.000 --> 25:55.000]  I was led in there almost 20 years ago by one of the folks that then moved on to an even more prestigious institution.
[25:55.000 --> 25:57.000]  And I've told you about some of that.
[25:57.000 --> 26:03.000]  But it was mainly how to use flicker rates and manipulate people and make them sexually stimulated or make them nauseated.
[26:03.000 --> 26:05.000]  It was just using television to manipulate you.
[26:05.000 --> 26:08.000]  Some of the areas I was shown all DARPA funded.
[26:08.000 --> 26:14.000]  Every laboratory had DARPA on the door saying they were the ones funding it.
[26:14.000 --> 26:20.000]  So I just showed you mainstream news, you name it, admitting all this.
[26:20.000 --> 26:22.000]  For your TV viewers, you saw it all on screen.
[26:22.000 --> 26:27.000]  This isn't even hidden.
[26:27.000 --> 26:30.000]  But what's incredible is that I dropped the ball.
[26:30.000 --> 26:35.000]  Because I was focusing on her working for RU486 company.
[26:35.000 --> 26:41.000]  I was focusing on her not finishing her residency, which is classic,
[26:41.000 --> 26:44.000]  because you go right to work for the CIA, you usually don't.
[26:44.000 --> 26:48.000]  And then I was focusing on her, because that's your residency.
[26:48.000 --> 26:54.000]  And the way she changed her story a whole bunch.
[26:54.000 --> 27:00.000]  But then I read the CIA Honey Trap story that Savage was talking about from Zero Hedge.
[27:00.000 --> 27:08.000]  And it was all linked there with her family high level, tied into Russiagate, tied into everything.
[27:08.000 --> 27:10.000]  And then I saw this last night.
[27:10.000 --> 27:16.000]  I already read some of the studies she'd written, but I found these when Mike Adams sent me the article.
[27:16.000 --> 27:17.000]  And I shacked her and read it.
[27:17.000 --> 27:23.000]  And I knew what I was looking at, because I'd read the declassified stuff in the 70s on MKNOMI.
[27:23.000 --> 27:29.000]  It was all that with her heading it up in plain view.
[27:29.000 --> 27:37.000]  The co-author of a mind control study to give people false memories or remove memories.
[27:37.000 --> 27:39.000]  That is what they're looking for.
[27:39.000 --> 27:51.000]  That's the holy grail with chemicals, electricity, you name it, and just mainlining it how great it is.
[27:51.000 --> 27:59.000]  I mean, this is unbelievable to project of inner voices through subaudible frequencies.
[27:59.000 --> 28:09.000]  I mean, this is like the encyclopedia, these programs and papers she wrote, of everything I've ever researched and known about in one class.
[28:09.000 --> 28:11.000]  God, who knows what they're doing with all this stuff?
[28:11.000 --> 28:19.000]  And then this is the woman that's up on television that we cannot question, even though her story has completely scrambled and upside down.
[28:19.000 --> 28:24.000]  And she's got interns living at her house and all the rest of it.
[28:24.000 --> 28:25.000]  This is who they brought forward.
[28:25.000 --> 28:28.000]  And now the other women are saying, actually, I never saw a cabin on attack anybody.
[28:28.000 --> 28:30.000]  Oh, actually, he didn't attack anybody on a boat.
[28:30.000 --> 28:32.000]  Oh, actually, oh, don't worry.
[28:32.000 --> 28:35.000]  We have new anonymous letters saying he raped a woman in a car.
[28:35.000 --> 28:38.000]  This is unbelievably transparent.
[28:38.000 --> 28:44.000]  And then she's got the deep state swamp top lawyer there right there.
[28:44.000 --> 28:46.000]  So we're going to look more into this when we come back.
[28:46.000 --> 28:51.000]  I have filed suit against PayPal. We'll let you know about that coming up as well.
[28:51.000 --> 28:52.000]  Exclusively here.
[28:52.000 --> 28:54.000]  Mark Rondaz is joining us so much straight ahead.
[28:54.000 --> 28:56.000]  Whatever you do, share the live links.
[28:56.000 --> 29:25.000]  Tell folks about level stations.
[29:26.000 --> 29:36.000]  Here that that's the sound of a house being trashed while a gang of thieves ransacked the place.
[29:36.000 --> 29:40.000]  And what they don't steal will be destroyed this year.
[29:40.000 --> 29:43.000]  Resolve not to be the next victim of a break in.
[29:43.000 --> 29:50.000]  Go to fakeTV.com and discover a device that creates the illusion someone inside is watching TV even when you're miles away.
[29:50.000 --> 29:55.000]  Security is a mindset and fake TV should be part of your security solution.
[29:55.000 --> 29:57.000]  Be vigilant but not fearful.
[29:57.000 --> 30:00.000]  FakeTV.com
[30:00.000 --> 30:05.000]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[30:05.000 --> 30:15.000]  With changes in diet, unnatural ingredients and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[30:15.000 --> 30:25.000]  That's why Infowars Life created the powerful Vitamin Mineral Fusion Formula, the new platinum standard of advanced multivitamin formulation.
[30:25.000 --> 30:31.000]  Vitamin Mineral Fusion uses a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
[30:31.000 --> 30:40.000]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious concentrated drink mix that's loaded with high quality ingredients.
[30:40.000 --> 30:49.000]  Perfect for a hot summer day or relaxing at home, Vitamin Mineral Fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[30:49.000 --> 30:56.000]  Start supporting your body's needs in a great tasting, natural and affordable drink mix with Vitamin Mineral Fusion today.
[30:56.000 --> 31:11.000]  Get available at InfowarsStore.com
[31:26.000 --> 31:41.000]  Get the water to fight back against the modern-day lifestyle with the screen time and the extended hours to still have the stamina and endurance, energy and drive to get to the gym, get to the park and get exercise that you need for your health.
[31:41.000 --> 31:49.000]  So go to InfowarsStore.com and get SuperMailVitality before it's gone. This is actually our last run of SuperMailVitality.
[31:49.000 --> 31:56.000]  I want you to experience SuperMailVitality before it's too late. Unleash the SuperMail in you.
[31:56.000 --> 32:22.000]  SuperMailVitality.com
[32:22.000 --> 32:32.000]  So we've already had incredible success, but if you will simply realize how epic this is and understand how real this fight is and why we've been made the main target,
[32:32.000 --> 32:43.000]  and if you financially support us and if you spread the word about our articles and videos, Infowars.com, we won't just continue to stand up against these brutal scumbags, we'll win.
[32:43.000 --> 32:53.000]  We have huge sales at InfowarsStore.com right now, and we're still able to operate the shopping cart and get stuff shipped out to you, despite the fact that we're trying to block our commerce and you're right to the market.
[32:53.000 --> 33:00.000]  But if you don't stand up and support us financially, Sorrel's the glove we'll spend with. This is Infowars Darker Sour. We do your support. I'm counting on you.
[33:00.000 --> 33:10.000]  You're listening to the Alex Jones Show.
[33:30.000 --> 33:52.000]  Welcome back, Alex Jones here live. So we looked into Dr. Ford, the psychologist, background, and we looked at how she was a big Hillary supporter and gave 10 donations in the last cycle and 60 donations to other Democrats.
[33:52.000 --> 34:01.000]  She's got a lot of money. Now she's an executive with the RU-486 abortion pill company worth hundreds of billions of dollars sold out on the market.
[34:01.000 --> 34:21.000]  And we looked at how she was part of a whole manhating organization and how she supported by Sorrel's back groups and how her whole testimony kept contradicting itself and how whatever happened to innocent until proven guilty and why did they sit on the allegations until right before the vote, on and on and on.
[34:21.000 --> 34:40.000]  Instead of looking at what she did at Stanford and one other university, even currently what she does. And she is in a public mind control operation that implants false memories and removes memories.
[34:40.000 --> 34:55.000]  The story is on Infowars.com with all of the documents and we have saved and posted much of the actual reports so they can't remove them.
[34:55.000 --> 35:06.000]  Imagine why they want Infowars shut down and curtailed and censored it with just 35 days out because they want to launch stuff like this and get away with it.
[35:06.000 --> 35:12.000]  Do you think I just went on air and said that the Batman shooter in Aurora, Colorado was suspicious?
[35:12.000 --> 35:30.000]  It was on local news that his father was a military officer heading up a giant mind control operation and that the former head of the Air Force Psychiatry Division left a year before and came to be his private psychiatrist at the college.
[35:30.000 --> 35:45.000]  And then he then said in the jail, it was in the Denver news that I have been drugged. I am under mind control. I was not the shooter. There was another person there. His father heads up Air Force mind control.
[35:45.000 --> 35:57.000]  His psychiatrist is a woman that formerly headed up the Air Force. It's psychological operations. This is in the newspaper.
[35:57.000 --> 36:11.000]  I have the LA Times and Psychology Day right here where Theodore Kaczynski, the Unabomber, was in MKUltra for three years.
[36:11.000 --> 36:19.000]  Shooter James Holmes in DARPA Weird Science. Inmate James Holmes told me he was programmed to kill my evil therapist. I'm not saying she did that.
[36:19.000 --> 36:27.000]  I mean, she's just this top Air Force psychiatrist that happened to be his personal psychiatrist and just met with him at four times a week.
[36:27.000 --> 36:37.000]  Oh, and he was in a brain machine interface program himself. He was being paid $98,000 a year, by the way, by the Defense Department in DARPA.
[36:37.000 --> 36:45.000]  Oh, yeah, the shooter. Because, you know, Daddy was one of the top guys in the program. Well, he's getting 90 something thousand a year.
[36:45.000 --> 36:50.000]  And he goes and shoots up a movie theater. Hmm. The shadow Patsy rises again.
[36:50.000 --> 36:59.000]  How mind control is connected to gun control. Infowars.com. It's why they want to shut down the relationship between MKUltra and mass murder.
[36:59.000 --> 37:07.000]  Jamie White. Infowars.com February this year. Here we are on the one year anniversary now of the Vegas situation.
