[00:00.000 --> 00:10.000]  From the front lines of the information war, it's Alex Jones.
[03:30.000 --> 03:50.000]  America is back!
[03:50.000 --> 04:00.000]  America is back!
[04:00.000 --> 04:10.000]  America is back!
[04:10.000 --> 04:20.000]  America is back!
[04:20.000 --> 04:30.000]  America is back!
[04:30.000 --> 04:40.000]  America is back!
[04:40.000 --> 04:50.000]  America is back!
[04:50.000 --> 05:00.000]  America is back!
[05:20.000 --> 05:30.000]  America is back!
[05:30.000 --> 05:58.000]  America is back!
[06:00.000 --> 06:10.000]  America is back!
[06:10.000 --> 06:30.000]  America is back!
[06:30.000 --> 06:40.000]  America is back!
[06:40.000 --> 07:00.000]  America is back!
[07:00.000 --> 07:10.000]  America is back!
[07:30.000 --> 07:40.000]  America is back!
[07:40.000 --> 08:00.000]  America is back!
[08:00.000 --> 08:10.000]  America is back!
[08:10.000 --> 08:30.000]  America is back!
[08:30.000 --> 08:40.000]  America is back!
[08:40.000 --> 09:00.000]  America is back!
[09:00.000 --> 09:10.000]  America is back!
[09:10.000 --> 09:30.000]  America is back!
[09:30.000 --> 09:40.000]  America is back!
[09:40.000 --> 09:50.000]  America is back!
[09:50.000 --> 10:00.000]  America is back!
[10:00.000 --> 10:10.000]  America is back!
[10:10.000 --> 10:20.000]  America is back!
[10:20.000 --> 10:40.000]  America is back!
[10:40.000 --> 10:50.000]  America is back!
[10:50.000 --> 11:00.000]  America is back!
[11:00.000 --> 11:10.000]  America is back!
[11:30.000 --> 11:40.000]  America is back!
[11:40.000 --> 11:50.000]  America is back!
[11:50.000 --> 12:00.000]  America is back!
[12:00.000 --> 12:20.000]  America is back!
[12:20.000 --> 12:30.000]  America is back!
[12:50.000 --> 13:00.000]  America is back!
[13:20.000 --> 13:30.000]  America is back!
[13:30.000 --> 13:40.000]  America is back!
[13:40.000 --> 13:50.000]  America is back!
[13:50.000 --> 14:14.000]  America is back!
[14:14.000 --> 14:34.000]  America is back!
[14:34.000 --> 14:44.000]  America is back!
[15:04.000 --> 15:14.000]  America is back!
[15:34.000 --> 15:54.000]  America is back!
[15:54.000 --> 16:04.000]  America is back!
[16:24.000 --> 16:44.000]  America is back!
[16:44.000 --> 16:54.000]  America is back!
[17:14.000 --> 17:42.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house. I sued the IRS in one. I beat the IRS then and I've been beating them ever since. I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved. I can help you too.
[17:42.000 --> 18:00.000]  If you owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case. Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[18:00.000 --> 18:21.000]  About a month ago, President Trump announced that he was going to move his domicile from New York City to Florida, where he's always said he planned to retire too. And the left got so excited. They said, oh, he's about to resign and leave instead of facing impeachment and he's running to Florida.
[18:21.000 --> 18:37.000]  Well, now we know why the President did that. He knew the leftist-controlled appeals courts were going to say that he had to give up his tax returns so they can pour over them and harass every business partner he's got. They want to terrorize people that he's worked with.
[18:37.000 --> 18:52.000]  And by moving his domicile from New York to Florida, that gets around the New York law they passed to get his tax returns that are supposed to be private. So all those people out there holding their breath for the President to resign.
[18:52.000 --> 19:08.000]  In his words, we're kicking the deep state's ass and he's never going to resign.
[19:08.000 --> 19:23.000]  We're forgetting it, but this really is a game-changing toothpaste. And it doesn't compete with super blue that's four to five o'clock, the colloidal silver and iodine and fluoride-free, the adult or the children's. These are both excellent toothpaste, concentrates that don't have fillers.
[19:23.000 --> 19:38.000]  People love it. This is a whitening toothpaste that also has the above-sea coral calcium that also cleans, but also re-mineralizes the teeth. Then it has the patented silver salt, silver in it to knock out the bacteria that causes gensivitis.
[19:38.000 --> 19:53.000]  This is all proven. You can make claims with this. But I have to tell you, no one has a toothpaste this good for knocking out the bacteria, the viruses, and cleaning the teeth in a healthy way that doesn't strip away the enamel.
[19:53.000 --> 20:09.000]  We're really proud of it. It funds the operation in FullWareStore.com. And that's why we're still on air thanks to you.
[20:23.000 --> 20:28.000]  You're listening to Alex Jones.
[20:53.000 --> 21:22.000]  I sit up here and I, like a beacon flash out.
[21:22.000 --> 21:45.000]  Flash out. Emergency warnings. Danger. Danger. Danger. It's all I can do. And we know that we are being systematically mutated, poisoned, deformed, stunted, and finally killed.
[21:45.000 --> 22:00.000]  There's evil in the universe. And when good doesn't admit evil exists, and when good doesn't face it and conquer it, we fall to it.
[22:00.000 --> 22:20.000]  And it will get more insane. It will get more crazy. It will get more obvious. And we will see those that serve it actually imploding and falling apart right in front of us. But still, they will tell us that we must partake of this great evil and that it will fulfill us.
[22:20.000 --> 22:32.000]  Next segment, I'll get into it. I really haven't been covering these Democrat debates much. We've had some live coverage of it. I played a few clips, but I didn't watch it last night.
[22:32.000 --> 22:46.000]  But then I watched a bunch of the clips this morning. And it's been a train wreck. It's been a clown show. It's been a circus. This was really just frightening.
[22:46.000 --> 23:00.000]  They were having mental breakdowns. People were shaking like they were having seizures. Biden's teeth were falling out. They were fighting with each other.
[23:00.000 --> 23:18.000]  This is the best the enemy's got. But see, the enemy's got a lot of these people. They're called followers. And they're scared and they wind themselves up to believe there's something they're not. And they're empty.
[23:18.000 --> 23:31.000]  That's why you look at them and you're like, they're paper thin. They're mirages. Why isn't other people see this? Because other people at a very young age are sitting in front of televisions.
[23:31.000 --> 23:44.000]  And they're put into a trance state and the average person stays at a near sleep state, daydream state. They're highly suggestible. This is all scientific fact, by the way. It's taught in mainline colleges in PR and media.
[23:44.000 --> 23:55.000]  And the average person is a highly suggestible state. All the studies show, since the advent, if we call it that, of televisions is the creation of this thing.
[23:55.000 --> 24:11.000]  The IQ is going down. The brainwaves are going down. And the language is being reduced. And people are more suggestible.
[24:11.000 --> 24:30.000]  And so they just have things pre-programmed floating around. There's an intellect there, but it's electronically and semantically induced form of basically autism, where the brain is shuttered and can only operate in narrow bands.
[24:30.000 --> 24:42.000]  Then it learns how to be laser focused within those bands, but it's very limited. The perception, like this, blinders, looking down.
[24:42.000 --> 24:51.000]  And you see it where programmed leftists and others are like someone you pull a string on and they repeat the same thing back at you.
[24:51.000 --> 25:12.000]  And so you see all these impeachment hearings. The rest of it doesn't make sense. It's garbage and hearsay and lies, repeated over and over again and then debated over and over again, but it's sucking all the air out of the room.
[25:12.000 --> 25:24.000]  And so these are very, very corrupt technicians that are doing this. I mean, you've seen the big ad that came out this week in South Dakota saying meth, we're on it and shows the individual saying meth, I'm on it.
[25:24.000 --> 25:37.000]  It's not a Monty Python joke. It's not a pun. They put that out to freak you out for it not to make sense. They want you on meth.
[25:37.000 --> 25:50.000]  It's been declassified that the criminal network brings in the drugs, prepares it, teach people how to do it, have TV shows, promote it like Breaking Bad.
[25:50.000 --> 25:56.000]  They humanize it and they make that your economy.
[25:56.000 --> 26:07.000]  And then what do you do when you're on meth? One of the favorite things that people like Ed Buck and reportedly Adam Schiff likes it.
[26:07.000 --> 26:16.000]  U.S. Girl 10 was drug raped and dismembered, but the suspect who was admittedly there is allowed to go free because he's an illegal alien.
[26:16.000 --> 26:27.000]  The guy that shot the young woman in the back in San Francisco said, well, he's allowed to. He's Hispanic. Let him go. She killed her for fun. No big deal.
[26:27.000 --> 26:32.000]  They would rape her and it's come out in the police reports. They saw it as a ritual.
[26:32.000 --> 26:41.000]  And then finally she fought back at age 10. They've been doing it a while. So they tortured her to death and chopped her head off.
[26:41.000 --> 26:51.000]  Maybe I'll tell you her name coming up stories on enforce.com, but you know, I've played clips of reported victims of Satanism and things and but oh, that's too extreme.
[26:51.000 --> 26:58.000]  I'll never, never to be true. That's just the stories that haven't been 1000% confirmed.
[26:58.000 --> 27:09.000]  And so those are the ones that go big because the ones that are all confirmed people just go, oh, let's not read that. You think I want to read how dozens of men a day.
[27:09.000 --> 27:16.000]  Tortured this little girl and her mother enjoyed torturing her and reportedly felt power of the essence of the child.
[27:16.000 --> 27:25.000]  A mother torturing her little girl. And then finally, as she begged for help, mommy helped chop her head off.
[27:25.000 --> 27:30.000]  And then they had sex with her dead body. That's what Satanists do.
[27:30.000 --> 27:41.000]  And you see, we need to go to a satanic coven and get recruited into it. Oh, I'm a Wiccan white witch. Ha, ha, ha. You know, it's all just inducting you into the mouth of the beast.
[27:41.000 --> 27:51.000]  Like an anglerfish has a little light up front. Oh, I'm a Wiccan white witch. Don't come forward.
[27:51.000 --> 27:55.000]  You don't have to be part of all that stuff. It's just a spirit everywhere now.
[27:55.000 --> 28:00.000]  Let's hurt children. Let's torture them for a long time.
[28:00.000 --> 28:04.000]  Till they give up or until they fight back.
[28:04.000 --> 28:10.000]  Because hey, this little girl's hitting and she's fighting. She's trying to get out. She's calling on Jesus.
[28:10.000 --> 28:21.000]  They say, kill her. No, Satan.
[28:21.000 --> 28:33.000]  You know, the people that let the reported people involved go in Albuquerque, the meth capital, breaking bad so cool.
[28:33.000 --> 28:38.000]  They're not the bad guys. It's Stephen Miller. Yeah. Yeah.
[28:38.000 --> 28:45.000]  He's a Jewish Nazi. Did you hear the New York Times said so? Because he believes in America. He's the Batman.
[28:45.000 --> 28:52.000]  So is Alex Jones. So is him for wars.com. Ha, ha, ha, ha. Yeah, right.
[28:52.000 --> 29:18.000]  Jesus Christ is our important savior and Jesus saves.
[29:18.000 --> 29:23.000]  You've tried to fix your drinking and drug problem and you know you can't do it alone.
[29:23.000 --> 29:26.000]  You need to call the national treatment advisors.
[29:26.000 --> 29:33.000]  They'll immerse you into a 30 day program to replace your old habits with new habits and totally change your life.
[29:33.000 --> 29:38.000]  And if you have PPO, private health insurance, the entire program may be covered.
[29:38.000 --> 29:44.000]  Fix your problem right now before it gets any worse. Get clean. Call now and learn more.
[29:44.000 --> 29:48.000]  800-506-6740.
[29:48.000 --> 29:52.000]  800-506-6740.
[29:52.000 --> 29:58.000]  That's 800-506-6740.
[29:58.000 --> 30:03.000]  A question was once posed to Thomas Jefferson.
[30:03.000 --> 30:11.000]  What is the level of tyranny that a tyrant will take humanity to?
[30:11.000 --> 30:20.000]  How far will they go? What's their limit? And he said it is the limit to which other men and women will submit.
[30:20.000 --> 30:26.000]  The answer is there is no limit to evil. It is a bottomless pit.
[30:26.000 --> 30:32.000]  We've been taught in modern culture and society that evil doesn't exist.
[30:32.000 --> 30:35.000]  Or that there's no free will. There's no devil or the God.
[30:35.000 --> 30:45.000]  But those very same people have all these rules for us about speech and how we can dress and where we can live and what our houses can be like.
[30:45.000 --> 30:49.000]  They just don't want us to have any values so they can run over us.
[30:49.000 --> 30:55.000]  Oxford's banned clapping. University's the US have banned 21 gun salutes for veterans.
[30:55.000 --> 30:59.000]  These people are dangerous cult leaders and it's time to reject them.
[30:59.000 --> 31:06.000]  The globalists know that I will never willingly give up. I've said it many times, I will never give in.
[31:06.000 --> 31:10.000]  I will never give up but I could give out.
[31:10.000 --> 31:15.000]  And it's very, very frustrating to see them committing all their crimes against humanity.
[31:15.000 --> 31:24.000]  To see evil running rampant like this and to know that most Americans have already been silenced in cyberspace.
[31:24.000 --> 31:28.000]  That most Americans have already been shadow banned by big tech.
[31:28.000 --> 31:38.000]  And to know that most Americans feel powerless and don't realize how much power they have by spreading the word about newswords.com,
[31:38.000 --> 31:40.000]  infowords.com and banned.video.
[31:40.000 --> 31:43.000]  And that people are hungry for the truth now more than ever.
[31:43.000 --> 31:51.000]  And that if you tell people, hey, the banned truth they don't want you to have is at infowords.com forward slash show and banned.video.
[31:51.000 --> 32:00.000]  So take heart, folks. They've had to censor everybody and shut everybody down because the truth is powerful and they can't beat us fair and square.
[32:00.000 --> 32:03.000]  I've made a lot of predictions that have come true.
[32:03.000 --> 32:09.000]  But I'm here to tell you that most of those really weren't predictions that came out of a crystal ball.
[32:09.000 --> 32:16.000]  I could see where the globalists were going. I could see what their in-game agenda was, what their goal was.
[32:16.000 --> 32:24.000]  And I knew that when they were setting us up to be de-platformed, that they were really setting the precedent to take everybody off air,
[32:24.000 --> 32:34.000]  to silence everyone, to ban words and names and information on fake whistleblowers so that their false narratives couldn't be opposed.
[32:34.000 --> 32:40.000]  What the globalists really feared was independent media and platforms in the future.
[32:40.000 --> 32:49.000]  So the model of info wars as much as the information that had to be silenced, because they need total information dominance for their outrageous lies
[32:49.000 --> 33:11.000]  and the evil they're pushing to succeed, and that's why keeping info wars on the air is now more imperative and more vital than ever.
[33:19.000 --> 33:39.000]  This is a great song right here. Iron Maiden's a lot of cheesy songs. They've also got some great poetry.
[33:39.000 --> 33:50.000]  Pack this up for a minute.
[34:10.000 --> 34:17.000]  Yes, humanity's gotten soft, but the veneer of civilization is beginning to peel away.
[34:17.000 --> 34:25.000]  Let me mention some of the headlines we've got here that I do want to start getting into the ridiculous debate last night on the surface,
[34:25.000 --> 34:52.000]  but just the collapsing, choking, poisoned nature of these ringrace, of these Nazgul, of these living dead zombies, shuddering and shaking and coughing and hacking and hating and spitting and sputtering and saying verboten words
[34:52.000 --> 35:03.000]  that the less not supposed to say, you know, just a train wreck, the wages of center death.
[35:03.000 --> 35:13.000]  And it wasn't just Biden. It was the younger women. It was all of them like some poison gas was in the auditorium.
[35:13.000 --> 35:23.000]  Because evil's really trying to push the envelope and manifest itself to make everybody give up and to try to drive their slaves into resistance against us.
[35:23.000 --> 35:34.000]  And really it's just going to start making their slaves malfunction. And that's a nice little side effect about these type of conflicts is we're going to get stronger.
[35:34.000 --> 35:41.000]  We're going to get more focused. We're going to get more powerful because we seek power, but because that's what God is.
[35:41.000 --> 35:51.000]  And the enemy is going to be laid waste to the artificiality of the satanic.
[35:51.000 --> 36:00.000]  Technocracy is going to force this thing. But the foreseeing of it is its destruction.
[36:00.000 --> 36:04.000]  The New World Order is going to give birth to world government, the Antichrist.
[36:04.000 --> 36:16.000]  And it's going to rain for a very short time. And it is going to be spectacularly bloody.
[36:16.000 --> 36:23.000]  But like a big giant thunderstorm that rolls through and all of a sudden it's blue sky and you see it fading off and you say, what is the most beautiful day I've ever seen?
[36:23.000 --> 36:27.000]  That's already coming. And you can see it. You can feel it.
[36:27.000 --> 36:36.000]  Those of us that are already awake and really engaged, we're already in that beautiful sunny meadow with the trees and the birds and the sky and in God's spirit there.
[36:36.000 --> 36:52.000]  And we stared down into those caught in the eddy pools and struggling and we hope, we hope they can reach us. We hope they can join us.
[36:52.000 --> 37:03.000]  But alas, we can't look at them too long. You can't look back at Sodom and Gomorrah. You can't look back into the abyss, lest you become the abyss.
[37:03.000 --> 37:17.000]  You can even marvel at them and say, look at how enslaved you are. Look at how the Democrats I saw yesterday when I went out in Bullhorn to Apple and Tim Cook and hopefully getting Trump to do something about censorship, which he's promised to do.
[37:17.000 --> 37:26.000]  So I was there to deliver a message as well to Trump. I guess I was protesting as in action.
[37:26.000 --> 37:42.000]  And I went over and looked at that crowd and they all look like the devil's rejects.
[37:42.000 --> 37:58.000]  They all look like they were from a science fiction movie like The Dark Crystal and they were little gelflings that had their souls sucked out and replaced was the dark light of Lucifer.
[37:58.000 --> 38:06.000]  Just like a siren going, I'm going to kill you. I hate you. Yes, I want to hurt babies. Yeah, it's like gremlins or something.
[38:06.000 --> 38:17.000]  Wow. And you see the whole hierarchy of the energy these people have. Like there's zombie gremlins and then there's kind of like a little pedo wannabes, little pedo supporters.
[38:17.000 --> 38:27.000]  And then it just kind of goes up to like the corporate media that's kind of lost and wanting to be famous, but not really knowing what's going on and enamored by real media, but also scared of it.
[38:27.000 --> 38:46.000]  The police, on average, you're kind of aware of what's going on and seeing the glistening, happy, vibrant crowds of waving American flags, black, white, old, young, but lighten their eyes and then looking across the street and seeing just this grave haze of demons,
[38:46.000 --> 38:53.000]  just literally misting around and you're just like, it's biblical.
[38:53.000 --> 39:05.000]  And they would chant at me, we're going to get your children. It's on video. People've seen the other. We ought to go, ah, we'll get your children.
[39:05.000 --> 39:20.000]  And then they go, we've got Alex Jones's children. We've got hours of this. I've told the crew to isolate some of that out. We've got children and we've got his, which is not true.
[39:20.000 --> 39:27.000]  I didn't lose my children three years ago, as the media told you, but I have full custody of my children. It doesn't matter.
[39:27.000 --> 39:33.000]  They're like, we've got them. We've got his children. You don't have your children.
[39:33.000 --> 39:44.000]  And you're literally seeing the manifestation of a group that would try to rig stuff and have 50-something media sometimes at one time trying to manipulate a jury.
[39:44.000 --> 39:55.000]  And you just see the full corruption in the span of these people, in what they're saying to you.
[39:55.000 --> 40:08.000]  And we're not over demonizing them. You have to understand that it is the radicalization of these people has gotten more intense because once they sign on to hate of Trump in America,
[40:08.000 --> 40:18.000]  oh, the Trumps are a good guy or a bad guy. Once that figurehead's up there and they're told, act out, go crazy, be nuts, then it just becomes anything attached to Trump.
[40:18.000 --> 40:27.000]  And if Trump is some satanic weapon system, which I don't think he is, I think he's like more like the Joker card. It could go both ways.
[40:27.000 --> 40:40.000]  Like, I don't think I know. Trumps weren't like crossroads. Trump's like a manifestation of the group collective consciousness.
[40:40.000 --> 40:49.000]  And you can see that. The guys like streaming it, like oracles do.
[40:49.000 --> 41:11.000]  But if we don't rise to the challenge and defeat the globalists in this round, Trump is actually just manifesting and energizing the globalists and their minions to absolutely build themselves into a completely spiritually mutated horde
[41:11.000 --> 41:29.000]  that if not discredited and defeated, even though it's pathetic on the surface, will start taking over the system and will start enslaving people that do not come from the same
[41:29.000 --> 41:43.000]  cauldron as the little ring race and minions. And that's when they kick off these wars. And then it makes people choose a side and the globalists can manipulate that within that paradigm and get good men working on the side of evil.
[41:43.000 --> 41:47.000]  And then you got to really watch out.
[41:47.000 --> 42:04.000]  And so that's what this complex enemy subduction is. And if Trump doesn't act against the censorship and doesn't act against the tyranny, then all he's done is rise up this giant army and then Trump leaves office, however, and they're there.
[42:04.000 --> 42:14.000]  And then we've got this discredited figurehead who didn't do anything wrong, really, but didn't fulfill his destiny. And now we've got a big problem on our hands.
[42:14.000 --> 42:18.000]  So that's what I really wanted to get out there.
[42:18.000 --> 42:26.000]  Now I am procrastinating here and I have a bunch of big guests and a huge 5G special coming up and so much to cover. We got a bunch of special guests.
[42:26.000 --> 42:36.000]  But I read this yesterday that I went and researched it and I, we owe it to her. We owe it to her.
[42:36.000 --> 42:45.000]  Terry, what they did to her. And I got three daughters and I'm going to read this on air and I'm going to have full feeling I'm going to take it all on.
[42:45.000 --> 42:58.000]  And I'm going to imagine what happened to her. And then I'm going to think about Jesus who took on all the sins before and that were and that would be and think about being Christ like and taking on the pain of this little girl.
[42:58.000 --> 43:11.000]  Beto Rourke came out dozens of times and said we're going to confiscate all your semi-automatic rifles and he got all the other Democrats on the stage, nine others to agree and said that he was a hero.
[43:11.000 --> 43:25.000]  Think about that. Now those Democrats have taken all the guns in the cities they control. Their blue cities are literal crap holes covered with needles and with massive drug dealing and incredible levels of violent crime.
[43:25.000 --> 43:35.000]  They know what they're doing. And now the Supreme Court's come out and ruled that gun manufacturers can be sued into oblivion for what criminals do using their firearms.
[43:35.000 --> 43:44.000]  My goodness, ladies and gentlemen, this country is under such incredible attack, but more and more towns and cities are saying they're sanctuaries for the Second Amendment.
[43:44.000 --> 43:50.000]  And they're going to follow the original Bill of Rights and Constitution and they're not going to help in the confiscation of guns.
[43:50.000 --> 43:57.000]  So you see a lot of these cities ignore illegal aliens. Well, we could ignore all your unconstitutional laws.
[43:57.000 --> 44:12.000]  Major report out of major university researchers working on food-based treatment to slow aging science daily probiotics in the gut of a particular type cause your entire body to be healthier and make you live longer and make you not get intestinal cancer.
[44:12.000 --> 44:20.000]  We have the very best formula, literally, with what they even mentioned in the studies. And it explains the hormone called FGF21.
[44:20.000 --> 44:28.000]  Pro longevity heals the entire body and actually reverses aging, but is only made in the lower intestine.
[44:28.000 --> 44:34.000]  Oh, and what does it say? It's fiber from a spectrum of certain types of berries that grows this.
[44:34.000 --> 44:45.000]  And yes, this is a plug. Gut fusion. And what do we have in this? High auric berry blend, strawberry, blueberry, blackberry, cranberry, escoblio, grape and pomegranate.
[44:45.000 --> 44:52.000]  It's the pulp from them that then grows this. Gut fusion for children, for young people, for old people, for everybody.
[44:52.000 --> 44:57.000]  This is fiber and glutamine. You're not going to find a better formula. Gut fusion, it's amazing.
[44:57.000 --> 45:07.000]  Infowarstore.com. We have a new product and we got several thousand of these in and they're going to sell out in a few days at the rate we're selling them.
[45:07.000 --> 45:15.000]  I want to thank the listeners for getting it, but this really is a game changing toothpaste and it doesn't compete with super blue.
[45:15.000 --> 45:24.000]  That's four to five of colloidal silver and iodine and fluoride free. The adult or the children's. These are both excellent toothpaste, concentrates that don't have fillers.
[45:24.000 --> 45:34.000]  People love it. This is a whitening toothpaste that also has the above sea coral calcium that also cleans, but also re mineralizes the teeth.
[45:34.000 --> 45:42.000]  Then it has the patented silver salt, silver in it to knock out the bacteria that cause ginsivitis. This is all proven. You can make claims with this.
[45:42.000 --> 45:53.000]  But I have to tell you, no one has a toothpaste this good for knocking out the bacteria, the viruses and cleaning the teeth in a healthy way that doesn't strip away the enamel.
[45:53.000 --> 46:00.000]  So we're really proud of it. It funds the operation infowarstore.com. That's why we're still on air. Thanks to you.
[46:00.000 --> 46:11.000]  I spend a lot of time reminding the info wars family of listeners and viewers that without you, we won't be on the air. And I spent a lot of time thanking you.
[46:11.000 --> 46:18.000]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern ball reviewers.
[46:18.000 --> 46:30.000]  But something I should spend more time on is just reminding you that these products are really amazing. You've got that pledge from me, but you've seen the third party test out there, the air filtration, the water filtration.
[46:30.000 --> 46:40.000]  The supplements are all the very best you're going to find out there. And you can't fund an operation anywhere else that's fighting the globalist this hard.
[46:40.000 --> 46:55.000]  So it's not a burden to support info wars. It really is something that is good for everybody that stands for justice and freedom and makes your life and your family's life and your children's life so much better.
[46:55.000 --> 47:10.000]  So visit infowarstore.com today.
[47:25.000 --> 47:52.000]  The chief manifestation of the death charged broadcast at the wavelength received by our electrochemical DNA is a kill transmission.
[47:52.000 --> 48:07.000]  To program our instincts against ourselves to destroy civilization and our longevity and kill our future potential. Kill, steal and destroy.
[48:07.000 --> 48:16.000]  Now, when they have movies on television on Netflix about breaking bad, that's promoting methamphetamine.
[48:16.000 --> 48:25.000]  That's been declassified that they put drugs in the movies and put out how to make it and popularize it. That's that's shadow government criminal groups.
[48:25.000 --> 48:36.000]  The major drug cartels are controlled by the globalists as well. And now they're moving into meth. So that's why you see meth were honored ads, which are hidden in plain view to openly program everyone.
[48:36.000 --> 48:39.000]  It's basically tagging your slave.
[48:39.000 --> 48:51.000]  And South Dakota wants to compete with New Mexico as the meth capital. That's like Joe Biden saying violence against women, we have to keep punching at it and punching at it and punching at it.
[48:51.000 --> 48:59.000]  You go, why would he say something obviously that's a sick pun? That's the whole point of these people. They're they're all coming out in the open.
[48:59.000 --> 49:04.000]  You think these demons can't help but just say insulting mean horrible insensitive things. That's what they do.
[49:04.000 --> 49:11.000]  And then they know that you're sensitive. They tell you what you can say and what you can think all day. And then they say that they're the arbiters of what you can say.
[49:11.000 --> 49:15.000]  It's all inversion of reality.
[49:15.000 --> 49:19.000]  So let's read this story. It's up on info wars.com.
[49:19.000 --> 49:23.000]  In the local Albuquerque newspaper, Sputnik, the evil Russians picked it up.
[49:23.000 --> 49:30.000]  U.S. girl, 10 was drug raped and dismembered, but now suspect allowed to go free.
[49:30.000 --> 49:36.000]  Mother of girl who used dating website to find men willing to sexually abuse daughter.
[49:36.000 --> 49:48.000]  While she watched in August of 2016, Victoria Martins was drugged with methamphetamine, raped, murdered and then dismembered by a group of drug addicts, including her mother.
[49:48.000 --> 49:55.000]  The shocking case is slowly proceeding through the U.S. courts, but a judge has released a key suspect.
[49:55.000 --> 50:00.000]  Legal analyst and law enforcement experts react with shock on social media.
[50:00.000 --> 50:06.000]  The judge allowed Fabian Gonzalez 34 to walk free on Wednesday, 20th of November.
[50:06.000 --> 50:11.000]  Gonzalez was one of the drug addicts who was there the night of the 23rd of August.
[50:11.000 --> 50:19.000]  When Victoria Martins who turned 10 the day before was injected with meth, raped, strangled and then dismembered in Albuquerque, New Mexico.
[50:19.000 --> 50:23.000]  And they went on to say, well, we're a sanctuary city, so we let him go.
[50:23.000 --> 50:28.000]  Just like, remember, there's a lot of these cases, but the poor woman, I forget her name.
[50:28.000 --> 50:30.000]  What was her name out in San Francisco?
[50:30.000 --> 50:32.000]  The illegal alien shot her in the back.
[50:32.000 --> 50:34.000]  And then they said, they just let him go.
[50:34.000 --> 50:35.000]  They just said, well, he's an illegal alien.
[50:35.000 --> 50:40.000]  We got a virtue signal and we're a, you forget these poor humans' names.
[50:40.000 --> 50:43.000]  But there's so many of these cases and it's something about the illegal alien.
[50:43.000 --> 50:45.000]  It's about criminals all over the world.
[50:45.000 --> 50:52.000]  They're allowed to come here, have fake names, do whatever they want and then jump back and forth across the border.
[50:52.000 --> 50:55.000]  You know, and criminals used to run from the U.S. down to Mexico.
[50:55.000 --> 50:57.000]  Mexico had a right to arrest them and ship them back, right?
[50:57.000 --> 50:58.000]  And they did.
[50:58.000 --> 50:59.000]  Let's see now.
[50:59.000 --> 51:03.000]  Oh, no.
[51:03.000 --> 51:10.000]  And that was Kate Stinell, as they pronounce it.
[51:10.000 --> 51:11.000]  The tragic accident.
[51:11.000 --> 51:12.000]  That's right.
[51:12.000 --> 51:13.000]  I guess it was an accident too.
[51:13.000 --> 51:15.000]  Justice for Victoria.
[51:15.000 --> 51:19.000]  And it goes on to the stuff they did to her for years.
[51:19.000 --> 51:26.000]  In a case that shocked residents of Kerrki, a city which became synonymous with methamphetamine after it was used as a location for TV show, Breaking Bad.
