[00:00:06.172 --> 00:00:07.074]  That's a hit.
[00:16:42.989 --> 00:16:45.010]  That's MySolarBackup.com.
[00:16:45.010 --> 00:16:53.394]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[00:16:53.394 --> 00:16:55.755]  Yours free at MySolarBackup.com.
[00:16:56.468 --> 00:17:02.830]  What if you could cut your heating bills this winter with your existing wood burning fireplace and not spend thousands doing it?
[00:17:02.830 --> 00:17:05.791]  You can with Great Wall of Fire Fireplace Grates.
[00:17:05.791 --> 00:17:06.231]  Our U.S.
[00:17:06.231 --> 00:17:14.354]  patented, made in America, wall of fire grates increase fireplace efficiency, eliminate fireplace smoke problems, and come with a 30 day money back guarantee.
[00:17:14.354 --> 00:17:18.575]  See our grates in action and get free shipping from wall of fire dot com or call 800-274-7364.
[00:17:18.575 --> 00:17:20.075]  Fireplace heat without fireplace smoke.
[00:17:20.075 --> 00:17:21.176]  Wall of fire dot com.
[00:17:29.790 --> 00:17:36.094]  Have you ever thought about turning your Glock, XD Family, or 1911 handgun into a semi-automatic carbine?
[00:17:36.094 --> 00:17:38.276]  It only takes about 30 seconds.
[00:17:38.276 --> 00:17:46.441]  The MECHTECH carbine upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[00:17:46.441 --> 00:17:49.183]  It's the world's most versatile pistol accessory.
[00:17:49.183 --> 00:17:51.145]  Build your custom upper today.
[00:17:51.145 --> 00:17:53.566]  Simply go to handgunconversion.com.
[00:17:53.566 --> 00:17:55.168]  That's handgunconversion.com.
[00:17:57.682 --> 00:18:02.548]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:18:02.548 --> 00:18:04.590]  I wanted to stop their agenda.
[00:18:04.590 --> 00:18:10.016]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:18:10.016 --> 00:18:11.138]  But we failed.
[00:18:11.138 --> 00:18:12.780]  Yes, a lot of people are awake.
[00:18:12.780 --> 00:18:14.642]  Yes, we're not getting caught flat-footed.
[00:18:14.642 --> 00:18:16.344]  But they are going ahead
[00:18:16.704 --> 00:18:20.627]  With their full operational de-industrialization, Great Reset.
[00:18:20.627 --> 00:18:29.534]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:18:29.534 --> 00:18:34.718]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[00:18:34.718 --> 00:18:37.620]  And one of the number one things to do is high-quality, storable food.
[00:18:37.620 --> 00:18:42.364]  We've got the best food ready to ship at very affordable prices at info-war-store.com.
[00:18:42.364 --> 00:18:45.887]  So whether it's a month or a six-month or a year supply or specialty diets,
[00:18:46.167 --> 00:18:47.908]  It's ready to ship right now.
[00:18:47.908 --> 00:18:52.809]  Lock your orders in before food prices go up and before there are long lines and waits.
[00:18:52.809 --> 00:18:55.150]  Because believe me, serious times are coming.
[00:18:55.150 --> 00:18:57.531]  Get ready at infowarestore.com.
[00:18:57.531 --> 00:19:02.172]  Just a week ago, we got a new shipment of Vitamin Mineral Fusion back in stock.
[00:19:02.172 --> 00:19:05.173]  And it was only half of the order we wanted to get.
[00:19:05.173 --> 00:19:10.595]  But because we won't cut corners on the quality of what goes into it, the factory can only get limited supplies.
[00:19:10.595 --> 00:19:12.556]  So again, it was half the order we wanted.
[00:19:12.756 --> 00:19:18.240]  But despite that, I'm still offering it for 33% off, so everybody on the fence will get it.
[00:19:18.240 --> 00:19:20.602]  It's critical for your immune system and your whole body.
[00:19:20.602 --> 00:19:25.806]  All the essential vitamins, all the essential minerals, and a bunch of key amino acids at infowarestore.com.
[00:19:25.806 --> 00:19:32.692]  So, while supplies last until it runs out, we're selling it for 33% off, and it'll be months until more comes in.
[00:19:33.032 --> 00:19:36.094]  So, get yours today at InfoWarsTore.com.
[00:19:36.094 --> 00:19:39.816]  Because it's not just a great product, we need those funds to keep operating as well.
[00:19:39.816 --> 00:19:41.197]  We're all in a catch-22.
[00:19:41.197 --> 00:19:49.682]  But we have another great product, Hair and Beard Formula, that's really a great multivitamin mineral system that's one of the best multivitamin mineral systems out there.
[00:19:49.682 --> 00:19:51.663]  It's just called Hair and Beard.
[00:19:51.663 --> 00:19:53.444]  So get that as well for your immune system.
[00:19:53.444 --> 00:19:56.285]  It's great for women, great for children, but it's designed for men.
[00:19:56.285 --> 00:19:57.146]  InfoWarsTore.com.
[00:20:00.143 --> 00:20:03.065]  You're listening to the Alex Jones Show.
[00:20:03.065 --> 00:20:04.066]  The answer to 1984 is 1776.
[00:20:04.066 --> 00:20:13.492]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:27.188 --> 00:20:30.671]  So, Fauci, Bill Gates, they're all on record wanting to depopulate the planet.
[00:20:30.671 --> 00:20:32.312]  So is Klaus Schwab.
[00:20:32.312 --> 00:20:34.213]  And they write books about how they're going to use a virus.
[00:20:34.213 --> 00:20:48.905]  They have Rockefeller Foundation documents that they're going to use a virus to bring in martial law, clamp down and cut off resources under a carbon regimen that's a dictatorship controlled by your smartphone that tracks everything you do, that tells you when you can go places, when you can do things.
[00:20:49.525 --> 00:20:54.250]  That's now being implemented in Europe and in the UK and in Australia particularly.
[00:20:54.250 --> 00:20:55.971]  So it's not coming.
[00:20:55.971 --> 00:20:56.972]  The denials are over.
[00:20:56.972 --> 00:20:58.113]  It's here.
[00:20:58.113 --> 00:20:59.134]  And a lot of people...
[00:21:00.267 --> 00:21:13.769]  People in the media, late-night comics that are really propagandists for the globalists, and corporate leaders, and business leaders, and religious leaders, and academic leaders are totally signing on now out of fear, not just that they want power.
[00:21:13.769 --> 00:21:16.950]  They think, well, I'll just join the system and I'll be taken care of.
[00:21:16.950 --> 00:21:21.991]  That is the course of madmen and fools that haven't studied history and who have no discernment.
[00:21:21.991 --> 00:21:26.652]  I'm going to start the clip over because I played it too late going to break, my fault.
[00:21:26.652 --> 00:21:27.252]  This is not
[00:21:28.223 --> 00:21:47.078]  Hypothetical, this is Fauci in 2012 answering questions with his partners about a new virus they created through gain-of-function research, and they told academics and journalists that it was a doomsday virus, and I have the documents I'll show you in a moment, and they try to start going, well, it didn't kill all the ferrets unless it got in their lungs, but then it did.
[00:21:47.078 --> 00:21:53.143]  And so, again, this is them creating gain-of-function, and this is Fauci who was involved in the research.
[00:21:54.184 --> 00:21:58.065]  And federal funding of it at the Biodefense 2012 Conference.
[00:21:58.065 --> 00:22:00.165]  So the fact is he lied to Congress again.
[00:22:00.165 --> 00:22:03.206]  He said we've never done gain of function, even though it's in the documents.
[00:22:03.206 --> 00:22:04.886]  Here it is.
[00:22:04.886 --> 00:22:06.666]  Bill Schultz, Chemical and Engineering News.
[00:22:06.666 --> 00:22:18.608]  Dr. Fouché, I hope I'm not misunderstanding, but you seem to be saying that the virus you created is not particularly lethal in the ferrets.
[00:22:18.608 --> 00:22:21.769]  And yet, Dr. Keim, you have said to me in a phone interview
[00:22:22.529 --> 00:22:25.112]  So I'm sure I didn't actually say that, but I have heard people call it that.
[00:22:25.112 --> 00:22:27.235]  I did not call it the doomsday virus, I should say.
[00:22:27.235 --> 00:22:27.295]  Ron?
[00:22:40.595 --> 00:22:43.316]  Well, so the virus is highly pathogenic in chickens.
[00:22:43.316 --> 00:22:49.498]  The virus is pathogenic in ferrets if you put a lot of virus straight down in the lower airways.
[00:22:49.498 --> 00:22:58.701]  But it's well recognized by everybody in the flu field that if you take H5N1 and stick it up the nose of a ferret, the ferret really only gets the flu, normal flu.
[00:22:59.501 --> 00:23:01.022]  Our virus is slightly different.
[00:23:01.022 --> 00:23:11.450]  It causes some neurovirulence, but certainly if the ferrets receive virus via aerosol ramp, we have never seen severe disease in the ferrets.
[00:23:11.450 --> 00:23:20.296]  Now, a ferret is not a human, and as Mike just pointed out, there are still serious debates about how fatal this virus is in humans.
[00:23:20.296 --> 00:23:21.718]  To just clarify a bit, without
[00:23:22.577 --> 00:23:28.863]  Predicting anything without talking about any processes that will unfold.
[00:23:28.863 --> 00:23:45.218]  To the perception of, I think, most of us in the room, there was a perception, however it got there, that, and we've seen it on television, I've seen schematic diagrams of it on television, of a ferret in one cage sneezing on a ferret in the other cage, that ferret sneezes and they all die.
[00:23:46.339 --> 00:23:48.321]  This is what Ron has just said.
[00:23:48.321 --> 00:23:49.341]  I didn't say it.
[00:23:49.341 --> 00:23:51.203]  Ron just presented that.
[00:23:51.203 --> 00:23:55.565]  That that is not what happens when a ferret sneezes on another ferret.
[00:23:55.565 --> 00:24:01.369]  The ferret gets infected, gets flu-like syndrome, doesn't get sick, recovers, and does not die.
[00:24:01.369 --> 00:24:05.052]  And I think when you talk about forgetting about any other process, just the perception
[00:24:05.652 --> 00:24:06.152]  That's out there.
[00:24:06.152 --> 00:24:07.613]  Am I correct, Ron?
[00:24:07.613 --> 00:24:11.836]  Now, if anything, our data suggests that this virus spreads poorly.
[00:24:11.836 --> 00:24:16.779]  It is aerosol transmitted, and therefore scientifically very, very interesting to study.
[00:24:16.779 --> 00:24:24.243]  But whether this virus would, if it would ever escape from a lab, would start spreading, we don't know.
[00:24:24.243 --> 00:24:28.586]  So the whole point is not that they were calling it doomsday secretly, and it did come out on the news at the time.
[00:24:28.586 --> 00:24:29.226]  I have the articles here.
[00:24:29.226 --> 00:24:29.847]  I'll show them to you.
[00:24:30.825 --> 00:24:37.008]  It's that there was a major debate internally about how dangerous this was and how it violated law and how it was true gain of function.
[00:24:37.008 --> 00:24:37.988]  See, they made it.
[00:24:37.988 --> 00:24:39.389]  They made it spread worse.
[00:24:39.389 --> 00:24:41.089]  They made it more dangerous.
[00:24:41.089 --> 00:24:42.810]  That's gain of function.
[00:24:42.810 --> 00:24:50.413]  Something getting stronger, Mike Tyson in his peak in say 1989, that's gain of function from when he was 10 years old.
[00:24:50.413 --> 00:24:53.135]  It's called gain of function.
[00:24:53.135 --> 00:24:56.236]  Hitler in 1940 was stronger than 1933 Hitler.
[00:24:56.236 --> 00:24:58.277]  It's called gain of function.
[00:24:59.500 --> 00:25:02.002]  Cancer going to your body, gain of function.
[00:25:02.002 --> 00:25:04.904]  It's getting stronger, you're getting weaker.
[00:25:04.904 --> 00:25:09.027]  So let's first look at the documents yesterday, okay?
[00:25:09.027 --> 00:25:15.432]  You can go to the Zero Hedge article, click on it and try to read 900 pages like I did last night.
[00:25:15.432 --> 00:25:18.774]  And it's all right here in the document.
[00:25:18.774 --> 00:25:26.179]  You can click on the links in the FOIA release, FAUTI-funded construction of chimeric coronaviruses in Wuhan.
[00:25:26.179 --> 00:25:26.640]  That's a quote.
[00:25:28.004 --> 00:25:35.928]  And it describes all of the five animals combining it with gain-of-function into one SARS-like coronavirus.
[00:25:35.928 --> 00:25:41.251]  Then they go on to say, that's on page 5, on page 293 of the documents.
[00:25:41.251 --> 00:25:42.452]  It's a later document.
[00:25:42.452 --> 00:25:43.913]  They admit, we have now created it.
[00:25:46.704 --> 00:25:49.188]  And here he is with Peter Daszak that ran it.
[00:25:49.188 --> 00:25:53.796]  We have video of Daszak saying they combined five viruses in 2019 successfully.
[00:25:53.796 --> 00:25:57.962]  We're building a vaccine for a new super virus they had built that had never existed.
[00:25:57.962 --> 00:25:58.964]  Just like you just heard them admit.
[00:25:59.881 --> 00:26:01.984]  And now you've all gotten to experience it.
[00:26:01.984 --> 00:26:03.485]  Yes, it was a real virus.
[00:26:03.485 --> 00:26:05.948]  Yes, it didn't spread very well.
[00:26:05.948 --> 00:26:09.032]  Now, the Delta spreads a thousand times worse.
