[00:00.000 --> 00:10.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[04:16.000 --> 04:24.000]  And it was a few months ago when even Yahoo confirmed that it came out, that they had staged a smaller chemical attack.
[04:24.000 --> 04:30.000]  But I guess only killing a few dozen people didn't cut it. And obviously, they're the prime suspects.
[04:30.000 --> 04:36.000]  They've done it before. Yeah, there it is. Flashback. Yahoo! Uncover Syrian chemical weapons false flag in January.
[04:36.000 --> 04:40.000]  Well, that was eight months ago. Man, time just flies. Print that off for me. Thank you.
[04:40.000 --> 04:47.000]  There have been three different false flags, by the way. The world was confirmed. This is the fourth.
[04:47.000 --> 04:53.000]  I mean, it might be the Syrian government. And Santa Claus might come down my chimney December 21st as well.
[04:53.000 --> 05:11.000]  Easter bunnies might, you know, come out of my, you know, what, here I'd like.
[05:23.000 --> 05:27.000]  In a limited number of parasites, it can even purify water.
[05:27.000 --> 05:32.000]  Supernatural silver comes in both liquid and gel for internal or external use.
[05:32.000 --> 05:40.000]  With over 180 scientific studies by independent universities, hospitals, research institutions and nursing homes,
[05:40.000 --> 05:44.000]  Supernatural silver is a powerful weapon in the fight against disease.
[05:44.000 --> 05:52.000]  To see how Supernatural silver can give you and your loved ones protection and peace of mind, go to supernaturalsilver.com.
[05:52.000 --> 05:57.000]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[06:22.000 --> 06:28.000]  The first reports say that President Kennedy has been seriously wounded by this shooting.
[06:28.000 --> 06:35.000]  It is a big idea. A new order.
[06:35.000 --> 06:42.000]  It was almost as if it were a planned invasion. It's just pancakes.
[06:42.000 --> 06:59.000]  Either you were with us, or you were with the terrorists.
[06:59.000 --> 07:09.000]  I also believe a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not the hands of criminals.
[07:09.000 --> 07:18.000]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[07:18.000 --> 07:22.000]  Global governance at last. Is it one world? The central bank is in charge.
[07:22.000 --> 07:26.000]  But aren't we all just living and dying for what the central banks do?
[07:26.000 --> 07:32.000]  And for me, give me liberty or give me death!
[07:32.000 --> 07:39.000]  Live from the InfoWars.com studios, it's Alex Jones.
[07:39.000 --> 07:43.000]  Ladies and gentlemen, thank you for joining us on this live Sunday edition.
[07:43.000 --> 07:48.000]  It is the 25th day of August 2013 on this Sunday broadcast.
[07:48.000 --> 07:55.000]  We're going to be here for the next two hours live as we are each and every Sunday, 4 to 6 p.m. Central Standard Time.
[07:55.000 --> 08:03.000]  That's 2 to 4 p.m. Pacific. Broadcasting across the United States on over 80 AM and FM affiliates on the Sunday broadcast.
[08:03.000 --> 08:06.000]  Over 160 on the weekday broadcasts.
[08:06.000 --> 08:08.000]  Chommel casting, of course, on XM.
[08:08.000 --> 08:13.000]  And the internet at infowars.com, prisonplanet.com.
[08:13.000 --> 08:18.000]  You can find the free audio and video streams, free podcast, free iPhone and droid apps.
[08:18.000 --> 08:26.000]  And so much more at infowars.com by clicking on the listen page or by simply going to infowars.com forward slash show.
[08:26.000 --> 08:29.000]  You'll find it all right there, including the free video feed.
[08:29.000 --> 08:35.000]  So you can actually see us here in the studio more than just a document cam, more than just a webcam.
[08:35.000 --> 08:47.000]  Full production with video clips, all the different articles, pieces of legislation, photographs, everything we cover so we can document it here on record so that people can't sit there and deny it.
[08:47.000 --> 08:50.000]  The information we're going to be covering.
[08:50.000 --> 09:02.000]  A few hours ago, I went to a restaurant at Barton Creek Mall with my mother and father, my children, and my wife after church today.
[09:02.000 --> 09:14.000]  And was, as usual, mobbed inside the restaurant and then outside the restaurant in the mall by really nice informed caring people.
[09:14.000 --> 09:30.000]  One guy was there with his girlfriend, who was a former special ops guy flying Cobra helicopters and he was talking about how many people are awake in the SF community and it's just amazing to see how many people are awake.
[09:30.000 --> 09:35.000]  I'm not starting the show as I do sometimes going, hey, you know, I'm a big deal, folks.
[09:35.000 --> 09:45.000]  I start the show sometimes pointing out how many people come up and talk to me no matter where I go, not just here, but in England or in Honduras or it doesn't matter.
[09:45.000 --> 09:53.000]  Or in Serbia for that matter, I just talked to some folks that were visiting family in Serbia and saw info horse bumper stickers and people awake there.
[09:53.000 --> 10:02.000]  The reason I bring that up to you is that if this many people are resonating with what we say and do here.
[10:02.000 --> 10:06.000]  Each and every day, that should give everybody hope.
[10:06.000 --> 10:17.000]  Because most of you out there are obviously not a libertarian or constitutionalist or pro-liberty, pro-human, pro-justice type people.
[10:17.000 --> 10:20.000]  Most of you are not prominent. Most of you are not known.
[10:20.000 --> 10:27.000]  So you don't ever get to resonate with fellow liberty lovers like I do.
[10:27.000 --> 10:30.000]  And I think that's the last domino to fall.
[10:30.000 --> 10:34.000]  Folks know that we're living under a tyranny. They know that corruption is intensifying.
[10:34.000 --> 10:39.000]  They know that powerful corporate interests are using big government to shut down their competition.
[10:39.000 --> 10:45.000]  That our enemy is crony capitalism using socialism to create a permanent peasant class.
[10:45.000 --> 10:53.000]  Folks get that, but they feel powerless or they feel like they can't do anything.
[10:53.000 --> 10:56.000]  They feel like that no one else is awake.
[10:56.000 --> 11:00.000]  And that is really the last domino to fall.
[11:00.000 --> 11:04.000]  And I had folks walking in the parking lot into the restaurant at the mall.
[11:04.000 --> 11:06.000]  California Peach Kitchen.
[11:06.000 --> 11:09.000]  And I had people in the restaurant.
[11:09.000 --> 11:14.000]  And I had people follow me out of the restaurant and people outside the restaurant inside the mall.
[11:14.000 --> 11:19.000]  And then the people as I walked back out to my car come over and they were awake.
[11:19.000 --> 11:21.000]  They were involved. They were concerned.
[11:21.000 --> 11:26.000]  They had the light of consciousness and humanity in their eyes, not the dead eyes.
[11:26.000 --> 11:31.000]  You see in so much of the zombie-like public that shuffles around like self-propelled stomachs.
[11:31.000 --> 11:36.000]  And they all ask me, what do you think we do? What's the solution?
[11:36.000 --> 11:40.000]  They're just ready for solutions.
[11:40.000 --> 11:46.000]  And the problem is there isn't some silver bullet out there, one thing we do.
[11:46.000 --> 11:51.000]  But I thought about what our solutions, and we cover a lot of solutions mixed in with the broadcast.
[11:51.000 --> 11:57.000]  I mean, the biggest part of the solution to this global tyranny is for all of us that are awake to wake others up
[11:57.000 --> 12:04.000]  and then to resist being pushed around, resist being abused, resist having our rights taken,
[12:04.000 --> 12:10.000]  become aggressive, speak out, do little things every day,
[12:10.000 --> 12:21.000]  and that will create an unstoppable organic movement in the path of which nothing can stand.
[12:21.000 --> 12:24.000]  And so that's really what it comes down to.
[12:24.000 --> 12:30.000]  But I thought I need to really brainstorm with the listeners, but with myself and the crew
[12:30.000 --> 12:38.000]  and really cogitate, really dwell on every successful thing we've done
[12:38.000 --> 12:42.000]  and every successful thing that other folks have done in other nations like Iceland,
[12:42.000 --> 12:46.000]  and you name it, that has defeated the globalist.
[12:46.000 --> 12:49.000]  But the bottom line is this.
[12:49.000 --> 12:55.000]  You've got to have a spirit of liberty to be part of the animating contest of liberty,
[12:55.000 --> 12:59.000]  as Thomas Jefferson called it, to set brush fires in the minds of men and women everywhere.
[12:59.000 --> 13:05.000]  All that evil men in tyrants need to prevail and flourish is that good men do nothing
[13:05.000 --> 13:09.000]  to again quote Thomas Jefferson to quote George Washington,
[13:09.000 --> 13:14.000]  government is like fire, a dangerous servant, a fearful master,
[13:14.000 --> 13:17.000]  and must be kept under very tight control.
[13:17.000 --> 13:20.000]  We have deserted common sense.
[13:20.000 --> 13:22.000]  We've deserted what made America so great.
[13:22.000 --> 13:26.000]  Nothing in our country's been perfect, but it's been better than all the others stacked up against it.
[13:26.000 --> 13:29.000]  It's delivered more freedom and then more wealth than anybody else,
[13:29.000 --> 13:32.000]  with only a fraction of the ideals of the founders,
[13:32.000 --> 13:37.000]  the flower of the Renaissance and the Enlightenment being expressed.
[13:37.000 --> 13:44.000]  And so if we will simply ourselves be moral, ourselves be virtuous, ourselves be strong,
[13:44.000 --> 13:46.000]  and that means aggressive.
[13:46.000 --> 13:52.000]  Being virtuous means you're focused, you're angry, you're powerful, you're going to make a stand,
[13:52.000 --> 13:56.000]  you're animated, the animating contest of liberty.
[13:56.000 --> 13:59.000]  It is a spirit, ladies and gentlemen.
[13:59.000 --> 14:03.000]  And if you have the spirit of liberty in you that comes from God,
[14:03.000 --> 14:05.000]  nothing can stand against you.
[14:05.000 --> 14:07.000]  If you're an immoral nation, you will go into bondage.
[14:07.000 --> 14:12.000]  You don't need to be a religious person or a Christian to know that's a fact of life,
[14:12.000 --> 14:17.000]  of decadence and cycles and civilizations.
[14:17.000 --> 14:22.000]  And so I want the crew to remind me of this and I want to encourage listeners as well
[14:22.000 --> 14:24.000]  when we open the phones up.
[14:24.000 --> 14:29.000]  Let's start having a solution segment every day for at least five minutes.
[14:29.000 --> 14:32.000]  And sometimes whole shows based on solutions.
[14:32.000 --> 14:36.000]  Before I come back with the incredibly off the chart, important Syrianish,
[14:36.000 --> 14:42.000]  amazing Department of Defense teaching that the founding fathers were bad to military officers.
[14:42.000 --> 14:45.000]  Yes, it's judicial watch broken, not in full wars.
[14:45.000 --> 14:47.000]  I wish this wasn't true.
[14:47.000 --> 14:50.000]  Believe me, when we break this stuff, people don't believe it.
[14:50.000 --> 14:53.000]  When it's on the federal sites, this is judicial watch.
[14:53.000 --> 14:55.000]  I'll link to it right hand side of Rogerport.com.
[14:55.000 --> 14:56.000]  Second story down.
[14:56.000 --> 14:58.000]  Last time I checked.
[14:58.000 --> 15:08.000]  But the point is, is that yes, we have a government that that teaches that George Washington's bad.
[15:08.000 --> 15:11.000]  In fact, in the article that we wrote about the judicial watch article,
[15:11.000 --> 15:12.000]  there's links to the documents.
[15:12.000 --> 15:20.000]  We actually have video of FEMA teaching police and sheriff's deputies and firemen that the founders were bad people.
[15:20.000 --> 15:24.000]  George Washington and Thomas Jefferson are listed, by the way.
[15:24.000 --> 15:28.000]  And by the way, this is not satire.
[15:28.000 --> 15:30.000]  Okay, I mean, I'm not joking.
[15:30.000 --> 15:33.000]  Okay, that's who runs the government.
[15:33.000 --> 15:34.000]  They're obviously the enemy.
[15:34.000 --> 15:37.000]  I mean, it's open and shut case right there.
[15:37.000 --> 15:39.000]  But from their perspective, people like that are bad.
[15:39.000 --> 15:40.000]  And you know what?
[15:40.000 --> 15:44.000]  If I was a tyrant, I'd be scared of George Washington, too.
[15:44.000 --> 15:49.000]  So that's why nobody teaches you about George Washington because we've read about the real George Washington.
[15:49.000 --> 15:52.000]  It's beyond any hero in a movie, folks.
[15:52.000 --> 15:57.000]  It's Tony and the Barbarian, you know, meets, I don't know who.
[15:57.000 --> 16:26.000]  We'll be right back.
[16:27.000 --> 16:34.000]  We'll be right back.
[16:57.000 --> 16:59.000]  Pre-shipping when you sign up for auto-ship.
[17:27.000 --> 17:29.000]  This is the only one that does it and out of the gates.
[17:29.000 --> 17:33.000]  We have it discounted at 10% off with promo code water.
[17:33.000 --> 17:50.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[17:50.000 --> 17:55.000]  Get your ProPure with a new ProOne filter today at infowarstore.com
[17:55.000 --> 17:59.000]  or by calling 888-253-3139.
[18:25.000 --> 18:28.000]  They keep no records of your web browsing history.
[18:28.000 --> 18:34.000]  PrivateInternetAccess.com is an American company that understands you need to protect your inalienable rights.
[18:34.000 --> 18:37.000]  Private Internet Access does not even log any of your traffic.
[18:37.000 --> 18:40.000]  Period. Privacy is their number one policy.
[18:40.000 --> 18:47.000]  You can use their service anywhere with an internet connection and with one account you can protect up to five devices at the same time.
[18:47.000 --> 18:53.000]  Go to PrivateInternetAccess.com right now in order to secure the privacy of you and your loved ones.
[18:53.000 --> 18:56.000]  Don't wait and allow you and your family to become victims.
[18:56.000 --> 18:59.000]  Visit PrivateInternetAccess.com today.
[18:59.000 --> 19:10.000]  Cal Bend Soap Company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[19:10.000 --> 19:23.000]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[19:23.000 --> 19:29.000]  Order the sampler, a one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[19:29.000 --> 19:32.000]  You're getting soap products twice as good as what you're using now.
[19:32.000 --> 19:37.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[19:37.000 --> 19:44.000]  Call 1-800-340-7091 or visit www.5starsoap.com.
[19:44.000 --> 19:49.000]  Alex and his staff have used these earth friendly pure soaps for years.
[19:49.000 --> 19:59.000]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[19:59.000 --> 20:08.000]  Coast to coast direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:30.000 --> 20:34.000]  You're listening to the Alex Jones show.
[20:34.000 --> 20:39.000]  Is Texas all that's left for the old republic?
[20:39.000 --> 20:47.000]  Stand up and be counted for what you were about to receive my friends here in the great church of Liberty.
[20:47.000 --> 20:55.000]  That's what they were calling me and on MSNBC a few weeks ago is the prophet of the dangerous libertarian tea party.
[20:55.000 --> 21:01.000]  Newsweek said the same thing. No I'm not a preacher folks. I'm somebody who's desperately trying to wake people up
[21:01.000 --> 21:06.000]  because I know how real the New World Order is and I know the fruits of it are nightmarish.
[21:06.000 --> 21:13.000]  And we're going to cover coming up in the next hour the article that's red linked up on infowars.com
[21:13.000 --> 21:22.000]  by Adon Salazar DoD training manual extremist founding fathers would not be welcome in today's military.
[21:22.000 --> 21:32.000]  By the way that's quote manual list people concerned with individual liberties states rights and how to make the world a better place as potential extremist.
[21:32.000 --> 21:40.000]  And Adon's being conservative there when he wrote this article yesterday they got picked up by Drudge and it links to judicial watch that sued to get these documents.
[21:40.000 --> 21:46.000]  Judicial watch. I want to get their director on. I used to get them on. They are just amazing folks. That is such a great news site.
[21:46.000 --> 21:58.000]  We should live on that. Live on that judicial reform site. They are the kings of suing and for your documents and anyways that's it's what the ACLU wishes they were.
[21:58.000 --> 22:08.000]  The point is it's a very small organization too. So hats off to them continuing to get those documents and hats off to drudge report.com for linking to our story.
[22:08.000 --> 22:17.000]  But you can go see it there for yourself ladies and gentlemen. And you read that because it's worse than what Adon says.
[22:17.000 --> 22:28.000]  When you actually go read the documents it actually says it's racist to say I've got the quote right here that you want to make the world a better place.
[22:28.000 --> 22:40.000]  That's a quote. That's funny. It's so absurd as they go. Now the racists don't wear white sheets. They talk about liberty and the republic.
[22:40.000 --> 22:48.000]  And they talk about states rights and freedom. And they talk about making the world a better, a better place.
[22:48.000 --> 23:00.000]  Let me find the exact place where it says that nowadays instead of dressing in sheets or publicly espousing hate messages many extremists will talk of individual liberty states rights and how to make the world a better place.
[23:00.000 --> 23:10.000]  Close quote. And by the way it's not just this DOD document. It's hundreds of FBI training flyers to police that we've gotten from our sources.
[23:10.000 --> 23:18.000]  We just put them on the FBI site. Hundreds of them. It's DOD. It's ATF. It's all written by the Southern Prairie Law Center and ADL.
[23:18.000 --> 23:30.000]  And it actually says the founding fathers were bad, America's bad. Well there's a video on there. I was sent by a firefighter in 2000.
[23:30.000 --> 23:44.000]  18 hours of it I was sent. Two days of FEMA teaching the firefighters, sheriff's deputies, police in Kansas City that the founding fathers were bad people and terrorists.
[23:44.000 --> 23:54.000]  And that they're going to have to be wiped out. People like them. I said 2000. It was actually before 9-11. It was 7-19-2001. I'm going from memory here.
[23:54.000 --> 24:02.000]  You can watch the video right now if you'd like. We're a guy, a military bearing.
[24:02.000 --> 24:12.000]  You know, a sheep dip military spec ops guy is sitting there bad-mouthing George Washington. I wonder who the traders are in this country.
[24:12.000 --> 24:26.000]  Boy, let me, 1 plus 1 equals, what's it equal? Actually now they're saying 3 times 4 in the new federal stuff out this week. They teach the kids that equals 11.
[24:26.000 --> 24:34.000]  Yeah, I mean when your government teaches those kids under federal guidelines that 3 times 4 equals 11, I'm not kidding. That's a mainline headline.
[24:34.000 --> 24:46.000]  Show folks that article. If you're watching us on TV at prisonplanet.tv or just search engine that federal curriculum teaches students that 3 times 4 equals 11.
[24:46.000 --> 24:56.000]  No, it equals tyranny. It equals mind control. And bad-mouthing the bill of rights, the Constitution equals those people need to leave this country.
[24:56.000 --> 25:07.000]  They're involved in sedition because you got free speech all day, folks. But when you try to take over the government, yes, a daily caller, Obama Math under New Common Core, 3 times 4 equals 11.
[25:07.000 --> 25:17.000]  And then they've got the training video. I just can't handle it anymore. I mean, it's like Obama last Thursday was on CNN.
[25:17.000 --> 25:22.000]  And we're going to play this clip coming up. Go ahead and cue it up. I'll get to that now and then Siri in the next segment.
[25:22.000 --> 25:32.000]  And he says, you know, the CNN reporters like, so should we have concerns? I mean, are they spying on us?
[25:32.000 --> 25:37.000]  And he goes, no, there are not even allegations that we're spying on your email.
[25:37.000 --> 25:42.000]  That's like saying there are not even allegations that Hitler had a mustache under his nose.
[25:42.000 --> 25:46.000]  There are not even allegations that the symbol of the Washington Redskins is a chief.
[25:46.000 --> 25:55.000]  They're not even allegations that seals have flippers. They're not even allegations, ladies and gentlemen, that pit bulls sometimes eat children.
[25:55.000 --> 26:02.000]  There are not even allegations that police wear blue uniforms. There are not even allegations that Niagara Falls is a waterfall.
[26:02.000 --> 26:07.000]  There are not even allegations that the most famous building in New York City is the Empire State Building.
[26:07.000 --> 26:12.000]  There are not even allegations that Barack Obama is the president of the United States.
[26:12.000 --> 26:16.000]  There are not even allegations that Austin, Texas is the capital of Texas.
[26:16.000 --> 26:21.000]  There are not even allegations that George Washington was the first president of the Republic.
[26:21.000 --> 26:25.000]  There are not even allegations that the Pentagon is shaped like a Pentagon.
[26:25.000 --> 26:29.000]  There are not even allegations that federal street signs are green and yellow.
[26:29.000 --> 26:33.000]  There are not even allegations that Washington is on the Potomac.
[26:33.000 --> 26:37.000]  There are not even allegations that the Queen of England wears a crown on top of her head.
[26:37.000 --> 26:44.000]  There are not even, ladies and gentlemen, the level of lying and talking down to you.
[26:44.000 --> 26:47.000]  Do we have that clip? Here is our leader.
[26:47.000 --> 26:53.000]  Do some of these systems end up being like a loaded gun out there that somebody at some future point could abuse?
[26:53.000 --> 26:54.000]  Oh, could abuse.
[26:54.000 --> 26:55.000]  Because of the allegations.
[26:55.000 --> 26:56.000]  Oh, I'm sorry.
[26:56.000 --> 27:04.000]  I am very confident, knowing the NSA and how they operate, that purposely somebody's out there trying to abuse this program or listen in on people's e-mail.
[27:04.000 --> 27:06.000]  You're confident in that.
[27:06.000 --> 27:14.000]  By the way, folks, it is in Reuters, AP, you name it, today, what already came out a year ago, 10 years ago.
[27:14.000 --> 27:17.000]  Hey, will you guys print me the article from Friday that we had on M4 Wars?
[27:17.000 --> 27:30.000]  The headline was NSA Exposed in 1986, I think it was, and it showed the Washington Post article under it where they exposed how everything was being recorded and how it had been set up and everything.
[27:30.000 --> 27:40.000]  I mean, this is literally when we have debates about this, like saying there's not even an allegation that the sky's blue, you know, or that clouds have rain in them.
[27:40.000 --> 27:46.000]  I mean, it's just, I mean, at a certain point, it is a conspiracy theory if you know how to tire shoelaces.
[27:46.000 --> 27:58.000]  I've realized that that's all demonizing us is, is a cop out on thinking people, shallow, lazy, dumb people that want to shuffle around in their evening slippers at the mall.
[27:58.000 --> 28:13.000]  You know, weighing 700 pounds, living on welfare, they want to point their finger at those of us that produced and built this country and who know what we're talking about and just say, oh, you're using big words and things about history.
[28:13.000 --> 28:14.000]  I feel inadequate.
[28:14.000 --> 28:17.000]  I'm going to laugh at you and call you a conspiracy theorist.
[28:17.000 --> 28:18.000]  Okay, you're right.
[28:18.000 --> 28:20.000]  I'm a conspiracy theorist.
[28:20.000 --> 28:23.000]  Obama is not lying to us, ladies and gentlemen.
[28:23.000 --> 28:25.000]  There's not even allegations.
[28:25.000 --> 28:31.000]  No, you're right. There aren't allegations, which implies that no one's even saying we're spying on you.
[28:31.000 --> 28:37.000]  It came out that the NSA is spying on their boyfriends and girlfriends and harassing people.
[28:37.000 --> 28:38.000]  That's mainstream news today.
[28:38.000 --> 28:46.000]  The NSA admits it's been illegal and is asking Congress to come in and take them over because they don't want to do illegal things.
[28:46.000 --> 28:52.000]  But, but, but, but it doesn't exist.
[28:52.000 --> 28:54.000]  The NSA doesn't even exist.
[28:54.000 --> 28:56.000]  I remember hearing that back in the mid 90s.
[28:56.000 --> 29:00.000]  We'll be back. I'm going to get into the huge news on Syria. Stay with us.
[29:00.000 --> 29:03.000]  Protecting your home with a security system is a must.
[29:03.000 --> 29:09.000]  But when it comes to protecting your family, your home and belongings, there's no need to sign the long term contract.
[29:09.000 --> 29:18.000]  Listen, there is some real scum in the alarm business cashing in by locking you into long punishing contracts, not with simply safe home security.
[29:18.000 --> 29:20.000]  They're the good guys.
[29:20.000 --> 29:23.000]  You can trust simply safe to protect your family.
[29:23.000 --> 29:27.000]  Simply safe was created by a Harvard Business School engineer and it's revolutionary.
[29:27.000 --> 29:31.000]  You'll get 24 hour protection for just $14.99 a month.
[29:31.000 --> 29:34.000]  There are no hidden fees and no contracts.
[29:34.000 --> 29:38.000]  You'll save thousands, plus you're protected by their 100% money back guarantee.
[29:38.000 --> 29:42.000]  Protect yourself against home invasions and break-ins.
[29:42.000 --> 29:48.000]  Order your simply safe system now and receive a wireless key chain remote, a $25 gift, free.
[29:48.000 --> 29:51.000]  So don't waste your time dealing with scum.
[29:51.000 --> 29:58.000]  Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[30:21.000 --> 30:24.000]  You can all pitch in to take care of those who really can't.
[30:24.000 --> 30:32.000]  The new Justin Case Pack from eFoodsDirect is the big brother to the seven day emergency pack designed for Oklahoma disaster donations.
[30:32.000 --> 30:39.000]  It contains a two month supply for one person or a one month supply for two adults or a two week supply for a family of four.
[30:39.000 --> 30:43.000]  The $320 price is $50 less than retail.
[30:43.000 --> 30:49.000]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[30:49.000 --> 30:52.000]  Order two or more, get 10% off, free shipping applies.
[30:52.000 --> 31:20.000]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[31:23.000 --> 31:27.000]  All of this has been engineered by design.
[31:27.000 --> 31:33.000]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[31:33.000 --> 31:36.000]  To learn more visit infowarshealth.com.
[31:36.000 --> 31:43.000]  The site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma.
[31:43.000 --> 31:51.000]  The fight against the new world order starts with you and you can't stand against the machine of your sick, tired and obese when you visit infowarshealth.com.
[31:51.000 --> 31:59.000]  Be sure and check out the catalog with nearly 400 life changing products and get free shipping when you sign up for auto ship.
[31:59.000 --> 32:03.000]  Are we choosing our own destiny or has it been pre-selected for us?
[32:03.000 --> 32:08.000]  As we've moved through history, every great leader has had to understand the potential of information.
[32:08.000 --> 32:16.000]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[32:16.000 --> 32:25.000]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[32:25.000 --> 32:32.000]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[32:32.000 --> 32:35.000]  All of this is happening so fast you need to be ahead of the game.
[32:35.000 --> 32:42.000]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[32:42.000 --> 32:46.000]  All of another one, another plane, just say it!
[33:13.000 --> 33:17.000]  Big Brother
[33:17.000 --> 33:20.000]  Mainstream media
[33:20.000 --> 33:23.000]  Government cover-ups
[33:23.000 --> 33:25.000]  You want answers?
[33:25.000 --> 33:27.000]  Well, so does he.
[33:27.000 --> 33:34.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[33:34.000 --> 33:37.000]  We're live, folks!
[33:37.000 --> 33:41.000]  We had open phones for the entire two hours last Sunday.
[33:41.000 --> 33:46.000]  I'll probably give the number out later in the next hour.
[33:46.000 --> 33:50.000]  I've just got so much news I've absolutely got to get to, but I do want to go to your calls.
[33:50.000 --> 33:52.000]  We take a lot of calls also, of course.
[33:52.000 --> 33:56.000]  On the weekday broadcast, 11am to 2pm central, 12 noon to 3pm eastern,
[33:56.000 --> 34:03.000]  find all the showtimes, listing, info, and more, and find out about the Info Wars Nightly News at prisonplanet.tv,
[34:03.000 --> 34:13.000]  prisonplanet.com, and infowars.com, follow us on Twitter at realalexjones, and you can also find our Facebook and things there on the site as well.
[34:13.000 --> 34:15.000]  Well, where to start here?
[34:15.000 --> 34:21.000]  Because I've already gone off into the NSA, so I think I should just go over some of the headlines on that since I mentioned it.
[34:21.000 --> 34:23.000]  The NSA bugged the UN headquarters.
[34:23.000 --> 34:25.000]  That's out today.
