[00:00.000 --> 00:08.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[05:50.000 --> 05:55.000]  That's falltruckloadsale.com. Generate your own supply of electricity.
[05:55.000 --> 06:16.000]  Go to falltruckloadsale.com. That's falltruckloadsale.com.
[06:16.000 --> 06:27.000]  Okay, he is joining us from the road via cell phones, so if he cuts out he'll call us right back. Congressman Ron Paul, he's been a busy man out there speaking to millions of young people around the country.
[06:27.000 --> 06:34.000]  And we're doing a great job exposing collectivism and the path this country is going on.
[06:34.000 --> 06:42.000]  And on this Friday edition, a few days after the election, we have a couple of minutes here, 30 minutes or so, with Congressman Ron Paul.
[06:42.000 --> 06:51.000]  Congressman, I don't know how you do it, holding up under something that a young man couldn't do, but great job getting the message of liberty out there in the campaign.
[06:51.000 --> 06:56.000]  Well, it's been a lot of fun and tedious and of course at times frustrating.
[06:56.000 --> 07:05.000]  But what really gets me going or keeps me going is what everybody knows is that I have identified with a lot of young people as you have.
[07:05.000 --> 07:16.000]  You know, I'm going to the campuses and that's why I've never dwelled on DC. DC is important, but DC is a reflection of what the next generation is going to be thinking about and realizing.
[07:16.000 --> 07:20.000]  So that's where I'm optimistic. Washington is the biggest messes ever.
[07:20.000 --> 07:32.000]  But there's reason to believe that all the freedom organizations in your radio show, we're all making some progress and more in the last five years than we did probably in the previous 20 years.
[07:32.000 --> 07:38.000]  I don't so much see it as a mandate for collectivism that Obama got reelected.
[07:38.000 --> 07:47.000]  I see it as a mandate that people have been dumbed down and that Romney wasn't really somebody who was really speaking out against Obama.
[07:47.000 --> 07:56.000]  But when you make the statement, Congressman, that the U.S. election shows were far gone, can you elaborate on that?
[07:56.000 --> 08:07.000]  Well, yes, the subject comes up because the big talk now is the fiscal cliff. And in many ways, I work on the assumption that we've sort of gone off the cliff.
[08:07.000 --> 08:12.000]  Nobody realizes because we haven't hit the bottom and we don't know what the ramifications are.
[08:12.000 --> 08:23.000]  But in the election, what I was thinking about that time was that one of the things that Obama was able to do was play on fear, fear of those people.
[08:23.000 --> 08:31.000]  You know, in a Rust Belt, who are used to artificially high wages and jobs and bailouts, and he played on that.
[08:31.000 --> 08:41.000]  So in many ways, it was those individuals in Ohio and Michigan and Wisconsin are saying, hey, you protect me, take care of me, make sure my checks are coming.
[08:41.000 --> 08:45.000]  And I said it's not a whole lot different than the way they line up on the streets in Greece.
[08:45.000 --> 08:49.000]  You know, don't cut anything and the people who are on the dole want it.
[08:49.000 --> 08:54.000]  So in that way, that side of the argument won.
[08:54.000 --> 09:08.000]  But I'm not as down on what happened in the election because 12 million decided not to bother, which isn't all that bad, you know, because they decided they looked at Romney and they looked at Obama.
[09:08.000 --> 09:13.000]  He says it's not worth the effort and they know this whole system is rigged against us if we try a third party.
[09:13.000 --> 09:15.000]  So they just sit the heck with it.
[09:15.000 --> 09:22.000]  But I think those are our supporters. I mean, I think those are the people who probably listen to you and pay attention to me.
[09:22.000 --> 09:27.000]  But they know that, you know, the current system isn't working.
[09:27.000 --> 09:40.000]  But I think with the majority, there's no doubt in my mind, if you take people who have dropped out a while ago or dropping out now and not enthusiastic, wouldn't vote for either of them, I think they're listening more to what we're saying.
[09:40.000 --> 09:57.000]  That was my next question. I saw some of the breakdowns in areas of Florida and other places where there were massively less Republican voters just not voting this time around than voted four years ago with McCain and Obama.
[09:57.000 --> 10:10.000]  And I looked at the numbers and the demographics. I think you're alluding to this. I'd like you to expand on it, Congressman. Congressman Ron Paul joins us if you just tuned in live here on this Friday edition, that it is the Ron Paul Libertarian Constitutional
[10:10.000 --> 10:21.000]  True America group that was snubbed and demonized and attacked and drummed out by the Rockefeller Blue Blood Republicans that just didn't vote.
[10:21.000 --> 10:28.000]  I mean, I know that I ended up not voting because of that. Richard Reeves, one of my crew members who was one of your delegates, he ended up not doing that.
[10:28.000 --> 10:37.000]  Most Republicans and conservatives and libertarians I talked to just said, hey, let Obama come in and bring in total communism. Let's let everybody really see what this is like.
[10:37.000 --> 10:53.000]  We know more of these fake Republicans who are basically exactly the same Republican and name only counterfeit conservatives. I mean, what I'm hearing is people are voting by buying four or five million guns a month and they're done.
[10:53.000 --> 11:08.000]  Now, people are humping down and they realize this. And the big question, the big job we had is when the major crisis is the really big one is, you know, there will be a revamping.
[11:08.000 --> 11:19.000]  There's always a restoration of a currency that people can at least trust for a while or told to trust it. And they have to have restored confidence in a government.
[11:19.000 --> 11:29.000]  And right now, though, the contest is between us who would like very limited federal government and a lot of self government versus those who want to march onward.
[11:29.000 --> 11:51.000]  See, I don't usually use word carelessly but onto a form of, you know, just socialism. But it's a form of socialism that's called fascism. And that's what, why I dread the combination of big government, big corporations.
[11:51.000 --> 12:02.000]  The Goldman Sachs and the banking industry. That's who's been in charge and they're going to hang on tenaciously. So our challenge is very great.
[12:02.000 --> 12:19.000]  But our numbers are growing by leaps and bounds and people, because of the crisis, they're looking elsewhere because they know that the economic policy of Keynesian and the inflation of the Fed, they're not, you know, confident that they can do it again.
[12:19.000 --> 12:29.000]  But when these changes occur, if national socialism is defeated, they have no trouble becoming communists.
[12:29.000 --> 12:45.000]  And the communists in Russia, KGB, became sort of, you know, corporates. You know, all of a sudden, it was amazing to be in five years that you had these billionaires and then I found out that it was the KGB that ended up opening most of the big businesses.
[12:45.000 --> 12:56.000]  They did have more of a market economy and you can't complain about the Soviets falling apart. But really, many of the same people stayed in charge. So they're very flexible. They want power and money and control.
[12:56.000 --> 12:59.000]  And what they call it is secondary to that.
[12:59.000 --> 13:11.000]  Sure. And again, the proper definition of Obamunism, which I hope everybody adopts, is the high tax big government economic growth killing centrally planned economic regime favor by Barack Hussein Obama.
[13:11.000 --> 13:22.000]  Essentially the same as communism and socialism. And I mean, if this isn't Obamunism, I don't know what is congressman when you talk about we're already over the cliff.
[13:22.000 --> 13:34.000]  When you talk about, you know, we are basically far gone. That's not negativity. That's that's historically being being accurate in my well research view.
[13:34.000 --> 13:47.000]  But can you flesh it out? You know, you talked a few years ago about something big is coming. Break down where we're going because I've seen numbers even in the Wall Street Journal that are per capita government debt, individual debt is far above Greece's even.
[13:47.000 --> 13:57.000]  And so how you expect historically you've predicted so much of this, what you expect to now unfold as we see the economy imploding just days after Obama gets back in.
[13:57.000 --> 14:08.000]  I was always impressed with talking with the young people on the campuses and telling them how bad I see things. And then the comments afterwards when we talk to them, they say, you're the only one who gives me hope.
[14:08.000 --> 14:17.000]  And they come across very optimistic. And I think knowing the truth and what to do and offering them something else is a reason for optimism.
[14:17.000 --> 14:32.000]  But my point about us being over the cliff means that I don't work on the assumption that all of a sudden there's going to be an agreement in December or January and they're going to solve spending and deficit problems in the entire.
[14:32.000 --> 14:42.000]  That's not going to happen. So we're over the cliff in that sense. And we're falling off. We just don't know the entire consequences of this.
[14:42.000 --> 14:55.000]  So I see the consequence being that there will be more and more debt and more and more inflation. The money will finally come out and start beating up the price of even more stuff.
[14:55.000 --> 15:04.000]  And today I wrote a little thing commenting on the Germans wanting to get their gold holdings out of the Fed holdings up in New York.
[15:04.000 --> 15:16.000]  And I said, maybe this is the crack in the themes where they're losing confidence of the supremacy of the dollar as well as the supremacy of our political system.
[15:16.000 --> 15:31.000]  You know, we went through depressions, we went through world wars, and we always came out on top. You know, people said, and even now, I mean, we're still on top in the sense that when they have a crisis day in the market,
[15:31.000 --> 15:41.000]  people will still buy those stupid government bonds, you know, because they don't know where else to go. But I think this idea that the Germans are saying, hey, do you really have our gold?
[15:41.000 --> 15:49.000]  And what if they find out there's gold, isn't there? What if they decide to go along with our concerns and check and tell us where our gold is as well?
[15:49.000 --> 15:51.000]  Let's go.
[16:20.000 --> 16:26.000]  A powerful new silver solution that is several hundred times more effective than colloidal or ionic silvers.
[16:26.000 --> 16:31.000]  Supernatural silver can be taken daily for prevention and will not create resistant bacteria.
[16:31.000 --> 16:41.000]  It is non-toxic and is proven to be effective against many of the most serious diseases out there today, such as resistant staph, strep, pneumonia, viruses and flus.
[16:41.000 --> 16:49.000]  Supernatural silver is a safe and effective way to fight pathogens where antibiotics and other drugs fail. Have it on hand for any emergency.
[16:49.000 --> 17:11.000]  Go to www.supernaturalsilver.com today and use the promo code AlexSays for 20% off and like us on Facebook.
[17:19.000 --> 17:25.000]  E-FoodsDirect is preparing for the shortages and you had better do the same. I can warn you, but I can't feed you.
[17:25.000 --> 17:32.000]  You know that E-Foods is the best tasting and safest food on the planet. We all need a bunch of storable and usable food from E-FoodsDirect.
[17:32.000 --> 17:36.000]  None of us wants to be standing in a bread line trading our freedom for food.
[17:36.000 --> 17:41.000]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts.
[17:41.000 --> 17:49.000]  Call 800-409-5633 or E-FoodsDirect.com slash Alex. How will you bet your life?
[17:49.000 --> 17:59.000]  Call 800-409-5633 or E-FoodsDirect.com slash Alex. Would you rather prepare six months too early or one day too late?
[17:59.000 --> 18:06.000]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard?
[18:06.000 --> 18:13.000]  Renowned author and expert Joel Scowzen. The U.S. isn't building huge underground bases and bunkers because of some terrorist threat.
[18:13.000 --> 18:18.000]  They know that a massive nuclear attack is coming. They want that attack to come.
[18:18.000 --> 18:24.000]  Joel Scowzen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[18:24.000 --> 18:32.000]  What I tell people is that you do have time. We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[18:32.000 --> 18:40.000]  My personal experience about being in every one of these states, most people wanting to be ready won't be able to get out of town because there will be absolute panic.
[18:40.000 --> 18:50.000]  There is no preparedness without strategy. This Christmas give the gift of preparedness. Strategic relocation film with Joel Scowzen and Alex Jones.
[18:50.000 --> 19:02.000]  Available only at infowarsofshop.com or by calling 888-253-3139.
[19:21.000 --> 19:29.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[19:29.000 --> 19:35.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[19:35.000 --> 19:42.000]  Or save big with a one to two year supply of soaps for all your cleaning needs. This is an amazing deal.
[19:42.000 --> 19:47.000]  You can save thousands of dollars and you will love the way real soap makes you feel.
[19:47.000 --> 19:55.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[20:17.000 --> 20:45.000]  What do you expect Obama to do now that he's got four more years in his victory speech?
[20:45.000 --> 20:51.000]  He talked about how we're a collective or not individuals. Very creepy kind of you didn't build it statements again.
[20:51.000 --> 20:57.000]  He's got constituents literally that just beg incoherently for their free Obama phones. I'm not trying to be mean.
[20:57.000 --> 21:05.000]  It's just very, very Sabbath dependency does to people. And now they are just racing ahead saying you in a gun treaty.
[21:05.000 --> 21:12.000]  And now Dianne Feinstein on record says she physically wants California style, not just a ban on sale of semi-autos.
[21:12.000 --> 21:19.000]  They want you to turn them in. I mean that could cause a civil war, Congressman. People are not turning their guns in.
[21:19.000 --> 21:27.000]  That's right. And you know, politically they do it back off on that. You know, in the last several presidential elections,
[21:27.000 --> 21:36.000]  even this one, Obama didn't campaign on stricter gun control. That doesn't mean he won't work for him, but he knows politically it's not popular.
[21:36.000 --> 21:44.000]  And I think those are the, you know, drawing the lines in the sand. If they knock on the door, they want your gold.
[21:44.000 --> 21:51.000]  Once you're done, I don't think people are going to give them up. But that doesn't put them out of business to harass us.
[21:51.000 --> 22:00.000]  They're going to maybe put more limits on buying ammunition, you know, more taxes on it.
[22:00.000 --> 22:08.000]  They're going to make it more difficult for you to sell your gold or use your gold and maybe have 50%, 70% tax on your gold.
[22:08.000 --> 22:16.000]  And they will do this, but that'll just drive the underground economy, you know, to a much greater height.
[22:16.000 --> 22:22.000]  But now they're going to, they will continue to do that. So I don't know how this treaty will pay them out.
[22:22.000 --> 22:29.000]  I keep always wanting to be, you know, a bit optimistic and say, they can possibly do that. That's going against the grain.
[22:29.000 --> 22:36.000]  So once again, it's going to be up to us to reach people and not reach our hardcore friends.
[22:36.000 --> 22:44.000]  I mean, that's why we have to reach out to a new audience as well and say that they have to join us in these efforts.
[22:44.000 --> 22:52.000]  And I'm hopeful for that because we do have the internet, you know, and I know they're trying to attack us there,
[22:52.000 --> 23:05.000]  but we're still able to get more information right now. We're, we're riding high on our internet abilities compared to the three major new TV right now.
[23:05.000 --> 23:13.000]  Absolutely. Are you concerned about the internet kill switch, cyber security and all these calls to reinstate the fairness doctrine for talk radio?
[23:13.000 --> 23:25.000]  Yeah, I am concerned, but I also hope that technology is so big and so broad that, you know, the private market, as they would overcome any obstacles.
[23:25.000 --> 23:34.000]  So, and I don't understand exactly how all that works, but I hope I'm not naive to think that people can, you know, develop their own protection.
[23:34.000 --> 23:44.000]  But ultimately, the only thing that counts with its guns, their goals with the internet or war is to awaken the people to saying we're not going to put up with this.
[23:44.000 --> 23:46.000]  Governments reflect the people.
[23:46.000 --> 23:52.000]  Sure, expanding on that in the limited time we have left going to move quick now, Congressman, because I want to get to several other points here.
[23:52.000 --> 23:59.000]  I'm very glad to see that you've taken back over campaign for liberty now that you're not running for president and about to finish up there with Congress.
[23:59.000 --> 24:08.000]  So congratulations on that. Very exciting to see you in there because I know you know like nobody else can drive it right with all the grassroots.
[24:08.000 --> 24:17.000]  What do you make of the Republicans in this new spin that Republicans need to get more socialistic and become the Democratic Party to win?
[24:17.000 --> 24:24.000]  When the reason the Republicans have lost in my view is that they've gotten so unconstitutional, people are just standing down.
[24:24.000 --> 24:32.000]  That's what the numbers show. What's your take on this talking point we're seeing that Republicans should just adopt Mao Zedong's views?
[24:32.000 --> 24:40.000]  Yeah, it's just diversion because from where we are in this country today and when we look at our political system, we only have one party.
[24:40.000 --> 24:44.000]  So we're already there. It's just tone and rhetoric is slightly different.
[24:44.000 --> 24:50.000]  So yeah, they may move a little bit in that direction and what they say has nothing much to do with what they do.
[24:50.000 --> 24:55.000]  And that's why we have to watch what they do and where they go.
[24:55.000 --> 25:00.000]  But going in that direction, of course, would be the obviously wrong thing.
[25:00.000 --> 25:09.000]  And I think it's becoming more clear because we don't know the exact numbers of support that we had in the campaign, but it's bigger than they gave us credit for.
[25:09.000 --> 25:17.000]  And I keep thinking of those 12 million that refuse to vote, some of them, maybe a large number of those are sympathetic to us.
[25:17.000 --> 25:29.000]  So therefore, our numbers outside are significant and I still work on the assumption that it is that attitude that eventually prevails.
[25:29.000 --> 25:38.000]  I mean, when the attitude is changed in the Soviet system, communism fell apart because it had no strength left and the people no longer supported it.
[25:38.000 --> 25:42.000]  Absolutely. They can only steal from one group to give it to the other.
[25:42.000 --> 25:48.000]  And as it gets clearer and clearer that big government doesn't work, it'll finally implode. That's what we just got to keep working, keep getting the word out.
[25:48.000 --> 25:56.000]  Congressman, is it time for people to apologize to you and my shelf and others for talking about the Bilderberg group and the Davos New World Order crowd?
[25:56.000 --> 26:03.000]  Because now in the Financial Times of London, Reuters, AP, they say there is a global government, technocrats, mega bankers.
[26:03.000 --> 26:09.000]  They're going to run the countries. They're going to appoint the leaders. They're going to get us at a fiscal cliff, hold us hostage.
[26:09.000 --> 26:17.000]  I want to play you a brief clip here from the Kudlow Report where they announced we're slaves to international bankers. Here's that clip, Congressman Paul.
[26:17.000 --> 26:20.000]  So mostly what they do is hold summits?
[26:20.000 --> 26:27.000]  I think that right now the question is, do we all work for central bankers? That's what I want to address to our guests tonight.
[26:27.000 --> 26:37.000]  Is this global governance at last? Is it one world, the central bankers in charge? Jim Miorio, you say we've got some downside here, a correction in the markets.
[26:37.000 --> 26:50.000]  That's fine. But aren't we all just living and dying for what the central banks do? Aren't we all just counting on the fact that there's a Bernanke put and that we won't go any lower than, say, 5% down from here?
[26:50.000 --> 26:51.000]  Of course we are.
[26:51.000 --> 26:52.000]  Let's stop there.
[26:52.000 --> 26:56.000]  And then all four guests agree we're under world government. They're bragging we're under world government.
[26:56.000 --> 27:03.000]  But then I hear we're not supposed to talk about it, Congressman. Isn't this our strength and not our weakness that we've been right about this?
[27:03.000 --> 27:07.000]  Instead now we're being told we should not talk about this?
[27:07.000 --> 27:13.000]  Well, obviously we should talk about it. The fact that they don't want us to means that we really have to talk about it.
[27:13.000 --> 27:18.000]  I've written a speech at, hopefully I get enough time to give them a house floor, a farewell speech.
[27:18.000 --> 27:24.000]  And I listed five major problems that we face. And one of those five is international government.
[27:24.000 --> 27:37.000]  The fact that it's the UN, WTO, IMF, and the World Bank taking over deciding when we go to war and how to deal with trade war, those are the whole works.
[27:37.000 --> 27:44.000]  So I would say giving up of our national sovereignty is bad enough that we've given up individuals and state sovereignty to our federal government.
[27:44.000 --> 27:48.000]  But I see them giving up of our national sovereignty to internationalism.
[27:48.000 --> 27:57.000]  And they claim, well, they need to WTO to have free trade. They need to WTO to protect the powerful trading special interests of the internationalists.
[27:57.000 --> 28:07.000]  So yes, that is a big issue. But don't hold your breath on getting your apology because I don't think Chris Mathews is going to call you or Rush Limbaugh is going to call you in the next week or two.
[28:07.000 --> 28:08.000]  Absolutely.
[28:08.000 --> 28:12.000]  Well, we only got a minute and a half left. Congressman, I hope you can come back again soon. I don't want to kill you.
[28:12.000 --> 28:18.000]  Literally, you're making your work so hard. But thank you so much for coming on the broadcast in closing.
[28:18.000 --> 28:32.000]  We just want to thank you for all you've done. And can you talk about also the vindication that they now admit all over the news, LA Times, you name it, that Al Qaeda was put in by the UN and NATO and our government in Libya now in Syria.
[28:32.000 --> 28:38.000]  We'll fade the music down for a moment. And it's now blowing back on us again. Your comment on that.
[28:38.000 --> 28:47.000]  Well, I shouldn't surprise any of us because I think when that started just at the very beginning, I made some projections on that.
[28:47.000 --> 28:57.000]  And before you knew it, the weapons and the support we were given to certain groups were turned against us. But I don't have to be a genius. You don't have to be a genius to figure out.
[28:57.000 --> 29:00.000]  Very well said, Congressman.
[29:00.000 --> 29:14.000]  Millions of people are going to get sick this winter from cold slews and other illnesses. Make sure you're not one of them. Supernatural silver is a new technology that is highly effective against the germs, bacteria and fungus that can breed in your chest, throat and sinuses.
[29:14.000 --> 29:26.000]  Kill off these germs and allow your immune system to become stronger with supernatural silver, a powerful new silver solution that is several hundred times more effective than colloidal or ionic silvers.
[29:26.000 --> 29:42.000]  Supernatural silver can be taken daily for prevention and will not create resistant bacteria. It is non-toxic and is proven to be effective against many of the most serious diseases out there today, such as resistant staph, strep, pneumonia, viruses and flus.
[29:42.000 --> 30:01.000]  Supernatural silver is a safe and effective way to fight pathogens where antibiotics and other drugs fail. Have it on hand for any emergency. Go to www.supernaturalsilver.com today and use the promo code AlexSays for 20% off and like us on Facebook.
[30:01.000 --> 30:15.000]  We just had a terrible storm in the east, but we are all still in the eye of the perfect storm. We have the most devastating economic conditions since the Great Depression. America's worst drought in agricultural history and what about the presidential election?
[30:15.000 --> 30:25.000]  This perfect storm is a huge threat to everyone's food supply. E-Foods Direct is preparing for the shortages and you had better do the same. I can warn you, but I can't feed you.
[30:25.000 --> 30:36.000]  You know that E-Foods is the best tasting and safest food on the planet. We all need a bunch of storable and usable food from E-Foods Direct. None of us wants to be standing in a bread line trading our freedom for food.
[30:36.000 --> 30:59.000]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts. Call 800-409-5633 or E-FoodsDirect.com slash Alex. How will you bet your life? Call 800-409-5633 or E-FoodsDirect.com slash Alex. Would you rather prepare six months too early or one day too late?
[30:59.000 --> 31:14.000]  If you want an American company with American products made by Americans, here is the Cal Bend Soap Company. Alex and his staff have used these pure soap products for years.
[31:14.000 --> 31:29.000]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe. See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[31:29.000 --> 31:47.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now or save big with a one to two year supply of soaps for all your cleaning needs. This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[31:47.000 --> 31:59.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[32:17.000 --> 32:33.000]  They are silver and pregnated to prevent bacterial growth. There's no priming required. It's NSF-42 certified. Optional fluoride filters can reduce fluoride up to 95%. Easy to set up and use. Doesn't require electricity. Purify water from lake streams, ponds and wells.
[32:33.000 --> 32:48.000]  This filter system leaves in beneficial minerals, which is key. Save money by not buying bottled water and avoid BPA that leaches from the plastic. Propure is the best gravity-fed filter out there. It's what my family uses. Infowars.com already has the lowest price on Propure.
[32:48.000 --> 33:04.000]  But if you add the promo code WATER at checkout, you get an additional 10% off and Infowars.com. You can also call to order 888-253-3139.
[33:18.000 --> 33:27.000]  My eyes are blind, but I can see.
[33:48.000 --> 34:11.000]  I just flew in from Munich two days ago and I want to let you know that in Germany and in Ireland, everyone has been telling me, when you talk to Alex, tell them what great fans we are.
[34:11.000 --> 34:21.000]  Well, very humbling. I want to say hi to the hundreds of thousands of people that are tuning in one way or another right now just to this special internet transmission.
[34:21.000 --> 34:28.000]  So thank you Gerald and say that I'd love to drink a pint with all those great men and women there in the background.
[34:28.000 --> 34:36.000]  He said he would love to have a pint with all of you great men and women over there in the background.
[34:36.000 --> 34:45.000]  Oh man, I'm glad we decided to do this. Where do you see things going now here in the West with some of the developments in the economy militarily?
[34:45.000 --> 34:57.000]  Hillary is now saying in the news today that we've got to go into Syria because Al Qaeda is there. And the media doesn't say wait, the State Department and NATO put them there.
[34:57.000 --> 35:07.000]  I mean, things have reached an absurdist level that I can't even believe now. I mean, it's really entering cuckoo for Cocoa Puffs zone.
[35:07.000 --> 35:17.000]  Let's talk about the wars first of all. What's not making the news much is China and Japan going at it, thanks to the United States.
[35:17.000 --> 35:27.000]  You remember what I said, how you keep playing back, great depression, currency wars, trade wars, world war. The trade wars are heating up.
[35:27.000 --> 35:35.000]  The United States lost in Afghanistan. They lost in Iraq. They're stabilizing now Syria. They've already destroyed Libya.
[35:35.000 --> 35:42.000]  They're moving wars now into Mali and North Africa. And now they're refocusing into Southeast Asia.
[35:42.000 --> 35:53.000]  And now China and Japan are heating up. The world is heading to war. Again, this is the global age. Everything is moving in this direction.
[35:53.000 --> 36:03.000]  People are hooked on there. I listen. I that iPad. I, you know, everything they have in their hand. They can't vote.
[36:03.000 --> 36:14.000]  You know, let's make this real. And again, at full transparency, total transparency for everyone to monitor it because the numbers don't lie.
[36:14.000 --> 36:22.000]  The liars lie. The whole game is rigged. They, as I said, they rob our money. They rob us of our lives.
[36:22.000 --> 36:33.000]  And now the great United States of America, these BS artists that are always talking about exporting democracy, you don't even have it at home.
