[00:00.000 --> 00:01.400]  We've got it, Douga.
[03:08.800 --> 03:17.800]  Well, the new clip of Bill Maher saying, hey, if you don't vote for Barack Obama white people,
[03:17.800 --> 03:19.800]  black people are going to come and attack you.
[03:19.800 --> 03:21.800]  And it's real cute and it's real funny.
[03:21.800 --> 03:26.800]  Making it racist if you don't vote for Barack Obama.
[03:26.800 --> 03:27.800]  Just amazing.
[03:27.800 --> 03:32.800]  It was white people in massive record numbers voting for Obama that put him in office.
[03:32.800 --> 03:33.800]  And that was a fair election.
[03:33.800 --> 03:36.800]  It was somewhat of a landslide.
[03:36.800 --> 03:38.800]  We monitored it.
[03:38.800 --> 03:43.800]  No need for the power structure to use a lot of fraud there because who they wanted got in.
[03:43.800 --> 03:45.800]  And so, oh, you've chosen who we want.
[03:45.800 --> 03:46.800]  Well, that's okay.
[03:46.800 --> 03:47.800]  And again, McCain wasn't good either.
[03:47.800 --> 03:49.800]  He was a placeholder.
[03:49.800 --> 03:54.800]  Like somebody in a professional boxing match run by the mafia where there's a guy who's going to win
[03:54.800 --> 03:58.800]  and there's a guy that gets in there and takes a dive.
[03:58.800 --> 04:03.800]  John McCain is basically a Democrat posing as a Republican.
[04:03.800 --> 04:06.800]  And the Republicans are globalist posing as Republicans.
[04:06.800 --> 04:09.800]  So we're in deep trouble either way.
[04:09.800 --> 04:18.800]  But in my gut and also intellectually, I know that we're going to be facing more trouble probably from Barack Obama.
[04:18.800 --> 04:20.800]  I'll also be honest with you.
[04:20.800 --> 04:24.800]  And I've talked to a lot of big talk show hosts and other people off record,
[04:24.800 --> 04:31.800]  at least in the short term, higher ratings, more AM and FM affiliates.
[04:31.800 --> 04:37.800]  You know, the star of this show rising faster if Barack Obama gets elected
[04:37.800 --> 04:41.800]  because people are going to stay more awake and angry and upset.
[04:41.800 --> 04:44.800]  Mitt Romney gets elected, sleepy time happens.
[04:44.800 --> 04:51.800]  And so, again, I still don't want Obama to win though because I care about freedom more than having a big radio show.
[04:51.800 --> 05:01.800]  We'll be right back. Stay with us.
[05:22.800 --> 05:28.800]  We've got the life straw so you can turn fetted water into safe water anywhere you go.
[05:28.800 --> 05:33.800]  The K-Tour hand crank generator to charge up key equipment during power outages or out in the field.
[05:33.800 --> 05:37.800]  Strategic relocation third edition by Joel Scalzen.
[05:37.800 --> 05:39.800]  When disaster strikes by Matthew Stein.
[05:39.800 --> 05:44.800]  TheraSafe used by Homeland Security to protect yourself during any radiological event.
[05:44.800 --> 05:47.800]  Hand crank shortwave AM FM radios.
[05:47.800 --> 05:52.800]  Everything that we've researched and found to be the best is available at infowarshop.com
[05:52.800 --> 05:54.800]  and your purchase makes our info war possible.
[05:54.800 --> 05:59.800]  We're getting prepared. Are you infowarshop.com?
[05:59.800 --> 06:07.800]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[06:07.800 --> 06:13.800]  You're listening to the Alex Jones show.
[06:13.800 --> 06:19.800]  Welcome my friends listening across the United States on the AM and FM dial.
[06:19.800 --> 06:25.800]  And all of you out there across the world listening on Global Shortwave WWCR World Service.
[06:25.800 --> 06:28.800]  100,000 watts heard planetary wide.
[06:28.800 --> 06:33.800]  And of course all the people listening at prisonplanet.com, infowars.com on the free audio streams.
[06:33.800 --> 06:39.800]  And later on the giant podcasts and the Alex Jones radio shows section if you'd like to subscribe for free.
[06:39.800 --> 06:46.800]  And everyone watching us to the video feeds at prisonplanet.tv and infowars.com.
[06:46.800 --> 06:53.800]  I want to thank you all for joining us on this November 4th Sunday transmission.
[06:53.800 --> 06:58.800]  Now 48 hours out from the thick of the election.
[06:58.800 --> 07:05.800]  48 hours from now we're going to be Tuesday evening right in the middle of this.
[07:05.800 --> 07:12.800]  And this is an election to remember even though both candidates are bought and paid for by big mega banks and globalist institutions.
[07:12.800 --> 07:20.800]  There are some real differences in the management style, the globalist management teams that are behind them.
[07:20.800 --> 07:28.800]  And Obama is saying all churches will hire non-Christians and you will pay for insurance and abortions.
[07:28.800 --> 07:34.800]  Total violation of the First Amendment, Congress shall make no law respecting an establishment of religion
[07:34.800 --> 07:37.800]  or prohibiting a free exercise thereof.
[07:37.800 --> 07:41.800]  Separation church and state means the government has no jurisdiction over religion.
[07:41.800 --> 07:45.800]  Not religion can't be involved in public life.
[07:45.800 --> 07:51.800]  But that's because I am a person that studies history and has historians and constitutional lawyers on.
[07:51.800 --> 07:58.800]  They use the pure ignorance of the public to think that churches can't have any political speech.
[07:58.800 --> 08:04.800]  No, the government cannot have a religious position that you're forced to follow.
[08:04.800 --> 08:12.800]  This country was founded by Christians who believed in free will and said you don't have to be a Christian.
[08:12.800 --> 08:20.800]  But now they've turned it around backwards to wage war against Christians and tell Catholic churches nationwide you will pay for abortions.
[08:20.800 --> 08:25.800]  Travis County where I live, Travis County where I live in Austin.
[08:25.800 --> 08:28.800]  This transmission is coming to you from Austin, Texas.
[08:28.800 --> 08:30.800]  I run into people all the time that are visiting Austin.
[08:30.800 --> 08:34.800]  They go, you live in Austin? I thought it was New York or LA. That's where all the media lives.
[08:34.800 --> 08:41.800]  I listen and watch every day they say, well listen, I'm in Austin, Texas right here in the middle of the country.
[08:41.800 --> 08:47.800]  So we're coming to you from here. Travis County is the only county in Texas, great state of Texas, my beloved state,
[08:47.800 --> 08:55.800]  where they take your tax money in the hospital district money and make you pay for people's abortions.
[08:55.800 --> 08:59.800]  Now they're 400 bucks, they're subsidized because the elite don't want you being born.
[08:59.800 --> 09:04.800]  If you want one, you pay for it, okay? Don't make me pay for it.
[09:04.800 --> 09:06.800]  It's real simple.
[09:06.800 --> 09:09.800]  All right, continuing. You ever heard of separation in church and state?
[09:09.800 --> 09:11.800]  I hope that you would actually live by it.
[09:11.800 --> 09:13.800]  Oh, but you use it to eradicate religion.
[09:13.800 --> 09:21.800]  The point is under Obama, he said in the last debate, he said, I will come after, it was the middle debate,
[09:21.800 --> 09:26.800]  I will come, we've played the clips, we will come after, he goes, I don't want to just ban semi-autos.
[09:26.800 --> 09:28.800]  He goes, I want to ban handguns.
[09:28.800 --> 09:31.800]  And that's what his attorney general has supported. That's what he's supported.
[09:31.800 --> 09:34.800]  That's why they ship guns into Mexico to blame the Second Amendment.
[09:34.800 --> 09:37.800]  CBS News even got those internal memos, okay?
[09:37.800 --> 09:43.800]  That was a false flag frame up on the Second Amendment, an inside job, fully autos, hand grenades,
[09:43.800 --> 09:45.800]  not just stuff out of gun shops.
[09:45.800 --> 09:48.800]  And you're going to get over a thousand power plants shut down.
[09:48.800 --> 09:50.800]  That's now been reported on by the Associated Press.
[09:50.800 --> 09:55.800]  They've only shut down 200 and something, massively increasing power prices, cold power plants.
[09:55.800 --> 09:57.800]  They're going to shut down over a thousand.
[09:57.800 --> 10:01.800]  Of course, the big insider ones that are given waivers like General Electric, their profits are going up.
[10:01.800 --> 10:03.800]  You're going to pay a lot more for less.
[10:03.800 --> 10:09.800]  That's the old Enron scam out of California and Oregon where they were making $2 billion a day sometimes running scams.
[10:09.800 --> 10:11.800]  So that's what you're going to get.
[10:11.800 --> 10:16.800]  Now, again, am I saying Mitt Romney's a good, great guy and I love him or I'm running out to vote for him?
[10:16.800 --> 10:20.800]  Well, number one, Texas is going to go Republican anyways by a landslide.
[10:20.800 --> 10:23.800]  So if you didn't think about the Electoral College, you'd know it doesn't matter.
[10:23.800 --> 10:26.800]  Plus, Travis County, again, where I live, has been proven and certified.
[10:26.800 --> 10:32.800]  Back in 1998, I was there at the county commissioners where I proved fraud and a fraudulent election.
[10:32.800 --> 10:37.800]  And they were the county commissioner and the state said it is fraud, but we still certify it.
[10:37.800 --> 10:39.800]  That was in the Austin, America statesman.
[10:39.800 --> 10:41.800]  So I don't have voting, okay?
[10:41.800 --> 10:50.800]  That's why they'll probably pass Prop 1 to make UT that's got, what, $4 billion in its permanent fund and oil wells everywhere?
[10:50.800 --> 10:56.800]  To make me pay them billions of dollars, the average taxpayer, $200 and something a year forever,
[10:56.800 --> 11:03.800]  to pay for a new medical school for them when it's the richest university in the world.
[11:03.800 --> 11:06.800]  That's why they can get away with anything here. I'm sorry, I'm not orienting.
[11:06.800 --> 11:09.800]  That's why we're an official UN city under UN control.
[11:09.800 --> 11:11.800]  Look it up on the UN's website.
[11:11.800 --> 11:13.800]  Those type in Austin, Texas on the UN website.
[11:13.800 --> 11:15.800]  We are the city worldwide.
[11:15.800 --> 11:21.800]  The example, because the parasites all come where the wealth and liberty is and take it over.
[11:21.800 --> 11:22.800]  Austin is wonderful.
[11:22.800 --> 11:24.800]  It's the best of worlds, the worst of worlds.
[11:24.800 --> 11:26.800]  The best of times, the worst of times.
[11:26.800 --> 11:29.800]  But none of that is what, that's not the big news for today.
[11:29.800 --> 11:33.800]  I want you to call your friends and family right now, right now.
[11:33.800 --> 11:45.800]  Whether you're listing on News Radio 590 here in Austin, Texas, or the big station there in Knoxville, all of our great affiliates.
[11:45.800 --> 11:46.800]  What is it? WNOX?
[11:46.800 --> 11:48.800]  I can't keep track of all these affiliates.
[11:48.800 --> 11:51.800]  By the way, they gave me the affiliate list the other day and it's not even updated.
[11:51.800 --> 11:53.800]  It was like 140 something stations.
[11:53.800 --> 11:58.800]  So I'm just trying to get my mind around that and try to get all the stations down.
[11:58.800 --> 12:05.800]  The point is, whether you're listening in Chicago on 1530, or whether you're listening in Rochester, New York on 1320,
[12:05.800 --> 12:12.800]  or whether you're listening in Los Angeles, San Diego on that station, this is a big show.
[12:12.800 --> 12:19.800]  And you need to, it's WNOX, thank you, 100.3, a huge station.
[12:19.800 --> 12:25.800]  The point is, however you're listening to us, whether it's shortwave, satellite, internet, terrestrial radio,
[12:25.800 --> 12:32.800]  which is 90 plus percent of the radio audience, I want you to call your friends and family and tell them to tune in right now,
[12:32.800 --> 12:40.800]  because we're going to cover some hardcore information that is so incredibly important on so many fronts.
[12:40.800 --> 12:42.800]  Where to start?
[12:42.800 --> 12:45.800]  All I want is fair elections, okay?
[12:45.800 --> 12:51.800]  I hated Al Gore, cannot stand Al Gore, as much as I don't like the mainline Republicans,
[12:51.800 --> 12:54.800]  Al Gore is probably my least favorite person on earth, okay?
[12:54.800 --> 12:57.800]  But clearly there was some fraud against him in 2000.
[12:57.800 --> 12:59.800]  I mean, it was there.
[12:59.800 --> 13:02.800]  It got certified in Ohio that was fraud in 2004.
[13:02.800 --> 13:05.800]  Later, with Bush Kerry, people went to jail over that.
[13:05.800 --> 13:07.800]  This stuff is real, this goes on.
[13:07.800 --> 13:14.800]  I'm here to tell you, we've got reports, rest happening, of people voting multiple times all over the country for Obama.
[13:14.800 --> 13:19.800]  Of mentally ill people being lined up and they're putting voting machines in the mental institutions.
[13:19.800 --> 13:21.800]  This is coming out all over the country.
[13:21.800 --> 13:24.800]  I have that in my stack to have them vote for Obama.
[13:24.800 --> 13:29.800]  New York is announcing they are going to keep election polls open.
[13:29.800 --> 13:31.800]  I knew there was a scam going.
[13:31.800 --> 13:34.800]  Past Tuesday, there you go.
[13:34.800 --> 13:36.800]  That is postponing the election.
[13:36.800 --> 13:43.800]  CBS2, New York, New York City Board of Elections, it's possible voting may be permitted beyond Tuesday.
[13:43.800 --> 13:46.800]  In that key swing state.
[13:46.800 --> 13:52.800]  Romney, according to multiple scientific university breakdowns that have been proven to be totally accurate,
[13:52.800 --> 13:58.800]  like University of Colorado at Boulder with their computers, is set 76% to win the popular vote.
[13:58.800 --> 13:59.800]  What is it?
[13:59.800 --> 14:03.800]  59% they're saying to win the electoral.
[14:03.800 --> 14:11.800]  Romney is beginning to go ahead in Michigan, Ohio, Minnesota and Colorado in all the major polls.
[14:11.800 --> 14:13.800]  He is either tied or surging.
[14:13.800 --> 14:22.800]  Romney, if you look at this, Mitt Romney is set to win and be president.
[14:22.800 --> 14:28.800]  But in the electoral college and also in the popular vote, hands down he's going to win in the popular vote,
[14:28.800 --> 14:30.800]  but electoral college is what matters.
[14:30.800 --> 14:36.800]  So all I do is go with the facts and I'm here to tell you, you've got the bookies in Vegas,
[14:36.800 --> 14:42.800]  in Ireland and in England, all over the news and the media is carrying this, already paying out.
[14:42.800 --> 14:46.800]  And I'm going to get to this with the proof and the articles, give you the headlines, all of it coming up after a break.
[14:46.800 --> 14:51.800]  The bookies are already paying out money Friday, Saturday and Sunday tonight.
[14:51.800 --> 14:54.800]  They're already paying out on Obama.
[14:54.800 --> 14:55.800]  There's Business Insider.
[14:55.800 --> 15:01.800]  Irish betting site calls race early, pays out Obama vote, victory bets two days early.
[15:01.800 --> 15:07.800]  It's already starting all over the world with one of the most famously seedy industries.
[15:07.800 --> 15:11.800]  I mean, beyond that, trying to tell us what's going on.
[15:11.800 --> 15:13.800]  Okay, we've got that going on.
[15:13.800 --> 15:15.800]  We've got that happening.
[15:15.800 --> 15:17.800]  We've got Kramer.
[15:17.800 --> 15:18.800]  I mean, you know, give me a break.
[15:18.800 --> 15:20.800]  How many times has that guy suckered people?
[15:20.800 --> 15:26.800]  He's saying Obama with a landslide, the media, the New York Times is running some questionable poll.
[15:26.800 --> 15:33.800]  Sweethearts with the Democrats saying 85% chance, you know, huge victory with Obama.
[15:33.800 --> 15:35.800]  All of this happening.
[15:35.800 --> 15:44.800]  Meanwhile, thousands of tweets going out saying burn cities, kill white people if Obama loses.
[15:44.800 --> 15:54.800]  And when we come back, Bill Maher, we're going to cover this first, is saying black people are going to attack white people calling for racial division and race war if Obama loses.
[15:54.800 --> 15:57.800]  And so is Michael Moore, we have the proof.
[15:57.800 --> 16:25.800]  Thank you.
[16:25.800 --> 16:47.800]  Thank you.
[16:47.800 --> 16:59.800]  See them on the web at 5starsope.com or call 800-340-7091 for a free catalog.
[17:17.800 --> 17:26.800]  But the food police are so afraid of these remarkable foods have been around since the beginning of history with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[17:26.800 --> 17:34.800]  Even today, Japanese eat miso, Africans eat fermented porches, Koreans eat kamichi, and in India, fermented milk is a staple for healthy living.
[17:34.800 --> 17:35.800]  But here's some good news.
[17:35.800 --> 17:45.800]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes since it's still legal to make these foods as long as you can make them yourself.
[17:45.800 --> 17:48.800]  For more information, check out fermentationfactor.com.
[17:48.800 --> 17:50.800]  That's fermentationfactor.com.
[17:50.800 --> 17:56.800]  It's easy to create your own powerful fermented foods and you can do it by going to www.fermentationfactor.com.
[17:56.800 --> 18:21.800]  That's www.fermentationfactor.com.
[18:21.800 --> 18:29.800]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere for any application.
[18:29.800 --> 18:36.800]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[18:36.800 --> 18:41.800]  This product was designed to be an invaluable part of your vital preparations.
[18:41.800 --> 18:59.800]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[19:11.800 --> 19:13.800]  The wheat are all impacted, raising prices.
[19:13.800 --> 19:18.800]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[19:18.800 --> 19:26.800]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoods Direct now.
[19:26.800 --> 19:30.800]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[19:30.800 --> 19:32.800]  Now is the time to get your supply.
[19:32.800 --> 19:36.800]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[19:36.800 --> 19:39.800]  You know about their delicious long-term storable foods.
[19:39.800 --> 19:41.800]  You can eat it any time to save money today.
[19:41.800 --> 19:46.800]  And because it stores for 25 years, you're locking in today's prices and avoiding the rising food cost.
[19:46.800 --> 19:52.800]  Don't wait. Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[19:52.800 --> 19:56.800]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[19:56.800 --> 20:10.800]  You can bet your life on eFoods Direct.
[20:10.800 --> 20:19.800]  From the front lines of the Information War, it's Alex Jones.
[20:19.800 --> 20:26.800]  Today through Friday from 11 a.m. until 2 p.m. Central Standard Time.
[20:26.800 --> 20:30.800]  That's 12 noon to 3 p.m. We are live on the radio weekdays.
[20:30.800 --> 20:33.800]  And there's a lot of news happens on the weekend.
[20:33.800 --> 20:39.800]  There's a lot of people out there who are just at the mercy of the mainstream globalist media.
[20:39.800 --> 20:44.800]  And so we like to invade the airwaves Sundays, 4 to 6 central, 5 to 7 eastern.
[20:44.800 --> 20:50.800]  Okay, let me go ahead and get into the nastiest stuff I've seen in this 2012 election cycle.
[20:50.800 --> 20:55.800]  As we are only 48 hours out now from election night.
[20:55.800 --> 20:58.800]  We're not even 48 hours out from election day.
[20:58.800 --> 21:01.800]  We are 48 hours out.
[21:01.800 --> 21:07.800]  Probably by 8 or 9 central, the mainstream media will be trying to project their winter.
[21:07.800 --> 21:13.800]  So we can say about 48 to 50 hours from now.
[21:13.800 --> 21:15.800]  51 hours from now to be technical.
[21:15.800 --> 21:17.800]  We're going to be hearing who the winner is probably.
[21:17.800 --> 21:19.800]  Unless this is the big news.
[21:19.800 --> 21:21.800]  There's a lot of it here.
[21:21.800 --> 21:23.800]  New York City Board of Elections.
[21:23.800 --> 21:27.800]  It's possible voting may be permitted beyond Tuesday.
[21:27.800 --> 21:31.800]  Romney's been surging in all polls the last three weeks.
[21:31.800 --> 21:33.800]  But a little bit of slowing in the surge.
[21:33.800 --> 21:35.800]  And some reversals now.
[21:35.800 --> 21:39.800]  They're chalking up to Obama looking presidential with the hurricane.
[21:39.800 --> 21:42.800]  We're going to be getting into all that in a moment.
[21:42.800 --> 21:44.800]  But this is big.
[21:44.800 --> 21:49.800]  Because postponing election allows more rigging.
[21:49.800 --> 21:53.800]  Especially by the incumbent.
[21:53.800 --> 21:56.800]  And that way then machines can be reprogrammed.
[21:56.800 --> 21:58.800]  People can vote repeatedly.
[21:58.800 --> 22:00.800]  They can run voter rolls again.
[22:00.800 --> 22:05.800]  Because they'll have a data tape or they'll have a computer program that they can then flip.
[22:05.800 --> 22:10.800]  We've got Bev Harris, the expert in election fraud.
[22:10.800 --> 22:12.800]  She's going to be on with us tomorrow.
[22:12.800 --> 22:15.800]  And then on the election and the aftermath of the election.
[22:15.800 --> 22:18.800]  All three days tracking this with us on the weekday show.
[22:18.800 --> 22:20.800]  Now.
[22:20.800 --> 22:31.800]  You know two and a half weeks ago we began to track Twitter comments saying that if Obama loses that people are going to riot.
[22:31.800 --> 22:33.800]  And these are Twitter accounts.
[22:33.800 --> 22:35.800]  Some of them with 8000 plus tweets.
[22:35.800 --> 22:37.800]  Real accounts up for years.
[22:37.800 --> 22:40.800]  Some of them are new, might be spoofed.
[22:40.800 --> 22:43.800]  But there have been some Secret Service visits, some are rest.
[22:43.800 --> 22:50.800]  But Weekly Standard and others are pointing out that a lot of the accounts have been left up and are still saying they're going to kill Romney.
[22:50.800 --> 22:53.800]  They're going to go to wherever he's at and kill him.
[22:53.800 --> 22:54.800]  Close quote.
[22:54.800 --> 22:57.800]  For the media clips that I didn't say that I'm reading the tweets.
[22:57.800 --> 22:59.800]  Believe me, they'll do anything folks.
[22:59.800 --> 23:00.800]  We got to be careful here.
[23:00.800 --> 23:02.800]  It just goes on and on.
[23:02.800 --> 23:03.800]  Now we broke that.
[23:03.800 --> 23:08.800]  DrudgeReport.com blasted it out to make it a national story.
[23:08.800 --> 23:16.800]  And I was attacked by the media matters group run by George Soros and the White House publicly funded by Soros run by the former White House transition director.
[23:16.800 --> 23:19.800]  And they just said it doesn't exist or I'm evil or I'm bad.
[23:19.800 --> 23:25.800]  And they had to think progress run by the Soros group publicly come out and attack us and say we were being racist.
[23:25.800 --> 23:27.800]  Now let's get one thing straight.
[23:27.800 --> 23:29.800]  I am only 38 years old.
[23:29.800 --> 23:31.800]  I grew up in Dallas, Texas.
[23:31.800 --> 23:33.800]  So I have no guilt.
[23:33.800 --> 23:37.800]  I didn't grow up during the civil rights movement or all the stuff that came before.
[23:37.800 --> 23:40.800]  And I'm sick of being told I'm racist because I'm white.
[23:40.800 --> 23:42.800]  And it also makes me uncomfortable.
[23:42.800 --> 23:44.800]  It makes me angry because I have black friends.
[23:44.800 --> 23:47.800]  We got black folks that work here at info wars.com.
[23:47.800 --> 23:52.800]  And it's just it's the system trying to get everybody at each other's throats.
[23:52.800 --> 23:58.800]  And Obama was a grand chance to be able to bring unity.
[23:58.800 --> 24:01.800]  But the system doesn't want unity.
[24:01.800 --> 24:04.800]  The system wants division.
[24:04.800 --> 24:08.800]  It was a record number of blue-eyed white devils.
[24:08.800 --> 24:16.800]  As we're called in the past by some of the people that are now in MSNBC to bring everybody together.
[24:16.800 --> 24:23.800]  But it was the evil, evil white people I'm being sarcastic here that got Obama elected.
[24:23.800 --> 24:28.800]  Got Obama elected, okay?
[24:28.800 --> 24:31.800]  And I have seen literally thousands of tweets.
[24:31.800 --> 24:36.800]  We've done like five articles that have gone nationwide saying rioting, killing, attacking,
[24:36.800 --> 24:42.800]  calling for rioting during the storm, the media, Atlantic Time Magazine,
[24:42.800 --> 24:46.800]  salon all said we were in saying that the tweets weren't real and nothing would happen.
[24:46.800 --> 24:49.800]  And that there was it was a myth that there was looting.
[24:49.800 --> 24:52.800]  Atlantic Magazine said that last Monday.
[24:52.800 --> 24:55.800]  What have you seen unprecedented looting up and down the East Coast?
[24:55.800 --> 24:56.800]  Muggings attacks.
[24:56.800 --> 24:59.800]  I haven't even gotten into government not being able to deliver services.
[24:59.800 --> 25:04.800]  The breakdown now six days in power still out to three million or more.
[25:04.800 --> 25:07.800]  Two and a half million in New York alone.
[25:07.800 --> 25:09.800]  This is bad.
[25:09.800 --> 25:14.800]  And we're going to learn the aftermath later because the media is trying to cover up right now.
[25:14.800 --> 25:17.800]  You know, they tried to cover up the whole Benghazi thing.
[25:17.800 --> 25:23.800]  They tried to do everything they can to get Obama reelected.
[25:23.800 --> 25:24.800]  And that's just a fact.
[25:24.800 --> 25:25.800]  You know, I'm nonpartisan.
[25:25.800 --> 25:27.800]  I call it like I see it.
[25:27.800 --> 25:28.800]  Makes my job easy.
[25:28.800 --> 25:36.800]  So with all of this going on in the backdrop, I mean, I am so sick of on YouTube real accounts,
[25:36.800 --> 25:41.800]  real people saying I'm unsubscribing to your channel because you are racist.
[25:41.800 --> 25:43.800]  You don't like Obama and I go to the person's site.
[25:43.800 --> 25:46.800]  It's a real site up there years, real people.
[25:46.800 --> 25:48.800]  So ignorant.
[25:48.800 --> 25:49.800]  So ignorant.
[25:49.800 --> 25:58.800]  So, so ridiculous because the corporate media pushes this idea that you're racist if you don't support government run healthcare.
[25:58.800 --> 26:04.800]  I've seen Chris Matthews say it's racism and people hate black people is why they don't want Obamacare.
[26:04.800 --> 26:10.800]  I've seen them say gun control is good and you're a racist if you're against it and stuff like this.
[26:10.800 --> 26:11.800]  You've all seen it.
[26:11.800 --> 26:12.800]  You've all heard it.
[26:12.800 --> 26:15.800]  And then I saw today from Friday up on info wars.com.
[26:15.800 --> 26:17.800]  We haven't linked.
[26:17.800 --> 26:19.800]  Also saw the Drudge and Breitbart.
[26:19.800 --> 26:21.800]  I couldn't believe it.
[26:21.800 --> 26:27.800]  Bill Maher saying black people are going to come out and attack white people like it's funny.
[26:27.800 --> 26:31.800]  If you don't vote for Obama because it's racist not to.
[26:31.800 --> 26:33.800]  Here's that clip.
[26:33.800 --> 26:40.800]  And then we will after we after we play that clip, we will get to a another clip.
[26:40.800 --> 26:49.800]  I would just like to say for anyone thinking about voting for Mitt Romney, if that's who you are, if you're thinking about voting for Rudy, I'd like to make this one play.
[26:49.800 --> 26:53.800]  Black people know who you are and they will come after you.
[26:53.800 --> 26:58.800]  So there you go.
[26:58.800 --> 27:00.800]  Let's let's play that.
[27:00.800 --> 27:02.800]  Let's play that one more time.
[27:02.800 --> 27:05.800]  Let's back that up and let's play that one more time.
[27:05.800 --> 27:11.800]  And I went to his site, the whole things up there and he goes on with more jokes.
[27:11.800 --> 27:15.800]  This is I'm telling you the Democratic Party wants racial division.
