[00:00:04.133 --> 00:00:04.353]  Wow!
[00:05:50.981 --> 00:05:54.685]  You can either join us or be a humorous footnote in world history.
[00:05:54.685 --> 00:05:57.848]  Thanks to everyone so much for the love shown over the course of this journey.
[00:05:57.848 --> 00:05:59.209]  Donald Trump is our president.
[00:05:59.209 --> 00:05:59.990]  Now let's get to work.
[00:06:01.294 --> 00:06:02.875]  This is Alex Jones.
[00:06:02.875 --> 00:06:08.760]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[00:06:08.760 --> 00:06:11.323]  And seriously, I really think everyone should have one of these.
[00:06:11.323 --> 00:06:17.127]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[00:06:17.127 --> 00:06:25.835]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house, like a small refrigerator, so you can keep food from spoiling.
[00:06:26.215 --> 00:06:31.782]  Plus, you can take it with you to jump-start cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[00:06:31.782 --> 00:06:38.810]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[00:06:38.810 --> 00:06:43.375]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[00:06:43.635 --> 00:06:46.939]  Go to privatepowergrid.com to watch this thing in action.
[00:06:46.939 --> 00:06:49.022]  That's privatepowergrid.com.
[00:06:49.022 --> 00:06:54.749]  Even better, use coupon code PRIVATE at checkout and get a second PPX energy unit for free.
[00:06:54.749 --> 00:06:57.192]  Check it out at privatepowergrid.com.
[00:06:57.192 --> 00:06:58.875]  That's privatepowergrid.com.
[00:07:00.470 --> 00:07:03.671]  A clean, toxic-free body is the foundation of true health.
[00:07:03.671 --> 00:07:06.011]  Deep Cleanse by InfoWarsLife.com.
[00:07:06.011 --> 00:07:13.033]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:13.033 --> 00:07:18.355]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[00:07:18.355 --> 00:07:27.317]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:07:27.757 --> 00:07:36.666]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:36.666 --> 00:07:43.733]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[00:07:43.733 --> 00:07:49.118]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[00:07:49.298 --> 00:07:52.120]  Donald J. Trump is now President of the United States.
[00:07:52.120 --> 00:07:52.760]  It's not true.
[00:07:52.760 --> 00:07:53.721]  That's impossible!
[00:07:53.721 --> 00:07:54.361]  Search your feelings.
[00:07:54.361 --> 00:07:55.462]  You know it to be true.
[00:08:34.104 --> 00:08:35.364]  You're a heart of 1776.
[00:08:35.364 --> 00:08:37.526]  You're a white male!
[00:08:37.526 --> 00:08:42.809]  It's also what happens when you listen to the radio host Alex Jones.
[00:08:42.809 --> 00:08:44.030]  Move, bitch!
[00:08:44.030 --> 00:08:46.871]  Get out the way!
[00:08:46.871 --> 00:08:50.974]  We pledge allegiance to one flag, and that flag...
[00:08:51.334 --> 00:08:53.054]  It's the American flag!
[00:08:53.054 --> 00:08:57.615]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:08:57.615 --> 00:09:00.836]  It's been a cozy relationship from the beginning.
[00:09:00.836 --> 00:09:02.496]  I will not let you down.
[00:09:02.496 --> 00:09:04.756]  You'll be very, very impressed, I hope.
[00:09:04.756 --> 00:09:06.597]  And I think we'll be speaking a lot.
[00:09:06.597 --> 00:09:09.297]  Donald Trump and Alex Jones.
[00:09:09.297 --> 00:09:14.998]  This means that Donald Trump will be the 45th President of the United States.
[00:09:14.998 --> 00:09:17.019]  Waging war on corruption.
[00:09:17.019 --> 00:09:18.539]  It's Alex Jones!
[00:09:21.161 --> 00:09:28.542]  Ladies and gentlemen, thank you so much for joining us on this Tuesday, the 24th day of January 2017.
[00:09:28.542 --> 00:09:35.044]  We're now into day number five, but it's still got a lot of time left in it.
[00:09:35.044 --> 00:09:42.365]  And Trump is delivering on, I would say already, about 10% of his promises.
[00:09:42.365 --> 00:09:44.285]  That's unbelievable.
[00:09:44.285 --> 00:09:46.826]  If he got 10% of the agenda done in one year,
[00:09:47.566 --> 00:09:54.435]  If it took him a year to get rid of Obamacare, or a year to begin to secure the border, or a year to bring back Ford and Carrier and...
[00:09:57.520 --> 00:10:00.482]  Chrysler and Foxconn.
[00:10:00.482 --> 00:10:04.064]  I mean, I would be blown away at saying this is positive.
[00:10:04.064 --> 00:10:11.228]  This just shows how controlled the federal government was by multinationals, by Communist China, by the IMF, the World Bank.
[00:10:11.228 --> 00:10:17.172]  And that's why China's announcing that the United States is pulling out of the World Government Project, that they're going to be taking it over.
[00:10:17.172 --> 00:10:18.273]  Good luck.
[00:10:18.273 --> 00:10:19.273]  The whole thing's parasitic.
[00:10:19.273 --> 00:10:20.374]  The whole thing's criminal.
[00:10:20.374 --> 00:10:27.138]  The whole world is turning against multinational corporations using Chinese slave muscle to leverage out the planet.
[00:10:28.362 --> 00:10:30.524]  And Trump knows that.
[00:10:30.524 --> 00:10:35.508]  And Trump also knows that it's a sure thing to expose globalism as unelected and unaccountable.
[00:10:35.508 --> 00:10:36.689]  You do that, it's over.
[00:10:36.689 --> 00:10:43.394]  And to expose replacing humans with robots and building a world where humans are obsolete is horrific.
[00:10:43.394 --> 00:10:47.437]  Trump wants to build a world for people.
[00:10:47.437 --> 00:10:50.519]  For the people, by the people, of the people.
[00:10:50.519 --> 00:10:53.402]  And that's revolutionary because that's
[00:10:54.551 --> 00:10:59.156]  The opposite of the globalist plan that we've been breaking down for so many years.
[00:10:59.156 --> 00:11:00.938]  And why does the military listen?
[00:11:00.938 --> 00:11:02.900]  Why do the intelligence operatives listen?
[00:11:02.900 --> 00:11:05.483]  Why does the president listen?
[00:11:05.483 --> 00:11:09.868]  Because they tune into this show, they're hearing information that they already have researched, they already know.
[00:11:10.649 --> 00:11:13.030]  That they have already been resisting for a long time.
[00:11:13.030 --> 00:11:16.772]  It's just the public wasn't ready or informed enough yet to do it.
[00:11:16.772 --> 00:11:20.714]  But InfoWars and Drudge and many others have now informed the public.
[00:11:20.714 --> 00:11:23.235]  And the public has experienced global turning for themselves.
[00:11:23.235 --> 00:11:26.056]  And so now the ground is ready and fertile.
[00:11:26.056 --> 00:11:29.738]  For the second American revolution that will be worldwide.
[00:11:29.738 --> 00:11:35.040]  America will alter the destiny of the world for good if we go down this path.
[00:11:35.040 --> 00:11:36.161]  As Trump said in his speech.
[00:11:38.174 --> 00:11:45.020]  1776, worldwide, not the United States dominating via conquest, and then handing the spoils over to multinationals.
[00:11:45.020 --> 00:11:47.562]  We pay for it, do the fighting, the bleeding, and then give it to them.
[00:11:47.562 --> 00:11:48.343]  No.
[00:11:48.343 --> 00:11:53.427]  But exporting ideas worldwide and forming new alliances and trade.
[00:11:53.427 --> 00:11:57.850]  Everything Ron Paul has called for and wanted as well.
[00:11:57.850 --> 00:11:59.632]  That's why when Ron Paul, who's coming on tomorrow,
[00:12:03.745 --> 00:12:10.606]  Trump's really good about not wanting war with Russia and all this and not being a globalist, but what's he doing with Mattis bombing Al-Qaeda and ISIS?
[00:12:10.606 --> 00:12:11.567]  Well, we have to.
[00:12:11.567 --> 00:12:13.327]  It's what's causing the war.
[00:12:13.327 --> 00:12:18.889]  It's expanding, it's growing, it's truly a cancerous, oppressive threat.
[00:12:18.889 --> 00:12:27.851]  So again, like the Bible is taken out of context, mistranslated, they admit that thou shalt not kill, but then a few passages later it says defend yourself and your family.
[00:12:27.851 --> 00:12:30.252]  It means do not murder, do not kill an innocent person.
[00:12:31.750 --> 00:12:37.273]  Obviously, to be anti-war means you're against starting wars, being for war for no reason.
[00:12:37.273 --> 00:12:52.720]  But standing up against ISIS, or standing up against King George III, that wasn't warmongering by George Washington, Benjamin Franklin, Thomas Jefferson, Patrick Henry, Sam Adams.
[00:12:52.720 --> 00:12:53.180]  That was
[00:12:54.346 --> 00:13:00.251]  Being liberated against a tyranny and launching a system that we enjoy the fruits of and the freedoms of today.
[00:13:00.251 --> 00:13:02.073]  So I love America.
[00:13:02.073 --> 00:13:10.220]  I hated the globalist criminal overlay that was on our country, and I'm trying to remove that face sucker that was attached to our nation.
[00:13:10.220 --> 00:13:18.488]  Now, we're going to break down how Trump is delivering in a royal flush, again, just four and a half days in.
[00:13:19.923 --> 00:13:23.566]  We're also going to look at the newest globalist brainwashing term.
[00:13:23.566 --> 00:13:26.068]  They call it alternative facts.
[00:13:26.068 --> 00:13:27.909]  Or challenging them.
[00:13:27.909 --> 00:13:38.197]  So first it's conspiracy theorists, then they call you a racist, then they call you a Russian spy, then they call you fake news, and now, oh, Spicer has alternative facts!
[00:13:38.197 --> 00:13:41.359]  And Leanne last night was really upset.
[00:13:41.359 --> 00:13:43.841]  Just like she said she was on air, and she was just shaking her head.
[00:13:43.841 --> 00:13:46.503]  I saw her in the wardrobe area.
[00:13:50.154 --> 00:13:59.996]  I mean, I saw CNN put out the fake photo that nobody was at the Trump inauguration.
[00:13:59.996 --> 00:14:07.838]  And then I saw their own digital megapixel photo showing it was completely full.
[00:14:07.838 --> 00:14:10.039]  And then I saw them have to admit it wasn't true.
[00:14:10.039 --> 00:14:16.781]  And then I was at the gym Sunday and saw them again live say that nobody was there again.
[00:14:17.691 --> 00:14:18.992]  And she said, that upsets me.
[00:14:18.992 --> 00:14:21.933]  Everybody saw it on national TV full of people.
[00:14:21.933 --> 00:14:28.436]  Everybody knows that's a lie or it should be, but I was arguing with people and they were saying I was wrong and she was so upset for them.
[00:14:28.436 --> 00:14:28.916]  And you know what?
[00:14:28.916 --> 00:14:32.797]  That's a normal response to be freaked out by lies of this magnitude.
[00:14:32.797 --> 00:14:34.258]  So what's CNN doing now?
[00:14:34.258 --> 00:14:36.679]  I saw them yesterday again.
[00:14:36.679 --> 00:14:45.983]  They're saying Trump and Spicer and everybody are a bunch of sore losers and that we're all just obsessed with things when they're the sore losers and that we're making it up that it was a smaller crowd.
[00:14:47.045 --> 00:14:49.666]  The issue is the Metro shows record numbers.
[00:14:49.666 --> 00:14:52.506]  You have people outside all the gates trying to stop people getting in.
[00:14:52.506 --> 00:14:59.788]  You show an 8.30 in the morning photo and people were just being allowed in before they filled up because there were lines three miles long to get in.
[00:14:59.788 --> 00:15:05.990]  And Obama, who ran the Capitol Police, had a plan.
[00:15:07.455 --> 00:15:12.137]  To not let people in and then to let the protesters beat people up.
[00:15:12.137 --> 00:15:13.298]  So what do they do?
[00:15:13.298 --> 00:15:23.123]  I have footage, live, hours of women being beaten up and attacked and them blocking us from trying to get into three different entrances.
[00:15:23.123 --> 00:15:28.626]  So I had to travel miles around Pennsylvania Avenue to find one entrance to get in.
[00:15:28.626 --> 00:15:31.447]  And because you're only allowed to go into certain entrances with your tickets.
[00:15:31.447 --> 00:15:33.909]  And guess what was happening there again?
[00:15:33.909 --> 00:15:36.230]  People trying to block the entrance.
[00:15:37.827 --> 00:15:40.769]  Now what did the media do with this?
[00:15:40.769 --> 00:15:41.429]  What did they do?
[00:15:41.429 --> 00:15:45.472]  I need to do a whole report on this.
[00:15:45.472 --> 00:15:58.861]  They had everything from MSNBC to ABC to CBS running with stories that that day I was thrown out and they show video.
[00:16:01.141 --> 00:16:06.565]  In fact, if we can actually go to this article, it shows a photo from Cleveland saying that I basically got arrested.
[00:16:06.565 --> 00:16:08.726]  This is how dumb they think you are.
[00:16:08.726 --> 00:16:10.067]  Look, look, January 22nd, 2017.
[00:16:10.067 --> 00:16:13.570]  No, that happened in July of 2016.
[00:16:13.570 --> 00:16:18.333]  They were escorting me for my protection when a bunch of communists attacked me saying I had no free speech.
[00:16:18.333 --> 00:16:20.635]  But not in the disinformation land.
[00:16:20.635 --> 00:16:22.736]  I got calls.
[00:16:22.736 --> 00:16:24.478]  I had my lawyer call me.
[00:16:24.478 --> 00:16:28.801]  He heard on the radio that I had been thrown out of the Trump inauguration and caused a disturbance.
[00:16:29.585 --> 00:16:31.686]  I can't even keep track of all this.
[00:16:31.686 --> 00:16:34.247]  I'm trying to get in.
[00:16:34.247 --> 00:16:35.668]  I'm attacked.
[00:16:35.668 --> 00:16:40.910]  As I'm walking towards it, there's bleeding women walking by on our Facebook mentions.
[00:16:40.910 --> 00:16:42.271]  Live.
[00:16:42.271 --> 00:16:43.391]  And they're telling me I'm bleeding.
[00:16:43.391 --> 00:16:43.891]  They attack me.
[00:16:43.891 --> 00:16:44.792]  They won't let you through.
[00:16:44.792 --> 00:16:45.532]  The police do nothing.
[00:16:45.532 --> 00:16:46.313]  I'm like, really?
[00:16:46.313 --> 00:16:50.735]  We get there and they attack us.
[00:16:50.735 --> 00:16:52.815]  The police come and grab us again and say you're not allowed.
[00:16:52.815 --> 00:16:53.736]  We've closed this entrance.
[00:16:55.017 --> 00:16:58.798]  And then it turns into, I'm arrested again, but wait, it gets better.
[00:16:58.798 --> 00:17:00.579]  I'm also drunk, they say.
[00:17:00.579 --> 00:17:04.620]  Had that a drink.
[00:17:04.620 --> 00:17:05.860]  And they make a big joke out of it.
[00:17:05.860 --> 00:17:07.921]  This is called preying on the public.
[00:17:07.921 --> 00:17:09.182]  Here's one from the Inquisitor.
[00:17:09.182 --> 00:17:14.323]  Infowars host Alex Jones caught doing his job while being drunk.
[00:17:14.323 --> 00:17:17.944]  And they just show some image of me supposedly being arrested.
[00:17:17.944 --> 00:17:19.845]  Alex Jones is having a bad inauguration day.
[00:17:21.823 --> 00:17:26.744]  And then it just goes into how I wasn't allowed in and how great that is.
[00:17:26.744 --> 00:17:28.064]  And then it turns into this.
[00:17:28.064 --> 00:17:30.325]  That's from the New Republic.
[00:17:30.325 --> 00:17:31.825]  Then there's this.
[00:17:31.825 --> 00:17:36.086]  Alex Jones gets kicked out of Donald Trump's inauguration video.
[00:17:36.086 --> 00:17:46.468]  And you go watch the video and it's communists and Black Lives Matter and black bloc groups attacking me.
[00:17:46.468 --> 00:17:47.428]  This is the fake news.
[00:17:51.857 --> 00:17:53.439]  Totally insane.
[00:17:53.439 --> 00:17:56.922]  And here's the deal.
[00:17:56.922 --> 00:17:58.503]  I know what really happened.
[00:17:58.503 --> 00:18:00.865]  You can go watch the live feeds and see what happened.
[00:18:00.865 --> 00:18:02.227]  They don't care.
[00:18:02.227 --> 00:18:11.135]  They've gone on TV and radio and everywhere and said that I got thrown out, I was drunk, and that it's all cute and funny.
[00:18:11.135 --> 00:18:12.176]  And then it gets worse.
[00:18:12.176 --> 00:18:14.959]  They just say, oh, Martin Luther King's bus has been removed.
[00:18:16.169 --> 00:18:18.031]  There's media still reporting that.
[00:18:18.031 --> 00:18:19.052]  Not true.
[00:18:19.052 --> 00:18:23.055]  They say, oh, oh yeah, that was a very small crowd, just a few thousand people there for Trump.
[00:18:23.055 --> 00:18:36.107]  Here's a photo of Trump during the inauguration, and it shows, again, images of right when they first opened the gates and start letting people go through the metal detectors.
[00:18:36.107 --> 00:18:39.831]  This is how they deceive you on MSNBC, BBC, they all did it!
[00:18:40.947 --> 00:18:41.788]  They all do it.
[00:18:41.788 --> 00:18:48.993]  And then, let's show you from CNN's real megapixel photo they debunked themselves from on top of the Capitol.
[00:18:48.993 --> 00:18:50.094]  Let's show you what was really there.
[00:18:50.094 --> 00:18:54.558]  Let's zoom miles, miles down to that.
[00:18:54.558 --> 00:18:56.219]  And then, there's photos from above.
[00:18:56.219 --> 00:19:02.484]  The crowds continued on from there, even though you couldn't get through the makeshift entrances they put up with metal detectors.
[00:19:02.484 --> 00:19:04.826]  By the way, it's admitted, but I was there.
[00:19:04.826 --> 00:19:10.010]  When I came out after the inauguration, there were still huge lines of people upset they didn't get to get in.
[00:19:13.783 --> 00:19:15.124]  Now why am I going back to this?
[00:19:15.124 --> 00:19:42.874]  Because ladies and gentlemen, we're dealing with people that are consciously defrauding the public, and criminally colluding together to lie to everyone, and then Spicer, who's getting more hardcore, so I'm commending that, gets up there and they say he's a liar, and that it's true, and then CNN doubles down and shows the same 8.30 in the morning photo, and says, see, it's true, and then shows Obama's next to him, you can put that on screen, where they wipe it, and show, and lie to everybody.
[00:19:44.218 --> 00:19:48.782]  I've got all this news to cover, but I've got to go back to this because it's so important.
[00:19:48.782 --> 00:19:58.350]  I have to field calls from family and my lawyer and others who hear that I was thrown out by Trump when it's totally a lie.
[00:19:58.350 --> 00:19:59.191]  This is what they do.
[00:20:01.121 --> 00:20:06.243]  The answer to being in control of your own health care is freedom from insurance.
[00:20:06.243 --> 00:20:11.945]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:20:11.945 --> 00:20:17.147]  Individual share amounts begin at $107 a month and $347 for families.
[00:20:17.147 --> 00:20:19.088]  Choose from three health sharing programs.
[00:20:19.088 --> 00:20:21.469]  Holistic treatments may be eligible for sharing.
[00:20:21.469 --> 00:20:22.409]  See guidelines.
[00:20:22.409 --> 00:20:25.690]  Discount programs available for dental, vision, and pharmacy.
[00:20:25.690 --> 00:20:27.651]  Go to LibertyOnCall.org.
[00:20:27.651 --> 00:20:29.492]  That's LibertyOnCall.org.
[00:20:30.888 --> 00:20:38.690]  Have you ever wanted a shortcut to getting the underground secrets to making money online and seriously grow your business?
[00:20:38.690 --> 00:20:49.254]  Whether it's a new business, a part-time income, or an existing business, you have this incredible limited offer to get a copy of this Amazon best-selling book on dot-com success for free!
[00:20:49.254 --> 00:20:52.655]  Uncover the success factors to make your business ignite!
[00:20:52.655 --> 00:20:54.775]  Go to secretsignite.com.
[00:20:54.775 --> 00:20:56.716]  That's secretsignite.com.
[00:20:56.716 --> 00:20:58.096]  Get your free copy now.
[00:20:58.096 --> 00:20:59.857]  Go to secretsignite.com.
[00:21:01.189 --> 00:21:02.010]  This is Dan Pilla.
[00:21:02.010 --> 00:21:03.811]  Do you have the IRS money you can't pay?
[00:21:03.811 --> 00:21:05.452]  Are tax debts crippling you?
[00:21:05.452 --> 00:21:08.274]  I've defended people from the IRS for over 30 years.
[00:21:08.274 --> 00:21:10.575]  I've helped thousands and I can help you too.
[00:21:10.575 --> 00:21:15.078]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[00:21:15.078 --> 00:21:19.041]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:21:19.041 --> 00:21:22.803]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:21:22.803 --> 00:21:23.124]  Call 800-34-NO-TAX.
[00:21:23.124 --> 00:21:24.865]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:21:30.540 --> 00:21:33.102]  We use cell phones against our heads every day.
[00:21:33.102 --> 00:21:34.503]  But now a landmark U.S.
[00:21:34.503 --> 00:21:40.147]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[00:21:40.147 --> 00:21:42.208]  The time to protect yourself is now.
[00:21:42.208 --> 00:21:44.050]  The solution is DefenderShield.
[00:21:44.050 --> 00:21:51.175]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[00:21:51.175 --> 00:21:53.096]  Buy now at DefenderShield.com.
[00:21:53.096 --> 00:21:55.318]  Use discount code DEFENDER for 10% off.
[00:21:55.318 --> 00:21:56.679]  DefenderShield.com.
[00:21:56.679 --> 00:21:59.241]  The worldwide leader in EMF radiation protection.
[00:22:00.123 --> 00:22:04.005]  In a crisis, your number one need is food, but not just any food.
[00:22:04.005 --> 00:22:10.668]  Experts say everyone needs to have non-perishable, good-for-25-years survival food on hand in case of an emergency.
[00:22:10.668 --> 00:22:19.031]  Well, right now, in what is truly an unprecedented move, 72-hour survival food kits are being given away to listeners while supplies last.
[00:22:19.031 --> 00:22:22.613]  Survival food is more important today than ever before, explains Frank Bates.
[00:22:22.953 --> 00:22:24.514]  A spokesman for the company.
[00:22:24.514 --> 00:22:30.816]  Natural disasters, terrorist attacks, and other threats can make obtaining sufficient food impossible in an emergency.
[00:22:30.816 --> 00:22:36.958]  This 72-hour survival kit has 16 servings of delicious food, rated for 25 years of storage.
[00:22:36.958 --> 00:22:45.321]  It sells to the general public for $27 plus shipping, and it's been rated 4.5 out of 5 stars by customers who paid full price.
[00:22:45.321 --> 00:22:50.002]  But listeners who act quickly can get it free, just cover $9.95 shipping.
[00:22:50.002 --> 00:22:52.083]  Go to FreeFood2.com right now.
[00:22:52.503 --> 00:22:55.245]  Supplies are limited and the program may end at any time.
[00:22:55.245 --> 00:22:57.647]  Go to FreeFood2.com now.
[00:22:57.647 --> 00:22:59.549]  That's FreeFood2.com.
[00:22:59.549 --> 00:23:02.291]  Taking turmeric is good, but there's a problem with it.
[00:23:02.291 --> 00:23:08.195]  The active ingredient in turmeric, known as curcumin, is poorly absorbed into the cells due to its large particle size.
[00:23:08.195 --> 00:23:12.879]  But now, One Planet Nutrition has the answer for this powerful anti-inflammatory.
[00:23:12.879 --> 00:23:13.900]  Nanocurcumin.
[00:23:13.900 --> 00:23:17.943]  A nanoparticle curcumin which absorbs over 40 times better into your bloodstream.
[00:23:18.143 --> 00:23:20.445]  Did you know your car can be hacked just like your computer or phone?
[00:23:20.445 --> 00:23:25.049]  Hackers can hijack the signal of your own key fob to burglarize your vehicle in seconds.
[00:23:38.001 --> 00:23:44.225]  The Black Hole Faraday key fob bag is a signal impenetrable shield that stops these hacks in their tracks.
[00:23:44.225 --> 00:23:46.526]  Protect one of your most valuable assets.
[00:23:46.526 --> 00:23:48.408]  Go to HackProofBag.com.
[00:23:48.408 --> 00:23:50.369]  That's HackProofBag.com.
[00:23:50.369 --> 00:23:52.630]  And use promo code RADIO to get 20% off.
[00:23:52.630 --> 00:23:53.130]  Or call 805-222-4584.
[00:23:53.130 --> 00:23:53.170]  805-222-4584.
[00:24:12.313 --> 00:24:13.915]  Monday through Friday from 11 a.m.
[00:24:13.915 --> 00:24:14.416]  to 3 p.m.
