[00:00:02.611 --> 00:00:04.412]  It makes zero sense.
[00:05:02.172 --> 00:05:05.454]  America is about to have its energy cut off, its borders destroyed.
[00:05:06.386 --> 00:05:09.209]  It's dollar brought down to nothing.
[00:05:09.209 --> 00:05:14.193]  All of you that have served Satan believe that you are on the right team.
[00:05:14.193 --> 00:05:17.176]  You're about to find out how pathetic you are.
[00:05:17.176 --> 00:05:24.422]  So I ask all of you who are awake and who love God, stop living in fear.
[00:05:24.422 --> 00:05:27.265]  The enemy is about to expose itself.
[00:05:27.265 --> 00:05:28.526]  The enemy can't help itself.
[00:05:33.587 --> 00:05:37.630]  We sit here as good people and get upset about that and try to stop it.
[00:05:37.630 --> 00:05:49.057]  We should, but once it comes through, once it hits us, once it's dominating us and raping us and attacking us, we just have to point out we tried to stop it.
[00:05:49.057 --> 00:05:51.218]  So prepare yourselves, America.
[00:05:51.218 --> 00:05:54.820]  You're going under judgment, just like all the children that were aborted.
[00:05:54.820 --> 00:05:55.761]  This is the truth.
[00:06:14.542 --> 00:06:15.622]  InfoWars.
[00:06:15.622 --> 00:06:16.823]  Tomorrow's news.
[00:06:16.823 --> 00:06:17.223]  Today.
[00:06:28.491 --> 00:06:31.112]  It's Monday, April 12th.
[00:06:31.112 --> 00:06:33.392]  The year is 2021.
[00:06:33.392 --> 00:06:37.553]  I'm your host, Alex Jones, and I'm extremely honored and blessed to be here.
[00:06:37.553 --> 00:06:39.533]  Thank you for keeping us on air.
[00:06:39.533 --> 00:06:41.234]  Thank you for holding us in place.
[00:06:41.234 --> 00:06:43.474]  Thank you for your prayers and your support.
[00:06:43.474 --> 00:06:47.415]  You are everything.
[00:06:47.415 --> 00:06:55.197]  Well, I have had extreme brainstorms last night and this morning, and it's just all hit me stronger than ever what we're facing and the enemy timeline.
[00:06:55.197 --> 00:06:56.557]  Now that we're so close to this thing,
[00:06:57.345 --> 00:07:02.926]  I can tell you very clearly what's going to happen next, unless we completely stop this.
[00:07:02.926 --> 00:07:15.368]  So when I talk about the post-human world, when I talk about an artificial end of the world, that doesn't mean complete end of the world, but technically the end of the world as we know it, that is if we don't take action.
[00:07:15.368 --> 00:07:22.750]  And I've been very bold with my family, I've been very bold with my friends about this the last few days, and I'm being very bold with you.
[00:07:22.750 --> 00:07:25.230]  I want you to know this is not hyperbole.
[00:07:26.488 --> 00:07:33.450]  On their current trajectory, by the year 2030, there will be a 90% world population reduction.
[00:07:33.450 --> 00:07:45.334]  As Klaus Schwab said, that will cure poverty, cure war, cure everything, because there won't be any people to speak of basically left.
[00:07:45.334 --> 00:07:47.554]  It's very, very sick.
[00:07:47.554 --> 00:07:52.456]  And if you oppose this, the ADL comes out and calls you a Nazi.
[00:07:53.453 --> 00:07:57.016]  When, if anything, this is Nazi-esque to the max.
[00:07:57.016 --> 00:07:58.997]  This is Nazi super-science.
[00:07:58.997 --> 00:08:05.182]  This is what the Nazis got from the Darwinian eugenicists in the U.S.
[00:08:05.182 --> 00:08:05.882]  and the U.K.
[00:08:05.882 --> 00:08:09.945]  that created the Kaiser Wilhelm Institute and all the rest of it.
[00:08:09.945 --> 00:08:21.114]  So, this is the world we live in, and I can tell you, and I've told you this many times, that they're running on a bunch of paths, but they all go basically the same place.
[00:08:21.812 --> 00:08:23.213]  But it's like Choose Your Adventure.
[00:08:23.213 --> 00:08:25.814]  Well, the globalists have Choose Your Adventure.
[00:08:25.814 --> 00:08:32.276]  They have a lot of different tracks, a lot of different tests, a lot of different systems, and they're always augmenting and adjusting as they go.
[00:08:32.276 --> 00:08:36.758]  It's kind of like the new artillery the Pentagon has that can shoot targets 45 miles away.
[00:08:36.758 --> 00:08:45.881]  It fires, and it's GPS has got little fins and tiny little boosters on it, and it can hit a tank at 45 miles away, even moving.
[00:08:46.749 --> 00:08:47.509]  Well, it's the same thing.
[00:08:47.509 --> 00:08:51.772]  They aim at the target, they've got the target, they fire, and then it's just adjusting as it goes.
[00:08:51.772 --> 00:09:02.997]  And they write the white papers, they have speeches, they go on C-SPAN and say, we're weather controlling everything, and then we talk about it, and they say, that doesn't exist, and have MSNBC make a joke.
[00:09:02.997 --> 00:09:08.000]  It's a breakaway civilization, and it's a civilization where we're going to be dead.
[00:09:08.000 --> 00:09:09.741]  Now, here's the deal.
[00:09:09.741 --> 00:09:11.842]  I can join them.
[00:09:11.842 --> 00:09:13.123]  I can still join them.
[00:09:13.123 --> 00:09:13.623]  Did you know that?
[00:09:14.620 --> 00:09:18.682]  Almost no one else who's even serving it is even going to be allowed to join these people.
[00:09:18.682 --> 00:09:20.303]  I am not going to join them.
[00:09:20.303 --> 00:09:24.746]  But the door has been opened yet again recently for me to join.
[00:09:24.746 --> 00:09:28.068]  They really want to get people to understand all this on their team.
[00:09:28.068 --> 00:09:31.049]  They think it's a good thing they're doing.
[00:09:31.049 --> 00:09:36.132]  I've been around some of these top globalists, and let me tell you, the vibe is enough to make me never join them.
[00:09:36.132 --> 00:09:40.394]  This is spiritual, ladies and gentlemen, and they want you to go with them.
[00:09:40.394 --> 00:09:43.196]  Just like a third of the angels went with this piece of crap,
[00:09:43.937 --> 00:09:45.658]  And he's trying the same thing right now.
[00:09:45.658 --> 00:09:49.459]  This is an alien force and everybody knows it.
[00:09:49.459 --> 00:09:51.660]  So here's the broadcast today.
[00:09:51.660 --> 00:09:58.983]  We've got something just as big as SPARS 2528 from the same people, John Hopkins, I'll be telling you about that next hour.
[00:09:58.983 --> 00:10:05.645]  Owens Troyer is going to be in the valley at a key border facility that I'm not going to mention until he's there.
[00:10:07.374 --> 00:10:09.896]  In about 30 minutes, but we'll have live coverage of that.
[00:10:09.896 --> 00:10:17.801]  He'll be doing the whole fourth hour with me from a very special place that we'll tell you about at that time today on the ground.
[00:10:17.801 --> 00:10:21.263]  So look for that.
[00:10:21.263 --> 00:10:23.324]  We also have Ezra Levant of Rebel News.
[00:10:23.324 --> 00:10:28.167]  We now have the incredible images that broke in the middle of the show yesterday of hundreds of riot police
[00:10:28.809 --> 00:10:37.495]  Pushing citizens out trying to pray in a field at their church that's been shut down, but a Walmart is again a mile and a half away and totally open.
[00:10:37.495 --> 00:10:38.735]  And you're like, this is outrageous.
[00:10:38.735 --> 00:10:49.722]  Well, it's outrageous like having the Prime Minister, Trudeau, say, I want Canada to be a dictatorship like China that Xi Jinping has set up.
[00:10:49.722 --> 00:10:52.404]  I mean, that's a quote.
[00:10:52.404 --> 00:10:53.265]  And then now
[00:10:54.429 --> 00:10:55.009]  Now you see it.
[00:10:55.009 --> 00:10:56.810]  We showed another video that showed the crowd.
[00:10:56.810 --> 00:10:57.510]  That's what's beautiful.
[00:10:57.510 --> 00:10:58.431]  We can show that.
[00:10:58.431 --> 00:11:00.472]  Thousands of Christians out there praying.
[00:11:00.472 --> 00:11:02.773]  Normally the church has about 200 members.
[00:11:02.773 --> 00:11:03.673]  Thousands there.
[00:11:03.673 --> 00:11:11.857]  So it's definitely, definitely starting to backfire on them, and that's the answer.
[00:11:11.857 --> 00:11:13.838]  But they've got a larger plan to do this.
[00:11:13.838 --> 00:11:16.599]  They're just conditioning the public to accept all of this.
[00:11:18.338 --> 00:11:21.281]  Owen Schroyer and Ezra Levant on the broadcast.
[00:11:21.281 --> 00:11:23.042]  Okay, let me do this.
[00:11:23.042 --> 00:11:25.264]  Let me just give you an example of what we're dealing with here.
[00:11:25.264 --> 00:11:27.546]  Overhead shot, please.
[00:11:27.546 --> 00:11:31.329]  Biden and men threatens consequences against Russia for military buildup in Ukraine.
[00:11:31.329 --> 00:11:32.490]  Threatens military action.
[00:11:32.490 --> 00:11:34.752]  Insane escalation.
[00:11:34.752 --> 00:11:36.773]  We're going to look at that key information.
[00:11:36.773 --> 00:11:39.696]  Then we've got this.
[00:11:39.696 --> 00:11:40.396]  Video.
[00:11:40.396 --> 00:11:45.641]  DARPA is working on COVID vaccine implantable microchip to detect virus.
[00:11:45.641 --> 00:11:45.761]  Now,
[00:11:47.495 --> 00:11:54.398]  Remember last year, last February and March, we played on air probably about 500 times.
[00:11:54.398 --> 00:11:56.099]  We played about five or six times a day.
[00:11:56.099 --> 00:12:02.002]  Rice University in Texas and MIT in Massachusetts with their directors of their nanotech.
[00:12:02.691 --> 00:12:16.717]  Saying we're funded by Bill and Melinda Gates to create a digital tattoo that we put on you that puts tiny pieces of glass into you that's on the back of a band-aid that works into your body and never comes out because the microchips are so small now they're grains of sand size.
[00:12:16.717 --> 00:12:27.221]  Little pieces of glass work into you and that are part of your body and then we can track everywhere you go and make sure you've been vaccinated and then also scan it and read to see what is going on with you.
[00:12:28.161 --> 00:12:36.986]  And they didn't, I guess, want the local newscast out of Houston to be known or the one out of Massachusetts that were really internal PR things done by the university to donors.
[00:12:36.986 --> 00:12:40.848]  These were both donor films showing, oh, Bill Gates is funding us.
[00:12:40.848 --> 00:12:41.649]  Match our money.
[00:12:41.649 --> 00:12:48.193]  We're going to implant the public with digital microchips that are on Band-Aid bandages and also in the shots.
[00:12:48.193 --> 00:12:48.713]  And we showed you
[00:12:49.958 --> 00:12:50.879]  The patents of that.
[00:12:50.879 --> 00:12:59.811]  Now the way Snopes and others said it wasn't true is they look at one patent for the nanotech implantable chips in the vaccine or in a bandage and then another patent we were covering
[00:13:00.954 --> 00:13:19.058]  A blockchain where as you walk down the road and you follow every move of the satellite ordering you to, with a brain chip, but first it'll be a phone or the nav on your car telling you what to do, then you will get, like a video game, more bonus money from the blockchain from Bill Gates or from the UN.
[00:13:19.058 --> 00:13:22.019]  And they go, oh, that's a blockchain thing.
[00:13:22.019 --> 00:13:23.399]  That's not an implantable chip.
[00:13:23.399 --> 00:13:27.600]  They would mix the two documents together when we were pointing out that they're fusing it all together.
[00:13:29.082 --> 00:13:30.222]  We'll play this when we come back.
[00:13:30.222 --> 00:13:35.484]  Guess what happened on 60 Minutes?
[00:13:35.484 --> 00:13:42.347]  60 Minutes came out and said, here's the little flesh green alien looking thing that we put in all the troops.
[00:13:42.347 --> 00:13:45.608]  We have to know if somebody's getting sick, it'll help others.
[00:13:45.608 --> 00:13:48.529]  So you must take the chip if it'll help others.
[00:13:48.529 --> 00:13:50.969]  You must wear the mask if it'll help others.
[00:13:50.969 --> 00:13:52.870]  You must social distance if it'll help others.
[00:13:52.870 --> 00:13:58.452]  You must be non-essential and go bankrupt and stay in your home to help others when it's all a plan to collapse things.
[00:13:59.702 --> 00:14:02.803]  When the masks don't protect you, when they give you bacterial pneumonia, it doesn't matter.
[00:14:02.803 --> 00:14:05.024]  What did the Travis County Judge Livingston say?
[00:14:05.024 --> 00:14:14.266]  She said, we're always going to wear the mask, basically, because from now on, if any virus, flu or cold, anything can hurt you, we must all be dirty and bad forever.
[00:14:14.266 --> 00:14:18.787]  Even though all the studies show breathing on each other gives us better immunity, and if we don't have it, we become bubble boys.
[00:14:18.787 --> 00:14:19.548]  It doesn't matter.
[00:14:19.548 --> 00:14:21.628]  She's got her orders, so now she's doing it.
[00:14:21.628 --> 00:14:22.909]  I've got her quotes right here.
[00:14:22.909 --> 00:14:24.969]  It's the same all over the country, all over the world.
[00:14:24.969 --> 00:14:27.650]  This is a fantastical rollout, and we have video.
[00:14:29.173 --> 00:14:34.935]  Of the old woman sitting there in Chile trying to go to the grocery store.
[00:14:34.935 --> 00:14:37.797]  And the police say, no, you don't have a travel pass.
[00:14:37.797 --> 00:14:39.337]  You don't have a cell phone.
[00:14:39.337 --> 00:14:40.598]  You don't have a QR code.
[00:14:40.598 --> 00:14:41.898]  It's already being put in there.
[00:14:41.898 --> 00:14:43.159]  England's rolling it out now.
[00:14:43.159 --> 00:14:43.919]  Spain's rolling it out.
[00:14:43.919 --> 00:14:44.659]  Australia.
[00:14:44.659 --> 00:14:48.201]  And the old lady goes away and doesn't get food.
[00:14:48.201 --> 00:14:50.141]  Because she doesn't even have a cell phone.
[00:14:50.141 --> 00:14:51.282]  She doesn't even know how to do it.
[00:14:52.426 --> 00:14:57.147]  This is so demonic, this is so evil, this is so wrong, and it's here.
[00:14:57.147 --> 00:14:59.507]  Remember all the New York Times and Washington Post?
[00:14:59.507 --> 00:15:02.588]  Hell, Bill Gates' daughter came out last year.
[00:15:02.588 --> 00:15:03.848]  She's going to be a doctor herself.
[00:15:03.848 --> 00:15:04.849]  She's doing her residency.
[00:15:04.849 --> 00:15:06.629]  In fact, grab that, guys.
[00:15:06.629 --> 00:15:14.331]  Bill Gates' daughter makes a joke and says, oh, here's the vaccine, but it doesn't have a microchip in it like you claim my dad wants you to have.
[00:15:14.331 --> 00:15:16.011]  Well, I'm going to show you
[00:15:17.208 --> 00:15:25.652]  Your controller chip that tracks everywhere you go, what you do, and it's a little green thing with tentacles that goes into your body.
[00:15:25.652 --> 00:15:27.072]  It's not a science fiction movie.
[00:15:27.072 --> 00:15:31.615]  It's a little vile, swimming around, little green creature.
[00:15:31.615 --> 00:15:33.595]  Of course, not technically, but that's what it is.
[00:15:33.595 --> 00:15:35.296]  It's a globalist tech system.
[00:15:35.296 --> 00:15:36.777]  And of course, the troops have already had a lot of these.
[00:15:36.777 --> 00:15:38.378]  They've already had brain chips put in.
[00:15:38.378 --> 00:15:39.498]  I have a family that's an officer.
[00:15:39.498 --> 00:15:40.739]  He's out of the army now.
[00:15:40.739 --> 00:15:42.639]  They actually got in trouble 15 years ago.
[00:15:42.639 --> 00:15:43.600]  They were in a secret briefing.
[00:15:44.481 --> 00:15:52.490]  Uh, about, uh, chips going into the troops and a bunch of them got chips and they actually found out he told me about it and got in his face about it, but that's how real this is.
[00:15:52.490 --> 00:15:54.472]  And it's all about slavery and death.
[00:15:54.472 --> 00:15:57.175]  It's all about Satan and off-world takeover.
[00:15:57.175 --> 00:16:01.000]  Epic is one of only a handful of domain registers.
[00:16:01.660 --> 00:16:02.601]  We're good to go.
[00:16:24.683 --> 00:16:24.944]  I think so.
[00:16:42.824 --> 00:16:49.649]  So it's a win-win as we build a true, open, free internet again, because the globalists are destroying what was open and what was free.
[00:16:49.649 --> 00:16:54.092]  So, InfoWarsDomains.com, the revolution starts there.
[00:16:54.092 --> 00:16:57.114]  InfoWarsDomains.com, take action now!
[00:16:57.114 --> 00:16:59.516]  It's hard to believe that we're already into the middle of April.
[00:17:00.572 --> 00:17:10.678]  And our border's collapsing and world governments are being announced that Joe Biden's coming after our guns and trying to start a war with Russia, but told China they can take over Hong Kong and Taiwan.
[00:17:10.678 --> 00:17:16.422]  So China's done a blockade around Taiwan and is threatening to invade Hong Kong.
[00:17:16.422 --> 00:17:18.423]  They already sent troops into Hong Kong.
[00:17:18.423 --> 00:17:19.624]  This is madness.
[00:17:19.624 --> 00:17:23.907]  And our government's been hijacked now by these globalists and they're trying to shut us down.
[00:17:25.071 --> 00:17:27.714]  They took our sponsors away a long time ago.
[00:17:27.714 --> 00:17:30.457]  But you sponsor us by buying products direct.
[00:17:30.457 --> 00:17:32.380]  So these are already great products you need.
[00:17:32.380 --> 00:17:36.184]  Whether it's Vitamineral Fusion back in stock, or whether it's Winter Sun, or whether it's Lung Cleanse.
[00:17:36.184 --> 00:17:40.429]  They're all 40% off individually, 50% off when you order them in combos or together.
[00:17:40.996 --> 00:17:43.697]  But regardless, it funds the Infowar, which is a 360Win.
[00:17:43.697 --> 00:17:47.859]  So, in this critical time in history, with all this craziness happening, I want to thank you all for your support.
[00:17:47.859 --> 00:17:53.502]  I want to remind you, these are products you and your family already need, and they fund the Infowar, a true 360Win.
[00:17:53.502 --> 00:17:55.282]  So take advantage of these products today.
[00:17:55.282 --> 00:18:00.665]  Find them at InfowarStore.com.
[00:18:00.665 --> 00:18:03.346]  You're listening to the Alex Jones Show.
[00:18:10.524 --> 00:18:12.625]  The Alex Jones Show.
[00:18:12.625 --> 00:18:18.427]  Because there is a war on for your mind.
[00:18:18.427 --> 00:18:28.830]  It was eight years ago, we saw a headline at the Council on Foreign Relations, Foreign Affairs.
[00:18:28.830 --> 00:18:39.814]  Also, the sister publication of the Washington Post, Public Affairs, put out another article with a headline, Obama Legalizes Domestic Propaganda.
[00:18:41.855 --> 00:18:42.635]  And what did that mean?
[00:18:42.635 --> 00:18:57.361]  It meant the CIA and other agencies that have been busy lying to people in foreign countries, publishing fake news articles, you name it, dirty tricks against our quote, enemies, were now doing that to us domestically.
[00:18:57.361 --> 00:19:07.425]  And if you study psychology, you learn that there's really some very dark forms of it, where they can just ruin people's minds and totally destroy critical thinking.
[00:19:08.963 --> 00:19:14.246]  And they've got different schools of thought and different names for it, but basically it's like short-circuiting a computer.
[00:19:14.246 --> 00:19:15.826]  And that's what you now see on the news.
[00:19:15.826 --> 00:19:23.430]  They'll go, there is no government plan to put chips in anyone and track where they go.
[00:19:23.430 --> 00:19:30.373]  That's why MIT has chips they want to put in the troops to track where they go and what they do.
[00:19:30.373 --> 00:19:35.936]  Like if I had a Uzi submachine gun and I'm at a shooting range and I go, this is not an Uzi submachine gun.
[00:19:35.936 --> 00:19:37.877]  Fired it and said, see, this is not an Uzi.
[00:19:41.340 --> 00:19:46.463]  And so, a year ago, we're showing you MIT News saying Bill and Melinda Gates Foundation funds it.
[00:19:46.463 --> 00:19:47.984]  It's public.
[00:19:47.984 --> 00:19:50.305]  They also fund Rice.
[00:19:50.305 --> 00:19:53.307]  We've shown you the newscast over and over again, and what do they do?
[00:19:53.307 --> 00:19:55.028]  They censor our reports.
[00:19:55.028 --> 00:19:56.929]  They censor other people.
[00:19:56.929 --> 00:19:58.390]  The Corbett Report used to do a great job.
[00:19:58.390 --> 00:20:00.492]  I was seeing where they were taking his videos down about Bill Gates.
[00:20:00.492 --> 00:20:03.594]  These are Bill Gates's professors.
[00:20:03.594 --> 00:20:06.235]  He funds their offices.
[00:20:06.235 --> 00:20:08.376]  They call them chairs.
[00:20:08.376 --> 00:20:09.117]  Whole programs.
[00:20:10.811 --> 00:20:18.234]  And then you show it and go, look, he's doing it, and they go, oh no, that's disinfo, that's not official medical info from the United Nations.
[00:20:18.234 --> 00:20:22.956]  WHO is the only global authority on anything.
[00:20:22.956 --> 00:20:32.300]  And then Governor DeSantis has a hearing with dozens of top scientists, and they lay out that it wasn't as bad as they said, it's the common cold and vaccines aren't going to work because it always mutates, which is all true.
[00:20:32.300 --> 00:20:37.943]  They go, sorry, Governor DeSantis, you can't show your hearings in the legislature
[00:20:38.999 --> 00:20:42.140]  Because the UN says it's not true.
[00:20:42.140 --> 00:20:42.901]  Wow!
[00:20:42.901 --> 00:20:49.763]  And this isn't just censorship, this is a foreign governmental system doing this to us.
[00:20:49.763 --> 00:20:53.105]  And so MIT and Rice have developed three different things we know of.
[00:20:53.105 --> 00:20:57.867]  Hell, I just asked the crew to search this, they found a bunch of stuff I didn't know about during the break.
[00:20:57.867 --> 00:21:00.888]  About nanotech they're gonna put in your soft drink now.
[00:21:00.888 --> 00:21:05.210]  I mean, this is a total invasion takeover.
[00:21:05.210 --> 00:21:05.590]  But then,
[00:21:06.807 --> 00:21:18.894]  There's the psychology of this, where they lie to you and say, this is not a chip to track you.
[00:21:18.894 --> 00:21:22.657]  It just simply tells a computer when you test your own blood.
[00:21:22.657 --> 00:21:24.378]  But you're going into a computer!
[00:21:24.378 --> 00:21:26.099]  It's a Pentagon computer!
[00:21:26.099 --> 00:21:30.802]  And they have the troops, the left is fascinated with military, because they can make them do whatever they want, they think.
[00:21:30.802 --> 00:21:35.224]  And of course, you now know in LA and Orange County schools,
[00:21:36.946 --> 00:21:39.587]  Offering young children vaccines without their parents' consent.
[00:21:39.587 --> 00:21:42.347]  They're even admitting it in hearings they're having.
[00:21:42.347 --> 00:21:46.268]  Do you realize how illegal that is?
[00:21:46.268 --> 00:21:52.549]  And that's the thing, they're having the whole system commit crime, claiming they have the high ground as a revolution to overwhelm us.
[00:21:52.549 --> 00:21:54.770]  So, overhead shot please.
[00:21:54.770 --> 00:22:00.131]  Here's Media Matters memorializing this from last March.
[00:22:00.131 --> 00:22:04.552]  Alex Jones unhinged conspiracy theories about Bill Gates and the coronavirus.
[00:22:05.962 --> 00:22:19.313]  And it goes on to say, Jones claims Gates is funding implantable microchips to track your vaccination or to track COVID.
[00:22:19.313 --> 00:22:21.235]  Also say he's a supervillain behind a death cult.
[00:22:21.235 --> 00:22:23.257]  I mean, what is he?
[00:22:23.257 --> 00:22:25.839]  World shocked by Bill Gates' blueprint for collapse.
[00:22:25.839 --> 00:22:29.542]  I mean, this is all real.
[00:22:29.542 --> 00:22:34.046]  Bill Gates and Fauci knew about coronavirus for years and prepared to make themselves rich and powerful.
[00:22:37.141 --> 00:22:39.962]  Bill Gates had mentioned the population plan amid coronavirus outbreak.
[00:22:39.962 --> 00:22:41.342]  And this is all real stuff.
[00:22:41.342 --> 00:22:42.923]  They just don't link to it so you can see it.
[00:22:42.923 --> 00:22:44.863]  They just say it's not true.
[00:22:44.863 --> 00:22:47.924]  So, I'm a liar, folks.
[00:22:47.924 --> 00:22:51.025]  Oh, look, storing medical information below the skin's surface.
[00:22:51.025 --> 00:22:52.325]  MIT News.
[00:22:52.325 --> 00:22:53.105]  Bill Gates funding in 2019.
[00:22:53.105 --> 00:22:56.966]  Just showed you the quote on screen.
[00:22:56.966 --> 00:22:59.087]  Invisible ink tattoos to be used.
[00:22:59.087 --> 00:23:00.487]  Now, let's move on to the big story.
[00:23:00.487 --> 00:23:03.808]  It's on InfoWars.com.
[00:23:03.808 --> 00:23:04.968]  It's a Paul Joseph
[00:23:06.394 --> 00:23:10.196]  Watch the story, and it's 60 minutes.
[00:23:10.196 --> 00:23:14.119]  Now this isn't some government thing to track, you know.
[00:23:14.119 --> 00:23:33.150]  It's just the Pentagon, and it's in a little sealed test tube, and it's little green things with tentacles, little nanotech that plugs into your nerves and then transmits to a smartphone or other computer.
[00:23:33.150 --> 00:23:34.831]  Oh, there's nothing wrong there.
[00:23:36.638 --> 00:23:39.339]  And they do the gaslighting.
[00:23:39.339 --> 00:23:42.800]  Famous gaslighting is you start slapping a woman.
[00:23:42.800 --> 00:23:44.001]  And you say, no one's slapping you.
[00:23:44.001 --> 00:23:45.301]  And you call like 10 other men in the room.
[00:23:45.301 --> 00:23:47.262]  They go, no one's slapping you, no one's slapping you.
[00:23:47.262 --> 00:23:51.944]  And women particularly, if you keep slapping them for about an hour, they will start believing that they're not being slapped.
[00:23:51.944 --> 00:23:54.165]  It's called Stockholm Syndrome.
[00:23:54.165 --> 00:23:56.005]  And I'm not being mean to women.
[00:23:56.005 --> 00:23:56.666]  I'm not putting you down.
[00:23:56.666 --> 00:23:57.746]  It's just you're the main target.
[00:23:57.746 --> 00:24:00.187]  You see how women are submitting so much, but so do men as well.
[00:24:01.710 --> 00:24:05.312]  But they estimate 10 to 1 women are going to take these chips above men.
[00:24:05.312 --> 00:24:06.593]  Oh, it's how you work as a community.
[00:24:06.593 --> 00:24:07.474]  It's how you're good.
[00:24:07.474 --> 00:24:10.716]  And now everybody's buying with the chip.
[00:24:10.716 --> 00:24:15.019]  Well, now these new chips just go into your bloodstream and you never can get them out.
[00:24:15.019 --> 00:24:15.799]  Comprende?
[00:24:15.799 --> 00:24:18.521]  Girls are like, I'll just dig that microchip out if they make me have it.
[00:24:18.521 --> 00:24:20.262]  They're going to inject it into your tissue.
[00:24:20.262 --> 00:24:20.943]  It's the mark.
[00:24:22.202 --> 00:24:24.525]  Their genetic mark on you.
[00:24:24.525 --> 00:24:27.689]  The Pfizer one alone has jellyfish genes.
[00:24:27.689 --> 00:24:30.773]  A dead baby from 1976 in it.
[00:24:30.773 --> 00:24:32.395]  All this other weird stuff.
[00:24:32.395 --> 00:24:33.857]  And scientists ask, what's this for?
[00:24:33.857 --> 00:24:34.879]  They go, oh, it's experimental.
[00:24:34.879 --> 00:24:36.160]  You're not allowed to ask.
