[00:00.000 --> 00:10.000]  The globalist's great error is to believe that as they collapse humanity, they end up on top.
[05:00.000 --> 05:12.000]  Thousands of years ago, there was a basic form of chivalry. Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[05:12.000 --> 05:20.000]  60 years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[05:20.000 --> 05:30.000]  But in the 21st century, there are silent weapons for quiet war. Pathetogens added to the food and water, into the lining of plastics that destroy our vitality,
[05:30.000 --> 05:34.000]  turn off our hormones, and accelerate our journey towards death.
[05:34.000 --> 05:49.000]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known, organic, concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[05:49.000 --> 05:59.000]  Discover why Anthroplex has turned so many heads today. It's time for us to take our bodies back into our own hands and it starts at infowarslife.com with Anthroplex.
[05:59.000 --> 06:08.000]  We want your soul. We want your soul. We want your soul.
[06:08.000 --> 06:15.000]  Defending the Republic from enemies, foreign, and domestic. It's Alex Jones.
[06:15.000 --> 06:30.000]  Close your habits, your facts, your fears, give us your address, your shoes, sights, your ears, your digits, your blood, your blood.
[06:30.000 --> 06:36.000]  Wayne Wiggington, just one of the best researchers out there, he's a scientist engineer, into geoengineering and weather modification is going to be joining us coming up in the second hour.
[06:36.000 --> 06:48.000]  Stan Dayo is going to pop in at the bottom of the hour. One of the top, he's an engineer with many letters behind his name, but one of the top accurate predictors, lay predictors of earthquakes.
[06:48.000 --> 07:00.000]  We're going to be talking to him and looking at some of the latest models dealing with earthquakes and why the strongest earthquake in Mexican history and the history of Mexico to be recorded hit just a few days ago.
[07:00.000 --> 07:14.000]  And why are earthquakes and typhoons and hurricanes tied into that historically that is all coming up because I don't want to just sit here and look at an event like this and say, oh, let's pay Al Gore some carbon taxes.
[07:14.000 --> 07:26.000]  You know, let's say that this is all man made by individuals without looking at the fact that it's been the sun historically and the science shows this.
[07:26.000 --> 07:31.000]  We had an astrophysicist on earlier today before I did my standard Sunday 4 to 6 p.m.
[07:31.000 --> 07:48.000]  We've been live since 9 a.m. this morning myself and Leanne McAdoo and own shroyer and of course David Knight and much the crew and we had a very esteemed physicist on astrophysicist from Harvard getting into how the sun is the main driver.
[07:48.000 --> 07:57.000]  We're going to be airing some excerpts of that towards the end of the broadcast as well. Our own Millie Weaver hosting for two hours interviewed him very powerful information.
[07:57.000 --> 08:01.000]  The sun is more than 99% of the climate.
[08:01.000 --> 08:19.000]  You know, whenever I say the sun's much bigger than the earth, I'll throw out how many planet Earths it would take just to fill up the surface of the sun, but not the actual entire volume of the sun. So will you guys pull up for me?
[08:19.000 --> 08:26.000]  How many Earths can fit into the sun? Just to give you guys an example. It's an astronomical number. I don't want to get it wrong from memory.
[08:26.000 --> 08:34.000]  But imagine the UN and mainline meteorologist. They had a UN vote seven years ago.
[08:34.000 --> 08:43.000]  University today, 1.3 million Earths.
[08:43.000 --> 08:50.000]  The answer is it would take 1.3 million. That's 1,300,000 Earths to fill up the sun. That's a lot of Earths.
[08:50.000 --> 08:56.000]  The sun makes up 99.86 of the mass of the solar system.
[08:56.000 --> 09:03.000]  And it's giant planets like Jupiter and Saturn, which make up most of the remaining 0.14% of the solar system.
[09:03.000 --> 09:08.000]  Give me a favor, print me that universe today article with the NASA data.
[09:08.000 --> 09:14.000]  So see, I just threw out something like, the sun is thousands of times bigger than the earth.
[09:14.000 --> 09:21.000]  Then I set that on air today and I was like, wait a minute. Jupiter is like 300 times.
[09:21.000 --> 09:26.000]  It isn't Saturn 90 times. Let's just see if my memory is right. Probably isn't.
[09:26.000 --> 09:33.000]  And then I started thinking, wait, they admit you could put hundreds and hundreds of Jupiters in the sun.
[09:33.000 --> 09:43.000]  And you start looking at the numbers, it's no, it's tens of thousands of Jupiters and Saturns in the sun and all the other planets because it's 0.14.
[09:43.000 --> 09:55.000]  So imagine 1.3 million third rock from the sun, planet Earth, terra firma, 1.3 million.
[09:55.000 --> 10:03.000]  And we are third rock out, it's Mercury, Venus, Earth, Mars, it goes out from there.
[10:03.000 --> 10:12.000]  And they're telling us the sun has nothing to do with climate, even though we have the hurricanes and we have summer when we're tilted towards the sun.
[10:12.000 --> 10:22.000]  And then on the bottom of the earth, when it's tilted around, it gets more sun for part of the year.
[10:22.000 --> 10:31.000]  Now this is incontrovertible fact. It is the sun that heats more than 99% of the earth. What heats the rest of it?
[10:31.000 --> 10:36.000]  Thermal vents, they account for, let's test my memory, less than 1%.
[10:36.000 --> 10:46.000]  Thermal vents, volcanic heat that makes it up to the crust of the earth, into the ocean mainly and some volcanoes on the surface.
[10:46.000 --> 10:54.000]  But subterranean volcanoes, undersea volcanoes, above ground volcanoes.
[10:54.000 --> 10:58.000]  You got a lot of volcanic heat that comes up through hot water and springs.
[10:58.000 --> 11:08.000]  So you've got volcanoes under the ground or you've got fissures down on the earth into magma and then you've got the above ground volcanoes and then you've got the undersea volcanoes and the big pacific rim and other areas.
[11:08.000 --> 11:15.000]  And that's the main thing other than the sun heating the earth and it's less than 1%. It's estimated.
[11:15.000 --> 11:23.000]  So the sun is the main system heating the earth.
[11:23.000 --> 11:30.000]  And in the summer we have the hurricanes into the early fall because the water gets the hottest towards the end of the summer.
[11:30.000 --> 11:36.000]  And even as it cools a little bit, still it takes time for that massive water to dissipate that heat energy.
[11:36.000 --> 11:38.000]  I'm no scientist. This is all just admitted fact.
[11:38.000 --> 11:46.000]  But the UN seven years ago, because all these scientists were coming out astrophysicists from Harvard and other places and we're saying,
[11:46.000 --> 11:53.000]  what you're doing is a fraud saying it's manmade and it's carbon dioxide. We are such a small effect. It's mainly the sun.
[11:53.000 --> 11:57.000]  They said, no, we don't want to hear that. So they had a vote at the Copenhagen event at the UN.
[11:57.000 --> 12:08.000]  They were meeting Copenhagen Denmark for the treaty for world government carbon tax treaty to track everything we do and taxes and make us pay money to private central banks anytime we did any human activity.
[12:08.000 --> 12:21.000]  Total global feudalist system. And they said at that event, we have voted with the UN scientist, the handpicked ones, that the sun has no effect on climate.
[12:21.000 --> 12:24.000]  He word change.
[12:24.000 --> 12:40.000]  Ladies and gentlemen, it is an absolute fact that when the sun goes into these heating cycles and dormant cycles that are roughly 11 to 12 year cycles, then it has super cycles, 120 year cycles that the sun heats up and the sun heats down.
[12:40.000 --> 12:47.000]  The sun heats up. The sun heats down when it's heating up, when it's having more thermal nuclear explosions inside of it.
[12:47.000 --> 12:57.000]  But as such a mass, it contains those explosions, some of it ripples out on the surface as solar flares, as coronal mass ejections.
[12:57.000 --> 13:03.000]  And those fly out towards the earth with all their heat. You feel it when you're outside, not a conspiracy theory.
[13:03.000 --> 13:07.000]  You feel it outside that plants live off of it, photosynthesis.
[13:07.000 --> 13:11.000]  And when we're pointed towards the sun, leaning towards it, we have the summer.
[13:11.000 --> 13:19.000]  And then as we turn away, we go to the fall. We're really turned away. We're the winter. As we turn back in, it's the spring. And it's the summer.
[13:19.000 --> 13:24.000]  I know 99% of you are saying, Jones, we know all this. 2 plus 2 equals 4.
[13:24.000 --> 13:34.000]  Well, under the program they wanted in the public schools with Obama, they said that 2 plus 2 does not always equal 4 under Common Core.
[13:34.000 --> 13:44.000]  So they're engineering mass voodoo, mass mental illness. Whenever Christians say, oh, we're having hurricanes or tornadoes because of sodomy or something,
[13:44.000 --> 13:48.000]  people say, oh, you're a bunch of voodoo crazies, bunch of superstitious.
[13:48.000 --> 13:58.000]  But then when Jennifer Lawrence, who I'm going to play when we come back, when she comes out and says that it is the fault of people voting Trump,
[13:58.000 --> 14:10.000]  Irma and Harvey, the Hollywood goes wild and says yes. And then they have the more pseudo science version, the CNN and the New York Times have people on there going, yes,
[14:10.000 --> 14:15.000]  this is global warming man made. We're paying for it from Mother Nature.
[14:15.000 --> 14:24.000]  So they're telling you that you're individually geoengineering everything individually in the aggregate.
[14:24.000 --> 14:30.000]  You're bad. But governments aren't geoengineering. But here's the problem.
[14:30.000 --> 14:39.000]  Just like they had the Manhattan Project for four years, totally secret, hundreds of thousands of people involved compartmentalized.
[14:39.000 --> 14:49.000]  No one knew even when they tested an atomic bomb out in the desert in the United States, they just told folks all that was some thunder.
[14:49.000 --> 14:58.000]  Never mind, go away until they dropped a bombs on Hiroshima and Nakasaki in 1945.
[14:58.000 --> 15:02.000]  Now, that's a 1900 equation that gave us atomic bombs.
[15:02.000 --> 15:07.000]  Even the backwards North Koreans that can't even build their own cars or make their own toilet paper.
[15:07.000 --> 15:13.000]  They know how to make hydrogen bombs now because the Clintons and others gave them the technology.
[15:13.000 --> 15:19.000]  Imagine if they did that back in the 40s, what do they got cooking now? Well, here's the difference.
[15:19.000 --> 15:21.000]  They act like you're dumb animals.
[15:21.000 --> 15:28.000]  The globalists, the social engineers, the academics go have conferences, admit they're geoengineering, admit they're spraying, admit they're doing it all.
[15:28.000 --> 15:32.000]  Then they hire comedians. Globalist system is ridicule.
[15:32.000 --> 15:37.000]  They hire all the top comedians to go on all the shows and attack and make up stuff that I've never said.
[15:37.000 --> 15:43.000]  They didn't say there's no such thing as geoengineering, so that you never have a debate about it and say like an ignorant savage.
[15:43.000 --> 15:54.000]  Well, they just move on and take full control of the weather, which is something you know governments signed a treaty in 1978 to do secretly amongst themselves, but to not tell the public.
[15:54.000 --> 15:57.000]  You're going to see it all, the proof coming up.
[15:58.000 --> 16:03.000]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[16:03.000 --> 16:14.000]  Our organic formula is made from high quality natural ingredients such as Valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[16:14.000 --> 16:19.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[16:19.000 --> 16:27.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[16:27.000 --> 16:35.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[16:35.000 --> 16:37.000]  Wake up refreshed and take on the day.
[16:37.000 --> 16:45.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[16:45.000 --> 16:49.000]  Get the sleep you deserve and experience the power of knockout.
[16:49.000 --> 16:53.000]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[16:53.000 --> 16:57.000]  That's InfoWarsLife.com
[17:24.000 --> 17:28.000]  We have biological warfare going on everywhere. These are all parasites.
[17:28.000 --> 17:31.000]  Tell us about all the stuff we said. There's so many things that are in it.
[17:31.000 --> 17:35.000]  You have the neem in there. You have the organic clove bud, the organic wormwood.
[17:35.000 --> 17:39.000]  I recommend doing a parasite cleanse at least twice a year.
[17:39.000 --> 17:42.000]  Alright, well I'm glad we've got some back in because I'm going back on it today.
[17:42.000 --> 17:45.000]  It just came back in yesterday. Living Defense, InfoWarsLife.com
[17:45.000 --> 17:48.000]  And folks, you can't lose full of stuff that's great for your body, period.
[17:48.000 --> 17:54.000]  And you support the broadcast, InfoWarsLife.com. Thank you Dr. Group from the Global Healing Center.
[17:54.000 --> 18:19.000]  Thank you so much for all your work sir on this great product.
[18:24.000 --> 18:28.000]  Dairy products, desserts, and entire meals.
[18:28.000 --> 18:32.000]  That's what I'm talking about. And when compared to traditional methods of preservation,
[18:32.000 --> 18:37.000]  like canning or dehydrating, you know like what you get at the grocery store, there is no comparison.
[18:37.000 --> 18:43.000]  Harvestrite freeze dryers retain 97 percent of the food's taste, color and nutritional value
[18:43.000 --> 18:47.000]  and have a shelf life of up to 25 years.
[18:47.000 --> 18:50.000]  Now that's what I call the miracle of food preservation.
[18:50.000 --> 18:54.440]  Reservation harvest right is truly the world's best most affordable freeze-dryer
[18:54.440 --> 19:00.780]  So what are you waiting for check it out right now at info or store dot com after being sold out for months our best-selling
[19:00.800 --> 19:07.360]  Super blue fluoride toothpaste is now back in stock info or store.com research across the board is clear when bacteria
[19:07.360 --> 19:11.680]  Infects your gums it can enter your bloodstream and even contribute to blood clots and heart attacks
[19:11.680 --> 19:18.920]  That's why the last surgeon generals report on oral health warrants that your oral health can have a serious impact on your entire body
[19:18.920 --> 19:24.400]  Super blue fluoride free toothpaste is a groundbreaking new formula. It's loaded with good halogen iodine
[19:24.400 --> 19:31.560]  So the bad halogen fluoride super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria
[19:31.800 --> 19:38.000]  And eliminate bad breath just some of the ingredients in super blue chosen by our dental experts include xylitol
[19:38.200 --> 19:45.720]  Heppermint oil iodine nano silver and more due to requests from listeners who found that spearmint was a little bit too strong for some of their children
[19:45.720 --> 19:51.400]  We have created the new bubblegum flavored super blue that is spearmint free learn more about the new bubblegum flavor
[19:51.400 --> 19:57.760]  Super blue toothpaste and more at info wars life dot com and support the info war while you support healthy gums and teeth
[19:57.760 --> 20:12.760]  You're listening to the alex jones show
[20:17.760 --> 20:20.760]  Solar super storms are now slamming into the earth
[20:20.760 --> 20:27.160]  Directly tied to increase storm power as they ionized atmosphere creating more
[20:27.760 --> 20:29.760]  Particular water
[20:35.360 --> 20:43.040]  Waging war on corruption it's alex jones coming to you live from the front lines of the info war
[20:45.080 --> 20:47.080]  The secrets of
[20:47.080 --> 20:52.920]  Hurricanes weather modification geoengineering and the sun
[20:53.800 --> 21:01.440]  But the globalists don't want you to know we're covering it all here live on this sunday transmission during a 13 hour
[21:02.520 --> 21:07.080]  Special broadcast that's right. We started at 9 a.m. This morning and we're going until
[21:07.520 --> 21:12.840]  past 10 o'clock tonight when I'm done at 6 o'clock central Rob do and of course
[21:13.240 --> 21:15.720]  Michael Zimmerman are both going to be hosting
[21:15.720 --> 21:19.240]  The earth is right in the Goldilocks zone
[21:19.840 --> 21:26.720]  Too close to the Sun you'd be like Venus or Mercury too far away. You'd be like Mars too cold
[21:27.240 --> 21:31.400]  Not able to hold an atmosphere. We're right in the perfect spot
[21:32.080 --> 21:37.280]  Why would the UN vote seven years ago to say the Sun has no effect on climate change?
[21:37.280 --> 21:45.280]  Because they want to blame you and they want to play God and sell you on the idea that they
[21:45.880 --> 21:50.280]  Can control weather but only after they blamed you for the problems
[21:50.560 --> 21:55.680]  Then you've got to have a global tax for global geoengineering
[21:56.880 --> 21:58.880]  Migrate frustration is this I
[21:59.920 --> 22:01.480]  Have read
[22:01.480 --> 22:08.800]  60 page council on foreign relations reports. I've read 30 plus page UN reports
[22:08.800 --> 22:10.800]  I have read
[22:10.840 --> 22:12.880]  400 page books on geoengineering
[22:12.880 --> 22:18.800]  I've interviewed the father of weather weapons when it was declassified in 2006 and then he got a visit from the government
[22:18.800 --> 22:20.800]  Ben Livingston would do no more interviews
[22:21.640 --> 22:25.120]  He's admitted the former head of the Air Force program
[22:25.840 --> 22:27.040]  and
[22:27.040 --> 22:29.040]  I'm informed but
[22:29.040 --> 22:37.080]  Mastremedia will say Jones says the tornado was sent by Obama that hit Oklahoma City never said that or Jones says
[22:37.080 --> 22:42.880]  There's giant wasp living under the under the UN building never said that these are quotes
[22:43.200 --> 22:49.440]  From Rachel Maddow and others and then even people I know people that say they're my friends who are on TV and radio will go
[22:49.440 --> 22:53.040]  Yeah, Jones kind of gets out there saying there's giant wasp under the
[22:53.040 --> 22:59.440]  UN building or Jones kind of gets out there saying there's slave colonies on Mars. I called up one friend and I said
[22:59.440 --> 23:05.480]  I'll give you a hundred thousand dollars. You can show me saying that on video or audio over it. You can't find it. It's a lie. I
[23:07.560 --> 23:15.360]  Have a stack it doesn't hurt me that I'm being attacked. In fact, it makes me more popular more successful, but they're building this big
[23:17.040 --> 23:19.040]  straw man of me
[23:19.040 --> 23:26.880]  And so as they built this giant fake straw man to try to attack the human awakening and and create that as a symbol
[23:26.880 --> 23:31.640]  Try to make me a symbol of falsity the shadow of the giant lie. They've built makes
[23:32.640 --> 23:37.040]  My operation who I really am bigger for those that actually come and find us
[23:38.280 --> 23:42.080]  But see there's a race to build this big giant Alex Jones
[23:42.080 --> 23:48.260]  I mean seven TV shows airing weekly some five nights a week in prime time slots where the host is
[23:48.260 --> 23:53.820]  Supposedly me and they say the most racist horrible crap. I mean one episode is I'm Alex Jones
[23:53.820 --> 23:57.940]  And I hate people with long hair and they just repeat jokes about long hair
[23:58.260 --> 24:01.660]  So and then people long hair suddenly see me and go if you man
[24:02.180 --> 24:09.060]  Never said it and the next episode Alex Jones hates gays then goes through things. I've supposedly said Alex Jones hates blacks
[24:09.060 --> 24:11.060]  Remember Alec Baldwin
[24:11.180 --> 24:17.900]  Playing the part of the president on Saturday Night Live. I'm Alec. I'm president Trump. I don't like black people. They're not humans
[24:17.900 --> 24:19.900]  I learned it from Alex Jones
[24:20.300 --> 24:22.300]  info wars calm Alex Jones
[24:23.660 --> 24:28.420]  Now why would you do that because they think their viewers are idiots and they're
[24:29.140 --> 24:31.140]  inoculating them
[24:31.900 --> 24:33.220]  psychologically
[24:33.220 --> 24:35.220]  Every episode I hate women
[24:36.060 --> 24:38.580]  They'll even cut this out, but I don't care. They're deceivers
[24:38.980 --> 24:45.340]  They say I say I hate women. I hate gays. I hate trainings or they say, oh, that's the proper term
[24:45.340 --> 24:48.860]  You know use trans Alex. You're being hateful. There's no way to win. I
[24:49.500 --> 24:52.100]  Hate black people. I hate Hispanics and
[24:53.060 --> 24:58.380]  They just continue to put it out effects of a new listener tuned in they're probably thinking come on
[24:58.380 --> 25:03.940]  Alec Baldwin didn't come out and say those aren't humans. Those are black people. I learned it from Alex Jones. Okay
[25:04.340 --> 25:10.340]  Maybe you can cue that up people won't believe that I mean it's every show, but it's not like a couple of Saturday Night Lives attack me
[25:10.620 --> 25:11.660]  it's
[25:11.660 --> 25:18.100]  Two shows they've got on Comedy Central every day attacking or five days a week. It's it's two shows on HBO
[25:18.220 --> 25:23.380]  It's a showtime show and it's a bunch of other ones. I mean, it's everywhere. Why?
[25:24.580 --> 25:32.100]  If you know the answer to that you'll know how to defeat them because I do one thing that anybody else could do I
[25:34.740 --> 25:37.800]  Go out to the actual white papers from MIT
[25:38.540 --> 25:40.240]  Noah
[25:40.240 --> 25:43.780]  The major corporations the defense industries all of them
[25:43.780 --> 25:48.380]  They all want to brag about what they've done to shareholders or they want to brag to other scientists
[25:48.380 --> 25:50.380]  So they will thinly couch this stuff
[25:51.180 --> 25:54.220]  But they admit they're already kind of you know an engineer the whole planet
[25:54.220 --> 25:56.660]  I don't think they have full control because the Sun's so powerful
[25:56.660 --> 26:00.740]  That's why they're actually in competition with the Sun and mad that they're not God
[26:00.900 --> 26:02.900]  And I'm not saying the Sun's God
[26:02.900 --> 26:05.780]  But if you were an atheist it might as well be your God
[26:05.780 --> 26:12.420]  Because they say in like 10 minutes the surface would be freezing if the Sun's full radiation didn't happen
[26:12.420 --> 26:14.420]  You know it's a high noon
[26:14.860 --> 26:17.260]  Within days it'd be absolute zero
[26:17.980 --> 26:21.380]  Through much of the earth, but still the core would be molten for a while
[26:21.620 --> 26:28.980]  The Sun is 1.3 million times bigger than terra firma than this planetoid. We're on
[26:29.980 --> 26:31.980]  it's the driver and
[26:31.980 --> 26:39.060]  They're trying to manipulate but all they can do is nudge and already take weather systems that the Sun has created and then try to control those
[26:40.100 --> 26:46.020]  But coming up I'm going to go over the latest with the hurricane and so much more and we have some special guests joining us
[26:46.020 --> 26:48.020]  But I'm gonna show you if you're a TV viewer
[26:48.540 --> 26:52.860]  For radio listeners these are all posted on info wars calm, but you don't believe me
[26:52.860 --> 26:55.940]  You can go to department of defense dot gov and
[26:56.460 --> 27:01.020]  You can read DoD news briefing Secretary of Defense William S. Cohen
[27:01.020 --> 27:07.340]  Briefing them on their new weather weapons and their tectonic earthquake and volcano weapons
[27:08.260 --> 27:14.060]  You might want to read that for yourself. It's right there in the report. We're gonna go over that for you
[27:14.380 --> 27:20.100]  We're gonna continue US Air Force has dispatched its air sprayer C 130 to Texas in response to hurricane Harvey
[27:20.100 --> 27:22.500]  They can do weather modification. They can do chemical cleanup
[27:22.500 --> 27:27.500]  They can also do anti mosquito spray and they're massively increasing the fleet of them the point is it's going on
[27:27.500 --> 27:30.260]  The average person's departmental eyes don't even know the full mission
[27:30.860 --> 27:37.620]  Systems council on fire and relations developing an international framework for geo engineering. That's from
[27:38.660 --> 27:45.180]  2010 seven years ago. It's a 60 plus page report. I suggest you read it
[27:45.180 --> 27:48.300]  Oh, here's one from last year June 29th
[27:48.580 --> 27:56.140]  Central intelligence agency news and information press release with the director Brennan speaking at the council on fire and relations about their ongoing
[27:56.140 --> 28:02.160]  Program for world government and total geo engineering program to guess you might want to read it for yourself
[28:02.660 --> 28:06.420]  Let's continue. That's it CIA.gov by the way. Oh, here's another one
[28:06.420 --> 28:12.620]  But again, but again, just have a few comedians come out and laugh at me and see all the intellectuals though
[28:12.620 --> 28:15.660]  They're reading CIA.gov. They're reading the Atlantic
[28:16.380 --> 28:25.380]  They're reading CFR. They're reading about oh the company's doing it now Dubai and Qatar and Russia and China are all doing it with ground-breaking
[28:25.380 --> 28:29.900]  Electromagnetic systems to control the weather. Here's the Atlantic monthly
[28:30.740 --> 28:38.260]  Reengineering the earth. Oh, yeah, only the global government to do it though US Air Force is dispassious air sprayers. Here's another one
[28:39.460 --> 28:44.660]  Reflecting upon 10 years of geo engineering research. Oh, we got a big report here climate cloud
[28:45.100 --> 28:50.780]  Ionization electric rain making and laser-guided weather modification and right as all this comes out
[28:50.780 --> 28:56.060]  They got a big movie geo storm coming out next month right on time. Stay with us
[28:57.620 --> 29:02.060]  Men give your body the support it needs with info wars life prostiguard
[29:02.260 --> 29:08.920]  It's time to start assisting the body in regulating proper prostate balance info wars life has set out to bring you
[29:09.140 --> 29:11.420]  Formulations that are not only the highest quality out there
[29:11.420 --> 29:17.740]  But formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend
[29:17.740 --> 29:22.780]  The prostiguard formula does just that with its mixture of plant-based nutrients and
[29:23.380 --> 29:28.780]  Antioxidants that help give your body total support. It's a hand-selected blend of saw palmetto
[29:29.420 --> 29:31.420]  lycopene plant sterols
[29:31.500 --> 29:33.500]  zinc vitamin D3
[29:33.740 --> 29:35.500]  selenium and copper
[29:35.500 --> 29:40.060]  Prostiguard is something that the men on the info wars crew take every day and from our research
[29:40.060 --> 29:45.900]  It's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels
[29:45.900 --> 29:51.380]  Now is the time to start naturally supporting your body get prostiguard on your side today
[29:51.900 --> 29:56.260]  Exclusively at info wars life calm. That's info wars life calm
[29:58.980 --> 30:02.860]  Enjoy all natural bath and beauty products with Emmerich's essentials
[30:02.860 --> 30:10.020]  We are proud to bring you a collection of organic based household products at info wars store calm including non-nano
[30:10.820 --> 30:12.900]  SPF 30 zinc oxide sunscreen
[30:12.900 --> 30:17.100]  Deet-free herbal bug spray concentrated peppermint mouthwash
[30:17.740 --> 30:26.660]  Uncented body wash tea tree shampoo and long-lasting natural deodorant Emmerich's essentials is free of chemicals and toxins that may harm your body
[30:26.660 --> 30:34.860]  We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic our mission is to offer you
[30:34.900 --> 30:41.540]  Everyday organic household products to enhance your life truly feel the difference by going organic natural without
[30:41.540 --> 30:49.540]  Compromising on quality feel good about using Emmerich's essentials start saving money and stop exposing yourself and your family to toxic ingredients
[30:50.060 --> 30:58.220]  Visit info wars store calm and learn more about the new Emmerich's essentials line of organic products. That's info wars store calm
[30:58.500 --> 31:03.340]  We've taken thousands of years of known research and put it together with our own four years of
[31:03.820 --> 31:09.220]  Seeking and testing to find the very best systems that God gave us to mother nature to detoxify the body
[31:09.220 --> 31:15.620]  That's why I'm introducing Z shield toxic metal and chemical defense support. It's made in the USA
[31:15.620 --> 31:22.540]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the info war
[31:22.540 --> 31:28.380]  It is a classical 360 when this is the formula that I personally have been taking for over a year
[31:28.380 --> 31:35.220]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get you it's yourself
[31:35.220 --> 31:39.500]  Yo, it's your family and you owe it to the future of this country in the world that
