[00:00:00.391 --> 00:00:01.153]  You've got it!
[00:03:17.222 --> 00:03:19.603]  They had three inch grass and they had like three foot grass.
[00:03:19.603 --> 00:03:22.245]  And then here they are lecturing, but that's a side issue.
[00:03:22.245 --> 00:03:24.366]  We've got Fast and Furious news.
[00:03:26.142 --> 00:03:27.663]  As that really comes to a head.
[00:03:27.663 --> 00:03:33.564]  Also, Google Shopping Censors All Gun Ammo Accessories Results.
[00:03:33.564 --> 00:03:35.005]  Google is the NSA.
[00:03:35.005 --> 00:03:37.586]  Google is the Banker Occupational Government.
[00:03:37.586 --> 00:03:39.926]  That's come out, I told you, seven, eight years ago.
[00:03:39.926 --> 00:03:41.047]  Now it's been declassified.
[00:03:42.004 --> 00:03:43.105]  It is racketeering.
[00:03:43.105 --> 00:03:44.946]  It is censorship.
[00:03:44.946 --> 00:03:48.787]  It is trying to create a monopoly to shut down industries.
[00:03:48.787 --> 00:03:55.531]  I mean, they already give top links to their ads, top links to people that sponsor with them.
[00:03:55.531 --> 00:03:57.772]  They already pick winners and losers.
[00:03:57.772 --> 00:04:03.034]  They already put Amazon up on top.
[00:04:03.034 --> 00:04:03.915]  And it's outrageous.
[00:04:03.915 --> 00:04:10.158]  And I'm glad that the Texas Attorney General is suing them and needs to sue them more.
[00:04:11.291 --> 00:04:14.812]  That story's up at PrisonPlanet.com.
[00:04:14.812 --> 00:04:16.353]  Is that up at InfoWars.com?
[00:04:16.353 --> 00:04:17.994]  That's a very newsworthy article.
[00:04:17.994 --> 00:04:20.335]  It's originally from FirearmsBlog.
[00:04:20.335 --> 00:04:26.137]  And sure enough, we happen to have a Google Merchant account.
[00:04:26.137 --> 00:04:33.940]  And I was able to go in this morning and look in my email, and we don't really use it, but we have one, that sure enough was the notice came in a few days ago.
[00:04:33.940 --> 00:04:37.002]  I couldn't sell a holster.
[00:04:38.004 --> 00:04:39.866]  By the way, that's a big business, those accessories.
[00:04:39.866 --> 00:04:41.047]  A lot of mom-and-pops.
[00:04:41.047 --> 00:04:43.590]  I couldn't sell a scope.
[00:04:43.590 --> 00:04:45.211]  I mean, nothing!
[00:04:45.211 --> 00:04:50.437]  In fact, they're saying you can't even sell bird-watching scopes, because they might be able to hook them onto a rifle.
[00:04:50.437 --> 00:04:55.642]  So, this is what you get with a government-controlled, corporate, fascist, commie monopoly.
[00:04:55.642 --> 00:04:57.124]  I'll explain that as well.
[00:04:57.124 --> 00:04:58.765]  The healthcare news, it's all coming up.
[00:04:59.426 --> 00:05:00.727]  Hi, this is Alex Jones.
[00:05:00.727 --> 00:05:06.330]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:05:06.330 --> 00:05:11.354]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:05:11.354 --> 00:05:11.814]  It's true.
[00:05:11.814 --> 00:05:16.377]  Seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[00:05:16.917 --> 00:05:22.139]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:05:22.139 --> 00:05:29.243]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:05:29.243 --> 00:05:30.363]  And here's the best part.
[00:05:30.363 --> 00:05:36.726]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:05:37.046 --> 00:05:40.247]  So visit them today at survivalseedbank.com.
[00:05:40.247 --> 00:05:42.468]  That's survivalseedbank.com.
[00:05:42.468 --> 00:05:43.408]  Or give them a call at 877-327-0365.
[00:05:43.408 --> 00:05:43.648]  That's 877-327-0365.
[00:05:43.648 --> 00:05:47.049]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:05:47.049 --> 00:05:48.769]  This is Alex Jones for survivalseedbank.com.
[00:06:03.453 --> 00:06:10.038]  You are listening to an InfoWars.com Frontline Report.
[00:06:10.038 --> 00:06:21.567]  If you are receiving this transmission, you are the resistance.
[00:06:21.567 --> 00:06:30.094]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:38.377 --> 00:06:41.998]  Broadcasting worldwide, blasting out on the AM and FM dial.
[00:06:41.998 --> 00:06:43.778]  A lot of new affiliates joining us today.
[00:06:43.778 --> 00:06:49.080]  I want to welcome you from places like Virginia and Tennessee and California.
[00:06:49.080 --> 00:06:54.421]  I'll plug some of those affiliates later in the broadcast when I get the list from Chris in there.
[00:06:54.421 --> 00:07:02.523]  And we're also simulcasting, of course, on the internet with the audio streams and podcasts at infowars.com.
[00:07:02.523 --> 00:07:04.264]  The front line, the tip of the spear.
[00:07:04.844 --> 00:07:26.034]  When it comes to resisting authoritarianism, tyranny, oppression, in whatever manifestation it arrives, from the so-called right wing of fascism, or the left wing of communism, statism, kleptocracies, oligarchies, we resent control freaks and criminals using government
[00:07:27.213 --> 00:07:42.968]  To control populations and the mega ultra super rich financing class envy class warfare and financing crony anti-free market monopoly systems known as crony capitalism.
[00:07:42.968 --> 00:07:44.330]  That's the big enemy.
[00:07:45.891 --> 00:08:01.757]  And I've got a lot of news on Fast and Furious, huge news on the United Nations saying there's too many people on the planet and putting out a really draconian report calling for authoritarianism to answer overpopulation.
[00:08:01.757 --> 00:08:07.680]  That's what the environmental movement is about now, selling tyranny, nothing to do with actually helping have a good earth.
[00:08:07.680 --> 00:08:12.862]  We're obviously going to get into the horrible aftermath of the Supreme Court upholding
[00:08:15.174 --> 00:08:20.558]  Obamacare and the states are striking back.
[00:08:20.558 --> 00:08:26.843]  Rand Paul is leading a charge in the Senate against it and we will see if it ever gets repealed.
[00:08:26.843 --> 00:08:43.015]  The problem is the big insurance companies, not every insurance company, but the big ones, the big dominant insurance companies owned by the big six mega banks that control the issuance of currency and credit, Goldman Sachs, JP Morgan, Chase, Wells Fargo, Bank of America,
[00:08:43.715 --> 00:08:46.679]  I've got the numbers right here in front of me from Bloomberg on this.
[00:08:46.679 --> 00:08:59.657]  They openly wrote the health care plan and then Elena Kagan for the White House fine-tuned it so she could then go vote for it, totally illegally, at the Supreme Court.
[00:09:01.058 --> 00:09:06.121]  And it turns the IRS loose on everybody and allows them to garnish your wages.
[00:09:06.121 --> 00:09:09.563]  And it's already increased the last year and a half since the ruling.
[00:09:09.563 --> 00:09:10.664]  Healthcare prices were up over 25%.
[00:09:10.664 --> 00:09:15.047]  They're talking about 50% the next year and a half after that.
[00:09:15.047 --> 00:09:22.552]  And you saw stocks explode for the big banks and explode for the big healthcare stocks because they wrote it.
[00:09:23.715 --> 00:09:26.776]  They want to blame it on commies and liberals.
[00:09:26.776 --> 00:09:38.779]  Yeah, that's the big constituent group that'll burn down your city if you don't give them all their welfare checks and food stamps right at 49 million people on food stamps, a giant dependent population.
[00:09:38.779 --> 00:09:40.339]  That's the small clients.
[00:09:40.339 --> 00:09:42.299]  That's a small part of the money.
[00:09:42.299 --> 00:09:44.260]  Most of it's corporate welfare.
[00:09:44.260 --> 00:09:47.961]  So, so yes, yes, there is that group involved as well.
[00:09:49.071 --> 00:09:51.733]  Uh, who are there screaming for some more handouts.
[00:09:51.733 --> 00:09:56.976]  And they're giving, on average, about 10-15% of the goodies that are stolen.
[00:09:56.976 --> 00:10:03.520]  And then the big mega-banks, they're all tax-exempt, broke the tax laws, offshore, paying zero tax on almost every case.
[00:10:03.520 --> 00:10:06.202]  Google, 2.5% tax.
[00:10:06.202 --> 00:10:08.364]  General Electric, zero tax.
[00:10:08.364 --> 00:10:10.245]  General Motors, zero tax.
[00:10:10.245 --> 00:10:16.589]  They get $22 billion in bailout money two years ago to move the Cadillac and Volt factories to China.
[00:10:16.589 --> 00:10:18.210]  This is the crony capitalism.
[00:10:19.181 --> 00:10:26.566]  Not just for the big offshore mega banks that control most major corporations, and you can see the interlocking directorate maps that are out there.
[00:10:26.566 --> 00:10:30.848]  Guys, pull up that Business Insider Bilderberg map that a researcher put together.
[00:10:30.848 --> 00:10:34.791]  I want to show people that, and you're like, I'm a radio listener, how do you show it to me?
[00:10:34.791 --> 00:10:39.154]  Well, some folks are watching at PrisonPlanet.tv and we like to have a visual record of this.
[00:10:39.634 --> 00:10:50.263]  But if you talk about the six big global banks that openly fund world government, openly fund anti-Second Amendment, anti-private property systems, they are all exempt.
[00:10:50.263 --> 00:10:57.368]  This is the big secret that mainline right-wing radio won't tell you, and the foundation-controlled left will never tell you.
[00:10:57.368 --> 00:10:59.090]  Yes, there is a map of that.
[00:10:59.090 --> 00:11:00.351]  You can actually blow it up.
[00:11:00.351 --> 00:11:02.152]  Start at the center and then expand out.
[00:11:02.152 --> 00:11:07.637]  That's just an example of the 125 Bilderberg Group members and all of their interlocking corporate directorates.
[00:11:08.598 --> 00:11:17.143]  And the power they have to wield and control society.
[00:11:17.143 --> 00:11:22.787]  Now, continuing here because I'm ranting on this subject because we need to rant.
[00:11:22.787 --> 00:11:28.350]  I have a whole stack of financial news I'm going to get to later after I cover the health care situation.
[00:11:28.350 --> 00:11:29.371]  Fast and furious.
[00:11:31.272 --> 00:11:39.758]  And the cyber security legislation and new restrictions on the Second Amendment that almost no one is talking about that we're going to be getting into.
[00:11:39.758 --> 00:11:46.823]  Starting with Google Shopping censors all gun ammo accessories results.
[00:11:46.823 --> 00:11:53.287]  They just say we control the web, we are the dominant force, and we say you don't exist anymore.
[00:11:55.740 --> 00:11:57.681]  And who set up Google?
[00:11:57.681 --> 00:12:05.783]  CIA grant 13 years ago, In-Q-Tel and NSA proprietary spying software was given to them.
[00:12:05.783 --> 00:12:06.803]  It was made public.
[00:12:06.803 --> 00:12:07.943]  You call it a search engine.
[00:12:07.943 --> 00:12:11.444]  It's meant to search keywords, recording and listening to you.
[00:12:11.444 --> 00:12:20.067]  Instead, they give you the power to look into the digital crystal ball, but it's looking two-way, reading what you're reading, tracking what you're doing.
[00:12:20.067 --> 00:12:23.328]  Total government set up at NSA and NASA bases.
[00:12:24.608 --> 00:12:35.031]  Taxpayer funded, and then they give the hundreds of billions of profit to select little globalists who then give the money to charity, most of the money, that carries out eugenics operations.
[00:12:35.031 --> 00:12:39.312]  Because this is a worldwide population reduction, world government program.
[00:12:39.312 --> 00:12:40.833]  Bill Gates is a front.
[00:12:40.833 --> 00:12:42.894]  Didn't start Microsoft, IBM runs it.
[00:12:44.554 --> 00:12:44.934]  All of it.
[00:12:44.934 --> 00:12:46.615]  Google's a front.
[00:12:46.615 --> 00:12:47.476]  Apple's a front.
[00:12:47.476 --> 00:12:48.517]  I mean, go research this.
[00:12:48.517 --> 00:12:52.920]  I've been saying this for 15, 16 years because of my sources and research.
[00:12:52.920 --> 00:12:54.120]  Now it's admitted.
[00:12:54.120 --> 00:13:11.272]  They're fronts for proprietary DARPA technology that you're tax-punning, develops in the universities, that is then given to select corporations that are nothing themselves but public-private partnerships to rip you off and create monopolies and shut down their competition.
[00:13:11.852 --> 00:13:13.614]  Okay, that's why I'm angry.
[00:13:13.614 --> 00:13:14.615]  You want an example of this?
[00:13:14.615 --> 00:13:16.818]  Here's Bloomberg.
[00:13:16.818 --> 00:13:22.764]  July 1st, 77% of JP Morgan's net income comes from government subsidies. 77%.
[00:13:27.489 --> 00:13:30.511]  Washington blog, this is up at Infowars.com, has boiled it down.
[00:13:30.511 --> 00:13:34.553]  JPMorgan's credit rating would be much lower without government backing.
[00:13:34.553 --> 00:13:40.256]  As Bloomberg noted last week, JPMorgan benefited from the assumption that there's a very high likelihood the U.S.
[00:13:40.256 --> 00:13:45.818]  government would back the bank's bondholders and creditors if it defaulted on its debt, according to a statement.
[00:13:45.818 --> 00:13:52.062]  Without the implied federal backing, JPMorgan's long-term deposit rating would have been three levels lower than its senior debt.
[00:13:53.151 --> 00:13:56.174]  Would have dropped two more steps, Moody said.
[00:13:56.174 --> 00:14:05.301]  And it goes on to talk about government subsidies, trillions in overall bailouts, not just to them, but their subsidiaries and other groups they're invested in.
[00:14:05.301 --> 00:14:08.404]  And the $76 billion profit in the last 12 months, 77% of that, 77% of $76 billion,
[00:14:19.506 --> 00:14:25.149]  This is Bloomberg reporting as well as Business Week, which is now Bloomberg as well.
[00:14:25.149 --> 00:14:26.549]  All reporting what I've already told you.
[00:14:26.549 --> 00:14:30.611]  I'm going to explain this again.
[00:14:30.611 --> 00:14:35.193]  We've had the former head auditor of the Air Force on about this.
[00:14:35.193 --> 00:14:36.654]  We've had Walter Burien on about it.
[00:14:36.654 --> 00:14:37.994]  We've had him.
[00:14:37.994 --> 00:14:38.094]  76%!
[00:14:38.094 --> 00:14:38.655]  This says 77.
[00:14:38.655 --> 00:14:39.995]  Strange it's that same number.
[00:14:39.995 --> 00:14:41.656]  76% of all the tax money you pay
[00:14:46.957 --> 00:14:58.720]  Never goes to pensions or paychecks or roads, whether it's county, city, state, water districts, every agency within government, sometimes hundreds per agency.
[00:14:58.720 --> 00:15:05.642]  There's state government that has hundreds of different agencies under it, not to mention federal.
[00:15:05.642 --> 00:15:13.804]  76% now, this number is about two years old, goes to offshore slush funds of narcotics trafficking mega crime syndicates.
[00:15:13.804 --> 00:15:14.284]  You understand? 24%.
[00:15:17.939 --> 00:15:20.502]  24% goes into the budget.
[00:15:20.502 --> 00:15:24.925]  Now these are called Comprehensive Annual Financial Reports, or CAFRs.
[00:15:24.925 --> 00:15:27.007]  Look them up.
[00:15:27.007 --> 00:15:29.069]  So there's my point on that issue.
[00:15:29.069 --> 00:15:35.014]  You want to know why Roberts voted, even though he was appointed by a so-called conservative Bush?
[00:15:35.014 --> 00:15:36.595]  Well, Bush supported the carbon taxes.
[00:15:37.403 --> 00:15:45.106]  You know, big federal court ruled last week they're going to keep the carbon taxes going even though it's going to shut down our economy and China and Mexico and other countries don't have it.
[00:15:45.106 --> 00:15:46.247]  That's the name of the game.
[00:15:46.247 --> 00:15:47.967]  Shut America down.
[00:15:47.967 --> 00:15:50.488]  Pay to ship General Motors overseas.
[00:15:50.488 --> 00:15:57.231]  Make 35 million people buy offshore banks insurance and have the IRS enforce it.
[00:15:57.231 --> 00:15:58.271]  Private taxes.
[00:15:58.271 --> 00:15:59.532]  You pay your taxes to the bankers.
[00:16:01.343 --> 00:16:16.809]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:16:16.809 --> 00:16:20.490]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:16:21.502 --> 00:16:34.274]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:16:34.274 --> 00:16:41.541]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:16:42.222 --> 00:16:52.595]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:16:52.595 --> 00:16:56.520]  As well, we are always ready to answer any questions you may have.
[00:16:56.520 --> 00:16:59.644]  That's www.SilverLungs.com
[00:17:00.305 --> 00:17:04.671]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:17:04.671 --> 00:17:08.697]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:17:08.697 --> 00:17:12.723]  Every day, we document the attempts to take control of our lives.
[00:17:12.723 --> 00:17:14.946]  But there's one thing we can all control.
[00:17:14.946 --> 00:17:16.468]  Your greatest dependency.
[00:17:16.468 --> 00:17:16.769]  Food.
[00:17:17.189 --> 00:17:24.715]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:17:24.715 --> 00:17:27.237]  This food is nutrient-dense and tastes great.
[00:17:27.237 --> 00:17:31.180]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:17:31.180 --> 00:17:35.083]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:17:35.083 --> 00:17:37.685]  And the new products and pricing will blow you away.
[00:17:37.685 --> 00:17:42.189]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:17:42.529 --> 00:17:44.511]  You just can't afford to ignore this.
[00:17:44.511 --> 00:17:50.157]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:17:50.157 --> 00:17:51.679]  Don't let this offer pass you by.
[00:17:51.679 --> 00:17:53.721]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:17:53.721 --> 00:17:54.982]  More the best, for less guaranteed.
[00:18:00.032 --> 00:18:05.536]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:18:05.536 --> 00:18:07.957]  Start purifying your water with ProPure.
[00:18:07.957 --> 00:18:17.063]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:18:17.063 --> 00:18:20.505]  Its filters are silver impregnated to prevent bacterial growth.
[00:18:20.505 --> 00:18:22.186]  There's no priming required.
[00:18:22.186 --> 00:18:24.468]  It's NSF-42 certified.
[00:18:24.468 --> 00:18:26.969]  Optional fluoride filters can reduce fluoride up to 95%.
[00:18:28.030 --> 00:18:29.551]  Easy to set up and use.
[00:18:29.551 --> 00:18:30.972]  Doesn't require electricity.
[00:18:30.972 --> 00:18:34.134]  Purify water from lakes, streams, ponds, and wells.
[00:18:34.134 --> 00:18:37.517]  This filter system leaves in beneficial minerals, which is key.
[00:18:37.517 --> 00:18:41.660]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:18:41.660 --> 00:18:44.402]  ProPure is the best gravity-fed filter out there.
[00:18:44.402 --> 00:18:45.983]  It's what my family uses.
[00:18:45.983 --> 00:18:49.285]  Infowars.com already has the lowest price on ProPure.
[00:18:49.285 --> 00:18:54.849]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:18:55.129 --> 00:18:59.833]  You can also call to order 888-253-3139.
[00:18:59.833 --> 00:19:05.297]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:19:05.297 --> 00:19:10.501]  Choose 100% pure heirloom seeds in the Survival Seed Vault from mypatriotsupply.com.
[00:19:10.501 --> 00:19:11.482]  Why spend more?
[00:19:11.482 --> 00:19:19.228]  The Survival Seed Vault from mypatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:19:19.508 --> 00:19:20.028]  Yes, only $37.95.
[00:19:20.028 --> 00:19:23.671]  That's 70% less than our competitors.
[00:19:23.671 --> 00:19:27.074]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:19:27.074 --> 00:19:33.699]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:19:33.699 --> 00:19:36.541]  Plus, all orders over $49 ship free.
[00:19:36.541 --> 00:19:42.186]  MyPatriotSupply.com is American-owned by patriots like you, passionate about freedom and preparedness.
[00:19:42.406 --> 00:19:45.568]  Call now, 866-229-0927.
[00:19:45.568 --> 00:19:49.671]  That's 866-229-0927.
[00:19:49.671 --> 00:19:54.434]  Or discover more emergency preparedness items when you order at mypatriotsupply.com.
[00:19:54.434 --> 00:19:55.534]  Choose the original.
[00:19:55.534 --> 00:20:01.338]  Choose the Survival Seed Vault at mypatriotsupply.com.
[00:20:01.338 --> 00:20:02.859]  Coast to Coast.
[00:20:02.859 --> 00:20:04.920]  Direct from Austin.
[00:20:04.920 --> 00:20:08.122]  You're listening to the Alex Jones Broadcasting Network.
[00:20:14.544 --> 00:20:20.709]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:20.709 --> 00:20:38.943]  Okay, folks, coming up in the next segment, I'm going to go ahead and open the phones up throughout the remainder of the transmission while interspersing important news and information.
[00:20:39.980 --> 00:20:46.483]  But the toll-free number to join us here on air is 877-789-ALEX.
[00:20:46.483 --> 00:20:49.024]  That's the Sunday number.
[00:20:49.024 --> 00:20:53.487]  It's different than the weekday number.
[00:20:53.487 --> 00:20:53.827]  877-789-ALEX.
[00:20:53.827 --> 00:20:54.387]  877-789-2539.
[00:20:54.387 --> 00:20:55.367]  First-time callers.
[00:20:55.367 --> 00:20:57.568]  I want to add that caveat.
[00:20:57.568 --> 00:21:00.630]  Please give others a chance to get involved on air.
[00:21:00.630 --> 00:21:04.392]  We don't screen your calls, but occasionally I throw out the first-time caller.
[00:21:05.673 --> 00:21:19.261]  Unless it was like last Sunday where I took calls from police and military about the Secretary of the Army saying they basically want martial law permanently to just put troops on the streets everywhere and have checkpoints and no due process.
[00:21:19.261 --> 00:21:24.445]  And that's in the Council on Foreign Relations' current publication, Foreign Affairs.
[00:21:24.445 --> 00:21:27.787]  And it's CFR.org.
[00:21:27.787 --> 00:21:32.330]  Later, ISSA reveals wiretap docks from DOJ mole.
[00:21:32.330 --> 00:21:33.571]  And again, this actually came out
[00:21:35.503 --> 00:21:41.769]  About three months ago on our show from Wayne Madsen, about three weeks ago, it came out in the Examiner.
[00:21:41.769 --> 00:21:49.116]  The news site had a report on it, but now Holder has confirmed it into the congressional record.
[00:21:49.116 --> 00:21:56.122]  The Justice Department has now put a shield up around Holder from prosecution after contempt vote.
[00:21:56.122 --> 00:21:59.385]  Yeah, how do you prosecute the Attorney General?
[00:21:59.385 --> 00:22:00.707]  Well, you can still have a grand jury.
[00:22:02.489 --> 00:22:02.930]  I don't
[00:22:24.393 --> 00:22:31.899]  In different congressional hearings and in public statements and in executive orders have told Congress that they don't exist, basically.
[00:22:31.899 --> 00:22:35.361]  They're ceremonial and Obama can shut down power plants.
[00:22:35.361 --> 00:22:36.983]  He can sign executive orders.
[00:22:36.983 --> 00:22:38.664]  He can ban guns.
[00:22:38.664 --> 00:22:41.446]  He can ship jobs to China.
[00:22:41.446 --> 00:22:44.168]  He can say the UN is in command of our military.
[00:22:44.168 --> 00:22:48.532]  By the way, do you need me to play those clips again or read his letter on air to Congress?
[00:22:48.532 --> 00:22:51.014]  I can play the Secretary of Defense telling Congress that.
[00:22:52.408 --> 00:23:02.760]  If you missed it, just type in, Secretary of Defense tells Congress that NATO and UN give President authority to go to war.
[00:23:02.760 --> 00:23:03.280]  I mean, look it up.
[00:23:03.280 --> 00:23:05.082]  I've probably played it 20, 30 times.
[00:23:05.082 --> 00:23:07.265]  By the way, I have a clip I'm going to play one more time.
[00:23:08.710 --> 00:23:13.834]  This is a clip of CNBC a week and a half ago.
[00:23:13.834 --> 00:23:17.397]  And this illustrates what's happening with health care.
[00:23:17.397 --> 00:23:30.406]  It illustrates what's happening with the $34 trillion now it's being reported by Associated Press that's gone in one form of bailout or another or in the Federal Reserve open window since 2008.
[00:23:30.406 --> 00:23:32.228]  Where they say, oh, we're too big to fail.
[00:23:32.228 --> 00:23:33.629]  Give us unlimited money.
[00:23:33.629 --> 00:23:35.130]  Oh, we got to raise your taxes.
[00:23:35.130 --> 00:23:35.971]  You're in debt now.
[00:23:37.648 --> 00:23:42.833]  Same thing in Greece, same thing in Ireland, same thing in Iceland, same thing in Spain, same thing here.
[00:23:42.833 --> 00:23:46.897]  And they tell you, you owe all this money because of the welfare people.
[00:23:46.897 --> 00:23:51.321]  That's just their constituents that'll riot because they're dependent.
[00:23:53.706 --> 00:23:57.709]  That's just their cast that you see in front of the curtain.
[00:23:57.709 --> 00:24:01.151]  Behind the curtain are the monopoly men.
[00:24:01.151 --> 00:24:02.411]  This is so simple.
[00:24:02.411 --> 00:24:09.256]  The big, mega, ultra-powerful corporations all live off of government contracts.
[00:24:10.563 --> 00:24:13.864]  Government-empowered oil cartels.
[00:24:13.864 --> 00:24:17.824]  Government blockage of oil fields being developed to keep prices up.
[00:24:17.824 --> 00:24:19.645]  Government shutting down power plants.
[00:24:19.645 --> 00:24:23.845]  Government's raising taxes and having tax incentives to move offshore.
[00:24:23.845 --> 00:24:32.247]  And if that isn't enough, use your tax money to move the factories to Brazil, Mexico, China, and Eastern Europe.
[00:24:32.247 --> 00:24:34.327]  That's why I actually went out and bought a Ford.
[00:24:34.327 --> 00:24:38.008]  I haven't had a Ford since high school.
[00:24:38.008 --> 00:24:38.628]  I had a Mustang.
[00:24:40.123 --> 00:24:40.944]  And I went and got one.
[00:24:40.944 --> 00:24:45.908]  I thought I didn't really like Ford's, but it's the last company that actually makes something here that didn't take a bailout.
[00:24:45.908 --> 00:24:48.290]  But that's a side issue.
