[00:00:00.000 --> 00:00:18.080]  InfoWars! Tomorrow's news, today.
[00:05:40.687 --> 00:05:45.567]  Then, at the very top of its website, the Special Operations Command included a link
[00:05:45.567 --> 00:05:50.407]  to its extensive, it's quite long, new diversity and inclusion strategic plan.
[00:05:50.407 --> 00:05:55.167]  Now, the one thing we know about that plan is that it will result in the dramatic lowering
[00:05:55.167 --> 00:05:59.087]  of standards within our elite ranks, it probably already has.
[00:05:59.087 --> 00:06:01.007]  So how will that make America safer?
[00:06:01.007 --> 00:06:04.366]  Well, the generals never said you couldn't find that on the website.
[00:06:04.366 --> 00:06:08.407]  Instead, they told us that, quote, all of us understand that diversity and inclusion
[00:06:08.407 --> 00:06:09.727]  are operational imperatives.
[00:06:09.727 --> 00:06:13.547]  They didn't say how, they just said they're imperatives.
[00:06:13.547 --> 00:06:18.106]  So this is the initiative that Richard Torres Estrada will be running.
[00:06:18.106 --> 00:06:21.227]  So the question is, who exactly is Richard Torres Estrada?
[00:06:21.227 --> 00:06:24.667]  Will his Facebook page give some indication of who he is?
[00:06:24.667 --> 00:06:28.267]  On it, you will find an attack on the police as racists.
[00:06:28.267 --> 00:06:30.787]  You'll find crude BLM propaganda.
[00:06:30.787 --> 00:06:35.247]  You will find a photograph of Donald Trump holding a Bible in front of a church.
[00:06:35.247 --> 00:06:38.187]  Next to Trump is a photograph of Adolf Hitler.
[00:06:38.187 --> 00:06:41.547]  The point is, they're the same.
[00:06:41.547 --> 00:06:47.167]  So this is the guy who now oversees hiring for the Navy SEALs.
[00:06:47.167 --> 00:06:51.627]  If you're wondering whether our military leadership has gone woke, you can consider that question
[00:06:51.627 --> 00:06:53.167]  settled for good.
[00:06:53.167 --> 00:06:57.387]  The Pentagon is now the Yale faculty lounge, but with cruise missiles, and that should
[00:06:57.387 --> 00:06:58.787]  concern you.
[00:06:58.787 --> 00:07:02.547]  Meanwhile, the rest of the world rolls on and gets more menacing by the day.
[00:07:02.547 --> 00:07:06.986]  Tonight, for example, the Suez Canal, one of the busiest shipping lanes in the world,
[00:07:06.986 --> 00:07:10.147]  is blocked by a stranded container ship.
[00:07:10.147 --> 00:07:11.387]  Was it an accident?
[00:07:11.387 --> 00:07:12.387]  Maybe.
[00:07:12.387 --> 00:07:13.387]  Maybe not.
[00:07:13.387 --> 00:07:14.387]  We don't know.
[00:07:14.387 --> 00:07:16.947]  What we do know is that the Suez Canal is vital to the world's economy.
[00:07:16.947 --> 00:07:18.626]  That's not an overstatement.
[00:07:18.626 --> 00:07:22.787]  The Suez Canal is one of only about a dozen strategic choke points that control virtually
[00:07:22.787 --> 00:07:26.106]  all global trade, and now it's closed.
[00:07:26.106 --> 00:07:30.267]  So this is a challenge to America's critical national interests.
[00:07:30.267 --> 00:07:31.907]  How is the Pentagon responding to that?
[00:07:31.907 --> 00:07:34.907]  Well, they're occupied with other things right now.
[00:07:34.907 --> 00:07:39.087]  For the last month, the entire U.S. military has been operating under a so-called stand-down
[00:07:39.087 --> 00:07:40.087]  order.
[00:07:40.087 --> 00:07:45.287]  This was issued by the new Secretary of Defense, Lloyd Austin, the defense contractor now running
[00:07:45.287 --> 00:07:46.287]  the military.
[00:07:46.287 --> 00:07:50.807]  Lloyd Austin believes the real threat to America is not the Chinese government or paralyzed
[00:07:50.807 --> 00:07:52.647]  global trade.
[00:07:52.647 --> 00:07:56.727]  The real threat to this country is people who didn't vote for Joe Biden.
[00:07:56.727 --> 00:07:57.727]  Watch.
[00:07:57.727 --> 00:08:04.047]  And if confirmed, I will fight hard to stamp out sexual assault and to rid our ranks of
[00:08:04.047 --> 00:08:07.187]  racists and extremists.
[00:08:07.187 --> 00:08:11.746]  The job of the Department of Defense is to keep America safe from our enemies, but we
[00:08:11.746 --> 00:08:17.967]  can't do that if some of those enemies lie within our own ranks.
[00:08:17.967 --> 00:08:22.727]  So Republicans voted to confirm him, he is himself an extremist, and they have said virtually
[00:08:22.727 --> 00:08:26.927]  nothing about Lloyd Austin since because they're paralyzed.
[00:08:26.927 --> 00:08:32.527]  They're paralyzed because Lloyd Austin has no problem calling his opponents racist immediately,
[00:08:32.527 --> 00:08:36.127]  ridding our ranks of racists and extremists.
[00:08:36.127 --> 00:08:40.707]  The key question is, how does Lloyd Austin define a racist or an extremist?
[00:08:40.707 --> 00:08:42.067]  The definition matters.
[00:08:42.067 --> 00:08:46.507]  This show has been denounced as a dangerous white supremacist organ for the crime of reading
[00:08:46.507 --> 00:08:47.507]  Martin Luther King.
[00:08:47.507 --> 00:08:48.507]  All right, let's hit pause there.
[00:08:48.507 --> 00:08:51.507]  We're going to go back to a few more minutes of this again, the full 14-minute report is
[00:08:51.507 --> 00:08:56.947]  on Infowars.com and Fox Nation and everywhere else, but and everything he's saying is totally
[00:08:56.947 --> 00:08:57.947]  true.
[00:08:57.947 --> 00:09:02.107]  Just the New York Times came out two days ago and said, I should be delisted off Google
[00:09:02.107 --> 00:09:06.027]  completely because I'm a white supremacist.
[00:09:06.027 --> 00:09:11.407]  Now even if I was a white supremacist, that shouldn't happen, but it's not even true.
[00:09:11.407 --> 00:09:13.287]  And then they're the ones that lie about WMDs.
[00:09:13.287 --> 00:09:17.607]  They're the ones that help cover up Obama shipping millions of guns into Syria for giant
[00:09:17.607 --> 00:09:18.607]  civil wars.
[00:09:18.607 --> 00:09:19.607]  I mean, these are really bad people.
[00:09:19.607 --> 00:09:23.247]  These are the folks that cover up for Apple and against slave camps, the worst in the
[00:09:23.247 --> 00:09:25.767]  world in China with the Uighurs and others.
[00:09:25.767 --> 00:09:33.587]  So the wokeness is a cover for their horrible anti-human activity and for levels of slavery
[00:09:33.587 --> 00:09:34.607]  never seen in history.
[00:09:34.627 --> 00:09:36.387]  But that's only part of it.
[00:09:36.387 --> 00:09:40.347]  And Tucker gets into the fact that this is the establishment, this is the elite, this
[00:09:40.347 --> 00:09:42.227]  is their cover for all the bad things they're doing.
[00:09:42.227 --> 00:09:44.187]  But who's behind it?
[00:09:44.187 --> 00:09:45.187]  What's the plan?
[00:09:45.187 --> 00:09:47.507]  Where's it going?
[00:09:47.507 --> 00:09:52.867]  We're going to break more of that down for you in a moment, but let's expand.
[00:09:52.867 --> 00:09:58.367]  General Honore confiscated the guns all over Louisiana and Mississippi, went into high
[00:09:58.367 --> 00:10:01.867]  and dry neighborhoods, they even had electricity and stole people's guns.
[00:10:01.867 --> 00:10:04.347]  They never got them back.
[00:10:05.087 --> 00:10:10.967]  And now he is tasked with creating a new federal authoritarian guard to, quote, wage war on
[00:10:10.967 --> 00:10:17.327]  Trump supporters, which are the largest voting bloc in this country, and we all know it.
[00:10:17.327 --> 00:10:21.287]  Oh, narrowly lost by thousands of votes to Joe Biden, give me a break.
[00:10:21.287 --> 00:10:22.607]  And all that fraud is coming out.
[00:10:22.607 --> 00:10:25.287]  So again, China is about unifying.
[00:10:25.287 --> 00:10:27.727]  If you try to divide China, they execute you.
[00:10:27.727 --> 00:10:28.887]  I'm not saying do that.
[00:10:28.887 --> 00:10:30.767]  We have a right to dissent here.
[00:10:30.787 --> 00:10:35.227]  But our universities, our banks, our media are dividing us on purpose and we have a right
[00:10:35.227 --> 00:10:36.307]  to point that out.
[00:10:36.307 --> 00:10:40.907]  But when we do, we get censored, we get shut down, we lose our bank accounts, we get kicked
[00:10:40.907 --> 00:10:43.707]  off all the platforms.
[00:10:43.707 --> 00:10:49.387]  And now the New York Times and NPR are calling for me to be thrown off my online shopping
[00:10:49.387 --> 00:10:55.707]  cards so I can't even sell products direct to you to stay on air.
[00:10:55.707 --> 00:10:58.607]  So this really is a takeover.
[00:10:58.607 --> 00:11:02.247]  And China's backing it, the globalists are backing it, they want America out of the way,
[00:11:02.247 --> 00:11:07.247]  and they're putting these idiot minions in charge to start a civil war, believing they're
[00:11:07.247 --> 00:11:10.927]  securing their takeover and their power, but really they're just securing the breakup of
[00:11:10.927 --> 00:11:11.927]  the country.
[00:11:11.927 --> 00:11:15.767]  So Tucker sits back and sees all this incompetence and all these terrible things happening and
[00:11:15.767 --> 00:11:17.207]  says these people are incompetent.
[00:11:17.207 --> 00:11:18.607]  He's absolutely right.
[00:11:18.607 --> 00:11:23.247]  But the rest of the equation is who is the group above them?
[00:11:23.267 --> 00:11:27.987]  Well, you see, Tucker's smart, he knows all this.
[00:11:27.987 --> 00:11:32.587]  He's a self-made man, but he comes from the Eastern establishment, his dad was pro-America,
[00:11:32.587 --> 00:11:35.427]  but definitely part of it.
[00:11:35.519 --> 00:11:46.959]  He understands that the rest of the story is about tragedy and hope and it's about
[00:11:46.959 --> 00:11:52.519]  skull and bones and it's about Bohemian Grove and it's about a bigger larger plan and it's
[00:11:52.519 --> 00:11:58.919]  my job to popularize these truths to then introduce it to the general public so folks
[00:11:58.919 --> 00:12:03.439]  like Tucker Carlson can continue to then carry the ball.
[00:12:03.439 --> 00:12:05.719]  And this isn't about Infowars getting credit.
[00:12:05.719 --> 00:12:10.119]  It's about you understanding Infowars' role as listeners and viewers to be the ones that
[00:12:10.119 --> 00:12:18.039]  pro-generate or who are the fount of the full compendium of how the entire system works
[00:12:18.039 --> 00:12:20.879]  because it's good to expose that wokeness is a fraud.
[00:12:20.879 --> 00:12:23.159]  It's good to expose it's racist and divisional.
[00:12:23.159 --> 00:12:25.479]  It's good to expose it's making us weaker.
[00:12:25.479 --> 00:12:28.379]  It's good to expose it helps our enemies.
[00:12:28.379 --> 00:12:30.419]  But who put communist China in power?
[00:12:30.419 --> 00:12:31.419]  Who put V.I.
[00:12:31.439 --> 00:12:32.439]  in power?
[00:12:32.439 --> 00:12:33.439]  Who put Adolf Hitler in power?
[00:12:33.439 --> 00:12:39.299]  I'm going to tell you again coming up in just a moment and Robert Barnes that went to Yale
[00:12:39.299 --> 00:12:40.299]  is also quite the historian.
[00:12:40.299 --> 00:12:46.079]  He'll be able to comment it as well but let's get back to Carlson and then I'm going to
[00:12:46.079 --> 00:12:52.479]  lay out in a summation who's behind it and I'm going to name names and how to stop them
[00:12:52.479 --> 00:12:58.179]  then we're going to get Barnes on after I air this important Skull and Bones exclusive.
[00:12:58.287 --> 00:13:17.607]  And if confirmed, I will fight hard to stamp out sexual assault and to rid our ranks of
[00:13:17.607 --> 00:13:20.727]  racists and extremists.
[00:13:20.727 --> 00:13:25.167]  The job of the Department of Defense is to keep America safe from our enemies.
[00:13:25.167 --> 00:13:31.487]  But we can't do that if some of those enemies lie within our own ranks.
[00:13:31.487 --> 00:13:33.407]  So Republicans voted to confirm him.
[00:13:33.407 --> 00:13:35.607]  He is himself an extremist.
[00:13:35.607 --> 00:13:40.447]  And they have said virtually nothing about Lloyd Austin since because they're paralyzed.
[00:13:40.447 --> 00:13:46.047]  They're paralyzed because Lloyd Austin has no problem calling his opponents racist immediately,
[00:13:46.047 --> 00:13:49.647]  ridding our ranks of racists and extremists.
[00:13:49.647 --> 00:13:54.207]  The key question is, how does Lloyd Austin define a racist or an extremist?
[00:13:54.247 --> 00:13:55.607]  The definition matters.
[00:13:55.607 --> 00:14:00.047]  This show has been denounced as a dangerous white supremacist organ for the crime of reading
[00:14:00.047 --> 00:14:02.267]  Martin Luther King quotes on the air.
[00:14:02.267 --> 00:14:05.687]  So it's worth finding out what those words mean.
[00:14:05.687 --> 00:14:08.567]  But Lloyd Austin doesn't provide a definition.
[00:14:08.567 --> 00:14:12.047]  And that's not accidental because what you're seeing is not an attempt to make the military
[00:14:12.047 --> 00:14:13.047]  better.
[00:14:13.047 --> 00:14:16.247]  What you're seeing is a political purge of the military.
[00:14:16.247 --> 00:14:20.567]  Consider what has been happening during the military's training on, quote, extremism.
[00:14:20.567 --> 00:14:23.927]  A lot of enlisted soldiers have asked a pretty basic question.
[00:14:23.927 --> 00:14:30.687]  Hey, wait a minute, weren't the BLM and Antifa rioters this summer extremists?
[00:14:30.687 --> 00:14:31.687]  Seems like they were.
[00:14:31.687 --> 00:14:32.687]  They murdered people.
[00:14:32.687 --> 00:14:35.407]  They murdered a lot more people than died at the Capitol on January 6th.
[00:14:35.407 --> 00:14:36.887]  A lot more.
[00:14:36.887 --> 00:14:38.047]  They burned businesses.
[00:14:38.047 --> 00:14:39.047]  They wrecked cities.
[00:14:39.047 --> 00:14:42.687]  In some places, it took the National Guard to stop them.
[00:14:42.687 --> 00:14:45.287]  So why aren't these people, quote, extremists?
[00:14:45.287 --> 00:14:46.287]  Hmm, good question.
[00:14:46.847 --> 00:14:51.127]  Well, a man called Ramon Colon Lopez was called in to explain why, to tell the troops why
[00:14:51.127 --> 00:14:52.607]  they were wrong.
[00:14:52.607 --> 00:14:57.967]  Colon Lopez is the senior enlisted advisor to the chairman of the Joint Chiefs of Staff.
[00:14:57.967 --> 00:15:02.007]  These questions, he conceded, are, quote, coming from every echelon that we're talking
[00:15:02.007 --> 00:15:03.007]  to.
[00:15:03.007 --> 00:15:07.007]  Some people may think, all right, so the events of 6th of January happened.
[00:15:07.007 --> 00:15:11.087]  How come you're not looking at the situation that was going on in Seattle prior to that?
[00:15:11.087 --> 00:15:13.367]  Well, yeah, exactly.
[00:15:13.367 --> 00:15:14.967]  Kind of an obvious question.
[00:15:15.327 --> 00:15:17.887]  Well, Ramon Colon Lopez has an answer.
[00:15:17.887 --> 00:15:19.287]  Actually, it's more of a threat.
[00:15:19.287 --> 00:15:24.167]  Quote, I am concerned about the way that some people are looking at the current environment
[00:15:24.167 --> 00:15:29.007]  and what they are thinking they can do and act upon based upon their personal beliefs.
[00:15:29.007 --> 00:15:34.767]  Oh, in other words, if you ask questions like these obvious questions, you are by definition
[00:15:34.767 --> 00:15:36.207]  dangerous.
[00:15:36.207 --> 00:15:40.647]  Colon Lopez said he was working hard to, quote, make sure that military members understand
[00:15:40.647 --> 00:15:42.887]  the difference between Seattle and Washington, D.C.
[00:15:42.887 --> 00:15:44.407]  All right, what are those differences exactly?
[00:15:44.807 --> 00:15:45.807]  Well, here's one.
[00:15:45.807 --> 00:15:51.447]  BLM, Colon Lopez explained, is a, quote, social injustice organization, and therefore it's
[00:15:51.447 --> 00:15:52.447]  not extreme.
[00:15:52.447 --> 00:15:57.527]  Also, quote, when the military called upon us to go ahead and support an effort in Washington,
[00:15:57.527 --> 00:15:58.567]  we did.
[00:15:58.567 --> 00:16:02.167]  We never got called for the law enforcement issue that was happening in Seattle.
[00:16:02.167 --> 00:16:07.647]  Oh, so the mayor of Seattle never called the National Guard to put down Antifa, therefore
[00:16:07.647 --> 00:16:10.447]  Antifa is not an extremist organization.
[00:16:10.447 --> 00:16:12.967]  Well, that's ludicrous, obviously.
[00:16:12.967 --> 00:16:15.007]  In fact, it's not even true.
[00:16:15.007 --> 00:16:17.847]  Actually the National Guard did deploy to Seattle during the riots last summer, but
[00:16:17.847 --> 00:16:18.847]  whatever.
[00:16:18.847 --> 00:16:21.567]  Colon Lopez's job isn't to make sense.
[00:16:21.567 --> 00:16:25.207]  It's to send a political message from the Joe Biden administration.
[00:16:25.207 --> 00:16:26.967]  We're in charge now.
[00:16:26.967 --> 00:16:27.967]  And it's beyond that.
[00:16:27.967 --> 00:16:31.247]  We're going to go back to a little bit more of this in a moment.
[00:16:31.247 --> 00:16:39.167]  But they have put globalist operatives in charge of the Pentagon, of the intelligence
[00:16:39.167 --> 00:16:44.607]  agencies, of the banking, of everything, because it's their political cover.
[00:16:44.670 --> 00:16:50.670]  That when your lights go out because they cut your power off, they go, okay, it's okay.
[00:16:50.670 --> 00:16:52.670]  We got a bunch of minorities in the power positions.
[00:16:52.670 --> 00:16:56.670]  You can't criticize them or you're racist, even though they're not even running anything.
[00:16:56.670 --> 00:17:00.670]  It's the globalists using as a figurehead brown people.
[00:17:00.670 --> 00:17:04.670]  So they say to whites, you're bad, you're evil, you've been mean to people.
[00:17:04.670 --> 00:17:08.670]  And if you don't do what we say, we're going to say you're mean to brown people.
[00:17:08.670 --> 00:17:16.670]  And then they put brown people up there as their front operators to shut down all debate and all discussion.
[00:17:16.670 --> 00:17:20.670]  It's super cold blooded. It's extremely exploitive.
[00:17:20.790 --> 00:17:29.389]  But it's being done because it works, because a world government is being established and
[00:17:29.389 --> 00:17:35.149]  they are going to outlaw all indigenous cultures. They're going to outlaw anyone having any
[00:17:35.149 --> 00:17:42.670]  real identity. And then you must only accept the new global government, anti-God, anti-family,
[00:17:42.670 --> 00:17:48.070]  anti-human, post-human, trans-human identity, and there'll be a new download every day of
[00:17:48.070 --> 00:17:51.750]  how you're supposed to behave and what you're supposed to do. And if you don't submit to
[00:17:51.750 --> 00:17:56.909]  that, well, then you're the enemy and you'll have your social credit score cut off. You
[00:17:56.909 --> 00:18:01.550]  won't be able to get on an airplane and you'll be starved to death. And they know that once
[00:18:01.550 --> 00:18:04.950]  they domesticate everybody and everybody on the government dole, they'll have a giant
[00:18:04.950 --> 00:18:09.950]  army of people always ready to come up by the millions and burn down any city.
[00:18:10.010 --> 00:18:19.410]  The second the globalist media tells them to and so we're being put into checkmate right
[00:18:19.410 --> 00:18:21.610]  now and it's absolutely got to be reversed.
[00:18:21.610 --> 00:18:25.129]  It's also designed to make good people get out of the police and good people get out
[00:18:25.129 --> 00:18:28.890]  of the military because they're not going to put up with this crap being told that they're
[00:18:28.890 --> 00:18:31.810]  bad because they're a Christian or they're bad because they're a man or they're bad because
[00:18:31.810 --> 00:18:35.430]  they're white and a man and straight.
[00:18:35.430 --> 00:18:42.350]  And so once they leave the vacuum is there it's open and in comes the vacuum all of the
[00:18:42.350 --> 00:18:48.870]  George Soros district attorneys all the George Soros attorney generals all of the globalist
[00:18:48.870 --> 00:18:53.590]  operatives and now they can persecute whoever they want now their criminals are above the
[00:18:53.590 --> 00:18:59.150]  law and now they've taken over the local government the last thing to fall is the federal government
[00:18:59.150 --> 00:19:03.790]  they've already done that by election fraud so this country is in total red level crisis
[00:19:04.010 --> 00:19:10.810]  and one of the few people at a major level fighting it is Tucker Carlson and we're very very blessed that he's there and
[00:19:11.050 --> 00:19:14.810]  And he goes through all this and he shows the lies, but that's the litmus test
[00:19:14.970 --> 00:19:20.050]  You basically must pledge allegiance to Black Lives Matter and Antifa say that they're not bad people
[00:19:20.490 --> 00:19:24.690]  Well, of course not. I mean we were told by Joy Behar and Congressman Nadler they don't exist
[00:19:25.330 --> 00:19:30.770]  but then four citizens dying and one cop having a heart attack is Pearl Harbor and the end of the world
[00:19:31.770 --> 00:19:37.210]  And an insurrection and so we need permanent troops and barbed wire and all the rest of it to keep us safe while the border
[00:19:37.210 --> 00:19:39.210]  Is wide open though
[00:19:38.300 --> 00:19:46.300]  It's incredible but i'm gonna talk about who's behind it and what their total endgame here
[00:19:47.180 --> 00:19:50.780]  is in just a moment then we'll get robert barnes on to break this down after the skull and bones
[00:19:50.780 --> 00:19:55.180]  report that ties into all this but first let's get a few more minutes from the tucker carlson report
[00:19:56.460 --> 00:19:59.899]  actually the national guard did deploy to seattle during the riots last summer but whatever
[00:20:00.540 --> 00:20:05.580]  colin lopez's job isn't to make sense it's to send a political message from the joe biden
[00:20:05.580 --> 00:20:11.740]  administration we're in charge now this week we spoke to a dea agent who was fired for being in
[00:20:11.740 --> 00:20:17.340]  washington on january 6th he didn't riot he never even went into the capitol building in fact he
[00:20:17.340 --> 00:20:22.940]  defended the cops outside against the rioters he's on video doing that but it didn't matter
[00:20:23.500 --> 00:20:29.180]  he didn't vote for joe biden so he's gone and he's hardly alone earlier this month the fbi
[00:20:29.180 --> 00:20:34.860]  arrested a man from oklahoma called anthony alfred griffith according to the fbi here's
[00:20:34.860 --> 00:20:41.020]  anthony alfred griffith's crime he walked into the capitol building threw open doors and took
[00:20:41.020 --> 00:20:47.980]  pictures then he handed those pictures to federal investigators here's the fbi's criminal complaint
[00:20:47.980 --> 00:20:53.899]  against griffith it accuses him quote of witnessing multiple people trying to break down a door
[00:20:54.860 --> 00:21:00.700]  oh he saw it happen so for the crime of witnessing other people of trying to break down a door
[00:21:00.700 --> 00:21:07.340]  anthony alfred griffith now faces seven years in prison but don't worry people like anthony
[00:21:07.340 --> 00:21:11.500]  alfred griffith our leaders tell us are extremists they're white supremacists and our military needs
[00:21:11.500 --> 00:21:17.100]  to be laser focused on making certain that no one who votes like these people do can ever
[00:21:17.100 --> 00:21:25.179]  serve in the armed forces again we absolutely need to look at uh any type of white supremacists
[00:21:25.179 --> 00:21:29.420]  that are still members of the military and how they're being targeted for recruitment by white
[00:21:29.420 --> 00:21:34.060]  supremacist groups and we need to weed this out this whole idea of a police officer on police
[00:21:34.060 --> 00:21:39.260]  officer violence with those officers who have been turned by white extremists is really that's
[00:21:39.260 --> 00:21:43.659]  enough of her and the rest of the report just gets better again it's at info wars.com most
[00:21:43.659 --> 00:21:48.460]  of you probably already seen it but both duckworth and the next racist lady they get on
[00:21:49.260 --> 00:21:52.940]  say that men should never have a right to speak no men should that are white men should ever be
[00:21:52.940 --> 00:21:59.260]  in government unless they're gay these are the incredibly racist bizarre tribal statements out
[00:21:59.260 --> 00:22:04.139]  of these women that have the full power of the banks the media the universities the system behind
[00:22:04.139 --> 00:22:06.139]  them because they're here to destroy this country
[00:22:06.340 --> 00:22:14.580]  so that's where all this is going the left wants to purge every institution and they're
[00:22:14.580 --> 00:22:18.459]  going to threaten you and make you agree with them on their policies of open border and
[00:22:18.459 --> 00:22:23.820]  high taxes and regulations and the sellout of our technology to China or you're gonna
[00:22:23.820 --> 00:22:28.540]  be called a racist but it doesn't do anything when they call you a racist you don't care
[00:22:28.540 --> 00:22:33.980]  because it's not true but now the corporations gang up and they persecute you and give you
[00:22:33.980 --> 00:22:39.260]  a low social credit score which is already in place well do you think it's gonna get
[00:22:39.260 --> 00:22:45.120]  any better by submitting to this type of bullying and tyranny no you know we've already gone
[00:22:45.120 --> 00:22:51.939]  off the edge of the cliff here it only gets worse the more we submit and that leads me
[00:22:51.939 --> 00:22:56.939]  to the key point that Carlson made there because he made almost every point except the historical
[00:22:56.939 --> 00:23:00.020]  understanding of where all this comes from and I understand he knows his audience isn't
[00:23:00.020 --> 00:23:04.260]  ready for that it would make it too complex but I will do that here but notice the key
[00:23:04.260 --> 00:23:05.740]  thing he explained about that man
