[00:00.000 --> 00:13.000]  Big Brother, mainstream media. Government cover-ups. You want answers? Well, so does he.
[03:58.000 --> 04:06.000]  and why the Pentagon won't give us numbers, though they're in and around that area with very sophisticated, sensitive equipment
[04:06.000 --> 04:12.000]  that could pick up not only background radiation like a Geiger counter, but the actual isotopes and what's coming out.
[04:12.000 --> 04:20.000]  They calmly reported in ABC News yesterday that ion beams, in fact pull that out of my stack or give me the latest on ion beams,
[04:20.000 --> 04:23.000]  do a search on that. That's a big deal.
[04:23.000 --> 04:34.000]  I did some more research last night. That means that especially in the MOX-1 reactor, the Mark-1, that it could be separating out.
[04:34.000 --> 04:39.000]  The plutonium will sink to the bottom, then the uranium, then the other isotopes.
[04:39.000 --> 04:48.000]  Then if there's an explosion, chain reaction can occur and you will have a high-powered nuclear explosion, dirty bomb.
[04:48.000 --> 05:00.000]  You cannot have a worse scenario than this. This is a mega nuclear dirty bomb at the MOX-3, the reactor three.
[05:00.000 --> 05:04.000]  This is Alex Jones with five good reasons you should consider buying a solar-powered generator.
[05:04.000 --> 05:09.000]  Number one, new climate legislation could easily double or triple your electric bill.
[05:09.000 --> 05:14.000]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[05:14.000 --> 05:20.000]  It's true. Total government control of electricity in the name of smart grid technology is coming.
[05:20.000 --> 05:24.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[05:24.000 --> 05:28.000]  And now new socialist legislation is only compounding the problem.
[05:28.000 --> 05:32.000]  Number four, dangerous weather is always a threat to local grids.
[05:32.000 --> 05:36.000]  Every year, thousands of families lose their power from weather-related onages.
[05:36.000 --> 05:41.000]  Number five, a solar-powered generator provides powerful backup insurance and peace of mind.
[05:41.000 --> 05:46.000]  Folks, I really believe in the solar-powered generators offered by Solutions from Science, one of my oldest sponsors.
[05:46.000 --> 05:52.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[05:52.000 --> 06:00.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[06:00.000 --> 06:08.000]  A very wealthy U.S. citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[06:08.000 --> 06:13.000]  He says it will change everything about our lives. The way you shop, travel, invest, educate your children,
[06:13.000 --> 06:16.000]  and even how you take care of your health and your own family.
[06:16.000 --> 06:19.000]  Now, this man has made some outrageous predictions over the years.
[06:19.000 --> 06:24.000]  The crazy part is, he's usually right. You see, he predicted the collapse of GM.
[06:24.000 --> 06:31.000]  Danny May, Freddie Mac, and America's biggest mall owner, General Growth Properties. In fact, Barron's called his work a dire prophecy.
[06:31.000 --> 06:38.000]  Recently, he created a video which you can watch online for free, detailing his biggest and most important prediction yet, and it's a real eye-opener.
[06:38.000 --> 06:42.000]  I can't stress this enough. You should at least watch this free video online today.
[06:42.000 --> 06:46.000]  He explains everything you need to know, including simple steps you can take to protect yourself.
[06:46.000 --> 06:54.000]  You can find the video at www.EndofAmerica3.com. That's End of America, the number 3.com.
[06:54.000 --> 07:19.000]  Watch the free video at www.EndofAmerica3.com. That's End of America, the number 3.com.
[07:28.000 --> 07:33.000]  Move quickly while you can still afford it, and E-Foods Direct will pay your shipping cost for you.
[07:33.000 --> 07:40.000]  For the best-tasting, long-term, storeable food, you pay nothing for shipping and can put every dollar into food at today's prices.
[07:40.000 --> 07:45.000]  E-Foods Direct, food so delicious you can serve it tonight or save it for the future.
[07:45.000 --> 07:59.000]  Make advantage of free shipping by calling 800-409-5633 on the web e-foodsdirect.com slash alex 800-409-5633 or e-foodsdirect.com slash alex.
[08:15.000 --> 08:31.000]  To get into the latest developments in and around the Fukushima nuclear disaster in northeastern Japan, ABC News, Associated Press, the Kyoto News, out of Japan first broke it.
[08:31.000 --> 08:38.000]  Powerful ion beams are being projected from one of the plants.
[08:38.000 --> 08:45.000]  Now other plants are smoking and boiling and on fire.
[08:45.000 --> 08:50.000]  There are hundreds of thousands of fuel rods thrown around in every direction.
[08:50.000 --> 08:54.000]  The situation is deteriorating very, very quickly.
[08:54.000 --> 09:14.000]  And at the number three reactor that blew up, not this Monday, but the Monday before last, just three days into the disaster, we're now 13 days in, it is boiling, it is smoking, and its temperature has risen to above 400 degrees.
[09:14.000 --> 09:28.000]  That from aerial infrared snaps, and the Japanese, because of smoke rising from three of the reactors, had to evacuate the emergency crews yesterday.
[09:28.000 --> 09:30.000]  That hysteria is ongoing.
[09:30.000 --> 09:34.000]  Levels are well above 1,600 times.
[09:34.000 --> 09:44.000]  Safe levels, as you know, last Friday the director of the plant broke down and said he could no longer cover up the fact that this is deadly radiation enough to kill people.
[09:44.000 --> 10:01.000]  The Japanese government for now 13 days has refused to give readings from in and around the plant, but we know 20 kilometers away it's 1,600 times safe levels with the ion beams being projected.
[10:01.000 --> 10:13.000]  And at the number three reactor, the MOCS, Mark I General Electric Reactor, that uses weapons grade plutonium in it, 7%, 93% uranium.
[10:13.000 --> 10:26.000]  We've had nuclear physicists down to break this down, but I did some more research last night and talked to some of my physicists sources and they did confirm that what could happen if this heating continues is,
[10:26.000 --> 10:36.000]  and if the rods, the active rods continue to melt down, the plutonium will separate to the bottom, the uranium will be stacked on top of that in this slag heap,
[10:36.000 --> 10:46.000]  and then on top of that the different other isotopes that are off-gassing will build up in stratas, and if any of those ignite, chain reaction could begin.
[10:46.000 --> 11:06.000]  As happened in the early 1950s in Russia at a rod cooling facility when they had a large nuclear explosion, not a hydrogen explosion, as we've been seeing, they claim it's only hydrogen explosions, but an actual nuclear chain reaction.
[11:06.000 --> 11:18.000]  So, cannot underestimate how serious this is that ion beams are now emanating from the Fukushima facility.
[11:18.000 --> 11:24.000]  An ion beam is a type of particle beam consisting of ions, and that's the worst type, ladies and gentlemen.
[11:24.000 --> 11:39.000]  Ion beams have, again, electrons, and I'm going to get some more of those articles printed off and we're going to go over the different articles on the latest on ion beams.
[11:39.000 --> 11:53.000]  One of those computers is locked up so we can print over there or put some of those on screen, but this whole situation is getting worse and worse by the minute.
[11:53.000 --> 11:56.000]  More and more radiation is drifting across Japan.
[11:56.000 --> 12:03.000]  The predominant winds are blowing out to sea to the east, towards the United States east coast.
[12:03.000 --> 12:09.000]  Of course, there was another earthquake today in Myanmar near the China and Thailand borders.
[12:09.000 --> 12:15.000]  A powerful earthquake hit Myanmar today near its borders with China, Thailand, and Laos.
[12:15.000 --> 12:27.000]  The U.S. Geological Survey reported the quake hit the eastern Myanmar about 55 miles north of China, Thailand.
[12:27.000 --> 12:31.000]  The survey reported it had a magnitude 6.8.
[12:31.000 --> 12:36.000]  The survey reported revising the estimate down from an initial 7.0,
[12:36.000 --> 12:48.000]  so showing that we're having tectonic activity continuing, and all over the western world, California, in the Midwest, in the New Madrid fault line in Japan,
[12:48.000 --> 12:59.000]  in many other areas, nuclear reactors have been built, as you know, directly on those fault lines.
[12:59.000 --> 13:15.000]  But I've got some more information that I want to collate and get together before I go into my full report dealing with what's happening right now at Fukushima.
[13:15.000 --> 13:23.000]  And remember, while this is going on, we have a nuclear plant in Canada bordering the U.S. in one of the Great Lakes,
[13:23.000 --> 13:30.000]  leaking massive amounts of radioactive water into the lake, standard procedure to stay it safe, and no big deal.
[13:30.000 --> 13:34.000]  We've got other reactors that reportedly had leaks in other areas of Japan.
[13:34.000 --> 13:39.000]  We never really see or hear anything on that front.
[13:39.000 --> 13:45.000]  Also, we're going to get into the latest on the economy and what's happening in Libya and the rest of the Middle East.
[13:45.000 --> 13:50.000]  On the economy front, Euro's collapse is not unthinkable.
[13:50.000 --> 13:56.000]  Warren Buffett says, so we've got that report that's coming up.
[13:56.000 --> 14:06.000]  We've got George Soros setting up a huge consortium of banking heads and brokerage firm heads to move away from the dollar and a new international currency order.
[14:06.000 --> 14:09.000]  He's blaming this on capitalism.
[14:09.000 --> 14:11.000]  He says, that's the big enemy now, not communism.
[14:11.000 --> 14:23.000]  This isn't capitalism that's been engaged in by these bankers, creating thousands of trillions in fake derivatives and then buying off governments to sign on to the debt that we don't owe.
[14:23.000 --> 14:29.000]  And so he's literally one of the players engineering this, now posing as the savior as well.
[14:29.000 --> 14:31.000]  So that is coming up.
[14:31.000 --> 14:37.000]  But first, I wanted to play a little country music song that we were sent.
[14:37.000 --> 14:43.000]  It's up on infowars.com and prisonplanet.com called Crazy Like Alex Jones.
[14:43.000 --> 14:46.000]  We're going to play that here in just a moment.
[14:46.000 --> 15:01.000]  And it's a music video that I think illustrates the fact that they call us crazy because we were right about the dollar implosion, because we were right about derivatives and the end of Glass-Steagall in 99.
[15:01.000 --> 15:08.000]  Because we've been right about the lies about WMDs, because we've been right about the radiation danger being much greater from the naked body scanners.
[15:08.000 --> 15:15.000]  They try this conspiracy theorist crazy line as a way to discredit our information so people don't even look at it.
[15:15.000 --> 15:16.000]  Well, I embrace it.
[15:16.000 --> 15:18.000]  You want to call me crazy?
[15:18.000 --> 15:19.000]  Great.
[15:19.000 --> 15:20.000]  Crazy like a fox.
[15:20.000 --> 15:25.000]  And instead of people bowing down and saying, oh, no, I'm not a cook.
[15:25.000 --> 15:31.000]  Oh, no, we need to embrace it and say, no, you're the ones that are really crazy.
[15:31.000 --> 15:33.000]  So if you want to call us crazy, fine.
[15:33.000 --> 15:42.000]  Here is this great music video that Rob Dude put together with a great artist that sent us this old-fashioned country-style song, Crazy Like Alex Jones.
[15:42.000 --> 15:43.000]  Here it is.
[15:43.000 --> 15:56.000]  It's missing into all kinds of things, you know.
[15:56.000 --> 16:23.000]  I want to be crazy, crazy like Alex Jones.
[16:23.000 --> 16:28.000]  I went looking one day on the internet just to see what I could find.
[16:28.000 --> 16:33.000]  When I heard this talk show maniac just proudly speaking his mind.
[16:33.000 --> 16:38.000]  It was real wild, but the more I heard it made a whole lot of sense to me.
[16:38.000 --> 16:44.000]  I want to thank you, Alex, for opening my eyes and helping the blind to see.
[16:44.000 --> 16:50.000]  I want to be crazy, crazy like Alex Jones.
[16:50.000 --> 16:57.000]  And you can have an abduction without a pre-sumption of the ones going on.
[16:57.000 --> 17:03.000]  Then I control the man inside the global clowns and here is the crazy clown.
[17:03.000 --> 17:32.000]  I want to be crazy, crazy like Alex Jones.
[17:32.000 --> 17:37.000]  All the talking heads on the TV screen with an arrogant sophistication.
[17:37.000 --> 17:43.000]  Talking about what's been a going on around the world and hearing information.
[17:43.000 --> 17:48.000]  They all seem to turn like a pack of wolves when Alex goes on the air.
[17:48.000 --> 17:54.000]  In spite of the facts, they launch their attacks and I just don't like to fight.
[17:54.000 --> 18:03.000]  I want to be crazy, crazy like Alex Jones.
[18:03.000 --> 18:06.000]  And you can have an abduction without a pre-sumption of the ones going on.
[18:06.000 --> 18:12.000]  Then I control the man inside the global clowns and here is the crazy clown.
[18:12.000 --> 18:27.000]  I want to be crazy, crazy like Alex Jones.
[18:27.000 --> 18:31.000]  I'm your Christian leader. Never mind skull and bones.
[18:31.000 --> 18:36.000]  Never mind bohemian growth. Never mind my actual policies.
[18:36.000 --> 18:39.000]  Just buy my rhetoric, buy my lies.
[18:39.000 --> 18:42.000]  Because you're my slaves.
[18:42.000 --> 18:45.000]  We're going to put in a Democrat later who works for the exact same people
[18:45.000 --> 18:47.000]  and you're going to love it then when they do it.
[18:47.000 --> 18:51.000]  All you Democrats that hate the Patriot Act and all you Democrats that hate the police state,
[18:51.000 --> 18:54.000]  you're suddenly going to love it.
[18:54.000 --> 18:57.000]  Visit infowars.com and prismplanet.com.
[18:57.000 --> 19:02.000]  When you're on the site, you can also tune in 24 hours a day to my daily radio broadcast.
[19:02.000 --> 19:07.000]  There's also a free iPhone app to listen to the syndicated radio show when and where you want.
[19:07.000 --> 19:12.000]  Alright, Robert Ohnby did that little country song, Crazy Like Alex Jones.
[19:12.000 --> 19:18.000]  And if you watch the video, if you're just a radio listener and not on prismplanet.tv,
[19:18.000 --> 19:22.000]  you can watch the music video itself at infowars.com.
[19:22.000 --> 19:27.000]  And at the end, it's a clip from five years ago in my local Austin TV show
[19:27.000 --> 19:32.000]  where I dressed up in a George Bush mask with a pirate hat on.
[19:32.000 --> 19:37.000]  And I said, ah, soon we're going to put a Democrat in and they're going to continue the Patriot Act
[19:37.000 --> 19:40.000]  and all the wars, the torture, the rest of it.
[19:40.000 --> 19:45.000]  And you people, you Democrats out there, you're going to love it because you're part of the left-right paradigm.
[19:45.000 --> 19:48.000]  So Rob Do added that to the music video.
[19:48.000 --> 19:51.000]  For radio listeners, they may have been, what is he talking about there?
[19:51.000 --> 19:53.000]  Watch the video, you'll get it.
[19:53.000 --> 19:58.000]  We'll be right back with the Ion Beams and the fact that this could blow up like a nuclear bomb.
[19:58.000 --> 20:03.000]  Stay with us.
[20:30.000 --> 20:33.000]  Spring and a new growing season are here.
[20:33.000 --> 20:37.000]  Plan a healthy garden easy and fast with OrganicaSeed.com.
[20:37.000 --> 20:42.000]  Easy because OrganicaSeed.com offers one of the largest online selections of organic, heirloom,
[20:42.000 --> 20:47.000]  non-hybrid and untreated seeds, as well as tobacco and cotton seeds at low prices.
[20:47.000 --> 20:54.000]  Go to OrganicaSeed.com, spelled O-R-G-A-N-I-C-A-C-E-D.com.
[20:54.000 --> 20:59.000]  OrganicaSeed.com. Remember, OrganicaSeed is healthy seed.
[21:24.000 --> 21:53.000]  Get your copy of Fall of the Republic on DVD at infowars.com.
[21:54.000 --> 21:59.000]  Or watch it online right now in super high quality at PrisonPlanet.tv.
[22:29.000 --> 22:34.000]  We the people grow cotton, wheat fabric, engrave ink, embed strips and fibers to protect from counterfeit
[22:34.000 --> 22:38.000]  and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[22:38.000 --> 22:42.000]  This capitalism or was Jefferson correct when stating a central bank issuing to public currency
[22:42.000 --> 22:45.000]  is a greater menace to the liberties of the people than a standing army?
[22:45.000 --> 22:49.000]  Hi, Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[22:49.000 --> 22:52.000]  Call for your copy 800-686-2237.
[22:52.000 --> 22:56.000]  It's time to understand the system. Call 800-686-2237.
[22:56.000 --> 23:22.000]  Most of us eat a blend of processed, man-made and all-natural food, but the food you eat may not provide all the nutrition your body needs.
[23:22.000 --> 23:26.000]  But you'll find an all-natural, great-tasting sea energy.
[23:26.000 --> 23:32.000]  Sea energy contains aloe vera, black cherry, cranberry and pomegranate juices, plus ginseng,
[23:32.000 --> 23:36.000]  cat's claw, ginger, gingko bolova and over 50 trace minerals.
[23:36.000 --> 23:40.000]  Needed for healthy metabolism, all from natural organic seed plant sources.
[23:40.000 --> 23:44.000]  Get a 10% discount by using promo code GCN.
[23:44.000 --> 23:52.000]  At checkout when you order sea energy from AffinitySeaEnergy.com. Call 855-732-3637.
[23:52.000 --> 24:00.000]  That's 855-732-3637 or go to AffinitySEAEnergy.com today.
[24:00.000 --> 24:16.000]  We are back live. Thank you for joining us.
[24:16.000 --> 24:32.000]  With Joel Scalzen, you'll be joining us. I had this set up before the disaster even took place.
[24:32.000 --> 24:50.000]  I wanted to go to Kyoto News first. I looked into what neutron beams mean.
[24:50.000 --> 25:00.000]  It doesn't just mean that fusion is happening or fission, but that there could be an explosion associated with this.
[25:00.000 --> 25:06.000]  It's actually like a nuclear bomb going off, but extremely radioactive and dirty.
[25:06.000 --> 25:15.000]  Can you imagine? That place is a nuclear waste dump with 600,000 plus spent fuel rods and six reactors.
[25:15.000 --> 25:25.000]  And they've had more reactors, again catch fire, begin smoking, cooling, failing at number five that wasn't even online when the disaster happened.
[25:25.000 --> 25:31.000]  Neutron beam observed 13 times at crippled Fukushima nuclear plant. This is from yesterday.
[25:31.000 --> 25:47.000]  Nothing new is out on this. Tokyo Electric Power Co. said it is observed a neutron beam, a kind of radioactive ray, 13 times on the premises of the Fukushima Daiichi nuclear plant after it was crippled by the massive March 11 quake.
[25:47.000 --> 25:57.000]  Now, here's the big issue, and that means that meltdown has basically occurred from the research I've done.
[25:57.000 --> 26:09.000]  So it just shows that if you go back even 12 days ago, just 24 hours into this disaster, they were talking about partial meltdown into the plants, one and three, and then you saw those blow up.
[26:09.000 --> 26:25.000]  And I will repeat, the Mark I mox plutonium based reactor, the general electric reactor is the number one candidate to actually explode in a chain reaction.
[26:25.000 --> 26:39.000]  TEPCO, the operator of the nuclear plants of the neutron beam, measured about 1.5 kilometers southeast of the plants, number one and number two reactors over three days from March 13. And it's equivalent to microceverts per hour.
[26:39.000 --> 26:49.000]  And that's not a dangerous level, they say. Well, the point is, is that that plant is going into a critical phase. That's what the neutron beam means.
[26:49.000 --> 26:57.000]  The utility firm said it will measure uranium and plutonium, which could emit the neutron beam as well.
[26:57.000 --> 27:17.000]  In the 1999 critical accident, a nuclear fuel processing plant in JCO, CO, in another prefecture, uranium broke apart continually in nuclear fission, causing a massive amount of neutron beams to be released. So that happened 12 years ago in Japan.
[27:17.000 --> 27:39.000]  And that is the latest case at the Fukushima Daiichi nuclear plant. Such a critical accident has not yet happened. They're telling us. But the measurement of a neutron beam may be evident and evidence that uranium and plutonium leaked from the plant's nuclear reactors and spent fuel has discharged a small amount of neutron beams through nuclear fission.
[27:39.000 --> 27:52.000]  And that is out of the news of Kyoto, one of the major English publications out of Japan. Radio nuclei has blanketed the United States, but the authorities are insisting that the levels are harmless.
[27:52.000 --> 28:04.000]  Paul Joseph Watson writes. And here's the big news. This is from Aaron Dykes at infowars.com with links to CNN and other publications.
[28:04.000 --> 28:14.000]  Japan's Chief Cabinet Secretary admits we're not able to measure the amount of radiation coming from the power plant. That is a quote. They are just estimating it magically.
[28:14.000 --> 28:37.000]  Well, they are able to get measurements. And the Pentagon has got very expensive high-tech devices that are very, very powerful in the ways that they can measure the full spectrum of different types of radiation and radioactive isotopes that are being released.
[28:37.000 --> 28:47.000]  Very, very delicate instruments. And we're not seeing any information now 13 days in from our own government that's charged with protecting us.
[28:47.000 --> 29:02.000]  In another astonishing clip in the wake of Japan's nuclear power plant crisis, Japan's Chief Cabinet Secretary admits, and we have a video link there, that they are not actually measuring radiation levels at Fukushima's nuclear power plant and cannot accurately do so.
[29:02.000 --> 29:09.000]  That's not true, but are instead only estimating the radiation via the use of computer simulation model.
[29:09.000 --> 29:23.000]  This is a fresh admission piling on top of what has already been a cover-up of massive proportions and coincides with a warning today that infants should not drink the tap water in the surrounding Tokyo area because levels of radioactive iodine are too high.
[29:23.000 --> 29:44.000]  Despite the lack of accurate measurements, the Japan Nuclear Agency reported that the highest levels of radiation yet from Fukushima Reactor 2 as well as 13 shidings of neutron beams radiation is reportedly 1,600 times safe levels according to the Kyoto News, CNN, and other major publications.
[29:44.000 --> 29:50.000]  And more U.S. states find traces of radiation from Japan CNN is reporting.
[29:50.000 --> 30:00.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:00.000 --> 30:04.000]  You may be arrested and or subject to other police action.
[30:04.000 --> 30:09.000]  Terany is here. The grim future foretold in 1984 has become reality.
[30:09.000 --> 30:12.000]  It really says that the state is God.
[30:12.000 --> 30:24.000]  The United States is now recognized globally as one of the most impressive police states on Earth. This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[30:24.000 --> 30:30.000]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[30:30.000 --> 30:45.000]  Police State 4 chronicles the sickening depths to which our republic has fallen. Prepare to enter the secretive world of emergency dictatorship, body scammers, sound cameras, citizen spies, staged terror and cameras on every street corner.
[30:45.000 --> 30:51.000]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here.
[30:51.000 --> 31:00.000]  Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[31:00.000 --> 31:07.000]  When you're out on the road, the last place you want to be is on the road.
[31:07.000 --> 31:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[31:12.000 --> 31:21.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[31:21.000 --> 31:29.000]  They so pride in every stitch guarantee you love the way they fit.
[31:29.000 --> 31:34.000]  They put a diamond gusset in the crotch where you need it most.
[31:34.000 --> 32:00.000]  Blue diamond gussets got it, others don't.
[32:00.000 --> 32:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[32:04.000 --> 32:09.000]  Number one, new climate legislation could easily double or triple your electric bill.
[32:09.000 --> 32:15.000]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[32:15.000 --> 32:20.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[32:20.000 --> 32:31.000]  Number three, in some areas of the country, the power grid is dangerously overloaded and now new socialist legislation is only compounding the problem.
[32:31.000 --> 32:35.000]  Every year, thousands of families lose their power from weather related onages.
[32:35.000 --> 32:40.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[32:40.000 --> 32:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[32:45.000 --> 32:51.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[32:51.000 --> 33:16.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[33:16.000 --> 33:25.000]  We've got a lot of other news to cover. No, it's not going to be about Elizabeth Taylor dying, much as I liked her.
[33:25.000 --> 33:32.000]  She was a humanitarian. That does not affect the wider spectrum of what's happening on this planet.
[33:32.000 --> 33:37.000]  We've also got a lot of bizarre nanny state police state news.
[33:37.000 --> 33:46.000]  The mayor pushes Washington for federal toilet paper tax. City bans girls from selling Girl Scout cookies.
[33:46.000 --> 33:51.000]  Saying they've got to get a license to do that, to operate a business.
[33:51.000 --> 33:59.000]  Town examines cracking down on swing sets because they could be dangerous, just like they ban dodgeball and then tag at most public schools.
[33:59.000 --> 34:03.000]  It's all part of the total tyranny in the name of safety.
[34:03.000 --> 34:10.000]  Federal government's moving to put boxes in all cars to track everywhere you go and what you do and tax you by the mile for your safety.
[34:10.000 --> 34:16.000]  They're also in the news talking about cameras in all cars, watching you in live time just in case you have a problem.
[34:16.000 --> 34:23.000]  The police will dial in and watch you. The Houston police chief has again proposed cameras in people's homes.
[34:23.000 --> 34:31.000]  They've now done that over 22,000 homes in England. No criminal record, no presumption of innocence.
[34:31.000 --> 34:35.000]  They just say, when you have a new baby, we've got to put cameras in your house and watch you.
[34:35.000 --> 34:42.000]  Guilty until proven innocent. The total 1984 system is coming into play.
[34:42.000 --> 34:46.000]  We're also going to be getting into the economy.
[34:46.000 --> 34:52.000]  But basically, I've covered most of the new news dealing with what's happening in Japan.
[34:52.000 --> 35:01.000]  But the situation to sum it up, to give you the infowars.com analysis is, it's out of control.
[35:01.000 --> 35:11.000]  And when you've got six reactors, even the two they supposedly shut down, including five, smoking, having fires, black smoke pouring out,
[35:11.000 --> 35:19.000]  and clear ongoing meltdowns of the live uranium and plutonium, especially in the number three reactor.
[35:19.000 --> 35:26.000]  This is a recipe for disaster. And unfortunately, many physicists are saying, and radiation specialists,
[35:26.000 --> 35:33.000]  that the worst is probably ahead of us and that if those plants have completely melted down one or more,
[35:33.000 --> 35:38.000]  we know a cover-up is then going on. We don't know the extent of how big the cover-up is.
[35:38.000 --> 35:44.000]  There has been partial meltdown and there could be huge explosions, not just future hydrogen explosions,
[35:44.000 --> 35:53.000]  but there could be a fission chain reaction nuclear explosion that will then project all of that radioactive waste dump
[35:53.000 --> 36:01.000]  that is the Fukushima facility and the live reactors sky high in a massive nuclear chain reaction that will not be pretty
[36:01.000 --> 36:10.000]  and will basically make much of Japan uninhabitable and will turn much of the Pacific into a radiation dump.
[36:10.000 --> 36:15.000]  But there's a reason cancer is up several thousand percentage points.
[36:15.000 --> 36:25.000]  And one of the big reasons, in a cocktail of reasons, is the thousands of nuclear tests that have been done total,
[36:25.000 --> 36:34.000]  500 plus above ground, which were halted because of people demonstrating and putting pressure on their elective representatives.
[36:34.000 --> 36:42.000]  But it's just an example of how the globalists will even soil their own nest while running around preaching at us,
[36:42.000 --> 36:50.000]  telling the public that we have to give up our liberties, give up our freedoms,
[36:50.000 --> 36:58.000]  because of the fact that carbon dioxide is so deadly when it's what plants breathe.
[36:58.000 --> 37:04.000]  Looking at some of this police state news, Hazelwood cracked down on Girl Scout cookies.
[37:04.000 --> 37:07.000]  CBS News is reporting on that.
[37:07.000 --> 37:15.000]  The city of Hazelwood says that they do support the Girl Scouts, but not when they are violating the home occupancy code.
[37:15.000 --> 37:20.000]  You've heard about people with lemonade stands getting fines.
[37:20.000 --> 37:31.000]  This is now unfolding across the country, but now they're saying Girl Scouts can't set up stands on street corners or in front of their homes because it violates the code.
[37:31.000 --> 37:39.000]  The illegal aliens can break every law under the sun, drive around drunk with no driver's license, and 800 plus cities or sanctuary cities.
[37:39.000 --> 37:46.000]  Government individuals across the board statistically don't pay their taxes.
