[00:00.000 --> 00:08.000]  Human destiny on the line, will humanity awaken before it's too late?
[05:19.000 --> 05:25.000]  The first seaweed-based iodine that was pretty good but hard to source and the globalists tried to block us getting a supply of it,
[05:25.000 --> 05:31.000]  so we discovered deep-earth crystals of pure nascent iodine and brought you X2, that's been incredible.
[05:31.000 --> 05:39.000]  Now, due to the establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine,
[05:39.000 --> 05:49.000]  chemists, scientists and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it
[05:49.000 --> 05:52.000]  and makes it even more bioavailable.
[05:52.000 --> 05:57.000]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[05:57.000 --> 06:10.000]  Next three, now available at m4slife.com.
[06:10.000 --> 06:20.000]  If you are receiving this transmission, you are the resistance. You're listening to Alex Jones.
[06:20.000 --> 06:31.000]  You know, I wish that what we talked about here wasn't the zeitgeist. I wish that what we discussed here was not the truth.
[06:31.000 --> 06:39.000]  I wish that I was a liar. I wish that I'd betrayed you. I wish that I'd been wrong all along.
[06:39.000 --> 06:56.000]  The truth is, we're the most demonized, most thought about, most attack broadcast in the world because whatever strange twist of fate m4s is bullseye on target.
[06:56.000 --> 06:59.000]  Think about that.
[06:59.000 --> 07:10.000]  See, the average person is going to watch football. The average person is going to worry about their own company and their friends and having a good time.
[07:10.000 --> 07:14.000]  They're not going to read all the books that Benjamin Brzezinski wrote.
[07:14.000 --> 07:20.000]  They're not going to read Julius Caesar. They're not going to read David Rockefeller right off that line.
[07:20.000 --> 07:31.000]  I was the weirdo that did it and I suddenly saw in what they were planning was happening.
[07:31.000 --> 07:41.000]  I remember being a kid and my dad was into history shows with my mom and there were all the bookshelves, all over the house, even in like hallways, bookshelves, bookshelves, books everywhere, books everywhere.
[07:41.000 --> 07:53.000]  I look at the cover. I would grab like the technotronic era between two ages by Brzezinski when I was like three years old and I would look at it out of all the books and I would say, oh, that's an interesting book.
[07:53.000 --> 08:01.000]  You know, a criminal element of government ships in the drugs and runs the child, kidnapping rings and all the rest of it.
[08:01.000 --> 08:05.000]  And I'd say, how do you know that? And he'd say, oh, well, when do you get bigger to know about it?
[08:05.000 --> 08:13.000]  But they believe they control the crime by being the crime. That's how they sell people. It really gets to expand the crime.
[08:13.000 --> 08:28.000]  And all these years later, here we are, the day before Thanksgiving and what is the big secret?
[08:28.000 --> 08:41.000]  There's a lot of big secrets, but if you want to understand everything from a globalist mindset, it's stealth.
[08:41.000 --> 08:47.000]  And if you just see people as seeds, well, you can burn a whole field.
[08:47.000 --> 08:51.000]  As long as you have the seeds, you can replant and you can choose which seeds you want.
[08:51.000 --> 09:04.000]  That's the Godlike behavior. Oh, you don't deserve free will. You don't deserve a destiny. No, no, real leadership knows how to just wipe all these groups out because it has true vision.
[09:04.000 --> 09:13.000]  And that's why it should be in power is because it is in power. So that gives it prima facia right and to rule.
[09:13.000 --> 09:22.000]  But the big secret that I hope people pay attention to why the enemy now just always seeking to shut me up.
[09:22.000 --> 09:28.000]  If we kill him, it makes him a martyr. Let's kill his name. Let's shut him down. Let's use him as an enemy of freedom.
[09:28.000 --> 09:37.000]  Let's build straw man Godzilla to attack the world that isn't Alex Jones, but that we say is Alex Jones. That's their plan.
[09:37.000 --> 09:46.000]  But what is it I'm saying? It's that silent weapons for quiet wars.
[09:46.000 --> 09:56.000]  Read those papers, which is nothing compared to the real silent weapons for real quiet wars.
[09:56.000 --> 10:10.000]  That was just somebody in mid level briefings that got part of it. Colonel Alexander that wrote about it, wrote books, silent weapons for quiet wars, killing softly.
[10:10.000 --> 10:20.000]  You never know who killed you. You died 10 years later or your child dies. They've got reasons for it because even those that don't know why it happened.
[10:20.000 --> 10:38.000]  Silent weapons for quiet wars. So the whole science is the earth's overpopulated according to them, which it is because they made sure it was so they could have more people to kill.
[10:38.000 --> 10:49.000]  It's more fun. And the most important thing is getting high IQ people to join with the killing at the end so that you get their soul.
[10:49.000 --> 10:58.000]  Because there's more levels to this than just what we're supposed to see. See how that works.
[10:58.000 --> 11:08.000]  So if they're going to reduce the population of Western countries 20, 30 points, they know the adjuvants and chemicals and the vaccines that'll do it.
[11:08.000 --> 11:14.000]  But statistically, some people are going to have bad reactions. That's going to kill certain numbers of people.
[11:14.000 --> 11:32.000]  So you have a secret multi-billion dollar fund for smarter people that soon get upset where you make them stay in court for a decade and then give them a paltry million dollars for their dead or brain damaged child.
[11:32.000 --> 11:42.000]  Because real leaders in the actuaries understand you have to break eggs to make omelets.
[11:42.000 --> 11:51.000]  That's their sick thinking. Oh, but they all eat non-GMO. They all drink filtered water. None of that. They have statistics. They even admit it.
[11:51.000 --> 12:03.000]  The ultra-rich do not take vaccines because there are not vaccines that have been developed that are actually meant to be therapeutic.
[12:03.000 --> 12:16.000]  The science of the medical system is to kill, not to heal. That's why they got rid of the Hippocratic oath 20 years ago. But I digress, my friends.
[12:16.000 --> 12:22.000]  We're replacing an altruistic priesthood with a priesthood of death.
[12:22.000 --> 12:40.000]  And so the great secret is you don't want to shoot somebody outright, out in the middle of the square, a woman, a child. Because their husbands and their brothers, even if they're not warriors, will get a gun or get a weapon and kill you.
[12:40.000 --> 12:56.000]  But if you have somebody else who means well, administer a vaccine or have the mother gives them a GMO crop, then they get a disorder and they die and no one knows what hit them.
[12:56.000 --> 13:14.000]  Nobody knows what ran them over. And in the satanic order, killing a child, but making you go through excruciating years of pain and fighting for their lives when you've got the cure. Oh, fighting for that life when you know you're killing them.
[13:14.000 --> 13:28.000]  Oh, that's so much better than just having a bunch of witches torture a baby and cut it up and suck its blood for an hour while it cries with mommy. It's so much better to do it for a couple years, you see.
[13:28.000 --> 13:38.000]  And so the big secret is killing you slowly, but never letting you know what hit you.
[13:38.000 --> 13:46.000]  Now, the time it hits you, you're already dead. You're already run over.
[13:46.000 --> 13:57.000]  And so that's the big satanic secret. They put chemicals in the water to confuse your gender. Then they tell your child when their brain damaged, you're a girl, you're a boy when you're not.
[13:57.000 --> 14:13.000]  And they just roll it out and no one knows what hit them because in real war, if you're like the Nazis that invade North Africa and France and Poland and Czechoslovakia and Austria and Russia, people finally line up and fight you.
[14:13.000 --> 14:30.000]  And the Russians at first didn't like the communists. They were like, oh, you're here to save us until they thought they were being robbed and killed. Then they lined up and fought. But see, if the Nazis were smart and just flew over the airplanes and sprayed chemicals that say killed you in two or three years, by the time the Germans rolled in,
[14:30.000 --> 14:48.000]  no, oh, oh, oh, oh, oh, the Nazis, it's declassified in Nuremberg. They had plans. They had smarter Nazis. Same ones again with the space program we got that said we should just put chemicals in the food and water that retard them and sterilize them and have a slow economic program with a European Union.
[14:48.000 --> 14:55.000]  And then phase two, we'll get Eastern Europe to join it, and then we'll just sterilize them and poison them. But Hitler didn't want to wait.
[14:55.000 --> 15:02.000]  Junker's grandfather did. And that's why when Hitler failed, they put Junker in charge.
[15:02.000 --> 15:16.000]  And we're under the Junker plan. It doesn't matter. Junker's a drunken moron that can hardly talk now. It doesn't matter. His granddaddy wasn't and had about 180 IQ, but was purely in line with Satan.
[15:16.000 --> 15:27.000]  They had SS rituals where they would bring in the best SS men and he would personally cut their heads off so that he could then look into their eyes and connect with Lucifer.
[15:27.000 --> 15:34.000]  You think I'm joking? That's declassified. It's only in British wartime reports and a few others, but you can find it if you want.
[15:34.000 --> 15:42.000]  So remember, they want to kill you and never let you know what hit you so you can't fight back and you never know where it came from.
[15:42.000 --> 15:52.000]  All of us are already walking dead. The weapons we know about are old. They've got new ones hitting us. But I thought you deserved to know who was doing it.
[15:52.000 --> 16:18.000]  Yes, this is 21st century warfare. This is how the devil fights. Stay with us.
[16:22.000 --> 16:29.000]  The United States of Empire by James Dunn, available at Amazon Books.
[16:52.000 --> 17:04.000]  In these uncertain times, it makes sense to have a sustainable backup method to cook food and boil water.
[17:04.000 --> 17:10.000]  If your current plan includes using a fuel burning stove or cooking over an open fire, then there's a much better way.
[17:10.000 --> 17:21.000]  The Minuteman rocket stove is a biomass burning cooking stove that only requires small quantities of sticks and twigs for fuel. The Minuteman stove is easy to use, smokeless, portable, powerful and sustainable.
[17:21.000 --> 17:29.000]  For the finest in survival cooking stoves and fire starters made right here in the USA, go to Minutemanstove.com. That's Minutemanstove.com.
[17:29.000 --> 17:39.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place. And what they don't steal will be destroyed.
[17:39.000 --> 17:50.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[17:50.000 --> 17:58.000]  Security is a mindset, and fake TV should be part of your security solution. Be vigilant, but not fearful.
[17:58.000 --> 18:14.000]  InfoWarsLife is bringing you a breakthrough in modern medicine, introducing pollen block. We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways,
[18:14.000 --> 18:17.000]  eye comfort and respiratory function.
[18:17.000 --> 18:26.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[18:26.000 --> 18:37.000]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:37.000 --> 18:51.000]  Pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:51.000 --> 18:59.000]  Go outside and enjoy the air you breathe. Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[18:59.000 --> 19:10.000]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[19:10.000 --> 19:23.000]  That's why I'm introducing ZShield, Toxic Metal and Chemical Defense Support. It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body, and it supports the inflow war.
[19:23.000 --> 19:35.000]  It is a classical 360-win. This is the formula that I personally have been taking for over a year, and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[19:35.000 --> 19:52.000]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world that patriots stay as healthy and as clean and as focused as you can be, because we need you, the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[19:52.000 --> 20:06.000]  Thanks to your support and your prayers together, we're changing the world. Now it's time to change our bodies with ZShield.
[20:22.000 --> 20:32.000]  We are on the march. The Empire is on the run. Alex Jones and the GCN Radio Network.
[20:32.000 --> 20:52.000]  So real warfare is not chillerous in the 21st century. It's silent weapons for quiet wars. It's chemical, it's biological, it's cultural, it's spiritual poisoning, and it's all around you, and it's done by wicked, heartless corporations working with other heartless groups like the Chai comms,
[20:52.000 --> 21:03.000]  Yunker, and the EU to do this. And they're doing it by design. And many of their own scientists go public and try to stop it and they get killed.
[21:03.000 --> 21:15.000]  We'll say, well, I haven't you been killed because I never worked for them. And now they don't want to make me a martyr. So they're killing my name, they're killing who I am, they're destroying me, but that's okay.
[21:15.000 --> 21:30.000]  That's what people are supposed to do if you're a man. I want to get into their biggest move to silence us so we can't warn people ahead of the acceleration, the expansion of the human holocaust.
[21:30.000 --> 21:39.000]  That's about to happen. So we'll do that here in just a moment on this day before Thanksgiving 2018.
[21:39.000 --> 21:46.000]  You know, I've talked about this, but people always say, oh, the best sales of the year are on Black Friday, the day after Thanksgiving. No, they're not.
[21:46.000 --> 21:56.000]  On average, companies just increase the price before and then lower it, and then it's artificial sale. But when we really do big sales, we tell you.
[21:56.000 --> 22:06.000]  And this sale, the one we did like a month ago was the biggest ever. This one's the biggest ever after that, because we have to sell all our inventory ahead of the years.
[22:06.000 --> 22:10.000]  We don't have to pay taxes on it. And as you know, they're trying to take our payment processors away.
[22:10.000 --> 22:14.000]  So I have the attitude of just, we're going to go lean and mean and not keep a bunch of stuff on inventory anymore.
[22:14.000 --> 22:18.000]  We're just going to sell everything out and sell stuff as it comes in. So these are the best deals we've ever done.
[22:18.000 --> 22:25.000]  Black Friday, all week long, it's going on right now. You can get water filtration for 49% off.
[22:25.000 --> 22:36.000]  The Alexa Pure Pro, leading competitors are $350. They usually sell for $250. They're the best of this amount there. At $127, they're selling to us at costs.
[22:36.000 --> 22:44.000]  Give it as a great gift, infoorstore.com, infoorslife.com, store-wide free shipping, 50% off on all the supplements, up to 75% off other items.
[22:44.000 --> 22:51.000]  You know, we got a lot of great t-shirts we never promoted. And so we're selling them at costs. T-shirt costs us $6.
[22:51.000 --> 22:58.000]  We're selling it for basically that price. I mean, they're just the best deals ever.
[22:58.000 --> 23:06.000]  So thanks for your support, infoorstore.com. Take advantage of Black Friday week, right now, and infoorstore.com.
[23:06.000 --> 23:11.000]  Okay, the time I have left here in this segment, I'm not going to be able to do this justice, but I'm going to try.
[23:11.000 --> 23:14.000]  You've got a professor, a woman from Turkey.
[23:14.000 --> 23:21.000]  Turkey's gone pure radical Islam. Coming here, part of this whole Democrat push, because I read the article saying, we're in a national crisis.
[23:21.000 --> 23:29.000]  Nationalists are taking control from us. So we got to get them off the air and we got to move past Alex Jones. We got to ban them all.
[23:29.000 --> 23:33.000]  So I'm going to read part of the article, because I never got to this a few days ago.
[23:33.000 --> 23:39.000]  He who must not be named, and notice it's a black hand pulling me into darkness. So how liberal, how loving.
[23:39.000 --> 23:45.000]  What Alex Jones and Voldemort have in common. I thought Voldemort comes from the dark and grabs people.
[23:45.000 --> 23:51.000]  See, I'm red in the image. They're kind of telling you the truth. I got red blood, like we all have. I'm angry.
[23:51.000 --> 23:58.000]  I'm red, white, and blue. Look, red, white, and blue, but the black hand is, they always tell you the truth to the subconscious.
[23:58.000 --> 24:05.000]  Subconscious being told, we're getting your ass, America. You're not going to stop us. You bet I'm fighting for my life.
[24:05.000 --> 24:10.000]  You bet. That's actually what it's like every night when I snuggle in. The entertainment begins.
[24:10.000 --> 24:17.000]  But the point is for all these witches, as she's saying, I'm the devil. I'm the devilish archetype.
[24:17.000 --> 24:26.000]  But in their own iconography, they are the devil dragging the red, white, and blue.
[24:26.000 --> 24:35.000]  The red of our blood, the blue of the nice guy of God, the whiteness of our soul. We love God. Into oblivion.
[24:35.000 --> 24:45.000]  Into us, as if we don't see. As if we don't know. They're saying, join us, or we'll take you to hell.
[24:45.000 --> 24:48.000]  No, no, joining you takes us to hell.
[24:48.000 --> 24:58.000]  So read the disgusting, filthy article for yourself. When Alex Jones crashed the congressional hearings, looking into big tech platforms back in September, their censorship,
[24:58.000 --> 25:05.000]  Lord Voldemort kept coming to my mind. Even if you hadn't read the Harry Potter books, no, I don't read that.
[25:05.000 --> 25:13.000]  You probably know that almost no one in the wizarding world will speak the Archvillain's name aloud.
[25:13.000 --> 25:20.000]  He is referred to only as he who must not be named, or you know who.
[25:20.000 --> 25:31.000]  In the final book, Voldemort puts a curse on his name, so that merely uttering it acts like a beacon for the wizard's crew of death eaters.
[25:31.000 --> 25:43.000]  All the globalist bring his death. But now in a curse, they're telling you uttering the cure, Americonic God, what we support Alex Jones is a symbol of that.
[25:43.000 --> 25:48.000]  No, he's the devil. But Chai comes back her and the censorship.
[25:48.000 --> 25:59.000]  She goes on to say, don't worry, it's his last gasp. He desperately went to that congressional hearing and was on every channel and took over as if I can't show up to all of them as this.
[25:59.000 --> 26:03.000]  I'm not planning that. They never even saw that move. They don't even know.
[26:03.000 --> 26:11.000]  I have all these moves in place, but I'm just waiting for this to play out because it's so delicious.
[26:11.000 --> 26:18.000]  She says that it's my last gasp. Oh yeah, lady, we're really...
[26:18.000 --> 26:26.000]  I got some smart advisors that they say act like you're going down, but I just can't lie to the audience.
[26:26.000 --> 26:46.000]  This is ridiculous. Worldwide, we're annihilating these people and they've got some woman from Turkey who flees the evil and then comes here and gets taken into the deep state leftist and calls for me to be shut down and then put some intimidating image out like this and literally thinks everyone's buying into this.
[26:46.000 --> 26:58.000]  You will be my last gasp when you give up on me. I don't even care because it means we've lost. You giving up on M4s is like you giving up on yourself.
[26:58.000 --> 27:17.000]  I'm eager to communicate something crucial about the evil lord's latest plan, the evil lord's. Harry at one point blarts out Voldemort's name, Alexander Jones, Alexander Emmerich Jones, which followers are many, many scary pages.
[27:17.000 --> 27:31.000]  Jones is the kind of real world Voldemort. Oh yeah, not Henry Kissinger, not David Rockefeller, not Hillary Clinton. Speak his name to condemn his conspiracy theories and you draw more attention to his hateful ideas.
[27:31.000 --> 27:37.000]  It's like fighting fire with oxygen tanks instead of fire extinguishers.
[27:37.000 --> 27:48.000]  I'd actually fight a fire with oxygen tanks. It looks blood blood all the other oxygen and go out. The tools breathe more life into the flames.
[27:48.000 --> 27:59.000]  And she goes on to how she never mentioned me and how I always worked to be in the New York Times. This is the most sycophantic, the New York Times isn't even toilet paper.
[27:59.000 --> 28:09.000]  He's de-platformed. He's had his last gas. He's over. But we have to work and pressure the Internet to ban all other conservatives and control all information.
[28:09.000 --> 28:21.000]  I mean, she's literally the Voldemort saying an age of darkness and the press must come as the Washington Post and others say democracy dies in the dark as they try to bring the dark.
[28:21.000 --> 28:27.000]  And they just do this and it's so pathetic.
[28:27.000 --> 28:39.000]  And this is who they can get. This is the vassals they can get to carry this out. The truth is, it's not about me because I want to serve my purpose and be honorable to God so I'm a very humble person.
[28:39.000 --> 28:51.000]  You have no idea what you've done and you're so ridiculous as if my archetype is the devil. That's really funny.
[28:51.000 --> 28:58.000]  My archetype is just a farmer. But farmers fight.
[29:21.000 --> 29:38.000]  The United States of Empire is a book that claims the United States is the empire of the world. George Washington had warned us against foreign wars.
[29:38.000 --> 29:44.000]  The United States of Empire shows that World Wars I and II left England broken.
[29:44.000 --> 30:00.000]  Its former colony, the U.S., had to save the empire. Was there ever a vote? Who do we fight for? The deep state began with World War I, the United States of Empire, by James Dunn, available at Amazon Books.
[30:00.000 --> 30:16.000]  Our grandparents, the great grandparents, knew that they can food during the fall, so they'd have it during the winter. And that's what I'm talking about at M4WarsTour.com. With M4Wars Select, it's the full spectrum of my patriot supply on the top, most respected companies out there.
[30:16.000 --> 30:24.000]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[30:24.000 --> 30:33.000]  But I want to be a market leader, and I want you to have storeable food so it's a total win-win. We have those incredible self-prices back at M4WarsTour.com.
[30:33.000 --> 30:43.000]  On M4Wars Select, storeable foods. They've got special diet foods. They've got three-month supplies, your supplies, weak emergency supplies. They've got so many great products there.
[30:43.000 --> 30:54.000]  Maybe you've got a three-year supply. If stuff happens, you can feed your whole block. It's up to us to be self-sufficient. You're buying war bonds, bringing great products, and together, with God's help, we are unstoppable.
[30:54.000 --> 31:21.000]  M4WarsTour.com and M4Wars Select, high-quality, storeable foods, powered by my patriot supply.
[31:24.000 --> 31:32.000]  Matt Redhawk and the Patriots over at my patriot supply that have developed these filters ordered a huge amount of them this year. He has a glut of them.
[31:32.000 --> 31:45.000]  He's offering a filter that's a good deal at $249. When it's discounted, usually $200. It's $127. He's selling them to us at cost, and we're making $20-something bucks on them.
[31:45.000 --> 31:59.000]  So they're going to sell out very, very quickly. This is the gift of life, the gift of health. It's amazing. Alexa Pure Pro at M4WarsLife.com or M4WarsTour.com, or call AAA-253-3139.
[32:16.000 --> 32:26.000]  Containing powerful antioxidants, such as azzanthin and omega-3s, ultimate krill oil can help you experience the benefits of fish oil with less-required DHA and EPA.
[32:26.000 --> 32:37.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[32:37.000 --> 32:47.000]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[32:47.000 --> 33:08.000]  Paired with our ultimate fish oil, or used separately, it's time to see what krill oil can do for you with ultimate krill oil, now available at infowarsstore.com.
[33:17.000 --> 33:22.000]  Alex Jones, coming to you live from the front lines of the M4Wars.
[33:22.000 --> 33:47.000]  Well, we're right in the middle of this historic Election Day coverage. I'm Alex Jones, your host, joining us for this segment is George Papinopoulos,
[33:47.000 --> 34:03.000]  who I did say back during the time when the whole Russiagate thing started. I said he might be one of the double agents just because the story started so ridiculous that he talked to somebody connected to Russians in a bar in Italy, and then that made him a Russian agent, and he was, you know, pleading guilty or whatever.
[34:03.000 --> 34:11.000]  I said, that's asinine. He's since come out and said we know it was a setup by the leftist CIA. It's all confirmed. And indeed, he did absolutely nothing wrong.
[34:11.000 --> 34:25.000]  And they just later said, oh, do you remember that you talked to somebody for five minutes in a bar, and they brought up Russia to you. And then later when you were asked about it by Mueller, you didn't remember it.
[34:25.000 --> 34:35.000]  So we're going to get you on lying to the FBI. So I've just set the table there of what has happened. He's been totally vindicated now and he's had a lot of courage.
[34:35.000 --> 34:47.000]  George Papinopoulos formally the Trump campaign to come out and say that he was set up. So I appreciate you coming on, George. Give us your take on what's really happened. The Mueller investigation and where you see this going.
[34:47.000 --> 35:04.000]  Alex, thanks so much for hosting me. It's a real pleasure. No, you're absolutely right. Look, I think my I used to be patient zero, I guess, of the fantasy of Russian collusion. And unfortunately, I was patient zero because I had two problems.
[35:04.000 --> 35:18.000]  I couldn't talk for myself. And two, I had the New York Times and another newspapers create this fake narrative and false narrative around me that I was, you know, colluding. I was, you know, talking with Russian agents.
[35:18.000 --> 35:27.000]  I was doing all this. Now, the only problem that happened was actually the only benefit that came out of this entire story for me from when I wasn't able to talk.
[35:27.000 --> 35:39.000]  Was that everyone that the New York Times or any other newspaper dug into, for example, Joseph Mifsud, Alexander Downer, Stephen Halper, all these people, they weren't Russians at all.
[35:39.000 --> 35:45.000]  They were actually Western intelligence people. So it was really funny because, you know, I'd always get questions from various newspapers.
[35:45.000 --> 35:57.000]  Oh, can you tell us about the Russian agent, Joseph Mifsud, the professor that you just talked about? And I said, I have no real information about him because he really couldn't introduce me to anyone of substance in Russia.
[35:57.000 --> 36:08.000]  And then later on, I have all these new journalists come to me and tell me the guy was actually working with the MI6. And now his own lawyer is saying that the FBI was guiding him when he was interacting with me.
[36:08.000 --> 36:20.000]  So just to basically summarize, it's a very confusing story. In 2016, I'm on a business trip to Rome, and I meet this man named Joseph Mifsud. He's a Maltese professor.
[36:20.000 --> 36:27.000]  This professor, a month later, he drops this information on me that the Russians apparently have Hillary Clinton's emails.
[36:27.000 --> 36:34.000]  Now, I didn't understand what he was really, you know, talking. It was openly rumored that Clinton's State Department server had been hacked.
[36:34.000 --> 36:42.000]  So he drops this information on me about a week later. The Alexander Downer from the Australian embassy wants to meet with me.
[36:42.000 --> 36:50.000]  And during this meeting, he's recording me. He's asking me very strange questions. He's telling me that the Australians are watching what Trump is doing.
[36:50.000 --> 36:56.000]  The British are watching him very closely because of his support for Brexit and that he's a pariah.
[36:56.000 --> 37:06.000]  Now, this guy, I have absolutely no memory of ever talking about emails with him. Apparently he created this fake story that I talked about emails with him to justify this investigation.
[37:06.000 --> 37:14.000]  That's the current narrative. I mean, there's a lot more complicated than anybody could possibly think, but I'm just trying to lay out the groundwork.
[37:14.000 --> 37:23.000]  Let me boil it down just in 30 seconds and see if this is accurate from your own inside experience. It's very simple. They want to discredit the election of Trump.
[37:23.000 --> 37:35.000]  They want to be able to cover up their illegal spying on Trump, which has now all been confirmed. And so they had different MI6 and CIA operatives and actual agents come up and talk to different Trump people about Russians
[37:35.000 --> 37:45.000]  so that they had some type of connection to people in the Trump operation and Russians, even though they were the ones instigating it and even though you were faithful to the United States.
[37:45.000 --> 37:54.000]  That's absolutely right. To this day, I've never traveled to Russia. I've never met a Russian official. I don't have Russian friends and I don't even go to Russian restaurants.
[37:54.000 --> 38:05.000]  So this guy, this professor, he's connected to Western intelligence. He just drops this information on me like a dangle, just so that you're caught at the wrong place at the wrong time kind of thing.
